1695177795# #看到有网友说，五百年后，放张伍佰的照片，这演唱会还能开允悲
1690966384# #发布了头条文章：《母亲不顾涨潮撕心裂肺进海寻找孩子，更多细节曝光，孩子后续来了》青岛孩子走失母亲不顾涨潮执着进海寻找母亲不顾涨潮执着进海寻找孩子
1692848513# #6
1698227662# #这奥迪车主这么拽吗，多大点矛盾呀，殴打人外卖员！。。近日，辽宁铁岭发生一件极其令人气愤的事情。。。一外卖员与一坐奥迪的男子产生了些纠纷，男子便将身子探出车外，揪着外卖员不停殴打。看监控好像是揪着衣领，在扇外卖员耳光。并不断伸手指着外卖员，嘴里还骂骂咧咧的。。。在被殴打辱骂的过程中，外卖
1687153113# #这公司不简单呀
1703744772# #泪
1695705574# #大同通报未成年人欺凌事件调查情况。山西大同霸凌事件的处理结果来了，跟大家预想的差不多！。。两名9岁的霸凌男生因为还是未成年人，只依法予以训诫，并被责令接受心理辅导、行为矫正。。。两名霸凌者的父母也被予以训诫，责令其接受家庭教育指导，并向被霸凌男生和其监护人诚恳道歉。。。大同大成双语学
1695275219# #这男的也太极端了吧，当街持刀捅伤前妻现男友！。。9月20日，四川隆昌市。一男子因为不满前妻与别的男子交往，竟然拿刀把前妻男友的腿部刺伤了。。。关键持刀伤人后，男子还特别淡定，就坐在马路边上自己打电话报警。。。目前，男子已被抓获。受伤的男子也被送去医院治疗了，幸好没有生命危险。。。这男子的举
1687597014# #网红斑头雁被游客一脚踢死的新闻大家都看到了吧，那个踢死斑头雁的游客被打了！。。因为斑头雁吓到了游客的妹妹，游客也不知道是故意的还是不小心，一脚直接将斑头雁踢死了。。。据媒体报道，这位游客是踢到了斑头雁的头部，这才导致了斑头雁的死亡。。。事发后，游客和一直饲养斑头雁的工作人员来到警局对峙
1691652540# #近日，湖南长沙。有网友爆料，一幼儿园女老师疑似出轨学生父亲，被学生妈妈抓到后揪着头发游街。。。学生妈妈一手抓着小三的头发，一手拍摄视频。。。称小三是她孩子的幼儿园老师，被她抓到和她老公在她的新房里面，还称小三姓姜。。。有记者联系了涉事的幼儿园，其工作人员表示这个姜老师已经离职。。。当时学
1693544777# #殴打老人也够不要脸的！。。有网友爆料，8月31日，上海市中心有一位二十岁出头的小伙子当街殴打老人。。。据网友称，小伙子喝醉了，一身酒气，非说老人骂他，上去就踹了老人一脚，还殴打了老人。。。但事实上，老人跟他隔了一条马路，连话都没说，怎么骂小伙子。。。老人被小伙子打得耳朵都出血了，小伙子不仅
1699847350# #这也太有意思了吧允悲
1693276780# #既然他们觉得福岛产的食品好，希望他们说到做到多吃一些，吃完别忘了来杯福岛原汁原味、无过滤的海水润润肠胃。
1691381231# #苦涩
1688625015# #转发微博
1695888677# #一个只与小民夺利的公司，怎么敢指责华为？？？
1702887705# #允悲
1703050999# #震撼
1691377360# #青海旅游停车10分钟，收费50元，后续来了！。。近日有网友爆料，自己自驾前往青海旅游，在到达海西大柴旦时，在一家驿站停了会儿车。。。停车时驿站门口并没有任何收费的标志，可开出来时却被一大爷拦着，要求其支付50元停车费。。。网友纳闷，自己就停了10分钟，就要缴50元，这停车费未免太昂贵了些。。。于是
1699433645# #连实验室都拆了，欲盖弥彰？
1688715000# #能制服住大爷的，还得是咱们大妈呀！。。山东威海，一醉酒老人在马路上推搡、殴打女孩，有小伙子看不下去，上前将见义勇为，谁知老人还越发来劲了，上去就扇小伙子巴掌。。。小伙子躲避的快，没扇到。被推搡的小姑娘上前拉架倒是因为躲避不及，被老头结结实实给脸上来了一下。。。随后又来了几个小伙子，几个
1697173288# #？？？
1700262857# #在劝说下注射致幻药物？谁信啊，还不是自己想试？笑cry自己借钱、参加impart的时候只想着爽了，只能说好似偷乐
1692255913# #苦涩
1701842532# #好好好
1703743854# #吃大福去了
1688974200# #现在的未成年不得了呀，啥事都干得出来。。。江苏宿迁，6名未成年深夜来到一处烟酒店来了个入室抢劫，并致店老板死亡。。。据店老板的死亡证明显示，店老板年仅47岁，正值中年，守着自家的烟酒店，谁知竟碰上这事。。。目前，该6人已被抓获，可因为都是未成年，估计不会重判。。。入室抢劫+致人死亡，真的很难
1696995570# #好家伙哆啦A梦害怕
1699005115# #好多血，说凶手老实人的都去屎怒
1696816840# #泪
1696164707# #这件事，实在不知道该让人如何评价。。江西某学中学，一男生因上课纪律不好惹老师不高兴。。任课女老师也是个暴脾气，上去直接当着全班人的面给了男生四个耳光。。男生接下来的举动瞬间惊呆众人，他抓住女老师的头发，反手就是一巴掌。。那一巴掌，直接就把女老师打蒙了。。她晕头转向地还手、反抗，但可惜
1698141344# #啊，陪酒女，不是网红吗？
1701075811# #发布了头条文章：《女子坐观光车不付钱，嚣张怒怼全车人赶着送死，景区回应遭质疑》
1695694303# #允悲
1701515015# #发布了头条文章：《冒充城管大闹早餐店，官方回应来了，男子身份真相大白》安徽萧县
1694598465# #四川大学附属华西医院发生了一起情杀事件大家看到了吗？。。虽然目前院方的回应是不清楚，还在调查。但网上有好多关于此事的爆料，我大概捋了捋。。。这起事件的主人公有两个，男的叫秦昌龙，女的叫黄麟。。。两人都是华西医院的医生，男的是四级专家，女的是博士生，都是青年才俊、前途大好的人。。。可惜两人
1703744117# #我天
1699507238# #是我
1699185314# #太可怕了，真让网友给说准了。。郑州女教师因课外行政工作压力大，留遗书后自杀的事件发生后，就有网友预测，接下来多地学校都会开展教师心理培训活动。。没想到真让网友给说准了，此事后许多学校都开展了教师心理培训活动，还有某校的活动通知在网上流传开来。。通知中写到，为避免类似悲剧，本周末所有
1687764600# #这是马路，不知道还以为赛车场呢，开这么快！。。6月20日，四川达州突发一起车祸。。。一男一女骑着一辆摩托车穿行马路，在骑到路中间时，从左边极速驶来一辆小货车，速度极快，直接将两人撞飞了出去。。。从监控视频能看到，骑摩托的两人在行驶到路中间时停了一下，应当是看到小货车朝自己飞快驶来。。。女子
1694511320# #哆啦A梦害怕
1693359224# #我觉得我比她更需要救助微笑
1701926879# #允悲
1703819449# #我尸体不太舒服…
1689561990# #胡萝卜大夫果然妙手回春、医术了得笑cry
1689822266# #成年人用笑容掩盖悲伤允悲
1690356417# #转发微博
1698904617# #确定是28不是280吗哆啦A梦害怕
1703063637# #真好
1691722542# #西安回民街打人事件不知道大家关注到没，也太无法无天了。就因为小姑娘卖得比她便宜，拿着铁棍、木棒打人家，连拉架的人都不放过！。。据被打小姑娘姐姐称，小姑娘趁着暑期旅游旺季，自己在网上购置了一些头纱在回民街拎着售卖。。。4块钱购置的，小姑娘定价10元，想着利润已经很高了。结果回民街一小商贩
1698301320# #压根没有年假裂开
1688451727# #这个真好使，就算带上地铁别人也不会有微词
1698308532# #必胜客，你在干什么！！！
1690856480# #正常恋爱情侣间说两句骚话正常，这男的太坏了，分手还恶意拼接聊天记录，想毁了女方
1694242224# #发布了头条文章：《延安一保洁自缢身亡，因扔699元旧鞋遭羞辱、索赔上万，警方已介入》延安吾悦首府延安陕西
1702027168# #咖啡，打工人的续命水。。不仅能提神醒脑，也是打工人对繁忙工作生活的一种调剂。。但最近，爱喝咖啡的年轻人可得注意了。因为咖啡，塌房了！。多家知名品牌，59款现制咖啡，均检测出了致癌物！
1698637993# #困困困
1698027123# #青岛啤酒有工人原料仓小便的事情貌似反转了耶！。。一是视频拍摄地，并不是青岛啤酒原料仓库，而是一个露天场所。有内部知情人称，可能是某物流承运商的运输车厢。。。二是小便人的身份，是外用工，目前已被警方控制。。。三视频拍摄人也是外用工，拍摄动机尚不清楚，也已被控制。。。所以小便事情并未发生于青
1689560682# #衰
1688435916# #这女的可真来劲呀，一次次被制服，一次次不服输的又冲上了。。。近日陕西一饭馆，一女子带狗进去吃饭，一位男乘客不满，让女子把狗带出去。。。女子不愿意，还发起了疯，跑到男子餐桌旁跟其理论。。。“狗咋了，狗咬你了，在这羞人（丢人）呢你。”。。”你把嘴给我闭住。”。。男子也骂了她几句，女子直接上去将
1691478147# #发布了头条文章：《豆腐脑也不能吃了？魔芋粉加豆浆香精！太空方便餐为你揭露真相》豆腐脑科技与狠活
1695795088# #啊
1700619407# #转发微博
1699240891# #笑死
1699838599# #哈哈哈哈哈哈哈哈哈
1696815417# #衰
1699500478# #8000块钱的电脑用一辈子允悲
1688720297# #最近，辛吉飞又爆料了一件食品安全问题，视频一经发出，便立刻引发全网热议。。因为这次爆料的食物，是我们几乎每天都在吃的，那就是——肉包子。。肉包子是用什么做的？。那自然是面粉和大肉，但据辛吉飞称，某些商家竟用纸壳子做包子馅。
1689066816# #发布了头条文章：《发改委提到的精准营养品是什么？航天员能量餐凭什么自称高能食品》
1694745299# #隐形眼镜惊呆我了
1692150614# #怕孩子长大压力大父亲掐死双胞胎儿子抑郁症父亲掐死一对双胞胎儿子。事实根本不是媒体报道的那样。。。这两个孩子患有非常严重的自闭症和智力障碍，生活无法自理。男子与妻子一直细心照顾，从不言累。。。但随着孩子渐渐长大，自己也越来越老，男子逐渐开始担忧，如果自己以后和妻子走了，两个孩子怎么
1696930586# #女业主维权遭几十名保安泼水，最后女业主竟然违法了！！！。。这个新闻太让人看不懂了，河北沧州，女业主因为房子出现问题跑到售楼部维权。。。她没哭没闹，也没辱骂、殴打售楼处的工作人员。只是拿了个小板凳，静静地坐在售楼处门口。。。谁知售楼处工作人员叫了几十个保安，真的乌泱泱一群大男人，拿着桶舀
1689845360# #发布了头条文章：《西安被打出租车司机鼻子变形，两名行凶者身份曝光，结局舒爽》西安殴打出租车司机男女被刑拘出租车
1690795690# #好家伙允悲
1695113332# #哈哈哈哈哈哈哈和
1698112860# #围观了下有钱人的寿宴，这真的不是在开演唱会吗……。还请了明星助阵，关键管吃管喝免门票，我们你们有钱人拼了苦涩
1695102842# #允悲
1692241232# #爽
1688719716# #太离谱了吧，整个公司都搬啦哆啦A梦害怕
1693191435# #太可恨了，无端打人就算了，还打的是有智力障碍的残障人士。人家好不容易找份工作，一个月赚着可怜的1000元谋生，还要被人这样欺辱。
1699513053# #假地铁口？？？
1693469562# #……
1693552980# #笑死我了，吃鱼吃出鞋垫子的大家见过吗。。。辽宁鞍山，一女子与朋友前往一家餐厅吃饭，点了份炖鱼。。。鱼端上桌，女子定睛一看，鱼旁边竟然躺了个黑色的鞋垫子。女子自己都乐了，赶紧叫老板。。。老板去后厨调查了一下，解释说是厨子在炖鱼的时候不小心把挂在上面的鞋垫碰到锅里了。。。女子觉得这解释太牵强
1692879565# #嚯哈哈哈哈哈
1703584093# #谁那么缺德，砸烈士墓呀！。。这事看得人太揪心了，浙江金华詹忠义烈士，19岁当兵，26岁在追击歹徒过程中，被刀刺中腹部。依旧强忍腹痛，紧追歹徒。。。随后在血染17米村道后，献出了自己年轻宝贵的生命。。。谁也没想到，这样忠义勇敢的烈士，墓碑竟遭人多次破坏。。。第一次发生于2012年冬至前夕，其家人前去
1686989091# #发布了头条文章：《母子被沥青埋压身亡后续，孩子皮烫没，家属至今未收到道歉》母子被沥青烫伤身亡涉事车辆超载25倍超载25倍沥青货车侧翻母子被埋身亡
1703644230# #这个好，后续交代清楚了，这才是新闻人该干的活，下次不说你胖了。。
1695632618# #发布了头条文章：《大同霸凌男孩母亲慌了！家底被扒底朝天，紧急清除社交账号》山西大同大同大成双语学校
1687852609# #发布了头条文章：《靠山寨起家的奥利奥陷致癌风波，航天员能量餐教你挑选健康饼干》
1688436093# #他在哪，哪就是夜市
1690262932# #好会形容苦涩
1699238325# #哈哈哈哈哈哈哈哈哈
1703236908# #见过不要脸的，没见过这么不要脸的。。。12月21日，天津站综合客运枢纽。。。一男子坐出租车到达目的地后不付钱，无论司机咋说就一个字没钱。。。司机无奈报警，谁知警方来了男子照样不付钱，咋说就没钱，给司机都整无语了。。。司机气得质问男子，你没钱坐啥车呢。。。男子还理直气壮的，有我就给了，谁不给钱呀
1701840662# #好看，但i人开不了
1691479020# #一家三口遇难，留下3岁幼童，这让孩子以后怎么活呀。。。7月31日，河北涞水突发洪灾，当时郑先生正和妻子、小女儿待在屋内。。。洪水来得又急又凶，没等几人反应，就被湍急的洪水瞬间卷走。。。不幸中的万幸中，3岁的小儿子当时正和奶奶在院子内玩耍，碰巧躲过一劫。。。见儿子、儿媳和小孙女都被洪水冲走后，
1702605340# #老板算是彻底火了
1699263148# #发布了头条文章：《兰州拉面火了！上错餐不认错将面扔顾客身上，老板发声否认要报警》兰州拉面
1699004963# #哈哈哈哈哈哈哈哈哈哈
1693461059# #别人是装的而我是真的
1696646608# #过于真实泪
1690252064# #苦涩
1698738405# #想起了我当时在灵隐寺看到那句“世间一切，为我所用，非我所有”
1699499794# #这大妈也太没素质了吧！跑卫生院做雾化不愿排队，竟直接将别人小孩正在使用的雾化器电源拔掉！。。据孩子妈妈称，那天她带两个孩子去卫生院做雾化。正做的好好的，突然进来一大妈，上来就抢夺她孩子的雾化器。。。女子上前阻拦，大妈反倒还有理了，叫嚣自己昨天先来的，今天也得先做。。。这是何道理，昨天是
1703670320# #并不简单
1696831264# #允悲
1688362513# #啊，这么惨的
1687854692# #奥利奥来自美国卡夫食品有限公司，卡夫食品有限公司成立于1852年，是美国最大的食品企业，也是世界第二大食品生产商。。。奥利奥自其面世以来，就受到了无数饼干爱好者的追捧。。。其酥脆的饼干，搭配甜腻的奶油，俘获了众多甜食爱好者的芳心，一句“舔一舔、扭一扭、泡一泡”更是响彻大街小巷。。。如今奥利
1696844520# #潍坊那俩因为不雅视频爆火的村干部，没想到还挺有钱的。。。有网友查到两人之前合开过公司，是一家养猪合作社，注册资金高达800万。。。而且当地在对男方胡主任的介绍中也写到，胡主任本村致富能手。。。看来这位胡主任真是海水不可斗量呀，小小一个村主任一出手就是800万，身价不小。。。只是不知道都这么有钱
1689154962# #发布了头条文章：《成都女子将网约车司机逼疯，怒吼滚下去完整视频曝光，女子不简单》四川成都网约车成都网约车
1696737156# #一整个激灵起来了
1696990090# #怒
1694679005# #抗日物资苦涩
1698656503# #哆啦A梦害怕
1697600687# #哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1701396879# #跪了
1693474752# #发布了头条文章：《网红导游收道歉信：我并非鲁山相关人士，网友：临时工马上来》
1693271020# #必须严惩怒
1692854082# #麻了
1688723591# #23万，真敢要呀哆啦A梦害怕
1691392920# #简直离谱，男子误上高铁，其妻子要求高铁开司机门让她老公下车！。。近日，一辆从广州南开往北京西的高铁上发生了一件奇葩事。。。一女子坐高铁，她老公来送她。为了帮她搬行李，就刷了身份证进站，还上了高铁。结果她老公还没下车呢，高铁开了。。。女子瞬间急了，大闹高铁，让高铁停车，不许开。还拉着乘务
1693906729# #别说了，快别说了泪
1691658471# #发布了头条文章：《网传常州二院朱主任查出1.2亿，几十套房产30斤黄金，官方回应了》网传常州二院医生朱某兰被查官方回应常州二院医生朱某兰被查
1701307143# #笑cry
1688955588# #这是蓄意谋杀呀，练了三天车就为了撞死女生，太恐怖了，就因为女生拒绝与他交往怒
1695028360# #我奶现在还觉得鸡精比味精好苦涩
1688029192# #认真的还是开玩笑，就算开玩笑但这个玩笑一点也不好笑！刚中考完就不能让孩子放松几天？
1687504838# #反式脂肪酸是什么？。反式脂肪酸是一种非天然的饱和脂肪酸，其来源包括精炼植物油、氢化植物油和起酥油。世界卫生组织将反式脂肪酸列入一类致癌物名单，称其具有很强的致癌性。。反式脂肪酸还很难被人体排出，网上有一则关于反式脂肪酸的传言，称吃一口要身体代谢51天才能将其完全排出，这是真的吗？
1696024804# #发布了头条文章：《几片榨菜22，上海物价再次刷新认知，网友：沪价正常》上海物价
1700999036# #喊女老板花姑娘被辞退，还有脸找记者维权。。这条新闻着实给人看乐了，浙江一小伙子在当地一家公司上班。。在工作第七天遇见了公司的老板娘，小伙子不知道礼貌、尊敬地冲人打招呼就算了。。竟然张口喊女老板花姑娘，语气调侃、言语戏谑。。喊完了一会儿，小伙子就被公司主管叫了过去，得到了一份辞退通知。
1693962747# #转发微博
1700117324# #衰
1695003128# #苦涩
1698368696# #逆行+肇事逃逸，得进去了
1698308656# #哈哈哈哈哈哈哈哈哈
1698975950# #啊
1694596065# #发布了头条文章：《河南黑衣女拦轿后续，被判互殴新娘家倒赔4500，女子账号被扒》河南永城
1696905709# #这怎么还有出轨侄媳妇的，我的天呐，有没有底线呀……。原配太惨了，侄子也好惨衰
1689905209# #哆啦A梦害怕
1695890551# #快装不下去了喵喵
1695262019# #确实不是人允悲
1689751206# #哆啦A梦害怕
1697076633# #你看人的本性永远不会变
1698999548# #发布了头条文章：《航天员登月车曝光，地月经济特区再提上日程，能量早餐虽迟但到》如何看待中国有望登月球火星
1694504089# #哆啦A梦害怕
1697187542# #发布了头条文章：《我国空间站将变6舱，美宇航员被拒之门外，太空能量早餐为你揭晓》
1690358709# #哈哈哈哈哈哈哈和
1693816554# #酱香拿铁茅台瑞幸酱香拿铁。。有没有和我一样，以为是咖啡里加了几滴茅台白酒。我还害怕白酒味道太重，我不爱喝呢。结果一看网友的爆料，我觉得我还是太单纯了，纯粹瞎操心。。。就像老婆饼里没有老婆，夫妻肺片里没有夫妻一样，这个所谓的茅台联名酱香拿铁，里面也根本没有茅台，就是咖啡液搭配一款
1689572362# #小孩的衣服越来越成熟、性感，大人的衣服却越来越幼化
1703495061# #地板这么冰吗允悲
1688525422# #咱们能不能跟上呀泪
1695262083# #啊
1692067386# #笑cry
1691743391# #？？？
1700559280# #如今，烤红薯已经成为了冬日的标配，就像下雪就得来一份炸鸡配啤酒一般。飘着小雪的冬日也得握上一只烤红薯，既暖手又美味。。但你知道，烤红薯也有科技与狠活吗？。让你欲罢不能的那股香甜，其实根本就不是烤出来的味道。
1701066853# #绷不住了
1700537861# #农村小隆的事情不知道大家关注到没有。。。小隆今年只有10岁，广西钦州人，他还有个5岁的妹妹和一岁的弟弟。。。母亲在家照顾孩子和老人，家中全靠在水洗厂干活的父亲养家。。。8月27日晚，他父亲因踩到工厂机器掉出的电线触电身亡，留下一家子孤儿寡母根本不知如何是好。。。作为主要责任方的工厂，却只愿赔付
1688524649# #太坏了，高考可是人生大事，多大的矛盾要窜改人家志愿怒
1688199306# #发布了头条文章：《浙师范行知学院女生辱骂并冲男同学泼开水，致其二度烫伤装抑郁》浙江师范大学行知学院
1699240663# #美团45岁以上将不能送外卖了？谣言！。。昨日，多个平台流传一张美团“配送服务年龄到限通知”通知。。。通知中称，当骑手年龄达到45岁，将不再符合美团及配送商服务规范，系统将不会再向骑手派送订单。。。这份通知霎时一石掀起千层浪，都说35岁打工人的一道坎，许多白领调侃，到不了到时去送外卖。。。但是能
1703556199# #转发微博
1703729936# #苦涩
1694661502# #？？？
1702286733# #这男的也真够丢人的，能不能抓起来，这不妥妥的性骚扰。。。上海，两女子站路边等车，过来个几个骑电动车的男子，一男子张口就骚扰女生。。。“5000块钱，能当你半天男朋友吗？”。。女孩没听懂，生怕误解男子的意思，忙追问什么意思。。。男子再次重复，5000块钱，我们当你半天男朋友。。。这次女孩听清了，一下
1694144732# #当年上网课的毕业了
1690420303# #转发微博
1701916881# #买的内裤，都试穿了怎么好意思拿回来退货的？。。12月5日，吉林长春。一女子在店里买了条内裤，回家试穿后觉得不合适，竟找到卖家要求退货。。。女子称，自己只是小小试了一下，有点勒腿，想让老板娘给她退下货。。。女老板则表示，外穿的退货可以，内裤不行，而且女子已经穿过了。。。女子还狡辩，称自己只是
1698904712# #哈哈哈哈哈哈哈哈哈哈哈哈
1688563679# #天呐，不敢相信泪
1698629931# #允悲
1691384745# #在这个泥泞的地方救人还穿白鞋、白裤，怪讲究嘞
1698905888# #允悲
1700815679# #发布了头条文章：《马云进军预制菜！26年我国预制菜规模达上万亿，太空早餐一探究竟》
1694417238# #真的要笑死了，麒麟9000s居然是蜜雪冰城代工允悲。飞机上打华为卫星电话属于违规华为回归或使iPhone出货量减少1000万
1699494647# #哈哈哈哈哈和
1692255590# #转发微博
1688957974# #转发微博
1699673666# #66万，啊啊啊啊啊啊啊啊啊啊
1698643133# #哈哈哈哈哈哈哈哈哈
1698658990# #不知道大家有没有关注到这起事件，女生母亲因黑心老板不慎从楼顶坠落身亡，现在她和弟弟妹妹都成了孤儿，黑心老板还不积极处理此事，女生无奈只好跪在小区门外求公道！。。女生母亲在陕西彬州市彬城壹号小区做保洁，一日被物业安排打扫楼顶。。。小区的对楼部分没有封顶，楼顶也没做任何安全措施，只是用泡
1688549435# #发布了头条文章：《广州年轻人改坐电动轮椅上班了，网友：轮椅新国标马上来》广州交警否认查电动车违规直接把车拉走广州新规电动车不上楼实施受阻
1694079212# #不知道大家还记不记得那个被野蛮夫妇暴力殴打，拉扯衣服的自贡女生，她吞食大量安眠药企图自杀了！。。昨日，女生突然发博，称短视频账号好像遭到封禁，什么都发不出去。还表示自己已无法忍受夫妻二人的侮辱，实在撑不下去。随后留了封遗言，并吞食了大量的安眠药。。。在遗言中，女生感谢亲朋好友和网友对
1687837246# #这可太好了，一套房可不便宜呢。虽然邻居也挺无辜，毕竟是开发商一房两卖惹出的事端。可不管怎样，法院既然判了于女士胜诉，邻居就应当归还房子，而不是依旧不讲理强行霸占房产。邻居有委屈，可以去找开发商，逮着于女士不停欺负算怎么回事。
1692952024# #发布了头条文章：《日系产品遭抵制，多品牌声明无日原料，航天员能量餐郑重承诺》日系化妆品还安全吗
1688635218# #发布了头条文章：《男子当街殴打环卫工，揪头发、狂扇脸，处罚结果大快人心》广西广西玉林环卫工
1688621727# #查怒
1701054078# #现在很多人花钱是买一个和其他人隔开的空间
1701399913# #涨知识了
1694482567# #哈哈哈哈哈哈哈，上次看到个00后老板谈生意，给对面两40多岁的中年老板买的蜜雪冰城，还是最便宜的那种
1698638242# #这人体制内的，感觉背景不小
1689062195# #这几天经常刷到这个新闻，可一直没个定论
1696079585# #若您还在为堵在高速路上舟车劳顿饿肚子而烦恼，还在为出门自驾体力补充能量而担忧，十一长假期间航天员太空能量餐食品为您的长途旅途保驾护航！撕开即食，给您身体快速提供能量和营养，原料中进口米糠脂肪烷醇是抗疲劳，缓解肌肉酸痛的主要成分及功效。国家军用标准《航天员食品卫生要求》不允许添加
1687917755# #以后酒店还能不能住了，怎么什么人都有
1692845858# #怒
1695634044# #如今这个教育圈都快赶上娱乐圈了，大瓜不断呀！
1702014492# #好魔幻
1696456817# #发布了头条文章：《16岁博士神童张炘炀，3次被父母阻前程，如今无业卡里仅千元》
1691742257# #发布了头条文章：《20种添加剂也敢宣传零添加，太空方便餐引导食品安全》
1689388286# #怎么什么变态都有，大家平时还是多点防备心吧衰
1692264638# #发布了头条文章：《西安女子长期坐出租不付钱，身份曝光遭众司机避雷，警方求线索》西安陕西西安出租车出租车
1698027750# #广东揭阳锡场女子产后跳楼的事又迎来新后续了！。恶婆婆的小儿子，好像因为这事被退婚了。
1690353705# #转发微博
1697523423# #允悲
1700097877# #哈哈哈哈哈哈哈哈哈哈哈
1696737192# #？？？
1689645542# #允悲
1687023540# #川大张薇的处理结果疑似出来了，没开除，留校观察！。。有网友爆料，四川大学内部开会讨论结果出来了，对张薇的处罚是留校观察，不开除。。。这个结果大家觉得满意吗？反正我觉得有些太轻了，毕竟张薇可不止地铁污蔑别人偷拍这一件事。。。高中霸凌同学，不仅组团排挤对方，还把人叫到厕所殴打，消防栓玻璃都
1699608140# #发布了头条文章：《B太大连打假后续，官方已立案海鲜店关门，真材实料还得太空早餐》大连地点嚣张的大连海鲜市场大连市监局通报b太曝光鬼秤案件
1687251796# #发布了头条文章：《长期食用防腐剂对身体有何影响？0防腐剂的航天员能量餐如何保质》防腐剂
1703583221# #航天员竟不能打呼噜，连打嗝都是技术活，能量早餐为你揭秘
1689124939# #衰
1692692364# #……
1688521967# #最近清华大学女硕士毕业典礼跳热舞的事情大家关注到了吗，有网友称其跳的是美式劳军舞？。。我看了下两位女生的跳舞视频，穿着学士服，在毕业典礼的背景板前挥舞四肢，热辣奔放，活力满满。。。有网友称其跳的是美式劳军舞，我觉得有点牵强了。。。女生跳的舞很明显就是韩国女团的一些舞蹈动作，只是这个舞蹈
1687673490# #两人搁在练举重呢允悲
1694999346# #转发微博
1694576354# #这货车司机是精神出什么问题了吗？。。人家奥迪车停在自己家门口，一没占别人的地方，二没挡路，来了个神经小货车，对着奥迪车连续倒车撞击，撞了奥迪车整整24次。。。车前盖都撞起来了，车大灯更别说了，一整个粉碎，把路人都看懵了。。。奥迪车主说了，自己跟小货车车主都不认识，自己也不知道小货车司机发
1692672783# #洗发水里挤出几十只虫卵，吓死人啦！。。湖北黄石，一女子趁着618搞活动，在宝洁官方旗舰店购买了2瓶海飞丝洗发水。在使用时出了问题，洗发水挤出来都是黑黢黢的，颜色十分不对劲。。。女子凑近一看，竟是虫卵，一泵大概有50多只，都长出头脚了。。。女子连忙拿出另一瓶洗发膏，发现都是一样的情况，顿时把她
1691640281# #哆啦A梦害怕
1698135428# #发布了头条文章：《确定了！3名航天员进入神十七参与演练，太空能量早餐助威》成功发射遥感三十九号卫星
1688022074# #啊
1692063703# #……
1689232359# #我天
1691479773# #反应太快了
1692926260# #真会玩呀
1703237128# #什么，一个亿！！！
1692688740# #这俩没事吧，闯进人家宠物店，还给小猫喂电影票？。。江苏南京，一对男女，在宠物店闭店后还闯了进去，并把电影票喂给店内的小猫吃，导致小猫无法正常排便，最后被老板带去拍ct洗胃、灌肠这才好了些。。。据宠物店老板称，店在影院旁的半开放区域，只有一个入口，每次闭店老板都会用易拉宝挡住。。。这两人根
1690277231# #发布了头条文章：《臭豆腐造假，来点科技上演一秒变黑？太空方便餐为你揭露真相》臭豆腐黑色经典臭豆腐
1703644609# #太坏了，消费大家的善意
1693475633# #高空抛物的人真的太缺德了！。。河南郑州，一妈妈抱着自己4个月大的孩子在小区遛弯。突然楼上不知谁家丢下一个烟头，先砸到孩子眼睛，又掉在孩子脖子上。。。孩子被烫了一下，下意识缩紧脖子，瞬间把烟头夹得更紧了。。。等孩子妈妈掰开孩子脖子时，烟头还在冒烟，孩子的脖子被烫出两片红印。。。伤口还化脓感
1695785276# #山西一家长大闹家长会，拿凳子砸老师的事情大家看到了吧，此事另有隐情呀！。。9月24日，山西一小学家长大闹家长会，举起凳子怒砸班主任。导致家长会现场一片混乱，尖叫和劝阻声满教室乱飞。。。据媒体报道，这位家长突然朝班主任发难，是因为班主任未及时给她重发邀请函。。。报道一出，针对这位家长的指责
1692926652# #苦涩
1691980117# #做多了可能是觉得妈妈辛苦，想让她多吃些，没想到换来一顿批评。估计小姑娘以后都不会做了，孩子不做她妈估计还要批评，不知道体贴父母，什么都等着爸妈回来做微笑
1690354037# #欺软怕硬怒
1690335126# #四大爷粉色娇嫩，你如今几岁了
1689068033# #喵喵
1695885478# #发布了头条文章：《女业主被扇耳光后续：打人者身份曝光拘留10日，女子头晕昏迷不醒》江西南昌女业主与写字楼男员工商谈突然被扇耳光警方回应小区女业主遭写字楼员工扇耳光
1699004393# #赚人家钱还嫌弃人家大专，老板太没品了打脸
1698643533# #通报太简略了，很多没说清楚。孩子妈妈说的下体受伤是什么情况，孩子在学校不敢上厕所，是否曾在厕所也遭遇过霸凌？
1697427035# #刷到了，一眼假
1689061971# #这瓜喂猪猪都不吃允悲
1692067625# #笑cry
1692687287# #？
1690968948# #广播不叫通知吗，非得村干部到他家在他耳朵边上喊是不怒
1698196581# #神舟十七号航天员公布了，不是大家猜想的刘旺，是汤洪波、唐胜杰、江新林。。具体发射时间为，10月26日11时14分！。神舟十七号
1688109908# #前几天全网都是，辟谣了，辟谣了！
1694948477# #近日，一位黑龙江齐齐哈尔的网友爆料，考场的安全员开私家车故意别停考试车。。。通过网友拍摄的视频能看到，在学员完成绕车检查，上车准备启动时，一辆奥迪车从一侧驶了过来，直直停在了学员车后面。。。见学员车启动后，立马加速横穿双黄线开到学员车前面将其别停。。。科三突然停车，这个学员的考试肯定是
1698026404# #看着像被人嗦过的样子允悲
1693550940# #尊嘟假嘟，不许骗中国人悲伤悲伤
