1697015644# #真的假的？？？？？
1697808237# #这是土耳其被西方抛弃后做出的选择，要与中国一带一路对接，真是迫不得已啊。不过他还想拉日本进来掺和，就是不想跟我们搞一夫一妻制。土耳其力推印欧经济走廊的“重要替代项目”，还提到加强与中国合作
1703945427# #据澎湃新闻，调整前，马云为蚂蚁集团实际控制人，调整完成后，蚂蚁集团包括杭州君瀚和杭州君澳在内的各主要股东彼此独立行使所持有的蚂蚁集团股份表决权且无一致行动关系，各股东未单独或共同在蚂蚁集团股东大会层面形成控制，也不存在任何股东所提名的董事人数超过全体董事半数的情形。因此，不再存在
1699858803# #我国开通全球首条1.2T超高速下一代互联网主干通路
1689315952# #物是人非皆成空。扯掉邱毅假发的黄永田终究还是没能当他的司机！
1704036823# #万亿新城的合肥，不要让人民失望
1703686493# #纪委披露“老虎”周建琨搞形式主义！与基层干部握手、拍照就走……
1690637450# #欢迎法国成为欧洲经济的领头羊。德国使使劲，又往后靠了靠！。中法高级别经济财金对话：中方欢迎法方参与嫦娥七号、八号及天问二号
1698047858# #啥？这届骗子也开始“内卷”了？
1698566967# #抗议拜登政府对以军援，美国旧金山1.5万人走上高速
1690950286# #转发微博
1692629177# #一老人在泡氢水澡时去世，氢气真的能治病吗？
1701051596# #重庆市原副市长熊雪被决定逮捕
1693380907# #我们不说谁会说。欧美媒体受昂撒犹控制，隐瞒日本排核污水事件，普通民众不知情
1693574048# #转发微博
1692249925# #提“割地入约”惹怒乌方后，北约官员：这是错误的
1691737599# #到目前为止，我国已经放开了100多个国家的出境游！据说对日对韩的出境游热度高涨！不知道这样的局面对中国的经济增长会带来什么好处？国内一直在激发大家的消费热情，应当不是鼓励有钱人出国消费吧！否则，这是怎样的国际主义精神！当这些人出国归来时带回大包小包的国外商品，我们得高兴啊！因为他们
1700215208# #致敬🙏
1704160836# #ASML：2050i及2100i光刻系统出口许可证已被部分撤销
1695977480# #任专家有责任不
1690870024# #哎呀，美国居然也玩上面有人的把戏啊！刷新谁的三观！。前商业伙伴爆料：亨特·拜登受雇在公司与客户会面时给父亲打电话
1691905094# #转发微博
1701050991# #成都11连撞事故调查：特斯拉车主称当天刚上牌车子突然不受控制
1689254968# #泽连斯基这次又被忽悠了。他这个人，被选上总统，我想他肯定也想干点事，想做个伟大的总统优秀的领导人。但他不是斯拉夫人，我觉得他对乌克兰的斯拉夫人感情不足，所以愿意以乌克兰人的血肉之躯满足西方对抗俄罗斯的意愿！如今在北约峰会上又被忽悠，说什么G7都支持它，没必要加入北约！不就暴露了北约
1695449729# #转发微博
1696922002# #与“北极鲶鱼”爷爷一起被通报的，还有他
1699862130# #周鸿祎：任何情况都支持华为余承东说的肯定没错
1689222483# #加强管理你也喷，有人被伤你也喷，去美国吧，那里自由。外出务工人员带瓦刀进站被拒？武昌站：所带的是有锯齿的抹泥刀，非瓦刀
1693366816# #银川市委原书记姜志刚被双开：利用职权低价购房
1690899192# #转发微博
1697634862# #32岁当县长，36岁任县委书记，清华博士党帅拟任新职
1703055561# #积石山6.2级地震已致131人遇难，甘肃地震救援工作已基本结束
1692630452# #大V着急了！他的粉丝也急了！既然辉瑞1.68亿没你的份，着急啥？
1698567905# #前三季度全国纪检监察机关立案47万件，其中立案中管干部54人
1694340482# #淡淡的虹
1693912785# #京沪高速铁路公司副总经理王勇接受审查调查
1695184455# #孟晚舟：打造中国坚实算力底座，为世界构建第二选择
1703479948# #悼念！共同哀悼积石山6.2级地震遇难同胞
1703484596# #“真没法住了！”沪上高端河景房，24小时遭“船震”！市民求助，被多部门“退单”
1691555553# #网曝游客发现重庆一寺庙供奉日本邪神，游客发现后要求庙方工作人员立即销毁，该工作人员解释称，是别人拿到庙里的，在这位网友的督促下，这位工作人员拿着“神像”向外走准备销毁。这里有个细节，是别人拿到庙里的，这个别人，能找出来不？
1695128243# #如果不敢调查美国，谭德塞应该卷被盖走人！。据联合早报等媒体报道，联合国世卫组织负责人谭德塞最近在新冠溯源问题上又向中国施压，要求中国再次接受世卫组织派出人员进行全面溯源调查，并督促国际社会在双边会谈时向中国施压。赤裸裸一副狗仗人势的狗腿子样子。。谭德塞如此的嚣张，跟之前客观理性地看
1703479960# #《纽约时报》爆料称：普京对和谈态度软化，但西方都持怀疑态度
1699584572# #襄阳健桥医院“贩卖出生证明”事件追踪：7人已被采取刑事强制措施
1693364089# #胁迫11岁少年吸毒贩毒并殴打致死检察院抗诉后死缓改判死刑
1699703435# #何立峰与美财长耶伦会谈累计达10小时，中美经贸关系出现拐点？
1701938570# #涉19年香港理工大学冲突的6人暴动罪成：“求情信说不出自己错在哪里”
1700006920# #最近，外媒报道台湾因为劳工短缺而从印度引进数万劳工，而印度外交部发言人也在9日证实，印度正与台就此劳工引进协议进行最后的谈判。有预计称如果可能，该协议会在年底签署。。按理说，岛内劳工短缺，从岛外引入劳工，本无可厚非。。此前就有菲律宾的劳工被引进岛内。。但这次又说要引进印度劳工，而且数
1698291040# #感觉良好！
1695729346# #菲律宾这么跳来跳去，估计是后面的美国人在捣鼓。可以说，菲律宾的政客，包括军队高层在内，都被美国渗透的透心凉。这样的菲律宾，一切都要听从美国的指挥，很难做出符合自己长远利益的正确判断。。外交部：中方坚定维护黄岩岛主权，奉劝菲方不要挑衅滋事
1689255111# #今天看新闻，王毅与布林肯见了面，同时美军飞机飞过台湾海峡并炒作！看看吧，天天吵着要见面，边见面边朝你捅刀，而且不是偷偷干背后搞，而是当面来，这就是美国人的德性。如果我们跟他们来个有样学样，我觉得是落入他的圈套，不学吧，就必须找到新的反制套路！给他来个迎头痛击，让他长点记性，比如镓
1694656803# #新证据！网攻西工大的神秘黑客身份被锁定，“间谍软件”是关键
1699450053# #“我们也是人”，巴勒斯坦裔议员哽咽质问美政府，反遭众议院投票谴责
1695113719# #赞一个
1690437460# #道德建设的希望
1693299528# #谈谈白左雅克·卢梭
1703564461# #“两高”联合发布依法从严打击私募基金犯罪典型案例
1701001900# #中国公证协会秘书长曹阳接受审查调查
1700054959# #基里巴斯对华免签政策正式落地生效
1700576094# #澳防长访印炒作：中国是澳印最大贸易伙伴，也是“最大安全焦虑”
1692501358# #外媒：中国沙特大幅减持美债
1702375300# #央视网消息，12月12日，陕西省宝鸡市中级人民法院一审公开宣判原中国铁路总公司党组书记、总经理盛光祖受贿、利用影响力受贿一案，对被告人盛光祖以受贿罪判处有期徒刑十四年，并处罚金人民币五百万元，以利用影响力受贿罪判处有期徒刑七年，并处罚金人民币一百万元，决定执行有期徒刑十五年，并处罚金
1704170450# #2023年12月财新中国制造业PMI微升至50.8为四个月新高
1704078430# #老百姓有钱不敢花，还是有钱人有钱不敢花。有央视名嘴，多次在节目中提到，老百姓有钱不敢花，还询问专家如何做到让老百姓敢花钱。。这样的言论，有人给他搬到舆论场，立即引起网友们的群嘲。。到底是老百姓有钱不敢花还是老百姓没钱不能花，是当今必须搞清楚的一个大问题。。难道花钱是很难的事情吗，难道
1691121584# #转发微博
1694003705# #涉违法处理个人信息，知网被罚款5000万元
1692424344# #统一万岁！。东部战区在台岛周边组织海空联合战备警巡和联合演训
1693634711# #吉林省政府原副秘书长高材林被判无期：贪污亿元且不能退缴受贿赃款
1699975173# #果敢同盟军军事委员会关于入老街清剿残敌的命令
1702024216# #乐平上访者之子杀害综治人员案续：高院已复核死刑，报请最高法核准
1701432025# #涉56项违规行为，中信银行被国家金融监管总局罚超2.24亿元
1691334610# #英政客炒作“中国电动汽车监视英国公民”，还要求伦敦采取措施
1703924719# #美最大票仓加州宣布保留特朗普初选资格，民主党州长顾问：禁止可能适得其反
1693191730# #郭台铭宣布独立参选2024年台湾地区领导人
1690122909# #有点恐怖啊。深圳一市民被鱼蟹扎伤感染离世深圳医生紧急提醒
1703992976# #国家统计局：12月制造业PMI为49%，比上月下降0.4个百分点。。虽然我们不愿相信经济出现萎缩，但数据表明，这种危险在增加。我们一再为营商环境的改善做出努力，强调两个毫不动摇，强调内外双循环，强调国内统一大市场，但所有的生产环节和流通环节都日臻完善之后，商品和服务的销售却不如人意，必然又削
1700967124# #转发微博
1695731450# #女子收6.6万彩礼不愿领证男方起诉，法院：同居十个月，酌情返一半
1700667366# #泰国媒体报道有中国公民在泰行乞？中国驻泰国使馆回应
1691335028# #广西审计：一高校获1.31亿科研经费，科研成果转化率为零
1703139414# #尹丽波升任海南省副省长快资讯
1701345688# #美司法部指控印度官员雇凶暗杀：杀手其实是美国卧底
1700020651# #原京东副总裁蔡磊经受多年渐冻症折磨，最近在直播间居然能抬起腿部，好像他研发的药管用啊。不管如何，腿部能够活动下，说明腿部机能有所恢复，这也是在黑暗长廊里见到了一点荧光。如果能够继续走向成功，那也是给所有的渐冻人带来了希望。相信，蔡磊的书名。相信，总有攻克的那一天！渐冻人
1696833309# #快讯！外媒：以色列安全内阁批准允许以政府“进行可能导致战争的军事行动”
1690434342# #美众议院委员会举行UFO听证会，前情报官员称美政府存有“非人类飞行员”遗骸
1702527298# #国家开发银行原副行长周清玉被决定逮捕
1698300194# #美媒：美B-21隐身轰炸机开始进行地面滑行测试，目标年底前首飞
1700100690# #国家税务总局国际税务司副司长李光辉接受纪律审查和监察调查
1697592865# #加沙医院遇“最血腥事件”已致500死，哈马斯：美国的错
1701227335# #男子用马肉鸭肉充当牛肉卖了近3000万，被判无期徒刑并没收全部财产
1700226412# #生态环境部环境影响评价与排放管理司司长刘志全接受审查调查
1693361258# #官方通报“715万牛郎织女雕塑”：决定对县住建局局长予以免职
1697708233# #一切都是那样的水到渠成。好莱坞将翻拍《你好，李焕英》：索尼影业拿下版权
1692774744# #15分钟咨询收费5600多美元。甜甜圈不好吃？如果在国内戴个中国国旗帽子会不会被杂们喷？
1695184828# #转发微博
1700529811# #以色列袭击加沙地带已致5500名儿童死亡，埃及接收首批希法医院早产儿
1693307600# #喝核污水的日本人死了环保斗士们为何沉默不言。关于日本核污水排海，我们已经做出了强烈的反应。因为这事关人民的健康，事关我们的未来。。微博上已经扒出当年第一个为证明核污水无害而喝了核污水的那个日本人田园康博，2018年初。因身体不适，在日本接受检查，最后在美国麻省理工医学院接受治疗无效，
1703495029# #值得探究
1689406936# #南非：金砖五国领导人都将出席金砖峰会
1700321456# #大家不要笑，特别是不要坐在特斯拉里笑，很正常的探索，期待下一次的成功。SpaceX星舰二次试飞：被认定“失败”，马斯克祝贺
1698029416# #富士康遭查：鸿海集团回应，岛内议论纷纷
1692063283# #被缅甸语专业录取将从事电信诈骗？高校回应：系捏造
1703253075# #米莱迅速任命新驻华大使他在筹备访华？。环球时报消息，据阿根廷媒体《号角报》报道，当地时间21日，阿根廷总统哈维尔·米莱任命目前在特立尼达和多巴哥工作的职业外交官马塞洛·苏亚雷斯·萨尔维亚为新一任驻华大使。。报道称，新任驻华大使被火速任命，距离米莱就任总统不到15天时间。米莱的这一举措也标
1698996684# #外交部驻港公署发言人正告美方：恐吓吓不到中国人民
1697990695# #巴勒斯坦的孩子在取水，“文明”的犹大用炸弹炸，犹如当年的倭寇
1700320786# #SpaceX星舰二次试飞被认定“失败”
1700900454# #真正的人民艺术家。强大的内心、人格是真实存在的——医生眼中的李雪健
1696041983# #吉林“浮桥案”新进展：原判适用法律有误，白城中院决定再审
1699511670# #现在人都这么豪横吗。。副局长强占800平米屋顶花园十年？当事人回应
1701615616# #转发微博
1702535507# #大陆不能让这位妈妈失望！我的意思是，必须加快统一，否则那些在台湾还心念祖国的人都撑不住了！。台湾小学生被老师教坏，妈妈苦口婆心：“台湾是中国的，我们是中国人”
1701935777# #新加坡副总理：新加坡和中国将30天互免签证
1699630439# #外交部10日晚间公布，敲定，终于要去美国了，希望大家能够领会。。最近美国为了这件事，可谓是使尽手段，各个头头脑脑都来了，希望能促成双方大领导的会面，这样好给老拜加分，然后顺便提提他们的诉求，美其名曰在他们的努力下稳定了双边关系，并显示了他们的领导力和控制力。。但反观近期老美的表现，不
1695260859# #银川西夏区兴泾镇黄花村农田堆放垃圾事件最新进展：镇党委书记等3人被停职
1690365159# #精华在评论。中国国家话剧院发布讣告：赵有亮同志于7月26日在日本东京家中逝世，享年78岁
1700575938# #日裔舰长险些挑起中美冲突，日本野心是藏不住的。。据新浪微博上的一篇题为《军力扩张将没有边界？金一南：日本异想天开》的访谈文章内容，军事专家金一南教授在该文中透露，一位日裔舰长险些挑起中美冲突。。他说，“今年8月份，美军太平洋舰队的托马斯中将撤了一艘驱逐舰舰长的职务。这名舰长名叫伊川健
1703385719# #转发微博
1693389647# #浙江查获日本核辐射地区进口食品并立案调查
1691497556# #一而再再而三的劝告，符合先礼后兵的传统。。我使馆：希望菲方与中方相向而行，尽快就有关倡议启动商谈
1691834294# #这个早就是过期的内容，现在价格有很大变化，居然还拿来说事
1689913290# #转发微博
1695346608# #吉林一号高分04B星发射失利
1696773166# #两名以色列游客遭一名埃及警察枪击身亡
1703835582# #可见日本的邪恶。荒谬！日本驻香港总领事挑拨：香港解禁日本海鲜，就能体现“一国两制”的优点
1700189529# #广东省佛山市原副市长许国接受纪律审查和监察调查
1701326562# #北京市纪委监委：张建国被查
1703253715# #红海危机爆发！这一港口，业务大降85%！
1696827925# #我刚刚在“10月会员抽抽乐”活动中抽中了【7天微博会员】！官方福利，100%中奖，快来试手气！！&gt;&gt;
1699077105# #“内鬼”边巴次仁、李超、马松滨，同日被查
1690699779# #转发微博
1692513745# #为抵御中国，三星采用老对手LG显示屏
1701533234# #朝鲜国防省：侵犯朝鲜太空资产将被视为宣战行为
1695731362# #反馈严肃指出了国企、金融、体育领域存在的突出问题。有的落实党中央决策部署不到位，对肩负的职责使命认识不深刻，履职担当有差距；有的统筹发展和安全不到位，风险意识不强，防控机制不够健全；有的落实管党治党责任不到位，压力传导层层递减，贯彻严的基调不力，“一把手”等关键岗位廉洁风险比较突
1692857236# #这是增加底层收入的方法之一。交通运输部：主要网约车平台、互联网道路货运平台公司下调抽成比例1到3个百分点
1701179327# #两次向俄抛媚眼，美国到底图什么。据观察者网消息，俄罗斯副外长谢尔盖·里亚布科夫27日表示，莫斯科还没想好是否华盛顿发来“要求重启沟通”的非正式信函。但他提前申明，俄罗斯不会同意“单方面让步”。。有意思的是，俄罗斯外交部发言人扎哈罗娃也曾披露，美方提出亚太经合组织（APEC）期间私下对
1692354499# #一审被判死刑，李建平案二审开庭
1693373665# #转发微博
1693452403# #8月31日，国家统计局网站发布2023年8月中国采购经理指数运行情况。8月份中国制造业采购经理指数为49.7%，较上月上升0.4个百分点，连续3个月上升，制造业景气水平进一步改善。。。8月份，制造业采购经理指数（PMI）为49.7%，比上月上升0.4个百分点，制造业景气水平进一步改善。。。从企业规模看，大、中、小
1694825059# #澳“反华智库”又炒作：23项关键领域先进技术，中国19项全球第一
1696042061# #这又让彭博社失望啊，中国还不崩溃。国家统计局：9月份制造业采购经理指数（PMI）为50.2%，比上月上升0.5个百分点
1695451419# #只有被拘留，李在明才能停止绝食，一切都是安排好的，他的政党应当不存在叛徒。。李在明停止24天绝食抗议，正式进入恢复治疗
1690774745# #中外历史与现状告诉我们，只有共同富裕才能促进消费，才能确保长治久安。如今，保护民营经济发展的大旗已经树起来了，那么，促进共同富裕的大旗更不能倒下。下一步，期待不断有促进共同富裕的政策出台。。。国家发改委发布恢复和扩大消费二十条措施
1701872556# #转发微博
1692462042# #震撼！解放军火力全开，实弹军演，随时赢战！
1703836603# #马斯克的公司为美军发射大杀器，该不该收到和平国家的制裁。美国太空探索技术公司发射军方X-37B“轨道实验飞行器”
1693362903# #司机应该在见不到战争曙光的时候引退，让下一个傻瓜收拾烂摊子，反正他抵抗了俄罗斯。乌克兰2024年举行大选？泽连斯基：美国和欧洲给钱的话…
1689256983# #震撼而感动，不错
1698546879# #这名省委原书记被查后，老部下省委副秘书长、省委办副主任相继落马
1689418137# #转发微博
1690790034# #南边台风北边遭遇啊
1696824494# #思想文化战线不能有失
1704209618# #刘扬声先生半岛访谈完整版节选——西方对中国有深深的恶意与偏见
1696827912# #我刚刚在“10月会员抽抽乐”活动中抽中了【31天微博会员】！官方福利，100%中奖，快来试手气！！&gt;&gt;
1699585804# #龚正会见蒙古国外长，蒙古的草原风光令游客向往，期待加强旅游合作
1694509121# #7人被查，3人被处分
1690769670# #民营经济……。碧桂园：将积极考虑采取各种对策，同时积极寻求政府及各方监管机构的指导和支持
1702373933# #工信部通报：赶紧卸载！
1703312432# #真的可惜，如花的年龄里却遭此厄运！此时此刻，老天在哪？。清华大学：我校校友朱令12月22日在北京去世
1703335034# #反中乱港组织公民党明年3月正式解散
1689575328# #上半年经济增速5.5%，这个结果出来了，许多外国的媒体都说不如预期，替中国经济着急。其实，他们是替自己着急，不是替中国着急，而是通过渲染情绪，让中国也着急起来，好来个大水漫灌，提高需求，好帮他们渡过难关。认识到这一点，我们就不能急。当前，在抑制房地产泡沫化的过程中，中国经济取得这样的
1690897006# #河南审计厅：41家银行违规处置百亿不良，灾后重建资金被截留
1690896862# #围观香蕉哥
1696498718# #美商务部长再提华为：令人极其不安
1696065005# #话已经说得很清楚了，只要和平不要统一是不行的！
1702176506# #转发微博
1702621928# #北京地铁昌平线事故昨晚完成现场救援应急处置
1693288331# #这博主叫啥，我去关注下，干得漂亮！
1697769706# #辽宁省原副省长、省公安厅原厅长王大伟一审被控受贿超5.55亿元
1696343504# #养老中心老人被殴打？当地民政：两老人因琐事引发冲突，护工劝解
1689221990# #据观察者网消息，当地时间7月12日，俄罗斯国防部在一份声明中表示，俄雇佣兵集团瓦格纳“正在完成”向俄罗斯正规军移交武器的工作。。路透社指出，这次移交是迄今为止一个最具体的迹象，即表明了瓦格纳部队正在撤出作战地区和结束作战行动。。不过，有网友评论指出，瓦格纳此次移交武器行为并不一定表明
1692591722# #转发微博
1692182477# #印度不再从中国进口手机：每年1.8亿支的订单没了|产业链重构
1689773871# #这是谁设计的
1694773077# #美国紧盯后院，后院偏偏起火。。美国人总把拉美当做自己对后院，对于任何外在势力的进入都保持警惕和抗拒的心态，从而导致该地区成为美国的附庸，一不听话，就采取制裁和围堵甚至侵略，比如今天的古巴，不但被制裁，还有土地被占领，委内瑞拉也是处于美国的围追堵截之中，甚至还想着抛弃民选的马杜罗而扶
1690862744# #韩国出口连跌十个月，7月暴跌16.5%为三年来最大跌幅
1698293921# #古特雷斯称对言论被“歪曲”感到“震惊”，以色列再度要求其辞职
1699598752# #黑龙江桦南县“11·6”悦城体育俱乐部屋顶坍塌事故最新进展：11名重点人员被采取强制措施
1701661427# #美军被曝计划明年在“印太地区”部署中程陆基导弹，系《中导条约》失效后首次
1699083145# #中国工商银行原党委委员、副行长张红力接受中央纪委国家监委纪律审查和监察调查
1703819748# #全国人大常委会法工委：废止地方涉罪人员近亲“连坐”规定
1697724726# #必须严惩造谣者。四川被咬女童先动手砸狗？当地辟谣
1701432676# #中央民族大学党委常委、副校长田琳接受审查调查
1698759311# #“巴以冲突循环往复的根源在于巴勒斯坦领土长期被非法占领，巴勒斯坦人民独立建国的权利被长期忽视，巴勒斯坦民众的基本权利长期没有得到根本保障，这一历史不公不应再继续下去了。”汪文斌说。他的这三个长期揭示了巴以冲突的根源，也表明将是中国未来作为巴以政策的重要依据。。。以色列拒绝联合国要求
1692348755# #印象里，日本是个非常文明的社会，他们说那里超级干净，路不拾遗，夜不闭户，不过从这个新闻可见，一，日本的收费居然还要交现金，二，日本人居然还抢钱，三，他们是不是内外勾结，否则怎么知道他取钱。总之，小本子好像降级了！。在涩谷殴打抢劫中国留学生的4名日本人被逮捕
1692152663# #英方操弄BNO问题，我使馆：受蛊惑港人抵英后生计窘迫，备受歧视
1689664919# #丢谁的脸？
1690437621# #刀郎的歌罗刹海市又火了，走在路上，打开抖音，到处都有它的旋律。听了几遍，鸡啊驴的，在旋律里来回反复，总让人觉得意有所指，这不是我个人的观感，大家都这么说。。因为之前刀郎在音乐界受排挤的缘故，大家还是很同情刀郎，类似郭德纲在相声届一般，。听众们想法是这首歌到底好不好听，好听是王道，而
1691933136# #忙里偷闲加深了解
1704175352# #据韩联社当地时间1月1日报道，韩国产业通商资源部当天发布的数据显示，2023年韩国出口额同比减少7.4%，为6326.9亿美元，时隔三年再次出现负增长；进口额同比减少12.1%，为6426.7亿美元；贸易收支出现99.7亿美元逆差，连续两年出现逆差。。。值得注意的是，韩国去年对中国出口减少19.9%，截至去年11月，韩
1699356870# #浙江省政协原党组成员、副主席朱从玖严重违纪违法被开除党籍和公职
1692860926# #海关总署公告2023年第103号（关于全面暂停进口日本水产品的公告）
1694825005# #据中央纪委国家监委网站9月15日消息，中国工商银行原党委委员、纪委书记刘立宪涉嫌严重违纪违法，主动投案，目前正接受中央纪委国家监委纪律审查和监察调查。。。公开资料显示，刘立宪自2005年10月起任中国工商银行股份有限公司纪委书记。。。中国工商银行公告显示，刘立宪1954年6月出生,毕业于吉林大学。。
1692182559# #另一个柳青。波音任命柳青为波音中国总裁
1690617075# #转发微博
1689610162# #转发微博
1700122768# #国务院国资委原副部长级干部骆玉林被开除党籍
1699456968# #高瓴旗下公司“一声不吭”减持隆基绿能，证监会出手
1693385504# #我国科学家研发出新型类脑学习方法，极大缓解“灾难性遗忘”问题
1691067548# #网友评论：美国蒙古韩国要大力发展太空运输业了。蒙古国总理首次访美，称将与美深化稀土方面合作，谈及中国
1695954670# #中国代表敦促有关国家正视自身人权罪行，承担历史责任和人权义务，对侵犯土著人权利的行为立即悬崖勒马，采取实际行动切实保障土著人民应有权利。。中国代表在人权理事会发言，揭批美国、加拿大、澳大利亚等西方国家侵犯土著人权利恶行
1700402528# #中国人民银行向万事网联公司核发银行卡清算业务许可证
1696518460# #关于不要脸，阿美莉卡遥遥领先
1700741159# #广东省人大常委会原副主任李春生一审被控受贿超7940万元
1690684061# #真是个好书记
1700743250# #韩国法院裁定日本政府应向“慰安妇”受害者及遗属每人赔偿2亿韩元
1692882041# #中国留学生遭美方阻碍再添新例，赴美留学应审慎评估风险
1699949792# #太着急了！现在峰会还没举行，就有外媒称中国可能承诺买美国波音737MAX飞机。由此可见，波音多么热切地希望此次中美峰会能给它带来一张大订单。。波音为何如此热切？我们可以看看它的业绩，当地时间7月26日，美国波音公司发布截至2023年6月30日的上半年财务业绩。由于737和787飞机销量的增加，波音上半
1696772971# #华为发布全新架构的昇腾AI计算集群Atlas900SuperCluster2023年09月21日16:16来源：中国经济网，华为全联接大会2023期间，正式发布了全新架构的昇腾AI计算集群Atlas900SuperCluster，
1695184486# #我大使邢海明欢迎韩国朋友来华：一段时间以来，中韩两国人民之间存在误解
1699415368# #央行连续第12个月增加黄金储备
1700032967# #这是没有余地的回应，希望对岸能听到。赖清德声称如他当选两岸发生战争的几率是最低的，国台办回应
1693276211# #央媒实探长沙医学院让学生住施工宿舍：布满脚手架，气味刺鼻
1694738491# #转发微博
1700206155# #本·拉登的“告美国人民书”因巴以局势突然疯传，《卫报》急删21年前原稿
1692762821# #联合国报告：人工智能可能将增加工作岗位，而非摧毁人类就业前景
1699005172# #福岛核电站工人：施工现场佩戴的辐射测量仪有好有坏
1695737381# #姑娘跟外公合影被捏造成“老夫少妻”，造谣博主被判刑一年
1693879446# #山西省委副书记商黎光被查
1704203802# #中国人向来有个毛病，总要把别人想得比实际好。。中国人向来还有个毛病，总是要自己反思反思，我错在哪，怎么改！。在中日的问题上，我们就常犯这样的错误。。这些年，中日民间的情绪对立日盛，特别是日本的民意调查，日本人中对中国怀有敌意的超过60%。而这到底是个什么样的日本，对面又是什么样的中国呢
1698369704# #看看网友评论就知道这数据多牛，技巧多高——。又是这个忽悠人的环比年化数值，这个数值更多的是预测一种趋势，而不是真正环比增长了这么多，已知环比年化增长率公式为（1+环比增速）^4-1。代入美国三季度环比年化增速4.9%可得美国三季度环比增速为0.56%，这才是我们平时说的环比，中国统计局一般也只用
1693192016# #湖南娄底新化县一扶贫安置房项目频现大面积质量问题，搬迁户：住着都害怕！
1699449725# #回应的内容跟上次的回应差不多，说明美国到目前为止还没有体现出诚意。中美领导人将于本月15日在旧金山举行会谈？外交部回应
1702273004# #转发微博
1691740070# #在看这个数字时，我还特意放大了，的确是12亿，而不是1.2亿。这12亿，这辈子一直在救死扶伤的他肯定没时间享受，下辈子，他也完全用不上。这是准备给自己的后代留下12代的钱，每代1亿！可是，自古至今，你看哪个巨商大贾达官贵人的后裔能延续12代的荣光。这个医生，真是想的太多了！
1702012771# #黑龙江省委常委、副省长王一新接受审查调查
1692950192# #秘密文件曝光，蔡英文欲借FBI之手，除掉反“台独”的美籍华人
1690203455# #对华管制落地，日本官员不安了：美国做得太过，担心中方“报复”
1703945542# #女子举报国企董事长强奸未遂，警方通报
1690119115# #人家要管制，协会发声明反对，这就告诉日本，你们作对了。它能不继续加大力度吗？人家急，我们要稳住，心中不能慌，慌了就露怯，露怯了，人家还不捏死你！。配合美国针对中国实施半导体出口管制，日本今日起行动
1702628045# #安徽纪检监察网12月15日消息，据亳州市纪委监委通报称，亳州市交通运输局党组书记、局长孙善豹涉嫌严重违纪违法，目前正接受亳州市纪委监委纪律审查和监察调查。孙善豹此前因直播解决群众出行难题被称为“网红局长”。
1693209159# #转发微博
1695566106# #截至发稿，德方尚未对这一报道作出回应，也尚无媒体报道独立证实此事。奥地利媒体《快报》（Exxpress）称，俄媒发布的这条消息在意大利社交媒体上也引发热议，该报猜测若报道属实，俄后续或放出死者证件等证明。。俄媒：德国国防军士兵在乌克兰被俘
1701841384# #新一代国产超算系统“天河星逸”发布
1701414325# #在中国的那些辉瑞粉丝们情何以堪？。美得克萨斯州总检察长起诉辉瑞，指控其在新冠疫苗有效性上误导公众
1692694714# #只看不说——。据微信公众号“中国海警”8月22日消息，中国海警局新闻发言人刘德军表示，8月22日，菲律宾2艘运补船和2艘海警船未经中国政府允许，擅自进入中国南沙群岛仁爱礁邻近海域。中国海警依法对菲船只进行严正警告、全程跟监、有效规制，同时针对菲未搭载用于大规模加固违规建材的实际，从人道主
1698759551# #中央金融工作会议强调，要全面加强金融监管，有效防范化解金融风险。切实提高金融监管有效性，依法将所有金融活动全部纳入监管，全面强化机构监管、行为监管、功能监管、穿透式监管、持续监管，消除监管空白和盲区，严格执法、敢于亮剑，严厉打击非法金融活动。。监管所有的金融活动，穿透式监管，消除
1698753974# #这是一把金钥匙。国务院印发《中国（新疆）自由贸易试验区总体方案》
1700483436# #特朗普：若当选总统，将废除“印太经济框架”
1691120924# #为青年们点赞，不负韶华
1699621925# #中国银河证券原党委书记、董事长陈共炎接受审查调查
1703559797# #被要求转交善款、让基金会撤离地震灾区？韩红基金会回应
1691849090# #可以这样，港府应当鼓励那些在国外呆不下去的人回来，一是释放善意，二是弥合裂痕，三是便于教育……原则上，他们是迷途的羔羊，如果真心悔过，重新融入祖国环抱，就可以欢迎。
1700814262# #吴亦凡案现在算是尘埃落定！。北京市朝阳区人民法院对被告人吴亦凡以强奸罪判处有期徒刑十一年六个月，附加驱逐出境；以聚众淫乱罪判处有期徒刑一年十个月，数罪并罚，决定执行有期徒刑十三年，附加驱逐出境。一审宣判后，吴亦凡提出上诉。。北京市第三中级人民法院经审理认为，吴亦凡违背妇女意志，利用
1700124314# #中华视角下的缅甸大缅族主义
1700401716# #沙特外交大臣：阿拉伯-伊斯兰峰会的部长级委员会将访华
1701524169# #转发微博
1693540473# #世界上最深最大！我国首个暗物质实验室锦屏地下实验室迎重要进展
1698293811# #美国佛罗里达州下令关闭州立大学内一亲巴勒斯坦学生组织
1700450087# #美国新一批军援抵台：8万套单兵个人装备，1000挺机枪
1691925093# #90后男子“三阳”抗原呈深紫色，距上次才28天…“三阳”来了？症状如何？又一新冠变异株出现，最新研判
1695128332# #丟丟丟。通篇谐音骂人？华中师大一官方账号被指发文引用“伪诗经”，校方回应
1690120941# #郭台铭关键节点上再发声，侯友宜喊话：信念一样就团结在一起
