1698642878# #美国是资本主义国家，是有钱人的天堂！我们是人民当家作主人，人民是江山。
1697718695# #重磅打虎，看来案子不在陕西，谁的案子牵涉出来的呢？
1693551797# #朝鲜称大韩民国，等于是承认了韩国的主权独立国家地位，认为朝韩关系是国与国的特殊两国关系。我们以前也是把韩国称为南朝鲜，后来两国建立外交关系后，也就称大韩民国了。
1697678833# #在北京这边机场打车，如果是近途，比如说一个小时内能返回停车站，司机就不用排队，直接进站拉客。这个比较合理，解决了司机和乘客的问题，确实在机场，一般都要等好几个小时，如果接一个十几块钱的活，这一天就不够分钱了。
1689901252# #战争无情啊！没有办法！遏制战争是世界人民的共同希望。必须坚决反对任何形式的战争贩子。不管他来自哪里，不管他是什么人。要学会用和平的方式解决矛盾，
1697843257# #这个好物闭眼入广西新鲜百香果紫香一号3斤/5斤装酸爽可口。【推荐理由】广西新鲜百香果紫香一号3斤/5斤装，果实饱满鲜嫩，口感酸爽可口。百香果富含维生素C，具有美容养颜的功效，还能增强免疫力。清香四溢的百香果不仅可以直接食用，还可以制作果汁、果酱等美味的食品。快来尝试一下吧！。【现价】43
1702628727# #没有发财的命，总想发财，即使是真的黄金，就能发财吗？
1692916411# #上个周日出行，早高峰，很多人走公交道，仔细一看，原来有“工作日”三个字了。科学精准！
1688308035# #带着微博去旅行这么近，那么美，周末到河北！我追逐沿途的风景，从北京一路向西，为当地做个免费广告，河北老乡欢迎你！就爱旅行
1703313673# #机关还要拜码头？还要溜须拍马？甚至买官卖官？你想想，都不可思议！这是在中国啊！怎么会有这种事情？那我们的伟大事业，难不成就要坏在他们手里了？所以反腐败！一万年太久，只争朝夕！
1692322698# #红十字会特别提醒，不信谣、不传谣、不恶搞，我再加一个不恶评，希望大家齐心协力，让中国的公益慈善事业，走出困境，奔向明天。红十字会也要努力，用实际行动，赢得大家的信任和支持，说一万遍，不如做好每一个小事。
1698450912# #这种评论很多，你无需表态，也没人让你表态，免职的时候你怎么表态，上台的时候你也是这么表态的，所以，你无需表态。每天都有政府工作人员调整，根本没有说什么情况，你都不知道怎么回事，也没人跟你汇报，你表态表的过来吗？
1691741169# #记录旅行锡林郭勒草原行，比66公路还美的内蒙古草原天路，带着微博去旅行
1690093608# #带着微博去旅行城市里的河岸护堤，还是自然状态最好，干挂石材贴瓷砖是劳民伤财的蠢办法。记录旅行
1696466011# #当年康师傅也是大修祖坟，中国人还是比较信这个。
1691453530# #这种奖励实实在在，也很快落实，非常好！名至实归，就这么干，让好人好报，让正气发扬光大，我们的社会就越来越好。不过，形式主义的东西，可以再少一点，再淡一点，就更好了。
1688552900# #这明显是有人造谣啊！故意破坏中欧关系。
1703671837# #峡江之水天上来，泰国最大的瀑布，彩虹的弟弟。记录旅行微博旅行100计划100张年度旅行照片
1689915167# #里面都是“台独分子”的口气啊？就这水平，还评论台海事务呢？莫非是1450长大了？
1698757368# #平民英雄李文奇，救人一命，本事真大！道德高尚！积德行善，好人平安！
1696049215# #记录旅行高雄的夜晚，一个街头实景拍摄，夜市刚刚散去，夜店还很热闹。带着微博去旅行十一种草大会
1696994537# #华为急了！别造谣了！没有说不让富士康代工。
1695275458# #现在可以清算一下，前些年，都是谁鼓吹房价永远不会降？天天鼓动人们投资买房！有的人变了个脸，还在平台胡说八道。太害人了！
1688139468# #这么简单的道理他们为什么不懂？我们有巨大的市场潜力，完全可以通过市场换技术达到共赢，促进全球的进步与发展。我们实在没办法，只能采取对等制裁措施，限制稀土资源出口荷兰。
1695175088# #记录旅行秦岭石塔山探秘，走进原始森林，阳春四月踏雪寻梅带着微博去旅行
1699397339# #我们国家对工程执行终身负责制！应该先把施工负责人、质检监督负责人、监理负责人、设计负责人、甲方负责人抓起来。说是一场大雪把体育馆压垮了，看起来，好像是这么回事，但是，根本上还是质量问题！人家的楼房没垮，平房没垮，木房子没垮，轻钢结构的临建也没垮，甚至土房子都没垮，你一个体育馆垮了
1697418168# #做个媒体人也不容易，需要两边解释，哪边都不能说重了，就怕别人误解，怕别人批判。民间相当一部分人都认定哈马斯这次行动是恐怖主义袭击，具备恐怖行动的基本特征，袭击对象是平民、地点也不是军事设施，死伤的也是民众，并且数量很大。
1703145375# #怎么说啊？这是干的！
1692659869# #记录旅行锡林郭勒草原行，让我陪你一起看草原，草原深处的牧民定居点。带着微博去旅行去大草原撒个野
1688930588# #这就不对了，怎么能激怒俄罗斯？还激怒？用词不当？还是找不到词了？
1689727245# #没用！基建投资刺激经济的后果，就是让经济死的更快。
1698984518# #昨天，灵车经过的马路两侧，占满了送行的人民群众，总理走好！总理您走好啊！总理您走好！低沉、悲伤、压抑的声音此起起伏，两行眼泪禁不住往下流啊！
1698286692# #超级购物节清单西域美农陕西擀面皮300g*5袋陕西擀面皮香辣劲道这个好物闭眼入。【推荐理由】【西域美农】陕西擀面皮300g*5袋陕西擀面皮香辣劲道。【推荐理由】色香味俱全，鲜香四溢，香辣爽口，筋道十足，不添加防腐剂，口感自由搭配。1.原料：优选陕西小麦精制研磨，洗面去除面筋后，口感更
1695275152# #泽连斯基讲话，到底有没有掌声？有看过直播的吗？
1698709822# #项立刚中专学会计，后来进修文学，虽然后来从事通讯工程，但是，没有做科研和技术工作，都是企业的管理工作，所以从思维模式上基本上还是写小说的那种思维，是感性不是理性，是激情不是科学。。
1691496163# #信息太多，太杂，不知道哪个是可靠的，和上午看到的梅德韦杰夫说的意思，差距太大了。
1697182170# #你这个反动派，祖国哪里有刺？祖国到处都是一片光辉！
1692340488# #台北市长蒋万安将在月底到大陆参加双城论坛，向大家推荐一本书，是他的父亲蔣孝严所著，看过这本书之后，你就会对蒋家的这个后代，有了更清楚的认识。
1698333053# #祝福英雄！早日康复！
1696244233# #5000多万退伍军人？真是遥遥领先！
1703044261# #没有美元，怎么买美股？你要是有美元，这就是个问题了。
1688043221# #客观地说，实事求是滴说，赖清德的机会还是最大的，为这一天，赖清德已经准备了十年，民进党善于大选的各种算计。相对来说，侯友宜显得准备不足，一个月前还在忙于市政，口头禅都成了只管市政。蓝营需要做的还是加强团结，团结团结再团结。大选和打球一样，就是尽量让对方出错，而自己呢，尽量不错，或
1690433221# #吃苦头，说的太轻描淡写了，应该是再捣乱再失败，直致灭亡！
1698151846# #刚刚，李尚福的国务委员兼国防部长被免职，三个月前，秦刚国务委员兼外交部长，被免去外交部长职务，保留国务委员。
1699181920# #红包有风险，收红包需小心！不给红包，一样看病，这是真的！
1703214947# #虽然没有到马列学院搞研究、当博士，我们这一代人从思想深处，还都是马克思主义的思想基础，唯物主义者、辩证法是我们思考问题的出发点。
1693180972# #网易把网易新闻给封了？还能有这事？
1703208729# #重创赖清德选情，侯友宜借力发挥。
1703325529# #清迈街头，温馨平静记录旅行微博旅行100计划100张年度旅行照片
1690986100# #外地救援力量，肯定是欢迎的，但是，肯定也不能盲目，需要当地有关部门统一部署、调配、协调，这是可以理解的。在保定各地路口下高速，免费就行了，操作简单点。
1692616803# #体制内有很多纪律约束，同事之间，也不是朋友关系，不能搞团团伙伙，相互之间都称同志！所以，和朋友圈不在一条跑道上。
1689913705# #网红哪有支持不支持的意识？他们是看需要，他们没有立场，没有观点，也没有能力，就是起哄。如果上面说，要公私合营了，他们立刻就要给老板戴高帽子游街。现在31条出来了，他们就说，我小时候还卖过冰棍呢！这些人啊！变脸比翻书还快。
1702476879# #民主国家不应该这么干，你这等于不让人家说话了，只能按照政府要求说话，不能说与政府不一致的话。
1702939340# #朝鲜最终还是走上改革开放、发展经济的光明大道。
1702939832# #专机出行，中朝友谊万岁！中国支持半岛无核化的立场，反对在东亚惹事生非，维护东亚和平稳定是我们的首要任务，也是中国利益所在。
1692252563# #上个月还说，台海若有事，不会选边站，不会让美军使用菲律宾设施，今天就变了！不可靠的朋友，菲律宾是反复无常。
1699530271# #文中有“太”字，说明是一种比较差别，不是定性的区别。
1693787599# #发错群了，老婆不好意思了！
1693788113# #美国这几年，每年都出台几个反华议案，这个议案危害不大的，中国官员，本来就没有多少钱，更不可能在美国存巨大资产。如果有些贪官转移财产，那是活该！美国试图以此影响中国决策方向，那是白日做梦，把问题想的太简单了。
1703145125# #辟谣贴！没有的事情，不要乱传了！
1702399934# #100张年度旅行照片微博旅行100计划记录旅行冬天的香山，爬山的人越来越少了，天冷不敢出来了。
1702694710# #这个作者50年没有学习，没有进步。现在是以实现中国式现代化为目标，坚持中国特色社会主义市场经济体制，走负责任大国外交路线，建设人类命运共同体，目标更远大，视野更宽广，身上的责任也更大，让全世界人民团结起来。
1692359890# #记录旅行在大大的公园里割呀割呀割，割下来的草怎么处理？能喂牛吗？带着微博去旅行
1699089453# #你以为我没学过？
1698794766# #除了早年在老家下乡，大概只在三个城市工作过，北京、郑州和沈阳，在郑州工作的时间有七年，在一个地方当省长，这算是最长的了，当地人们认可了！
1703732858# #机构改革成功的标志，就是机构是不是精简了，人员是不是更少了。这是走市场经济道路的必然选择，就是机构少，人员少。
1689039579# #没有人和离休老干部说事，你这也是转移视线，全国的老红军，肯定也是屈指可数，那都是国家宝贵财富，他们已经和钱没有关系，对他们的需求，都是按需分配。关于养老金，人们谈到的是双轨制造成的分配不均的问题，不知道这个问题能不能解决。
1693802979# #职场官场，天天讲的就是这个，都成主流了。
1691696578# #涿州受灾情况公布，未有人员伤亡报告，庆幸！庆幸！北京受灾人数129万，已经造成33人遇难，18人失踪的重大损失，北京受损最严重的是门头沟和房山，都是山区，这是造成受灾最严重的原因。
1698495407# #你觉得这几天的表现，不好？比阿拉斯加那次呢？让步妥协了没有？
1693547642# #支持做DNA检测，警方发个通告，肇事者立即投案自首，否则就做DNA检测，犯罪嫌疑人将面临故意伤害罪的惩罚，因为从空中抛物属于犯罪行为，并要承担案件的所有费用和损失。
1697795005# #你看人家这形象，怎么看都不像一个坏人啊？这不是朱时茂和陈佩斯的小品吗？主角与配角，人家在法庭上，也像一个大干部的做派。
1702470717# #和老美有啥关系？如果责任全在美方，那我们早干啥去了？难道他们比我们还了解中国实际？
1692185945# #转发微博
1698544709# #不是攻击某人，一个人没有意义，但是，不好的思想泛滥，对民族都是灾难。所以是要弘扬正气，树立正义，做正派之人。
1698029502# #拿石头、砖块扔来扔去，这是打架！还去联合国说？城管都不管，找村里的治保委员就行了！
1689334386# #【粉丝专属福利！转发送酒】来超级社区消暑趴青梅子酒与爽口的小龙虾，治愈夏日一切的燥热与烦闷~转发微博7.19抽2人送青梅酒。
1699534634# #外传哈马斯代表团将访问北京，发言人做出回应。
1689140072# #记录旅行夏日的风，又吹红了花蕊，往事只能回味，马栏风景好，来了一回，又一回。带着微博去旅行就爱旅行
1692256724# #越南副总理表态不错，点个赞！
1691028376# #这篇文章，错误可真不少，怎么拼凑出来的？没有基本常识啊！最后也没有说清楚75%，是怎么回事。
1697695500# #看了这两个观点和立场完全对立的帖子，你会怎么想？
1703431290# #这么说，俄罗斯也赢麻了！
1697790489# #哈马斯这次会被以色列一窝端吗？如果没有了哈马斯，对巴勒斯坦解放事业有多大损失？加沙地区会怎么发展？巴以和平会不会再次出现希望？
1690966648# #记录旅行成都除了熊猫还有啥问道青城山，从祖师殿到老君堂，不经历艰险取不到真经。带着微博去旅行
1691536890# #预期和信心，比钱还重要，预期不好，有钱也不敢消费，信心十足，贷款也要消费。所以，还是要提振信心！这是最重要的事情。
1698652646# #自由，是有风险的，不惧危险，只是为了自由。
1689806921# #东南亚韩国都是直接受害国，被日本的淫威吓得不敢吭声了，只有中国站出来维护正义！国际社会也是弱肉强食、丛林法则。在这个问题上国际原子能机构发挥了特别坏的作用，偷摸给日本发放了通行证，让日本的非法排放似乎有了“合法性”，狼狈为奸，给亚洲人民造成灾难。
1688476491# #把这篇文章读两遍，你就会发现，他第一，否定两岸和平发展的大好形势，否定长期以来我对台工作的巨大成就。第二他否定我们的对台大政方针，值得警惕，表面上，是在批马英九实际上不是啊！跟我玩这个，被我识破了，查查他是什么人？有什么背景？
1696507943# #开玩笑！让总统点菜？办公厅想不想干了？
1702631132# #台北，平静的生活，和你们老家城市比一比，怎么样？记录旅行微博旅行100计划100张年度旅行照片
1697592650# #被逼进改革深水区，不改怎么办？
1698765020# #如果你说俄罗斯邀请中国驻军，我都不相信！
1695264715# #雄安新区取消商品住房预售这个没有什么可以评论的，为什么取消预售制度，因为现房都积压太多，你还预售的话，这不是埋地雷吗？
1697720283# #四川爱媛38果冻橙皮薄肉嫩多汁可以吸着吃的果冻橙。【推荐理由】它色泽鲜亮，口感似橘非橙，果肉嫩嫩滑滑的，每一颗果粒都很饱满，吃起来犹如果冻嫩滑，加上酸甜适宜，橙香浓郁的口感，令人口舌生津，欲罢不能，这便是来自四川浦江的『爱媛38号果冻橙』。。它皮薄肉嫩，细嫩无渣、酸甜多汁，又特别
1698022052# #那我只有以泪洗面！祈求上天主持公正！
1695221325# #赖小民，还会再有吗？
1698887760# #茅台酒是商品吗？
1691326884# #涿州和涞水都有类似情况，不知道还没有救出来的人们，怎么样了？由于救援难度太大，很多橡皮艇被刺破，大大影响了救援进度和救援能力，现在军队已经进去涿州救援，祈祷所有的被困人员都平安！
1703465167# #起。清迈的早晨。记录旅行微博旅行100计划100张年度旅行照片
1694701253# #吃完茅台德芙巧克力能开车吗能开车，没有人说吃巧克力不能开车，茅台巧克力难道就不是巧克力吗？喝不起茅台酒，难道还吃不起茅台巧克力吗？喝茅台酒不能开车，我吃茅台巧克力，也没花茅台酒那么多钱啊！想搭茅台赚钱，那是巧克力的事，要是有人想搭茅台，罚我钱没门！不给！
1703431823# #普京刚宣布参加明年总统选举，你说他都选好接班人了，没有这么祝贺的哈！
1690845041# #万幸无人落水！车辆打捞上来了没有？据了解，这个桥不能走汽车，只能走行人和非机动车，落水的车，应该是当地人停在桥上的，所以车上没人。可能是这么个情况，等官方发布消息吧。很多人质疑，我根据自己知道的，说明一下，以官方发布为准。不信谣不传谣！维护社会稳定！
1696471018# #遥遥领先！这个可不是说着玩的，中国占据了世界体育第一强国的地位，已经无法撼动，谦虚不了了。
1693990042# #打响建设领域反腐第一枪！
1697730829# #不知道有多少巴勒斯坦人和以色列人知道中国？知道中国怎么回事？他们应该不会想到中国的普通百姓，还在为他们的事情操心，操碎了心，甚至争的一塌糊涂。谁也想不到，一句外语会说的老百姓，却能通晓国际大事，世界上的啥事都知道。这就是中国，展示中国伟大的地方。
1693451808# #华春莹说的太对了，逻辑清楚，道理明白，60种放射性核素，为什么只说一种？那59种都是什么东西？60种，确实太多了！环球不用说x平台，容易给别人搞糊涂了，直接说推特就行了，这本来就是对外宣传，“原推特”是什么意思？推特改名了？反正没见过长什么样。
1703477659# #怎么可能最后一次？一直要选下去，我们是全过程民主社会，统一了也要选举，不可能没有选举。香港澳门就是“一国两制”成功案例，这不也是隔两年就要选举一次嘛！
1696688589# #这个不是电梯，是卷扬机，不能运送人，别开玩笑！电梯最大的特点就是安全，需要有好几道制动机关。
1689643475# #这个人啥都不懂，把台湾统一，简单的理解成了渡江侦察记，以为统一台湾，就是解放上海，占领南京一样。这种舆论就是破坏祖国统一的反动分子，是给“台独分子”，给美帝国主义递刀子，说到底，是祖国统一事业的敌人。
1697538385# #北京秋色刚开始。
1698738744# #推荐看一下《奥本海默》，这是一部传记类电影，以美国物理学家罗伯特·奥本海默为主线，讲述了他在研制原子弹过程中的经历和冲突。美国的政治，黑啊！
1699360364# #其实是反驳对中日友好医院的攻击。
1691046162# #还有认领这事的？什么人都有啊！
1696682910# #特朗普不是议员，怎么当议长？虽然美国众议院议长并不要求是现任国会议员，但是此前没有人在不是议员的情况下担任过议长。有人推举特朗普，估计也是一场闹剧，继续关注！
1691047198# #记录旅行台湾的乡级火车站，看看怎么样？带着微博去旅行
1697207274# #这个好物闭眼入【态度优选】福建青靛柚4.5-5斤装送榨汁器~汁水“炸弹”...。【推荐理由】这款【态度优选】福建青靛柚4.5-5斤装真是好评如潮！它不仅外貌美观，而且味道鲜美。每个柚子都选择最优质的青靛柚，保证了口感的绝佳。而且还附送了一款榨汁器，方便你随时享用新鲜的柚汁。柚子汁水浓郁，口感
1690453817# #柬埔寨大选结束，洪森退位，洪马内接任，好像变化很大，又好像没什么改变。柬埔寨找到了一个平稳过渡的接班方式，就是民主选举的形式，
1699526421# #会议室这种公共场合，也太不要脸了，还是胆子太大了？还是什么别的原因？有摄像头你也不看看？
1692962644# #万万没有想到，日本的核废水事件，给中国的海产品造成这么大的伤害！
1703204922# #这么快就涨上来了？要是这么火爆，那还了得，又要进行调控了，炒房团又回来了？
1696336987# #这话都矛盾，因为台湾人是中国人，所以才要统一，这是统一的条件和基础啊，怎么能不用统一？都是中国人，又不统一，这个逻辑说不通的！
1694695161# #这个好物闭眼入五粮液红福·熊猫桶52°浓香型白酒柔和爽净余香不绝。【推荐理由】纯粮酿造,酒香协调,入口柔和,好喝不上头,高端大气上档次,送礼,自饮,倍儿有面儿。【现价】458元。
1688257329# #你名下的东西就是你的，这是一个非常错误的认识。你名下的东西应该是你的，你的东西肯定应该在你名下，但是呢你名下的东西不一定就是你的。
1696352251# #司马南这是到新墨西哥州拍什么片子？还说在这么美的白色沙滩上，你愿意嫁给我吗？司马南的铁粉粉们知道这个是什么电影吗？
1692833244# #这个女子的行为，给各个单位领导敲响了警钟，别不把举报的小女子当回事，一定要第一时间回应，三个月五个月不理人家，结果就会很被动，说不定还能掀起一场大浪，或者是风暴，领导们甚至都可能很危险，多行不义必自毙，该来的，早晚回来。做一个老老实实的人吧！做一个正直无私、正义凛然、刚直不阿的领
1690544177# #无法接受！撕心裂肺！谁家都一样！
1693752866# #很多人都是大陆的思维，看台湾的问题，台湾的蒋家王朝早就被铲除干净了，蒋万安也不没有台湾“红三代”、“红四代”那样的天然优势，蒋家父子对蒋万安来说，与你想象的完全不一样，也是蒋万安一直避免触碰的，唯恐惹上麻烦。也就是说，是负债不是资产。最近，蒋万安就同意将中正纪念堂改成什么广场。
1697460046# #让我猜对了，电视剧什么名字啊？
1689896520# #万万没有想到，一个人运营4万个账号，这就能控制舆论方向了，太可怕了！坚决打击！还自媒体平台一片蓝天！
1695276050# #发现一个秘密，几乎所有贪官都是边贪腐边升职，都有一个渐变的过程，越来越腐，官越大，腐败越严重，直到最后被查，很少有在最后任上才贪腐，或者就贪腐一次就被查的。
1690783308# #他们移居国外以后，这么多年，怎么保留的党员身份？讣告中都强调了他们是中共党员，有点不解。
1697727937# #狗都倒霉，没有别的办法，只有这种办法，当年超生，还拆房呢。
1690534318# #谁说中国出不了马斯克？中国能出马云、马化腾，就一定能出马斯克！
1697801015# #印度的提议相当于异想天开！
1691504483# #这么大变化？俄罗斯好像没有参加这次会议，西方和乌克兰主动后退，怎么想的？
1702890397# #腐朽的资本主义速度，一个小工程也要好几年，难道慢工出细活？记录旅行微博旅行100计划100张年度旅行照片
1691615968# #本来就是演戏，笑场了，演砸了！
1696994687# #为什么是俄罗斯和伊朗？话又说回来了，俄罗斯能怕你？伊朗能被你吓唬住？
1690611326# #野三坡的旅游，20年了，一直不温不火，这下更糟糕了，这个地方的民宿也住过，村庄搞得还可以，一定不要因小失大啊！包容一点，对外地游客多一些照顾，吃亏就是占便宜，占便宜，一定会付出代价。
1693091459# #看完了，也没有看到朝鲜向中国提出啥要求，美国日本改善与朝鲜关系，有利于半岛稳定，就是怕他们玩假的，搞阴谋。
1696993685# #这个操作，把爷爷坑死！
1689622120# #这标题吓人，日本人的生活水平，人均寿命，在东亚地区，比我国略逊一筹，总体上，还是数一数二的，不用替日本人着急，他们已经习惯于过苦日子，过穷日子，过没有尊严的日子。无论中年人，还是老年人，甚至青年人都生不如死，我们也就救不了他们。
1699450036# #记录旅行秋林黄叶铺满地，几度风雨几树空，暮然回首人已到中年微博旅行100计划100个旅行必备指南
1689305961# #常识我还是懂的，济南大学的解释，还不能让我信服，动用暴力针对一个质疑声音，非常无耻，也非常可怕，当然，也很危险，我是说，济南大学很危险。
1699305847# #不要议论这些消息，每天都有领导被免职，被任职，很正常，发言人曾经提到过原因，都忘了？
1694242887# #社会需要正义，特别需要民间正义，正义发扬光大了，歪门邪气就没有市场了，但是，正义是有边界的，走歪了，走错了，就会造成对社会的伤害。
1698300717# #有人欢喜有人忧，有人快乐有人愁，放假的领导点个赞，不放假的老板要挨骂。
1691111335# #黑龙江发生什么情况了？是新冠疫情又来了？还是又有别的疫情了？
1693125433# #是松了？还是紧了？尊重传统，节约土地，造福后代。
1690940348# #到河道捞东西，很危险！这个时候，别贪财！
1699019265# #胡锡进以为是他的1000枚核弹，促成了中美俄纷纷修改拥核政策，最近美国宣布进行已经停止的地面大当量新型核试验，这么说，你的1000核弹，还真把美国吓尿了。不过，这么一搞，中美的差距更大了，如果中国要往前赶，付出的代价非常大，你要求中国的核力量超过美国，短期内是不可能的。现在俄罗斯也要撒
1697667568# #这是啥心里？还抓住机遇？抓什么机遇？趁火？还是浑水？邱震海莫非也是搞投机习惯了。当务之急，现在是拯救生命、制止战争，劝和促谈，解救加沙地带的巴勒斯坦人，中国在中东的态度，就是支持和平谈判，促进地区和解，造福阿拉伯人民，中国没有私利可言，中国能有什么私利？已经有四人死亡，六人受伤，
1689688380# #各方利益争夺战，未来局势难料，似乎和平是各个利益方的最大公约数，但是，还有很大的不确定性，各方利益诉求冲突矛盾很大，解决问题需要智慧，也需要时间。
1698755351# #怎么改变？给金字塔贴瓷砖？给尼罗河加个盖？把南极融化灌溉撒哈拉沙漠？要把国内计划国际化？
1703030470# #还真是别有一种味道，以前只有煎饼果子，后来出现鸡蛋灌饼，这两年又出现一个炒冷面。
1698790204# #停火，只是想停下来喝口水，怎么可能巨变？基本面都没变，何谈巨变？有些文章，就像坐过山车，东一榔锤，西一棒槌，根本联系不起来。
1692860788# #谁干的？在俄罗斯境内，你说谁干的？天灾人祸吧！
1698538957# #郑州也在悼念！
1697634140# #按照俄罗斯的路子，这不正好嘛？国土扩大好几倍，但是，以色列不干，如果真的合并了，以色列巴勒就是地区大国了，以色列何乐而不为？
1695008827# #股市这个事情，确实极大地伤害了中国人民的感情，但是别骂华尔街日报，不管他做的对不对，那也是他们自己的标准，虽然他们这么做，对中国股市也是很大的打击，也会造成很大的损失，但是，中国股市的诚信确实太低。真正造成中国股市问题的不是别人，是中国股市自己，造成股民损失的也是中国股市，不是别
1698756562# #中国人民不会忘记！
1693519536# #这么高端的顶配手机，才卖6999元，良心价啊！支持华为！为华为买单！
1694261032# #想啥呢？根据是什么？
1698295460# #都是相互谴责，没有遏制战争，避免伤亡的真东西，通过不通过，加沙局面暂时都改变不了。
1697790342# #你不挺哈马斯，你挺谁呢？
1694090780# #记录旅行走进千年古城汉中，滚滚长江东逝水，浪花淘尽英雄，古今多少事，都付笑谈中。带着微博去旅行
1696169800# #这个是真的假的？还是凑热闹玩呢？按规定，房屋没有封顶是不能销售的，更不允许银行放贷，你这个房子影还没有呢，就开始还房贷了，你这是怎么操作的？按说是不可能啊？
1694527438# #阿尔巴尼亚，欧洲的一盏社会主义明灯！
1698462412# #有些人可能晕了，也可能嗨了，也可能要喊同志了！其实，他说的是台湾，台湾也是中国，看起来，佩洛西骨子里，还是认同一个中国的。
1696465063# #从报名参加10月“一带一路”年会的报名情况看，已经有130多个国家报名了，还有的是总统总理，这些就证明至少有130多个国家与我们关系不错，这其中也有不少和美国是盟友的国家。所以，不存在“我们的朋友都是和美国关系不好的几个国家”的说法。
1689377186# #美国说十年，平台上那些军事评论员就会说，三年两年，他们配合美国炒作中国威胁论，总是那么亦步亦趋，完美无缺。
1689820242# #你好，你懂的！
1696253784# #普京的目标是什么？
1693409116# #大陆执行的是全过程民主形式，与西方国家的民主形式完全不同。
1696849923# #中国在巴以战争上的立场是，劝和促谈，支持巴勒斯坦建国。对哈马斯没有评论。
1697412594# #金灿荣教授释放什么信号？
1688655006# #一个辅警天真地以为，我全程录像呢，录像可能会反馈到纪委的，他以为到了纪委，就能把人家吓到了。结果呢，自己被开除了！纪委能保护你吗？不能！纪委接到你的录像后，开始查他们了吗？没有！上网！上网后，他们就老实了！纪委也说开始查了。说实在的，现在这家纪委，也不可靠了，自己能查自己吗？不可
1703675246# #建设之前，都有论证，也都有解决方案，别的不说了。
1703291169# #住在清迈旅居，吃住就这个环境和条件，你觉得可以吗？记录旅行微博旅行100计划100张年度旅行照片
1692675432# #战场无情，你死我活，逃跑的，一律枪毙，投敌的，就地正法！但是，投降，和被俘虏还是不一样的。被俘不一定投降，投降是主动放下武器。被俘，往往是弹尽粮绝。
1694901668# #培训费是怎么分成的？沿着这个线索查下去，应该能有一个清楚的结论。
1703147300# #不到一百万，在厦门这个地方算贵吗？
1698899234# #还有这种奇谈怪论，你跟他怎么讲理？这就是川普的接班人吧？
1698763303# #从何祚庥对司马南和张维为的批判来看，现在确实需要，再进行一次真理标准的大讨论。
1689431883# #鬼不可能信！
1698673822# #房子又成商品了？商品房就是商品？“房住不炒”和回归居住属性，要退场了？房子是住的，也是炒的，是这个意思吗？准确的说，应该是商品房除了居住功能外，还有资本属性，这么说可能更好一点。因为房子和其他消费品比较，虽然都具有商品属性，但是，性质和特点差的太远了。
1694130277# #院士能不能想说什么说什么？院士说话份量确实不一样，现在发言最多的是何院士，以后他还能不能随便说话了？
1689173856# #乌克兰问题是北约峰会的主题，泽连斯基被边缘化，怎么可能？泽连斯基肯定是会议的中心，想都不要想，常识而已！至于梅德韦杰夫的言论，信口开河，不难当真！以前，乌克兰加入北约可能性不大，毕竟俄罗斯保证过，不对乌克兰新生歹念，但是俄乌战争之后，乌克兰肯定要加入北约了。
1694325127# #新政策下来以后，不是买房的多了，而是卖房的多了，看明白了吧？这就是楼市，是中国楼市的未来，健康稳定平衡发展，去除炒楼元素，让房价回归理性。
1698460148# #1976年1月，北京。
1695911615# #上午这个话题，还不能讨论，下午就石锤了！恒大的问题，是个恒大的问题，不好办啊！
1698296992# #问：除夕放假吗？答：你说呢？问：放吧！答：我说放了吗？问：没有，那就是不放呗？答：我说不放了吗？问：没有！那到底放不放呢？答：我怎么知道？问：那问谁呢？答：天知道你问谁呢！玩的真好，传统小吃，味道就是不一般。
1691510743# #他对经济学一无所知，你跟他抬杠经济理论，这不是自找没趣吗？
1688255069# #这消息，还用情报局长说？
1692524322# #回过头来，再发展摩托车，也是一个不错的选择，现在摩托车的质量和环保标准，都挺高的，放开进城摩托车，肯定能缓解城区交通压力。
1697726512# #吃个饭能有啥差别？没想到差别这么大，中国市长权利大，想吃啥吃啥，美国市长真抠门，总共才花38美元，中国市长请他，他都嫌贵，说超标不行，不让他掏钱，他为什么怕超标？
1694475487# #理发店亮证事件应该如何收场，让人最担心的事情是什么？妥善解决矛盾的办法，
1695277711# #这个教训比较有意思，以后不能看着像中国人，就直接认做亲人了。你觉得美国用员工当形象代言人，和我们喜欢用明星美女当代言人，哪个更好？
1698451431# #当年911的时候，拉登是什么人？基地组织？伊斯兰国？你还知道吗？他们是怎么形成的？怎么发展的？都是什么人组成的？索马里海盗都是什么人？
1690970600# #关注涿州！没有想到门头沟的灾情还没过去，平原的涿州成了一片泽国。加油！祈祷涿州平安！
1703894375# #不公布，怎么公开？还有别的公开形式？可能说的是内部公开？小范围没公开？但是，这不是真正的公开。
1690115999# #大事没机会，做小事，随时能做，不是刻意，平平常常，一乐而已！力所能及，随手就来！
1690342193# #欢迎海外赤子回来！祖国人民期待你们！这几年很多很多的优秀人才回到祖国参加建设，有你在，祖国未来更美好！
1703383878# #如果从科学的角度分析，这种安检就是不够科学，你以为这么安检了，就万无一失了吗？不会的！因为很多线路还暴露在外面，另外这个庞大的工作队伍里面，能绝对安全吗？不可能嘛！但是，从工作程序上看，从态度上看，从忠诚上看，不惜代价的精神要有，这个就没有问题。做的越是绝对，显得工作越卖力，当然
1690933652# #赞今天的太阳☀️，驱散阴霾战洪图，灾难过后再加油。
