1699178680# #阿拉伯联盟国家，原来的老大是埃及，现在是沙特
1691324848# #印度总觉得自己比中国强的十大原因
1703990978# #转发微博
1698897474# #转发微博
1698123633# #转发微博
1702254866# #黄颜色标示的为至今境内地级市未全部通高铁的省级行政区，比较意外的是山东和浙江两个沿海经济发达省份。
1703548964# #转发微博
1692695328# #迅哥儿
1690776772# #转发微博
1696658169# #中国剑实战场面，剑圣于承惠的最后一场比武
1692880863# #新加坡，印度三哥当上了总统
1688518654# #1946年，一群来自日本大阪的鬼子兵庆祝投降，他们终于可以回家了！。大阪日军以怯战和机会主义著称，是日军中的另类。
1697241917# #哈马斯屠杀妇女儿童不是好东西，以色列大规模屠杀妇女儿童就成了文明国家？这套舆论霸权还能撑多久？
1702356921# #香港广告
1691572189# #有一方选手作弊了
1704005725# #元旦跨年之夜，你会选择哪种方式度过呢？
1695633098# #评论区满10条我告诉大家这是什么高级车
1695780256# #我投给了“必须锁喉”~
1701996926# #盘点《鬼吹灯》中各重要剧情地点
1701151797# #希望比亚迪能迅速发展成世界级品牌
1694159603# #两幅画，同一个历史事件
1689080439# #既然本子说核污染水可以喝。那他为什么要排海呢，直接喝了不就可以了吗？
1689862405# #中国和印度都是14亿超级人口大国。。。为什么我们中国每年粮食自产超6亿吨了，还要从国外进口1.5亿吨左右的粮食。。而印度每年自产的粮食仅3亿余吨比我们还少、却能净出口2000万吨左右？
1697151840# #用一句话证明你认识他
1690529045# #来沈阳了，沈阳的朋友们有没有什么好建议？
1689730651# #你们对性的理解是这样吗？
1702004537# #李法曾85版诸葛亮舌战群儒
1701836341# #美国的强大就在能把任何一个野蛮人改造成文明国家的文明人，好向往啊，真希望那些润物都过去。
1698065371# #我不信
1696380452# #找到了北方衰落的原因。。古代战争地图，战场密集的地方其实围绕着几个战略重地，包括：洛阳、南京、开封、西安、北京、大同、徐州、安阳（邺城）。南京及周边发生的战争，仅次于中原的洛阳一带，比关中地区都多，在长江以南仅此一例。涨姿势
1691638645# #我国哪些城市举办大型国际赛事最多？（选自:金十数据）
1691815406# #丝毫不提欧美的房屋税和保险
1702712734# #以色列漫画一张
1698193562# #这下联好对吗？
1696300320# #上联:门寒花不弃。。下联:？？？
1697100801# #国风毛衣第一受害者
1693965313# #上半年各品牌燃油汽车质量排行（燃油车）。综合各个车型的投诉故障、缺陷风险、可靠性、安全性、环保性五个纬度来进行评测。
1696997150# #转发微博
1693740587# #怪不得泰山能成为五岳之尊，黄河都绕着走
1699080462# #“國際首個！祝賀中國科學家！”
1697024597# #本子个不高，心挺大
1690087353# #黑龙江房价最便宜，上海房价最贵，结果一样，可见房价贵影响生育是个伪命题
1692327719# #转发微博
1702462157# #网传这是加沙，哈马斯成员成批投降，以军在对投降的哈马斯成员进行人脸识别，这图看着不是太真实，但囿于专业知识，又搞不清楚哪里有问题。话说那个大坑里蹲满了人是几个意思？
1696498638# #不像是真的，正常人干不出这事吧
1697875037# #实话实说
1692316391# #现在，整个加拿大都在燃烧，红红火火，旺气通天。
1692154647# #成都省四川市
1689757422# #在193个联合国会员国中，有45个国家没有收集到本组数据，标注为数据缺失。。。在数据完整的148个国家中，牙买加达到52起/十万人，可以说是治安最差的国家。
1696210981# #大数据国庆长假旅游热门城市
1692404427# #你觉得谁会赢？
1694402802# #国内机场繁忙程度top10
1700007090# #转发微博
1688728845# #转发微博
1689495697# #转发微博
1693530944# #为什么中国人居安思危，从未忘战，你看看这形势
1702000904# #街亭古战场，马谡应该就是没有当道扎营，而是驻兵在了那座黑黑的山顶上了吧
1700974411# #刘博士不提醒，我都快忘了还有俄乌战争这档子事
1696921889# #终于知道为什么有的人不愿意看中医了，太坑了，一点藏不住啊允悲允悲日常涨姿势
1699918131# #转发微博
1698195483# #口罩这样戴更方便，又学到了
1699317231# #转发微博
1696647163# #转发微博
1695645318# #国家栋梁，都是从这些地方走出来的
1702950024# #转发微博
1694223784# #这个润物是精神分裂患者吧
1699834904# #何其正确
1690010587# #转发微博
1693537963# #内蒙古民营企业100强
1693218227# #转发微博
1696819377# #该干嘛干嘛
1695611331# #转发微博
1691727203# #
1703238130# #华山派？
1699703126# #转发微博
1690529368# #恐非国家之福
1696997195# #转发微博
1698381655# #小约翰可汗能量这么大吗？
1702688422# #猜猜这是哪位名人？
1690444532# #1600多万外流河南人都去了哪？
1702687765# #世界各国英语普及率，迟早要搞成世界汉语普及率，文科生们要担当这个使命！
1695473878# #转发微博
1690504729# #洪秀全大改地名时，你家被改成了什么名字
1699924030# #造塑料袋是顶尖科技？
1691371559# #中国资产过亿家庭超13万户。其中北京最多，一共有20400户资产过亿（选自：金十数据）
1702815451# #台湾地区2023年度汉字∶缺。马来西亚2023年度汉字：贵。日本2023年度汉字：税。2023年我们是一个什么字？。说说在你心中我国年度汉字是什么？
1698120588# #转发微博
1695896046# #小红书排的吧涨姿势
1690086213# #这是哪个国家
1695430728# #这是P的吗？毛子怎么和轮胎杠上了？
1690361983# #这几条还是应该认同的，纯属自残
1694398619# #世界上有多少国家使用筷子？
1691815255# #清朝末年我们曾保有整个伊犁河谷和外西北几个漂亮的湖泊！伊犁河谷的草场收到大西洋气流的影响气候相对湿润，很多人把它称为大西洋的最后一滴眼泪！
1703836532# #一定要建设好祖国，不然怎么对得起这些英雄泪泪泪
1698556629# #分享图片
1696654298# #转发微博
1699865353# #看了其中三部
1697086035# #汪老师高见
1693637364# #这个老太婆目露凶光，又带有一些绝望，非常传神，这是哪本连环画呢？
1697176241# #转发微博
1691815773# #历届茅奖获奖作家分省排行榜
1693551463# #转发微博
1699960503# #文明自由国家不都是这样吗，有什么稀奇的
1689735288# #离得近是最主要的
1690856823# #这是什么意思？
1689317133# #说的有道理吗？
1692404239# #润物们全身上下嘴最硬
1695566479# #山西大同小学生极端霸凌事件持续发酵，施暴者才十岁，打击校园霸凌工作需常抓不懈！。“令父亲意外的是，当晚，在家人的进一步询问下，小强的父亲第一次听说自从他上小学二年级起，他就经常遭到同班同学小轩（化名）的欺凌。“孩子说，对方经常打他，逼他喝尿、舔对方的生殖器、肛门，甚至用生殖器侵犯
1689175186# #转发微博
1691551712# #你属于哪种类型呢？
1701522129# #完了，我不是人，怎么办？
1695109842# #手表挺好看的
1696673719# #民族企业加油！
1689928963# #转发微博
1693867615# #全国博物馆数量TOP20省份
1696903317# #一张比较真实的夜间灯光图，看看哪个城市出乎你的意料之外……
1703729824# #祝贺草原青城呼和浩特，加油！呼和浩特
1693907707# #你们那的早餐是这个吗？
1690800853# #牛逼
1692519831# #南北大动脉
1691489702# #主打的就是一个反向留学
1694605545# #恨国党再失一喷点
1703660274# #当年的吉林可真大啊
1697330336# #水浒传武松的全部单挑记录。从没和超一流高手真正交过手
1696041091# #致敬，共和国卫士！
1692087584# #连霍高速——全国最长的高速公路！。G30连霍高速公路，东起江苏连云港市，西至新疆霍尔果斯市，全长4244公里，是国家一带一路计划上的重要交通大动脉！
1695711233# #会否？
1694681704# #家国天下永远不会过时
1702017788# #美国走到哪一步了？
1696810790# #这都是经常反思、独立思考、出去走走才建立起来的知识体系，谢谢你们
1694961188# #按照1450和恨国党的逻辑，美国人吃的都纯绿色有机食品，怎么会用化肥呢，假新闻。
1694738117# #有老婆的拿走吧，没老婆的略过
1694913902# #苹果官网导购图片，中国和其他国家的，这辫子是故意的吗？
1694394412# #淮河以北只有一座城市
1695282281# #美国居然没上榜，这么乐观吗doge
1693461466# #转发微博
1688809394# #额——我觉得量不错
1700398211# #转发微博
1701657526# #福建才是真的没有一块平地啊
1702545841# #如果真有这么神奇的事情发生，你打算怎么做
1696740779# #以色列女大学生脸上的恐惧和当年那个巴勒斯坦男孩脸上的恐惧一样，谁对谁错？谁能说的清？
1691893109# #各省工业用水量排名，江苏炸了
1691119232# #转发微博
1703376754# #胡塞武装开了个头，马来西亚也已经出手了，出于政治斗争的需要，下一步其他绿色地区可能要动起来了，它们控制着众多的海上要道：。马来西亚的马六甲海峡、伊朗的霍尔木兹海峡、也门的曼德海峡、埃及的苏伊士运河、土耳其的土耳其海峡、摩洛哥的直布罗陀海峡……以色列……
1702017110# #全球黑人最多的“十个国家”。最多的超过1亿。
1690531431# #山西省内如果能像关中平原或成都平原那样沃野千里，物产丰盈，表里山河，那才是真正的建都天选之所。可惜了，不是清汤饸烙就是米汤沾蒜，吃饱都成问题允悲允悲允悲
1700482737# #爱护健康，远离疾病
1691163181# #全球无狂犬病地区分布示意图
1697704978# #有没有一些文字，让你瞬间落泪，根本控制不住？
1695967404# #转发微博
1694155548# #转发微博
1700461190# #转发微博
1689061840# #转发微博
1691377488# #转发微博
1701599421# #各省GDP倒数第一的县（县级市），台湾无数据。
1702169511# #以前我不信，现在我信了
1695990029# #小朋友，你礼貌吗？
1697758787# #哪里的夜空最璀璨，这张图一目了然。
1695684777# #我也是做熟食店的，起个什么名才能压得住对面的店名？
1692058307# #温州话难懂我是认同的
1695616866# #兄弟们，对下联吧
1702175555# #转发微博
1699572605# #1959年美国核打击计划中各省核弹投放数量图，东三省的数量告诉了我们抗美援朝的伟大意义。
1689074317# #猜猜这是哪里的地图
1694998386# #转发微博
1703729977# #中国人类足迹指数分布图
1695866808# #如果你是唐昭宗，继位之后这样的局面下，有什么办法逆风翻盘重建大唐盛世！
1697170991# #转发微博
1691206264# #评论区把我整不会了
1694408400# #搞阴谋诡计，美国最擅长
1694481351# #兰州拉面有这么多种，你都吃过哪种
1701834720# #我没记错的话非洲国家也都是资本主义，而且也搞了六七十年了吧
1695356800# #转发微博
1700561326# #阿根廷新当选总统的八大政治主张，南美要热闹了
1703333531# #最惨的背锅侠。“此人大逆不道，可剐之，灭其三族。”这是三国演义的一段情节，这个人踏实工作奉命行事，最终却成了背锅侠，尽灭三族。你知道这人是谁，做了什么事，替谁背的锅？
1700715441# #转发微博
1702389320# #考一考你的地理水平，反正我是过关的！
1690196549# #我这个疑问成立吗？
1690287611# #这有科学依据吗？建议大家不要胡乱试
1695979431# #不愧为美国小弟，学美国奖牌榜排序规则创新学的真快。。韩国来了一个铜牌板排序，竟然可以排第一。
1695512295# #隋文帝、晋武帝、宋太祖地位是不是太高了，元世祖、清圣祖、明太祖、明成祖是不是有点低了？
1692086245# #四川干脆叫成都省得了
1689651536# #转发微博
1701914408# #转发微博
1693632071# #伙伴们，快来薅这个980元电影卡！。限时购买仅需9.9元！。拥有这张卡，你可以畅享无限次的电影时光，随时随地观看最新大片！。。全国影院通用，没有时间、场次和影厅限制，无限次购票优惠，余额用完为止！评论区抢购👇👇👇
1696300060# #这不是权谋，而是能力
1699944094# #转发微博
1690723692# #这种低级错误属实不应该
1690684047# #你选哪个？
1698020345# #中国个税实行累进制，45％是最高税率，除了巨富，很少有人的收入能达到征收45％的税基，所以对普通民众是极其友好的，也就是说大多数人根本不交个人所得税。这张表容易给人误解。涨姿势日常
1695624384# #不忘历史，奋发图强
1703225014# #大陆和台湾的翻译对比，水平立见高下
1697625198# #吃在中国——猜猜这是哪里的代表菜，此地还盛产何种美食？
1701047534# #乌克兰实话实说了，看来这仗是真打不下去了，俄乌冲突基本要结束了
1695979197# #据说当年任泽平早就对恒大的扩张模式提出了警告，但遭到了几乎所有高层的围攻，只好愤而辞职。
1703988128# #此图无文案
1700750586# #这是……
1703730388# #转发微博
1698380632# #为什么古代攻城冲在前面的人明知必死仍然毫不畏惧？
1692316175# #中国陆地的中心到底是哪个城市？
1698881858# #耶路撒冷的一幅漫画
1698992408# #转发微博
1688565518# #还是那句话，美国最牛的根本不是什么军事、科技、金融，而是远程养殖业，不服不行！
1691645770# #世界主要国家的最强驱逐舰，英法曾经的军舰霸主连台面都上不了吗！
1693449377# #转发微博
1695967585# #静待2023
1693276549# #显眼包
1697251711# #你能忍受几级
1695273235# #中国“十大人贩子”结局一览表。
1697673703# #转发微博
1699234887# #转发微博
1703472917# #怎么反驳？
1689808347# #因为这里统计了根本没有收入的儿童、学生以及几乎丧失劳动的老年人群体
1699591257# #有时候，我总在想，我们这一代人可以住在宽敞明亮温暖的楼房里，出门时开着小汽车远离严寒酷暑的折磨，随便享用美食，再也不用忍饥挨饿，难道只是因为我们这代人足够努力而得到了回报？
1690857171# #转发微博
1695075834# #转发微博
1695186488# #富而不奢，贫而不卑，不要忘记来时路
1703916808# #转发微博
1691909756# #现在都这么明目张胆吗？dogedogedogedoge
1702257602# #太子太傅、芝加阁大学士、洛杉鸡太守、领加州牧、一等润侯，金牌讲师丁胖子名言集萃，大家听到过哪些？
1702171616# #转发微博
1702806512# #问一下网友，后果严重吗？
1695902504# #诸葛亮AI还原，头顶居然不是帽子而是发型！
1697165152# #我投给了“巴勒斯坦”~
1701069751# #八十年代，台湾的课本描述是这样的……今天的网上很多公知和第五纵队都在吹小蒋，其实台湾成为今天这个样子，小蒋才是罪魁祸首！
1688807735# #全国受教育程度最高的50座城市，谁能想到呼和浩特居然排第七！
1688955458# #看到一个微博，挺正常的，有一个评论是真不知道什么梗？有大神解惑吗？。“让你蒋洪成让你蒋洪成”到底啥意思？
1688637730# #转发微博
1696377826# #蒙古族取汉姓的对照表(164个)。。从元代开始很多蒙古人开始使用汉姓和汉名。蒙古族的汉姓一般采用同音、译音、自选三种方式产生。比如乞颜的汉姓就是齐、祁等。白如德的汉姓就是白……。很多姓氏都是蒙古的贵族姓氏，比如敖勒高努德的汉姓是王、敖、赵，他们其实是成吉思汗母亲的原部落；汪古惕的汉姓汪
1693305497# #我佩服班主任能记住这么多名字允悲允悲允悲
1698012936# #看图识城——这是哪座城市？
1698120481# #一图看懂汪峰章子怡感情史
1691214167# #朋友之间一旦开始借钱，基本到了友尽的地步
1694487543# #日本人对中国的渗透到底有多严重？
1691224509# #中央红军长征路线图——伟大的足迹！
1692228166# #我国建城两千年以上的30个城市一览表
1691053673# #怎么还焊上了？doge
1693261377# #中国400毫米等降水量线
1700364370# #转发微博
1697102921# #从加沙地带的实际情况看，也许我们只能把哈马斯定位为越狱者。
1694058208# #这个发型极其奔放
1693713685# #转发微博
1690190770# #安徽你是把家搬到江苏了吗doge
1700373938# #转发微博
1696905657# #用一句话证明你认识他
1694748005# #像极了网络上新闻事件刚发酵时急着扔砖头的正义客
1702712526# #洛阳好不好守？
1701586453# #转发微博
1696840900# #转发微博
1697500657# #如果你支持巴勒斯坦，请说一个理由
1696807575# #转发微博
1693278935# #真的不错，一张电影票能省好几块
1691056685# #据说肚子长成这样，基本就是医院的战略合作伙伴了，你身边这样的大肚子多吗？
1698647283# #转发微博
1692327731# #转发微博
1700562527# #转发微博
1697876861# #世界煤田分布图
1688808945# #211大学分布图，非常的均匀doge
1699092402# #意识形态斗争很激烈啊允悲允悲允悲
1694747684# #转发微博
1688612358# #天津怎么了？
1701158028# #转发微博
1692533081# #老美心中的世界地图
1703735894# #清朝官帽级别
1693797759# #转发微博
1690799517# #一定要精修doge
1703473436# #对于加拿大宣布接收加沙难民一事，西方有人画了一副漫画讽刺小土豆
1688956093# #全国各省份600分以上及百分比分布图，浙江、江苏、福建这几个省份高分比例确实是高，辽宁也是出乎意外的高！
1693748115# #泰国人口密度图首都曼谷占据了全国70%的人口
1690380543# #内蒙古包头的秦长城，果然是大秦九原郡
1692250305# #转发微博
1693182631# #天津怎么了？
1700097814# #走这些隧道是什么心情？
1691551404# #转发微博
1692947958# #转发微博
1697081640# #言论自由的典范，纽约大学法学院学生会主席发表挺哈马斯言论失去工作。
1699414771# #转发微博
1694156048# #印度这是喝了多少？迟早还得再揍一回。
1689559528# #难道这是各省聪明程度排名？
1702474301# #尊重人权和自由的美国城管又在主动帮助人民卖鱼，真好dogedogedoge
1692226846# #永垂不朽
1692695235# #你们有什么好办法吗？
1703207826# #转发微博
1691241392# #同济大学就教这玩意儿？
1699446563# #以色列招募亚速营成员，你觉得是真的吗？
1693354317# #顺产和剖腹产对比
1692836340# #我不信电视台新闻编导是这个水平dogedogedoge
1696772092# #久居以色列的张教授，当然得为以色列说话了，至于到底谁是真相谁是谎言，大家也不是没读过正儿八经的历史
1700970216# #一个律师账号下的鬼畜提问
1689314317# #转发微博
1697937433# #2022年纳税前十。。10、贵州茅台：纳税约325亿。。9、腾讯科技：纳税约398亿。。8、阿里控股：纳税约516亿。。7、中国银行：纳税约591亿。。6、中国石化：纳税约693亿。。5、建设银行：纳税约886亿。。4、国家电网：纳税约903亿。。3、华为科技：纳税约903亿。。2、工商银行：纳税约1096亿。。1、中国烟草：纳税
1700747459# #山川同念，万民同悲。。去时少年身，归来英雄魂。。山河已无恙，英雄归家来！。。第十批在韩志愿军烈士遗骸及遗物归国！
1703077798# #比亚迪全球市场占有率已赶超特斯拉，没事，殖人还是能找到新角度的，感谢它们，找一个角度，灭一个角度。
1692415233# #我国各省飞行员数量
1692530013# #转发微博
1693471285# #我喝自己的尿
1699923318# #都吃泡菜了，嘴还是这么硬
1693184359# #各省常住最多外省人分布。你住的地方哪的外省人多？
1698554208# #转发微博
1697413333# #我投给了“朝鲜”~
1699864747# #纸巾还是太草率了
1690604385# #转发微博
1689737358# #转发微博
1696738542# #转发微博
1694926055# #转发微博
1700791517# #这些狗是哪些孙子扔的，还有没有爱心❤️❤️❤️❤️❤️❤️❤️dogedoge
1699714724# #转发微博
1697096459# #转发微博
1692853311# #自强不息！！！
1695276103# #吐槽安检被群嘲，残疾女性的小作文失效了。近日，一位双腿瘫痪的残疾女性在社交平台发文发视频控诉，称乌鲁木齐机场严格安检是“厌女”、“不尊重残疾人”。。然后，就被群嘲了，有些人，学了西方那套，整天把自由人权挂在嘴边，眼里只有自己的自由和人权，丝毫不顾及别人的自由和人权。
1702258784# #转发微博
1692783025# #转发微博
1695710204# #转发微博
1703340174# #日精居然吃厕纸？
1694920176# #猜猜这是哪个国家
1701158032# #转发微博
1692748946# #转发微博
1702099762# #黑龙江的小县城真的已经到了这种地步了？
1702261745# #转发微博
1701404951# #转发微博
1703995501# #转发微博
1691482060# #截止到2023年7月份，全国万达广场一共有474座，分布于全国各地。你所在的城市有几家万达
1692506464# #转发微博
1701388199# #额……大胆doge
1689513666# #你们省最高的山是这个吗？
1702024041# #伊朗大使馆漫画一张
1701414479# #从喷子那里了解到外国高速都是免费的，怎么韩国还有收费站？
1696637035# #1900年左右，比利时。。忙碌了一天的煤矿工人，乘坐电梯返回地面。。都是为了生活。涨姿势
1690540465# #到内蒙古呼和浩特了，呼和浩特的兄弟们有什么建议
1699511835# #美国发达就发达在言论自由了doge
1702859361# #堂堂九年义务教育，竟被这难住
1690340312# #你们觉得哪个发型好看
1703728936# #转发微博
1694266185# #亚洲十强品牌
1691224662# #转发微博
1692226739# #国之利器不可以示人
1693027502# #二十年前的一句老台词
1695731782# #唯一一个在中国售价比欧美便宜的车企，为什么？因为有比亚迪！
1697874891# #一张图让你看懂全球石油产地分布
1701327840# #到今天我也没看懂都江堰的原理
1697699166# #外交就是把朋友搞得多多的，把敌人搞得少少的
1702169366# #每每面对伟大的中华文明，我就想起了成龙的那句话——做中国人，爽！中华文明探源工程最新研究成果发布
1693012688# #拍卖最贵的十大元青花瓷
1695124438# #二次大战期间的德国掩体剖面图
1697584187# #某些人鼓吹的德国的全民免费医疗了解一下，另外，德国人的月均工资为3200欧。
1696840642# #转发微博
1702897580# #楼上看到的（本人不信教，不信佛，不信神），请大家理性评价
1692949211# #这个把我难住了
1693791529# #你知道你们省的世界遗产是什么吗？
1693974784# #人类九大环境公害事件，小日子参与了五个，然后日精说本子环境、食品安全，安全你大爷。
1701950545# #这是用来研究什么的？
1689175195# #转发微博
1695684538# #美以暴，我以仁；美以辱，我以敬；美以威，我以德，每事与反，则大事可成矣！
1690070230# #转发微博
1701340880# #中国真的安全吗？
1691489741# #好多香港武侠电影都有他的改编
1695305657# #这是什么套路？
1703224112# #千古第一神
1700615612# #那个省油是干什么的？
1696809694# #阿拉伯这是要合起伙来干以色列吗？
1703548352# #如果你有一套这样的房子，给你500万，你愿意拆迁吗？
1703124732# #从各省GDP第一在全省经济占比图来看，多数省会一家独大，长春、银川、西宁占据三甲，但深圳，苏州，青岛等却干翻省会！
1702899238# #开启深蓝之行
1689641688# #今年，某地中考分数的分布图，很恐怖。
1701580702# #转发微博
1699686926# #还是有点多——各个国家能说流利英语的人口的比例
1692835208# #安徽人不仅攻克了南京，也攻克了上海
1694759817# #朋友说这个西安名吃，这到底是什么？
1693456802# #这伙食，比我们单位的食堂都好允悲允悲允悲允悲
1702713141# #试问德国驻华大使馆，乌克兰人民被冻死，和中国有关系吗，你发这个是什么意思？
1691918446# #这就是南京条约原本，由钦差大臣耆英，伊里布和英国代表璞鼎查签订，规定永久割让香港。此条约和几万件中国国宝一起在大英博物馆展出。
1692589050# #转发微博
1688526123# #纽约电瓶车管理手册，自己看吧，违法的话，扣车罚款500刀。自由，人权。
1702999003# #猜猜这个地图所属的朝代？
1700888316# #高人看一下，怎么翻译？
1690073196# #据说这是各省对月亮的称呼，云南你这么显眼吗？
1696568140# #转发微博
1696120478# #全球靠左行驶（右舵国家）分布图，还是靠右行的国家多
1689230793# #2022内蒙古自治区各区县旗GDP排名一览
1699267322# #对于西沙群岛与南沙群岛主权，中国的教科书怎么说西沙南沙是自古以来的岛屿，越南的教科书就怎么说那些岛屿是他们自古以来就拥有的，最后还是用实力说话吧
1694048231# #炸馆后的美使馆。1999年，北京，以美国为首的北约轰炸我国驻南联盟大使馆后，首都青年学生在美国驻华大使馆墙上留下的痕迹。当时如果不是有武警帮把着，估计房子都给他拆了。谁还这么友好，居然还给美国人送花圈。
1694666555# #急死我了
1689235231# #转发微博
1696464927# #看来年龄已经不是问题了
1688958545# #江苏盐城女生中考成绩742分，报考盐城幼儿师范高等专科学校。网友炸锅了，有些人酸葡萄心态爆棚，说人家就知道迷恋编制，没有梦想等等，实在可笑。有些人，心态已经疯了，比人家当事人更了解当事人的梦想。女孩妈妈称，孩子考的七年贯通培养师范定向生是有编制的，出来直接当小学老师。家里不缺钱，只
1698979493# #转发微博
1697874176# #中国高速网络图
1693192595# #转发微博
1700191327# #转发微博
1704022722# #这就是民选出来的领导人，希特勒，墨索里尼都是民选的总统，民选真的是好的，普通人真的懂？
1697980572# #卧龙凤雏都得汗颜，绝代双骄也要跪拜——楼都掉漆了
1691242967# #一看就是在故意抹黑漂亮国，人家只是想和你探讨一下自由的感觉dogedogedoge
1699964766# #“糟糕”，用你们那儿的方言怎么说？
1696129672# #你去过几个
1693958269# #全球轮胎50强
1692970453# #转发微博
1692751546# #放心，肯定还能洗
1693994642# #转发微博
1700895290# #转发微博
1699918119# #转发微博
1699841706# #转发微博
1694760557# #大学夜间校园。恨国党：怎么办，我到底该不该说这是中国？
1700552257# #转发微博
1691034676# #世界黑人分布图。黑人源自非洲，历史上西亚、南亚也有少量分布。。澳大利亚有少量土著黑人。。贩卖黑奴，美洲也有了黑人分布。。近代战乱和移民，欧洲黑人也越来越多。
1692087435# #转发微博
1694155555# #转发微博
1701306305# #恭喜
1699918161# #转发微博
1690616691# #转发微博
1702080635# #全国产业带分布图—30类大产业带集合和中国百强产业集群各省分布
1692591693# #1937年，日军攻陷南京中华门，中国军队拼死抵抗，日军尚未清理的战场。。满地是戴着德国钢盔的国军阵亡官兵遗体。。照片是英国伦敦新闻画报在1938年1月公布。。城墙上还留着中国军民“誓復國仇”的标语。。国仇家恨时刻牢记！。勿忘国耻振兴中华！
1698718065# #果敢同盟军已经快逼进老街电诈民团总部，这是一张果敢老街市区某酒店外墙图，可以看出果敢民地武装已经将酒店外墙玻璃卸掉砌上了砖混结构只留出射击口，可能会和果敢民盟军打一场城市战
1692174578# #影响世界的十位思想家
1690159060# #转发微博
1695340367# #湖南未通铁路的县市
1698463993# #转发微博
1692611227# #我反思
1693359417# #哪个省的退休工资高？
1697623588# #成都咬伤2岁女童的恶犬主人表示愿意赔偿，如果这孙子不愿意赔偿有什么后果？街道办称罗威纳主人愿意赔偿
1690682862# #转发微博
1693274530# #转发微博
1693471121# #他重新找回了中国人最重要的东西——骨气！
1691027330# #网友曝光：2023年的乌克兰，居然抄袭1953年的抗美援朝宣传画？
1693035058# #艾公千古！
1692199000# #这个病得1450来给治
1694504792# #这么直接吗？
1691381795# #和“听懂掌声”那货是一家的吧，有些人真是张口就胡来，说“每年有100万中国人移民到美国”，但是美国的华人一共才五百多万，你这数学怎么学的？
1695259489# #转发微博
1692232348# #哦豁
1695185222# #转发微博
1688638927# #我想学美帝的远程养殖术，谁有教程？
1696754571# #我只转发，不评价，评论区该不会有人劝我多读昂撒和犹太人发明的历史书了吧
1697011864# #大干一场
1698218731# #国际上分别承认巴勒斯坦和以色列的国家。黄色是即承认巴勒斯坦也承认以色列的国家，共计109个。。蓝色是只承认以色列的国家，共计55个。。绿色是只承认巴勒斯坦的国家，共计27个，主要是阿拉伯世界。
1690241576# #各省传销严重程度分布图，中部基本重灾区
1694779618# #新版中国绿卡，希望可以吸引到全世界更多优秀的人才加入我们！
1696660663# #看看我们国内的城市太脏了，市民素质太低了，如果能像日本城市那么干净就好了。唉dogedogedogedogedogedogedogedogedogedogedogedogedogedogedogedoge
1691476211# #转发微博
1700275305# #适合开心麻花的小段子
1700007228# #太平天国极盛时期的势力范围
1688626084# #转发微博
1697767863# #大家发现没有，巴以一开战：。。1，华为手机质量变好了。。2，比亚迪没毛病了。。3，女权都没人提了。。4，同性恋的彩虹旗不见了。。5，乌克兰不再打胜仗了。。6，UFO外星人不再被解剖了。。7，元首形象有被平反的趋势。。8，菜马桶提出与大陆和平了。。9、10、11、……自行补充。。这是什么原理？
1698815441# #各省最穷的三个地级市，小约翰可汗家这么穷的吗？
1700275340# #如果我进去再出来有什么后果
1693194389# #2023年上半年，人均可支配收入，越绿证明越有钱！
1695819443# #这是怎么统计出来的？去酒店蹲点统计的吗？允悲
1694601216# #美国斥资2.6亿元左右建成的“天眼”，如今成了这样，没见喷子说这是豆腐渣工程啊
1693884719# #转发微博
1692154210# #转发微博
1696380233# #如图是抗美援朝27个军干死的敌人的人数一览
1701699711# #转发微博
1690432845# #转发微博
1702100727# #
1694849220# #光刻机三巨头，不过已经不重要了
1698625665# #可惜没人听
1694609094# #各省人口净流入
1698217452# #一段20米的城墙要花费一万多个工日
1701698664# #这玩意发射上天空才几年啊！难道就已经变成牛夫人了？。已经到了不再先进，可以任意展示的地步了吗？。那小甜甜是什么呢？
1700035556# #如果祖国是一个班级……
1694330746# #转发微博
1696516470# #河南南阳迷笛音乐节上的搬运工
1701218057# #这四个省会应该是用不着吧
1698193023# #中国九位特殊的开国将军，有且仅有一位“双料将军”。涨姿势
1700968597# #看图识三国，这是哪一段？
1689986898# #陕西外省人口占比
1703323502# #你是人生赢家吗？
1689589812# #你怎么看？
1701051635# #转发微博
1691482912# #网上看到的图片，请问有知情人吗，有这种情况吗？
1701915088# #他说的是真的，建议有这种情况的赶紧按照他说的去做，赶紧想办法润去美国，就可以很有尊严的得到免费治疗，即使不看病也可以赶紧润，那边挣钱是真的多，我有个朋友，15分钟就挣了5680美元，是真的天堂啊
1692583147# #万里长城十三关，原来最猛的是山西！
1692838482# #昨天的晚餐，感觉生活还是很惬意的
1692695256# #转发微博
1701732942# #在香港的一家店铺门口，赫然贴着一张告示：“问路费一次10蚊，本公司或员工并没有义务与责任提供道路指引服务，如态度不好是应该的，没有谁欠谁。”哎，这告示让人看了心里真不舒服。。被西方“文明”浸染过的地方，无不充斥着利益，冷漠，自私……
1696035050# #【国庆中秋，电影福利来袭！980元电影卡限时购买仅需9.9元！】🎉🎉🎉。中秋国庆双节同庆，我们为大家准备了超值的电影卡福利！只需9.9元，你就可以得到价值980元的电影卡，全国影院通用，不限影厅、时间和次数，余额用完为止！💰💰💰。这个国庆中秋，《前任4》《坚如磐石》《志愿军》和《莫
