1698541152# #有梦想的人了不起
1700325296# #马斯克干大事的人
1700376786# #太可怕了
1695648660# #都想当网红啊？今年军训表演都约好故意走光的吗？？
1700897904# #转发微博
1693842103# #瑞幸回应男子怒砸多杯酱香拿铁瑞幸酱香拿铁喝多了吧！自己花钱买的怒砸投啥费解费解还浪费环卫工人打扫，会不会是茅子和瑞幸的炒作呢？期待回应。
1687231089# #称自己被老婆掌掴殴打的男子，发布新视频：老婆在家多处点火，当众要烧房子汗汗汗
1687349562# #转发微博
1700363463# #为啥要上好大学了，看看清华大学的食堂你就知道了！
1699628526# #丈夫被女主播骗了几万块，女子叫UU跑腿小哥小区喊话提醒大家，路人听到后马上查看男友手机......
1698923071# #越来越“离谱”了！伍佰老师广州演唱会再现万人合唱团，以后伍佰老师不用到现场，都能把演唱会开到100岁了。伍佰广州演唱会
1696302744# #转发微博
1698539042# #男生和爸爸开玩笑说女友比他大三岁，爸爸的反应太有梗了！搞笑
1701677292# #莫言：男女交往的底线:不要去碰一个已婚的女人，她是一个男人的脸面；不要去碰一个已婚的男人，他是一个女人的余生；不是你的女人，不要嘘寒问暖，不是你的男人，不要轻易缠绵，这是做人的基本底线。不管男女，婚外情的代价，也许要用你的一生来偿还！珠海一男子持刀致3死后自杀
1693211192# #转发微博
1694672056# #大妈吐槽雕塑设计不文明，直呼“我的妈呀”网友：看的我都觉得疼汗文明
1687071311# #【网传内蒙古城管执法中队负责人出轨下属被妻子曝光】网传内蒙古城管执法中队负责人，出轨女下属被妻子曝光？多段露骨聊天记录流出，相关部门：将联系城管局了解核实。
1699673051# #公公站门口清点这几天干活的钱，儿媳开玩笑：见者有份，婆婆一把拿过来送到儿媳手中
1693977661# #女主播户外涉黄直播当场被抓什么平台啊？对于这种行为一定要严厉打击怒怒怒
1695787982# #9月25日叙利亚总统携第一夫人抵达北京，阿斯玛·阿萨德身着中国传统的青花瓷长裙，端庄美丽，优雅高贵。有网友说她和韩国第一夫人谁更漂亮。个人觉得叙利亚第一夫人更漂亮，胜在自然美。叙利亚总统巴沙尔访华引外媒关注
1693890989# #这比结婚背个媳妇都开心林彦俊工作室否认嫖娼
1701658613# #河南洛阳一女生侧方停车进不去，喊来一旁查酒驾的交警帮她停车
1691308224# #热的沟渠子流水了，热情还这么大
1700897815# #转发微博
1696599776# #人性最大的恶就是:恨你有,笑你无,嫌你穷,怕你富。。。——胡适他从火光中走来男主死了
1698509654# #数学是体育老师教的卧龙凤雏互相砍价老师
1688606192# #转发微博
1699688455# #一小学门口外的斑马线上，小学生自己小心翼翼拦停车辆过马路，对面三个穿红马甲的人却在聊天
1696816532# #3名队员未劝止拍摄不雅画面被停职自己欣赏下就完事了，非要这么讲义气传播出来，这下进去冷静几天吧！
1698541362# #女子怀孕三个月，让丈夫帮忙倒水被嫌事多，两人僵持谈话内容令人窒息...&nbsp;
1703917121# #再见2023
1687255504# #网友酒吧门口拍下的一幕：女子看到黑人心生爱意，不出10分钟两人拉手而出离开，爱情来的太突然了！
1703387161# #火车上因孩子踢座椅旅客起纠纷，男子一句“在东北老实点”使对方情绪直接升级
1698501260# #婚前双方已协商好彩礼38.8万，亲戚朋友已通知了酒席时间，而丈母娘却临时要求男方再加三万块钱，称为了考验男孩是否真心，女孩也觉得没什么不妥，你们怎么看？情感
1686979387# #男子给高温晒得满背通红，妻子细心给敷上面膜缓解疼痛。妻子：你懂我带娃辛苦，我知你赚钱不易生活
1696993421# #转发微博
1687350030# #转发微博
1687013707# #近日，年轻女子游玩上海迪士尼，快要误机了要求出租车开进园区遭拒，当场崩溃，大哭“我们在北京没有这种服务态度”我要回家。上海上海超话
1703918479# #警方调查女生被逼下跪遭多人脚踹掌掴【教体局回应女生被逼下跪遭多人脚踹掌掴：视频拍摄于去年，警方正在调查】12月28日，网传陕西延安宜川中学一名女生被逼下跪并遭到多人脚踹掌掴，引发广泛关注。29日，宜川县教育科技体育局工作人员告诉纵览新闻，视频中的事情发生在去年。目前，被打学生的家长
1702653667# #内蒙古呼伦贝尔天降大雪。货车司机在雪天淋成雪人流泪感慨：下辈子一定要好好上学。生活心酸
1694011967# #家里面熊孩子发脾气对着爸爸大喊大叫、扔东西，被爸爸当场教训，随后爸爸的一番教育引来无数网友点赞。
1698678821# #公公举报教师儿媳往娘家拿学生营养餐，县教育局：没这回事，儿媳和儿子正闹离婚.更多视频点击关注
1698571570# #前方“大军”强势袭来，新娘手持树枝霸气护夫！新娘
1698508283# #16年前西安大唐不夜城。当时是在大雁塔拍到的，看到16年前的大唐不夜城，不仅让我感慨万千。西安西安超话
1698562287# #宿舍外男的在楼下表白，舍管阿姨：喊你妈……网友：整点实在的，别天天喊口号，老阿姨可是过来人
1696324410# #【警惕！店主因百份佛跳墙订单损失11万饭店老板陷假订餐骗局被骗11万】近日，江苏餐饮店老板苏先生接到一名女老师订单，称要订购6桌800元标准餐品和53份佛跳墙。由于找不到和订餐人提供图片上一模一样的佛跳墙，苏先生加了女老师推来的“供应商”微信，先行垫付了58300元。随后女老师称还要订购53
1692513843# #货车司机带偏瘫妻子跑运输，生活很心酸却幸福着…
1698541116# #10月28日，林俊杰来陕西咸阳开演唱会了。主办方这时候开演唱会合适吗？无意的还是有意的。脑袋被钱砸坏了吧。西安
1698673555# #俩工人大叔手挽手逛商场，大概是想给家人买衣服，却又不好意思，所以拉着朋友一起看看。
1692024197# #一起晚上来玩吧！
1693016986# #老年痴呆症婆婆走失，在苞米地被发现，儿媳妇痛哭递水，担心不已，“太心疼了，入院治疗10天，自己在哪里也不记得”，网友：好婆婆遇好儿媳，知恩感恩报恩！
1686984288# #简单粗暴
1703387030# #女子刚刚检查完，当着妈妈的面说“要点3个男模”，说着说着嘴角忍不住上扬。“这不是麻药这是吐真机”
1687223103# #福建商人在长春的遭遇希望能早点查清楚吧！别寒了外地来长投资的决心。
1699666537# #去“丁驳士”那里拜师学艺。
1702626550# #挂羊头，卖狗肉！洗浴中心涉嫌色情服务遭记者举报，警方出警却什么都查不到？派出所：做什么还要向你们报警人交代吗？摊手摊手摊手
1692837274# #舔狗，舔成这样也是无语😓
1687361719# #转发微博
1687072813# #男子光天化日之下偷女性内裤，被监控拍到全过程。很好奇，偷这个你是能穿是咋的？
1692602538# #这就是咱们说的流水席吧！
1703387279# #男子在银行取钱被追问“取钱干什么”，愣了几秒后回答的干净利索，“你们被问过吗？”
1699367736# #一个开赌场，非法拘禁获刑三年的人渣，摇身一变成了正义的化身！掌握流量密码这么简单，怪不得都想当网红…
1702194118# #果然朋友圈不要随便发！大型“社死”现场！当男生深夜emo发朋友圈：如果没有人为我打伞……
1702613410# #【孩子不敢抽血被家长踹翻在地傻眼】据12月12日，广西。孩子害怕抽血，医生无法顺利进行救治。家长有些不耐烦，于是一怒之下连踹孩子两脚。孩子被踹倒在地，不敢言语，周围人见状纷纷上前阻止家长。有网友表示：理解，但不支持拿脚踹。您怎么看？
1687349543# #转发微博
1700559470# #真的是惊呆了我
1702368068# #【温情的“暗号”餐馆三年间有一个暗号叫6号餐】近日陕西西安，在太元路的一家餐厅门前，记者看到这样一则通告：“如果您在西安遇到困难，没有收入，您尽管进店告诉工作人员来份六号餐，吃完直接走就可以，不必客气！”一碗胡辣汤、一个白吉饼，这两样餐食在这家餐馆被称为“6号餐”。店家推出“6号
1702346792# #男子没钱开房间睡觉，随即带着女朋友到出租房内挨个拽门尝试！碰到没上锁的推门进去休息……费解
1702643497# #近日，网上流传，岳父去世，一姑爷以最高礼仪向故去老人行拜礼，淳朴实在的姑爷，每一跪都让人泪目。不要笑他，他是真心的礼拜！
1693358031# #37岁评为正教授，投身科普，坐拥百万粉丝，在大众科普这条路上，戴教授走的如此坚定，如此执着。为他点赞good
1698626718# #学生们课间遇到校长，第一反应是笑然后继续下棋，网友：但凡有个桌子都少了他们童年的乐趣！
1695715036# #【挖呀挖黄老师开启直播带货】挖呀挖黄老师直播带货销售额高达百万据大湾区视频：近日，此前因一首“挖呀挖儿歌”走红网络的“武汉黄老师”开启了直播带货，相关数据显示，“黄老师”目前直播带货4场，销量区间为2.5-5万，直播销售额100-250万，场均销售额突破25万，最高8万人同时涌入直播间。对于
1695789715# #真的不羡鸳鸯不羡仙，只羡军训每一天！春游家族
1692450786# #转发微博
1698501528# #为什么大龄剩女这么多为什么男生不追女生了，看看这些男生都是怎么回答的？
1703041441# #全民反诈在行动12月17日，河南郑州。27家烟酒店老板紧急求助！上百万资金突被警方冻结！只因“大客户”20万买高档烟？店老板：说是赃款，涉电信诈骗。郑州身边事(来源:河南广播电视台都市频道)
1698571435# #婚车上摆满鲜花，老人一个个挑着拿走
1698539335# #男友的哪些行为让你瞬间想弄死他
1691075731# #传承曲剧，需要多一些田冠军，需要多一些95岁这样的老戏曲人，更需要融入现代元素在创新中发展，以吸引年轻一代观众！
1701231651# #【雷军向武汉大学捐赠13亿现金】雷军个人向武大捐赠13亿现金据武汉大学，11月29日上午，一场简朴但隆重的捐赠签约仪式在武汉大学行政楼一会议室举行。武汉大学1987级计算机系校友，小米集团创始人、董事长兼首席执行官雷军向母校捐赠13亿元人民币。雷军表示，此次捐赠主要聚焦三个方向：支持数理
1699629316# #校长：以后不许在跑道上拔河！运动会拔河校长emo
1701069776# #女子吐槽农村河道边装护栏扰民，车子开了人没处走“装了这个有什么好处呢”对此你怎么看？社会新闻
1702007796# #江西南昌女子与男朋友在酒吧预存46万，剩下40万未消费，酒吧竟然不给退？南昌
1693669042# #转发微博
1701246330# #大学宿舍男生把火焰变玫瑰花，上一秒还愤怒的宿管阿姨秒变“小甜甜”
1696993412# #转发微博
1701655628# #在现场群众翘首以待、众人簇拥下，现年已66岁的许海峰
1692512582# #转发微博
1691305104# #转发微博
1698367786# #西安机场西安名气真大！
1692714113# #商场疑似大妈推倒两个cos圈的女孩，骂她们是崇洋媚外，要替他们父母教训这群人…
1692512577# #转发微博
1687188409# #四川宜宾，睡梦中孕妇感到耳边凉飕飕，睁眼一看，床边趴着一条蛇正看着她...…
1696328433# #长春身边事【满城尽现中国红！】自10月1日，吉林长春。满城超燃尽现“中国红”，然起了爱国热潮，满满的正能量！
1688548083# #【女子看消失的她遇情侣争执立刻报警】近日，浙江义乌。女子看完《消失的她》在影院大厅遇到情侣争执，立刻上前帮报警。宾尼女士介绍，晚上看完电影散场后到大厅有个女生哭喊求报警，男子一直在说女生背着他把孩子打掉了，他怎么能不生气。该男子看到在录视频就想抱着女生离开，我上前把他拦下来并询
1694357667# #转发微博
1700522641# #持续关注话筒
1686919029# #新娘叼烟，新郎点烟，公公吃烟。哪里的婚俗？奇葩婚俗
1687241216# #玩好了是故事，玩不好是事故失望
1692681975# #快点谢谢大哥的不杀之恩吧！
1700325939# #当你拉着你妈妈没有嫌弃的时候，你的人生已经赢了！
1687570196# #孩子中考落榜，准备去职业中学报道，当问道学数控还是汽修，她扑通一声跪地：爸我想复读，想上高中。
1696603410# #大力发展预制菜费解费解费解。。预制菜是党建项目，必须落实到位，每月汇报进度，层层分析，责任到人，要不然不会不听取群众声音，以学校立项预算，立马进校园，无条件执行……
1698759949# #恒大歌舞团团长白珊珊回应：“我和许家印只是同事！”近日遭遇到网络谣言攻击，已向公安机关报案！恒大许家印恒大歌舞团
1696600338# #结婚后还这么恩爱的很少了！这才是让人羡慕的爱情！十一高速堵车秀恩爱
1688805522# #看似奥妙实则简单！
1687308921# #转发微博
1687352743# #转发微博
1700406556# #太心酸！工龄几十年的联通工程师突然被辞退，还没补偿，竟是因为没有完成推销任……你怎么看？
1700325499# #这是啥原因？
1693210352# #漂亮妈妈晒出以前接儿子放学的视频:“马上儿子要去外地上学了，还没走就开始想念。”
1702264273# #转发微博
1694743624# #【211女硕士遭杀猪盘两周被骗138万】女硕士遭杀猪盘后支离破碎的人生雪儿从211毕业后在一线城市工作一年，遭遇“杀猪盘”，两周被骗138万。为了还款，她曾一天几份兼职，做礼仪、洗盘子，不敢回家，如今她患上抑郁症。在雪儿所在的两个十几人的维权群内，大部分受害者是90后，受骗金额从十
1696812811# #转发微博
1698595758# #为拍美照，大妈们剧烈摇晃树杈“造景”，该公园为4A景区有多株保护树木
1696680696# #王楚钦决胜局11比0我不要面子的吗？
1687152792# #女子在闺蜜的鼓励下离了婚，无家可归，深夜独自一人在街头崩溃痛苦。网友：鞋子合不合脚只有自己知道？
1698496336# #【男子在高校寝室楼外手伸裤裆抖动，疑偷走女生内衣物后离去】10月27日，网传山东外事职业大学威海校区13号公寓楼外，一男子把手伸进裤裆做不雅动作后，偷走女生内衣离开。校方回应：“已知晓，还在调查中。”
1700359908# #网友拍下心酸一幕：行动不便的老人背着曾孙到医院就医社会百态
1692887911# #大妈这坐姿是否不太雅观黑线
1693669032# #转发微博
1698484150# #日本人“周末婚”兴起，婚后不住一起，每周见两到三次，“同时享受已婚和单身的好处”真的挺好的！
1693211215# #转发微博
1703388159# #新婚快乐求关注求关注求关注结婚的幸不幸福，我只想知道那个衣服什么时候能掉下来，吃瓜吃瓜
1687395088# #桥边装上尖锐“防护网”，这要是有人落水了怎么救？
1687663655# #需要提包的不？
1698574997# #台海局势中国驻美国大使馆：提醒在美中国公民加强应对枪击事件的意识和能力
1686984695# #转发微博
1699368542# #全网喊话刘强东回老家关水龙头，网友：整个京东都知道啦搞笑
1687361775# #然并卵允悲
1698158290# #转发微博
1696302782# #转发微博
1700325260# #真帅！
1695190890# #【刘德华全新献唱！人民日报杭州亚运助威曲《登场》】杭州进入“亚运时间”！刘德华倾情献唱新歌《登场》↓↓谨以此歌为杭州亚运喝彩，也献给拼搏着的不平凡的你我。（来源：人民日报新媒体）。。刘德华新歌登场刘德华为亚运助威。
1692942477# #一个负债超百万的农村女性，如何过好人生下半场?卓萍萍交上了一份称的完美的答卷！
1698587532# #当事人回应用“退退退”击溃广场舞大妈挑衅:没有恶意很尊重老人，网友：终于看到现实版了😂
1686988639# #【陕西第六建筑工程有限公司，劳务公司是四川顺懿建设有限公司拖欠农民工工资何时支付？话筒】大家好，我叫周永富，来自四川省广元市。2020年初我带着杨军，熊冬，邓超等多人，在咸阳市秦都区马泉花园二期（5号.6号，车库）楼主体钢筋电渣压力焊和套丝的人工活，本项目工程由陕西第六建筑工程有限公
1698542210# #新郎结婚改口时刚喊出“爸爸”台下好友们全都“热情回应”所有人都懵了全都乐了
1699930185# #震撼！南迦巴瓦峰日照金山
1693669057# #转发微博
1693933340# #【太暖心！男孩独自上学司机停车按喇叭提醒】书包就是他们之间的约定近日，重庆。男孩独自上学司机停车按喇叭提醒。网友：看到门上挂书包司机便知有人要乘车，书包是孩子和司机之间的约定！
1687068663# #6月17日，北京。徐晓东到李毅icon总部了，准备修理他。爆料
1699930018# #男子凌晨进超市偷饮料，被发现后露出瘆人表情，当事人：很吓人还扬言要弄死我
1686984738# #转发微博
1700966638# #“多有意义的爱国教育！”小学运动会开幕式上演特殊点名，当台湾出现时感动全场！
1702348665# #大妈路边阻拦男子摆路边摊，帅气摊主被逼急用“亲吻”打败她！“小伙子大爷要冲来了！”迷惑行为大赏
1698589601# #吴艳妮霸气发言：我吴艳妮遇强则强，我不害怕你们任何人，站在场上我就是王者田径
1694014324# #【5名大学生人均花37元改造宿舍】优质宿舍改造大赏近日，山西长治。开学读大二的王同学在新学期来临之际换了校区并搬进新宿舍，因宿舍条件欠佳，于是决定和室友一起协力改造宿舍。她们购买了地板贴、墙纸、鞋架等物品，等到货后又花了一天时间进行“施工”。改造后宿舍变得干净整洁，5人共计花费18
1701101796# #无耻！真扯淡。大家平常去药店买药也经常遇到吧？。男子称药店买平价钙片时被强制推销高价保健品，店员称：年纪轻轻的对自己好点。网友：如此经营令人厌烦。
1700963282# #11月24日，江苏常州。女子在服务窗口办理业务时与工作人员发生争执。女子怒怼:每一次都说缺一样材料为什么不早说呢？
1699889674# #转发微博
1687626627# #阿弥陀佛！善哉善哉车臣军队已出发平叛
1687085043# #女子：广场上翩翩起舞，美若天仙。大哥：吃着冰棒望着大厦一眼而过。网友：生活在同一片土地却又不同的生活社会百态
1699889695# #转发微博
1687308930# #转发微博
1694348243# #通化身边事【我国科学家第一次在高山上发现陨石坑！】近日，在吉林通化市。此次新发现的陨石坑位，于我国吉林省通化市东南方向，二十余公里处的白鸡峰国家森林公园高山顶部，直径达1400米。从坑缘最高点到坑中心最低点之间的高差达400多米，呈冰斗形，如同一个巨大漏斗悬挂在高山上宏伟壮观！
1694357672# #转发微博
1701918657# #在广东广州全国药品交易会上，浙江一公司推出酱香型避孕套，这酒量不行的到时候3分钟就得倒吧。避孕网友问问，会不会更持久？
1686987277# #一颗老鼠头为何要省级调查组才能查清鼠头的事件告一段落了，那么张薇呢？网友都没忘记吧！能不能查清楚，党纪问题，党纪查出，违法问题，司法查处。
1693902919# #乐山【乐山猴群摆阵打劫！】9月3日，四川乐山。公路上一猴群“摆阵”围住白车“打劫”，网友:车内“猴急”车外也猴急。据谭女士说:不像动物干的事允悲
1686908703# #转发微博
1697195976# #流水不争先，争得是滔滔不绝。墨墨往上数四代、百余年，都在制瓷，她传承、她创新、也要给家族带去新的积淀，在她身上看到一种存在千年的中华工匠精神，非遗的那一炉窑火，绵绵不断。
1700897835# #转发微博
1701153754# #路边皮卡停车时占了两个车位，小车的一系列操作惊呆众人，网友：这车位是越停越宽了
1693669095# #转发微博
1700897859# #转发微博
1698627254# #地铁上男子因为“抢座”和两位大姨发生争执。男子称：因为没有让座被打了一巴掌。让座
1702264250# #有这时间和精力，不如把有疑点的案件一个一个过一遍。
1698766123# #女子让老公帮忙包云吞，总觉得哪里不对
1687090830# #封建思想在作怪
1692418596# #余华和莫言这对北京师范大学文学创作研究班的同窗好友，也是“睡在上下铺的兄弟”，终于相聚岛屿的书屋，上演“文坛老友记”，妙语连珠，幽默风趣的梗不断，“谈笑间灰飞烟灭”的真实的令人折服。
1697174742# #中美之争美国信奉丛林法则，弱肉强食，迷恋军事武力。谎言重复千遍就是真理，真理只在大炮的射程之内，胜者拥有一切等霸权逻辑思维。美国认为，这是一个以美国为首北美白人和欧洲白人统治的世界。整个世界都是西方的奶酪，其他人都低欧美白人一等，需要被其统治，把整个世界都当成西方狩猎的猎场。
1694354801# #【学校要求学生到指定书店买学习资料，书店门口大排长龙话筒】近日，陕西西安。新学期开学，一书店门口大排长龙，家长和学生一起抢购学习资料。一位学生表示是一中的老师要求他们都到“鑫鑫书屋”来买全科的《名校课堂》，2本书82元。也有家长表示每个学校要的东西这个书屋都有。
1698571140# #农村邻居盖房墙角居然正对着我家大门，这不是太欺负人了么？这还叫我后面怎么过啊？我说叫他往里边移点，别对着我家大门口，反正你这么大位置，房子已经够大了。没想到他居然说是我有错在先，这不能怪他。
1698500835# #新郎接新娘上车，原本商量好的上车礼没给够，社会百态新娘爸爸：不去了我养活她&nbsp;结婚&nbsp;&nbsp;
1700892716# #妈妈与奶奶发生矛盾，女儿在一旁劝架……
1687090921# #转发微博
1687252058# #吴宗宪这辈子最痛恨吸毒的人互联网是有记忆的，你儿子吸毒被警方逮扑呢？
1687104622# #河南大妈在地铁上当场指责男生搂着女朋友太恶心，到底谁对谁错？情侣日常
1695539894# #【官方通报小学生遭同学极端欺辱：工作组连夜进驻学校调查话筒】9月23日，山西大同，据法治日报消息：近日，山西省大同市大成双语学校一家长在网上发布贴子，称自己四年级的儿子在校一年半时间内一直遭到同班同宿舍的同学赵某某霸凌。针对网友反映的情况，大同市教育局发布通报，称连夜派工作组进驻
1702982140# #【广西】12月19日，私自把亲戚的车开走去接亲，燃放鞭炮把车引燃，这回可怎么交代啊！
1695912017# #真是好事成双！家里兄弟两个同时结婚，娶的还是双胞胎，哥哥是军人，弟弟是博士，双喜临门，喜结良缘。
1692686592# #这数据有点吓人啊！
1693790279# #高州木偶戏被列入第一批国家级非物质文化遗产名录，但后继无人一直是这项民间艺术的大问题。兴叔在阔别舞台30年后，在抖音表演非遗木偶戏，靠直播打赏撑起第二舞台。
1687005348# #姐姐专程从美国回来，穿旗袍送弟弟进中考考场，祝他“考的全会，蒙的全对！”不得不说，姐姐真疼弟弟！中考
1698641848# #工作人员接力公主抱，感动瞬间爱的接力赛
1699689205# #鹅毛大雪中值勤，走下哨岗双腿冻僵。致敬我们的子弟兵！中国军人
1695788262# #郑爽仍有千万欠款未履行郑爽，深‮被夜‬爆‮天惊‬大瓜！。。在大家准备入睡的时候，郑爽再次成为网络热议话题。。。据媒体报道，郑爽在因“代孕弃养”和偷逃税被“封杀”后，现在还被一家影视投资公司告上法庭，要求赔偿的金额高达令人咂舌的一亿元。这一消息让网友们纷纷发表不同看法：。。有网友认为，
1700707302# #在传统文化中溶入现代元素，将戏曲与流行、说唱等结合，创编出10多首国潮音乐惊艳网友，“95后”戏曲硕士刘书含走红网络，登上央视，让年轻人看到戏曲有多“潮”！
1688525274# #地铁上女子称身边男孩摸她屁股，与男孩家长产生争执，“你的屁股太香了，我也想摸一下”。
1686962441# #济宁一女子钻入停靠在站牌的公交车车底6月16日，山东济宁，一女子大街上突然钻进停靠在站牌的公交车车底，造成道路拥堵，已有人报警。。具目击者讲述：消防员及时赶到，把女子救出。人没受伤。济宁
1702361476# #儿子学校组织的大型认亲现场，着实让我有点为难摊手摊手摊手
1691308271# #20年后我不信你不后悔
1687107198# #厦大新闻学教授谈张雪峰言论这波我站张雪峰老师赞赞赞。作为一个老资深媒体人，新闻传播专业已经局限了你的就业方向，一般就是官方广播电视和新闻报纸这类单位，然媒体前景一天不如一天，因多个平台的冲击，人人都是自媒体的时代，很多电视台报社已经宣布停刊，只剩为数不多的某些媒体还
1692512564# #转发微博
1694672384# #便利店女店员见到老鼠毫不畏惧，拿着扫把全程大战三百回合，“怂猫全程不敢上前”笑cry
1698204666# #找到了整天吃吃喝喝还赚钱的工作"宝妈"借助新媒体平台，找到了自己的理想职业，命运的齿轮开始转动,未来可期！
1702626329# #女子在街上买水果遇到缺斤少两，事后找到摊贩讨要说法，摊贩竟称“我们都是卖8两，没有卖足的”……摊手摊手摊手
1698923436# #新郎官都尴尬的不行了，公公婆婆:这是娶了一个什么玩意捂脸……
1686984249# #星光不负赶路人
1699632500# #浙江一民企老总为庆祝母亲九十大寿，给7000多名员工每人发600元红包（供稿：美丽丽水）
1693842958# #赞北京公交民警goodgoodgood【图书+衣物+玩具！秋风把民警对孩子们的祝福吹进大凉山】
1703342164# #公开场合说一套，私下交流说另一套，已经约定俗成了。默，这种情况，看来是无法改变的，这就是人类社会。。。早上好，吃饭了没有？
1700550006# #年轻女子在公园里面荡秋千被大妈怒骂，原因是大妈带小孩玩不到，社会百态网友:谁规定成年人不能荡秋千？
1699671325# #女生穿舍友大衣秒变“小企鹅”
1698565069# #1158万毕业生，陷在体面工作里！“人人都是大学生”，去做餐厅服务员都很正常的时代，他们该怎么选？
1695825895# #中国男足晋级八强发生了什么？？？男足突然这么强汗汗汗
1703330012# #你可以怀疑他的功夫，但你不能怀疑他的人品
1699889660# #转发微博
1693035056# #转发微博
1700928818# #这漂亮，一个美丽的女孩心
1695825837# #【蚂蚁搬家！费解费解费解男子分383次转走早点摊老人4万元】近日，湖北武汉，一男子趁着帮早餐店老婆婆维修收款机的机会，偷偷将取款码绑定上了自己账户。随后，分383次，最多一天10笔，每笔转97元至99元不等，共转走资金近4万元。之后，这些钱几乎都被男子购买了彩票，妄想一夜暴富……
1702550497# #女子不经意掏钥匙掉100元钱，被自己刚善意提醒的带娃女子捡走，“很寒心觉得好心被辜负”
1695787781# #央媒称年龄不应是违法犯罪的挡箭牌有网友质疑，山西大同icon大城双语学校霸凌者为什么才四年级就有这样舔下体行为，是不是过早接触到了不该接触的事物，在哪儿呢？这个年龄只可能是家里，是父母不注意言行了吗？
1687349558# #转发微博
1692890513# #七夕在街头，大雨滂沱，女生坐在快递车上等待男友，网友：要好好珍惜肯陪你吃苦的女孩，不要辜负她呀。
1700609355# #是一位从心底里恨律师的司法部长，有此下场就是必然的。
1699769537# #满满的都是回忆，看着看着就哭了…老师和学生青春的记忆
1696739137# #【搞笑又暖心！小学生结伴徒步几公里找老师玩心】近日，广西，一群小学生结伴徒步几公里去找语文老师玩。走到老师家门口后，开始反复确认是不是没有找对位置，最终一名小学生不经意抬头发现了老师的身影。随后，老师请学生到家中做客吃饭，并电话通知孩子家长报平安。网友：隔着屏幕都感到欢乐。
1698537776# #小时候喜欢下雨，总觉得特别踏实，不用下地干活，父母有时间给做好吃的，长大后喜欢下雨，是因为它能洗刷内心的烦恼和浮躁……乡村守护人农村生活乡愁记忆
1699688776# #绿化工人用砖头水泥填补树洞引质疑，园林局：抹的防腐剂，防止树木断裂
1696585156# #网上爆料，潍坊市两干部忘关会议摄像头致不雅视频流出，街办：涉事两人系村干部，已停职，并交纪委调查
1696500878# #爱情公狱第一次约女孩子吃饭，可她不停的玩手机费解费解费解
1698493497# #转发微博
1699368013# #老人误入隧道出租车缓缓跟在身后守护感谢在凌晨四点的西安你带来了深秋夜里的温暖……
1693211011# #寻美三秦考古是破解文化密码的钥匙。古芮国大墓的遗珍，填补了周代礼乐社会的空白；秦国故都的规划，描绘出大一统国家的雏形；唐代朝元阁的巧思，堆砌成盛唐气象的一隅。尘土之下，昔日盛景，在考古人的手中被发掘重现。8月26日周六21：15暑期文化炙热大片《中国·考古》本季收官之作——《考古探寻
1695649128# #70岁马保国现身杭州，向国外友人展示五连鞭，这么大年纪也是不容易！马保国老师现身杭州亚运村
1699769587# #小伙杵路中央欲翻栏杆横穿马路,大方回答：等没车了再过,交警：现在没车了我看看你咋过-
1699889564# #转发微博
1700326647# #亲妈妈私自拆26岁女儿快递，误将筋膜枪当作情趣用品，气到对女儿“动手”
1695909789# #【四川一男子换车油不慎引燃倒地惨叫路人：身上有油水扑不灭】9月26日，四川眉山三元广场附近一男子换车油时意外着火，多名群众上前合力帮其灭火。据目击者雷女士称，男子换车油时将油漏在地上，他试图点火处理，结果引火上身。附近群众看到后立即提水帮其灭火，但因身上有油，水未能将其扑灭。最
1698923921# #数位游客在稻谷上玩耍，将即将收获的稻谷踩坏，老太怒斥：有钱我都不要，我只要我的稻谷！
1694014371# #9月5日，2023年中国（天津）网络文化节暨网络文明宣传季活动开幕式在梅地亚大剧院举办，现场发布了2023年中国（天津）网络文化节重点项目、会徽、吉祥物和主题歌《风从这里吹起》。
1694231587# #大姐让工作人员抓小偷下手轻些化妆品店工作人员抓到女子偷东西，女子不停挣脱逃跑，工作人员死死拽住，一旁大姐让工作人员下手轻一点，“小偷也是人”。
1699604195# #河北廊坊一小区门口多人围着倒地女子，男子大声称“给你10万够吗”，网传男子打人后叫嚣。警方：已介入，具体情况不便透露
1698636361# #古镇里他们为何大打出手？这阵仗太吓人了，轮椅子砸？“和气生财，暴力解决不了问题”成都震惊
1701763600# #家里小弟弟去酒吧点了一支舞被姐姐发现了，现在六个姐姐在面前跳又不看！
1686984686# #实事求是很难吗？
1698763619# #老伴中风，老头不离不弃，几年来，每天坚持两小时提绳拉步陪走，帮助老伴康复锻炼。
1695647235# #近日某高校举行“艾滋病防控科普进校园”活动，现场教授男生如何“打飞机”。艾滋病科普
1691553820# #青蛙来补裤子这也太尴尬了，太害羞了……哈哈
1692511423# #一岁多的孩子高铁哭闹遭女子要求闭嘴列车上一漂亮女子嫌两岁不到的孩子在高铁上哭闹，与家长发生激烈争执：让他闭嘴，拍摄者：其实孩子顶多哭了5分钟
1699770030# #因没让一辆大G加塞遭反复别车，交警：正寻找肇事车
1698655519# #印度富豪要求年轻人每周工作70小时印度年轻人应该自愿每周上70小时班。印度印孚瑟斯科技有限责任公司创始人兼前首席执行官纳拉亚纳·穆尔蒂的一席话近日在互联网掀起舆论风暴。据《福布斯》杂志估计，穆尔蒂的财富超过40亿美元，他还是英国首相苏纳克的岳父。
