1695353395# #这是哪个白痴拍的？
1692155741# #【大家醒醒吧】。8月14日，夏威夷当地非盈利机构的一位成员发布了一段视频，说许多当地居民的房子刚遭遇大火，就接到了房地产商的电话要求收购土地。。而网红马特·华莱士则发布了一则推文，说毛伊岛上损毁最严重的区域恰好在豪宅区旁边，火灾后这些失去房子的人不得不变卖土地，可旁边诸如比尔·盖茨、威
1691765900# #来华黑人中艾滋病患者的比例究竟有多高？如果不高，就不要以讹传讹，制造恐慌；如果很高，那么就不应该任凭我们的姐妹堕入火坑！
1695700681# #只听新人笑，不闻旧人哭。。雷蒙多做错了什么，为什么要换掉她的代言？
1694050021# #精日Akid在日本活活饿死，触动了远在土澳的某位殖人——我死之后，谁会收尸？
1697362740# #会不会是广东人忘了自己在四川了允悲
1696241215# #【肌肉记忆】。亚运乒乓男子双打决赛，樊振东和王楚钦为中国队锁定了金牌。颁奖环节，有网友注意到，当五星红旗升起，一旁的韩国选手林钟勋居然也在跟唱《义勇军进行曲》，而且口型完全对得上！估计是听了太多遍，很难不会啊允悲
1703299645# #说好的工匠精神呢？只剩躬匠了吗摊手
1696326151# #出国就乖巧，无人敢医闹。。资本主义教育人，做人别双标。
1692515734# #被你这么一说呢，好像也是
1694239416# #八嘎！。嗨！。八嘎八嘎八嘎！。嗨嗨嗨！
1703403448# #天性凉薄，职业杀熟。
1699782174# #三哥的潜射导弹技术，颇具中国烟花技术的神韵允悲
1704115490# #脱亚入欧百五十年，入了个寂寞。
1688292072# #太可怜了，清华美女嫁美国老公，入美国国籍，生美国女儿，然后被发生车祸的美国特斯拉活活烧死了衰。电动车，还是选中国品牌比较放心。
1701170144# #为什么说穷人的孩子成天就知道玩手机？
1699024662# #尸横遍野果敢地，试看谁再犯天威。
1697677249# #这……
1704116006# #公知话术大赏二哈
1693995197# #【爱国有罪？】。9月5日，《南方周末》官网刊登了一篇评论文章：《混淆文物与工艺品，赚取爱国流量，真的好吗？》。该文针对网友“要国宝文物回家”的呼吁，认为“这是在赚爱国流量”，炮轰《逃出大英博物馆》这样的短片是迎合民族情绪。并且声称上世纪西方掠夺中国文物的行为绝大多数都是拥有合法手续的
1701737750# #《为什么中国的公知失败了》
1700528924# #起诉以色列？可是海牙有牙吗允悲
1699832877# #以色列总统赫尔佐格对媒体说，在北加沙一所儿童房改建的军事建筑内，搜出一本阿拉伯语版的《我的奋斗》。。可是炸弹横飞、断壁残垣的加沙，还能找到这么新的书吗？
1692194134# #他们这帮双标狗，搞得自己像二皮脸似的
1699961332# #知耻而后勇，唯一一场让解放军感到恐惧的战争……
1701771030# #中传播音主持进修班。12月5日中午12点30，516教室，21播本郭杰老师小课组VS21播本林白老师小课组。。辩题：播音生的颜值比内涵重要vs播音生的内涵比颜值重要！。进修班同学判定：正方胜。
1701316794# #国产汽车，继续努力！。日落西山，指日可待。
1702425348# #这正是公知喜欢吹老蒋、果粉喜欢吹民国的真实原因，因为列强怀念死它们啦！
1696405771# #恨国党就是这样替主子把中国人民得罪干净的。
1700789931# #据路透社报道，当地时间11月22日，阿根廷当选总统哈维尔·米莱在社交媒体上发文，感谢中国领导人。。据央视新闻报道，11月21日，国家主席习近平致电哈维尔·米莱，祝贺他当选阿根廷共和国总统。。米莱在他的X账户上说：“感谢习主席的贺信，我向他致以最诚挚的祝福，祝福中国人民幸福安康。”米莱还分享了
1702993160# #与其将来打游击，何不现在上前线？
1696054576# #肇庆，清远，一堵成名天下知。
1703204224# #感谢国家，兜底孤儿心
1691462818# #这就属于祖坟失火🔥
1696827605# #10月8日，以色列驻华使馆发文称一名在北京出生的以色列混血女孩Noa，在以色列南部参加音乐节时被巴勒斯坦抵抗武装哈马斯绑架，并把她从以色列拖到了加沙云云。。这位以色列的Noa是以色列国籍的军人，她是在1967年边界状态下属于巴勒斯坦的土地上被抓的，她现在坐在哈马斯的沙发上喝矿泉水。所以这事与中
1696947906# #左图：德国纳粹与犹太儿童。右图：以军与巴勒斯坦儿童
1702893570# #中国的工业化，是谁扶持的？
1687618239# #俄军的三湾在哪里
1699419805# #全国各地人均预期寿命。。祝贺湖南。
1700012701# #《其他国家有可能完成类似中国这种大规模基建的成就吗？》
1689400488# #【自我反思】。历史学家茅海建，居然因为在澳门大学任教时涉嫌性骚扰女生，被判处7个月徒刑，暂缓执行，为期2年。惊呆了，茅老54年生人，68岁犯案，惊呆我等众生。。本狼在很年轻时就读过茅老所著《天朝的崩溃》，至今依然珍藏在书架上。这是我第一次在教材以外了解到不同于官方叙事视角的鸦片战争，尤其
1695626232# #加拿大议会全体起立，和泽连斯基一起为98岁的乌克兰老纳粹鼓掌。此人曾是乌克兰第一师又名加利西亚师又名党卫军第十四师的一名纳粹分子。为他鼓掌的原因是他曾在二战时与苏联红军战斗。。不够带劲，本狼等着看加拿大议会啥时候为与苏军作战第一人——小胡子，而喝彩。
1702511936# #《为什么国内网友坚信自己是发展中国家，而国际上却普遍认为中国是超级大国？》
1691377176# #央妈一到，粉丝立马收大旗，变身乖宝宝允悲
1697518029# #以军表现遭巴方网友嘲笑……
1694934021# #天朝等的就是这一天……
1695530108# #【指鹿为马】。9月21日，欧盟委员会主席冯德莱恩在纽约向日本首相岸田文雄颁发美国智库大西洋理事会“全球公民奖”。冯德莱恩在颁奖时对岸田声称，“当原子弹将广岛夷为平地时，你有很多亲戚丧生。你是在幸存者故事的陪伴下长大的。你希望我们听到同样的故事，面对过去并了解关于未来的事情。对于七国
1699523085# #只要他们敢，我们就来而不往非礼也酷
1688438378# #润物腿脚不行，智商更不行。
1699283655# #大陆北方网友允悲
1703162583# #日本8月24日将福岛核污水排入大海，迄今已近四个月。日本的海岸正在出现越来越多的不祥之兆：大量死鱼被冲上岸边，数以千吨计，多到渔船寸步难行……☢️
1690290891# #秦刚被免去外交部部长，王毅再次出任外交部部长。秦刚成为共和国历史上任期最短的外长，2022年12月30日—2023年7月25日。
1690629127# #古人教我：少不入川……
1698189236# #中俄哈大运河的设想，从新疆通过运河可直达黑海，并最终进入地中海！
1694137719# #你好不容易逃出去的，不要听他们劝，一定要留在外面，最好死在外面，谢谢。
1702697860# #洛杉矶华人区，一名女司机开车撞飞了一名高中女生，却忙着送孩子上学去了，只留下一个中国国内的手机号，且无法打通。有人通过微信号和手机号找到了肇事司机，但她已更换头像。目前肇事司机已被警方逮捕，她将面临指控。。这样的人，润出去越多越好。
1694221359# #中国高铁上的螺母，真的依赖日本技术吗？。你在逗我？
1701310397# #中传播音主持进修班。高学历女性做全职太太是不是浪费？。正方：2023秋季进修班最佳辩手。反方：21播本林白小组精英战队。正方胜。
1702191794# #北京市政府建议老年人，冬天去海南取暖，夏天去北方避暑，过冬暖夏凉的养老生活。。候鸟养老，拉动消费。北京市率先发现以后老人家更有钱。
1695003097# #【辫子客服】。挨轰15辫子客服的风波越来越大。如本狼所料，一些理中客开始出来和稀泥了，大意是诸位太敏感（玻璃心）了blabla。。你去跟黑人面前“内个内个”试试，你去跟阿拉伯人面前吃个大肠试试，本狼赌你没机会劝人家别太敏感。尊严是跪不出来的。。还有人说人家客服是印第安人云云，那个差点被白人
1691540220# #8月7日，女足世界杯英国--尼日利亚1/8淘汰赛中，英国队7号詹姆斯故意踩踏倒地不起的尼日利亚队员，后被红牌罚下。
1689768777# #往事并不如烟，公知犹在人间。
1687065643# #1979年在长城上喝可乐的小男孩，如今已是一位知天命的大叔。
1687475688# #德国大使馆祝中国人端午，翻车。汉斯不懂安康派的执著摊手
1690692006# #成都大运，熊猫抱月熊猫
1700820334# #当韩国网友询问：怎样可以把中国踢出联合国安理会，让韩国取而代之？
1696745847# #黑市上的弹药又是从哪里来的呢？
1699764739# #公知的套路
1693264489# #8月26日，香港大学护理系新生女同学在社交平台投稿，表示近日她所参加的港大迎新营，现场有高年级学生吸食大麻，期间自己还被男学长“上下其手”，称是人生最痛苦的日子，给她带来很大的阴影。。其实，香港各大学的迎新营早就被讥讽为“迎新淫”，比如香港理工大学早前的迎新营，在海渡轮上大玩所谓的游
1688439375# #苏州老子像，神似毒教材。
1698459013# #10月27日夜，北京网友在街头迎接强总回京蜡烛蜡烛via
1703132497# #天津因帝都而设卫，若无帝都……
1696840106# #杭州亚运会闭幕式，日本の8分钟，为大家展示了下届亚运会的举办地——名鬼屋👻
1694009710# #岁月——冷军油画的模特，2011与2023。
1700472289# #解放军一个重装合成旅的实力已经超过整个英国陆军了。
1702116648# #乌镇狂欢夜，谢娜抢镜，几乎翻船🚢
1695469112# #如何跟不懂军事的女性解释055大驱的意义允悲
1690598655# #乌克兰基辅军事学院招生。。9月1日开学、9月2日去巴赫穆特实习、9月3日中弹入院、9月4日不治身亡、9月5日遗体火化、9月6日骨灰回国、9月7日入土为安……
1701568314# #【中国足球并不弱】。在拥有十亿以上人口的国度中，中国足球⚽是无敌的存在裂开
1699848003# #以军在加沙的废墟上惬意地享受着茶店，享受着征服者作恶后却不受惩罚的惬意时光……
1691456296# #网友的智慧是无穷的笑cry
1704184073# #【地龙翻身】。日本石川县轮岛市发生地震的时刻衰
1700050869# #11月10日，缅北网红李赛高再次登台献唱，为佤邦联合军的领导人赵尼来庆祝生日。他身穿佤邦联合军的制服，手持吉他，唱了一首名为《佤邦之歌》的歌曲。。李赛高其人，是缅北诈骗团伙的一员。这次扫荡缅北，能否将这厮一并抓了？
1695871661# #9月27日，在杭州亚运会男足比赛首轮淘汰赛上，中国男足亚运队1:0战胜卡塔尔队，晋级八强，终止了连续5届亚运会淘汰赛首轮就出局的尴尬纪录。八强战将在10月1日进行，对手是志在夺金的韩国男足。
1695894523# #【传奇】。丘索维金娜，48岁，已是祖母，参加过8届奥运会。杭州亚运会再度登场，获得女子跳马第四名。
1695293895# #这帮公知是不是跟国外造圆珠笔的厂商有仇呀？这是非让我们再来一炉的节奏……
1701847290# #【泡菜味大V】。中国网友嘲讽韩国申博失败，某独立之精神自由之思想大V暴跳如雷：这是国人不尊重文明国家的表现！允悲
1698206428# #一位号称是“英国礼仪专家”的博主LucyChallenger在TikTok上发布了一条视频，教导网友如何在正式场合用刀叉吃米饭。她认为在西方环境中，不应该用手、筷子或勺子吃米饭，而应该用刀子把米饭推到叉子背面顶端处，然后优雅地放进嘴里，这样做可以让人显得更有教养和风度。。她的视频引发各种群嘲，于是连
1695559657# #杭州亚运开幕式。朝鲜队入场，全场掌声雷动；韩国队入场，感觉电视被静音。可见韩方三十年来通过公知在中国媒体上各种诋毁朝鲜，没啥P用。中国老百姓明白得很。
1692094156# #广州人的至暗时刻允悲
1694350074# #弯弯女星林志玲，曾在支持民进党反对核电厂时高呼："我是人，我反核"。。现在日本大肆排放核污水，她和许多弯弯却保持沉默。不知他们现在如何看待自己的属性。
1691579421# #国际友人不远万里来中国留学，实在太辛苦啦，体力消耗一定很大。乘客们都体贴地为他让出空间。
1700643118# #【蒋公的心路历程】。从大总统到战五渣，从战五渣到军事家允悲
1690160496# #警示牌为啥要用黑人呢？希望我们警惕，还是希望我们习惯……
1698107507# #在巴勒斯坦，孩子们长不大——那对小兄妹走了蜡烛蜡烛
1699537959# #以色列人发推“战争中的爱情”。。然而各国网友不那么好骗哟摊手
1699779743# #《欧美人为什么嘲笑中国人眼睛小？》
1692336109# #领导反应神速，先下手为强，开掉准备兴风作浪的xxn
1691992222# #国防科大学长接站，一人在场，势如千军。
1696302725# #不知道的还以为女子100米栏中国队拿了两块金牌呢……甚至是吴金林银？
1687402314# #6月21日20时40分许，银川市兴庆区民族南街富洋烧烤店操作间液化气罐泄漏引发爆炸，造成38人伤亡，其中31人经抢救无效死亡，7人正在全力救治中。当晚21时20分许现场明火已扑灭。
1694919308# #【菜鸡互啄】。从美国转润土澳的高华，开始质疑在美著名润物王伟恒，为什么那么惨？。潜台词是：为啥说真话！就不能像我们一样装逼到底吗？
1696126420# #【锯古树，断国运】。英国最著名的古树——罗宾汉树，被一个16岁的熊孩子趁夜锯断，全英震怒！这棵树已有几百年历史，是英国历史文化的象征。大致相当于中国黄山的迎客松。。建议大英博物馆妥善收藏，英国难得有件生长在本土的文物。
1694610518# #2023年的北方城市：。青岛年底大概率超越天津；。烟台年底大概率破万亿；。大山东真的很强；。京津冀一体化会不会变成京津唐一体化？
1701697486# #【团灭以军】。哈马斯下属武装卡桑旅12月2日发文宣布：“今天黎明时分，卡桑旅士兵在Juhral-Dik以东的定位点位监测到了大约60名以军占领军在帐篷内的位置，卡桑旅战士在帐篷周围放置了3枚炸弹并在占领军士兵中引爆，卡桑旅战士消灭了以色列占领军部队剩余成员后并安全撤回阵地”。卡桑旅的这次袭击
1699962928# #血债血偿
1692445172# #说是不同年份，衣服都不换，背景人物都不肯多等一会换一拨。
1690615305# #全国田径锦标赛女子100米栏赛后颁奖仪式，冠军夏思凝撑着雨伞登上领奖台。。与《雨巷》中柔弱的撑伞姑娘不同，这位姑娘充满了自信和力量。
1694680253# #果然是保安承担了所有……
1690165555# #哪句最让人崩溃？
1690613010# #7月28日，乌克兰第聂伯罗兵役局的军人和警察一起，试图强征一名乌克兰公民入伍，却遭暴力反抗。警察被推入池塘，军人则被迫后撤。
1690268058# #女拳现在已经明确规定不许爱中国了？
1694008950# #这才是真爱粉啊
1690880485# #成都大运会，老外乐不思蜀。。啊不对，她们乐不思离蜀。
1687327713# #美国没有人情世故？
1691125113# #南朝鲜的现代汽车，拥有悠久而又有趣的历史允悲
1692616262# #【这就是爱】。中国女生意志强，嫁到非洲伴黑郎。。不要车子不买房，不要彩礼不用床。
1699350091# #中传播音主持进修班。为响应中传“读书周”安排，23秋季班开展了班级读书大赛📚
1688484886# #7月2日，河南郑州。某夜总会，演员们青春洋溢，好似学校毕业晚会。。倒是有些学校的晚会，经常整的像夜总会……
1700371975# #2021年10月，以色列北部海岸附近发现了一柄约有900年历史的十字军古剑。。900年成这样了，您猜怎么着，要是一万年的话，一定锃光瓦亮！
1690289146# #【艺高人胆大】。7月24日，俄军一名“信号旗”特种兵在执行完侦查任务返回途中被乌军发现，一枚手雷直接飞来。这名俄军一把抓住手雷，随即扔了回去，将对面乌军炸死。
1690221943# #NoZuoNoDie
1694918689# #不要阻挡凡人修仙。。不要妨碍一个女孩子升级为小仙女。
1698161899# #我化作了蒲公英……
1700529696# #她们善良，只是软弱
1687568745# #只怕将来孩子长大还要以外籍身份轻松入学清华北大吧？。政策的制订必须以坚守这片土地的人民利益为本，而不能变相鼓励精致的利己主义者。放弃国籍，即为弃国。对于曾经背弃我国的外籍人士，没有必要给予任何形式的优待。
1704123860# #从来没想到过，街头惹人发笑的青蛙套装里，可能是一位白发苍苍的老奶奶伤心
1688099248# #这个真的有点离谱了，还不如说你们的技师拒绝为川大毕业生按摩，比较靠谱一点。
1691814269# #感谢网友提示，不过这篇至少改了一个字二哈
1694784336# #中国工程院大学花落谁家，网络吵得沸沸扬扬。郑州、武汉、南昌、长沙等城市都认为中国工程院大学选址非己莫属。。本狼认为，要么重庆，要么北京。重庆用8D城市建设证明了自己强大的工程建设能力，且适合备战考量。北京不用解释了。
1702188096# #美国投出这一票，帝国黄昏开始了。
1698237302# #中传播音主持进修班。23秋季进修班的英语小组，利用晚自习时间研究双语主持攻略话筒
1687521444# #既然回到了重庆嘛馋嘴
1699535535# #【摩萨德的威胁】。加拿大一位女生在街头忍不住骂了一句犹太人，以色列摩萨德官方账号直接出面威胁这位女生。。真是威风凛凛，所以谁是恐怖组织来着？
1689812738# #1450，国中水平允悲
1693106259# #注意备足嫁妆，嫁妆不足的新娘在印度有可能被活活烧死🔥
1703758389# #十五年。非主流女生已长开。非主流男生已长残
1701849795# #山河破碎国将亡，泽连斯基美名扬。
1695819953# #韩国女子柔道队再度大放异彩！。上次动手扇哈萨克斯坦选手的脸，这次打不过直接咬日本选手的手腕……
1688822481# #这个绝壁是起猛了听错了衰
1698373184# #【以色列打劫AV女优】。黎巴嫩裔美国知名网红米娅，曾因其在AV界的出色表现而被称为“世界第一AV女优”，在Instagram帐号拥有超过2753万粉丝。她旗帜鲜明地声援巴勒斯坦，并支持哈马斯。。她因此受到惩罚：全球知名的成人视频网站“Pornhub”已经暂停了米娅的视频收入，并计划将这部分资金捐赠给以色列作
1698371212# #新华社北京10月27日电中国共产党第十七届、十八届、十九届中央政治局常委，国务院原总理李克强同志，近日在上海休息，2023年10月26日因突发心脏病，经全力抢救无效，于10月27日0时10分在上海逝世，享年68岁。
1696843075# #此水几时休，此恨何时已！怒
1695871089# #他们会说：辛苦啦！请务必再多打一点！！
1691252760# #大运女神，一跳封神。
1699157746# #谁来告诉本狼，金鸡奖给《流浪地球2》颁发的这个“评委会特别奖”，是个啥概念。。是不是评委特别不想给却又不得不给的那种奖？
1702889708# #汉服博主在海外，一位阿拉伯母亲想跟她合照。
1701041349# #让棒子男默女泪的段子
1687571388# #泰坦尼克号的最新一批遇难者
1688184025# #【蟑螂精？】。6月26日，吉林长春。房产中介李先生在自己的社交平台发布一则视频，吐槽00后女租客跑路留下满屋垃圾。视频显示，房间里满地垃圾，吃过的外卖盒、打开的快递盒、塑料袋等，堆在桌子、床底，床边还有一堆空塑料水瓶。屋内桌面、地面甚至是床上都堆满了垃圾，令人无从下脚。李先生称：租户租
1702425096# #潘老一百多岁了，民国时去过珠三角。
1691282468# #老板见他们当场穿上，惊呆了……
1692971229# #田径世锦赛男子跳远决赛，牙买加选手麦克路德的俯冲式跳远！
1687668703# #当然不要再谈了，这样糟糕的男人怎么配得上你。
1695997872# #雅加达亚运会，柔道混合团体赛1/4决赛比赛中，韩国队输给日本队。韩国队因对判罚不满拒绝离场，在场上静坐表达“抗议”。这一招在中国好像叫做“坐地炮”允悲。而在本届杭州亚运会上，“韩国人又作什么妖”已经成为一大看点了。
1692540905# #医疗必须反腐败，不然医院就会沦为杀人工厂。
1689684680# #弯弯居然还有脚踏车工厂？大陆自行车行业出来解释一下。
1697363562# #悠悠苍天，此何人哉！
1697601794# #本狼只发图，不加评论，希望不会被夹。
1703420254# #东北人的豪爽心。与玩完拍完嚷嚷退票的行为形成鲜明对比。
1692371612# #台军官兵确实应该想清楚：到底为谁而战，为何而战？。还是投诚吧。
1693654583# #2021年4月2日，台铁列车“太鲁阁号”发生造成49人死亡、200多人受伤的严重事故。。两年过去了，台湾检方9月1日表示，经详细调查搜证，在太鲁阁事故两节车厢发现疑似遗骸碎片共18片及牙齿2颗。。有台湾网民留言称，“这根本不是某个单位螺丝松而已，整个交通组织系统完全失灵摆烂，连最基本的遗体遗物齐全
1693108708# #近日，成都车展，雷克萨斯展台。。一位男子穿着一件印有“日本投降”的体恤进入展台准备参观，却被雷克萨斯工作人员请到了后台。一身穿蓝色体恤、头戴白色帽子的男士（已在人中部位打码）对穿着“日本投降”体恤的男子大声斥责，指责中国存在过多的极端主义分子。。向全世界人民共享的大海里排核污水，有
1695612344# #河北邯郸的舞台剧《黄粱梦》很火，它针砭时弊，台词精彩：。“做官还是大官好，。大官就比小官高。。一人之下万人上，。文官武将皆如猫。。翻手为云覆手雨，。眉毛一动山河摇。。摆不完的阔气，。弄不完的权。。吃不完的珍馐，。花不完的钱。。听不完的颂歌，。收不完的礼。。享不尽的富贵，。过不完的年。”
1690281032# #所以说老年人也要注意卫生，才不会连累孙辈。
1693450072# #傻子也能看出中国的分明更美观。承认别人优秀很难吗？
1697341289# #某种意义上，是犹太资本家自己掀起了反犹主义。犹太人民应该与这些只顾维护资本利益的寡头切割。
1700613031# #我的学生里，这拨中招的也非常多衰
1692501926# #【润人悲歌】。湖南一家五口，葬身太平洋。其中三个孩子，最大只有十三岁。。本来可以在湖南快乐地做个熊孩子的……
1702362405# #本狼想在帝都组织一个低端citywalk，一律军大衣，坚决禁止装逼。
1688474818# #美国华纳兄弟娱乐公司的新片《芭比》原定于7月21日在越南上映，但越南官方媒体《青年报》近日报道称，芭比的“越南之行”因影片中出现中国主张的南海九段线地图被越官方部门叫停。
1692172962# #二战宣布投降时的日本才是最美的。
1693384488# #【脑子里有蛔虫】。一名澳大利亚科学家在堪培拉一名妇女的大脑中发现了一条8厘米长的蛔虫。患者64岁，因腹痛、健忘和抑郁而接受手术。研究表明，她可能是碰触了被蟒蛇粪便污染的野草导致感染。目前这名女子出院后恢复了正常生活，但仍在接受医生的观察。
1697289048# #本狼的得意弟子、20播本徐盛棋同学，主演的独立戏剧《一条小路》。独立戏剧很不容易，这群在校大学生很有勇气！。盛棋为人豪爽，播音学院的同学们若是去看，他多半会请客。但是独立戏剧需要援助，建议大家像本狼一样买票入场。
1697798056# #为什么现在网络上，很多中国人都看不起外国人？。因为外国太不争气了。
1702444178# #咱们不和蟑螂一般见识。
1690853996# #成都大运会，老外混入广场舞👻
1691365020# #正是因为处处都有菲律宾人这样英勇的抵抗，西方殖民者才没能像在南美和澳洲那样，把亚洲人杀光换种。
1692865842# #8月24日，日本当地时间13点，日本福岛第一核电站启动核污染水排海。。画家在个人微博上发布新作《与人类同归于尽吗混蛋》，吐槽日本核污水排海。
1691813865# #纽约海滩，一头疑似亲俄的鲨鱼袭击了一位乌克兰激进女性……
1697705644# #曾经。。现在。
1701850330# #老师，我家子涵……允悲
1702478306# #蜡烛
1688288586# #依旧地铁，依旧xxn碰瓷，小伙坚决不忍，果断出手！。这应该算互殴。
1699872124# #【加油格蕾塔】。瑞典“环保少女”格蕾塔·通贝里11月12日参加了在荷兰阿姆斯特丹举行的大规模环保示威游行。在格蕾塔邀请了一名巴勒斯坦和一名阿富汗妇女在该抗议活动上发言后，一名男子走上台并强硬地抢夺她的麦克风，并宣称“我来这里是为了气候示威，不是为了表达政治观点。”该名男子很快便被带走。
1698228294# #【香港巨婴】。香港纪惠集团副主席及行政总裁汤文亮近日在社交媒体发文称，一名老友的一个得力伙记几年前移民去了英国。老友当时表示，如果这位伙记水土不服，半年内回流香港，就当其请了一个长假，什么都不会变。奈何伙记去英国后如人间蒸发，电话不接、信息只读不回。。然而这位伙记最近回流香港，还要
1687992123# #国泰民安，正常审美。
1694141886# #港人爱上了内地水蜜桃🍑虚荣心比较强的则继续坚持吃日本的。
1699426782# #引进该引进的，不耽误反对该反对的。
1701050663# #中传播音主持进修班。2023秋季班。。周一早上，各种发奖🏆
1704118559# #12月31日晚上，石家庄正太广场跨年活动，大批吃瓜群众等着看无人机表演。结果调试失败，无人机没有成功起飞。现场有人起哄，不依不饶，最后主办方不得不下跪致歉。。卖票了吗？没卖票就是公益演出，下哪门子跪？跪了
1691641862# #韩国《韩民族新闻》8月8日通过对世界银行发布的经济规模前100位国家GDP资料进行分析后发现，去年韩国的名义GDP为1.6652万亿美元，同比减少8%，这是自2009年全球金融危机（-9.9%）以来的最大降幅。韩国经济规模全球排名也下降两个名次，位居第13位。。报道称，在经济规模排名前100位的国家中，去年比韩国
1687566359# #在日本做跑堂的二鬼子，对付中国游客比鬼子更阴毒。
1697382222# #等美国衰落后，世界人民会怎么对待美国人？。当美国衰落时，美国人民会怎么对待美国？
1702634603# #《反华可以，反犹不行》——什么黑命贵，犹命才贵！
1694826134# #小国不中立，闲来爱装逼。
1690415044# #中国队男女4×100米混合泳接力冠军徐嘉余、覃海洋、张雨霏在岸上纵情欢呼，程玉洁在水中累到快要沉底允悲。第四棒真的很悬，但是坚持下来了，祝贺中国游泳队，取得历史性突破！🎉🎉🎉
1692845463# #顺便远程畜牧
1697880238# #智利🇨🇱总统正在中国访问。。而智利这个国家，真的应该让中国帮他们修一条纵贯南北的高铁！
1689906100# #三哥公布了月船三号第四次变轨数据。。请无论如何坚持到底，不要理睬某些人的冷嘲热讽。。宁可砸到月球去，不要砸到地球上！
1690109796# #当然信你带大熊猫吃火锅，熊猫最爱涮笋尖了，地球人都知道。
1701169429# #负负得正……
1695362135# #许多润物的脑子都不太好使。
1699424129# #润美十年，一朝改弦。
1692540339# #弯弯海盗企图扣押我方渔船，遭到福建渔民英勇抵抗，未能得逞！
1698209875# #唇未至，牙已张，这才是敬业的好演员。
1704190658# #像本狼这样90分的男人站不站呢？
1690422502# #美国的亲子鉴定节目，全球的小仙女们都在齐心协力地杀伤这个世界上越来越稀少的好男人。via
1702544691# #日本合气道大师的惊人演技！
1696584055# #【两面人】。侮辱英烈的小仙女，居然又是一名学生干部！
1700141761# #不知在美的润物有没有去领这250呢？
1692101713# #在美润物：人有不被漠视的权力！。美国店员：我只是漠视一只狗而已。
1689753974# #某宝曾经，很有良心。
1687473275# #《韩国中央日报》：“强强对决只能让中韩两败俱伤”。。强强对决，是说中美对决吗？
1695567553# #杭州亚运会开幕式上流泪的女孩心
1703137757# #哈尔滨叫停了狗拉雪橇，换鸵鸟来拉，这是什么黑色玩笑？。鸵鸟也需要保护的呀！
1692277057# #8月14日，美国加州i。一名76岁的华裔老太在光天化日之下遭到一名人高马大的黑人劫匪抢劫。老太紧抓着包不放手，被劫匪在人行道上拖出十几米，最终包还是被抢走。
1693446745# #局座早在三年前就已洞若观火酷
1699260993# #某润美国不久的大殖女，看到路边的Honeybucket（移动厕所），想当然地以为是养蜜蜂🐝的蜂巢，狂赞美国对蜜蜂都这么好，其它任何国家都做不到！并表示有机会一定要进去尝尝味道。。请务必说到做到哟~~
1688982919# #谁污染，谁治理。
1704160110# #1月1日，国足在热身赛中被中国香港队逆转，而且还得了三张红牌。足球报称国足之前输给中国香港，还是1985年5月19日的事。。国足天团送温暖，打遍亚洲最鱼腩！
1692521062# #香港黄丝曱甴移民英国，被各种虐，爽得不要不要的摊手
1692103678# #片名《基情夏威夷》
1695629166# #9月24日，中国男足与孟加拉队战平。。感谢我们的国运平衡器，又为孟加拉人民送温暖。孟加拉人对中国没啥怨念，倒是与印度颇有芥蒂。本狼觉得他们会这么想：中国队送三哥一个劳动节，而我们与中国队打平，wohohoho那我们起码能送个愚人节呀允悲
1701688522# #清朝统治者不是蠢，他们就是单纯的坏。
1690008413# #据说敦煌上一次这么多人，还是在唐朝……
1703123411# #跟对人，走对路。。巴铁加油！
1692368980# #醒来时浴缸里都是冰，宛若冰岛……
1701842420# #公知执念：中国不行，肯定不能裂开
1699615312# #【问男人】。你喜欢图一还是图二？。从实招来！
1695005743# #不，一定不能放过那个北京人
1702073620# #润人回到中国，发现无法装逼，于是大动肝火。
1692230116# #她的智商和经历，不足以支撑她对人类命运进行思考……为本狼曾经的朋友而难过😔
1697967835# #这张图在以色列社交媒体各种疯传。这其实代表了很多以色列人的真实想法：彻底铲除巴勒斯坦人，彻底占据加沙这片土地。
1700141894# #当代大学生，重拾军大衣。
1689990050# #除去生理期，一天睡四次。。铁汉有铁肾，BZ无旧情。
1688786027# #7月7日，上海地铁三号线事件。。媚日女公然辱骂中国人，被战神制服！
1690508341# #殖蛆逻辑混乱，指鹿为马。
1700149220# #【日本赤军，昭和男儿】。1972年6月22日，日本赤军成员冈本公三在以色列特拉维夫出庭受审。。一个月前，他与奥平刚士、安田泰之伪装成游客，乘坐法航客机抵达特拉维夫的卢德国际机场。他们利用安保上只严防阿拉伯人、却对东亚国家的人相对宽松的巨大漏洞，成功将藏在小提琴盒里的捷克VZ58突击步枪带入航
1692617745# #空姐这份工作，其实非常辛苦。我家以前有个空姐，所以知道。
1697674806# #加沙浸信会医院被袭击前20小时，孩子们在医院庭院内帮忙捡拾垃圾，志愿者带着孩子们一起做游戏。。20小时后，这里变成了露天停尸间，医院负责人在裹尸袋中召开新闻发布会，其中很多包裹着孩子们小小的身体……
1703045543# #然后老板总是让你加班，因为你小子每次推门就进办公室二哈
1695568296# #吃进苹果🍎的黄牛们🐂
1690690882# #地铁口很有防洪的感觉
1689405434# #我们当然不会傻到照搬你们的宪法。
1698622155# #弯弯傲娇，弯弯真弯。
1703211334# #不是只有哈马斯会变得极端……
1695611261# #一个没有体育精神的国家和民族，不配被支持。
1696051289# #哈哈哈哈，正解！
1701305693# #鼓励应润尽润，但求有去无还！
