1702782518# #董宇辉若想创业俞敏洪愿意投资董宇辉单干会成为类似李佳琦一样的带货主播？
1690269562# #厦门沿海海浪蓝色警报：预计25日夜间到26日中午，台湾海峡将出现3.0-5.0米的大到巨浪；厦门沿海将出现1.5-2.5米的中到大浪，近岸海域海浪预警级别为蓝色。
1698026570# #A股，情绪盘明显低落，华为板块崛起涨停潮来了，她来了
1695968018# #华为因为被踢出蓝牙联盟，所以有了星闪；。因为不能用康宁大猩猩玻璃，所以有了昆仑玻璃；。因为不能用台积电代工，所以有了麒麟9000S；。因为不能升级安卓系统，所以有了鸿蒙。。华为mate60和麒麟芯片就是新科技时代的两弹一星。。华为遥遥领先。
1700806295# #20地物价下降食品价格降幅扩大亦带动CPI同比下降。。从肉价、水产、菜价上来看今年的物价，对消费者来说，那算是一个好消息了，基本上是“跌声一片”。。大闸蟹也泄气了。。。。为何消费还起不来呢？
1701657760# #女子全网寻找停放4年的僵尸车主人应该是车主人抛弃的吧！他要是把车停在主干道路边，收停车费的恐怕早就找到他了。。小区公共停车位，随随便便都是僵尸车，还有期限到了的车有些人车不拉去报废的。
1699753072# #【苏州百亿毒地业主称最大诉求是退房：不会维权没人对接】苏州百亿毒地有业主是高价刚需购房哈哈陆家嘴真觉得自己被骗的话就该给购房业主退房啊，然后再找苏钢索赔啊，你猜陆家嘴敢不敢？
1688680913# #大朋友请回答阳光照耀的地方有我默默的祝福，月光洒向地球的时候有我默默的祈祷，流星划过的刹那我许个愿：祝愿正在看信息的你远离病痛！
1689737437# #大跌反弹第一次，直接建仓要出事！！！。A股谚语！
1698730142# #万圣节扮鬼大会中国的农历七月半，有人扮鬼？
1688087087# #【打新必读】智迪科技：键盘、鼠标(创业板)；。建议申购；公司上市市值偏低，上市首日应该有新股溢价。。行业可比公司：。传艺科技（002866.SZ）、佳禾智能（300793.SZ）、朝阳科技（002981.SZ）、显盈科技（301067.SZ）；。个股解析点赞富三代。
1698708030# #雨哥看盘超话我喜欢三月的风，四月的雨，不落的太阳，和最好的你。早安！
1695028293# #七点以后禁食带给我的变化原来维生素B2这么厉害！可惜知道的人太少了。。★引起癌症及多种疾病的原因：。1、身体长期、严重缺乏维生素B2是导致癌症、肿瘤的根本原因。。2、各种消化道溃疡、出血、肿块、息肉、肌瘤、肝硬化也都是因为缺乏维生素B2所引起的。。3、痔疮也是因为缺乏维生素B2引起的。。
1692848978# #今天的核污染水排放量预计为200到210吨没有可参考的数据，危害面积多大？没人科普一下吗？小日本鬼子多行不义必自毙。。我们普通老百姓能做什么？。囤点盐巴，囤点海鲜干货，囤点核辐射的药，其他的能做的就是抵制日货啊啊啊啊！同志们！！！抵制日货，从我做起！。日本核污水排海或化作雨水洒遍全球
1688625670# #雨哥看盘超话今天的节奏太棒了，给自己点个赞。。早盘半导体7%止盈了，换机器人个股买入，下午封板。。我自己都不信了。
1703927413# #【绝美鱼鳞云】。记录旅行厦门人的朋友圈。被天空刷屏了！。瞧这漫天的“鱼鳞”。太！震！撼！了！。
1690717301# #【龙虎榜解读】游资打板炒作，北向、机构偏流入。指南针(300803)(+19.99%)/券商,互联金融。。深股通8582万买入,5545万卖出。。财通证券杭州上塘路4942万买入。。一家机构2740万买入。。中信证券上海分公司3144万卖出。个股解析。。金融股集体暴涨，股价20%涨停，游资打板炒作，北向、机构偏流入
1693787961# #海葵5日登陆粤闽交界台风“海葵”来袭厦门强风雨持续。“苏拉”走了，“海葵”又要来了。
1695780084# #华映科技又涨停了！。A股华为供应商合作商，第二波要启动了吗？活跃资本市场
1699499894# #HongKongDoll
1698760918# #【国内首例终端到终端低轨卫星通信测试成功】低轨卫星互联网产业链概念股。中国星链测试成功！。银河航天公司近日在灵犀03星上成功实现了国内首例终端到终端（TerminaltoTerminal，T2T）低轨卫星通信测试。。据悉，此项测试是指卫星地面终端之间直接通过卫星上的交换设备进行通信，无需经过地面信关站
1700723271# #面对这样的持枪抢劫，店主反应很快，训练有素嘛。。持枪合法的国家真乱。。梅西妻子家人又遭袭击安东内拉家人遭遇抢劫无期迷途
1687042349# #【厦门旅游打卡地】。周末去哪儿打卡最合适！。厦门园林博览苑。。风景如画的厦门园博苑。既有繁花似锦的芬芳。也有碧波荡漾的柔情。大鹅的优雅永不过时。。。厦门超话
1696819128# #以色列进入战争状态背后原因：圣地争议“无解”。。这古朴的铁轨通往的是犹太人升华的圣地。。以色列正式向哈马斯宣战
1697553243# #小米国内比国外贵？
1692063343# #胡锡进说夏威夷大火是人祸相当够格也看看美国网民传播的阴谋论。。美国政府的“阴谋”真高明，美国政府想扩建军事基地🚀就制造一场大火🔥烧掉了全部房子🏡🔥。就连拆迁赔偿费用都免去了！
1702950757# #$宁波远洋sh601022$二板了。已经开始暂停去红海了。。现在的选择是从好望角走，那么距离增加3315海里，运价后续应该就会涨价了。
1693797003# #国债和A股是跷跷板！。国债多跌点，再跌狠一点。A股反弹才会更高点。。今日看盘
1703579099# #华为耳夹耳机华为耳夹耳机，同款我居然早就用上了，遥遥领先啊哈哈
1693810548# #厦门停课受今年第11号台风“海葵”影响，经市防汛抗旱指挥部会商同意，从9月4日17:00起至9月5日全天，全市中小学校、中职学校、幼儿园停课，各类校外培训机构、托育机构停止活动，各在厦高校参照执行。。厦门发布紧急停课通知
1691159343# #美国超导又涨了，你的故事，跟不上他会讲故事。
1688597043# #爱情不是终点，陪伴才是归宿
1701738330# #易老大罕见发声！全力维护资本市场稳定运行！。被大部分人解读成，A股的大利好。。是不是利好，得看今日开盘半小时主力资金的动态流向！。敌不动，我不动，敌退我进。。a股的问题是投资者普遍赚不到钱
1700866951# #意识到文化输出在国外很有必要今年内，就是明天前，交不了的，明年不用来了。泪允悲
1694061745# #车速多少最省油？。不是70更不是80是什么呢？。现在买新能源车的人越来越多，燃油车都没有人关注了。油价这么贵，省油成了头等大事。。。排量大部分在1.5L和1.5T，一般情况下，1.5L排量的车型，在每小时65公里的速度时，相对来说是更加省油的，这种情况在跑高速的时候是比较明显的。涡轮增压发动机车型在90
1689555500# #【打新必读】舜禹股份：二次供水和污水处理业务(创业板)；。建议申购；公司20元附近的发行价格，34亿市值，加上公司预计上半年业绩好于往年，有一定的溢价空间。。行业可比公司：。首创环保（600008.SH）、威派格（603956）、中金环境（300145）、节能国祯（300388）、中持水务（603903）、鹏鹞环保（3006
1689558899# #周一A股开盘即大落，是好事！。对本周来说K线收阳线是好看的。
1703117440# #这一切，似乎都在宣告着旧周期即将结束了，而新一轮经济周期或许不远了。打call
1703117546# #对于很多癌症晚期拖延时间的病人来说，如何有尊严的死，是个大问题泪
1688724000# #电梯的镜子原来这么有用原来不是给大家整理衣容的。给幽闭恐惧症的人用的。
1702342644# #多地回应新房打折引发老业主不满贵了叫，跌了叫。。老业主继续闹，开发商回不了款，最后无法保交楼，烂尾，谁都不无辜。
1696468506# #基金经理葛兰卸任了10年亏了234亿？管理费收了33亿？。基金经理这种只管收取管理费，不管基金盈亏，他都不亏，这个规定就不合理。
1698760028# #中央金融工作会议活跃资本市场
1687827724# #到底是大毛的还是二毛的士兵，太可怜了。。俄乌战争
1688867832# #【龙虎榜】27亿资金集体被套，五连板牛股单日暴跌23%。。。浙江世宝(002703)(-4.85%)/汽车零部件。。深股通4509万买入,7448万卖出。。中国银河北京中关村大街4077万买入,5012万卖出。。一家机构1527万买入,4314万卖出。。该股此前五连板，今日尾盘大幅冲高回落。。周五介入豪赌的27亿资金集体被套。。。该股H股尾盘跌
1694442032# #几年后的日本海鲜日本核污水第一次排海今日将结束
1703720756# #雨哥看盘超话周三的美股，道指与纳斯达克100指数创历史新高，。A股今天面临考验，新年元旦节假日可以卖出提现最后一天。。国际原油下跌，黄金上涨。。美元指数大跌，离岸人民币升值。。COMEX黄金上涨。。股民朋友我这一年辛辛苦苦挣了很少钱？
1701135697# #主力资金流出在加速度
1698720076# #华为nova11SE发布，搭载HarmonyOS4操作系统，售价1999元起。
1692844237# #吃下核污染食品后果有多严重最后总结就是不堪设想，四个字！
1692744859# #中方回应日本正式决定启动排海日本核污染水排海后，进口海鲜还能吃吗？。食品安全成了老百姓最担心的问题。。A股水产养殖板块国联水产、大湖股份、江盐集团等只要核废水持续排放，渔业就持续利好。
1703484320# #男子订婚后被告强奸一审被判3年婚前不能随随便便同居喔
1702437796# #万达电影易主中国儒意背后是腾讯
1698328409# #小米芯片：应用处理器和无线通信转换信号的收发器IC（TransceiverIC）大多为美国高通公司的产品，5G用功率放大器IC大多采用美国Qorvo的产品等等。
1702090108# #厦门超话福滿人間香火盛德盈大地丁財興。。点赞，好运连连。。评论，财源广进。
1702685226# #上海下雪全国冻哭预警地图。
1693408558# #30万是豪车的分水岭吗汽场全开30万买的能叫豪车吗？20-50万最多只能叫B级车。好点的奔驰宝马也只配叫A级车。。全球十大豪车品牌，你认识几个？。。第十，兰博基尼，。。第九，法拉利，。。第八，劳斯莱斯，。。第七，世爵，。。第六，宾利，。。第五，迈巴赫，。。第四，帕加尼，。。第三，布加迪，。。第二，科尼赛
1700708051# #【白刷了几十年的牙了】刷牙之前不建议将牙刷蘸湿这样做容易起泡，但并不能很好清洁牙齿。牙膏主要是让内里的清洁成分与牙齿摩擦起作用，蘸水后容易减少摩擦力。
1698534250# #巴勒斯坦允悲允悲允悲
1702600179# #董宇辉停播东方甄选的内卷成就高途。高途股价4天涨72%，高途直播间曾只有8人同时在线
1691126683# #现在手里还没去券商股的最后会把大腿拍乌青的
1688870022# #目前正在复盘，有时间给各位老铁个股把把脉，铁粉免费个股诊断喔！（告诉我你的想法是买是卖？）。。摆摊诊股（仅限本条留言，不要捉急，我看到就回答，不要担心会一一答复）。。个股解析点赞富三代，评论美一生。
1693896131# #大学老师体验送外卖引质疑新手一个月就能跑2000多单的话，能赚1万多块钱，这谁不想跑啊。大学老师自力更生有什么好质疑的呢？人家空闲时间想干嘛就干嘛吐吐吐吐哪来的多管闲事吐
1700098225# #没有增量资金的A股，就像汪洋中的一艘无舵手的小船。
1690710220# #【活跃资本市场、提振投资者信心】。当下A股企业盈利没有明显改善的情况下，个人认为上面适当控制减缓一下IPO节奏，也就是控制一下新股发行速度，就算给市场一点信心了吧！。今日看盘
1692598523# #雨哥看盘超话A股烂泥扶不上墙了。市场底寻底真的漫长。
1698546479# #巴以冲突已超9200人死亡以色列想的是趁这次机会打进加沙，彻底清除哈马斯，然后拉着美国，国际社会和法塔赫在加沙建一个大维持会负责加沙管理和重建，它还是撒手不管加沙内部。
1700528472# #富时中国A50指数期货开盘涨0.58%。。感觉今日A股又要高开，继续努力去摸沪指3100。
1688952743# #CPI持平PPi低于预期。A股没动力了
1695550249# #日本记者报道亚运会400日元随便吃吃完，明天继续排放核污水。
1701644369# #ᵕ̈ᴹᴼᴿᴺᴵᴺᴳᵕ̈还不算晚的早餐开启元气满满的一天哦
1697160107# #今日A股再次回归到，正常的下跌态势？。今日看盘
1689202798# #看中医好像被扒光了一样中医医生的医术令人感到确实很不错，可以了解身体的状况，。心脏一点点小问题都能通过把脉摸出来。
1689820040# #正业科技20CM没赶上的还有中国电研、星云股份、杭可科技、广电计量等。
1689643997# #A股一开盘就跳水，这是北向资金补出货吗？
1686883294# #目前等A股主力资金逆袭。。只要主力资金逆袭那今日A股就可以大涨
1696138988# #【华为监控摄像头芯片回来了】华为旗下海思出货中国制造的监控摄像头芯片。。华为长期以来一直是监控芯片市场的领导者。。在美国实施限制之前，海思在监控摄像头领域占据了主要市场份额，2018年其全球市场份额估计为60%。然而在2021年，市场研究显示，海思半导体的市场占有率达到3.9%的历史最低水平。。随
1699137587# #做个知趣的人比有趣的人更容易
1694531174# #国足主帅称输球是因为运气不好出门踢球前，没拜关老爷吗？。以后踢球前都先去庙里抽签吧！不是上上签就缺席比较好。
1697584076# #赶紧准备生孩子打call打call打call
1694998479# #李在明绝食第19天健康恶化被送医你好好活下去才能继续斗争啊！有个东西叫武器，靠绝食，不能解决问题。
1693459691# #邮储银行已为存量房贷利率调整做准备：梳理并做了一些工作。。突然一下子含糊其辞！！！。所以导致今日地产股暴跌。。。
1700182436# #这段时间好敏感，Q群被封了。。重新来一个Q群《忙忙碌碌》。一起抱团，一起看世界，聊生活。
1690353411# #官方通报男子光屁股大街上被拖行不就是一辆电动车吗？有种设备叫监控，平安城市监控到处有，犯得着死抓着不放，这样小弟还健在？亏大了→→
1701062744# #A股13分钟主力买不到7亿。没有跟风盘跟风资金都怕了，A股沪指恐怕又得回踩了。
1703087119# #量化私募需提交股票程序化交易报告量化私募等需在12月29日前提交股票程序化交易报告接近人士：摸底真实情况为后续改革做好铺垫。。🧡|𝓭𝓲𝓷𝓷𝓮𝓻。吃饱饱，没烦恼*·°๑⃙⃘´༥`๑⃙⃘
1697421991# #杭州调整住房限购范围房价降了，部分区域也不限购了，结果买房的人开始犹豫了。
1697349458# #这顿北京早餐，配得上周边二十万的房价。。。为什么酒店没有晾衣服的地方
1687844856# #A股30分钟级别的反弹，快接近尾声了吗？。别认为今日反弹一下就有牛市。
1688040298# #有这个股吗？该不会是法本信息吧！技术上处在空头状态，第一支撑13.7,如果支撑不住破13大概率。
1700621598# #【雨哥整点播报】主力资金减持有加速之迹象。。明确A股主力资金走向！！！。让你明辨是非，可以初步判断是否买票！！！。A股主力资金净买入-230.4亿。北向资金净流入-15.36亿。证金净流入-16.15亿。汇报完毕！。。警惕看空者做空者唱空者掏空者。a股的问题是投资者普遍赚不到钱
1696689656# #以色列巴勒斯坦这场战争，会越打越大。以巴爆发大规模冲突造成严重伤亡。阿拉伯世界近五十年第一次如此团结无内讧。
1695690395# #正常是lpr-15
1693011646# #雨哥看盘超话这是对中国和东亚的不对称核打击。日本故意公开排放核污水。武林外传紧跟时事常看常新
1703747533# #小米汽车发布会，股价居然被雷军吹跌了。小米的参数从没输过。。$小米集团－Ｗhk01810$
1701407691# #$比亚迪sz002594$每天以2%的跌幅这样下跌，到160需要多久呢？。个股解析
1701999214# #A股不管你那种利好，还是最老套的方式开盘，惊弓之鸟式。
1687248812# #【留学生是一门生意】。移民之所以被称为澳大利亚的"最赚钱生意"，是因为其对澳洲经济的贡献突出。首先是国际教育行业。留学生每年为澳洲带来约390亿澳元（约合人民币1886亿元）的收入，是澳洲的第四大产业，。。澳大利亚有67万留学生，平均每个留学生给澳大利亚带来28万人民币收益。。。英国《卫报》报道
1691563215# #N威力300买的人，真胆肥啊！！！
1702786645# #阿里今年在一级市场出手的项目，主要集中在跨境电商、人工智能以及VR/AR领域。在跨境电商方面，其投资了跨境电商平台企业沃客非凡、持续增资了东南亚电商平台Lazada，还投资了出海企业小猴科技以及十方运动；人工智能方面，投资了百川智能、零一万物以及智谱AI；VR/AR方面，则投资了致敬未来、奇点临近
1696288378# #坚持不自律，也是一种自律强
1694495452# #北向资金下午开盘就开砸！！！。为A股持续走绿，出力不少啊！
1689829316# #福建高招普通类录取结果可查大家查到录取结果了吗？
1701820485# #超800万人上蚂蚁保选增额寿险看来保险不好卖了。。看看中国平安的股价天天创新低。
1698730784# #西方猛鬼为何输给了中式恐怖因为中式恐怖建立在漫长的封建现实迫害上，与真实联系足够密切。
1697869053# #雨哥看盘超话A股起来地产金融属性才会降低。。楼市压力才会减轻。
1701908535# #前推特高管起诉马斯克，自称因反对削减预算而被解雇。。这位前高管名叫艾伦・罗萨（AlanRosa），当地时间去年12月6日被推特解雇。艾伦・罗萨在向美国新泽西州地方法院提交的诉讼中说，他曾在推特担任全球信息技术和信息安全主管，于今年4月提出了仲裁要求，并支付了部分仲裁申请费。
1694405111# #花西子回应李佳琦网传高佣金飘了，可以继续查税
1703577020# #问界M9黑科技：首发隐私声盾，后排讲话可以让前排听不到。
1698758073# #中央金融工作会议：加快建设金融强国，全面加强金融监管。。【A股为何利好频出，还不上涨？】有必要再发一次！！！。股市的上涨，需要有巨量的资金，国家现在的资金主要留给保人民币汇率、防范化解三大风险，在美联储加息、美债收益率历史高位，外部资本不够时，郭嘉队正常不会大资金进入股市。。。
1691655646# #生活明朗一路追光快乐一如既往
1688997540# #【龙虎榜】机构跑路股！。五洲新春(603667)(-7.43%)/汽车零部件。。沪股通2952万买入。。两家机构合计卖出4143万。。中国银河绍兴828万卖出。。资金流向股价异动大跌，一度触及跌停，机构砸盘卖出。。机构卖出额占总成交额的7.05%。
1699416702# #华为未独占卫星通讯功能，正计划与更多手机厂商合作。。华为格局大啊。。。
1689427320# #雨哥看盘超话下半年不会出现通缩面对高增的银行存款，银行这边多次下调存款利率以减少利差压力，但光降存款利率，不降存量贷款利率，架不住老百姓还是会提前还贷，从长远角度看，银行的利益始终会受影响。
1694592619# #华西医院回应男医生被女同事捅伤男医生出轨女同事，后被女同事捅伤。居然这个瓜是真的，都什么年代了，合不来就分。。古语云：色字头上一把刀！果然就是白刀子进红刀子出了。
1694831296# #我乐家居股东违规减持被罚3295万东方时尚董事长被逮捕终于对A股不法行为动手了。
1693908071# #“美国邀请任正非访美”这种小作文都编的出来。。9月5日，华为集团在今日头条平台上辟谣：网传“美国邀请任正非去美国”等信息纯属造谣，并表示欢迎大家举报相关谣言。
1690339215# #这是什么交通事故，这么严重。。。
1695277781# #黑色星期四，神奇的两点半！。A股还依旧稳中向好！。证金持股流入-38亿；。主力资金流入-165亿；。北向资金流入-33亿。。遥遥领先，遥遥领先！。活跃资本市场
1689558068# #今天A股还真大落！！！网络安全相关的上涨，其他大象肯定得跌，所以雨哥预测本周大起大落，是正确的。。今日看盘
1687941159# #什么叫抄底，老胡跟不！一天不止赚100元！
1698638413# #理想汽车现在有钱了，账上躺着700亿现金！真的？
1701488604# #女子产下双胞胎后称小儿子去向不明纯属好奇，医院假如双胎死了一个，医院都不会给家属看一眼确定婴儿夭折吗？
1686803471# #还有的叼着烟胳膊肘放车窗外，在主干道上散步
1701915848# #【雨哥解盘】昨日锂矿+锂电池板块主力净买了40亿+，今日周四A股开盘到现在一个小时两个板块净卖出不到8亿，算大盘下跌中的洗盘吧！。上证指数沪指完全放弃抵抗了。。上证50再刷新低。。半年前雨哥提醒大家放弃价投，估值投资，远离上证50板块，是非常准确的。
1687941334# #同样是可乐，英国的就特别好喝点吗？
1696126000# #专业课代表科普了
1694240638# #随手拍浙江杭州车库，刚买的劳斯莱斯撞了，这个修一下多少钱啊？。修理费可以买一堆华为Mate60和华为matex5测速
1697281516# #美国消费开始崩了吗？
1695171595# #餐厅员工发顾客打娃视频后赔1万离职以后还有谁敢做好事？
1694957588# #马斯克：台湾统一是中国国策。在美国大力支持spacex和特斯拉的前提下，马斯克能在美国说出这样正确三观的话，这说明什么？也只得我们好好思考！。。中国统一台湾后，不会利用台积电遏制某些国家。。马斯克表态台湾是中国一部分
1691536451# #【龙虎榜解析】游资抢跑！！！今日游资机构PK。。精华制药(002349)(+10.05%)/中药。。两家机构合计买入3216万,合计卖出651万。。深股通2518万买入,3024万卖出。。华鑫证券成都交子大道2468万买入。。华鑫证券上海分公司2184万买入。。华鑫证券上海宛平南路1006万买入。。医药板块反弹大涨，机构资金偏流入，多家游资
1692426996# #女子称花900买票看演唱会全程看不到人现在的主办方想钱想疯了。为了赚钱，哪管你能不能看见演唱会的主角。
1689559125# #人民网机构跑的多，游资喜欢，新华网机构喜欢，游资参与度不高。
1687133100# #本周由于临近端午假期，A股只有三个交易日，按照惯例，资金不会大举进攻。。维持现状，震荡格局，热点继续机器人、CPO（AI细分）！。今日看盘
1688250801# #读书超话恭喜欧洲女子数学奥林匹克竞赛EGMO2023的获奖队伍：全员满分的冠军中国队、亚军美国队和季军澳大利亚队。。认真看看冠亚军孩子们的脸，发现什么啦？
1690376385# #【龙虎榜解析】控股股东陈崇军解禁股完美套现！！！。。古鳌科技(300551)(-20.00%)/国产软件,数字货币。。深股通1200万买入,504万卖出。。股价高开低走，尾盘20%闪崩跌停。。。有意思的是。。该股似乎闪崩上瘾几乎每年有会闪崩。。创业板注册制2020年8月底推出。。该股2020年9月上半个月便来了一波腰斩，试试水，没有
1689140645# #【A股AI概念股机构已经出的差不多了，现在轮到散户基金割肉了吧】华西股份、中国长城跌停，光库科技跌超10%，鸿博股份跳水跌超7%，浪潮信息、工业富联、中科曙光、紫光股份等跌超5%。
1698557835# #【A股没有反转！也不会反转！！】。我们眼看着胡锡进信心满满带着10万冲进股市，为国护盘，大喊着“你敢跌我就敢买，只要我不卖，你就割不到我”。。胡锡进上周五回本6772元，还亏30514元，寥寥数语，心情难过。我们和老胡心情一样，非常沉痛！。周末信息：社保基金表态和喊话把握A股长期投资机会。。建议
1701872804# #股民读大文豪的作品，现在终于阅读理解可以得满分了。
1689128604# #哈哈今天大盘收红概率大到55%。
1689899383# #特斯拉启动降价是为了在中美确保最大份额。。在美国，相对于竞争对手仍保持压倒性优势，但中国的情况不同。虽然通过降价展开攻势，但在增长速度上落后于当地最大的EV制造商比亚迪(BYD)。
1703858982# #明年一定是个好年明年一定是个好年，一定是好年。。❥.°ʚ高考加油ɞ°.❥。愿你历尽千帆得偿所愿。🌼旗开得胜金榜题名🌼。🌟星光不负赶路人🌟。你终会闪闪发光✿˃̵͈̑ᴗ˂̵͈̑✿。自信心下妙笔生花，好状态下能力挥洒。㊗️你马到成功，考研顺利！
1697455607# #国足预测国足反着买，别墅靠大海
1700867349# #文慧心郑书意新闻人穿搭一个出镜主播，一个财经记者，
1694137598# #【华为发布Mate60pro意味着什么？】技术层面，Mate60pro麒麟芯片意味着中国基本打破了美国的芯片封锁。
1701858577# #【不怕死的资金真的好优秀】短短三个交易日，小鳄鱼累计买入1.91亿。。。高新发展（工程建设,华为,算力）。。南京证券南京大钟亭5042万买入。。东方证券上海源深路3127万买入。。中信证券北京呼家楼4296万卖出。。该股周一创历史新高后炸板回落，连续下挫。。游资小鳄鱼不服输，连续三日交易日疯狂加仓。。。周一首日
1697524481# #这种隔夜水最好别喝一句话就能总结的，被你喝过的各种水，隔夜别喝。
1689163222# #厦门中考太卷了。。厦门中考成绩公布，分数依旧拉不开，太卷了，全市前419名，有356人在岛内，太可怕了😱
1696950405# #达霏欣米诺地尔搽剂30ml脱发斑秃增发密发生发液脂溢性防脱护发液。【推荐理由】。【现价】99元。【券后价】39元。【优惠券】35元。
1701075002# #问界新M7大定突破十万辆华为不造车，只不过是汽车技术系统的码农而已！
1697469220# #华为M60结构件供应商会不会更有机会？
1702284069# #郑州女生推窗看暴雪不料窗户掉下楼。吓我一跳，还以为是人看雪掉下楼了，结果是窗户脱落，现在的媒体标题到底能不能好好写了汗
1694063937# #许多朋友说光看肉分辨不出大西洋鲑（大海三文鱼）和淡水虹鳟（新疆三文鱼）的区别，最简单了看油脂！大西洋鲑肉和油脂分隔鲜明，入口即化；。淡水虹鳟基本是红色一片，虹鳟鱼肉会暗淡无光，有油脂也是淡淡的细细的几条，肉质比较粗糙一点。。新疆海鲜图一、图二三文鱼，图三，图四虹鳟。
1700275510# #人民日报：人生漫长又短暂，记得好好爱自己。
1702946828# #早安打工人，赋诗一首《起床》不不不不不，不不不不不不不不不不，不不不不不嘻嘻
1697592560# #英伟达大跌A股GUP芯片国产替代寒武纪会迎来20CM？。美国继续限制，这是给我们芯片制造产业升级的机会；。他们越限制我们升级速度越快；。一旦芯片全产业链突破了；。我国的出口将大幅度增加。
1694407989# #花西子回应眉笔贵智商税。。0.08g79块，折合980元一克，比金子都贵了……
1689916552# #青岛男子称海上钓鱼钓到飞机太沉记下位置，已报海警处理。。这是什么飞机，水下滑翔机吗？
1694140380# #庆幸，庆幸，跟着雨哥节奏抄华为的都跑赢大盘，跑赢99%的散户。。活跃资本市场
1688433013# #对镓锗相关物项出口管制看今天欧美怎么反应就知道疼不疼！！
1693628880# #加强程序化交易监管A股交易制度做不到与美股接轨，限制A股高频量化是合情合理，但限制也只是治标不治本。。限制的作用相当于过去每天收割散户100次（数字是假设的），限制之后收割50次，只是频率和数量减少而已，本质并未改变。
1687818847# #雨哥看盘超话美股俄罗斯局势动荡引发美股原油和黄金上涨，科技股下跌。。美股三大指数集体收跌，纳指跌1.16%，$标普500sz161125$指数跌0.45%，道指跌0.04%。特斯拉跌超6%，创1月31日以来单日最大跌幅。大型科技股表现疲软，谷歌、脸书跌超3%，亚马逊、奈飞、微软跌超1%，苹果小幅下跌。能源股
1696657528# #中国女游客在泰国普吉岛五星级酒店坠亡又是泰国。。。。消失的她？
1700214077# #连上23天班后猝死不被定工伤连上23天班。。。。有必要科普一下！。工伤是指在工作过程中因工作原因受到的伤害或者患病。。根据《中华人民共和国工伤保险条例》的规定，以下情况属于工伤：。。1.在工作时间和工作场所内，因工作原因受到事故伤害的；。2.患职业病的；。3.在上下班途中，受到非本人主要责
1689461436# #搞笑超话这样的同学情？
1694394833# #国航初判CA403事件系发动机故障人没事就好。阿弥陀佛
1693378424# #$经纬纺机sz000666$中融信托大股东经纬纺机主动退市;中国觉悟最高的公司诞生了！主动退群！应该是历史上第一家，
1692859884# #核污水热搜频频，A股环保板块探底回升，正和生态触及涨停，上演地天板，中电环保20cm封板，绿茵生态、德创环保、南大环境等跟涨。
1699920539# #美国驻华大使：今年进博会美国来的展商最多现在中美的航班都开始复飞了，美国企业纷纷参加进博会，这时候非农数据也摊牌了，之前的不靠谱数据都重新修正了。
1702345186# #【天然气、煤炭板块或许有短线机会】寒潮-未来10天，受寒潮影响，我国大部地区平均气温将转为较常年偏低1～3℃，其中华北、黄淮和东北部分地区偏低4℃以上。。寒潮来袭，A股天然气，煤炭个股，选强势的个股。。今日看盘。北京下雪，洛阳下雪，济南下雪。。。。今天下雪了，期待瑞雪兆丰年！
1700014862# #刘銮雄投资恒大股票亏损超100亿投资恒大股票亏损超100亿！香港巨富刘銮雄最新表态：不怪许家印，太太让尽快卖出但我没采纳。。有钱人就是不一样。
1690336469# #活跃资本市场，是真的！！！。某金昨日一天净流入20亿，今天20分钟出了20亿是不是很活跃？
1687748110# #现在的年轻人到底在想些什么？
1689580040# #北向资金跑的好快。允悲这种A股行情，赚钱什么时候出都是对的。
1687244035# #公益救援在行动下午好呀
1693295132# #网上每天都有媚日楷模，国内的媚日人士和日本人应该紧随其后，每天吃福岛核食、喝福岛排出的核污水，以证明他们对日本的忠诚。除了核污染水日本福岛还有大量核垃圾。。日本正采取卑劣手段对中国倒打一耙日本人都不吃自己的海鲜，还好意思倒打中国一耙。
1698534030# #京东方A(sz000725)超话给时光以生命，而不是给生命以时光
1696127744# #小作文：富士康郭台铭连续几天到华为堵任老板，希望拿到一部分MATE60的代工订单。。郭台铭以前你嫌弃华为，现在让你高攀不起。。华为mate60pro
1696466101# #京东方A(sz000725)超话周三美股三大指数齐涨，美股提前止跌了。。大型科技股全线上涨，特斯拉涨约6%，创8月底以来最大单日涨幅，市值一夜涨465亿美元（约合人民币3395亿元）。。港股今日止跌企稳？
1687001432# #一颗老鼠头为何要省级调查组才能查清人家说死鸭子嘴硬。但鸭子的嘴再硬，也没有谁的嘴硬。dogedoge
1688081157# #特锐德主力资金持续流出5日允悲
1691479102# #为何突然一问？难道。。。
1696127124# #【比亚迪“替代”富士康】比亚迪立功了！“替代”富士康，接下华为所有订单。。合作的重要性这次合作对于华为和比亚迪都非常重要。对于华为来说，它提供了摆脱对富士康依赖的机会，继续自主研发和生产，从而更好地应对美国的制裁。。A股工业富联节后要跌停了？。华为
1687922736# #【京东方董事长陈炎顺：未来三年将在技术研发上投入近500亿元】在BOE（京东方）于北京举办的“全球创新伙伴大会”上，其董事长陈炎顺表示，未来三年，京东方将在技术研发上投入近500亿元，与合作伙伴一起共建100余种物联细分场景解决方案，预计带动产业规模超万亿元。
1699409080# #中文在线20cm涨停，五个交易日股价接近翻倍，高位股分歧加剧，A股市场人气股天龙股份盘中快速跳水，上演天地板走势。。震荡市，时候短平快的选手。。但是千万别乱追涨。。真人模拟恋爱互动游戏会为什么会火
