1703583509# #实在是无耻
1702858253# #股票超话【上市公司大额回购频现，业内人士：向市场传递低估值信号】临近年末，上市公司回购热情不减。以恒逸石化为代表的部分上市公司计划回购金额上限达到10亿元。近期，不少上市公司在发布回购方案后不久，就实施了回购。业内人士表示，上市公司大规模回购，向市场传递低估值信号，能够增强投资
1701676256# #12月23日，电车资源将在苏州召开“2023绿色重卡产业大会暨新能源重卡运营商大会”，大会将邀请众多行业专家、主机厂、充换电企业、零部件企业和运营商，以市场为导向，聚焦新能源重卡的未来发展，从新能源重卡产品技术的迭代、运营模式及商业模式的创新、充换电运营服务升级等角度探讨新能源重卡的发展
1699967360# #有投资者在投资者互动平台提问：你好，请问贵公司天辰齐翔己二腈突破技术后目前实现产能多少？市场传闻没有看到批量使用贵司己二腈制成的尼龙66材料，是否属实？中国化学（601117.SH）11月14日在投资者互动平台表示，截止目前，己二腈项目技术升级改造持续顺利推进中，预计年底重新开车后，逐步达到产
1698662741# #重组蛋白质类药物指应用基因重组技术，获得连接有可以翻译成目的蛋白的。基因片段的重组载体，之后将其转入可以表达目的蛋白的宿主，从而表达特定的。重组蛋白分子，用于弥补机体由于先天基因缺陷或后天疾病等造成的体内相应功。能蛋白的缺失。常用的表达体系包括大肠杆菌表达体系、酵母表达体系、哺乳动。
1702291641# #【中汽数据陈川：新能源汽车明年有望冲击40%的渗透率】12月11日，中国汽车工业协会在北京召开“2024中国汽车市场发展预测峰会”。中汽数据乘用车研究室室主任陈川表示，预计2024年汽车市场总体销量将达到2580万辆，同比增长4.4%，其中乘用车增速是3.2%，商用车增速13%。新能源汽车明年有望冲击40%的渗
1704037915# #2023年AI让我们大家都兴奋，但更焦虑。2024年相信前半年依然让大家更焦虑，也不兴奋了。好消息是2024年大家都了解了AI的属性，开始深耕耘AI了。祝大家2024每个人都抓住AI的大机会股票超话
1696643216# #转发微博
1702858808# #股票超话、俞敏洪：东方甄选将很快启动一轮大调整涉及董宇辉等主播薪资。。。近段时间，闹得沸沸扬扬的董宇辉和东方甄选的事情落下帷幕了，是董宇辉用最大的善意和真诚，对东方甄选以最大的包容和妥协结束的，很多人鸣不平，认为董宇辉过于单纯和善良，但无论如何大家都至少维持了整体上的体面！这
1698840993# #中国化学近一个月获得11份券商研报关注，平均目标价为11.21元。股票超话
1703657824# #【厄尔尼诺现象致多种商品价格上涨，可可价格创46年新高】据美国消费者新闻与商业频道CNBC报道，受厄尔尼诺现象等因素影响，橙汁、咖啡等商品价格飙升，消费者可能会在未来几个月为相关产品花费更多钱。今年以来，橙汁期货价格已飙升了80%。可可主产区西非受到暴雨和真菌病的打击，产量严重下滑。作为
1703591765# #事实上人工智能的发展与计算机的发展是并行的，因为这二个领域非常相似，但又不完全相同。
1702179778# #ROADM可重构光分插复用器。ROADM是全光网的关键技术之一。它的主要目的，是在线路“光化”的基础上，进一步实现节点“光化”（光交换）。ROADM通常都是按照业务的扩展，进行光纤逐一连接。随着时间的推移，规划可能发生变更，或者网络需要调整，就会不断地增加光纤。久...。来自闷得而蜜的讨论
1703674125# #【上海首推基金份额估值系统】12月27日，记者从上海股权托管交易中心获悉，为进一步推动国有企业基金份额转让交易，助推上海私募股权和创业投资份额转让试点工作深入推进，日前，上海股交中心推出基金份额估值系统，并已投入试运行。（上证报）
1701344960# #近日，中国化学成功发行2023年度第一期永续中期票据。本次采取动态发行模式，发行规模14亿元，发行期限3+N年，全场认购情绪火爆，认购倍数达2.82倍，实现票面利率3.2%，创下今年10月以来3+N年期永续中期票据票面利率最低，发行取得圆满成功。。。自9月以来，市场各期限中短期票据收益率呈较快上升趋势。
1703139190# #问东方通(300379)董秘好，之前您说公司携很多新产品参加了12月15日～16日的华为欧拉操作系统大会，请问是哪些新产品？。您好。公司针对客户数字化系统开发效率提升、云原生转型及智能化等具体场景，本次会上向openEuler社区捐赠了“轻舟Web管理软件开发平台”及“云翼数据缓存中间件云原生管理平台”两
1703754190# #【雷军：小米汽车生态目前全面向三方开放，苹果用户开也有很好体验】12月28日，在小米汽车技术发布会上，小米集团创始人雷军表示，小米CarIoT生态，目前全面向三方开放。苹果用户开小米汽车也有很好的体验，小米汽车支持无线Carplay，也支持ipad上车，通过ipad控制汽车的空调、音乐和座椅。股票超话
1702259347# #剑桥科技(SH603083)：CPO老龙头剑桥科技关注！
1691473590# #转发微博
1694780738# #波长光电：A股唯一已交付多套系统的EUV光刻机标的，是具有重大技术突破难度的极紫外光源系统供应商。股票超话半导体卡脖子的是光刻机，光刻机里卡脖子的是EUV，只有EUV才可以生产5nm和3nm的芯片。EUV突破难度最大的当属极紫外光源系统，这是半导体工业最璀璨的明珠，一台EUV配套的光源系统价值量保
1703903522# #如今国内人形机器人利好政策接连落地，人形机器人正在驶入快车道，特斯拉OptimusGen2预期25000万美元的售价，倒逼中国企业尽可能在不削减产品性能的前提下，努力降低人形机器的整体成本。如果能够如刘吴月所说，为人形机器人客户提供千元价位段的六维力传感器，将人形机器人成本压到10万以内，与家庭
1702600633# #证监会主席易会满12月14日主持召开党委（扩大）会议，会议强调，全力维护资本市场平稳运行，继续在增强信心、改善预期上下功夫；切实把监管“长牙带刺”落到实处积极配合有关方面防范化解房地产、地方债务等风险；加大力度支持国企改革和民营经济发展
1704004963# #一个人最核心的能力是什么呢？。。首先，预见性是一个人最核心的能力之一。预见性意味着在别人看不到的地方发现机会，在别人没有察觉到的趋势中看到变化。正如毛泽东所说：“只有当还没有出现大量的明显的东西的时候，当桅杆顶刚刚露出的时候，就能看出这是要发展成为大量的普遍的东西，并能掌握住它，这
1695884490# #转发微博
1704005013# #【中信建投2024年创新药行业展望：估值底部把握多主线机会】财联社12月31日电，中信建投发表2024年创新药行业展望：①需求端确定、政策预期稳定的情况下，预计内需温和增长；②随着中国创新药全球竞争力提升，出海有望继续成为重要主线；③仿制药集采逐步出清，创新转型持续推进。我们预计2024年行业
1694674606# #good
1702600670# #【部分跨界企业离场光伏行业面临洗牌】12月14日，InfoLink发布的数据显示，国内182mmPERC单面组件价格报0.9元—1.08元/瓦，TOPCon组件价格报0.93元—1.15元/瓦。组件价格进入持续下行通道，再创历史新低。跌破“一元线”意味着企业进入盈亏平衡线。市场压力逐渐传导到整个产业链，开工率普遍下滑。
1692284199# #中移互联网发布《5G阅信终端解析能力合作伙伴招募公告》，助力5G消息行业发展。梦网科技作为国内领先云通信服务商，不仅在企业短信领域做大做强，同时也紧跟5G网络建设脚步，布局5G消息，云通信业务涵盖众多领域。公司基于通信和终端服务领域积累的核心技术，与华为、小米、OP­PO、VI­VO达成合作，支持
1703903598# #赞赞赞
1692272134# #该股为拼多多概念股、5G消息/RCS、物联网、Ch­a­t­G­PT、直播/短视频、电子发票、边缘计算、华为HMS、华为产业链、元宇宙、云计算数据中心、超高清视频、区块链、远程办公、华为鸿蒙、流感/口罩、数字人民币概念热股。
1703574774# #【东方证券：多模态大模型进展较快，未来应用空间广阔】东方证券近日研报指出，多模态大模型进展较快，未来应用空间广阔：多模态大模型一方面有利于形成图片、视频等更加生动活泼、更具交互性的应用，从而有助于C端爆款的诞生；另一方面，多模态大模型能真正打通物理世界和数字世界的障壁，用最基础的
1696238459# #北交所，可以开始淘金了，原因：估值低而且盘子小，成长空间巨大。在整个A股市场里少有的便宜货。未来可期呀。北交所就是一座金矿，等着你去开发。
1699520281# #转发微博
1697770723# #梦网科技在布局天慧5G消息平台同时也在布局专业团队打造AI智能通信技术，赋能现有的短信，富信，5g消息以及视频云，在全场景为用户提供AI智能服务，增强买家与商户的互动与连接的效果，提升企业的商务能力。公司利用AI等前沿技术给通信产业带来的变革，与华为云正式签署盘古大模型合作协议，成为盘古大
1691745360# #good
1703754036# #【雷军回应小米汽车定价：不要喊9万9了，不可能的，14万9也不用再讲了】在小米汽车技术发布会上，小米集团创始人雷军讲解了小米首辆轿车SU7的性能。在雷军的对比中，小米汽车拥有不逊特斯拉ModelS的性能指标，0-100km/h加速、100km/h-0刹车距离、最高时速三大指标均不落后。雷军坚定地说：“所以说不
1702122312# #转发微博
1700038575# #小米汽车拿到工信部准生证：北汽代工宁德时代、比亚迪供应电池。
1703589145# #安宫的鼻祖是广誉远
1694702056# #转发微博
1703640271# #老龄化社会就要来到。十大王牌中药：市场规模预测（涉及心脑血管，糖尿病，高血压），涉及主要生产企业：同仁堂，同仁堂科技，同仁堂国药，白云山，片仔癀，上海医药，广誉远，东阿阿胶，达仁堂，寿仙谷等。。1.安宫牛黄丸-心脑血管3000亿。2.华佗再造丸-心脑血管500亿。3.牛黄清心丸-心脑血管400亿。4
1704037714# #广誉远股票超话482年无断代传承银河系唯一古法炮制工艺乃中医药活化石，四菜一汤牛逼的产品矩阵（龟龄集胶囊、定坤丹、安宫牛黄丸、牛黄清心丸、加味龟龄集酒），104个古方，产品疗效立竿见影且无副作用，产品力强大到没有朋友，叠加中国60、70、80年代4亿富有的中老年人即将步入老龄化……所有这
1700405876# #跑步是一项孤独者的运动，也是最能持久，和最值得坚持的运动。当你把跑步这件事认真对待以后，跑步，总会在你的生活里，占据一席之地！跑步
1699848337# #东方通(300379.SZ)在投资者互动平台表示，公司作为首批入驻北京昇腾人工智能计算中心的企业，将基于昇腾人工智能算力加快现有安全产品的智能化升级，增强行业模型训练效果，持续深化“技术应用模型生态”的业务模式，服务爆发式增长的行业化AI智能应用需求。股票超话
1703657896# #【IEC国际标准促进中心（南京）与华为签署战略合作协议】12月27日，IEC国际标准促进中心（南京）与华为技术有限公司（简称“华为公司”）签署战略合作协议。根据协议，双方将建立高层互访机制和常态化沟通机制，以定期举行会议等形式，共同探讨电力行业数字化转型的发展趋势、挑战和应对方法，加强双方
1703865433# #12月29日晚间，贵州股票超话茅台发布2023年度生产经营情况公告，公告显示初步核算，2023年度，公司生产茅台酒基酒约5.72万吨，系列酒基酒约4.29万吨；预计实现营业总收入约1495亿元（其中茅台酒营业收入约1258亿元，系列酒营业收入约204亿元），同比增长约17.2%；预计实现归属于上市公司股东的净利
1697329935# #稻盛和夫说过：。你靠近什么样的人，就会走什么样的路;。穷人教你节衣缩食，小人教你坑蒙拐骗。。自律的人教你如何上进，成功的人教你如何进步。。人最大的运气不是捡钱，也不是中奖，而是有人指引你成功的方向。
1704022536# #$奥来德(SH688378)$&nbsp;线性蒸发源为OL­ED蒸镀工艺中的核心技术设备。大部分专利和核心技术被国际知名厂商掌握。公司经过多年研发投入，目前能够自主生产蒸发源设备。蒸发源设备完全打破了国外的技术壁垒，实现了技术领先，解决了国内6代AM­O­L­ED产线的“卡脖子”技术问题。目前国际范围内，也只有极个别
1702302014# #【全球首部人工智能监管法规有望出台】几天前，欧盟内部就一份《人工智能法案》达成了协议，走完之后的相关立法程序后，这项法案就将正式公布，有可能成为全球第一部关于人工智能领域的全面监管法规。据了解，早在2021年4月，欧盟就针对这份法案提出了谈判授权草案。在今年人工智能大模型引发广泛关注
1702388112# #【林园：“求人加仓”是误读不再关注白酒唯一看好这个行业】“一辈子没求过人，今天求大家加仓。”近日，一张网传朋友圈截图将百亿私募机构林园投资董事长林园送上舆论风口。对此，林园回应称，自己没有发过朋友圈，“求人加仓”是误读，“我只是表明了对后市坚定看好的态度，加仓建议也只针对林园投
1696606390# #转发微博
1694668358# #怎知对方有人格障碍？作揖
1695912868# #健康知识丨血脂高的5个信号，千万别掉以轻心
1694668276# #转发微博
1702309316# #【波罗的海干散货运价指数终结四连跌】波罗的海干散货运价指数周一上涨，因海岬型船运价指数结束连续四个交易日下跌。波罗的海干散货运价指数上涨26点，或1.1%，至2509点。海岬型船运价指数上涨139点，或3.3%，至4398点。海岬型船日均获利上涨1155美元，至36475美元。巴拿马型船运价指数下跌55点或2.6%
1698389009# #转发微博
1702264609# #国防与航空航天行业2024年投资策略：长风破浪会有时。中信证券股份有限公司研究员：付宸硕/陈卓/刘意日期：2023-12-10。2023年以来受订单波动影响，行业整体基本面走弱并表现欠佳。但是军工行业具有强计划性，我国现代化武器装备建设仍将有序推进，短期订单波动不改行业长期景气度。展望2024年，预计
1696902283# #20年前70万如能买一套房子，现在的70万只能买一个卫生间。
1704121142# #股票超话英国《金融时报》对2024年的10大预测：。1.美国和欧盟将继续向乌克兰提供财政支持。。2.唐纳德·特朗普将不会再次担任美国总统。。3.以色列和哈马斯之间的军事冲突不会引发全面的地区危机。。4.2024年将超过2023年，成为有记录以来最热的一年。。5.公司𝕏(Twitter)将面临破产。。6.乌尔
1702290016# #软件定义汽车是汽车发展趋势，各方都在努力寻求这方面的技术突破。但对于汽车来说，不管是传统的汽车企业还是造车新势力，都难以忽视百年汽车产业所必须具备的基本能力，例如主动/被动安全技术、耐久性、舒适性、可靠性等性能指标。
1703670984# #转发微博
1702600732# #【今年以来47家公司退市，“出清”机制彰显威力】退市名单不断拉长，资本市场“出口”更加畅通。截至12月14日，2023年以来内地资本市场已有47家公司完成退市，其中44家强制退市，1家主动退市，2家重组退市。潜在退市公司还在继续增多，*ST柏龙、*ST华仪、*ST泛海等公司近期接连发布公告，披露退市风险
1697770711# #梦网科技利用AI等前沿技术给通信产业带来的变革，与华为云正式签署盘古大模型合作协议，成为盘古大模型生态合作伙伴，双方将面向AIGC领域展开深度合作。
1701270851# #芒格的深邃洞察和智慧永恒:。。1、不要同一头猪摔跤，因为这样你会把全身弄脏，而对方却乐此不疲。。。2、许多IQ很高的人却是糟糕的投资者，原因是他们的品性缺陷。。。3、找出你最擅长的事情，然后持之以恒，乐此不疲地去把它做。。。4、只要做好准备，在人生中抓住几个机会。迅速地采取适当的行动，去做简单
1704022752# #机器人上游零部件企业同样在加速研发布局，力争在供应链中率先占位。股票超话拓普集团（601689.SH）披露，已新增机器人运动执行器作为第9大产品线，直线和旋转执行器产品多次向客户送样，获得客户好评；三花智控（002050.SZ）披露，已对机器人机电执行器方面展开持续研究和产品开发工作，已与客户
1695477163# #十八道金牌在前，两大工作组在后，三大关键因子护航加持——到底A股牛市还来不来？？。这两个工作组的消息，其实是天大的动作，也是昨天北向突然净流入过百亿的根本原因。这里忍不住要吐槽一下，为何重大利好又是北向先知，又是某些机构先知？。【插一句，历史上，要...。来自封起的封神榜的讨论
1694668257# #转发微博
1700878337# #金融界2023年11月25日消息，据国家知识产权局公告，北京东方通科技股份有限公司取得一项名为“一种软件开发过程中一站式安全测试和管理的方法及系统“，授权公告号CN116150737B，申请日期为2022年11月。。。专利摘要显示，本发明提供一种软件开发过程中一站式安全测试和管理的方法及系统，其中，方法包括
1695127496# #转发微博
1702348836# #林园最新提法：2057年、5亿老人吃药。医药工业我们就投慢性病，像心脏病、高血压、糖尿病这些心脑血管疾病的药企。从2013年、2015年开始，这些行业都有30%以上的增长。所以我们现在定的目标就是养老，就这三大病。就像我们在零几年选择消费升级的赛道，九十年代选择家电赛道一样。今天我们锁定养老行业
1702291567# #【印度SENSEX30指数收盘涨0.15%续创历史新高】印度SENSEX30指数收盘涨0.15%报69928.53点，续创历史新高，成分股多数上涨。
1704185960# #【2023年我国重卡市场累计销售91万辆，比上年净增长23.7万辆】2023年12月，我国重卡市场销售约5万辆左右（开票口径，包含出口和新能源），环比11月下降30%，比上年同期的5.4万辆小幅下降7%。2023年全年，我国重卡市场累计销售91万辆，比上年净增长23.7万辆。关于2024年的市场走势，多家重卡及发动机企
1701762357# #转发微博
1695392154# #转发微博
1701919050# #【科技部：将研究形成时速600公里高速磁浮试验线方案】科技部在官网发布《对十四届全国人大一次会议第2199号建议的答复》。科技部表示，将依托“十四五”国家重点研发计划积极支持磁悬浮动力技术基础研究。如在“交通载运装备与智能交通技术”重点专项，继续支持高速磁浮交通系统工程化技术与运营系统
1702417949# #转发微博
1696605482# #转发微博
1703658227# #转发微博
1702132177# #转发微博
1703900357# #人形机器人从1939年第一台电机械控制的Elektro开始至今已接近90年时间，从技术变化的角度将其划分成三个阶段：电机械阶段，实验室智能阶段和应用推广阶段。股票超话
1699520259# #转发微博
1696604026# #转发微博
1703045876# #转发微博
1704023562# #2024年是新中国成立75周年。我们要坚定不移推进中国式现代化，完整、准确、全面贯彻新发展理念，加快构建新发展格局，推动高质量发展，统筹好发展和安全。要坚持稳中求进、以进促稳、先立后破，巩固和增强经济回升向好态势，实现经济行稳致远。要全面深化改革开放，进一步提振发展信心，增强经济活力，
1703591585# #什么是人工智能？《韦氏词典》将其实定义为“一种计算机系统的理论和扩展，能够执行需要人类智力才能完成的任务，如视觉感知、语音识别、制定决策和语言之间的转换”
1696123198# #锂电池回收有了绿色高效新技术股票超话
1702373577# #转发微博
1701315823# #转发微博
1700012262# #转发微博
1703664235# #【周鸿祎：相信鸿蒙会成为中国最大的操作系统】12月27日，360集团创始人、董事长周鸿祎在微博宣布，360浏览器等应用完成了鸿蒙原生核心版本的开发，未来还会把全线产品转移到鸿蒙生态里。“我在直播里很多次旗帜鲜明地表态，任何情况下都会支持华为，不能只停留在口号。”周鸿祎表示，“我相信鸿蒙会成
1702348932# #现在整个中药市场，最低估的就是广誉远的安宫牛黄丸。
1703865490# #【2023年我国服务机器人市场规模或超600亿元国产服务机器人加速出海】财联社12月29日电，随着新兴应用场景的拓展，服务机器人市场需求日益旺盛，产量大幅增长。有报告显示，2023年中国服务机器人产量将达到706万套，市场规模达660亿元。随着国内市场竞争日益激烈，让不少服务机器人企业开始另寻出路，
1701736686# #雷军的牛逼人生。1、18岁高考，满分710，他考了700分，两年学完武大计算机专业，拿走所有奖学金。。2、是计算机系里20年来拿过《汇编语言程序设计》满分成绩的仅有两个学生之一。。3、他编的程序被老师写进了教材，供师弟师妹们膜拜瞻仰。。4、被湖北省公安厅请去讲解反病毒技术。。5、大三编程身家百万，财
1697813112# #转发微博
1699147928# #不全对
1703900423# #根据机器人设计类型主要可分为4类，分别是：股票超话。。腿足式：以波士顿动力的Atalas为代表，强调机器人的腿部运动能力，手部基本只用作平衡。。。移动式：以帕西尼感知的机器人多拉(Tora)为代表，主要采用轮式驱动+协作机人手臂+灵巧手方案，强调触觉传感器+灵巧手的操作功能，同时兼备移动能力。
1701342794# #我分享了话题周鸿祎称美国正开动下一场工业革命
1702362615# #【中国咖啡店数量超过美国，成全球第一】根据AllegraGroup旗下研究机构WorldCoffeePortal周二发布的一份报告，过去一年增长58%后，中国成为全球拥有品牌咖啡店最多的国家，超过了美国；中国目前有近50000家咖啡店。以外卖为主的连锁品牌瑞幸咖啡和库迪咖啡合计净增逾11000家新店，是推动这一增长的
1691775645# #转发微博
1694484177# #转发微博
1700010703# #人形机器人“0-1”拐点的历史机遇！“性能提升+成本下降”是人形机器人发展的核心。随着AI技术发展，传感技术升级，人形机器人有望成为“具身智能”的理想载体；随着特斯拉不断发挥产业链优势，核心部件国产替代加速，机器人成本有望大幅下降，马斯克预计特斯拉Optimus售价有望低于2万美元/台。人形机
1691745504# #转发微博
1696643225# #转发微博
1696716940# #转发微博
1695784088# #转发微博
1702784812# #2023年，全球新能源汽车销量将突破1500万辆；预计2024年，全球新能源汽车销量有望突破1800万辆，全球汽车电动化渗透率将接近20%。
1703300993# #12月19日，菜鸟集团与贵州茅台酒厂(集团)物流有限责任公司（简称“茅台物流”）战略合作签约仪式在菜鸟集团总部举行。双方将进一步深化旗下品牌在国内、国际，线上、线下全渠道供应链业务方面合作，共同探索供应链运营创新模式，整合双方资源并持续优化解决方案，推动成本精益化管理和效率提升。此外，
1702873214# #人形机器人产业产业链：。伺服系统——汇川技术、埃斯顿、步科股份、禾川科技等。。谐波减速器——绿的谐波、大族激光等。。RV减速器——双环传动、中大力德、秦川机床等。。控制系统——埃斯顿、华中数控、新时达、汇川技术、英威腾等。。空心杯电机——江苏雷利、鸣志电器、大洋电机、卧龙电气等。。AI机器
1694734765# #转发微博
1702122210# #转发微博
1695783903# #股市让位楼市的15年，下个15年该归来了吧允悲
1698732694# #签约19项总投资超1500亿元中国化学产业链加速融合。中证网讯（记者刘丽靓）在10月30日中国化学工程集团（简称&amp;ldquo;中国化学&amp;rdquo;）举行的产业链融合发展推进会上，中国化学与多个地方政府、国家重点高校、国内外相关企业等签署了合作框架协议和项目合约，为企业高质量发展注入更强劲的动力、提供
1702858443# #股票超话【董宇辉成为东方甄选高级合伙人】财联社12月18日电，东方甄选微博账号12月18日凌晨发布直播预告称，俞敏洪和董宇辉将于18日晚8点进行直播。海报内容显示，董宇辉已成为“东方甄选高级合伙人”。
1702295147# #【深圳二手房周交易量继续超千套，在售量增幅减缓】11日，深圳市房地产中介协会发布2023年第49周周报（12月4日-12月10日），深圳二手房周交易量继续超千套，在售量增幅减缓。经深房中协统计，第49周深圳全市二手房(含自助)录得1091套，环比下降2.2%，二手房录得量小幅回落。深房中协指出，虽录得量有小
1703572452# #【雷军：打造“移动智能空间”这就是小米造车的出发点】首先是我们的工程团队取得的一系列的技术突破。接着，我想聊聊这背后的思考。汽车已经发展了130多年，一直是“工业之王”，也一直是每个时代“时代精神”最典型的代表。汽车的前一百年，作为出行载具，保时捷就是其中典范；新世纪以来，特斯拉率
1702874426# #地球人内斗成瘾，对星球内部不同民族国家之间的斗争乐此不彼。
1700877666# #【东方通：基于昇腾AI算力基座加速AI大模型生态建设】据东方通消息，东方通以中间件、网络信息安全等产品技术能力，结合数字化转型实践经验，紧跟AI发展趋势，已在AI内容监测等领域，形成了AI技术+行业模型+智能化应用的综合能力。近期，东方通成为首批入驻北京昇腾人工智能计算中心的企业，基于昇腾
1701387723# #转发微博
1692511552# #转发微博
1704178534# #优必选上市、挖机开工小时回暖；推荐人形机器人、出口产业链等。浙商证券股份有限公司研究员：邱世梁/王华君/张杨/李思扬/何家恺/张菁日期：2024-01-02　　投资要点：核心组合调入：中际联合、广钢气体。　　三一重工、恒立液压、徐工机械、汇川技术、杭氧股份、中国船舶、中联重科、晶盛机电、北
1702893560# #人形机器人灵巧手——空心杯电机。空心杯电机是一种微型伺服直流电机，由定子和转子两大核心部分组成，通常来讲尺寸一般较小通常不超过40mm。在结构上突破了传统直流电机的结构形式，采用的是无铁芯转子，其电枢绕组为空心杯线圈，形状类似水杯，因此被称为“空心杯电机”。空心杯电机被誉为电机领域“
1702858949# #周末东方甄选的消息讨论的比较热烈，大家都在说网红IP的价值，留意一下这个方向。股票超话
1702122183# #转发微博
1697957407# #相比锂电池，目前钠离子电池在低温性能、安全性、充电速度以及成本等四个方面优势明显，但能量密度和循环寿命明显不如锂电池。从产品属性的终局来说，钠离子电池比锂电池更有机会，因为其没有致命的缺点。股票超话
1703929927# #金融界2023年12月30日消息，据国家知识产权局公告，重庆长安汽车股份有限公司申请一项名为“一种数字人的人脸生成方法及装置“，公开号CN117315156A，申请日期为2023年10月。。。专利摘要显示，本发明涉及一种数字人的人脸生成方法及装置，包括：获取目标视频，并根据所述目标视频得到人脸关键点序列；获
1702295110# #【中粮家佳康：11月生猪出栏量42100头】中粮家佳康在港交所公告，11月生猪出栏量42100头，商品猪销售均价人民币14.12元/公斤，生鲜猪肉销量19500吨。
1702179908# #最大的灰犀牛是房地产，。这个灰犀牛要命，问题出在哪，。大家都知道，。但是应对解决非常不容易，十年时间够吗？。1，房价太贵。有需求即使是刚性需求也买不起，即使是投资投机资金也不敢炒了。。2，下跌趋势已经形成。买涨不买跌，...。来自HIS1963(雪球2018年度十大内容贡献奖得主)的讨论
1702121679# #只有华为才有点希望。
1700463726# #中药行业前十，有7个百年老店。分别是白云山，云南白药，同仁堂，片仔癀，太极集团，以岭药业，昆药。11到20，有2个百年老店。达仁堂，东阿阿胶。两个超过50年。6个都是1995-1997年成立的。21到30，有3个百年老店。九芝堂。马应龙。健民集团。可见。中药行业，年龄越长，历史越长，越有可能做成头部
