1562483710# #《山楂树之恋》，很泪崩的一部电影！其它的影片没有在意。
1607561761# #孩子王应该很忙！
1551616622# #转发微博
1581016332# #大长腿！漂亮鲜花哈哈
1570185710# #宜居养人的好地方。感觉这地界在浙江沿海地区。
1632472692# #《1969年朝鲜不经警告，直接击落美国预警机，美国为何选择忍气吞声》此视频已有21万次播放，快来一起看看！
1574599364# #分享图片
1566266450# #怎么可能问呢？连借的三万块钱也不要了。我想他一定有难以言表的隐情，否则也不会卖。可惜了那些线装本的古籍，主要是那些书值钱，是我父亲留给我的遗物。
1550858076# #转发微博
1569996064# #大陆给了蔡英文不少枪，反过来蔡又拿过来打韩抗中，这是件不可思议的事。跟新浪看热点
1551317494# #一分价格一分货，烟孬烟好上嘴差不多能识别，所以说不存在好烟孬烟一个价。吸烟有碍健康，但比起烟草对国家的财政贡献来说，有碍健康又算得了什么？软盒烟一般优于硬盒烟，价格起着心理作用，同时跟劳力者与脑力者的吸烟状况相关。传统意义上的男人一般没有不良嗜好，吸烟品茗小酌构成了生活中的情趣。
1571069172# #转过来慢慢欣赏，这首漏转了。
1555356731# #这样子的女生还是先娶回家再说，免得祸害到你爹地！哈哈
1569473893# #太棒了，我在熊猫守护者认领了一块保护地，将在四川省平武县金丰村帮助守护一平米的野生滚滚栖息地，你也快来加入吧！
1566880888# #延迟更漂亮！
1561635757# #这位小品演员前途不可估量，超过目前德云社的任何一位演员，包括姓郭的叫郭德纲的演员。
1548181050# #转发微博
1576333790# #2-0神军安菲尔德再创佳绩！
1562461160# #太棒了，我在熊猫守护者养成了一棵新竹子！竹子将种在陕西秦岭地区，保护国宝“滚滚”的家，你也快来加入吧！
1579287467# #排名不是哪个机构说得算，所谓的专家都有自己的心证。比较成绩克洛普排第一没有争议，世界第一联赛的英超，21战20胜1平，别忘了这是英超，不是西甲德甲意甲法甲。
1549507279# #除了乔丹，别人只能争二。
1569686608# #《小沈龙这段是整期节目中最精彩的一段，被淘汰太可惜了！》我和6.7万人都在看，快来一起围观
1573488147# #凤凰新闻分享凤凰新闻：对台军售闯大祸，刚刚，中国打出一记重拳，对美国发起凌厉反击-长江号外来自
1556133725# #惊天地泣鬼神的一记凌空抽射，武球王绝对不是浪得虚名！西班牙人1-0领先！
1573077724# #桑德兰倒戈属于墙倒众人推，一帮只有政治，没有人性的民主政客。
1572583024# #转发微博
1563337898# #物体具有保持原有运动状态的性质。
1551899011# #『我的昨日数据报告』
1569955543# #打拍子？哈哈
1558527732# #又联想到了北京国安。四个人预约好打洲际麻将，怎么变成了三缺一？据悉北京中赫国安被拘留了，现在连当相公的机会都没了。真它妈缺德，山东上港恒大只能干瞪眼。好吧，明年换个人不带国安玩。
1563202593# #觉得这样的孩子好吗？千万别说穷人的孩子早当家。
1549407209# #《大叔在田里挖黄鳝，抓了一条又一条，不料在3分35秒时意外发生了》好看视频-分享美好，看见世界
1570113463# #《独特的捕鱼系统，男子用PVC管和其他材料做陷阱，捕到很多鱼！》我和303人都在看，快来一起围观
1609473500# #
1564802065# #文斯-卡特应该挂靴了吧！
1564387116# #这个窟窿不小。。【中信明明债券研究团队统计，至今镇江发债城投平台...】（来自
1561765723# #窝囊废伪男，什么都不懂，这样的男人有权力结婚吗？一脚踹了了事。
1547383951# #我分享了【蔡振华现状：落寞被国人遗忘，其推里皮、刘国梁却已上神坛】,快来看吧！|
1566955800# #转发微博
1555014944# #转发微博
1586433215# #没野心，也不敢有野心，平平淡淡就不会发生那些苦难了。
1567645504# #日子就是度岁月，岁月同样过日子。文人墨客人把日子和岁月细化着过，有时甚至量化着过。咱就像小和尚，过一天撞两个半天的钟，当然也可以晨钟暮鼓，因循着清规戒律。离题了，再说就把小和尚说下山了。
1573321403# #《结婚24年，丈夫突然提离婚，妻子慌了，真相揭开，让人哭笑不得》我和30万人都在看，快来一起围观
1550764066# #哪位何老师啊？
1553538462# #小编说的什么不懂，不知是我无知还是小编中学没毕业。跟新浪看热点
1578098669# #《灵异事件听书竟然可以戒烟1》我和7842人都在看，快来一起围观
1557151939# #一顿饭分三次打。
1588639722# #《“美国的空气真是香甜”，人已经辗转韩国，美国却并没有收留她》此视频已有7.3万次播放，快来一起看看！
1564623622# #我想过爱情是什么，一百人会有一百个哈姆雷特。爱情就是搭伙过日子，不能老是我一个人想着居家过日子，有空也来搭把手。把那堆积攒了半个多月的衣服洗了，洗衣机坏了，得用手洗，我去歇会儿。
1585067430# #特朗普有个很不好的习惯，放屁前先塞根长吸管，放了就吸。所以说，特朗普放什么屁不重要，只要符合自己的口味。如此缺失人性基本价值的特朗普都能当美国总统，可想而知美利坚合众国是个什么东西？跟新浪看热点
1559684999# #转发微博
1581556763# #凤凰新闻分享凤凰新闻：美国好气呀，刚喊话4年内不得造岛，隔天中国就测试造岛神器-深扒财经圈来自
1549818215# #“垃圾进口国”，这名字太污了，而且被别国看不起。中国禁止进口洋垃圾已经成为现实，可是我们的同胞全然不买账，台湾已经接过大陆“垃圾进口国”的招牌，全盘接收洋垃圾。跟新浪看热点
1582254408# #朱保华同志，不知道你对待上级领导干部的时候还敢这种态度吗？如果有，升3级，如果不敢，降3级！哪儿来回哪儿去。建议撤销行政职务！跟新浪看热点
1585198716# #他怎么不想想孟晚州？这样没有傲骨的人只能干家务活。听听他父亲对他的评价吧，前总理的评价吧：一个没有政治智慧的、特朗普的应声虫。
1580240349# #《为面子买了一条软中华，180元，这种烟第一次见到，你们见过吗？》此视频已有5.8万次播放，快来一起看看！
1547466032# #作为台湾地区领导人，蔡英文确实缺乏领导人的基本作为。说它能力差也不尽然，而是很差。不久的将来，宇昌案会重新提上议事日程，包括蔡家财产的合法性都必须重新评估，加上它完全具备的分裂国家罪，可以肯定，蔡英文肯定把牢底坐穿。
1581129976# #其实主持人明显能感觉到嘉宾会出乖露丑，这玩笑似大是小不重要，只可意会不可言传的阀门被捅开了，笑声排山倒海之汹涌澎湃。
1554656511# #PP体育2018/2019足总杯半决赛全场录播：沃特福德VS狼队（刘嘉成刘焕）
1583037459# #美国根本玩不过塔利班，在阿富汗投下的冤枉钱超过1.2万亿美元，死人将近一万，得到了什么？塔利班放的屁！老大不是人人好做的，尤其是世界老大。美国人的傲慢与偏见让自己走进了一条死胡洞，想回头转不了身，想冲出去，根本没有出路。说实话，美国是个没有文化底蕴的国家，他们不知道自己需要什么，也
1599526655# #人生哪儿像换频道那么容易！况且有时候两三个频道的节目都精彩（譬如夜半时刻的欧冠），感觉就像漫山翠竹樵夫难以下手！老师您说是吗？其实我的观点未必尽然，樵夫要的是干柴炊事，翠竹还是留在漫山遍野有趣。我又在说教了，其实每个人对幸福诉求的指数高低不一，我需要的是温饱，仅此而已，早安鲜花
1549172181# #经常回来浇水！
1555338666# #快来森林驿站，招待滚滚的小伙伴！和熊猫守护者一起刷微博，攒能量，收获爱心，守护更多野生动物吧！.『森林驿站』
1569592662# #又是假新闻，新浪的假消息是最多的。
1605603268# #《马未都：我爹一路打进上海，刚见到我妈，两人就爱上了》此视频已有8.1万次播放
1547812305# #我在熊猫去旅行活动中连续签到9天，获得了1张国际熊猫日珍藏手信，戳链接加入熊猫守护者变身熊猫守护神，一起助力公益。
1548092103# #是的！聪明人早就想到了。在市郊买三、四亩七通一平的土地，最好东西两厢有条小河，便于垂钓。三百平米建筑三层住宅，其余空地可以种菜养鸡养鸭搞富业。车库设在正门一端，花坛正对大门。朋友来了农家乐，差不多就六、七百万。六、七百万在市区只能买一套百平方的商品房。
1556351292# #长出灵感哦！
1550861261# #转发微博
1573016945# #我在看：【1岁女童遭金毛飞扑抓伤,犬主态度蛮横:可以医到你女儿死为止】跟新浪看热点
1555856746# #我军强大，卡迪夫到此一游！
1551806400# #再多也没用，首先必须要保证美国的武器装备使用。这是美国一位女国防部副部长前两天公布的消息。
1562252220# #出道铁锤帮的神灯，2001转会切尔西，在斯坦福效力了十多年。兰帕德，斯坦福桥上空的一盏神灯！
1594868264# #忙的人不得闲，闲的人不得忙，这是个能力问题，能者多劳。我想猫在后排听老师讲课，讲什么不要紧，只为寻找儿时的梦。记得我第一任小学班主任老师，那是位笑容可掬且年轻漂亮的大姐姐。时过境迁，二年级后就没见过她，有时候也会想象她的背影，如今她在哪儿？由此触景生情，对您说一声，老师辛苦了！
1559158551# #相思相望不相负，一生一世一双人。原话是“相思相望不相亲！”
1571583800# #分享视频华语音乐库《刘若英周迅桂纶镁汤唯四位女神同台演唱《我要你好好的》！》
1554741140# #季后赛期待苏群老师的评述。
1576861656# #听听而已，走走看看。跟新浪看热点
1550348065# #四位小活宝太可爱！难为这位父亲忙得井井有条、快而不乱。
1549302410# #找到美国死穴后俄罗斯这套“组合拳”已备好(分享自
1556900106# #【白卫生纸和黄卫生纸到底哪个好？给你一次说明白】（来自
1566252283# #我在看：【日韩争端关键时刻，文在寅这一举措，让韩国民众心里哇凉哇凉的】跟新浪看热点
1552241573# #转发微博
1563684878# #《社评：民进党若在这个维度上走到尽头，大陆是可以一巴掌把拍碎的》社评：民进党若在这个维度上走到尽头，大陆是可以一巴掌把拍碎的
1566934657# #这男的四肢只用了两肢，因为腿短，抬不起来，所以才处下风。哈哈哈哈哈哈
1554800862# #懂球帝家里没的换啊汪汪哭汪汪哭-Pacos更多精彩内容，尽在懂球帝
1574006779# #《上海政务-人事任免-最新消息》有事搜一搜，没事看一看
1581521957# #梅花五角本人存有两百多枚，不值什么钱。每枚一万五简直是放屁，胡说八道，一枚一百块钱也不值。跟新浪看热点
1578496118# #想要睡觉的时候就要睡，不想睡觉，哪怕深更半夜我也不会睡。做一位闲散的人，不是争取，而是自然。。不做装睡的人，也不用叫醒试图装睡的人。每个人的行为意识不尽相同，你可以适应自己的意识形态。所以你愿意装什么不重要，虽然有人在乎，我想更多的人不会在乎。
1561985945# #《厉害了我的国》！建议爱国者们多看看这档24小时滚动播出的电视节目！而且无广告。
1562953585# #《37岁“神偷”2小时偷窃36家，台上展示技能，嘉宾：这也太可怕了》我和31万人都在看，快来一起围观
1557247065# #上回说施密特这张电冰箱面孔阴气腾腾，一脸衰败相。而好高骛远的国安球员并不讨喜，中赫国安首先在亚冠联赛中被淘汰，而中超联赛最终也没有中赫国安的事，这就是中赫国安的命。据国安命格显现，国安中超夺冠的前提是启动本土教练，因为他们是皇城根下的血脉，只有用本土教练，中赫国安才能中超夺冠。
1567881751# #艺术是一种表现形式，它很抽象，也很现实。艺术为人的意志服务，你的诉求是什么，它就能反映什么。
1574923407# #笑得太浪费，该省的就省一点。
1584723324# #【冯善智观察】从1月份到现在，我国花费了几个月的时间，在各方的努力下，疫情得到了有效的控制，一切都在往好不是中国！加拿大专家突然爆料：美国生物实验室是唯一可能来源
1553869227# #【2400万上海人面对的现实，只有真正的上海人才懂！】（来自
1581876506# #成立工会我怎么不知道？对我忽略不计！
1550735603# #长得丑不一定都是你的错，跑出来吓人就是你的臭不要脸垃！
1565902537# #我就不说了！跟新浪看热点
1567213541# #早上安好！
1554839375# #转发微博
1560454675# #转发微博
1559530112# #上篮勇士擒猛龙总分扳成1-1，库里23分克莱伤退，小卡空砍34分勇士擒猛龙总分扳成1-1，库里23分克莱伤退，小卡空砍34分
1550520751# #别在意，人贵有大气，乘风破浪会有时！
1573574049# #现在大陆最忌恨的台湾政坛人物非宋楚瑜莫属，亲民党被人称为“一人党”，已经被边缘化，而宋楚瑜单凭一人之力重振亲民党的历史定位几乎不可能。但是参与竞选大概能获得4000万新台币的政党津贴，如果获取5％的选票大概还能获取2~3个不分区立委名额，结果对韩国瑜的选票不利，相对暗中挹注蔡英文的选情。
1552423718# #黄鳝，太大了不好吃也不值钱。
1567572782# #海滨之城。三亚，这座狭长的城市坐落在绵延数百公里的海岸线上。这里四季如夏，海景迷人，有着“东方夏威夷”的美称。
1549672031# #打卡！浇水去。
1567595804# #《中华人民共和国香港特别行政区基本法百度百科》中华人民共和国香港特别行政区基本法是香港特别行政区的宪制性文件，由全国人民代表大会根据《中华人民共和国宪法》制定通过，《基本法》规定香港特别行政区实行的制度，确...
1547883733# #左支右绌，自己玩自己。权力斗争是民主价值的考卷，谁赢谁就具备考卷的最终答案。此时此刻我们就能厘清政治民主的核心价值和稳定与坚持的必要性，一党专政适应汉文化的社会发展，我们不适应民主政治，至少是目前不适应。
1554991226# #跟我走吧，明天就出发。别带现金，怀揣金卡。
1592986483# #挺和谐！
1581557000# #凤凰新闻分享凤凰新闻：被问解放军军机绕台蔡英文表情亮了-每日精彩视频来自
1553961697# #晚上好！接着凌晨好、黎明好、新一天更好！
1580477247# #造谣拘留5天小菜一碟，应该要罚款，罚得他倾家荡产才有意义。这种小孬孬对社会具备危害性，而且根本没有家教。一个没有文化、没有思想、没有灵魂的孬孬，今天造谣，明天抢劫，后天杀人都有可能发生。建议恢复劳教，对这种孬孬实施强权镇压。跟新浪看热点
1597627243# #长不大的青春期！
1567109160# #落霞夕阳。遥夜微茫凝月影，浑身清浅剩梅魂。溶溶院落共黄昏。——陈寅恪《柳如是别传》
1589170032# #一生必去的粉色沙滩：为什么沙子是粉色的？海底大量的红色珊瑚被海水冲碎后变成细小的粉末，与岸上细白的沙子融为一体后，便形成了这浪漫的粉红色沙滩。而这样的奇景在地球上可不止一处哦！
1550858141# #转发微博
1547887262# #转发微博
1549978619# #为什么故宫叫紫禁城？谢谢！
1580984913# #凤凰新闻分享凤凰新闻：胡锡进：疫情汹涌但决定性的改变正在发生积累我们终将胜利来自
1553068934# #这样的成绩如果延续的话，季后赛可能碰快船或马刺。
1576597278# #我在看：【蔡英文当局频频造假民众苦不堪言韩国瑜现场怒吼：民进党下台！】跟新浪看热点
1581108473# #可以想象，基层小警察在平时执法过程中肯定会选择性对待。如果对方真是中纪委的结果会怎样？幸好遇见的是李鬼，而且是酒后的李鬼。我也不想猜测其中发生的多种可能，是吧？少说为好，基层警察平时办案也不容易，弄不好前程就丢了。
1568005317# #太棒了，我在熊猫守护者认领了一块保护地，将在四川省都江堰市龙溪虹口帮助守护一平米的小种群野生滚滚栖息地，你也快来加入吧！
1585231137# #【牛弹琴】表面看，当前欧洲疫情最危急的国家，一是意大利，二是西班牙。西班牙的新冠肺炎死亡人数，也已经这个西方大国的大麻烦要来了，可能一半人口已被感染！
1594881843# #说什么不说什么都不重要了。跟新浪看热点
1606317788# #《论民事保全程序定暂时状态假处分制度》我在百度文库发现精彩内容，推荐给你
1562940320# #《哪个天才发明的这种捕鼠器，对付老鼠简直太实用了！》哪个天才发明的这种捕鼠器，对付老鼠简直太实用了！
1636614959# #确实如此，虽然我不会打麻将，但看别人夜以继日地用心投入，可想而知麻将精神可以大力推广之。
1581913657# #老弗爷积攒起来的那些家业差不多都被后继者败光了，索尔斯科亚现在还用曼联的无形资产为自己的无能挹注，这会让曼联死得更快。
1564800913# #独行侠，不就是原来的达拉斯小牛麽？西南德州三强之一，另外两强是休斯顿火和圣安东尼尔马刺。有些队没了，有些队易主易名，有些队是意译或音译的区别。遛马与步行者，超音速与雷霆，子弹与巫师，热浪与热火，快船与快艇。。。小case啦，说明我对nba知道个皮毛。
1554048675# #懂球帝不省心，今晚2场中超比赛产生3张红牌中超第3轮比赛全部结束，在今晚结束的2场比赛中，总共产生了3场红牌。在江苏2-1武汉的比赛中，为武汉打入1球的拉斐尔-席...
1572457626# #我忽然联想到当下爆红的电影《少年的你》，谁去保护地球(未来)？我将怎样保护你？这些话题太凝重了，我们的监护人瞎了哑了还是聋了？霸凌现象天天有爆，少年犯罪不入犯或轻入法。对少年犯，人大出台新的司法解释(监护人与少年犯罪同等承担犯罪成本和社会成本)。
1571484222# #一个人成为过街老鼠也真的不容易，既要防备人人喊打，又要为自己的衣食所需惨淡谋生。今生作孽来世必还！到下面还的话那肯定要倍受煎熬。何苦呢骗子！
1571676578# #凤凰新闻分享凤凰新闻：三位商业大佬唱歌，越有钱唱的越好听，真是又有钱又有才-音乐无厘头来自
1552979650# #我分享了【日军霸占中国女俘后,用刑毫无人性,光听就让人愤怒】,快来看吧！|
1573304302# #城市再好只是座城市，人挤人挤死人有什么好的？跟新浪看热点
1560205128# #『我的昨日数据报告』
1596075359# #闭上眼睛，可以想象这份清凉，尤其是在酷热的炎夏。刚去楼下取邮件，见不远处停了几辆搬场车，心里颇觉悲凉。同样是凉，一份清凉一个悲凉，感觉世态有许多悲欢离合不会因为冷暖而改变。所以我们应该过好属于自己的每一天，珍惜每一位值得珍惜的朋友。世事无常，虽然我们不能决定结果，但可以完善过程。
1563937971# #几个人的活让他一个人干了赞
1577754418# #《台积电断供华为？官方突然表态，任正非怒赞美国！》特朗普宣布：美国可能会将“源于美国技术”占比25%下调至10%。
1547302936# #我自己下厨房弄了碗长寿面为您庆生，您用“谢谢”二字表示笑容未免也太苍白了吧！哈哈赞给力🙏握手作揖微风心鲜花
1572753444# #我看看我在哪儿？哦！我坐在电视机前。
1554196777# #一个个都挂了！
1553741021# #搜狐新闻:【山东发现晋代古墓，5岁小新娘手戴11枚金指环，枯坐棺中千年】
1598651698# #《美女一出场全场尖叫，陈琨：你看你一来大家都露出了酒窝！好看视频APP》此视频已有5万次播放，快来一起看看！
1581673680# #曾经的中国首富，现在成了中国首负。跟新浪看热点
1566128870# #李宇春《十七岁的雨季(2005超级女声六进五)》
1573959998# #太棒了，我在熊猫守护者认领了一块保护地，将在秦岭南麓洋县朝阳村帮助守护一平米的野生滚滚栖息地，你也快来加入吧！
1557706812# #很喜欢喜马拉雅上弘然的节目《鱼藏剑一事无成两鬓斑-王珮瑜》，快来听一听吧
1601267998# #听力智障儿童应该回归正常程序！
1552776201# #转发微博
1550817315# #上篮詹皇29+11，湖人19分逆转火箭，哈登连32场30+犯满离场詹皇29+11，湖人19分逆转火箭，哈登连32场30+犯满离场
1569979453# #转发微博
1547487826# #我分享了【最新版“人民的名义”:年轻公安局长不畏强权,在市长的饭局上抓人】，快来看吧|
1585180815# #《奇葩说：我们心怀阴暗的角落，最后却都选择做好人，傅妈太戳心了》此视频已有70万次播放，快来一起看看！
1580580086# #《蔡当局禁止口罩输陆被批其损人不利己，台媒呼吁：把仇恨收起来》此视频已有87万次播放，快来一起看看！
1607882288# #大和民族不出日奸，为什么大汉民族会出汉奸？这难道不是民族劣根性出了问题？南京大屠杀会告诉我们真相，民族分裂导致国家遭遇外敌侵略，这是我们的耻辱。不是侵略者有多凶残，是我们中间有太多汉奸出卖了国家利益和民族利益，心甘情愿助纣为虐。再问一下，哪个国家会出余茂春这样的民族败类？明白吗？
1551227266# #转发微博
1571521421# #所谓的民主体制，不靠国家行政资源就得不到权力。据报道，台湾有927位靠行政酬庸上去的、年薪在600万新台币以上的非专业政务官，而享受行政酬庸的事务官更多。这就是所谓的台湾民主体制，比大陆的官僚体制腐败一百倍。民主政治，自欺欺人，我早就下过定论。像蔡英文这种无知无识，靠假文凭，靠街头革命
1567219716# #不是说零容忍吗？现在抓似乎有点晚，大多数暴乱分子已经跑了。跟新浪看热点
1565445124# #过来看看你！
1557623079# #撒贝宁可的小男人。跟新浪看热点
1582084203# #《男孩讲起与青梅竹马的趣事，全场爆笑不断，“她从小欺负我”》此视频已有37万次播放，快来一起看看！
1549604113# #他只是一个慢慢长大的孩子哈哈
1567259585# #球迷就一群沙雕！
1566042839# #我在看：【洪秀柱喊话蓝营大佬开路，前国民党主席：要我选？还是要考虑！】跟新浪看热点
1564929184# #热刺吃国米嫩豆腐！
1567109125# #你是四月早天里的云烟，黄昏吹着风的软，星子在无意中闪，细雨点洒在花前。——林徽因《你是人间四月天》
1594201203# #这表卖两千块？告诉你是假的。可是我们又不得不面对一个现实，现在中国人所制造的世界名表，其质量无可挑剔，而且价格十分低廉，只有真表的一成～两成。我们有许多朋友都戴世界名表，但都是保质保量的赝品。还记得莫泊桑的《项链》麽？有些时候赝品比正品更靠谱。我不反对正品，但现在至少不会再买。
1553633490# #我分享了【最强反击，法国媒体惊呼：中囯这个民族太可怕了！】,快来看吧！|
1554871560# #上篮哈登单赛季拿下2800+分500+助攻500+篮板，NBA历史首人哈登单赛季拿下2800+分500+助攻500+篮板，NBA历史首人
1551283794# #转发微博
1558231293# #特朗普三吓头，属于嘴硬骨头酥朋友。普通话形容就是色厉内荏，吓得住就吓，吓不住的叫爸爸。这种人并不乏见，商场上比较多见。特朗普这种人比较贪婪且好色，对付他本老爷多的是办法。问题他现在是美国总统，现状不对等。
1576814343# #转发微博
1609390747# #最多有一半孝心，还有一半是往脸上贴金。我尖酸刻薄是真的，没城府也是真的。理解我的人哼哼就过了，不理解的人会记仇。我自认为性情中人，其实是个无知者无畏的蠢货。说那老奶奶的子孙个个都是贼你会讶异吗？我要说他们个个都是贼的话，他们差不多会感激不尽的。正的，你应该听说过那段轶事。新年好！
1549570420# #做啥啦？
1609292403# #人类是自然界最大的敌人！人类自己最大的敌人是谁？还是还是自己。
1572615159# #转发微博
1569757825# #《在击败阿根廷队，以11连胜的不败战绩卫冕世界杯后，中国队主教练郎平在接受央视采访的过程中一反此前的平静心情有些难以抑制激动的心情，并且因为哽咽流泪中断了采访。感谢郎导！辛苦了！中国女排世界杯全胜夺冠2019女排世界杯》拍视频看视频得现金，好玩又赚钱！
1570391496# #《家畜离奇死亡，死状及周围证据让人无法解释，于是怀疑是外星人》我和1.3万人都在看，快来一起围观
1567758384# #《小S老公不改“夜店咖”本色喝到睁不开眼贴心送辣妹回家》我和4241人都在看，快来一起围观
1601899296# #什么身体原因，成绩不好就应该下岗。李指是位很有个性的教练，只是缺点运气，能力肯定强过李铁。
1552114519# #很喜欢喜马拉雅上弘然的节目《文昭关伍员在头上换儒巾-于魁智》，快来听一听吧（分享自）
1585362395# #我在看：【刘涛终于想开要离婚了？王珂气急删光所有恩爱微博？】跟新浪看热点
1581650274# #江蕙花落谁家？
1557704767# #没有一个冠军来的容易，但是曼城这个冠军却得来十二分侥幸。利物浦的两次拉练(中东与西班牙)断送了本赛季的英超联赛冠军，否则冠军非利物浦莫属。
1582691213# #美国制造武汉疫情绝非空穴来风，包括美国多家媒体及专家教授都直言不讳特朗普政府导演了此次疫情。有人说，特朗普花了4.500亿美元没能搞垮中国，这次不用花钱就能让中国损失上千亿美元。事实真相我们不知道，但是一定会有人知道。现在的世界根本无秘密可言，我想无论结果如何，美国人的损失肯定很惨。
1551622636# #秦升属于踢人不踢球的恶汉，球品人品都不入流，这种人应该驱逐出绿茵场。数典秦升的恶行，大概需要两千字。
1555435210# #【澎湃新闻：云南大理警界反腐持续：两天内两名市公安局原副局长被查】(分享自
1593916222# #用时间雕琢最美的曲线！鲜花鲜花鲜花心心心赞赞赞
1601778179# #没听说过，更没见过。
1562319420# #转发微博
1587881480# #转发微博
1553303784# #起了个大早，赶上了一场好球！值，真值。
1571759331# #《裁判专家:李圣龙进球没问题裁判的处理相当合理》客户端。下载地址：
1554564474# #致命一击！男子砍倒大树后裤裆遭树根突袭(分享自
1553326068# #摔跤不要紧，最多断腿断腰。刚才台湾中视台播出一则新闻，蔡英文花了一百五十万新台币买焰火给自己放，目的只有一个，为了体现在“友邦”的土地上欢迎自己，如果蔡英文带个仪仗队出国欢迎自己不是更有仪式感麽？笑尿了我的菜大妈。
1571852164# #《越南美女能给大家找到媳妇，但是有一个要求，最后还说了顺口溜！》我和130万人都在看，快来一起围观。。。越南女人多半高颧骨，矮胖腿短，能好看到哪儿去？
1550690093# #英国有一个国际权威组织，它对全世界所有国家和地区的政府作了一个知识面的统计，台湾蔡政府排名第三，不过是倒数第三。当5G及微波铺天盖地来临之际，蔡英文居然提出台湾应该进口4G手机与4G电子产品，以跟上时代步伐。蔡英文会除了搞权搞钱搞意识形态外，它可以无所能不能。
1551684680# #天热了，自然会蜕毛。
1593252427# #一件事能概括承受一辈子，九十九件好事却不能原谅一件错事。时间、地点、对象，三者缺一不可。
1577140546# #《农村70岁老人喝酒成瘾，一年500斤白酒不够喝，看看他的身体咋样》我和29万人都在看，快来一起围观
1581875918# #《小伙被甲鱼咬住不松口，用尽各种办法》此视频已有45万次播放，快来一起看看！
1559616394# #这张证书用了25K微力，比平时证书多用了15K微力。
1572270826# #好过过，难过过，好过难过都得过！
1551572693# #差不多可以肯定詹姆斯率领的湖人无缘本赛季季后赛了。可怜的湖人花了老钱请来詹姆斯，指望自信满满的“小皇帝”能带领湖人冲进西部决赛，谁曾想连季后赛资格都将失去。其实湖人的实力并不弱，问题是詹姆斯的实力也没有想象中的多么强大。湖人算是亏到家了，怪谁呢？？？
1570887021# #《土耳其：若美国实施制裁土方将作出回应》海外网10月12日电土耳其军队从9日开始向叙北部的库尔德武装发起代号“和平之泉”的军事行动。
1590795082# #每天都有一个日，环境保护日也算分得了一杯一世界，一夜一残羹。人类破坏了大自然的宁静但并不使其致远，这就像跟大自然开了个玩笑：我们人定胜天。环境保护日是个伪命题，我们默许但不在乎。我们没有毁损环境之殇，我们对地球的伤害可以忽略不计。环境保护我们也出力了，徨徨中我们丢失了一夜沙漏。
1549396950# #韩国瑜呼声太高？国民党“4个太阳”回应很微妙(分享自
1579904507# #写自己的东西，不在乎别人怎么想。一个莎士比亚的笔下会营生出一万个哈姆雷特，做自己，管不了别人怎么说。
1598846740# #我在看：【前中行员工自称被领导“圈禁”水房三个月后开除同事称其有被害妄想症】跟新浪看热点
1569988158# #这样的棋局也只有胡荣华能设计出来，太精彩了！
1547807787# #我分享了【场面壮观黑社会老大带几百人竟然被几个人灭了】，快来看吧|
1585539716# #读《吕氏春秋》应该不会忘记“人有亡鈇者”的故事，蓬佩奥不懂中华博大精深的文化。故故意将斧子扔进河里属于恶人恶质，“人有亡鈇者”说的是樵夫丢了一把斧子，怀疑邻家小孩偷去了，过段时间他偶得了这把斧子，与原来怀疑邻家小孩的表情完全不同。蓬佩奥属恶套，樵夫是乱测。这是文化差异产生的结果。
1557783144# #中国的反制措施足足晚了二十天，二十天说明什么问题呢？
1555048312# #能伸能屈！
1561326827# #准备找一份快递小哥的活，没脚力不行。哈哈哈哈哈哈
1572765830# #我在看：【特朗普很“头疼”：律师被传唤检举人将作证】跟新浪看热点
1596119840# #《台湾赵少康简介-百度》台湾赵少康简介-百度
1567406276# #要发酵吗？
1551369911# #把违约金摆放到如此高，巴萨做了个很不好的示范，这会给球员选择自己喜爱的俱乐部带来巨大困惑。违约金定多少？个人以为以球员的身价为基数，再乘以10-20%，这对球员流通、丰富足球市场利大于弊。限制大牌俱乐部垄断优秀人才，应该向nba学习。
1547577790# #跟新浪看热点一语成谶。
1571060959# #分享图片
1589533897# #转发微博
1571119024# #《养女一夜亏损3千万！养父母变卖家产替她还账，涂磊感动落泪》我和17万人都在看，快来一起围观
1598334390# #《人生九大守恒定律，比风水厉害百倍！》一个人最终拥有的财富值，取决于他对世界创造的价值总量。
1594770047# #分享歌单《我喜欢》
1563110808# #mj害人发指！跟新浪看热点
1567400963# #换柱输了300多万票，还不算错误？！
1547583192# #『我的昨日数据报告』
1552584061# #庆生一下就妥了，哪来那么复杂？该收的份子钱收了便好。我有一朋友，曾有一年过了四回生日，等于一年收了四回份子钱。其实朋友都知道他好赌，输钱超过千万，后来我们私下揶揄他“四季哥”。人最怕穷极无聊，不寻是非、不争风流是正道，平平淡淡常乐一生。
1569343279# #《相濡以沫，不如相忘于江湖百度百科》相濡以沫，不如相忘于江湖是一个汉语成语，意思是泉水干了，鱼吐沫互相润湿，何不各自到大江大湖里去更自由。比喻一同在困难的处境里，用微薄的力量互相帮助；有时不妨放弃执著以全新的自我迎接世界。出自《庄子·内篇·大宗师》及《庄子·外篇·天运》。
1549746530# #这种污男配一根磨光的木头。
1562482738# #我分享了【3岁生父车祸去世，继父扛水泥撑起明星梦，23岁拿影后身价上亿】,快来看吧！|
