1693979411# #被一个美吹的逻辑震惊了！。都讨饭了，还在鼓吹制度优越？？？。。不负责任转发
1702964466# #起床了刷一下X，现在都直接机翻转中文，如果词不达意请大家谅解。。。巴以冲突不负责任转发
1701016307# #英文机翻，外国网友怒骂以色列，没人性的东西。。巴以冲突不负责任转发
1693290171# #开始放我的私人雷达歌单了。喜马直播魔女蓝的直播《放歌小蓝在工作，可陪聊》
1694065447# #这个被判22年的MAGA主脑，昨天我看新闻了，国会暴动当天他根本都不在现场，只是在网上发了几个声援助威的帖子，而且还在法庭上道歉认错。。。最后还是判了最重的22年，其他四个成员也都判了10多年——对比下闹了好几个月香港黑暴们，我就呵呵呵了。。。不负责任转发
1698602352# #这几天哈马斯还在对以色列射火箭弹，就在以色列屠城加沙的时候，哈马斯的领导人到处跑，一会儿跑到俄罗斯，一会儿跑到黎巴嫩。。所以我看到了一个有趣的观点：以色列建造城市来包围他们的军队是为了保护其军事设施，而不是为了保护其人民而建造军事设施。。。巴以冲突哈马斯持续向以色列发射大量火箭弹
1699495446# #年费打4折啦！活动底价就现在，VPlus双11惠聚周年庆早鸟优惠超低价，最后一天，数量有限，先抢先得，点击订阅↓↓苹果ios用户支付方法：
1694360732# #回家看会儿推，再干活！。。不负责任转发
1697922889# #再看一眼X，要工作一会儿！。巴勒斯坦人真可怜，还有以色列人在网上嘲笑他们，自以为高人一等的以色列人丑态百出。。。巴以冲突不负责任转发
1703572738# #啥，1500名以色列士兵阵亡？。这怎么可能呢？？。。巴以冲突不负责任转发
1699375713# #世界上如果没有犹太人，不就不存在反犹主义了？馋嘴
1694093344# #蛤？练过攀岩的鱼？二哈二哈
1699186632# #昨天还有人留言说美国穆斯林肯定投民主党，美国这种没得选的政治，不投票不行吗？哈哈哈哈哈哈
1694163536# #一对英国夫妇在自家院里种菜，被要求缴费500英镑.......啊这！。种菜自由都没了吗？？？。。不负责任转发
1701456682# #发布了头条文章：《新艺术家具——法国豪华家具设计师保罗·福洛PaulFollot》。。魔女屋lyl
1697804014# #啥？法国的冥婚还是合法的？。这在1804年在法国得到了法律承认（并且仍然是少数在其法律中涵盖死后婚姻的国家之一）。它是为战争寡妇准备的，允许阵亡士兵结婚。。。平民死后婚姻起源于20世纪50年代，当时法国弗雷瑞斯的一座大坝溃决，造成400人死亡，其中包括与伊雷娜·乔达(IrèneJodart)订婚
1695406852# #五常里那个没有主权的国家是指英国吗？。挤眼。。不负责任转发
1703572055# #以色列发生大规模停电，据说内塔尼亚胡和他的内阁都逃到地堡里去了。。怎么打哈马斯打了快80天了，打成这样？。。巴以冲突不负责任转发
1697837794# #其实辛德勒这个人，真人最后结局也很悲催，穷困潦倒，然后犹太人拍这个片子狂赚几亿美元。
1697703564# #海滩失踪女童遗体找到从上海漂到了宁波啊，可怜的孩子泪，家长怎么能放手呢？我带女儿出门手一直拉着不敢放的，才四岁的小宝宝。。。可怜可怜
1695201742# #花西子公关部或集体离职。这张图真实！。真的，化妆品成本就这么点！女生们别再乱花钱了。
1694065678# #刷完这些，我干正经事去了！。。不负责任转发
1692013355# #现在公布的死亡人数是93，还有上千人失踪（这才是可怕的）。。如果没有抖音，我们也看不到这些吧，目前传出来的各种对火灾的民众控诉都是抖音上的。。。不负责任转发
1696832301# #哈哈哈，冯妈帖子下面是一边倒的骂贴，堪称奇观哈哈哈哈哈哈，足以说明民主是个屁二哈
1701013120# #这视频大家都看过了吗？。谷歌自己的Ai说美国登月是假的。。允悲。不负责任转发
1700671648# #以色列哪里来的150个妇女和儿童人质和哈马斯交换？。原来，“以色列军队在半夜将大多数巴勒斯坦儿童（约占59%）从家中拘留。大多数儿童在被捕时被以色列士兵蒙住眼睛、手铐和殴打。”以色列军队每年拘留、审讯、起诉和监禁500至700名12至17岁的巴勒斯坦儿童。。。巴以冲突
1698505888# #发布了头条文章：《昨晚在黑幕下进行的罪恶——是时候了解一下这些“可萨犹太人”了！》。今天算是把犹太人的三千年历史都补完了，稍后再看有什么需要深度学习的。。。魔女屋lyl巴以冲突
1698756015# #正是北方犹太人在支持犹太复国主义，并最终推成了以色列的建立。
1694439839# #我前几天也忍无可忍踢了一个加拿大朋友出群，他们天天被喂的那些新闻都是反g，我就问他你一天不骂g会死吗？
1700572813# #魔女屋LYL超话世界各地酒店里的“请勿打扰”告示牌。。它们是由一位来自意大利都灵、名叫爱德华多的收藏家精心收集的，他是一位退休国际公务员，多年来一直游历各地。。。“大约20年前，我在去巴基斯坦出差时拿起了第一个“请勿打扰”牌子。一个信号引发另一个信号，它很快就成为一种令人上瘾的爱好
1698486315# #看到外国网民对犹太人的分析：这群人似乎受到根深蒂固的心理状况的困扰。他们的教育制度似乎给他们烙上了双重身份，他们同时认为自己既是受害者又是侵略者。他们的精神状况似乎抑制了他们与邻居和世界其他地区的人们产生共鸣的能力。。结果，这个群体及其人口获得了广泛不受欢迎的名声。。有趣的是，即使
1695716436# #刚试着用AI来读科普，这样我公众号里海量文章都可以有声化。魔女屋lyl。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1697884202# #我家也有一个内塔尼亚胡，刚给我断网了，但这白痴不知道，我有手机流量！酷
1694442920# #我不允许有人没看过这个！！！抓狂抓狂抓狂。尽管我也才看到——21岁的张国荣，22岁的张学友，这选秀也太太太养眼了吧！！！！。。这台上全是天王天后！太惊艳了！
1691575059# #今天加更一篇呢——看看油画中的耳环细节。。魔女屋lyl肖像
1688376864# #发布了头条文章：《嘟游记——马赛的街头艺术》。。嘟游记魔女屋lyl就爱旅行
1694064740# #我对明星真没啥兴趣，这样的故事请多来点。。。不负责任转发
1702139188# #我就是奇怪，怎么哈马斯被打到现在还没被打死？？？。。哈马斯发布了一段高质量预告片，展示了新推出的火箭“M-90”，这似乎是M-75火箭的升级版，射程升级到90公里。该视频的标题是：“看着特拉维夫被烧毁……耶路撒冷将被解放。”。。巴以冲突
1697381074# #发布了头条文章：《到底有没有能让孩子自己玩的手工？》。正在和咪蛋一起玩纸板小狮子，结果还是我忙得要死！。。魔女屋lyl
1695909799# #摄影师DavidLee的食物摄影，色调鲜艳明亮到无法直视！。。秘密花园的邂逅静物摄影
1699199049# #日本也有人支持巴勒斯坦了！。又是一位女性，为什么呢？。因为做母亲的都看不得屠杀孩子这种事，全世界的女性看到加沙的孩子，心大概都会滴血。。。巴以冲突
1694088755# #突然发现高中时的课表中学时代的课堂，上课情形，在很多年后还时不时会被梦到，经常就是突然要考试了，然后啥也没准备那种梦。笑cry笑cry笑cry
1690106192# #KerryMiller，是一位女艺术家，致力于让旧书重新焕发活力，将它们变成独特的3D艺术品。这位混合媒体和拼贴艺术家仔细地雕刻出书中的插图，有时使用墨水和水彩来丰富和增强最终作品。。。正如米勒在她的网站上解释的那样：“我的作品是一种提炼书籍精髓的方式，发布图像并让它们接触到新的受众。我将
1693384262# #刚回家了，看看推上新闻，看来法国要丢一个非洲殖民地了。。。加蓬军方驱逐现任亲法总统阿里·邦戈后，数百人走上街头唱歌庆祝，明显支持政变。。截至目前，罗斯柴尔德资助的矿业公司已暂停在加蓬的运营，据报道互联网服务已恢复。。不负责任转发
1703497284# #发布了头条文章：《玩转竹编艺术的台湾年轻艺术家范承宗》魔女屋lyl建筑设计
1697876074# #德国人骂自己政府和媒体，怎么我们又躺枪了？？？？。。巴以冲突不负责任转发
1694697340# #哈哈哈，居然是自产自销
1698418597# #有钱的犹太人都对学生们的抗议采取了金钱施压！。。莱昂·库珀曼(LeonCooperman)加入了越来越多停止资助美国多所著名大学的主要捐助者行列。他说那些孩子（哥伦比亚大学学生）都是傻逼，他不给钱了。。。🟡以色列亿万富翁伊丹·奥弗和巴蒂亚·奥弗向哈佛大学肯尼迪学院捐赠了超过2000万美元。他们现在辞
1698923115# #乌克兰居然有57万件武器“丢失”。呵呵呵呵，感情这个美欧天天援助的武器，最后用来打以色列和美国啊？？。真的是现世报！
1695453276# #这位快吃点饭吧，让我想起日本那个饿死的女学生
1688227449# #倒霉的都是群众
1703077628# #找到一个有趣的Instagram，本以为是AI做出来的，谁知是真的，这位女艺术家在全球各地把房子外墙画成室内壁纸一样美丽！。。魔女屋lyl
1700777185# #BillCarman，是在韩国首尔一所房子的地板上出生的，母亲是一位90磅重的韩国母亲，只有一名助产士作为见证。“我当时11磅，14盎司，全世界仍然想知道那个小女人是如何毫无困难地射出如此大的男孩的。”。这种物理上的不可能的结果是一个完美的圆头，正如爱达荷州博伊西便利店店员所见证的那样。他的原
1694366874# #呵呵呵呵，水军们也就是在网上觉得自己还有点用酷
1698756378# #芝加哥出现巨幅广告牌：今年没有万圣节，因为现实太恐怖了！。。以色列拒绝联合国停火决议
1697295280# #英国和法国对比，今天巴黎的卢浮宫和凡尔赛宫都关闭了，据说受到威胁。。与此同时，英国伦敦街头爆发大规模亲巴勒斯坦的游行，许多犹太人上街谴责以色列。。。巴以冲突不断升级面临失控风险不负责任转发
1698440325# #今晚加沙完全停电，没有水，没有互联网，推上的民众创造了一个tagstarlinkforgaza。意思是‘为了加沙的星链“，希望大家人力传递加沙的消息。。我们活在2023年，还在见识一个国家的种族灭绝行为真是人类之耻辱！。。巴以冲突
1691491225# #果然一气呵成，行云流水
1691578210# #忙完了休息下，一人配两个角色，字太快了有点来不及转换汗汗汗
1697456961# #刚吃完午饭，看到推上这个。。。。。。。。不负责任转发
1694498396# #哎呀呀，害得我去搜了搜啥叫MWC——世界行动通讯大会，简称MWC。由GSM协会主办，邀请各地手机厂商、软体商、电信业者及无线通讯产业专家学者等参与，透过展示新产品、服务和讨论行动通讯产业趋势与技术。每年二至三月于西班牙巴塞罗那举办。。。这视频是啥时候的事呢？。。不负责任转发
1693896465# #来看点卡米奥！。。魔女屋lyl珠宝首饰
1696511366# #第三位女艺术家的作品种类多，跨度大，真正体现了什么叫“多媒介“拼贴艺术家！。。“伊丽莎白·亚历山大ELIZABETHALEXANDER，用她各种各样的简单材料让我们惊叹不已，然后她将这些材料复杂化并操纵成完全不同的物体。她似乎以一种立即表达的方式表达了我们作为流行文化中的女性所面临的具有挑战性的想
1690794452# #数千名尼日利亚人示威支持推翻西方支持的总统，俄罗斯国旗似乎已成为许多非洲国家反对西方殖民主义的象征（原推机翻）。。。不负责任转发
1698621528# #图2翻译：。。🚨叙利亚炮击以色列占领的戈兰高地。。🚨抵抗运动袭击了占领叙利亚奥马尔和沙达迪油田的两个美国基地。自10月7日以来，这是美国第六次遭到袭击（图3）。。🚨美国轰炸了阿尔布卡迈勒抵抗力量。。哈马斯持续向以色列发射大量火箭弹巴以冲突
1703680841# #图一令人发指啊！！！。真的一天天跌破下线的！。。巴以冲突不负责任转发
1689667922# #AnnaeAlex——两位意大利女设计师的珠宝品牌。“色调的对比和选择、古老的修剪艺术、在最后的怀旧工作室中发现的其他时代的技巧仍然存在、浮雕的优雅以及两个朋友的想象力和创造力，所有这一切都始于安娜和亚历克斯，一个珠宝品牌的灵魂融合了过去和现在、半宝石和织物、珐琅和珍珠母贝。”。。
1701707000# #乌克兰需要的武器太多了，全世界加起来都提供不了。。。不负责任转发
1695043059# #看待辫子客服不必过分紧绷爱国弦这又是啥奇怪的热点？是有人喜欢往辱华上做文章，还是有人在给苹果拉热度？不管怎么说，都有点恶心🤢。
1697294481# #多点欧美民众被困才会引起注意吗？真的巴勒斯坦人不是人啊？
1689144377# #笑死了，老虎懵圈那个表情太萌了！。。不负责任转发
1689526723# #今天忙了一天，才有空刷推，走一波不负责任转发
1693054497# #她叫SarahvanDongen，是一位居住在阿姆斯特丹的荷兰插画家。。。我随身携带素描本和美术用品，根据观察和日常生活绘制插图。我喜欢在插图中探索的主题是：花园和食物、社交互动和心理健康、童年和想象力。尽管我倾向于创造甜蜜和安全的形象，但我并不回避每个人面临的困难。我想通过以通俗易懂的方式说
1691664567# #好吧，今天就乐一乐！。。魔女屋lyl纹身不负责任转发
1701514661# #这次再开火就是全面战争了
1698003213# #太可怜了，我们都十几二十岁了才知道什么叫遗书，这孩子多么纯洁的灵魂，祝她在天堂安息。泪
1704164958# #新年第一更，娜娜继续高水平发挥，戏感爆裂。。魔女蓝。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1698578254# #蛋总刚又画了一副三个猫女郎跳舞的画，对比昨晚的，感觉她的技术一夜之间又精进了。治愈系小咪蛋超话萌娃萌画儿童画
1688457739# #原来事情是这样开始的，法国这次骚乱的源头视频被披露。。。不负责任转发
1694542555# #哈哈哈，看到这个图，结果文字在说苹果🍎，你这不怀好意啊哈哈
1687934272# #找了四个好友解封，通通显示安全状态有问题，微信现在到底在搞毛是不是人人都有问题？。。所以微信被恶意举报腾讯微信客服到底想干嘛？按照要求做了，怎么幺蛾子这么多？怒怒怒怒怒
1688925120# #DanielaAncaTurdean。是来自罗马尼亚布加勒斯特的草月流华道老师。。关于草月流：1927年，当每个人都相信插花意味着根据既定模式来练习的时候，SofuTeshigahara却视插花为一种艺术形式，并且创办了草月流学校。。任何人都可以随时随地享受草月流花道，使用任何材料——你可以在你家门口放置草月流插花
1693020633# #挺美的
1703563830# #又是早上十点被电钻钻脑袋钻醒，然后被逼着做了这个测试，被自己啪啪打脸。。。两个群的家人们都以为我是个铁E，居然是个I。泪泪泪
1694581241# #上半年上海演出市场票房收入8.32亿是吗？怎么我朋友说现在演出市场不如从前了，非常惨淡。。。可能他说的是摇滚乐吧允悲允悲允悲
1696229376# #这小说里一直提到柠檬林，这不是我的英文网名吗？哈哈哈哈哈哈。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1693635545# #这地方我去过，照片都没整理出来，一大堆。
1693637557# #居然是真的海蛞蝓，英文名叫LeafSlug，太好玩了，我叫它绿羊羊海兔！。。学名：Costasiellakuroshimae。。魔女屋lyl
1698475718# #美国人自毁的速度还不够快
1697658009# #这是今天（10/18），希腊雅典的街头，人们表示对巴勒斯坦的声援，呼喊：解放巴勒斯坦！在美国大使馆门前游行。。。巴总统宣布全国哀悼三天
1696762014# #昨天偶尔看到这个花西子审美，结果闺蜜们点评把我笑死，一个说是吸血鬼公公，一个说是昂日星官哈哈哈哈哈哈允悲允悲允悲允悲。笑得不行可爱可爱可爱
1693590843# #刚把这一集也修改了。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1699946129# #女主终于又出来了哈哈哈哈哈哈。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1696326174# #我也听说很多人去了日本。。。我也想看看
1695391059# #AStonesThrow一箭之遥。KarlBailey。。朴茨茅斯是一座岛屿城市，是伦敦以外人口第二稠密的城市。尽管位于最富裕的县之一，但它仍处于全国最贫困县的前20%之列。“一箭之遥”探讨了13年政府紧缩政策对这座城市及其居民的影响。它讲述了那些被一个以牺牲多数人为代价只顾少数人的制度抛在后面的人
1696234243# #9月24日，联合国官方微博发了一个帖子，可谓是震惊了中国人。。联合国官方微博用中文对中国人民讲这些话，显然是有特定的政治目的的，而这个目的也特别简单而直接，就是要求我们中国放弃禁毒转而全面跟随以米国为首的西方，实施吸毒合法化，并把是否吸毒合法化当成是否侵犯人权的标准。。。联合国你赶紧
1698577579# #再看一会儿新闻，要工作了。。巴以冲突不负责任转发
1695480809# #发布了头条文章：《强强联手的梦幻插图——AndrejDugin和OlgaDugina作品》。这一对的作品超美！。。魔女屋lyl
1697233081# #这世界太不公平了，所幸中国是个和平安全的国家，我不能想象出生在巴勒斯坦有多么悲惨，对了这几天已经又有500个巴勒斯坦儿童被炸死了。
1693559103# #美国人自己都在怀念100年前的黄金时代，那时候的优雅，现在早已荡然无存。。。不负责任转发
1691307734# #发布了头条文章：《又发现一位法国宝藏插画师——MarionArbona作品欣赏》。。魔女屋lyl儿童插画
1703174319# #晚上继续刷一会儿推，看看拖鞋军是怎么让美国和以色列头痛。。。巴以冲突
1698476755# #整个人类的悲剧，就是一再重演爱莫能助，弱肉强食，这一刻，公平正义信仰希望一起灰飞烟灭。
1699523500# #仙剑IP授权美女包围了制作组虽然没玩过这个游戏，但是看过一场沉浸式的戏剧表演，印象深刻。
1697888063# #治愈系小咪蛋超话咪蛋刚画了一只鸳鸯眼的小兔子，太好看了。。。儿童画萌娃萌画
1697041195# #啥叫认知作战？就是用大量假消息来混淆视听，这种在2019年我就看得很清楚了，但2023年还有很多中国人不懂。。。联合国9名人员在以色列空袭中丧生。。。不负责任转发
1693053824# #继续看超治愈的插画师手绘草稿本。。魔女屋lyl插画
1690385028# #发布了头条文章：《蝴蝶与蛾——九种好看又萌爆的美蛾子》。。魔女屋lyl昆虫自然科学
1696537729# #今天很高兴，猴子弟弟终于脱单了，我还担心他抑郁症呢，然后找到的女朋友居然和我乐队名字后半截一样，世上竟然有这么奇怪的事情？哈哈哈哈哈哈憧憬憧憬憧憬
1697046541# #乌克兰刚刚喜提2亿美元军援二哈
1697041586# #突发新闻：以色列现在正遭受真主党从北方的入侵，据报道，他们通过滑翔伞越过以色列边境，就像哈马斯在南部所做的那样。战争正式开辟了第二条战线。。。联合国9名人员在以色列空袭中丧生不负责任转发
1695197611# #哈哈哈，笑死了那个出水芙蓉。
1698664124# #这头巾上的两个弹簧有意思
1694062239# #喝完咖啡，吃完煎饼果子，开始刷推！。。不负责任转发
1698622515# #我咋从来没看过这个？。美国人当俘虏，穿上了老棉袄，这种咋不在寒假滚动播出呢？。对付敌人只有一个办法：把它打趴下，永远记得痛！。。哈马斯持续向以色列发射大量火箭弹不负责任转发
1695810682# #女子称发现公司发假美心月饼被开除是广州的吧？那边人对美心这个品牌特别推崇我记得，所以这个事情是暗示公司买月饼的人动手脚了吗？喵喵喵喵喵喵
1697273327# #ScottRitter，他是前联合国武器观察员，他说：这是为什么我不再支持以色列，而且永远不。。Ifeelthesame我也深感同意+1。。。超40万巴勒斯坦人离开加沙的家园
1690542487# #你们这些就是给人添麻烦，无辜群众被处以不应受到的惩罚，造成心理阴影，对社会产生不满情绪，对和谐社会影响极坏，腾讯是不是已经是一大社会毒瘤呢？我觉得至少是我生活里受到的不公正待遇的表率哼哼哼
1700493076# #以色列造假又穿帮了，这一天天的，真以为全世界人民好骗啊！。。巴以冲突不负责任转发
1691916750# #从未来派建筑到星际战舰——AI绘画二次生成之多样性。顺手做一个视频，我要去写公众号了！。。AI绘画LD原创艺术
1701776558# #官方通报县委书记突发事故逝世这事挺奇怪的，也没说突发事故是什么吗？我只知道最近，查冯德莱恩和辉瑞的贪腐案的一个官员突然暴毙了，说是心脏病，我觉得这事绝对有问题。
1690542607# #一个多月了，客服热线打不通也没人来联络，微博上机器人还好吗？腾讯微信客服微信被恶意举报网络霸凌
1698964552# #哈哈，这是行为艺术吗？据说小金用上了以色列国旗厕纸，义乌赶紧批发啊嘻嘻嘻嘻嘻嘻
1687176315# #啊？今天的瓜居然这么复杂？？？。吃不动了！。。不负责任转发
1704182812# #原来以色列和哈马斯是这样打仗的，网友制作的这个小视频挺有趣。。。巴以冲突不负责任转发
1698394614# #外交部呼吁缅甸有关方面尽快停火止战这么巧？前几天好像才端了缅北诈骗头子的老窝，这就又打起来了？
1702630811# #刚做完功课，看一眼X上有两个人在说关于日本的歧视问题，租房难，开卡难。。挺有意思，转给大家看一看，这都是留学日本的人的现身说法。。。不负责任转发
1693323402# #最近看了一个意大利潮妈的讲述，才知道各种环保组织都是有经费赞助的，按季节，选主题，进行所谓的“行为艺术环保表演”，面对人类真正的灾难，无动于衷，就喜欢干这些有的没的。
1688376087# #发布了头条文章：《嘟游记——卢瓦尔河畔的肖蒙城堡》。。嘟游记魔女屋lyl就爱旅行
1694638787# #收拾完行李，又把这首歌配上了小说旁白，这个专辑本来就是一个音乐小说，这是它本来该有的样子。。林笛。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1689580478# #老子开始玩AI绘画了！
1689620819# #录这种纯属好玩。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧每一天的精神食粮（分享自
1694156517# #发布了头条文章：《奇怪而又迷人的混搭装置艺术——澳大利亚女艺术家KateRohde》。。魔女屋lyl女性艺术家
1687072653# #很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自魔女蓝
1694532210# #推上看到，没绷住！。。不负责任转发
1687221600# #以色列对约旦河西岸的杰宁难民营发动了它认为是常规的袭击。。。不负责任转发
1689330251# #发布了头条文章：《时隔一年，继续来八古希腊神话里的“白银时代”》。。魔女屋lyl世界史
1688374335# #发布了头条文章：《跨年私房游记——布尔日，利摩日，佩里格的三座大教堂》。。嘟游记魔女屋lyl就爱旅行
1700910598# #抓捕恐怖的黑暗之子“哈马斯”非常简单，他们只用了三个人就做到了！。又一艘以色列货轮被袭击。米莱还真的关了阿根廷央行？？？。。巴以冲突
1698145087# #突发事件：被释放的囚犯称哈马斯对他们很好，而以色列士兵则杀害了自己的士兵。“卡萨姆武装分子人道地对待我们，没有杀害任何平民，但在与加沙武装分子的冲突中，杀害以色列平民的是以色列占领军。”（来自gazaalannetgroup）。。巴以冲突不负责任转发
1692074223# #又一位华裔顶级科学家在接受麦卡锡式的“中国关系”调查后，离开美国前往中国。。关坤良是生物化学领域被引用最多的研究人员之一，也是麦克阿瑟“天才”奖的获得者。。图二评论：中国应该给川普和拜登树立雕像，感谢他们对“推动中国科技进步”做出的共线。。。不负责任转发
1698920917# #美国女影星安吉丽娜·朱莉发声（如果真是她说的，我会对她有点好感了）：“这是对无处可逃的被困人口的蓄意轰炸。近二十年来，加沙一直是一座露天监狱，并且正在迅速成为万人坑。遇难者中有40%是无辜儿童。整个家庭在全世界的注视下，在许多国家政府的积极支持下，数百万巴勒斯坦平民——儿童、妇女和
1698834341# #信息量很大的一些X上推文，机翻的。。。巴以冲突不负责任转发
1688532858# #早起有朋友问我马赛图书馆是不是被烧了，我上网查了下，这个广为流传的视频里不是马赛图书馆是菲律宾历史悠久的马尼拉邮局。中央邮局是菲律宾的国家历史地标，80辆消防车奋战7小时，但邮局还是被夷为平地。里面的信件、包裹和该机构的集邮品据信已丢失，火灾原因正在调查中。。。不负责任转发
1702022136# #我还记得这位郭杰瑞，原来被迫害了，以前一直看他油管视频，很客观的介绍中国，这在国外就算是有问题了，还说国外有言论自由的欢迎留言。。。不负责任转发
1697983665# #这位来自乌克兰基辅的女艺术家：OksanaTsiupa，主要创作可爱的刺绣动物胸针，这个极其富有装饰性和丑萌的风格，她没有太多个人简介和网站，我只能在脸书和pin上找到一些关于她的资料。。。魔女屋lyl刺绣
1690912351# #终于做完了，好累啊！咪蛋画的跳舞的小猫咪，变成玩具超可爱！。。AI绘画咪蛋爱画画
1701342268# #阿里被献血女子家属拒采访全体公务员献血这个可能吗？不是某人吹牛吹大了，就是别有用心的人以此炒作。
1701973516# #今天以色列发布一群平民，说他们都是哈马斯，激怒了外网的网民，全文机翻：。。以色列……谎言宪政国家。自10月7日行动以来，以色列面临重大失败，此后，该政权就陷入了否认现实的循环，因此，这种否认导致以色列领导人创造更多谎言和故事。。10月7日之后的早些时候，我在这里指的是之前关于40名婴儿被斩
1695371208# #哈哈哈，真的成精了！
1691999988# #下次有人再来说普世价值的话，可以翻出这四图，看看所谓的“普世”到底代表的是谁？。。不负责任转发
1701072963# #犹太学生在伦敦犹太学校Yeshiva点亮犹太复国主义之星。。反犹太复国主义不是反犹太主义。。犹太教不是犹太复国主义！。。不负责任转发
1688017881# #半夜三点剪一个关于凉鞋的小知识视频。。魔女屋lyl凉鞋魔女蓝
1698508107# #啊这。。。下次换个更肥点的人去抗议晕晕
1701775985# #上官正义追问广东贩卖疫苗本结果有问题就揭发出来，不正之风才能刹住，感谢这位有正义感的人。
1699041998# #这倒是干实事，比在大街上走路有用
1700348609# #结果以色列就用自己杀死的音乐节平民为借口，杀了一万多巴勒斯坦平民，而且现在继续！这世界还能更地狱笑话吗？。。巴以冲突不负责任转发
1687069464# #凯蒂·庞德KatiePonder是一位屡获殊荣的艺术家。她于2014年毕业于法尔茅斯大学，获得插画专业一等学士学位，于2011年在坎伯韦尔艺术大学攻读基础课程。。。Katie是2014年AOI新人图书奖的获得者，2017年她入围了FolioSocietyAward，并获得了HouseofIllustration大众选择奖。。。2017年10月，凯特
1697747926# #这怎么抓人？人挤人黑线
1701329089# #哈马斯最新释放人质的视频，又是一次对以色列的严重打脸公关危机。。哈马斯和人质的关系都好得很，全程拥抱，笑脸满面，人质们居然还都容光焕发。。。巴以冲突不负责任转发
1699013238# #巴林召回驻以色列大使，并暂停与特拉维夫的经济关系，以回应以色列对加沙地带的军事进攻。。巴林议会确认以色列大使埃坦·纳赫已离开麦纳麦，而巴林大使哈立德·优素福·贾拉赫马则从以色列召回。巴林议会赞扬哈马德·本·伊萨·阿勒哈利法国王的这一决定，并表示致力于采取进一步措施保护加沙和巴勒斯坦领土
1687687820# #TakafumiARAI，是一位日本鞋类设计师兼创作者，目前居住在日本东京。。自学手工制鞋，他的基本方针是：。1、材料使用范围广。2.手工制作。3.具有一定的特点。4.唯一最好的。5.具有非传统理念的可持续设计。。魔女屋lyl美鞋
1691304503# #这三猫演员表演相当到位，点赞！。。不负责任转发
1697589160# #真是罪大恶极，如果这件事还不能引起全球一致反以，那人类存在也没啥意义。
1699441445# #中方将为巴以局势降温付出最大努力也派点军舰，军机啥的没事万里去巡防一下，就行了。这肯定能有用嘻嘻嘻嘻嘻嘻
1694358856# #蒲熠星火树JY连麦玩崩铁这一条话题的每一个字我都认识，但是完全看不懂是咋回事？二哈二哈
1698398997# #对比一下巴勒斯坦和以色列在联合国发言后的掌声。。。巴以冲突
1692435295# #蛤？这什么鬼？
1696319472# #家长动不动就举报老师不是好现象家长自己都是巨婴吧，要么老师连家长一起批评了，看他们咋办哈哈哈哈哈哈
1697589456# #真主党已经和以色列交战好几天了，更多国家会行动了吧，这种灭绝种族的行为必将遭到愤怒的反击。
1691568101# #发布了头条文章：《古老的奢侈品——玻璃首饰制品》。。魔女屋lyl珠宝首饰
1694273993# #魔女屋LYL超话插画家：MilicaGolubovic新鲜有趣的插画
1696156359# #西方媒体的受众对自己小镇以外的任何事情一无所知，对真相也不感兴趣。哈哈，太对了，大家不知道，外国人很多都是一辈子没出过国的！哈哈哈哈哈哈
1687878278# #今天给真爱粉们找了上百张艺术家工作室的图。。秘密花园的邂逅艺术家
1701013430# #以色列为什么在10月7日杀了那么多自己的平民，这里有一个他们自己的帖子揭露了真相：这两个不到25岁的姑娘，在她们从来没使用过的坦克里战斗了17个小时，使用了她们从来没用过的武器，杀了几十个“哈马斯恐怖分子”，值得嘉奖。。。。。。。。巴以冲突不负责任转发
1696144593# #假马斯克说，一毛也不给了！谁跟我一起？。。不负责任转发
1696144469# #这世界的秩序，哈哈哈！。。不负责任转发
1694256902# #啊？这也不给个痛快吗？怒怒怒
1702979743# #我才知道这舞蹈这么火，哈哈哈，搬运一下，居然统一全球了？？？？。各位老外抖音网红都好拼！。。科目三舞蹈挑战
1702549503# #白左们现在开始这样支持巴勒斯坦，在ZARA门口抵制。。。英文原文：我们的生命不廉价，你的衣服廉价！。。巴以冲突不负责任转发
1689671562# #HannahBessRoss汉娜·贝丝·罗斯。。是美国芝加哥的插画家和作家。她住在一所小房子里，有一扇蓝色的门和一只橙色的猫，但她总是梦想着遥远的森林和海浪。她喜欢讲关于虫子和星星等日常神奇事物的故事。她还喜欢木偶、民间艺术和愚蠢的文字游戏。。。汉娜主要为儿童市场制作艺术品。。。客户包括：诚实的历
1699730095# #加油，里昂！
1697487014# #看一眼法广最近在干嘛，为什么选的马克龙照片这么丑？。。不负责任转发
1696793647# #前面我说只有美国支持以色列，有点错了，因为民主党和白左们都是支持巴勒斯坦的，现在的美国纽约街头打出了“解放巴勒斯坦”，以及哈马斯支持者在纽约聚会，所以拜登要支持以色列吗？还是川普更支持以色列呢？又一个棘手的难题！。。以色列正式向哈马斯宣战
