1698045433# #趁着巴以冲突，日本偷偷就排了
1697107143# #真假声明
1698038586# #iPhone15大陆零部件只占2%，苹果产业链正在去中国化。这一数据，来自日本经济新闻。。他们和一家拆解机构合作，分析出不同国家/地区，提供iPhone15ProMax机型零部件的比重。。换句话说，苹果手机里的「中国制造」，呈逐年走低的一个态势。在此过程中，一堆中国供应商遭苹果抛弃，日子相当艰难。。典型
1695568083# #以攻代守不止一个领域，而是很多个领域，军事上只是其中一部分而已。譬如，像华为的芯片突破，其实就是主动进攻，攻守形势易手了good
1692545607# #南京一公交车行驶中突然起火，致2死5伤，起火原因为一乘客携带的锂电池电瓶自燃造成。。南京一公交车起火致2死5伤深圳小天超话
1692624498# #港媒：内地拟发1.5万亿人币债券拯救地方债务，海南再计划在港发行地方债。港媒报道称，内地各地方政府已上报「建制县隐性债务风险化解试点方案」，现时监管部门已初步批复方案及额度，容许特殊再融资债券在下半年重启发行，额度约1.5万亿元人民币，涉及12个地方省份和地区，包括天津、云南、陕西、重庆
1691129998# #郭台铭：台海若开战，华尔街股市10秒崩盘。有意参加台湾领导人选举的郭台铭8月2日在社交平台发文称，台海若发生战争，只要10秒钟，华尔街股市就会崩盘。。郭台铭说：「台湾在世界经济扮演的角色，重要性远远大于乌克兰。只要台湾发生战争，从军事的角度，也许能够抵挡三个月，但对于世界经济的冲击，是巨
1688713242# #冲冲冲
1690160213# #美媒：阿肯色州小镇可能成为美国锂热潮的中心。华尔街日报称据知情人士透露，新加入美国锂矿搜寻行列的公司埃克森美孚正计划在离阿肯色州马格诺利亚不远的地方建造世界上最大的锂加工设施之一，每年可生产7.5万至10万吨锂。。深圳小天超话
1689513932# #目前影响广东的泰利，已增强为台风，中心风力增至时速120公里。。台风的分类包括六个等级，分别是热带低压、热带风暴、强热带风暴、台风、强台风和超强台风。。台风深圳小天超话
1696553201# #低调做实事
1695863133# #看苹果多受欢迎，反观华为，0元购一台没卖出去doge
1693873855# #东南亚媒体：华为突围,老美槌心。见到华为mate60开售后，东南亚媒体评论道：世界第一超强美国以举国之力，甚至还鼓动它的一众盟邦来联手打压和封杀一家跨国民营公司，居然丝毫不觉得不光彩。如今不但无法掐死华为，反而逼使华为绝地反击，浴火重生并变得更加强大，老美的如意算盘恐怕要落空了。。
1696142936# #风火轮，火尖枪，一模一样，一模一样！。葛曼棋女子100米夺金深圳小天超话
1688172014# #男子发表怂恿跳楼言论，警方通报！。据2023年6月29日17时许，一名24岁男子在苏州吴中区某高层建筑欲轻生。沈某(男，67岁)途经事发地，现场起哄，发表怂恿跳楼等不当言论，造成不良社会影响。依据《中华人民共和国治安管理处罚法
1689052295# #香港保安局开通微博账号。香港保安局的微博帐号今日开张了！。保安局是香港特别行政区政府的决策局之一，主管香港公共秩序。统管公共安全、出入境、海关、监狱、消防、救护、禁毒及政府飞行服务等纪律部队。职能类同于欧美的内政部或国土安全部。现任局长为邓炳强。。最直观的感受
1688742872# #如何定义男人？男人会来月经吗？来月经的算不算男人？晕了，晕了……。警惕别有用心者煽动极化情绪挑动性别对立深圳小天超话
1693744682# #这个壁咚谣言，都传到港媒上去了允悲。内地媒体已经辟谣过，本身就是短视频团队的摆拍。后来被人强行配文，造谣成深圳的外卖员被强行壁咚允悲。外卖员被女业主壁咚猥亵系摆拍
1692317181# #离岸人民币再创逾九个月低位。
1696512644# #点赞good
1691661855# #TVB财经：有分析表示，内地需要加强对房企融资的支持。。房产资讯深圳小天超话
1696490896# #印尼以保护小企业为由，禁止直播带货。社交媒体TikTok为遵守印尼政府的新规定，停止该公司在当地的网上购物服务。这意味着，印尼的内容创作者不能在Tiktok上「直播带货」。。TikTok在印尼有多达1.25亿用户。当局认为该平台和其他社交媒体的商品交易功能，威胁数以千万计的小型企业。。深圳小天超话
1699155789# #明天深圳美术馆新馆开馆深圳市民又有新的网红打卡点。深圳美术馆（新馆）将于11月6日正式开馆，系列开馆展也将于11月7日正式对公众开放，这座与城市一同成长的美术馆，即将迈入新的时代。。新馆正式开馆之后，每天开放6000个预约参观名额，市民可通过深圳美术馆公号等官方渠道预约参观。。
1699350594# #韩国男子殴打女店员，称对方短发是女权。监控显示，在韩国东南部城市晋州的一家便利店，这名二十多岁的男子在午夜时分对女店员拳打脚踢。一名五十多岁的顾客试图介入，亦被该男子殴打。。当地警方称，他之所以袭击这名女性，是因为她留着短髮，所以认为她是女权主义者。。「你留着短髮，一定是女权主义者
1696389246# #麦卡锡成美国首位被罢免众议院议长，国会进一步纷乱。美国共和党以至整个众议院内，上演一场非比寻常的「对决」，来自共和党的议长麦卡锡敌不过政治对手的逼宫，以216票对210票之差被罢免，成为美国首位被罢黜的众议院议长。。此项投票标志着共和党的内斗加剧，以及整个美国国会陷入进一步的纷乱。。麦卡
1696309314# #幸福美满的生活
1692067068# #青年人城镇调查失业率将暂停发布。自今年8月份开始，全国青年人等分年龄段的城镇调查失业率将暂停发布，主要原因是：经济社会在不断发展变化，统计工作需要不断完善，劳动力调查统计也需要进一步健全优化。
1697792538# #马六甲海峡有难？泰国拟南部建陆桥连结印度洋太平洋。泰国新总理赛塔近日在中国的一带一路国际合作高峰论坛表示，已经指示内阁提出具体的研究和执行计画，打造连结泰国南部春蓬府和拉廊府的陆桥计划。。泰国总理府发言人柴伊指出，赛塔今天在论坛中表示，泰国相信绿色发展计划对于一带一路计划是有必要
1688476641# #香港有人侮辱国旗被捕。星期一晚六时许，在港铁朗屏站对开一列悬挂在栏杆庆祝七一回归的国旗及区旗，其中两支国旗及区旗被人破坏拆毁，弃置在明渠。。警方调查后，星期二在天水围以涉嫌刑事毁坏拘捕一名36岁男子，正调查他犯案动机。。深圳小天超话
1693015148# #东京电力向日本渔民保证，会为中国禁止进口赔偿。东京电力社长小早川智明在昨日的记者会上表示，会严肃处理赔偿的问题，并表明会为中国禁止输入日本水产，对受影响业界作出适当赔偿。。小早川称：「正如我之前所说，如果禁止输入对国内的业界造成影响，我们是会给予适当的赔偿。」。他表示，在中国禁止输
1696389392# #这通报好像说了什么，又好像什么都没说。发生了什么事？
1696937006# #乌克兰吧？
1695901188# #淼哥，我也是个喜欢读书的人！
1692234968# #见到有女胖友真的买了这个鼠标垫晕。好欢乐哈哈。深圳小天超话
1697520180# #中国赞成，美英法日反对！。俄罗斯呼吁在巴以冲突地区立即停火的人道主义决议草案，16日在联合国安理会遭美国、英国、法国和日本投票反对。。俄罗斯、中国、阿联酋、加蓬和莫桑比克对该决议草案投了赞成票。阿尔巴尼亚、巴西、加纳、马耳他、瑞士和厄瓜多尔投了弃权票。。据报道，决议草案称，“联合国安
1694359513# #广东人不背这锅，广东人可爱国了，那个港毒它不是广东人！
1690447665# #蜜雪冰城卖个奶茶，也能让台湾绿媒感受到“大危机”。井底之蛙们，是多自卑啊，我就喝杯奶茶，它那动不动就危机。。蜜雪冰城黑化深圳小天超话
1691932251# #经济学家呼吁帮助碧桂园，强调一旦第一大房企轰然倒下，将冲击市场信心，攸关数千万人就业。周五晚，碧桂园于官方微博发布「碧桂园管理层致歉：化危机为生机，锻造更健康的碧桂园」一文，提到受销售与再融资环境不利影响，2023年上半年预计出现较大的亏损，当前也正承受阶段性的流动压力。。经济学家任泽
1692678017# #深圳人会特别感谢邓小平，如果不是邓小平，深圳不会是今天的样子。
1695099701# #台湾人两个玻璃心，戳到就爆。台媒报道，当外国人批评台湾两个问题时，台湾网民就会玻璃心爆炸。。一个是台积电，台积电是神圣的、不容被侵犯，有网友说「台积电世界第一，在台湾甚至成为一个信仰，你说我妈、我爸、我哥、我姐都可以，就不准说台积电。」。再来是「美食」，不少外国网红认为台湾的食物「
1699188480# #港人到深圳买相机，内地行货比香港便宜两千。自香港与内地恢復通关后，港人蜂涌北上消费玩乐，最近热潮更蔓延至电子产品。尼康推出新型号相机NikonZF，受到尼康用家追捧，香港一机难求。。港媒记者昨午在深圳的华强北，发现相机店主要代理佳能（Canon）及索尼（Sony）两个品牌，仅得两店有尼康的ZF净机
1689254403# #来来来，吃完这锅，还有一锅。。深圳小天超话
1694327635# #怪不得天涯倒闭了
1689694647# #看到台毒的倒行逆施，建国同志拍案而起！怒斥：“台湾抢走了美国半导体行业的工作”。7月18日报道，美国前总统特朗普已投入2024美国总统大选，再次角逐白宫宝座，未料近日接受美媒专访时，谈及台海问题竟突然批评起台湾抢走美国半导体行业的工作，并直言“我们早该阻止他们”。
1695979820# #台湾网友称苹果15pro发烫，引果粉不满。有台湾网友发帖抱怨，刚拿到iPhone15Pro时，先试用了一下，并把旧机的资料传到新机，在过程中手机的热度都还能接受，且他也不玩游戏，「录影只要不录4K60p就还好，4K30p录个十分钟都还行。」。倒自己的最后一根稻草，「是发现连看个YouTube都在发烫，放凉后用20W
1696157455# #打架是不对的，暴力解决不了问题酷喔，原来是外国啊？没事，你们继续……
1692258829# #广东佛山新冠变异株EG.5逐渐占流行优势。近期新冠病毒变异株EG.5感染病例在全球多地呈上升趋势，世界卫生组织将EG.5列为“需要留意的变异株”。。据佛山市疾控中心对本土新冠病毒变异监测项目显示，EG.5变异株在佛山市流行毒株中逐渐占据优势。。变异株EG.5事实上仍然是属于奥密克戎变异株家族的一员，
1689757504# #中国已不是美国最大进口国。美国数据显示，从中国进口货品价值，在今年首5个月大跌25%，份额更是15年来首次失落第一，已被两大国家超越，反映国际贸易结构正悄悄起变化。。《日经新闻》引用美国商务部的贸易数据统计，今年首5个月美国自中国进口的货值为1690亿美元，佔其进口总额13.4%，按年减少了3.3个
1698637630# #内地网红见到香港路牌感动到哭，香港网民：中二病。港媒报道，香港路牌拥有独特的文化气色，不少人都会刻意和它打卡留念，就连马路上的指示路牌都成打卡热点。。近日有内地网红上载一张路牌照，上方写着「所有目的地」，她称在香港看到这块路牌差点哭出来，更指「谁懂啊」？然而，一众好心网民解释「因为
1694835558# #租客与女房东性交三次，染HPV告上法庭索赔3万。2022年，26岁的小王与年长7岁的女房东于某在没有採取安全措施情况下发生三次性关系。之后，小王被检查出患上人乳头瘤病毒（HPV）。。小王于某是沈阳市浑南区的住户，在2022年10月13日看到于某的招租信息后，就租赁她的空房进行居住，住在隔壁房间。。「由于
1691126910# #巨齿鲨2今日上映。有趣！你们看巨齿鲨2了没？？本土中文台词好多，我记得老外看电影一般没有看字幕的习惯，这次对他们观影习惯是个挑战！你一票，我一票，小海鲜，全球绕阿哈哈哈哈
1693469721# #深圳全市将停课公布后，深圳家长的心情。
1693577688# #TVB的香港台风的新闻里，怎么感觉有些奇奇怪怪的镜头允悲。深圳小天超话
1695875340# #猪脚饭在哪？
1689082445# #疑遭到马来西亚警方钓鱼执法，一中国女旅客被控偷窃及辱骂警员。马来西亚《东方日报》接到投诉，一名中国女游客向记者揭露，她于7月9日带著12岁的儿子与女儿在内的男女，分开在柏威年商场附近的酒店门口等车。。“突然一名身著白衣的巫裔男子试图与我女儿攀谈不果后，便绕著向我和儿子的方向，我顿感不妙
1692060139# #鸡蛋价格大涨！部分地区涨价超40%。近期价格出现了一定幅度的上涨。期货方面，鸡蛋主力合约7月中旬以来震荡拉升，至今已涨超5%；现货涨幅更大，部分地区涨幅超40%。。山东青岛一家养殖场负责人介绍，在四五月份每生产一斤鸡蛋就要亏损4毛钱左右，现在每卖1斤鸡蛋可以赚八毛钱的利润。近期尽管、价格有了
1690423885# #老兵不死，永远是最可爱的人
1693229812# #中国与新加坡8月底至9月中旬举行联合军演。国防部公布，根据年度计划和双方共识，中新「合作-2023」陆军联合训练将于8月底至9月中旬在新加坡举行。。此次联合军演主要进行狙击战术、近身格斗、解救人质等课目训练，旨在加强两军务实合作，提升双方部队实战化训练水平。。中新两国2009年首次举行名为「合作
1693212469# #我才刚二阳完，身子还挺虚的。因为新冠“不算大病”了，所以工作一点没落下，血压还在高压徘徊。。一秤体重，这几天胖了4斤！不能三阳了啊，三阳那真要肥成猪了。。30日起来华人员无需核酸或抗原检测。8月28日，外交部宣布，自2023年8月30日起，来华人员无需进行入境前新冠病毒核酸或抗原检测。
1693585139# #深圳台风追风者。敬业的记者小哥，。也不得不在风中凌乱了。。不知道摄影师小哥怎么样呢。。台风苏拉
1690702387# #AI版恐龙扛狼，好洗脑允悲。上周在福建和工友们交流的时候，就给工友们看恐龙扛狼，让大家猜出处。。深圳小天超话
1693133154# #三十年后的日本渔民日常生活。。福岛真相深圳小天超话
1689389538# #港毒分子侮辱国旗被判18天。香港警方去年10月3日巡经土瓜湾上乡道时，发现一幅国旗及一幅区旗怀疑被人扯下，事后拘捕一名职业为平面设计师的港毒分子。他早前在九龙城裁判法院承认侮辱国旗及侮辱区旗两项罪名，今日（14日）上午被判处监禁18日。。裁判官判刑时指，被告破坏国旗行为是侮辱自己，考虑到被
1695265779# #美国公园现无上颚鳄鱼。美国佛罗里达州一女子散步时发现一只没有上颚的鳄鱼，下颚和舌头完全没有遮罩，直接露在外面，肯特意识到牠应该是受到重伤，立即联络野生动物保育组织前来救助。野生动物康復师帝特林顿接获通报后与动保人员迅速赶往现场，帝特林顿表示，这只鳄鱼受了非常严重的伤，虽然平时野生
1695266170# #这鱼是不是中东进口的？看起来很有钱的样子。。深圳小天超话
1694842416# #上周在内蒙旅游时，大巴走边境公路，旁边有整齐的军用帐篷，导游提醒我们可以看但是不能拍摄，因为可能涉密。
1696134291# #15块钱的烧鸭腿饭+15块钱的大杯柠檬鸭屎香，学校饭堂性价比还是很不错的。
1698986808# #日媒称中国租借熊猫为坑钱，已赚2.8亿美元。《日经亚洲》报道，中国租借熊猫的经济成本是每对年租100万美元，预计中国收益已超过2.8亿美元，反之各国损失已近3亿美元。。《日经亚洲》指出，自2014年以来，中国政府已向海外派遣了21只大熊猫，其中13只前往欧洲，平均租赁期间也从先前的10年延长至15年。同
1698074244# #欢迎平原公子回来
1691054392# #一哭二闹三上悠亚。日本爱情动作女演员三上悠亚今日领军超过30多位「D杯女神」在台出席「TRE台北国际成人展」。。记者会，被问到最近有学习什么中文？三上突然说起谚语，称还记得「一哭二闹三上悠亚」，笑说这段话是台湾粉丝为她特别想的，只觉得既开心又好玩。
1695436146# #哇，这手机手感真好doge
1688552052# #美国庆日枪声四起，各州连爆枪击案多人死伤。美国在国庆日前的周日起不断传出重大枪击案件，当地时间週日（2日），巴尔的摩一个街区派对上发生枪击事件，有人在一场大型街头派对中连续开枪，造成2人死亡、28人受伤。。周一，费城一名身着防弹背心的全副武装枪手在街道上开枪，造成5人死亡，2名男孩受伤
1692110764# #上半年，我国汽车整车出口量首次超过日本，跃居世界首位！
1690192260# #一个会看镜头的狮子杯送花花。带着这杯子去过喀什、重庆、浙江，今天带他去看看福建。。深圳小天超话
1690618770# #马达西奇公司，乌克兰工业之光，当年的苏联建设的飞机发动机生产商，曾经有“苏联航空工业的心脏”的美称。。乌克兰之前的政府和中国关系不错，那个时候中国曾给乌克兰政府打了笔巨款要收购马达西奇公司，乌克兰已经同意了。。但泽连斯基上台后全面倒向美国，在2021年2月直接撕毁前任政府签署的合同，没
1694959263# #深港「反向代购」泪与汗：搬两大箱挤港铁跑匀全港，。转自：陈一花。粤港澳大湾区深圳小天超话
1695365210# #除了刷脸支付，以后还要推刷掌支付了吗？。这个好玩。。深圳小天超话
1696301628# #今日份崩溃
1693041485# #前天一条杠，昨天熬了个24小时班，怎么又变回两条线了呢？泪。虽然很淡，但还是两根啊。二阳的7天了，还是有病毒。。怪不得血压还是没有正常，还是高血压。。新冠三阳的人开始陆续出现深圳小天超话
1692110956# #家常菜：番茄肉酱饭。看起来，小朋友会很喜欢吃。。美食分享深圳小天超话
1694359418# #这个国家怎么了？学校医院，甚至机场都被爆出豆腐渣工程！。英国「豆腐渣」危机延烧，继学校因使用气泡混凝土兴建面临倒塌风险要遥距开学，最新发现人来人往的希思路和盖特威克机场也有使用这种建材。希思路机场表示正在採取「补救措施」以减轻任何安全风险，盖特威克机场则表示正在监控受影响地区。。英
1695101460# #4年来唯一一次年假的最后一天，再去看场电影吧。。深圳小天超话
1692009428# #工人不足，天气太热，台积电4nm美国厂延期。台积电决定在美国兴建4nm及3nm先进制程晶片厂，其投资规模由原本的120亿美元一举跳升到400亿美元，并将为美国创造更多的工作岗位。。不过近期台积电抱怨美国熟练工人不足，引发了当地工会抗议。当地工会不认同台积电的说法，并公开对外放话称台积电只是想引进
1695685304# #井底之蛙，以为太平洋象井口那么大吗？。台湾省自制潜艇，在1米水深不知道会不会溺水。。深圳小天超话
1694129539# #深圳罗湖区企事业单位和居民停工一天的紧急通知。9月7日至8日，深圳市受到了超历史极值的超强降雨影响，暴雨红色预警信号仍在生效中，罗湖区多个路段产生较深积水，交通疏导工作正在紧急处置当中。根据当前气象和交通条件，经研究决定罗湖区企事业单位和居住在罗湖区的居民停工一天。。深圳市罗湖区防汛
1690715030# #越南小姐。2023年越南世界小姐决赛上周六（22日）晚上在越南平定省举行，40名佳丽角逐冠军宝座，最终由黄陈伊妮（HuỳnhTrầnÝNhi）勇夺越南世界小姐冠军殊荣，河内商业技术大学22岁学生陶氏贤（DaoThiHien）夺亚军，胡志明市农林大学工商管理专业19岁学生黄明坚（HuynhMinhKien）则夺季军，惹
1691339325# #少年的回忆。用过这本书的，现在也人到中年了吧。。背着车贷房贷，上有四老，下有二小的你，走到35岁门槛，头顶渐秃，身材日渐臃肿，体检时各种不严重到烦人的小毛病是不是多起来了？。曾经少年，也逐渐老去了……。曾经的少年已不再年少深圳小天超话
1699540544# #经典回忆，你用过这款手机吗？。没用过的话，身边一定有人用过。。20年前诺基亚的地位，不亚于今天的苹果。。诺基亚手机
1695963204# #技术性离婚衰又从港媒学到新名词了
1696332838# #记得前几年深圳有个调查，幸福感最强是月入一万出头的人，因为再高的人就会考虑买房，然后又幸福感下降了。
1694795673# #苹果突然改口服软！。法国负责数字化事务的部长级代表让-诺埃尔·巴罗15日表示，苹果公司承诺在未来几天内更新在法国销售使用的iPhone12手机的软件，以使其符合欧盟标准。。苹果公司此前曾否认产品辐射超标，称iPhone12已获得多个国际机构的认证，符合全球辐射标准。。巴罗当天在社交媒体发文说，自从决定
1688533685# #美国当局指7月3日是地球上有记录以来最热的一天。美国传媒报道，根据缅因大学的分析数据，地球表面以上2米的全球平均气温，在7月3日达到摄氏17.01度。。加州大学的学者指出，极端高温是气候变化和厄尔尼诺现象的结果，厄尔尼诺可能导致美国北部和加拿大部分地区变得比平常更温暖和干燥。学者警告，预计在
1695300019# #中老柬铁路意向已经落地了，泰国马上也会跟上。本来这事越南是优先方向，它不本分总想着大国之间玩平衡，结果就是把事情搞黄了…深圳小天超话
1690458861# #汕头潮州全域高速封闭！。受台风“杜苏芮”影响，汕头、潮州市已启动防台风一级响应，公安交警部门即时对汕头、潮州全域高速公路进行封闭！请行经或前往上述地区车辆尽快就近驶离高速公路，客货运等其他车辆请勿前往台风影响地区。。台风杜苏芮深圳小天超话
1694013348# #下一步，美国要封锁中国什么好？。封锁中国足球吧……求你了……
1697300291# #看起来不是很复杂，匈牙利原来是这个风味。
1690153570# #港府收高尔夫球场建公屋，球场向公众开放称希望保育土地。预计今年9月1日收回的粉岭高球场「旧球场」1至3号洞今日起逢周日下午1时至晚上9时向公众开放。。球会表示乐意配合政府9月收回地，会尽最大努力保育该片珍贵的土地。该处有许多珍贵草种、树种及生态，球会多年来一直保育，强调乐意亦有信心将这些
1692691461# #印度称其5年共1.35亿人脱贫。印度总理莫迪在印度独立节(8月15日)宣布，近5年印度有1亿3500万人脱贫，顺利成为新中产阶级，同时莫迪亦对中产阶级施行减税。。印度媒体称，过去在印度总理莫迪的「印度制造」计画下，手机产量突破20亿支大关，截至2022年底，年复合成长率达到23%。除了受到
1693550691# #中国禁运日水产事件，美大使：美国将支持日本！。美国驻日本大使易曼纽访问福岛时告诉媒体记者，如果中国全面暂停进口日本水产品的问题升级为世界贸易组织（WTO）争端，美国预料将支持日本。。易曼纽表示：「如果日本决定採取这项举措（指向世贸组织提出申诉），美国将会支持（日本）。这不仅是因为日本
1695216961# #苹果测试：iPhone15Pro钛金属边框出现褪色。9月13日苹果举行iPhone15系列发布会后，有外媒分享影片，发现iPhone15Pro首次採用的钛金属边框有疑似掉色及吸指纹问题，引起热议。。一条网友测试视频可见，一部蓝色钛金属配色的iPhone15Pro有褪色问题，其ActionBottom、音量键的边位，蓝色明显变淡
1695209997# #中国研制超级电池获突破。《海军工程大学学报》9月版上的研究论文说，中国已为高能武器研制出世界最强的电池，并可以在境内多家锂电池工厂量产。。电子科技大学副研究员杨家伟领导的团队在研究报告中说，40165电池可能是世上第一个像超级电容器般，能快速释放能量的电池。由于相关技术受到美国政府制裁，
1697266327# #蜡烛
1694092340# #请暂勿前往，龙岗中心城！。深圳市气象台19时15分发布，深圳市分区暴雨红色预警，龙岗中心城存在严重内涝风险，请暂勿前往！。深圳暴雨深圳小天超话
1698055246# #黑
1691998328# #男子要女孩微信被拒后对其爸爸动手视频警情通报。近日，一则内容为“男子要女孩微信被拒后对其爸爸动手”的视频引起网友热议。13日，沈阳铁路公安局长春公安处发布警情通报，该视频系抖音用户编造杜撰，已对其处以行政拘留5日并处500元罚款的处罚。。深圳小天超话
1688550745# #香港一起杀婴案，母亲判两年感化令。去年3月4日清晨，当时41岁被告梁嘉仪到深井一条行人天桥，将只有16天大的女儿抛落离地7.5米天桥下，女婴送院不治。案情指被告照顾初生女儿有焦虑，案发前一日曾向丈夫提及想自杀或杀死女儿，丈夫劝她放松。。法官杜丽冰信纳被告犯案时未有从产后的压力復原，形容案件
1692671874# #医生多次拍打数名女下属医生胸部，被判除名半年。香港麻醉科医生何健明多年前于北区医院任职期间，被指对3名女下属作出猥亵行为，包括未经当事人同意之下，多次拍打不同女下属的胸部，甚至触碰其乳头位置。。被告与其中一名投诉的女医生共同参与一个手术，何健明以主管身份观察及进行指导。根据该名女下
1694833389# #香港网友评价深圳社会治安：好正。香港某粗心网友发帖，表示在深圳，行李箱没装上车就跑去吃饭了，三个小时后回去找，行李箱居然还在，而且有人帮忙放好到路边！感觉好正。。粤港澳大湾区深圳小天超话
1690199063# #深圳企业避免了一次重大损失！比亚迪印度建厂计划遭否。据印度《经济时报》22日报道，印度工业和内部贸易促进部拒绝了中国汽车制造商比亚迪与印企合作在印度建设电动汽车制造工厂的提案。。此前，路透社曾在报道中透露，比亚迪已向印度提交了一份10亿美元投资的提案，计划与印度基建巨头梅加公司合作，在
1692197766# #16岁女儿逃家一日约会男友，遭狠父砍死绑车尾拖尸游街。据《印度斯坦时报》，事件发生在8月10日。一家住在旁遮普省的辛格共有5个孩子，四女一男。被杀害的女儿是他的第三个孩子，正在辍学。。辛格的母亲忆述，死者于今月10日在未告知家人的情况下逃家，与男友约会完后于翌日回家，她的父亲暴怒失控，不断
1691231671# #香港新民党党庆，党主席：党内议员尽责履职为民发声。香港行政会议召集人、新民党主席叶刘淑仪表示，国家和平崛起令全球管治秩序发生变化，香港过去一年进入由治及兴的新阶段，在特首李家超强而有力的领导下，全部官员励精图治，做了大量工作。。叶刘淑仪在新民党12周年党庆典礼上致辞表示，特区政府过去
1699774661# #福布斯中国富豪榜，钟睒睒再夺首富。福布斯日前公布2023年中国内地富豪榜，农夫山泉创办人钟睒睒以601亿美元净资产，连续第三年成为中国首富。。抖音母公司字节跳动创办人张一鸣亦婵联第二位。第三位则由去年第九位的拼多多创办人黄峥夺得。。榜单首十位的富豪当中，榜首钟睒睒身家由623亿元减至601亿元，
1698298026# #真想去现场看看。。去不了现场的小伙伴，和我一起看视频吧。。神十七发射圆满成功
1694254983# #东南亚国家米价开始随着国际米价上涨了。。深圳小天超话
1699352290# #台毒就是不敢承认玉器是哪里制造的😏。新石器时代的东南亚跟台湾哪有制造玉器的能力？全世界当时能制造玉器的地方也只有数处，通通都在中国大陆，玉器就是从这里交换到台湾跟东南亚的，承认这个客观事实特摩的那么困难吗？
1698580062# #这是什么城管？抢鱼就算了，还有手铐？
1690161162# #1970年，在印度新德里出现了小飞象。。印度仿自法国云雀III型自制的Chetak直升机，在国庆日阅兵时将外观装扮为大象飞越印度总统府前的国王大道。。深圳小天超话
1697428612# #为什么觉得第三个，那么像我在工地的日子衰。就我一个人在干活
1696562075# #在台媒里，大陆网友又崩溃咯。天天崩啊日日崩。。深圳小天超话
1688388479# #蔡徐坤道歉后，多个品牌已清空相关微博。日前，歌手蔡徐坤被爆料因与一女子发生一夜情导致其怀孕并让其打胎，此事引发网友关注。时隔多日，蔡徐坤才于今（3）日发了一则回应：与C女士有过交往，不存在涉未成年人和强制堕胎。。而在昨（2）日，就有网友发现央视频、央视新闻APP，央视网等平台下架了歌手蔡
1689477320# #两种模式。。要么东西德模式，西边和平把东边吃了。。要么南北越模式，北边武力把南边吃了。。不知道，台湾喜欢哪一种？。深圳小天超话
1693751335# #超强台风无阻港人北上消费。。据出入境处数字，周六北上港人数字虽然较一般周六约20万人次为少，只有约7万人次，但已佔约两成，昨日挂8号风球时，星河COCOpark到处都有港人踪影。。最多港人经罗湖口岸北上有2.9万人次，其次为落马洲支线2.3万人次，香园围有7154人次，深圳湾亦有6074人次。。有香港家长趁
1691230926# #【中华环保联合会正式成立】8月5日，碳普惠专业委员会在北京正式成立。来自政府和相关领域领导、专家学者、社会组织、企业代表等各界人士，齐聚一堂，共同见证碳普惠专委会的成立，并围绕碳普惠主题展开研讨。绿色低碳普惠人人数字碳中和碳普惠专委会
1691031667# #亚视一姐阿仪宣布恋爱。与“香港顶流”并称卧龙凤雏的香港“亚视一姐”薛影仪，曾公开5大择偶条件，包括：金融才俊、温柔体贴、专一、长髮，以及要送太阳花。。不过，她在社交平台更改恋爱状态，变为「恋爱中」，再次震撼了一众男粉丝的心。有讨论区流出属于阿仪的对话，阿仪称只是单恋，未有拖手，又拒
1689262973# #为什么马斯克说自己亲华？。马斯克12日说“我有点亲华”。你一个好端端的美国人，在美国反华为政治正确的大环境下，为什么要做这种“掉粉”的事？。说白了，还不是因为中国让他赚到了钱？因为金钱的力量，能改变人的世界观，所以之前马斯克也公开支持过两岸统一。。反之，脸书那个扎克伯格为什么之前说那
1688524902# #又一个独立王国
1693628114# #深圳解除全市范围内停课停工等「五停」措施。深圳市防汛防旱防风指挥部表示，颱风苏拉凌晨在广东珠海南部沿海登陆，强度逐渐减弱并远离深圳，市气象台在今早8时15分将颱风红色预警信号降级。经市委、市政府研究决定，早上8时15分同步在全市范围内，解除「五停」即停课、停工、停业、停市和停运措施。
1695795839# #不是新冠那年已经被老婆的健身教练绿了吗？全世界都知道啊衰
1691605525# #华润万家联合利华
1695802177# #本深圳居民还没吃上大闸蟹泪
1699860060# #原来我吃饭时，还用过航天产品晕。我怀疑这是个植入广告，只是代言人比较牛憧憬
1688657645# #111.1粉，光棍节，纪念一下。。深圳小天超话
1692869973# #日本公然对全球生态进行巨大破坏，。也不知道那些在美西方的环保斗士去哪了。。日本核污染水排海正式开始深圳小天超话
1698555261# #这动画，同时也是美国和印第安人的故事。。美国印第安人哭诉被强迫与父母分离
1693113958# #盒马打价格战，港人涌深圳门店扫货。阿里巴巴旗下的「盒马」与美国超市品牌「山姆Sam会员店」因为一块榴槤千层蛋糕，拉开「价格战」。。继上海、北京之后，8月21日，盒马将「价格战」打到广州、深圳、武汉等13个城市，并推出「移山价」。盒马表示，要发挥「愚公移山的匠人精神」，缩短与世界领先零售企业
1695090805# #看起来很好玩，我还没去过绍兴，有机会要去玩玩。
1698110066# #港女嫁台男，母亲担心要耕田。台大地理环境资源学系教授黄宗仪在台北一个讲座分享她近年对嫁去台湾的香港女姓的调查，指这些港妻处于夫家及娘家对两岸三地矛盾价值观的夹缝中，夫家觉得媳妇是「陆配」想淘金，港女娘家则不愿女儿嫁到「落后的台湾」，甚至担心女儿要下乡耕田。。在一些港妻娘家眼中，女儿
