1697630857# #外媒称浸信会医院遭袭已致至少500人死亡看着真惨。。。
1695385858# #据菲律宾OnePH电视台昨天报道！。尼诺阿基诺国际机场一名要离境的中国游客过安检时一名女安检员来检查他行李，随后中国游客发现行李里的钱包被打开.丢失钞票.。机场进行调查，根据机场监控.一名X光操作员给了安检员一瓶水.安检员转身用水吞下盗窃的美元.。她一共就着水吞下了300美元
1697962644# #10月20下午三点，江苏常州西太湖水域附近，黑色suv爆胎滑落，情况危急，在附近的赛艇前国手挺身而出，上演教科书式水上救人。
1702207501# #美国财政部：使用中国电池的电动汽车将不享受免税。台媒体人：电池产量和技术都在大陆手上台湾
1697550955# #小学生用“鼻息能量棒”称越吸越上瘾，店主劝说不要吸：怕毒死你们
1695970546# #训练场响起国歌，吴艳妮停止训练行注目礼
1696251815# #马英九星期一（10月2日）在脸书发文，宣布不出席今年的双十节大会，这将是他40年来首次缺席。。马英九解释不出席的理由是，从前年开始，蔡英文政府将双十节的英文名称改成“TaiwanNationalDay”，是不折不扣的“台独”路线，因此他决定拒绝出席今年的双十节大会。“我要告诉台湾人与世界，为了台湾的
1702048864# #印度买下中国8台盾构机，本想偷学技术，却发现竟不会组装台湾
1703236460# #布拉格的查理大学发生枪击事件，造成至少15人死亡、24人受伤。蔡英文赶紧发去慰问
1694856142# #欢迎来到加利福尼亚。
1703521519# #张靓颖长沙演唱会，穿着露肩礼服，被虫子爬到皮肤上吓的当场尖叫
1696759894# #黎巴嫩和以色列边境局势恶化的画面出现。。最新消息显示，真主党运动已宣布参与对以色列军队阵地的袭击。作为回应，以色列炮兵袭击了黎巴嫩领土。
1695471929# #一名前往韩国旅行的日本女子相信通过约会应用程序认识的一名韩国男子，她的双手被绑住并遭到殴打。。。
1693986554# #你从什么时候开始意识到中国正在逐渐变强的呢？
1695658116# #刘女士在婚恋网站上认识了男子林某，见面后很快确定了恋爱关系。林某以帮刘女士驱邪为名，帮刘女士介绍了一名道长，并借机索要钱财，先后从刘女士处拿走200多万，经家人提醒，刘女士感觉到不对后报警。民警介入调查发现林某真实身份其实姓王，他还在某小区分别与2名女子同居，2名女子互不认识。王某告
1702305231# #林郁方：日本韩国越南都在保留中华文化台湾课纲却删掉经典古文台湾
1703774956# #这照片看上去总觉得哪不对劲
1703070884# #郭正亮：民进党在WTO当众说谎，本身对大陆不公平的ECFA，大陆停掉ECFA台湾无话可说台湾来源台媒
1694014940# #这也叫尺度大？杨丽萍新舞再被批尺度大
1697732479# #一名巴勒斯坦男子在加沙的家遭到轰炸后失去了妻子和孩子。巴以冲突
1699597240# #加沙救援人员抢救埋在瓦砾下的小女孩，并一直对她说到：“你很强，你很强”
1702139822# #美议员称中国大蒜构成国家安全风险郭正亮：水平可以低到这程度台湾
1697125326# #美国国务卿安东尼-布林肯在与以色列总理本雅明-内塔尼亚胡会晤后向新闻界发表简短讲话时说：“至少有25名美国人在哈马斯对以色列的袭击中丧生。“巴以大规模冲突进入第五天
1697975249# #赖岳谦：台湾已无谈判筹码！两岸统一后台湾省肯定没有军队！
1701242498# #台退将：大陆歼-16D电子战飞机一来，台湾所有雷达都不能用了
1694594679# #新加坡前外交部长杨荣文在台湾长风基金会主办的“亚太千里论坛”上表示，一旦台海发生战争，美国若派兵就是实质上和大陆交战，因此届时台湾只是一个可以被牺牲的棋子。他相信时间不在台湾这一边。。杨荣文称蔡英文不会跟大陆会谈，因为民进党的党纲就是要“独立”
1699456328# #埃及一个反以色列集会上，民众在狗身上贴以色列国旗。巴以冲突
1695038181# #青岛一些公厕改为扫码取纸，有的要先关注公号，再看30秒的视频广告，一天3次免费机会，每次出纸80厘米
1696251249# #香港维港上演国庆烟花10月1日，为庆祝中华人民共和国成立74周年，香港特区政府于晚上9时在维多利亚港上空举行国庆烟花汇演。这是香港国庆烟花汇演在阔别五年之后的重新回归。
1703942879# #科目三风靡到韩国了
1697296971# #以色列总理内塔尼亚胡对以色列士兵说：“你准备好下一步了吗?”以军称将对加沙地带发起强力进攻
1702461166# #菲律宾总参谋长和司令登仁爱礁破船赖岳谦：配合美国指令做事
1694864496# #抗议特鲁多的人群被警卫拿下
1696428335# #中国男篮不敌菲律宾男篮丢人
1696005039# #国庆680元房间被平台悄悄改成2780元，民宿老板吓一跳表示完全不知情，现已下架
1702896432# #国产C919亮相香港台退将：在发动机和产能上还有很多提升空间台湾
1697349087# #哈马斯发布了一段预告视频，嘲笑以色列军队即将发动的地面入侵。。视频的标题是：“这就是当你进入加沙时等待着你的。”巴以冲突不断升级面临失控风险
1703906286# #台湾大陆生活最大差异是什么？一名台湾网友日前分享，他曾在中国大陆生活过一段时间，发现两岸在工作步调上相差甚远，觉得台湾人做事真的很慢
1696060776# #杭州亚运会乒乓球男双1/4决赛，梁靖崑林高远2比3台湾省庄智渊林昀儒。。绿蛙又要吹上天了
1695972768# #“润”去美国的人，嫁给外国人，刚生完孩子就要自己出去打工，上班饿到饭都没时间吃，上班回到家还被外国老公骂
1703690011# #来自纽约和伦敦的两名黑人妇女与在巴厘岛的一家美甲沙龙好像要“霸王美甲”，与工作人员发生纠纷。于是被印度尼西亚当局逮捕，并让她们穿着囚犯服装在镜头前游街示众。
1694589945# #台湾网民看完苹果发布会后满屏幕都是嘲讽Type-C的
1697381000# #国美APP抽奖弹窗辱骂黄光裕兄妹近日，有网友爆料国美APP，幸运抽奖页面，点击抽奖时，弹窗出现辱骂国美电器董事长黄秀虹和国美创始人黄光裕内容，疑似不满国美“拖欠工资，拖欠货款”国美客户端现辱骂创始人弹窗
1693622727# #郭背信宣布参选，街访台湾人：明知道选不上还来捣乱。
1695639105# #台湾省这还没下水的潜艇都吹上天了
1700658189# #“科技战”华为、比亚迪突围而出。郭正亮：美政客跟不上时代台湾
1697037486# #美军物资已经抵达以色列境内
1696419841# #在泰国商场韩国美女直播时发生枪击事件泰国一商场发生枪击案已致3人死亡
1697631223# #美国阿肯色州长称要驱逐中国公司。。。
1701495631# #印度要建8艘13000吨驱逐舰，遭台媒体人“群嘲”台湾
1694525383# #一口棺材、一张美国总统的照片以及“秃头拜登的石棺”的铭文车辆在马路行使！
1695138349# #台湾媒体称：台海巡署14、18号又扣押大陆渔船及船员
1697714414# #人民币超越欧元，首次成为全球贸易第二主要货币。人民币在国际支付中的占比从2023年8月的4.82%上升至9月的5.8%，创有统计近5年来的最高水平。美元仍然保持第一的位置——9月份其在贸易结算中的份额从一个月前的83.95%上升至84.15%。
1696954720# #这就是加沙正在发生的事情。。。巴以冲突已致近1700人死亡
1694598046# #连战神奎托斯（Kratos）都来0元购了！
1696853762# #桂公公对巴以冲突的见解
1699548790# #很多巴勒斯坦人正在按照以色列说的安全走廊离开加沙地带。。他们不管大人和儿童，都高举双手和白旗，确保不会被以军枪杀。。白宫国家安全委员会发言人表示，以色列已同意自9日起，每天实施4小时的人道主义暂停。以色列将提前至少3小时来公布暂停的窗口期。此外，以色列还打开了第二条供平民逃离的走廊。
1694320772# #立陶宛驻日本大使吃福岛黄瓜表达对日本的“支持”。
1695211755# #印度大师二哈
1695642358# #台媒：台军向美国买的刺针导弹，已经催了11次还没发货。
1693987559# #澳大利亚驻日本大使馆工作人员集体吃福岛海鱼二哈
1703855013# #呆弯人喜欢说什么关我们P事
1694700164# #韩国统一部部长金英浩14日呼吁俄罗斯与朝鲜不要进行军事交易与合作。金英浩还表示朝鲜的核武器发展只会引发韩国、美国与日本更强烈的反应。
1697248313# #纽约时代广场上到处都是巴勒斯坦旗帜和巴勒斯坦支持者
1694429626# #台湾道路淹水，30多人受困，2人死亡。
1695216955# #从上海到台湾生活的比利时网红，被台湾省绿营媒体“抹黑”，气坏了
1703602608# #台媒体人介文汲赞叹：大陆高价位电动车现在能对标劳斯莱斯台湾
1695217155# #台湾新北，熊孩子对老人发脾气砸东西，妈妈在旁边任其发挥。
1694007532# #绿蛙：美国人初次移民美国，因为有原住民帮助所以才有感恩节二哈
1703412256# #人家就过个生日而已！！。但是Google翻译你一不小心暴露了你的内心期待
1695987130# #独行侠球星欧文：“大英博物馆是时候将这些被盗的文物还给它们应属的社区和部落了。所有的祖先都在等待。”
1701014149# #蔡正元讲趣闻：美军航母的战机阻拦索都是中国公司做的台湾福建号
1697384297# #真主党成员在阿迪萨村的黎巴嫩边境向以色列监视设备开火。
1696679473# #10月6日，江苏盐城。一女子蹲在路边摸陌生狗，被咬得满脸是血，崩溃大哭。
1702639464# #台媒：仰望U8在欧盟碰撞数一数二比亚迪推出高端车进军欧洲日本台湾
1694833446# #《国会山报》文章“中国武统台湾时别掺和”，作者是美国智库“国防优先DefensePriorities”的高级研究员戴维斯DanielL.Davis。。戴维斯警告：美国若因为台湾跟中国开打，最好的情况是，严重削弱美国国防的能力；在最坏的情况是，导致一场互扔核弹的战争，美国所有大城市都被摧毁…。“这个岛上没有东
1694519043# #日本外务省大外宣，称有36个国家及国际机构，支持福岛核污水排海
1697200639# #被哈马斯扣为人质的以色列人被投射到纽约联合国总部大楼上，上面写着“哈马斯是伊斯兰国”。以色列巴勒斯坦冲突
1697464730# #加沙遇难者尸体北集体掩埋。
1697792571# #以色列总理内塔尼亚胡在其官方账号上发布了一段视频。“我们和勇士们在一起，我们已经准备好了”
1697543543# #10月16日，广东广州。有网友爆料称天河区猎德小区，一位外卖小哥被一名安保人员按在地上捶打头部，被打得痛哭。
1697730912# #美国一票反对致安理会未通过巴以问题决议草案联合国安全理事会星期三（10月18日）就巴西提案人道停火以援助加萨居民一案进行表决，结果12票赞成、2票弃权，美国动用常任理事国否决权表态反对。
1697735877# #数千名示威者涌上纽约皇后区街道，支持巴勒斯坦，这是自巴以冲突爆发以来该市最大规模的抗议活动之一。
1697728815# #花鼓戏女演员演出时遭2男子上台非礼10月17日，湖南长沙。花鼓戏女演员演出时遭2男子上台强抱非礼。当地派出所：警方将安排双方协调解决
1697464295# #美国财政部长耶伦表示美国有能力承受另一场战争巴以冲突
1696485544# #绿色环保人士砸场子，破坏话剧《悲惨世界》现场
1694780798# #日本新外务大臣上川阳子14日在她上任后的首次记者会上表示日本与中国要保持对话，解决双方共同面对的问题。
1694236181# #2017年12月21日，美国男子迈克尔·罗哈纳（MichaelRohana）潜入费城富兰克林博物馆，折断并盗走一尊正在展出的中国兵马俑的拇指。虽然后续被盗拇指被找回，这一事件仍引起广泛关注。据美国《世界日报》报道，当地时间2023年9月6日，美国费城联邦法院地区法官肯尼（ChadF.Kenney）判处罗哈纳五年缓刑
1697947918# #纽约警察驱散暴打巴勒斯坦支持者巴以冲突
1697124455# #加沙的战地记者现场实拍，完美呈现什么叫“夷为平地”。根据媒体报道，以色列空军飞机摧毁了加沙超过22639所房屋、10个医疗机构和48所学校巴以冲突升级
1703761250# #黎少康
1700892604# #中国人不吃这一套，郭正亮：大陆近10年的发展有底气讲出这句话的台湾
1696141118# #台湾省喜提乒乓球男双铜牌
1696936866# #特朗普的儿子埃里克·特朗普在社交媒体上发表。“下一个是台湾。”。“我们看到的每一场全球冲突都是美国领导力软弱的结果”
1703691005# #12月26日，有网友发布视频，称安徽合肥一奔驰4S店展厅门口停放的奔驰电动汽车起火。从视频可以看到现场火势非常大，甚至引燃了旁边另一台电动汽车，消防人员到场后将火扑灭，但起火原因尚无定论。
1697455454# #加沙地带遭受冲突开始以来最猛烈的袭击。
1701866931# #NASA申请研究中国月壤样本台教授质疑美国到底有没有登陆过月球台湾
1703840367# #国民党不分区“立委”拍摄宣传照
1701178654# #郭正亮：中国喜获天上掉下来“礼物”，汽车出口俄罗斯大涨台湾
1702738630# #中国自主研制的C919大型客机16日上午在香港维多利亚港上空进行飞行演示
1697346646# #以色列轰炸后的加沙尸横遍野巴卫生部门：以色列空袭加沙又致至少300人死亡
1696862945# #巴以本轮冲突双方伤亡人数已超6000据巴勒斯坦卫生部门当地时间9日最新消息，以军的空袭等行动已经导致508名巴勒斯坦人死亡，超过2800人受伤。
1694238162# #土房哥：大陆现在“没钱了”只能派无人机来围岛台湾
1703780119# #彭博报导指比亚迪很可能在今季，超越特斯拉Tesla，成为全球电动车销量最大的公司，反映全球电动车市场进入转折点，亦都进一步证明中国在全球汽车行业的影响力日益增长。
1703606923# #纽约路怒症
1694615187# #宁波一男子进小区停车不到两小时收费显示4000多元？倒一下车又多出2000元！后续:报警处理后才被放行
1694180312# #蔡英文的狗腿子又在瞎吹了
1702122198# #台湾首款本土电动汽车开售台主播信心满满呼：要“超越”特斯拉、比亚迪二哈
1695032231# #武汉往返台北直航航线今日（18日）复航赖岳谦携妻周玉琴首来武汉：一路上我用华为手机拍了好多照片！（来源：台海时刻）
1697031492# #以色列人们在家里鼓掌并唱“希望”（以色列的国歌）
1702301492# #谢寒冰：美国电磁炮失败大陆却可连续发射120炮弹而保持精度台湾
1696060407# #昨日台湾海巡署“扣押”大陆渔船，大陆渔民接受台湾媒体采访时称：大家都是同胞，为什么会这样啊？
1696427691# #日本东京的大久保公园，路边全是站街女
1697539655# #加拿大军机不远万里到中国家门口滋事挑衅10月16日，加拿大一架CP-140巡逻机执行所谓的任务，结果被我中国空军J-10S挂实弹拦截。
1703772570# #吉林一男子在面馆用餐时偷向面里放牙签，欲敲诈老板200元被识破。该男子被识破后竟然下跪求饶。
1697856280# #印度一村庄发现蟒蛇！它吃了什么？
1697804837# #哈马斯卡萨姆旅展示了他们用来瞄准以色列国防军车辆的无人机
1694536760# #美国极左翼活动分子，闯入了众议院议长凯文·麦卡锡的办公室，要求通过总统的艾滋病紧急救援计划，此后这些抗议人士被捕。
1695525614# #昨日9架解放军飞机和8艘解放军舰艇台湾省周边巡航
1701188639# #郭正亮表示：希望明年到大陆看看电动车，因为台湾看不到台湾
1697035153# #BBC记者杰罗米·鲍文在以色列的报道，全篇站的几乎都是以色列的角度。
1703168217# #王局开吹
1694693362# #吴钊燮在推特发文骂马斯克
1696864072# #加沙被以色列攻击第三天，最新视频，一篇废墟以色列宣布全面封锁加沙地带
1696853175# #这是在以色列的中国网友拍摄的，他们的工地来了两个警察拿着枪盘问，主要是查阿拉伯人
1695633632# #刘德华非凡大师！！华为新一代高端手机品牌“非凡大师”代言人刘德华现身华为发布会！
1697713719# #普京表示向加沙运送27吨人道主义援助物资
1696603569# #今天纽约八大道第六街有人企图抢劫华人水果摊.摊主和居民与嫌疑人搏斗后刺伤他.随后警察赶到
1694015437# #家里长辈品尝“酱香拿铁”，反应太真实了笑cry
1697043604# #马斯克表示，特斯拉电动汽车充电站将在以色列各地暂时免费
1702731008# #大陆094战略核潜艇噪音小速度快帅化民：对美国是“重大威胁”台湾
1694530737# #赛后叙利亚男足工作人员来到场边谢场合影，赢得了中国球迷的欢呼与掌声。国足0比1叙利亚
1694879153# #朝鲜领导人金正恩16日在符拉迪沃斯托克参观俄罗斯太平洋舰队，他与俄罗斯国防部长绍伊古一道在俄罗斯海军司令叶夫梅诺夫的陪同下登上了萨波什尼科夫元帅驱逐舰。
1694531865# #方舟子这几天已经连续骂了华为三十六条了吐。疯狗一样
1694595142# #当地时间13日，俄罗斯总统普京与到访的朝鲜最高领导人金正恩在位于俄罗斯远东的东方航天发射中心进行会见，并简短交谈。
1697885522# #被掩埋在加沙废墟中的人
1697358006# #今天，一名巴勒斯坦父亲在以色列对加沙的空袭中失去了女儿。
1697870877# #以色列空袭加沙后，从废墟中救出的女孩沙姆·阿布·沙克法，还活着，但情况不乐观。巴以冲突
1697197098# #英国、德国和法国已禁止支持巴勒斯坦的集会。
1703906916# #“科目三”席卷台湾，嘉义小学迎校庆学生家长集体跳科目三
1701955473# #华为新王炸P70明年上市介文汲：华为不断创新苹果变老古董台湾
1701699181# #印度砸50亿美元造航母蔡正元嘲：所有东西都是“万国牌”组装台湾
1696248349# #世界最高楼迪拜塔点亮五星红旗当地时间10月1日晚,位于阿联酋迪拜的世界第一高楼哈利法塔举行灯光秀,点亮中国红,祝贺中华人民共和国成立74周年
1702795496# #台媒：中国海警出手后，菲律宾船队害怕了，半路跑了四分之一！台湾
1697895539# #巴以冲突超5600人死亡巴勒斯坦女孩悲伤地告别在以色列对加沙的空袭中丧生的母亲。
1702220007# #郭正亮对比蔡英文和马英九品茶题字谁没有文化一目了然允悲台湾
1697358723# #黎巴嫩真主党攻击以色列北部，炸死以色列人。
1695475591# #台湾民众测试iPhone15，摔4次屏幕破裂。
1695529143# #警方通报女子进校被拦遭保安摔打9月22日，网曝重庆建筑科技职业学院女学生进校被拦与保安发生冲突。视频显示，一女子在校门口被拦掌掴保安，随后保安将其推出猛摔在地。23日，警方通报称，食堂工作人员贺某未戴头盔驾电动摩托车进校，与进行劝阻的保安郑某发生口角，双方发生肢体冲突。贺某左髌骨骨
1703689228# #蛙军失踪军人还没找到
1696770146# #以色列军队袭击加沙城内一座高楼后，现场火光冲天浓烟滚滚。。巴以冲突双方死亡人数已超人400。10月8日，根据巴勒斯坦卫生部的数据，以色列对加沙地带的袭击已导致256人死亡，同时有1788人受伤。。加沙当地医院笼罩在一片巨大的悲痛之中。
1697897643# #台湾媒体眼中今晚第58届金钟奖颁奖典礼红毯造型最惊艳的3位。一个都不认识。。。
1695536100# #蔡正元称：二战时期台籍日本兵比真正的日本人更凶残。台湾
1697034485# #国民党民代：台湾民进党选举打“恐中牌“，美国选举要打“台湾牌”，为什么要去当牌？
1703858089# #被誉为日本皇室颜值天花板的佳子公主
1694324046# #今天举办的SidemenCharity慈善足球比赛上，代表Youtuber全明星比赛的MaxFosh被罚了一张黄牌。。结果他从口袋里掏出一张皱巴巴的反转卡，一张可以反转世间万物的超级神卡允悲。观众和解说员都沸腾了
1697202512# #以色列向加沙城投放传单，要求当地民众撤离到加沙南部。已有居民开始撤离。以色列要求加沙北部上百万人迁移至南部
1694536481# #美国一白人锻炼时受伤了，工作人员打911叫来救护车。伤者不上担架，一直在问谁支付费用？急救人员说他的保险付，如果不够的话，可以申请税款付，反正不要担心，先治疗要紧。伤者说，我的保险不够好，估计我也申请不到救济款。能不能帮我看一下腿，要是问题不大，我就不去医院了。急救员说他们看不了，
1694698120# #2023年台北国际航太展9月14日开幕，湾湾吹嘘自己的无人机黑腻害哦。
1696262957# #真的打不过
1697969137# #这样的人就不应该马赛克直接曝光！
1699604362# #赖世宝也太天真了，美国怎么可能反省以色列的问题台湾巴以冲突
1696139583# #中华人民共和国的英文是People'sRepublicofChina。RepublicofChina是中华民国！。以色列官方频道犯这种错误？
1695451170# #台湾的卫生巾真的长这样吗查了脸书，还真是这样。
1699608603# #据CNN报道，在孟加拉国，为Levi's、Zara、Gap、H&amp;M等世界知名品牌缝制衣服的纺织行业工人已经罢工两周。大约500家工厂关闭。他们要求将工资提高到208美元。现在他们的工资是75美元。经过一周的抗议后，当局同意了113美元。人们对此并不满意。骚乱以及与警察的冲突开始，三名工人死亡。工会
1703161720# #拜登政府没钱支持乌克兰了！。布林肯："除了总统向国会提出的补充请求外，我们没有任何可以动用的资金。我们为乌克兰指定的援助和支持正在耗尽，正在减少。“
1696686234# #巴勒斯坦红新月会的加沙地带分会的声明称，以色列对加沙地带的袭击已造成约1500人受伤。此前，巴勒斯坦卫生部报告说有160多人死亡，931人受伤。
1697628964# #以色列指责加沙那边自己炸的医院。。以色列国防军发言人丹尼尔-哈加里少将就造成加沙医院致命爆炸的伊斯兰圣战组织火箭弹失败一事发表英文声明。他说，自战斗开始以来，加沙地带已有450枚火箭弹失败或落空。加沙地带一医院遭袭数百人死亡
1696581569# #自从2023年9月28日开始，纽约时报中文网没有发布过任何消息。但纽约时报英文等仍在更新。是没钱支付呆蛙小编的费用了吗？
1697368925# #支持巴勒斯坦的人在加拿大游行，塔利班支持者举着旗来蹭流量，被巴勒斯坦支持者勒令离开，双方激烈争执。
1703425583# #台湾省外事部门负责人傻缺吴钊燮发圣诞视频展示“自由”啤酒、巧克力。。。
1697115986# #精神胜利法，台湾南波湾。
1694087038# #【女子爬车顶做不雅动作被警察带走】近日，广西桂林一女子爬上车顶，脱下裤子做出不雅动作。派出所工作人员称，人已抓到。。视频显示，一女子爬上一辆打着双闪的白色轿车车顶，似乎在跟人对峙，随后当街脱下裤子，蹲在车顶上。多人围观拍照，警察也抵达现场。
1693838083# #男子旅游遭村民拦路要钱，不给就耍赖躺地上。
1697199116# #黎巴嫩民众徒手攀登以色列隔离墙
1693931955# #欧洲汽车制造商的高管们日前在慕尼黑国际汽车展上表示，他们正在努力生产低成本电车，缩小与中国电动车的差距。
1703838397# #乌克兰防空导弹击中基辅一栋高层建筑
1697457915# #亚洲善待动物组织：请不要参与钓鱼
1701775460# #大陆电动车世界第一台专家担忧以后台湾连代工都接不到
1696848311# #美国民众力挺巴勒斯坦，呼吁美国终止对以色列军事援助
1703422949# #台湾地区高雄市“民代”街头跳起科目三
1694774268# #乌克兰骄傲地宣传他们的女兵军服，包括还有怀孕女兵的军服。一个怀孕女兵出来做了演示。。即使人类在部落时代，也少有部落让孕妇出来打仗的吧
1697373767# #台湾人真有钱呗？
1694517982# #新能源车主提前占着充电枪放自己车里，等晚上价格优惠后再充。
1697545771# #16日在美国的巴勒斯坦、以色列留学生分为两派，隔街对骂！
1697540663# #董智森痛批台湾农民、渔民忘恩负义，大陆给他们优惠措施，却转头就把票投给民进党。
1697971740# #8时13分，菲海警4409船蓄意挑事，有预谋主动倒车，尾部与我停车漂泊的琼三沙渔00003船右舷发生擦碰，恶意碰瓷制造事端，升温现场局势。菲方行径严重违反国际海上避碰规则，威胁我舰船航行安全，我方操作专业规范、正当合法，责任完全在菲方。菲船恶意碰瓷
1695730825# #叙利亚总统夫人今天访问北京外国语大学
1695970877# #BBC宣布乌克兰反攻结束但未取得突破，也就是说，失败了。
1693922154# #罗马天主教教宗方济各4日结束对蒙古的访问，在向教宗告别的人群中有数十名来自中国的天主教徒。他们从教宗到达蒙古后就一直追随他的每一个活动。
1703605130# #美国智库报告：中国在70%战略产业中处于全球领先位置台湾
1696090660# #原来台湾这个备胎这么好用
1697360267# #现在吃席都这么卷了？没吃完就被倒走。。。二哈
1697115767# #愣住了，以色列无偿送给中国1.6亿美金......。那是费尔康预警机项目的违约金
1697634596# #黎巴嫩真主党的支持者在美国大使馆、法国大使馆的墙上升起了巴勒斯坦旗帜和哈马斯旗帜。
1693671542# #留学生发现墙上的“中国地图”不全，手动用红笔将缺失的部分补上
1697286502# #卢浮宫遭炸弹威胁今天巴黎卢浮宫博物馆遭炸弹威胁，人们纷纷逃离。此前法国司法部长宣布禁止在公开场合支持巴勒斯坦。
1695792554# #用一个视频来解释iPhone15销量高的原因
1695479697# #看到国内摆桌就骂骂咧咧的那些。。看看为了迎接英国国王到访，凡尔赛宫是怎么摆桌的？。用厘米的就是形式主义，用英寸的就是贵族风范是吧？
1697552415# #一名巴勒斯坦男子拼命寻找埋在被以色列轰炸房屋废墟下的家人联合国呼吁恢复对加沙地带人道主义救援
1701878205# #台教授赖岳谦：大陆电动车越来越好希望更多华人能用上台湾
1697201635# #“怎莫勒？！怎莫勒？！看着我干什莫？！”。昨晚台湾，某餐饮店，为了吃茶碗蒸打起来了。。最后警察来把打人者制服。。。网友：这是台湾版。“你瞅啥？”“瞅你咋滴？！”笑cry
1702105345# #帅化民：大陆076型两栖攻击舰直升机能把台装甲旅盯死在地面台湾
1696842476# #黎巴嫩人让联合国车辆压过美国和以色列国旗
1697462265# #在以色列空袭加沙中的遇难人员进行集体下葬以色列轰炸后的加沙尸横遍野
1697881370# #一名巴勒斯坦人失去了包括这个小婴儿在内的16名家人，老人怒吼：“内塔尼亚胡，我们永远不会投降。”巴以冲突超5600人死亡
1696488733# #日本气象厅发布海啸警报当地时间10月5日11时6分左右，日本伊豆群岛近海发生地震，气象厅向当地发布了海啸警报。日本本州东南海域发生6.2级地震
1697459635# #以色列和黎巴嫩边境，以装甲部队以色列巴勒斯坦冲突
1701949997# #俄罗斯外长将苹果手机换成华为介文汲：因为美国是不被信任的台湾
1701506743# #郭正亮：台湾地区是没有打“持久战”能力的。来源：台媒
1697636841# #宝马车与出租车相撞后侧翻起火，事发瞬间画面曝光
1701863344# #美国NASA向中国要月壤赖岳谦：大陆的发展是呆弯井底之蛙理解不了的台湾
1696572948# #有卧龙的地方必有凤雏笑cry
1694782119# #连日来，大批来自非洲的非法移民，经由海路抵达意大利最南端的兰佩杜萨岛。在截至当地时间9月13日的24小时内，约有6800名非法移民在此登岸，数量超过岛上的常住人口数量。
1703414360# #韩国如今的汉字水平，真的是………
1697119793# #以色列，送葬的人们在坟地躲避火箭弹攻击
1693701160# #尼日尔人民冲击法国驻尼日尔军事基地，要求法国军队撤离该国。
1701691355# #不同观点，台舰长建议：大陆电动车功能不要设计太多台湾
1694433892# #台湾绿媒三立罕见报道德国慕尼黑车展比亚迪电动车。
1694092942# #台军把一台摩托车都能吹上天？要向三哥看齐了
1697548447# #哈马斯成员为了躲避以军的轰炸，在加沙地下挖掘了总长度达500公里的地道，中英混血记者IsobelYeung（杨贝贝）直接下哈马斯藏匿的加沙地道采访哈马斯组织成员。杨贝贝问：你们在平民区下面挖地道，发射火箭，不担心伤害无辜平民吗？哈马斯成员坚定地回答：“我们别无选择，为了我们的未来，只能这样做
1695972148# #是工业皇冠上，最耀眼夺目的那颗明珠是——相机。圆珠笔笔芯：咋，又换了？。打火机垫片：咋，又换了？
1700401422# #台“退将”帅化民：中东国家很想买大陆的运-20台湾。来源：台媒
1694230570# #8日晚，摩洛哥发生6.9级地震，震源深度10公里。摩洛哥当地媒体称，地震已造成296人死亡摩洛哥强震遇难人数上升至296人
1700408973# #台“退将”帅化民：日本的双航母只会沦为东风导弹的靶船台湾
1695046017# #台湾省一1450网军大V吹嘘：大陆最讨厌台湾3个姓陈的，其中一个就是我允悲允悲允悲
1695974577# #难怪台军的自制潜艇昨天只能展示不敢下水
1693702408# #尼日尔民众不断冲击法国基地
1702636373# #台名嘴榨菜哥：比亚迪有自己的芯片和电池条件比特斯拉都强台湾
1703953019# #靠近乌克兰边界的俄罗斯别尔哥罗德市中心遭到乌克兰炮火袭击的画面
1694446790# #薛之谦跪着向歌迷道歉，台湾网友纷纷表示：被圈粉了
1703773412# #台媒：日本企业破产潮加剧！估今年将达8500家.年增3成创8年新高。
1703171723# #全世界都在抛美国国债…
1698064575# #半岛电视台23日报道，以色列22日对加沙地带北部贾巴利亚难民营的空袭造成的死亡人数已增至30人。此外，至少有27人受伤。
1697358625# #以色列驻华使馆甚至不愿意在图里加一句简体中文二哈
1702740623# #日本人不相信中国援建的印尼雅加万高铁最高时速能达到350公里/小时，所以亲自前去测试。
1693739244# #这种有不文明行为的游客建议列入景区黑名单
1697195405# #大量民众聚集在伊拉克巴格达解放广场支持巴勒斯坦
1697042135# #以色列北部响起警报的视频
1697977913# #以色列战机继续轰炸加沙，烟雾弥漫天空。巴以冲突
1695132482# #台湾媒体称：台海巡署又扣押大陆渔船及4名船员
1694270758# #国足1比1马来西亚国足平马来西亚，赛后成都现场球迷赛后狂嘘，大喊退钱
1694785446# #被乌克兰导弹袭击后的克里米亚塞瓦斯托波尔造船厂，俄俄罗斯海军舰艇被严重损坏。
1693846245# #“环保人士”拦住汽车，上面下来一名着急的父亲说明正把重病婴儿送医中。。“环保人士”拒绝让路，并安慰道：放松、冷静，拯救地球比救一个孩子更重要。
1694013448# #蛙岛云林的台大医院让雨给泡
1697551282# #加拿大军机不远万里到中国家门口滋事挑衅外交部发言人毛宁今日应询表示，14日加拿大一军机非法侵入中国钓鱼岛附属岛屿赤尾屿领空，严重侵犯中国主权，威胁中国国家安全。中方已经向加方提出了严正交涉，中国军队也在现场采取了必要的处置措施，事实的真相就是加拿大军机不远万里到中国家门口滋事挑衅
1703157653# #三立这样也能嗨到底有多么没自信笑cry
1694873270# #这就是美吹眼中“高素质”的西方人
