1692780922# #单身狗单身狗单身狗单身狗单身狗
1700658773# #这周六为什么不是12.2号呢微笑
1690168916# #孩子可怜，失去孩子的家庭也可怜，想到具体操作的工人自己也得背负刑罚我觉得也可怜，违规操作害人害己，一场事故只有输家，真的内心很难不难受。安全责任大于天！
1702725667# #且夫天地之间，物各有主，苟非吾之所有，虽一毫而莫取。惟江上之清风，与山间之明月，耳得之而为声，目遇之而成色，取之无禁，用之不竭。是造物者之无尽藏也，而吾与子之所共适。。。这才是我向往的精神状态求关注想想自己身无长物、物欲极低，但是很容易为美好的风景和人文而心生欢喜、甚感欣慰。不知
1704868044# #潘生后是何岸，何岸后是林臧，简直不敢想林臧会多么让我着迷，吻上林臧像呼吸一样简单。。。转载了的微博图片
1692008116# #影帝给讲演技课还敢睡觉，但你信不信就这样影帝还得给他披件衣服右哼哼
1700313794# #张艺兴超话财神到节目极简介绍：财神爷斗舞，艺兴劝架笑cry
1694083860# #是敦煌女儿樊锦诗抱一抱
1703511578# #今天一直忍不住流口水，好馋，各种身份的莲莲感觉真好吃🤤🤤🤤
1702640878# #艺兴钢琴音乐会，双关语，名字起的真好哇
1701703518# #哥，多演戏，给咱赏个psycho角色吧，这点不够看🙏
1699341567# #好吧，人生愿望添加一条希望自己能有个好死
1702990217# #我也小捐一笔
1692172308# #简直不敢想象现在的艺兴演出来的林臧会是什么样的。不多说，疯狂期待林臧，爱上林臧像呼吸一样简单。
1697591580# #受不了，真的受不了
1698026758# #大规模捕杀流浪犬就是莫须有的罪名，既没有大规模也没有捕杀，目前为止就是各个社区提倡登记宠物犬。说流浪狗不咬人宠物狗才咬人的，要不是我小时候被流浪狗追过我就信了嘻嘻说人类欺负弱小的流浪犬的，实际上狗也是挑着小朋友咬，狗也在欺负弱小。可以呼吁文明养犬，但是不能拿莫须有的罪名瞎tm搅浑
1697556615# #目前来看，最先失去理智的竟然是以色列。
1694066918# #“加强现实题材创作”，所以有时候看到有人批评现实主义题材是蹭热度就觉得好笑。
1694737881# #挺煞笔的，与其指责中国人，不如反思一下日本人这段时间干了什么呢？评论区皇协军味儿太冲笑哈哈
1699674243# #那什么，我真的很少发长篇分析莲的事业，最近确实发了几篇，但是真的是偶尔发的，我只是比较喜欢聊一聊莲莲的正确性，我就是一个喜欢发痴和夸夸的渴莲人……那什么，我不是什么格局粉也不是什么想要洗脑小壳壳委屈委屈我的长篇主要是键政，以后应该也会经常键政的委屈委屈如果觉得我说胡话也可
1699370555# #我得打印出来美美贴在墙上赏看🥰
1688360449# #此时此刻，恰如彼时彼刻。
1694325212# #戒社经典视频，强烈推荐大家康康
1696610360# #坐了一天的飞机，咳嗽咳得脑浆子快飞出去了，恁妈的。
1701778758# #啥时候莲能再给影视剧唱一次ost呢可怜
1696620820# #
1691478696# #你遇到过的诈骗手段刚好参加一下这个tag
1692753509# #刚好30个一点笑cry严谨
1701510076# #重庆好会做生意啊，演唱会场馆外面的商家都在放艺兴的歌揽客，我服。
1692718907# #真的好喜欢这个视频，就是感慨单身狗有在好好长大的演员兴单身狗。。橙兴cc的视频
1691210747# #这是全世界最可爱的应援棒
1689784163# #卧槽裂开第二个让我想起专门让女性受的一种酷刑裂开裂开
1699000861# #我已参与北京协和医学院群医学及公共卫生学院发起的呼吸道感染情况调查问卷。调查结果将辅助医学机构了解全国呼吸道病原活动水平及感染流行情况。
1692672110# #道德感超高的黏……
1688225050# #看到这个我想起来我之前想发但是忘记发的一段话：艺兴现在基本上不去争奇斗艳的时尚活动了，如果他去了，一定是活动本身有必要性。于他来说，他已经不是需要靠定期上红毯来刷话题的人了。
1691459603# #→就是这个意思
1700319238# #好好休息，快快睡觉，时差倒过来后再努力工作吧抱一抱
1702726866# #如果只是普通的喜欢，是谁都会很容易moveon。但是我这种稍微有一点点理想主义的人，如果对一个人不是普通的喜欢而是因为感受到某些灵魂上的契合，那就完了，这辈子都可能走不开了。所以没办法，我红尘俗世尚有牵绊。
1692709006# #感觉30亿要明天上午了思考
1691462586# #哇！你们还在东南亚定档，骑脸输出啊笑cry
1691716385# #看好多yxh发的，孤爆了对谁影响最大，我悄悄告诉你：对那些相信努力努力白努力的人影响最大。因为吸引力法则，莲相信努力然后美美飞升；因为吸引力法则，相信白努力的人真的白努力了，可以预想到ta们往后的人生，要在嫉恨哀怨憋闷不甘中度过不如意的一生。恭喜啦，如你所愿许愿星。（本来我是想等尘埃
1693034923# #我真是看不得核污水排海的新闻，我一看到日本那个绿茶味儿我就气得急火攻心，气得我胸闷气短。一下子理解《觉醒年代》里的郭心刚，搁我身上一样气到吐血裂开
1701513225# #我服了你们莲粉，这下财神都请过来了。。张艺兴重庆演唱会
1703166409# #馕ですか？
1696953469# #时隔23年，以色列这个国家谱写的地狱依然在上演
1696942414# #杜甫的一首诗《又呈吴郎》，前两联写的是：。。堂前扑枣任西邻，无食无儿一妇人。。不为困穷宁有此，只缘恐惧转须亲。。。诗的背景和大致的意思是，杜甫把自己的房子让给吴郎后，特地留诗嘱咐吴郎，邻居是个吃不饱也没有亲人的老妇人，如果她要打枣儿就任她打吧，若不是穷困至极她也不会至于这样，因为不想
1692688187# #笑死我了这个b图
1703520021# #纪念毛泽东诞辰130周年
1700104215# #老登将那啥，其言也善
1691207766# #孤注一掷真的是吸引了很多没有观影习惯的人进电影院，而且这类人很多都是这种情况：这个讲缅北嘎腰子的电影还不错，我一定得带我那糟心的爸、妈、孩子去看。。所以就变成了，可能电影只是吸引了一个人，但是这个人会拖家带口去看，于是买票都是一次性买3、4、5张。我随意抽查了一下附近的电影院，有些明
1689214651# #这个剧情，好带感，快让我看！
1692858543# #不行了我的血压，我一切素质都在今天消失了，鲨鲨鲨鲨鲨鲨鲨鲨鲨鲨鲨
1700447650# #立青老师别太可爱笑cry
1704028154# #很好，新年快乐！我可以躺了awsl
1691862527# #电影孤注一掷超话半夜想起来一个细节，阿天工作室的一个朋友，叫槟榔（小雨喊他开门时叫了这个名字），一开始跟阿天一起挂彩玩游戏，后面阿天800万买科态币时只把他留下来陪自己。这个人估计也在阿天的介绍下玩了网赌，或许还加过安娜。因为安娜拉黑阿天的时候，槟榔说的是：她就是个骗子，她把【
1696172281# #喜提二阳丰收了
1703412368# #乐园最新我第484个赞酷
1702616427# #降水线北移，无论是降雨还是降雪都比往年更极端，所以极端预案是必须得做的，甚至我建议所有北方平原地区大城市都循序渐进改造地上线路以及加强地下线路排水。
1703488514# #打招呼的四个人：第一个拥抱的是吴樾，建党百年舞台上有合作；第二个老段；第三个刘烨，建军大业里有同框；第四个秦海璐，一起天庭打过工。憧憬
1700320652# #演唱会看完，开口闭口只想叫哥哥悲伤
1700799390# #男宝妈养出妈宝男，只能这么说。
1694092873# #同样的情况在大明风华里也出现过，“我去，朱祁镇居然是张艺兴演的”之类的评论也很多
1691827125# #量变引起质变，“努力”就是在积累量变。努力从来不可笑也不廉价，因为你会在有一天突然发现那个一直在努力的人竟然做出了不得了的成绩，已经让你难以望其项背。
1691764388# #刚二刷孤，发现电影节奏比一刷时感受还要好。可能一刷的时候太紧张了，也可能是一刷的时候代入感太强，感受极其敏锐，总感觉1秒像2秒那么长。二刷就愈发感受到孤真是个好电影啊，节奏好故事好，整个剧情发展就是十分抓人，影院里坐着蛮多小朋友也都在认真观影超安静的，同排的人基本上都看得很认真，像
1698398798# #国士无双，请好好休息吧蜡烛
1699034507# #还是solo追星比较开心，比如今晚这种情况，属实是已经看不懂莲池在撕什么了丰收了。不如一起看书吧，我最近在看这本看书
1691075957# #这突如其来的直播也太像跟男朋友睡前视频了，我一直以为我的喜欢是比较克制冷静的那种，这会儿直接给我整得心跳过速、面红耳赤了。啊，母爱变质。
1695707810# #官方出通报我才敢转，我是万万没想到网传的那些触目惊心的出生行为竟然是真的裂开裂开建议对这两个小出生的心理评估和行为矫治一直跟踪至成年微笑
1703127878# #转发微博
1693969979# #听他采访真是一种享受
1700304928# #啥啥啥？啥情况？在叫啥？
1700820678# #慢慢来，总能进去的，不生气啊壳壳们爱你
1703495108# #乐园：把你视作我的禁脔
1692323055# #怎么说，明明是个大明星，就这么吃完饭在城市里大大方方地随意散散步，旁人一看都得纳闷这是谁怎么后面吊着一串人跟着citywalk，没想到吧，是zyx。跟蓉宝贴贴让路人随便拍，偶尔也会回应一下大家跟他的喊话，这大概就是松弛感吧抱一抱
1695951613# #到家第二天就因为温差太大发烧了……🤒
1703497546# #张艺兴入职中国国家话剧院。谁没看过国话演员年末汇演真的可惜了！超美的精神状态，我好爱！。网友：疯神榜doge。
1698988685# #我从来没有自己抢到票过！都是靠朋友手速救我狗命泪泪总算可以上船了！！泪泪
1700143430# #缅北电诈头目明学昌自杀死亡四天之前是个人，四天之后是坨肉。
1689260369# #我真的好喜欢みつみちゃん苦涩想让全世界的女主控都去看这部番，みつみちゃん是全世界最kirakira的小太阳苦涩
1697950861# #看见艺兴跟哥哥们有说有笑、那种发自肺腑的开心，我感觉治愈了这段时间一直盘踞在我心上的阴霾抱一抱
1692000324# #麻将算四害，打牌不算是吧？
1702106054# #哲学确实好东西，但我是建议按体系看，不要东一榔头西一棒槌地看书，否则不同思想之间相互抵触，根本没办法消化。比如对马主义感兴趣的，我就建议从毛→列→马恩的顺序读，由浅入深、由己及人、由近及远，等消化的差不多了就可以读读德国古典哲学。对于其他主义也是如此。
1698139185# #这篇文章，没有迷信没有极端主义，我看到的只是一个处于绝境但仍不绝望的阿拉伯人的满腔愤慨，他们仍然在呼唤反抗和争取自由，他们受过教育、有思想、有自己引以为豪的文明，不是什么humananimals。
1694325628# #看过戒社视频之后我特别理解烧对电影最后的处理了。。电影最后反诈宣讲那里，我们看到的镜头是小雨背影出场，仔细看会有点怪，因为镜头只给了小雨的上半身。看了一些花絮之后我们知道最后烧其实拍了小雨推着坐上轮椅的阿天一起出场的，但是修改后的结尾镜头仅仅保留了小雨。。赌狗，不值得同情，即便在电
1697806965# #此时此刻的中国，杭州刚开完亚运会现在开亚残运会，成都在开世界科幻大会，广州在中国进出口商品交易会，北京在开第三届一带一路国际合作高峰论坛。。不言而喻，这就是世界中心东移的生动图景。
1699613038# #结束的这么突然！
1702978134# #这个确实，新疆老饭馆门口也会有这种水壶，专门供客人洗手用的
1691464042# #那这么说就有道理了，他们甚至不用知道吃馒头的就是潘生，只要知道吃馒头的=想逃跑被惩罚的，那么就可以确保这个吃馒头的人收到火柴后会配合行动。孤注一掷馒头
1696907643# #恭喜啊
1699279818# #坏消息：自从上周肺不舒服挂水吃药+体检抽血给自己抽虚了之后，我的眼睛一直是花的，头是眩晕的，平衡感极差，好像大脑的什么物理模块损坏了。。好消息：逻辑模块还能用，晚上看了一个小时的书，可以看进去。
1700196391# #我滴妈，这家店离我住的地方这么近啊！不早说！
1700306910# #幸せ丰收了
1691637117# #有些人说起低成本剧情片就觉得该死，好像这种电影就是拉低市场格调似的。那我就问问，年轻导演、新人导演不拍低成本剧情片怎么崭露头角？难道所有导演一开始就能拿到超高的资源投入拍电影吗？以后电影市场难道就只能看老电影人拍一些暮气沉沉、落后时代的电影么？仿佛不支持大制作电影就是中国电影药丸
1695178670# #百万粉的黑号哪个明星能有此待遇？他们网络暴力狂欢最癫狂的时期，是到处私信合作人员辱骂zyx让前辈都不得不站出来说句公道话，是高位转发辱骂一切和zyx合作的人，是把线下的粉丝挂到互联网上暴露现实坐标并同时辱骂，天天诅咒zyx本人和他的家人si无全shi、立即暴bi，是合理化霸凌行为说什么欺负他就像
1704450218# #对比以前艺兴杀青后对作品的提及次数，感觉他对传说还挺重视的，不同场合cue过很多次，他应该蛮喜欢这个戏的馋嘴
1695470404# #哇哇哇喜欢！
1696610880# #生日快乐，希望你可以一直勇往直前，带给我力量。
1700143830# #缅北诈骗犯被通缉四天活见人死见尸，去美国一夜之间清理街道、更换绿植、老墙刷新漆，咋肥四，咱这儿难道是偷偷进入大唐盛世没通知我？傻眼
1693196626# #天呐！结束场还可以给艺兴过生日！可怜
1689346929# #真不开玩笑，缅北这帮搞诈骗的真的太嚣张了，敢反向通缉受害人你敢信？你们剧组主创最好保护好自己
1692103091# #是目前所有票房超20亿的电影中最年轻的一番演员（20亿以上电影的一番中唯一一个90后），也是达成一番单部票房20亿时第二年轻的演员（第一白百何31岁时的捉妖记）。
1704460041# #幕后花絮有而立24小秘书爆料手册内味儿了，想起了我可爱的羊妹😭
1700131722# #这整的比电影电视剧可刺激太多了……
1699335618# #好喜欢这种对于任何捆绑贴只要一句“拜那38e”就可以轻松终结一切共沉沦的感觉开学季
1691547537# #孤一开始点映大爆引得很多其他粉丝不满，各种踩黑，一定程度上是帮忙把抖音预热期间拉高的预期又拉回到正常水平的预期，甚至很多路人因为踩黑逆反。我观察了各个平台，现在已经开始有很多纯正无比的路人对于电影初期的负面评价表示强烈不满。孤的口碑从初期的激烈上下波动已经逐渐收敛到了它该有的水平
1691161974# #7kw了，太吓人了，这精孤当的我心脏都快坏掉了……我真没见过这场面……抖，你好牛……
1700191703# #我简直不敢想象我明天会有多快乐憧憬
1700152477# #gzyz很好地完成了自己的历史作用：。（1）舆论造势，为打击电渣进一步推高民意基础，对于跨国合作以及冕方自己内部打击围剿电闸都提供了道义上的大旗。（当然社会的民意基础是主要的，gzyz只是进一步推高了这个基础）。（2）留下了正确的集体记忆，对于加害和受害双方都做了比较准确和真实的记录。。。不可
1692768271# #莲粉来承担，莲粉来包容，遁入莲门后，一切都那么静心仁和鲜花
1692076232# #从点映到现在电影都在院线上了10天了你要跟我说你还以为主角是四番、不知道一番是谁我只能劝你演点好的。10天了你还不知道，是刚从局子里放出来吗？
1703683220# #没办法，荷上一代人真的，脑子里有敌人的思想钢印的人很难不出问题，估计未来还会有很多问题暴露出来吧，说实话斗争形势令我担心。。所以我为什么特别支持老大，真心希望他能多干几年，因为我希望他能把荷上一代跨过去。他担子真的，很重。
1693582327# #每次看到这种细脚腕我是真的很想
1692836386# #被打碎又重组的人或许更有走好每一步的能力，因为这样他们才会选择更脚踏实地的成功方式而不会奢想一步登天，这一点烧和莲真是像极了。
1691641554# #活该你红啊，试问有多少个演员能做到呢
1698729320# #确实土
1698659107# #okok，我要开冲了🙏
1698365948# #太突然了蜡烛
1702375412# #力学专业大力出奇迹，交通工程身是跨海大桥
1696935059# #橙v掉黄v了笑cry果真我的橙v只是昙花一现收到
1692022737# #20e福利可以听艺兴来一首吉他版《千金散尽》吗？
1695221989# #晚上站着看了两个小时的书，各种意义上都挺累的👀🧠🦵🏻
1693909396# #我也试着解一下题。材料总结起来就是最近常说的两个结合：同中国具体实际相结合，同中国优秀传统文化相结合。这两个结合虽然讲的是马克思主义中国化时代化，但是在其他领域的做理论创新也是可以适用的，二者都是解放思想的方法。作文的话就围绕二者辩证关系、在创新方面的必要性和重要意义展开来写。
1696989775# #“这个村庄有温泉，阿拉伯人洗温泉，以色列人也想洗温泉，所以拿过来了。欧洲移民来的以色列人喜欢滑雪，那两个山峰有雪，所以抢过来了。”
1690990721# #正式开启精神孤东模式！
1699886594# #演唱会对于明星来说某种程度上就是确认爱意、汲取前进动力的精神加油站。莲莲深圳前的忐忑、紧张、emo，几场下来后已经是“陪我再闯一回”，精神力量满满，准备开赴新前程。。这个时候我也不稀得提其他家，但还是得说句实话，感觉有的人搞完演唱会恨不得退圈，咋滴，才寻思过来自己过气了啊？二哈
1691225493# #大家不用担心！不血腥！最主要的是那种发自内心的恐惧！就是很害怕自己会被骗去的那种恐惧！
1688470487# #受害者还有众多太平洋国家，之前美日去所罗门群岛搞瓜岛战役纪念活动，一个所罗门居民还持刀袭击了日本海自。如今日本要排核污水，太平洋国家又是直接受害者。
1700138365# #12日发的通缉令，16日抓获，这雷厉风行的速度。
1698746005# #好耶！
1702529437# #微博可能是最适合生产意见领袖的平台，我之前完全不用🍠和🎶的，最近偶尔会去这两个平台看看，追兴氛围那叫一个舒服。
1692367294# #注意安全！望平安归来！
1696900698# #我记得我小时候什么国际形势都还不懂的时候，有一次看新闻频道印象很深刻，主持人在说起中东形势的时候叹了口气说了一句“说不尽的巴勒斯坦”，那是我第一次见新闻主持人在节目中流露出情绪，竟然是有些悲戚的。
1699536430# #感觉鹿晗粉活得特别可怜，它们不是靠对蒸煮的爱聚在一起的，而是靠着对莲的恨聚在一起的。为了造谣莲，它们甚至可以舌吻全网黄🐂，我真是无数次惊叹于鹿晗粉对各平台的黄🐂如数家珍，谁能不说一句可怜呢挤眼
1692161174# #被人爱果然还是很幸福吧掌宝爱心颜王生日快乐赢牛奶
1693910076# #究极缝合…
1694502854# #在单位征文比赛拿了优秀之后兑换的奖励打call自己不舍得花钱买的书通过奖品实现了打call打call
1701563323# #breathe适配一切学生时代的爱与梦想与别离，尤其不累乐园里放的那14s，长度也合适短视频传播，希望剪刀手多多用这首歌剪小视频🙏🙏张艺兴超话
1702267817# #影视剧作品翻红的很少，都是播出时最当红，后面或者可能有长尾，但整体上热度是衰减的。。相比之下，音乐作品翻红相对多些，不少老歌会因为一些奇怪的契机重新活跃在人们面前，我甚至感觉不少音乐的热度最高点都不是刚发布的时候。
1691073229# #3900w了，不晓得今晚能不能到4000w
1692021274# #我以为是哪个莲粉发的，仔细一看id，哦？哆啦A梦害怕
1691854099# #又达成了一个小阶段赢牛奶
1701443348# #亮了亮了，sorry，电池座整个装反了污
1699531681# #好无聊☹️
1692974662# #妈的，又在这里装绿茶🍵
1699444307# #不行了，谁能把“拜那38亿”做成表情包啊，要多损出就有多损出的那种，很适合我膨胀的时候用看书
1692367008# #电影孤注一掷超话电影里我最喜欢的3慢3快：。3处无台词慢镜头：。一、阿天逼迫母亲说出保险柜密码那段；。二、名场面阿天跳楼和园区狂欢；。三、潘生获救与安娜重逢。。这3处慢镜头每次看每次都会想哭，对我来说是影片3处极其优秀的情绪表达，画面带给人的情感冲击力很强，于无声深处震撼人心。。。3处快
1700010944# #社会稳定是需要花大力气解决的，自己不搞清楚自己国家的国之大者，企图通过天降神兵来解决社会问题，哪有这么好的事儿。实际上对很多国家来说，拥有民族自觉意识是一件稀罕事。然而唯有自觉才能自决，依附的道路始终是不长久的，哪怕依附的是俺们老中这种正人君子哼
1689648046# #我一直认为讲好中国故事不一定要讲中国的故事，而是用中国的世界观价值观来讲述故事。文化输出不是非得要以中国故事走出去，如果我们可以用我们的影视资源为第三世界国家的英雄讲述好他们的故事，应该也可以在世界文艺中开辟属于第三世界的一方天地。例如，为布基纳法索的桑卡拉拍摄一部他的革命人生的
1697591294# #没啥好说的，突破人类底线，纯纯纳粹，纯纯森口
1690767365# #喜欢求关注
1692860561# #怒
1700307540# #开场7分钟，哭了7分钟，苦行僧+joker，把我千刀万剐都没这么伤😭😭😭
1697512742# #好想去一次广交会见见世面啊，应该会有一种世上已千年的错觉，刚刚在新闻里看到现在太阳能板都能做在书包上了，在户外可以边走路边充电。捏吗，我是坐牢了吗，现在产品科技发展这么快的吗？
1688527621# #建议中国建立定期去日本近海巡航的机制，tmd，巡够一百八十天，巡出美味巡出鲜
1691210462# #1亿了，从此以后，这是我孤哥。
1699800307# #帮我选一个，用哪个来给莲莲哥写信捏？开学季
1688096166# #不单纯是好看啊朋友们！他演出了那种恐惧懦弱和不甘心的服从啊！这个眼神演得很准确啊！
1699267311# #卧槽好看！
1693838082# #程序员当主角不是第一次在影视作品里出现，在偶像剧里程序员太帅，在外国大片里程序员太geek，但是像潘生这么贴合真实职业形象的程序员角色是我第一次见。
1691971747# #人民武警爱人民抱一抱
1692843019# #支持，嘻嘻
1698209920# #可怜可怜可怜真好啊真好
1700321861# #啊……莲莲哥是真实存在的人呀，我今天可是看到了一个小身影在舞台上蹦蹦跳跳呢……原来是真实存在的啊……
1704372565# #“小家”，我天呢，我成屋头人了害羞我们一起把日子过好比什么都重要害羞
1700749602# #这微博刷的，看到莲想喝焦糖奶茶，看到安娜想吃涮羊肉，首页一个菜没有，愣是馋得我不行。节食好几天了，好想吃肉苦涩
1690168604# #施工方在体育馆屋顶堆放建材…………安全规范真不是开玩笑的，违规操作害人害己啊
1697949903# #好亲切可爱的氛围可怜
1696657198# #我的天呐55555
1692975839# #莲门🙏
1700098495# #一会儿发我的分析，先政治上分析一道，再从莲莲这分析一道收到
1691688453# #烧，你好爱可怜
1695038053# #帝王（朱祁镇）。将相（卢德铭＆传说里的角色）。才子（何岸）。佳人（二月红）。士（林hao）。农（欢欢）。工（马小兴＆潘生）。商（庄睿）。什么叫百变演员，那就是一个人扮上相那是既能演帝王将相、才子佳人，又能演士农工商彩虹屁
1701580114# #笑晕笑cry
1695208228# #戒社的切片真好看，补了半个月已经看了240多个视频了，上瘾。
1692780357# #啊啊啊啊啊！！阿拉丁神兴真的实现我的愿望了苦涩苦涩苦涩
1703681944# #航天系统大地震啊……
1691215407# #来咯！等待开场，距离开始还有7分钟，上座率接近1/2。
1696686261# #啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊泪泪
1699767486# #地区的事情地区国家商量着办，总比啥都看地区外国家眼色要强，从主体自觉走向战略自决，比欧盟强多了。
1691740407# #让我想起来音乐风云榜，杀我别用莲莲刀，我心绞痛快死了单身狗不知道该怎么抒发，我还是想再次给小黏一点安全感。。我这个人，跟你一样，信念很深，感情很深，我大概会跟你一直是平行线上的两个人。可是一旦我确信我们永远一起前行，那这个方向就不会更改，跟你一样。我们跨越时空，共同前进，不觉得
1694793430# #鬼灭的锻刀村篇节奏烂到离谱，看漫画的时候就觉得这一段不妙了，动画居然能够把漫画那种稀烂的节奏还原得一模一样。看来鬼灭全系列最高光就是那田蜘蛛山篇了，剧场版也是借了这一前篇的光，哪怕它拿了日本票冠我觉得也就一般，不如蜘蛛篇。
1692747115# #30亿，这金灿灿的成绩亲亲
1696492432# #在车上拍的哇
1700297679# #哦买噶，紫色海洋哇
1700670568# #我们的演员莲就是越落寞越潦倒越困厄越好看抓狂抓狂抓狂。多演，爱看。。但是先说好，苦都让莲莲的角色吃了就不许再让莲莲吃了哦抓狂抓狂抓狂
1688442162# #计算机专业狂喜，终于要在市面上的影视剧里看到真正的程序员了笑cry笑cry很想问问造型师吃了多少个程序员，造型抓的十分精准，怀疑这一身是从程序员身上扒下来的，尤其是这个大容量黑色书包笑cry笑cry。张艺兴超话电影孤注一掷
1696939812# #确实是典型小布，若不是小有资产也不会去买币，经济好便盲目乐观喜欢冒进，赔了便反动起来，炒币炒股炒房的人炒的越大越有这种二极管行为
1691162942# #小孤子，你真的，我哭死。你哪怕给粉丝一点缓冲呢，我们前一天还是爱豆粉，你今天就带我们见识这么大场面苦涩感觉像是刚第一天开始吃辅食的莲粉宝宝们，被抬上了满汉全席的桌苦涩苦涩
1692703799# #好潮的创新，创亖我了
1692582917# #这个暑期档最惨的输家是：河南。。被偷惨了……
1699812476# #半夜睡不捉放歌，放到了苦行僧，大概是夜里过于安静，中间那段变奏塞满了对莲的重伤和黑踩变得格外的清晰，然后突然给我干崩溃了，应激到心脏咚咚咚狂蹦，呼吸也突然局促起来，整个大脑皮层都刺挠了……这么真实的生理反应，原来我的ptsd这么严重啊，我还以为Cindy已经让我调理好一切了失望
1699436713# #突然说句大逆不道的，刚一瞬间觉得莲很适合演和尚，坚忍凡心的那种和尚。
1697472890# #全世界3/4的国家都来了，世界灯塔是什么好登西，俺老中要了开学季。虽然世界变乱交织，但和平与发展依然是世界的主流，什么是主流啊，就是这3/4的国家是主流，这3/4的国家的经济规模是主流。G7所占的全球经济份额越来越小，它们再也不能像以前一样随意瓜分整个世界。。世界和平与发展的力量越来越壮大
1701566879# #在热门刷到了李诞傅首尔一块吐槽朱丹恋爱脑的图，这么多年了，我还是一看到任何笑果出来的脱口秀演员就烦，为什么压根不好笑的一群人天天还能在互联网上逼逼赖赖的啊。
1701443036# #我的小羊蹄不亮😭😭😭怎么会这样！
1699438895# #马上我也要吃好的了色
1690815983# #看完长安三万里了，我终于想起来我之前不太想看这部的原因了。我一直感觉三维动画不太能表现出中国古典风韵，如今一看动画确实太满了，故事情节满情绪满，人物动作满表情满。我喜欢的中国古典风韵应该是恰当的留白和静止，是气抒太宇、意韵空幽。长安三万里其实挺不错的，只是和我审美对不太上。
1702100446# #这么多年追兴下来，我感觉我现在的心态变得很不一样，我祝愿他的每一个作品成绩都可以很好，并不是出于追星的虚荣心，而是希望他能够成绩足够好，好到可以不被世俗的舆论和评价牵绊，好到可以让他更勇敢地、更一往无前地追逐自己的梦想。
1701869177# #买噶，领导说我写得挺好，没怎么改直接交了允悲完了，我这个人不经夸，一夸就容易膨胀允悲
1694579390# #我不爱吃这口酷
1693877246# #好牛啊，孤点映爆了没想到，因为点映爆了不得不提档上映更没想到，感受到了马来西亚人民与大陆人民的同频共振
1701522820# #奢望一次吧，我们都奢望一次吧可怜
1697529586# #玛德。森扣
1692373700# #想成功，别发疯，脚踏实地向前冲握手赞good🙏
1697187303# #笑死我了，日本站队以色列，但以色列嫌日本站队的姿势还不够好看。好般配，建议舌吻。
1690549394# #大运会开幕式笑死我了，每个国家都给配了一个熊猫，中国队配了一群熊猫笑cry
1692178274# #助力21e，来3刷了赢牛奶
1690817152# #我喜欢的中国古典风韵是什么样的呢？举一个近期看的例子。看散人玩梦蝶的回放的时候，我真是会为游戏这一段鲲遇风化鹏的意境深深折服。文字拆解组装解密就已经是以知晓中国汉字为门槛的游戏了，这里鲲遇风化鹏更是将中国文化记忆内化在了解密思路里，真是十分惊艳。
1692354420# #感性的烧导，也是，能遇到愿意吃从马桶里捞出来的纸这种敬业程度的演员也是导演的幸运
1699627843# #一会儿我发个粉见长篇分析喃们莲莲哥闯美这事儿，上条微博评论区都被没收了，咱下条细聊这事儿哈亲亲
1699958244# #给我笑得，连夜订购绿植
1699766588# #maybe我以后看con也是这样丰收了
1691029283# #流量确实没什么意义，希望所有的明星都能意识到这一点。流量就是一种放大器，本身无意义，关键在于放大的东西是什么。河流灌溉良田，风催动风车带来动力，货币加速商品交换的过程。流量只有与公共价值结合在一起，才具有正面的意义，否则就是空转。流量有什么意义？在于正面价值的放大器，希望每一个有
1700104835# #我前两天转了2条，全都给我限了哼
1691146665# #天呐烧导，都被威胁了你还这么淡定，你心态也太稳了……保护我方申奥
1692245986# #我这个人风险厌恶到什么程度，别说炒股基金这种风险比较大的活动，我连任何竞技赛事活动都不感兴趣，平时也好有大型赛事活动也好，都不会去看也不会去关注的，包括体育竞技和游戏竞技，完全不感兴趣。虽然我也喜欢看游戏实况，但是我喜欢的是解密类型、冒险类型的游戏实况，我只喜欢结局基本确定的游戏
1689353022# #所以这小子，送给其他人的回礼都是出于社交礼仪的考量，而给小美送回礼的标准根本就只有一条：送他觉得适合小美的。志摩你这个家伙，你就没意识到自己也是独一份的感情吗哼跃动青春超话
1692170215# #这个采访看出来了，他是真的感受到演戏的魅力并且喜欢上演戏了
1700916736# #转发微博
1703562976# #不累乐园就是壳壳们的高标准莲池，因为可以旱涝保收给你小心心
1702144442# #我烧到38度的时候只能躺着啥都干不了，39度你是怎么扛的呢失望
1691326510# #7月25号的我：只求保5争10。这两天的我：谢谢谢谢。谢谢各位观众老爷，你们是最具慧眼的，谢谢谢谢！
1698031206# #特地蹲了昨天的世界周刊，果不其然是巴以专题，节目做得很好，前因后果梳理得很清楚，只是我看到一半便看不下去了，因为太过心痛连呼吸都迟滞了。我永远都忘不了巴勒斯坦人民举起半岛电视台记者阿克莱棺材的画面，即便被以色列士兵痛打也会有其他人立刻替补上来只为不让棺材落地。这是刻在我记忆里堪比
1695177530# #艹啊……看zyxgzs把法院公告发出来我是彻底绷不住了……开闸泄水泪泪泪泪
1691224209# #又想起来这个了笑cry
1688349015# #钓鱼佬是编外巡警、自带干粮的护林员、真正的河湖长。
