1701921879# #南方也有大浴池啊，大家不都是坦诚相待？
1690112553# #左航哭了我怎么老是看成史航了。对，史航老师现在还好？
1699972885# #叶璇分析血色恋情暴力事件挺喜欢叶璇飚车的。
1692868369# #大病保险我是参加了本地政府的“大病无忧”，每年一百块。
1702517249# #赤子之心，无悔奉献。88岁的院士金涌华丽转身，成了抖音上的院士科普员，被称之为“科普达人”。科学普及是对下一代“播种”，科普可以帮助培育一批大科学家，科技创新助推国家发展。为金院士点赞good
1695221110# #司机后来行为确实不妥，这事的爆点应该是在乘客回家拿东西耽搁的时间多久？
1699767139# #官方通报B太遭遇鬼秤事件打假靠网红，反腐靠原配和小三。有点讽刺。
1691471417# #3药企套取资金40亿用于公关等用途这公关成本没有院长能顶得住。
1698242703# #老胡你看看。
1697726139# #陈牧驰吴楚一革命友谊谁是1，谁是0？
1688624001# #地上的卫生纸做下检测。一个钟基本都在60分钟以上，技师进去30分钟左右就结束离开，基本上涉黄，即使店里不允许，也是技师在走私，起码是“打飞机”。另外可以断定男的有先天性心脏方面疾病。
1699843567# #重庆原副市长熊雪被开除党籍不上亿都不好意思。
1699227979# #刘昊然回应一部手机用五六年挺好的嘛。
1688796103# #转发微博
1693895315# #打掉缅北诈骗窝点11个，其中中国籍骗子186名。
1689147688# #港媒曝王菲谢霆锋分手又分了？不是分了多少次了？
1689579885# #允悲
1689930952# #尽搞这些花里胡哨的。
1689823124# #跑网约车的还真得电车，油车根本赚不了钱，外面的充电桩又涨价了，以后还得继续涨。现在平台竞争激烈，纷纷降价，提成又增了，最便宜的平台现在每单都要提20%以上，26-29%常态。可怜的网约车司机。允悲
1693674279# #某制片人被抓了。我的妹啊，我替你捏把汗。
1699593261# #银灯百盏，温暖夜归人！亮啦！近100盏爱心路灯，照亮了33个孩子的求学路，更安全、更明亮的求学之路，温馨，暖心！
1690941282# #男子出差后患上淋病但否认有过不洁性行为智商题。。因用酒店的毛巾等物件感染淋病的概率非常低，小弟弟不老实，嘴也不诚实。
1693540790# #原来申奥是被木老师开过光的。
1687420919# #菁菁校园，亲亲非遗，舞龙，别具一格的大课间，翻转腾跃，尽显“龙的传人”的精气神。
1693371074# #曝一线女星与男主角一夜情张大大又惹啥事了？
1695735343# #情侣住民宿留满床血渍和避孕套浴血奋战五天五夜，然后偷偷地逃了。
1692611159# #离电动爹远点啊。尼玛，突然一下就窜出来了。
1692402078# #我有次还信用卡，不一会黎叔就打来电话，还然后还找上门查看了手机。微笑
1688695706# #金星再回应捂胸其实女星走红毯捂胸口，我认为也非刻意之举，而是下意识的自然举动，没必要上纲上线，也不要恶意揣测，更与“怕穷人看见，又怕富人看不见”无关。嫌贫爱富也是人之本能，当然嫌贫爱富首先你得有资格去嫌贫爱富。
1698326489# #金晨代言高科技服饰美力城我认识的一个妹子特别像金晨。。以前还认识的一个妹子特别像周迅的。
1700048613# #租房过一辈子可以吗可以，但要租那种政府的廉租房类的，否则搬家搬来搬去的太J8烦了。
1699276591# #用着8000块电脑的贫困生这也得看具体情况，有些专业确实需要高级别电脑。
1691028533# #转发微博
1694442638# #平峰无奇？
1700060442# #女子孕期遭强奸引产后丈夫要求退彩礼这种情况，我支持不退一分彩礼。。女方与那些职业婚骗截然不同，她是受害者，第一次怀孕被男的打流产，第二次怀孕因男方家迷信带女孩拜神弄鬼被骗奸。。双方商议散伙，女孩流产打胎，男方不要求退彩礼。胎打完了，男方出尔反尔。。不幸中万幸，现在散伙，女孩得以及
1692894729# #炫富致丈夫被查妻子回应梁朝伟否认私生子传闻广西美女霸王花唱山歌。
1689138159# #你能支助我一下，让我也去感受下ＫＴＶ。
1697378693# #厉害，美女刘夏力挑三霸王，一个瘫软在床，一个扶墙，一个提起裤子投降。
1703472866# #男子供养女友及其丈夫一家5年脑子坏了，明显的捞女都看不出来。
1691031658# #网约车绕路、多收费、长时间停留平台都能监控到，处罚很严的，包括罚款和禁派单。
1692797752# #转发微博
1699530158# #年少不知阿姨好。
1695252475# #平台每单抽成在20%-30%之间，每单信息费0.5元-1.2元，再弄个一口价来抢乘客，苦的是司机。如果所有平台都要求司机办双证，那么必将兼职司机拒之门外，造成乘客难打车，尤其偏远位置的乘客很难打到车，单价更高。苦的是乘客。增加乘客出行成本。
1699063187# #外卖深夜1400元牛杂汤疑为非法服务外卖和“外卖”的故事。
1698322405# #张阿姨也有春天。
1690470109# #吼几嗓子。
1693742145# #你就不能分二顿吃？允悲
1693916412# #关了二天的空调又开启了，太热。
1704094634# #剧版《三大队》刷完了，还有什么好看的剧推荐一下？
1698908298# #天津大学生举报助学金被穿aj同学挤掉这就过份了！
1698211012# #大杨哥怒批李佳琦挟持商家李佳琦就是直播界的h老大，对商家敲骨吸髓，对粉丝极尽期骗忽悠。
1689034370# #本来旁边有浅滩，大家可以从浅滩上过河的，现在把浅滩挖了，要过河要么走桥交钱要么绕路。
1699667265# #你知我知大家知的常规操作。
1700701354# #在传统文化中溶入现代元素，将戏曲与流行、说唱等结合，创编出10多首国潮音乐惊艳网友，“95后”戏曲硕士刘书含走红网络，登上央视，让年轻人看到戏曲有多“潮”！
1696301896# #以前，又有谁敢说？
1699599185# #吴艳妮说我真抢跑了又怎么了小丫头这是转行了。。。运动员转行网红。
1697325794# #转发微博
1697845269# #对待养猫养狗，我的看法就是普通个人坚决不能饲养列烈性犬。。饲养人必须规范饲养，对饲养行为负责。
1686926900# #人家有时间有专业团队，实力雄厚，输了赔的那一丢丢算啥？咱普通人耗不起赔不起。资本家太坏，淡水湖的张女士失算了，珊瑚还得海水浸，现在陷维权的泥沼里了，进也不是退也不是。
1697816416# #某厅长就弄了5.5亿。
1692069663# #老王，你告之了没有？
1694247507# #张雪峰换mate60后matex5开售张雪峰问华为什么意思填错志愿了呗，还能什么意思。哈哈
1691399568# #中纪委曝光一台直线加速器回扣1600万白衣魔鬼吃起人来更狠。
1701948515# #周世平集资诈骗逾204亿元非吸1090亿，集资诈骗204亿。。咱老百姓口袋哪还有钱消费？
1700838537# #陈耀老婆？
1689092949# #吉林私搭浮桥案或涉违规采砂搭浮桥24小时派人值班是为了安全，这善事做到这份上，菩萨老爷见了都得站起来深鞠一躬，让座。。再给大家说点涉案金额只有52000多元的事。除了来往车辆流动性大，难以查证的原因外，还有二个问题点，鸡贼的地方在于这种人怕事发查到收费记录，往往会收少部分电子扫码付款，
1691638064# #反腐有几个重点领域，必须狠抓严查，常抓不懈。。这几个重点领域分别是医疗、教育、政法、房地产和文艺。。医疗，腐败重灾区，病人苦医疗腐败久矣。无论帝王宰相还是平民百姓都得生病都得进医院。病人进医院，就是医生案板上的肉，医生说几何就几何。病不起不能病，一病回到解放前，因病返贫因病走上绝路
1698249074# #倪妮手串塌鼻子倪也来乌镇了？
1689648077# #实际情况是很多人虽然达到一本线，但进不了一本学校，仅能进二本或三本。现在的情况就是，达线的低分生志愿填好了，可以捡漏进好学校。
1690789453# #起码１０年以前的。
1688789925# #男子地铁上掏下体猥亵被揪着报警是没有掏出来，而是动作像？二手叠起来垂在“车库”前面，很多人的自然动作，尤其拍照时。
1702085098# #是的。
1687135140# #这车开的！
1692858748# #中国人寿在办200个大病保险项目，覆盖3.5亿人good
1699147566# #最佳女主角不是惠英红最佳男主是梁朝伟，就注定了最佳女主角不可能是惠红英。
1697346844# #拍戏都不敢拍脸。
1692600253# #转发微博
1692611097# #没看到带的锂电池有多大的信息。
1699014382# #小丫头，哪来的自信做人爹？
1703339172# #不能这么说，不怕贼偷就怕贼惦记。
1687509536# #银川爆炸事故第1晚顾客坐店外就餐银川开展为期1个月安全生产大排查餐馆老板称管道燃气初装费要三四万安全事故等级划分标准本次银川事故属特别重大安全事故。重大和特别重大事故都必须上报至国务院，由国务院组成的调查组调查处理。。。下附事故等级划分标准。。。安全事故一般划分为4个等级：特
1701046705# #首例讹人老头被判刑这种都要进炉子的人了就是判刑也不是实刑吧？
1695531125# #小仙女把自己玩进去免费吃住14天。允悲允悲允悲说实话，人长的还不赖，就是脑子有点不及格。
1703291022# #这大冬天的衣服那么厚能磨出什么感觉？允悲允悲允悲允悲剪刀侍候。。。【女生称公交上被男子多次用下身摩擦：躲开又跟来，很恶心怒】12月22日，湖南湘西。有女生称公交上被一男子多次用下身摩擦。当事人称，当时是早高峰，公交上人比较多，一位目测四十多岁的大叔比较奇怪，感觉他一前一后的
1686986866# #马云在东京教书换个地方继续吹牛。
1688703093# #人生前一大半的奔跑时，她在家里等他；而最后这几步，他要带着她一起。这，就是“奔跑的花棉袄”奚占玉大爷。
1697814194# #别轻视狗奴群体的力量。
1699405715# #HM先森家的HM弄不明白，把患病学生移出群是什么S操作？
1691478067# #港媒曝杨幂斥5.4亿争夺小糯米抚养权大幂幂厉害了！
1696132502# #西北师大通报学生保研后资格被收回不明白这里面的道道，有知道的说说。
1693525871# #税务总局称会对宋祖儿开展税务稽查第一次，补交加罚款。
1701080919# #转发微博
1699144181# #美女们都玩的这么生猛？
1698030478# #国家烟草专卖局局长凌成兴被查。这可是只肥耗子。
1699585522# #雷电就喜欢这种人。
1688398719# #蔡徐坤报案回执看出有什么不一样的地方了吗？逗你玩呢，拿大乃吓小就。
1699057199# #又是那里的。。。河南南阳农户高粱被当地村民抢割又是河南，能不能把这群人都抓了，万一又被机器压了怎么办呢？
1697927091# #找个老公结婚。
1692745009# #百万网红被闺蜜骗至东南亚生死未卜美女，人应该活着，只是……
1700000777# #黑龙江五常市政务大厅整改挺好的，几时能把企业负担降下来，让老板们也实行6小时工作制。
1699182180# #【成都一女子足疗店按摩被男技师猥亵店长：师傅手法没有任何问题】11月5日，四川成都。李女士在足疗店做项目时遭到男技师猥亵。据她描述，10月29日，她在足疗店做头部按摩，男技师在以调理宫寒为名，未经同意将其内衣解开，并触摸其私密部位。事发后李女士报警，警方以涉嫌猥亵他人，对涉事男技师作
1689653990# #这种小语种的出来倒是不愁出路的，可惜了。
1700143795# #明国平等三名缅北电诈头目被缉拿归案接下来怎么处置另外几家？
1693054290# #很多单位都这样，看谁更无耻更不择手段，劣币驱良币。
1699088824# #长的明明很普通，哪来的自信不让人看。
1691399422# #乍看以为是暴走团的老奶奶！
1688018787# #多家高校发公告停用微信支付云闪付机会。
1697154438# #多名公费师范毕业生未履约被通报毕业证暂扣，凭介绍信去履约报到，等履约完了再发毕业证。
1693445620# #北京大爷见女网友被骗800万后去世大爷真有钱。说明有钱人还是多，俺拖大家后腿了。
1702565003# #数字都P错了。
1694175772# #医药反腐停了？
1687919774# #卸下面具，不顾吃相了。
1690677910# #珠宝行业水太深，而这个女孩却把进货的真实价格告诉买家，真是颠覆认知的事情，这说明一是货真价实，二诚信为本，三是不会买到假货。为这个珠宝鉴定师女孩点赞good
1687055016# #许宏教授深耕考古领域近四十载，在抖音上教人“玩土坷垃”，将考古学这门“小众”学科用通俗易懂的语言讲解考古知识，让更多人真正了解这个学科。这，是一位火出圈的考古老教授。
1697285005# #国产货好。
1697501235# #90后男子闪婚没几天妻子失联仙人跳之婚骗。
1687760429# #这些个脑残傻逼，给他注销国籍没收身份证就开心了。
1690460123# #民政部回应结婚必须提供户口簿其实只要婚姻登记信息全国联网，结婚登记人只要凭身份证登记就行。。凭户口簿登记是防止重婚，骗婚纯属扯淡。户口簿上的信息明显具有滞后性，又不是及时更新的。没迁过户口的，就还是原始登记的信息，防止重婚，骗婚从何谈起？。结婚登记需户口簿的唯一作用就是确认下父母
1687276557# #炎亚纶评论了崔秀彬ins我一直以为炎亚纶是个大美女，今天才知道是个弯哥。
1689648562# #好像有限额的。
1694183786# #转发微博
1697726088# #把这杂碎抓了处以狗刑。
1698738510# #恒大歌舞团4年间由78人参保减为0冷水洗鸟。
1699279971# #这玩意仅能辅助，道路状况非常复杂，不能把生命安全交给这玩意儿，一旦出事都没机会后悔。汽车不像手机，手机有问题最多损失的钱，车子系统出问题可要的是命。
1688626208# #今年我还没自己买过西瓜，我喜欢吃那种小香瓜和桃子。
1691561525# #咱老百姓啊，你也不要嫌房价贵，公摊面积大什么的。有本事大家都并牢，坚持三年都不买房，你看它房价还贵，公摊面积还大？。房子又不是吃喝用品，你不吃不喝没法生存。
1696425229# #经常显示5g信号满格，但刷不出来。
1687755057# #很多租车跑的，发现辛辛苦苦每天14-15小时忙忙碌碌的是在为平台挣钱，自己最多能月入4000。
1693410783# #还是个双插头。挤眼
1693009251# #女子在缅北被压榨两年后回国自立门户看吧，知道去那些地方的都是些什么人了？
1699660064# #男子称信用卡欠3.1万13年未还变40万亿元行长们的奢侈生活总得有人买单。
1696779431# #直接用铁锹挖，还可以捡泥鳅。
1690504141# #房子烂尾女子停交房贷上黑名单从制度设计上来说，根本不可能有烂尾楼出现的。打入监局账户的购房款被开发商弄走补窟窿或干别的了，才导致的烂尾。。监管账户的款子是专款专用的，竟然能被开发商弄出来干别的，最起码得弄通住建部门和银行二个部门才行。。现在房子烂尾了都没银行和住建部门什么事，只有
1699660205# #刘涛白色露肩马甲连体裤离了吧？
1698967143# #有了新梗忘前梗。
1688805221# #走在前做示范江苏有能力也有责任苏大强【走在前做示范江苏有能力也有责任】近日，习近平总书记在江苏考察调研。说到江苏，会想到一个字：强。江苏产业基础坚实，科教资源丰富，文化积淀深厚。经济大省要挑大梁，走在前列更要做示范。江苏有这样的能力。。。这次总书记到江苏考察，赋予江苏四项“新
1698148508# #转发微博
1688039733# #山东龙凤四胞胎同圆大学梦这学费也够吃一壶的。
1700199003# #转发微博
1687827138# #美女讲解兵马俑！
1698051716# #有的人离婚证都四本了这太损了点吧。
1690854772# #王楚然工作室聊天记录疑似P图人没红，乱七八糟的事倒不少。
1696506518# #刚才后面查酒驾。。一出租车司机酒驾被抓。。还有个喝了酒不让老婆开，非得自己开的被抓到。
1692162454# #陈坤两个孩子有两个孩子不稀奇，关键是孩子妈是谁？
1688310314# #摸一摸三百多。
1687484286# #转发微博
1688694850# #哈哈哈最右偷笑
1699934422# #小S说不想和具俊晔演吻戏床戏我可行。姐夫和小姨子演床戏，没得说。
1688106527# #鞋脱下来抽她二记，让她找鞋子厂家去。
1700870702# #淘宝取消双12不取消仅会更尴尬，比双11更惨双11已经够尴尬的了。。取消不取消都不影响已消费者动力不足，袋中有点难为情的现状。
1693644733# #我遇到也是，五脚朝天，爱咋咋地。
1694560412# #宋喆出狱名下已无公司去给宋喆接风没有？
1697812024# #来
1696979732# #知音握手，我喜欢性感美女，对黑丝大长腿没一丝免疫力。允悲
1698103370# #转发微博
1698967860# #苹果用户称被软件自动扣费三年损失8千元苹果的衰败来得早了些。安卓手机如果没有流氓软件会更好些。
1696298949# #转发微博
1689125546# #【违建浮桥当地采砂场视频曝光】据7月11日，本频道收到吉林当地知情人士通过中间人投稿的独家视频，取得了吉林白城瓦房镇某采砂场多段现场视频。该系列视频中，展示了彩钢瓦房、砖房等建筑，多种工程机械、地磅等设备，以及堆积成山的砂石。
1696082963# #为了“面子”花大价钱买了个车标。哈哈
1687878023# #女子找工作政审发现莫名背上犯罪记录人在家中坐，牢从天上来。
1692875150# #梁朝伟否认私生子传闻嘉玲姐很不开心。
1699431117# #金莎男友大学生勇闯娱乐圈看上去更像小奶狗🐶。
1688436292# #欠银行钱的也是存款不足10万这部分里面的。生病
1699531587# #咱们浙江的警花。
1696857481# #抓不完？
1689779007# #如果前期反复复读赚到大钱也就算了，否则就一天世界。
1688200615# #潘功胜任中国人民银行党委书记嘉兴学院走出的杰出人才。
1698993844# #那你干脆黑袍蒙面出门。
1694265772# #生病
1701782542# #这么多？
1693532264# #各大卫视删除宋祖儿相关微博麻烦大了。
1688525016# #原副市长妻子打人耳光成习惯这女人一看就是泼妇，副市长怎么找了个这么玩意儿做老婆。
1689821153# #孙杨张豆豆官宣结婚张豆豆做了件功德无量的事，但黑眼圈要注意休息。今后处理家庭事务是件任务艰巨棘手的事，要有足够的宽容心包容心和耐性。。绝非唱衰。
1691201597# #严查高校毕业生就业数据作假高校毕业生就业数据造假都是公开的了，从我们那时候就开始的，没有就业协议不给毕业证，只要想查真查，没有一个学校能幸免的。
1699108209# #迪丽热巴换手机壳庆祝入住大床房那么大的床，浪费。
1689558424# #感谢！为我解开了一个谜团。
1703753607# #看了智己和飞凡实车，造型确实漂亮，不知驾驶体验怎样？
1694013514# #三个苦命人，现在更是雪上加霜。
1689060112# #28岁女子被高空抛下砖头砸中离世作孽，又遇到一个精神病患者。
1697691795# #转发微博
1704088366# #感觉网上关于三个室友因为嫉妒朱令以及被她晚归影响睡眠合谋对她投毒的爆料可能性还挺大的。特别结合另一个爆料，朱令第一次生病后，孙维说了很长一段话劝她休学一个学期回家好好养身体，如果这个是真的，那么很明显投毒就是为了让朱令休学搬出她们宿舍。
1687700520# #父亲拒绝给钱买毒品被儿子殴打致死好那一口子的干出啥事都不稀奇。
1703888524# #屠龙的胭脂井管培生001莫名其妙的把我拉黑了。太玻璃心了。
1693673815# #转发微博
1698329832# #钟楚曦否认出轨这，难道不否认还承认？
1701824283# #总是喜欢乐于助人！嘻嘻
1692113935# #秦牛正威不满和都美竹同场观影不满是正常的。如果发现有都美竹在场，应该立马甩身走人。
1699137374# #当事人回应获评助学金后坚持再举报天津中德职业技术学院助学金评选事件发展脉络。。。举报当事人朱旺今后在校的日子肯定艰难，面临被孤立被刁难的处境。。。学校的处境也极其尴尬。助学金评选舞弊也非中德独有，在别的学校也普遍存在，不符合条件的评上，符合条件的却没评上。。。目前双方处于僵持阶段。。。
1693065890# #馋嘴
1689777999# #第15次高考的唐尚珺被退档结果如我分析。允悲允悲允悲允悲
1698018729# #女子带婴儿被3条流浪狗围攻咬伤流浪的大型犬和烈性犬都要抓起来收容，尤其是烈性犬必须消灭掉。
1688791818# #广东顶尖985+211双一流名校:华南理工大学。广州/深圳配合☞2-3次线下考试。最快一年可以考完所有科目，一年半毕业拿证。庆祝预计最快明年6-12月即可本科申请。欢迎大专在读/毕业的学生咨询报名参加。。形式简单，可操作加分，配合考前稍微复习看下资料即可勾引勾引勾引。限定人力资源管
1702370233# #老鼠像小猪。
1698309971# #长江大学回应主题讲座播放不雅视频病毒被黑的最惨一次。
1699716581# #钟南山称近期将有新冠感染小高峰现在再感染还算事？应该不会比感冒还难受吧？。。俺是新冠绝缘体啊，从流行开始到现在没中过标。。。俺还是单位的防疫负责人，整天和那些感染的员工打交道，也没什么特别的防护，普通一次性口罩戴着也是美化效果大于防护。。。自19年到现在，感冒都没得过。
1692547382# #转发微博
1699701327# #天冷就弄个锅子呗！
1691399359# #马老师在表演挠痒痒？
1698030380# #进庙烧香菩萨听了站起就跑，头都不带回一下的。
1691117874# #杭州一幼师花700多万做美容称被骗这脑残程度得多严重。
1691331793# #那些地方还是不去为好。
1698148444# #秦刚被免去国务委员职务看来傅晓田的事也是真的了。
1699312573# #用着8000块电脑的贫困生一个用8000的电脑，一个穿AJ，半斤八两，都是建档立卡二等助学金获得者，互薅互斗。
1698541185# #现在的企业越是人性化的管理越走的久走的长。
1698997003# #今天犯了个严重的错误，差点把饭碗磕了。。。错误和那些官员把发给情人的信息发到工作群的性质一样的。。。同事发给我一条信息，我回：尽干这些脱裤子放屁的事。。。天啦，犯天条了，信息没有回给同事，而是发错到工作群了。。。同志们，同志们啦群里，群里，老板刚发了一条工作指示，正好和我发错的信息上下
1699365970# #【卖出生证医院院长多次要求与曝光者见面】打拐志愿者上官正义劝贩卖出生证明的院长自首，涉事院长多次要求与其见面。。官方通报医院被举报贩卖出生证及婴儿
1691545500# #张兰发律师函回应被大S起诉邓高静姐妹俩。
1695687197# #辽宁一公职人员1个月给儿子办3次婚宴收66万有的人一年过几次生日呢！
1695952286# #刚刷了《消失的她》，竟然刷睡着了。。塌鼻子倪，有点美人迟暮的感觉，脸上皮肤明显的松驰，左脸还有些大，不对称，是用了科技吧。
1699713102# #谁能告诉我，这是在哪儿？帮朋友问的。
1700789622# #这家伙快活完了。前丹麦的诺伏公司，后一拆为二，诺和诺徳及诺维信，前者制药，后者生物制剂。胰岛素就是该公司研发的。
1698747466# #67岁大爷农村出租屋嫖娼被抓抓这种老头乐干啥？都是些活一天少一天的大爷大妈，老年人也得有点乐子。还是留点缝好，否则乱七八糟的事就多。
1688570661# #晚上好
1699717057# #允悲
1698585966# #福州市委书记称百姓都用自来水泡茶我平时在宿舍泡茶也都是用自来水。
1699885329# #确实。
1703158038# #转发微博
1699353036# #能中吗？
1689943634# #哈哈
1697800773# #西安某学院女生和军训教官在主席台“开战”，太生猛，都不避摄像头的。
1702139338# #转发微博
1698408206# #刘嘉玲晒梁朝伟是枝裕和合影刘嘉玲的洁癖，梁朝伟怎么受得了的？
1699091018# #是的。
1688200874# #歌听过不少，人长什么样还真不知道。
1698123999# #汪峰前妻葛荟婕直播放倍儿爽我能说这是幸灾乐祸吗？
1698408588# #打车金额差1倍司机被吊销运营资格上海的出租车，这事情蛮多的。还是乘网约车吧。
1689394199# #群多的经常会这样，本来准备给某人发微信，突然有信息进来，尤其同时有多个不同的群有信息进来，最容易发错，如果你一边发微信一边头脑里还在想别的事，发错的概率很高。我们单位也发生过，我本人也有过。
1696689998# #允悲
1697857767# #你以为你是许家印？
1691371940# #大灾大难面前冲在一线的永远是人民子弟兵。
1702107004# #血脉相连，生命相托，捐出“生命种子”，让爱在血液中流淌，爱在延续！
1692318177# #最多是富豪朝一线挤，对房事没多大用场。
1688875348# #检查是不是歪把子，有没有缺蛋。
1697861110# #这张可以避邪！
1700037958# #小米汽车这样的小米你喜欢吗？
1698235462# #男子1元拍下价值12万奔驰后成功提车还真把车提到手了。
1698285627# #这玩意儿白老师玩的溜。
1701440741# #甘肃发现超亿吨级整装大油田是不是油价比水便宜了？
1693051913# #为何让做彩超不配合？
1700120935# #大批艺人已停播直播带货和直播的掘起对实体经济有百害而无一利。。打开视频网站看看，都在搞直播，没人愿意进厂拧螺丝。。进厂打工实苦，每个月上班，每天上10小时到12小时，累死累活的也就七八千，又被管的死死的。。这就是现在人不愿进厂的根本原因。
1699448400# #中山二院人士回应乳腺肿瘤实验室已拆除消防检查不用拆除实验室吧？检修也是检修消防器材。
1699527936# #都动不了了，还敲闷棍？
1701825628# #蔚来李斌称独立造车可降低10%成本那也要管理跟得上，如果管理跟不上，增加30%的成本也不是事。
1700137035# #现在的专家说话像放屁，人放屁还要夹着点小心翼翼的不出声呢。
1693622485# #哎，我们家大一大二每月2000，大三开始每月2500。
1701441989# #财富自由，享乐人生。
1698248225# #基本上。
1693842449# #这钱垫脚下总比她高了？
1700701310# #李思思从央视离职后40天主持3场商演轻轻松松入账100多万。
1695558936# #我认为只要不是偷拍隐私部位的都应该接受。
1695182261# #老庄和陈厅变化都蛮大，他俩以前左的大了点。
1688515707# #挺好的女人，有台阶就下，回眸一笑泯恩仇。
1689950863# #女子实名举报称八年前打工遭奸杀未遂强奸罪判三年，合适。本案中据女孩自述遭罪犯掐脖窒息晕死这一情节没被法院认定，如果认定，还应➕判一二年。
1690259884# #那些人也是中国人，他们只会汉语。允悲
1697067814# #华为难买应该是预估不足，隔壁的配套厂招的小时工工价现在都27了，前阵子还是18到21之间。说明现在已在加足马力生产。
1690944086# #干的漂亮！。亚朵酒店水壶里有内裤系顾客自导自演【亚朵酒店水壶里有内裤系顾客自导自演其已被采取强制措施】近日，江苏苏州，顾客发文称入住亚朵酒店发现水壶中有条内裤，且浴巾上有大便残留物，引发关注。7月31日，发布声明称，第一时间提级开展核查，经调看酒店走廊公共监控视频、房
1698553367# #男子砍人未被罚数月后驾车撞死母子2人凶手与被害人是同学，被害人乔迁之喜请几个同学曾回来聚餐。俩人没有任何感情和经济纠纷。。。交友不慎，遇人不淑。。。生活中一定远离心胸狭隘、生性多疑之人。。。凶手曾多次带凶器到被害人家搞事情，当地派出所没有处理，最终引发惨案。。。像我们这种到了一定年龄的
1697094337# #转自中国新闻周刊。。【官方回应郑强事件】当事人回应举报郑强近日，一网友举报太原理工大学党委书记郑强与其前女友有染，引发广泛关注。10月11日，举报人对称，2015年7月的一天凌晨，郑强给其女友打电话被他发现，几个月后双方分手。举报人称，今年3月他和郑强见过一次面，对方劝其
1697035998# #是的，车必须是当地的牌照。人没要求。
1697203335# #我是男人，说实话，隔着裤子打飞机，隔靴挠痒都比不上。
1688429769# #蔡徐坤代言的燕京啤酒股吧炸锅品牌方选艺人，尤其是流量艺人，又慎之又慎，稍有不慎就踩雷，踩雷也就算了，最恶心的是踩了坨狗屎。。还好，我喜欢的演员，都没这些乱七八糟的事。
1698505729# #转发微博
1689121908# #男子在被卖到缅甸途中跳车报警看来去东南亚国家风险还是挺高的。
1699527627# #→→
1690121016# #谢谢狗狗赢牛奶
1699458097# #来加个码！加上iQOO电竞全家桶（iQOO12Pro+iQOOPad+iQOOTWS1+iQOO无线蓝牙游戏手柄+iQOO散热背夹2），酷客们记得转发！iQOO引领百大游戏迈进144帧时代
1698502393# #曲靖云南警方通报迈巴赫乘客打伤行人一事【曲靖六九医院门口冲突事件通报来了】2023年10月27日晚，在曲靖城区六九医院附近，一伙开大奔的“社会”人员，过斑马线不礼让行人，行人开口提醒开慢些，几名男女下车疯狂殴打该男子，他们的嚣张跋扈一幕被围观群众拍下。多段视频在网络引发热议，被某种
1688900324# #济南大学已报警把这些个唯恐天下不乱的坏逼揪出来，送去踩缝纫机。
1688780700# #男子地铁上掏下体猥亵被揪着报警那么小也拿得出手？
1688031845# #路上电动车开慢点，别横冲直撞的。
1701388160# #造谣敲诈勒索郑强教授的吕某被釆取强制措施造谣并敲诈勒索太原理工大学郑强教授的吕某已被公安机关釆取强制措施。
1686963174# #遇到我家五月就倒霉了，我经常喂它火腿肠。笑cry
1690115629# #转发微博
1698901064# #湖大回应社会人员与学生发生冲突只因在人群中多看你一眼。
1699791452# #女子结婚2月流产要离婚丈夫起诉还彩礼职业婚骗，被砍也是活该。。。现在的捞女，呵呵。。。翟欣欣真的是幸运，还能活着。
1688194567# #官方回应江西赣州3名小孩被杀害现在都是些什么事儿？
1699717267# #一朝倒退十年前，这个国道重新收费是个标志性事情，它证明了这么多年的经济发展是失败的，是倒退的，以前取消的各类收费可能会重新开始收取，十年成一梦，惨泪
1695870574# #在哪捡？
1699536445# #宋尔卫回应学生患癌事件一句“都是造谣”寒了天下医学生的心。
1702876178# #佟丽娅入股陈思诚公司夫妻不做，不影响一起赚钱。
1698736868# #汪海林演讲汪海林不是忙着在拉黑网友，怎么有空演讲了？
1687307024# #曝炎亚纶与未成年人发生关系把未成年就掰弯了。
1691560604# #都是大哥买钟买出来的啦！
1688529587# #给小费时多给二张啊。
1689918427# #这种傻逼我也遇到过，我开网约车那会，两个傻逼也是猫尿灌多了，我按平台规划的导航走，他们非说我绕路了。我说你们以为我也像你们脑子有屎，一口价单子，你们说说，绕路对我有什么好处？再特么的叽歪都给我死下去。
1690123700# #张大奕官宣领证结婚蒋总夫人松了一口气，悬着的心放下了，晚上也睡得着了。
1689044396# #转发微博
1701867878# #我可以拿45万的补贴。
1687482707# #转发微博
1702812057# #这背景声音不对劲。允悲
1687132133# #内蒙古城管执法中队负责人出轨女下属每天都要吃乃，说明人家还是个孩子。
1700640727# #125名赴印尼跨境裸聊电诈嫌犯被批捕知道国内管的紧，查的严，都溜到附近国家去干了。
1699880416# #浙江明早可能冷到破纪录现在好像一年只有二季，夏季和冬季。
1692896182# #女子晒单位处长送情趣内衣做礼物广西山歌很好听
1701050879# #国考考研报名人数一升一降平均77人竞争一个岗位。
1698303255# #谁把我给激怒了，我骂起来更难听。
1694318498# #不懂就问，美女脸上挂大门帘是干啥的？
1688961739# #这不就是个骗子吗哆啦A梦吃惊
1688351962# #贾会计还是有点格局的，根本看不上普通人口袋里的那三瓜二枣。
1690186399# #来钱真快，转个身50万。
1687793446# #妹妹考了702分却哭了一下午702分还哭，这分数冲清北，其他的985妥妥的吧，保底211。
1692115657# #你解释下。
