1701961393# #有很多疑团等待揭开
1693324059# #导游发视频吐槽鲁山天价雕塑收到威胁信鲁山这波操作，火上浇油。
1699953406# #转发微博
1697511625# #有一种所谓的“侧卧式”干部冒了出来。。他们碰到有名有利的事或场合则“站”出来、露个脸；碰到无名无利，特别是有可能担责、有风险的事或场合则退避三舍、销声匿迹、不见人影，或躲起来或躺下去。。“侧卧式”干部最大的特点就是见风使舵、见机行事、规避风险、趋利避害。他们往往不是从事业发
1693401893# #转发微博
1694491124# #辟谣一本正经说瞎话，美其名曰网络营销蹭粉新手段，这不就是造谣吗？。评论区里纷纷跟着调侃方式造谣，外地网友或许会信以为真！。互联网乱象！迷惑行为大赏
1694948677# #如果继续跨界，酱香会变味，恶炒过度，令人生厌…。网友调侃的茅台与客房营销，出来了！“茅+房”
1695183601# #男子带抑郁症妻子送外卖疑似摆拍多机位拍摄……
1702955506# #警方通报女子言语滋扰执勤武警抄都能抄错。“黄浦”并非“黄埔”。。媒体要严谨！热点舆情
1699171233# #公职人员猥亵未成年人，被警方处以行政拘留9日。处理结果引发网络热议，质疑声较多。。尉氏县回应，成立联合调查组进行调查核实。
1700924395# #我本是高山今天去看了这部电影，四个字：值得值得！主角不完美，贴近生活！。如果这是一部说教式的电影，公知们会捂着嘴笑。。让公知们攻击，说明电影是成功的，值得期待的！
1698453231# #视频发给你们了。宿州发布
1696689399# #六安地震这标题真“棒”👍。“刚刚体”！。“刚刚，安徽地震！”。博大精深，撼天动地，发人深省，震耳欲聋，震撼人心……。有一点缺憾，没说“刚刚，中国地震或者地球地震呢？”
1698393633# #迷惑行为大赏安丘融媒下面就一位同志兢兢业业地留言评论，也同时凸显出其他“朋友”的敷衍态度。。微博作品没有评论不丢人，就怕评论区里敷衍应付。这十余个账号，每天坚守岗位，在评论区留言，不认真的样子好尴尬！清朗行动
1699844940# #阜南二中这位老师被人恶意诽谤，损害名誉，被侵权的老师应该依法维权。。造谣动动嘴，辟谣跑断腿，要让造谣者接受法律的严惩，清朗行动，坚决打击这股歪风邪气。
1693607973# #梧州
1698711503# #转发微博
1692276559# #迷惑行为大赏打卡长隆欢乐世界，坐了垂直过山车之后，感叹：活着真好。
1695254350# #转发微博
1695357862# #河北一中学多名学生疑似食物中毒【河北一中学多名学生疑似食物中毒医院：就诊学生有腹泻等症状】9月21日，河北邢台宁晋十三中多名学生出现疑似食物中毒症状。有家长反映，学生吃了学校饭菜后出现呕吐腹泻，目前已送医。宁晋妇幼保健院工作人员称，该院目前接收到大概7名学生，有学生出现腹泻等症
1691203805# #清朗行动三年前的视频，被媒体嫁接在河北涿州的洪灾现场。。看起来是正能量的宣传，但是背离客观事实的宣传，是低级红高级黑！。整顿自媒体、媒体，先从新闻真实性抓起。
1704120132# #转发微博
1694273474# #胡锡进是在故意制造争议话题
1691209027# #闭着眼抄，不动脑子，自损公信
1700114220# #山西永聚煤业火灾已致19死大家可以回忆一下，今年吕梁市发生了几次舆情事件？有些舆情看起来就很离谱，比如博物馆馆长与区长的舆情…
1704085488# #转发微博
1701352346# #清朗行动这是你的股权架构吗？。武汉带节奏网络科技有限公司
1700812076# #这个提议颇具创意，有很强操作性。
1698392463# #你们评论区纪律严明，这几位网友“辛苦”了。
1703988381# #这也是指尖上的形式主义
1691305869# #危急时刻，中国人民警察大学的党员、教授站了出来！临时党支部成立…大家有了主心骨！这就是真正的共产党员，人民的先锋队员！
1697282058# #财经大学果然懂得理财，花小钱做出大效果！。这个学校是懂得传播的！
1696236299# #支持！先把视觉中国撤掉
1697781107# #这个话题会引发多方争议
1696888410# #以色列中国留学生男友临时入伍这个新闻话题语法不通顺，中国留学生的以色列籍男友临时入伍……
1694612319# #大姐可比小仙女强太多了
1693152952# #该事件发生在2023年1月19日，安徽阜阳阜南南湖公园大摆锤座舱转到高处停摆。故障不到10分钟，系两边游客体重相似导致。（请注明事件发生时间，不要误导舆论！！！）
1697632049# #聪明人没走正道
1701790206# #酒驾新标准来了，被众多媒体错误解读，以讹传讹！
1697514444# #林品貌似更加没品
1698066210# #教育局回应著名教师发文意淫同车女乘客这个著名教师，“著名”出自官方认证吗？
1701418402# #转发微博
1701847194# #假新闻，内容不实
1696226119# #清朗行动齐鲁晚报济宁融媒，三年前的视频，被你拿出来旧闻新炒。
1693990128# #清朗行动人民热评：“张艺谋老师逝世”，缺的是“的”，更是德！
1700304969# #校方有了回应。这不是一所学校的责任，从专科本科开始，他就在骗！不仅骗学校，还骗了当地武装部和各级党组织
1694747978# #张某，涉嫌寻衅滋事和敲诈勒索……
1701674644# #转发微博
1696224947# #微博辟谣媒体造谣，及时辟谣。政务新媒体账号存在的重要意义！该出手时就出手！
1696168496# #据杭州亚运会官网最新消息，中国选手吴艳妮女子100米栏成绩被取消。
1693348938# #导游发视频吐槽鲁山天价雕塑收到威胁信鲁山的这条通报暂时回应了几个舆情热点，避重就轻。
1700567485# #看落实情况
1698496727# #微博评论区，今天的三位网友在刷评论，“步骤一致”，像极了“三句半”。
1693451932# #鲁山雕塑舆情
1694273761# #转发微博
1703082042# #老胡说，亏到五万要跳楼呢y
1703571848# #剧本就不更新一下吗？一到特殊纪念日就搞扒和服这一套。
1703328718# #报社不懂法，很可怕。
1695181681# #转发微博
1697806011# #这种人居然能成为网红？
1700367089# #来，以色列使馆，跟我一起喊一句谴责南京大屠杀，我就支持你摊手
1702824109# #朋友圈闻神刷屏特意来刷热搜，看看他是谁
1699324600# #这视频要是炒作起来，又毁掉一个词：名师工作室。
1704112283# #@淮南发布
1701326899# #有条件做病原检测的可以做，没有条件做的患者也不必恐慌，医生会有针对性地进行经验性治疗。
1701400158# #因郑州暴雨被降级的市长重回正厅级自带流量的省份。
1698883364# #转发微博
1696552050# #陈某煽动误导村民拿东西被刑拘。无法理解，南阳市委市政府为什么隐身幕后，任由迷笛表演？效果已经很明显了，迷笛来主导舆情处置，形同火上浇油。
1693151023# #该事件发生在2023年1月19日，安徽阜阳阜南南湖公园大摆锤座舱转到高处停摆，游客倒挂空中。管理方回应，故障不到10分钟，系两边游客体重相似导致。请注明新闻发生时间！！！
1702308549# #周海媚工作人员拒绝回应网传消息希望消息不是真的。
1701913980# #被网友吐槽
1701072774# #能骂汉奸吗？如果不能骂就算了
1697636488# #晚上的高铁，人不多。
1699171369# #应该不是扎金花，每人发了五张牌。
1700924658# #之前，喷电影的人未必看了这部电影。我在观影过程中落泪了。这部电影值得推荐，我要带孩子去看。
1691447143# #立秋立秋了
1696687465# #迷惑行为大赏穿校服的新娘，拍了拍新郎，。新郎转身之后就开始哭😭😭😭。相恋6年、8年、10年、11年，总之，上学的时候要是不能成为学霸，就早恋吧。。学业无成先成家。。（开始怀疑这些视频就是校服的广告）
1704105166# #转发微博
1696903670# #转发微博
1697008379# #评论和转发调调不一致呀，有意思
1703297241# #众里寻他千百度，蓦然回首，杭州天气仍在灯火阑珊处：99999.9度！
1691655303# #湘雅三医院9名医务人员联名举报科主任坐等调查结果。
1702854935# #恶俗炒作，依法严惩！哨兵神圣，女子已经涉嫌寻衅滋事。
1696348098# #等等，这个公方彬居然是国防大学教授、博士生导师？？？费解费解费解
1697123769# #转发微博
1701767837# #他都不知道错在哪。省市一级政府都没有资格发布“戒严令”，襄城区也不例外！襄城区人民政府官网为什么没有关于此次森林防火戒严令的信息呢？
1700113994# #转发微博
1701353373# #可参考
1696064527# #官方辟谣高铁超员触发报警新闻媒体造谣，怎么办？
1696860157# #清朗行动有一说一，大皖在采编新闻时有明显的“双标”倾向！。三甲医院不露名，。普通工人实名挂！。如此操作很双标，摆明是“欺负”合肥城乡建设局工作人员，把涉嫌存在生活作风问题，尚在调查阶段，刘某某的真实姓名赫然放在了标题上！。再看同一天的另一条新闻，中国科技大学附属第一医院（
1701588592# #逻辑感人，“经济专家”观点新颖！
1700617305# #20年前的辩论赛
1700720738# #陈冠希主动谈起不雅照风波这个话题居然上了热搜。
1692149254# #直播带货，翻车。铁头没思考一下为什么吗？
1702203510# #不想着工作赚钱吃饭，你管饭吗？
1700553296# #迷惑行为大赏近期加大了工作力度，评论区留言人数有所增加。
1700473130# #转发微博
1692546212# #宿州皖北煤电集团的办公楼发生火灾…..网民评论值得关注，应当及时回应辟谣。
1699275299# #住持称与女主播发生关系后被敲诈这位住持真有实力，被敲诈三百余万，居然支付了百余万
1695448422# #睡懒觉
1695078606# #啊哦多邻国崩了
1692510026# #视觉中国称支持戴建峰报警大家都知道，视觉中国以合法的方式在牟利，多次违规也仅仅受到可以忽略不计的处罚。利益面前，脸是什么？
1703169466# #形象生动
1700821628# #萌宠成精了猫仔
1702859458# #安徽基础教育资源应用平台的手机app，是教师资源应用的官方网站，对学生综合素质评价，从真正利用起来是真有用的。。可惜，沦为形式。好的措施，落实不好，不如不搞。
1704079576# #罪犯子女考公限制是否应取消网友说的对，遵纪守法公民的孩子满足不了考公需要吗？
1701597302# #枪决死刑都便宜了他了，。应该恢复凌迟，这时候再说人权纯属扯淡。。他已被剥夺政治权利终身。
1697274961# #转发微博
1702562509# #海南速度，现场打脸。
1701080405# #做个提示：这是行业协会发的倡议，并没有政府部门参与，缺乏政府的信用担保，相关措施的合法性、可操作性还有待商榷，前景堪忧！。房产领域的问题不少，建议先把“保交楼”政策落实到位。解决好烂尾楼、解决好物业乱象，惠民便民！。标题有歧义，具有极强误导性！应该说“阜阳两民间协会组织发
1699933479# #被举报七宗罪副总去世前已离职被举报之后离世？？交个朋友回应副总裁被指七宗罪
1702725531# #转发微博
1701268323# #网传西藏阿里全体公务员为一女子献血1、关于网传西藏阿里全体公务员为一女子献血这个热搜，有带节奏的嫌疑。各地的血站日常有存血，但不多，如遇突发状况，血站会发通告或信息倡议志愿者献血。如果说全体公务员为一女子献血，显然是夸张了！所以，加了“网传”！。2、伤者包机转院是事实，航空公司、
1699401661# #允悲
1699747822# #转发微博
1701833947# #？？
1697897017# #网友乘地铁发现警犬已戴上嘴套为蹭热度，网友拍个视频；同样道理，媒体报道，也蹭狗的话题。
1701326131# #哪个参会的城市没有获奖？
1693970621# #转发微博
1702945254# #迷惑行为大赏如有雷同，纯属巧合（策划）。【某地涉黑案件二审，闹场剧本】。导演：某律师。主角：老母亲。群演：死磕律师团。第一幕情，内景：老母亲质疑，发怒，晕倒….法庭现场急救，乱作一团。律师不辩护先闹场，质疑法官，质疑法院合议庭，要求相关法官回避。。第二幕，外景：死磕律师团，在庭外拍
1691247847# #河北日报道歉评论区里有文章。
1693151090# #该事件发生在2023年1月19日，安徽阜阳阜南南湖公园大摆锤座舱转到高处停摆。故障不到10分钟，系两边游客体重相似导致。（请注明事件发生时间！！！）
1701183776# #谁知道这是哪个城市？。裸奔男在路口规规矩矩等红灯
1701614602# #不是罚单！
1694616293# #热点舆情邵阳市这位前区委副书记因醉驾被查，多名官员闻讯赶来帮忙捞人，有找人顶包以逃避刑事责任的恶劣情节。导致次日下午才重新提取血样，其现场呼气数值达到醉酒标准，可作为证据使用。。诸多恶劣情节，理应从严处理，当地法院判其免于刑事处罚，有徇私嫌疑，也开了个坏的先例，纵容此类犯罪
1698070374# #组织全省各地的教育宣传培训，四百多人的规模，不开思政课、不落实意识形态工作责任制的培训班，培训没结束就先发结业证，提“钱”结业，安徽青年报做到了。
1701244325# #胡锡进的那些事。迷惑行为大赏
1696332183# #转发微博
1701683559# #媒体错误解读，出现常识性错误。
1694045565# #河南方城县早餐会被质疑搞形式主义不坐在餐桌前，不吃东西，难道就不能开座谈会了吗？
1692149618# #举报新东方网红直播带货翻车网红带货，翻车！
1694063488# #截止目前，脱口秀演员李波关于合肥文旅部门审批演出的相关微博、抖音还能正常浏览，没有删除，李波在网络公开发布内容称：“合肥文旅审批演出的负责人有2家剧场，不审批演出事项……越穷的地方事越多……”。如果合肥包河文旅部门通报内容属实，则李波言行已经构成违法，散布不实信息，诋毁他人；相关部
1700143680# #缅北电诈头目明学昌自杀死亡缅北电诈集团涉嫌故意杀人其3头目被抓【缅北电诈集团3头目被移交我公安机关】近日，为依法严厉打击缅北涉我电信网络诈骗犯罪，我公安机关对缅北果敢自治区电信网络诈骗犯罪集团重要头目明学昌、明国平、明菊兰、明珍珍进行公开通缉。11月16日，在缅甸各方的大力配合下
1693870843# #一女干部要求每块砖缝无尘土沙粒不接地气，形式主义思想作祟，这样的领导到基层指导，就是在折腾基层。
1703583774# #你不是蠢就是坏
1695695229# #走近一线检察官【喀喇昆仑山见证“检察温度”】10:00，检察官一行路过喀拉喀什河，原来的建筑、生活垃圾消失了，清澈的河水从莽莽昆仑的崇山峻岭中蜿蜒流去。“我们认真落实检察建议，及时进行整改并作了书面。”赛图拉镇党政办主任王洪亮介绍，镇政府组织人员对河道附近堆积的垃圾进行了清理，
1693371847# #有我的案例允悲
1696865235# #喵星人窥
1701399738# #正能量需要传播哈哈
1701184648# #婚介所涉嫌诈骗……
1698657845# #转发微博
1702874764# #董宇辉成东方甄选高级合伙人东方甄选一系列热搜话题，就是互联网乱象。东西南北中甄选是乱象中的怪象。。神马玩意！
1694606570# #视频来自抖音！嗓门不小，手段也硬，坐等后续。
1697020827# #不得不说，以色列在中文互联网领域大搞舆论，道德绑架，碰瓷，风生水起
1696865443# #中国希望看到，以色列强烈谴责美国对中国发起的贸易战和科技封锁doge
1702354597# #律师致函江西民政要求公开彩票事件信息疑点重重
1700554468# #迷惑行为大赏“老师推一条”……。“👌推一条就推一条”……。。我不是老师，你别删啊！
1703637600# #格力回应被判赔偿奥克斯5849万元昨天的新闻被今天的声明反转。
1692613288# #@萧县发布
1692692386# #转发微博
1695448365# #转发微博
1701858279# #转发微博
1704096519# #→→@淮南日报社
1697275094# #允悲允悲
1698110744# #这种账号要及时封禁，要追究造谣者的法律责任。
1694092413# #衰衰衰
1695689259# #走近一线检察官【喀喇昆仑山见证“检察温度”】8:00，新疆维吾尔自治区皮山县赛图拉镇，安徽援疆检察官和皮山县检察院检察官们出发前往15公里之外、海拔3800米的全国重点文物保护单位赛图拉哨所遗址进行踏勘。赛图拉哨所遗址安葬着为了守护边疆安宁而牺牲的边防战士，这里有炮台、生活区、工作区、养
1701176841# #他以道歉的方式制造出一场他被网暴迫害的舆情。
1703296958# #杭州天气昨天发布的微博，火钳刘明。。上有天堂，下有杭州，主打一个错了也不修改。
1698834514# #清朗行动用来注册认证的公司早已注销，违规认证为“媒体”，微信公众号“法制江西”，发布违规资讯信息和不当言论，不仅账号要停更，更应该封号，对相关责任人员依法处理！。清朗行动，依法严惩。“法制江西”账号存在明显违法违规行为！
1695519131# #转发微博
1699418820# #中山二院深夜回应乳腺外科多人患癌通报难以消除网传消息带来的负面影响。
1692147752# #“销售权”，视觉中国玩的一手文字游戏！
1692203908# #收费了吗？
1699593273# #死磕派也很“懒政”允悲
1692543017# #公办学校？自立名目？
1698894836# #把课间十分钟还给孩子湖南桂阳，推行教师包联机制……作者：张行秋，桂阳县教育局长。评论区一边倒
1692577471# #转发微博
1695993601# #商而优则“教授”！
1703766105# #转发微博
1697631585# #夜行，出发！
1698854900# #转发微博
1697514298# #转发微博
1697778618# #沪指跌破3000点大关政策出了一箩筐，砸盘砸的更凶了。有机构在疯狂做空A股….
1702347709# #亳州身边事利辛公交停运，公交公司发紧急告知函。
1697345456# #摆拍的段子，老视频
1704095997# #转发微博
1693302552# #【美团电单车配套头盔薄如蝉翼】8月28日，有安徽阜南网友在社交平台发文称美团共享电单车的安全头盔不符合安全要求，视频显示，头盔已严重变色，且透明度较高，有安全风险。8月29日，九派财经记者从当地美团电单车招聘主管胡先生处获知，由于丢失率过高，该批头盔系临时使用，已使用一个多月。厂家定
1702373513# #专家建议发放3万亿生育补贴不愧是专家，张嘴就来。三万亿说少了，五万、八万亿更好….
1693871134# #市委书记上衣LOGO被P掉引质疑领导比较重视仪表，以夏装为例，衣服整洁，大方，得体，黑色系为主。这组体恤衫logo商标都没P，那件又何必P？。上任二年来，这位领导隔三差五就出现在“南宫发布”的微信头条。亮相率高，留存的信息就多，网友有质疑，及时回应，消除不良影响。。当地有舆情敏感性，一条信
1697693606# #浦东警方通报4岁女童海边游玩时失踪【警方通报：上海海边走失女童遗体已找到】上海走失女童案排除刑事案件10月18日上午，上海警方接宁波警方通报：宁波市镇海区某滩涂发现一具女童遗体，衣着等特征与浦东南汇新城海滩失踪女童相似。获悉后，上海警方迅速派出工作组赶赴当地开展核查。经法医提取
1691247075# #清朗行动官方材料写的很棒。官方材料写的很棒。官方材料写的很棒。官方材料写的很棒。官方材料写的很棒。实事求是地说，材料写的很棒。
1700135654# #去年海南大学兵王李傲，吹嘘编造虚假履历，如今又来了一个宋张超。@华北水利水电大学贴吧
1694522716# #猫超话猫咪超话猫仔
1694522485# #胡锡进我们需要管理自己的厌日情绪呵呵😄老胡闭嘴🤐️
1700061460# #转发微博
1694659384# #华为Mate60发布会定档先卖货，后开发布会。华为，遥遥领先。
1692847604# #转发微博
1700910178# #被采访人手写的材料，修改痕迹明显，不是造假，也不是作秀，上游新闻这篇报道吹毛求疵。。央视播音员也是读稿的，很正常的事情被媒体刻意放大。。在场有一群媒体人，他们见证本次事件真实过程。
1699766204# #“审讯椅”和“老虎凳”是截然不同的两个概念，迟大律师是几十年执业经验的老律师，肯定知道讯问、审讯椅的存在。。她多次强调“老虎凳”，旧社会刑讯逼供的一种刑具，偷换概念，网友擦亮眼睛看问题。刑辩律师，做好辩护工作。热衷于在互联网络制造舆情，制造与庭审法庭、法官的争端，在庭审之外的这些
1700450755# #首先要批评赛事组织混乱；要说工作人员故意迎合日本选手，这是不符合实际情况的。要尊重事实，赛事混乱引发的舆情。没有那么多的阴谋论！
1701611140# #腾讯视频崩了西安，演的真好。导的也很优秀。腾讯会员没了
1698391755# #【中年民警跃进沙河救回中年男子】10月26日，江口派出所接热心群众报警，称沙河里飘着一个人，快来救命。民警辅警火速赶到现场，此时男子已飘入沙河中央，指导员李彪来不及多想，迅速跳入河中成功将男子救回，被救的那一刻男子哭出声。经了解，男子因家庭矛盾一时想不开而跳河，目前，因就医
1701687669# #阜阳市成效中学被骗了！。直播间里，家长蜂拥而至，。“社会主义核心价值观”内容都能搞错，素质可见一斑！。低劣骗局居然能蒙蔽住阜阳成效中学！
1695558661# #符合胡编的风格
1701858529# #转发微博
1699153482# #转发微博
1701128023# #@胡锡进
1693897063# #大爷们晚年生活丰富多彩啊允悲
1701791664# #胡锡进写什么话题都是长篇大论
1698821229# #知情人回应00后女老师跳楼身亡偶发事件的背后，有原因！
1702799949# #别小看，这种猪都不闻的低级段子，在抖音里很有市场。
1701791444# #许多媒体标题：新酒驾标准来了…其实是“酒驾最新检验标准”，漏掉了检验这个关键词。
1694599716# #转发微博
1699010700# #律师普法是好事，选择普法内容和普法形式很重要。法律条款如此之多，居然选择“七十岁以上嫖娼不会拘留……”作为普法释法的内容。。评论区里可以看出，传播错误的价值观，网友跟评歪楼，怂恿老人放心嫖娼？。普法，要正确引导！清朗行动
1694612012# #互联网真是个神奇的地方
1702083477# #清澈的爱，只为中国🇨🇳
1700731390# #互联网最活跃的人，进退皆宜！
1704032451# #甭问，李隽用澳大利亚的汽油给迟凤生炒了一个辣椒黄瓜拌日本核污水
1701573702# #“补作业”的这些政务账号要是无暇运维管理，建议主动申请注销关闭。
1702974542# #从此，死磕派再也没“良心”伤心了！摊手摊手致敬江平
1701062040# #15到17岁，看年龄是去加拿大读初中高中的学生。据当地媒体《多伦多星报》报道，车祸发生在加拿大安大略省的亨兹维尔附近，大约是当地时间周六晚上刚过11点。相撞车辆是一辆奔驰SUV和一辆福特SUV，奔驰车上载有4名来自大多伦多地区，年龄15-17岁之间青少年，福特SUV上是一名来自亨兹维尔的42岁女性。事
1692157816# #广式早茶广州
1701127738# #转发微博
1702299255# #基金会已收到中奖者5300万捐款中奖金额8662万元，扣百分之二十的个人所得税后应得6930万元，因为“高尚、爱心”，豪气捐出5300万元，中奖者仅领取1630万元。。本次大奖领取过程颇为离奇，令人费解的是，中奖消息公布一个月后，中奖者方才现身领奖。。中奖八千余万，捐出5300万元。事出异常，蹊跷！
1702348824# #利辛县政府欠补贴，你咋这么理直气壮呢？哈哈哈
1699017167# #她乐此不疲吗？哈哈哈
1698110701# #有人在故意制造争端，制造矛盾，经过一系列操作，没人关注孩子健康。话题转移到情绪对立上了
1702422201# #起码不关评论，坦坦荡荡good
1700344791# #吹牛吹的太逆天了。引起网友关注和质疑
1701053779# #宿松“云梦泽”舆情，当地前期不重视，如今处置没方法，局面很被动。。钓鱼群体中有不少网红，有钱有时间有精力，在云梦泽舆情中找到了流量密码，开始主动出击，组团登门“拜访”，俨然搞成了团建娱乐活动。。宿松或许能在云梦泽事件中顶住压力，能否承受住网友全面挑刺找茬呢？
1701597544# #这是说谁呢？
1701909965# #12月6日，在微博下面刷评论，开创积极主动的新局面，众人拾柴火焰高，主动制造热度，值得点赞👍👍👍@中央网信办举报中心
1701575068# #目标和贡献=德国取消2035年碳中和目标？？？二哈
1703224285# #死磕律师注重表演，一是给委托人的亲属欣赏，其次给自己打打营销广告。律师应依法辩护，热衷在网络上煽情，制造舆论，演技一般，效果堪忧。
1699418765# #90后公务员泄密获刑被“老外”拦下，在境外间谍指导下考上了公务员。。由此可见，境外间谍细心研究了考公制度，熟知考公技巧啊，细思极恐，他们辅导了多少间谍考入公务员队伍呢？
1698454361# #迷惑行为大赏国家鼓励多生娃，没鼓励丈夫多娶老婆。这个抖音账号爆料：宿州泗县一男子同时娶两个老婆。该账号还在抖音发起了“一夫两妻祝你们百年好合”的话题挑战。。整治婚闹，从这个一夫两妻开始吧！
1695252242# #2023世界制造业大会智造世界创造美好聚焦安徽新能源汽车产业
1700225589# #转发微博
1698930957# #→→
1700530886# #男子偷功德箱的钱称菩萨给我比了OK👮：此人能不能刑事拘留？。菩萨：👌！
1697593961# #A股不要说脏话。a股大概率有超越5年一遇级别的牛市
1700023014# #允悲允悲允悲
1700031110# #转发微博
1698066165# #老人捡花生被卷收割机身亡上一次哄抢玉米的新闻余热刚平，再酿悲剧。
1698397176# #转发微博
1698052576# #A股大跌汪峰章子怡离婚，冲淡不了A股的焦虑情绪。
1703583822# #这个账号不是蠢就是坏！
1696992441# #老乡鸡今年，“老鼠”很忙！鼠头鸭脖、食堂饭菜惊现鼠头，据报道，一孩子在老乡鸡店门口被老鼠咬伤。。“家长在店内取餐，七岁大的孩子在门口玩耍时被墙角内的老鼠咬伤”。【事发地点在店外，家长在店内，七岁大的孩子在门口，手指被墙角的老鼠咬伤。大家可以脑补一下场景。】。
1697509312# #→→
1702694607# #热点舆情这个通报，写的真好！我差点就信了。。1、殷委员选择购买时下最便宜的蔬菜之一“大白菜”，一次购买2万斤，送给敬老院和部分村民15000斤，老人们就是撑死也吃不完的大白菜。殷委员，去敬老院可以送点牛羊肉、鸡蛋牛奶、西兰花等等，为何钟情大白菜？。2、菜农窦某女儿扛下了所有，花钱
1696926608# #义务互联网法院这个判决大快人心。有些企业借诉讼牟利，以维权的名义敛财，妥妥的互联网流氓。
1697901216# #以色列巴勒斯坦冲突巴以冲突。巴勒斯坦女童在空袭中不幸遇难，家里的猫爬向她，与小主人作最后的告别
1694763029# #超9成网友认为北极鲶鱼事件应公布结果网络民意，值得关注。
1691655161# #@利辛发布
1701957422# #江西省民政厅正在调查花10万中2.2亿建议由记者向民政部实名举报本次福彩销售中奖存在重大问题，由驻民政部纪检组或中央纪委监委指定调查组牵头展开调查。。由江西自查，无论结果如何，都会遭到质疑。本次福彩疑点较多，过于反常。不适宜使用“保护隐私”这个借口逃避调查。。疑点重重，难以自证
1692545264# #浙江广电集团回应回应内容避重就轻
1693184456# #中国烟草回应卷烟涨价传言造谣制造一波流量，传谣再带一波流量，辟谣声明再来一波流量…….。生生不息，热度不断！
1696169109# #转发微博
1703258681# #律师要表演，让委托人看到律师费的价值。
1703260514# #转发微博
1701439017# #转发微博
1691204235# #是如何操作成功的呢？
1700054470# #阜阳第一中学在班级群里通知家长收看“安全教育视频”，结果视频内容是兜售焦虑卖教辅资料、网课！所谓直播间里有托，有马甲，一唱一和，欺骗家长购买。。有家长吐槽，不到一年，已经有三四次类似情况出现。。有家长怀疑有人故意为之…...。负责安全的老师屡屡被骗，令人尴尬。
1701790130# #微博辟谣昨天，众多媒体纷纷转载一篇“酒驾新标准来了”的信息，其中包含虚假信息，妖言惑众。媒体中不乏党媒官媒，一天之后，谣言内容仍在传播📣，那些发布虚假信息的官媒毫无察觉。。一家错，百家错，抄稿子的弊端！舆论阵地的安全防线形同虚设，悲哀。。关于酒驾新国标，只是新增了“尿检”
1700367170# #以色列驻成都领事馆的小编在香港发布信息，请不要碰瓷中国大熊猫。
1703058906# #A股70%大股东过三年就开始减持除了国足之外，就是这个领域了。
1695443884# #吃瓜
1702698292# #转发微博
1693695983# #正义必胜，此处艾特@日本国驻华大使馆
1703687734# #有错不改必有鬼
1702471110# #关于禁燃烟花爆竹这个话题，从环保角度来说，禁燃是大势所趋。。从网络民意看，谁先启动禁燃宣传，谁就先成为众矢之的，先在网上挨顿骂。。利辛县虽然不是一线二线城市，也不是三线城市，但是，利辛县勇于担当，在宣传工作上还是有超前意识的。。在利辛公交停运当天，宣传系统的培训班也在上海交
1694522581# #分手谈出了离职的感觉无处不在，无热不蹭，无所不能，无疾而终…..
1699762711# #转发微博
1702256787# #按日期来判断，后者属于旧闻新炒。
1695254263# #有网友透露：生产预制菜的门槛低，产品利润高，监管放的松……有利润空间，这个行业引来众多资本！
1699246242# #居文沛她居然有资格做评委？
1703430726# #但凡他把眼镜口罩拿掉，我就信了这个“自卑”允悲
1696432572# #这几张图看着真舒服爱你
1700134916# #学校被学生骗的团团转啊
1698323938# #辅导员称播放不雅视频电脑曾借给他人长江大学，一炮成名。。没想到啊，有的证券公司不仅仅影响A股，威慑力波及影响到高校。长江大学
1704114810# #周围停电，🔥势照亮夜空
1704126019# #他没资格这么说
1703514022# #原作者的28条抖音作品已经清空。一、网传老人约70岁，实际本人只有56岁；二、网传其患有癌症，实际本人并无癌症；三、网传被亲属遗弃，实际其本人与哥哥共同居住生活，并享受低保，无遗弃情况发生。（2006年—-2019年未与社会接触，在某封闭场所生活）
1694773883# #酣睡💤
1702744992# #世界这么大，咋就围着这点破事转。dogedoge
1692203742# #材料真棒👍
1695530324# #任性的村支书，“私刑家法”……
1701407191# #这才是抖音正能量的正确打开方式！。孩子家境清寒，性格很开朗很阳光！四平第三高中这位老师很有爱心，也很认真很贴心，网友群体也特别给力！。看了抖音关于这个孩子的几段视频，给孩子点赞👍生活虽然清苦，他却能不卑不亢，阳光灿烂的学习生活！。给小微老师点赞👍抖音提供了一个展示美好、展示正能
1700137715# #转发微博
1700137177# #你你们学校这位“兵王”学生，你们有没有审核过他递交的各项立功材料？。漏洞百出，他进入了马院读研…..感觉是个高级黑的典型！
1695043544# #记者采访又双叒叕不是很顺利….。都联系上了，又双叒叕没结果！。留言怼人的那股劲儿到哪去了？
1701746511# #挖鼻挖鼻挖鼻
1697643917# #转发微博
1702369263# #亳州身边事【凌晨2点木材加工厂多个棺材起火，消防员扑救氛围感拉满】12月6日凌晨2点左右，安徽亳州利辛县一木材加工厂突发火灾，消防部门接警后迅速赶往现场。经过20分钟扑救火势被控制，消防救援人员对余火进行清理防止复燃。据现场勘察，起火物是一些定制好的棺材和一些零碎木材。目前，具体原因
1701779366# #迷惑行为大赏四川观察新闻报道出现明显错误，将发生在苏州的一起交通事故嫁接给了“常州”。微博辟谣
1702343724# #话筒
1694763622# #允悲允悲允悲
1694139723# #挤眼
1698288428# #12.8万转发！
1699767278# #老陈现在是否明白：是单位、职业这个平台给了他机会；并非他凭借个人能力和魅力闯出来的网红路！。平台造就了当初的“反诈老陈”成为网红；不是“老陈”成就了反诈宣传。。时间会证明！
