1600642006# #厦门-音乐广场等
1664686094# #洛克公园
1635814086# #东茭泾公园
1658890567# #高桥老街
1661520259# #龙记香港茶餐厅
1571889280# #新辣道鱼火锅
1583339741# #乔松楼的军事科普讲座
1546500401# #电影《上甘岭》描述了志愿军与联合国军众“豺狼”的一场较量。2018年10月8日蓬佩奥国务卿带着反战交响乐团来京在大剧院演出，可笑的是几十年后，“豺狼”的后代们组成“原联合国军后代反战交响乐团”，用五种乐器、五种渐进变奏，将该片插曲《一条大河》推向高潮。这是发生在国家大剧院的一幕。当前
1545608334# #这是斗鸟🐦吗？
1669350994# #上海海昌海洋公园
1633874295# #外滩
1668582658# #苏州河
1600815397# #厦门-机场
1662522652# #贞唐一梦餐厅
1610225468# #无秤是乞讨，有秤是生意
1584398006# #一个空易拉罐引的多米诺连锁反应偷笑
1535775518# #上海建筑（园林）。静安公园。在上海黄金地段有如此一处幽静园林，真是难得。静安公园位于静安古寺对面，呈凸字形，它南临延安中路，西靠华山路，东为住宅。静安公园于1953年改建成园，1998年进行大规模改建后在第二年向市民重新开放，它曾经是无数大朋友们童年春游必去的地方~。独具一格的城市绿洲。现在
1568174915# #外婆家
1619347545# #人活着一辈子，不知到为啥子
1598221545# #你眼中的抖音，头条，西瓜视频是怎样的？
1545444905# #上海建筑。上海市历史博物馆。上海第一人长什么样？上海第一房在哪里？占地面积约10000平方米的上海市历史博物馆（上海革圝命历史博物馆，简称“上历博”）经过一年多的建设，从3月26日起正式全面对外开放啦！展览从“序厅”“古代上海”“近代上海”和“难忘的瞬间”四大部分构建展陈体圝系，共陈列展示
1543921976# #税务知识（0125）。这样的发票能认证抵扣吗？。关于发票的抵扣问题一直是大家关注的热点：票面有问题的发票能否正常抵扣？这样那样业务开具的发票能否抵扣？更有关于抵扣的选择题……。与票面相关的抵扣问题。1、增值税发票抵扣联上盖了一个章不清晰，再盖一个章上去，这样会不会影响抵扣？。根据《中华人民
1575536914# #神奇马戏团（欢乐谷）
1588543969# #街头小魔术
1534673924# #税务知识（0056）。单位给职工发放的各种补贴，这2种情况不需要缴纳个税。在各单位的日常生产经营过程中，不可避免的会遇到发放各类补贴、补助的情况，比如：困难职工生活补助、过节补贴、离退休干部慰问补贴等，这些补助、补贴是否需要交个人所得呢？。免纳个人所得税的生活补助。（一）按照国家统一规定
1569711054# #开国大典
1609388800# #四川路桥（邮政大楼）
1608076300# #胆大的小孩！
1584507512# #吵架的另类解读
1601596966# #看脚趾头测新冠肺炎有没有！
1613214952# #豫园灯会
1534689940# #仔细看，認真看！。不是狗，不是貓，更不是兔子。一一放大来看，会出现想不到的画面！。*非常有意思哦😯第一张一家三口，第二张一对情侣，第三张一对少男少女！构思奇特！
1668262358# #苏州河第一湾-长寿湾
1540084958# #税务知识（0098）。会计从业资格考试试题及答案。一、单项选择题(共40题，每小题1分，共计40分)。1．企业会计核算的基础是：（C）。A、收付实现制B、现金收付制。C、权责发生制D、现收现付制。2．会计六要素的计量中，最基本的是：（C）。A、净资产B、收入C、资产D、负债。3．资产计量最重要的基础
1622198475# #为什么要不忘初心？
1584138145# #二月的月结：。1、一个月全国没有登记一例离婚的夫妻！。2、历史以来怀孕最多的一个月！。3、全国的村干部混成了保安！。4、全国的小区保安都成为哲学家“你是谁，从哪里来，往哪里去？”。5、高速公路免费时间最长的一个月。。6、这个月男人们成为最好的厨师，并包揽了以前钟点工阿姨的活，钟点工阿姨没想到
1546038095# #税务知识（0133）。不明白？十小问为你解答个税...。1.子女教育费用扣除，从什么时候开始？。答：孩子满3周岁的当月开始，就可进行扣除。。2.赡养老人支出扣除方面，纳税人为非独生子女的，如何操作？。答：兄弟姐妹分摊每月2000元的扣除额度，但每人分摊的额度不能超过每月1000元，可以由赡养人约定分摊，
1594246347# #你能看出多少只动物？
1569451811# #大华行知公园
1544654399# #小学数学题千奇百怪，哪个大神来解答来来来
1599092450# #住在山里的人们进出都是这样的路，太难了！
1566684404# #这是长颈鹿跳水视频，开眼界了。笑cry笑cry笑cry。其优美整齐的步伐，婉如一队美女，绅士缓缓走来！其跳水的水平堪比奥运冠军！其动作的高难度，精确度，甚至超过了奥运冠军！！值得欣赏！！
1591999302# #《“光”的感悟》。。*想必*退休一族*读后*会*萌生同感，*。予以*分享。*。年轻*为国*争光。老来*共度*时光。心态*务必*阳光。日子*一定*闪光。。眼睛*大多*老光。头发*逐渐*脱光。牙齿*快要*掉光。腿脚*不再*灵光。。想想*来时*光光。去时*一片*火光。何不*旅游*观光。换得
1588975900# #乾坤湾程家大院（陕西延安）
1533815461# #税务知识（0004）。支付医疗费用和赔偿金，那些税事需注意？。企业在日常生产经营活动中，有时会发生人身伤亡事故，为此应支付伤亡者的医疗费用甚至赔偿金。伤亡者的身份有两种：一是本企业员工；二是非本企业员工。在实务中，有很多企业当支付伤亡人员的医疗费用和赔偿金时，均在职工福利费中列支。其实
1596667314# #杨华生说唱《小菜场》
1534945829# #云南怒江天险
1659931697# #合兴发餐厅
1586211753# #经典再现，你见过几样！
1534031989# #税务知识（0020）。关于发票认证抵扣的5个常见知识点！。1、登记为一般纳税人前取得的增值税专用发票可以抵扣吗？。根据《关于纳税人认定或登记为一般纳税人前进项税额抵扣问题的公告》（国家税务总局公告2015年第59号）第一条规定：“纳税人自办理税务登记至认定或登记为一般纳税人期间，未取得生产经营
1570054729# #七万只鸽子是这样放飞的
1600049627# #厦门-中山路步行街
1555715200# #机器人参加斗牛比赛
1569622720# #我爱你中国
1559774874# #一只麻雀中暑了，另一只急得一边心脏按摩，一边掐鸟中，一边鸟工呼吸。终于成功救活了中暑的同伴👍，这是一个老外在义乌一家餐厅里拍下来的，很励志哦。只要不放弃，没有做不到的✊动物尚可，人类更强。依靠团队，战胜一切！
1534235741# #祖宗十八代你都知道吗？中国传统文化常识都在这里。【祖宗十八代的称谓】。上序依次称谓：父母、祖、曾祖、高祖、天祖、烈祖、太祖、远祖、鼻祖。。下序依次称谓：子、孙、曾孙、玄孙、来孙、晜孙、仍孙、云孙、耳孙。。从小到大为：耳、云、仍、晜、来、玄、曾、孙、子、父、祖、曾、高、天、烈、太、远、
1572748432# #田林中心绿地
1592175604# #收藏一下吧，很难找到的....。。三个刀念刕『梨』。三个力念劦『协』。三个又念叒『若』。三个土念垚『搖』。三个士念壵『状』。三个子念孨『转』。三个小念尛『魔』。三个心念惢『蕊』。三个手念掱『爬』。三个止念歮『色』。三个毛念毳『脆』。三个水念淼『秒』。三个火念焱『验』。三个牛念犇『奔』。三个犬念猋『标
1639097827# #曹杨新村（红桥）
1662696845# #巧克力博物馆
1581893315# #日本松山芭蕾舞团为武汉加油
1542581183# #上海建筑。国泰电影院。在淮海中路茂名南路口，坐落着一座老牌的电影院——国泰电影院。今天走到国泰电影院里，还能依稀感受到老上海的万千风情。。国泰电影院是一家充满老上海怀旧风情的老牌电影院。典型的装饰艺术派风格，典雅又不失风采，可以说是淮海路最经典的地标了。。打开历史的卷轴，你就能发现这
1534662712# #税务知识（0054）。你账面上列支的“差旅费”不是差旅费！
1643063675# #今潮8弄
1605915254# #三十年来，已被毁掉的十个中文词：。1.小姐：从尊贵到低俗；。2.美女：从惊艳到性别；。3.老板：从稀有到遍地；。4.粉丝：从食品到人类；。5.同志：从亲切到敏感；。6.鲜肉：从食品到嫩男；。7.干爹：从长辈到情人；。8.奶粉：从食品到毒品；。
1546340047# #🌟。❤。😉。🍀。。🎁。🎉。🌟。✨。＼｜／。🌺。元旦快樂！。Happynewyear。💜。／｜＼。💎。。☀。🌹。🌙。。🌟。😍。。。南京長江大桥开放三天。
1633700908# #茂兴苑弄堂菜
1612223487# #爱的力量创造奇迹（鱼🐟）
1547507161# #刘能小品《修电脑》
1552345032# #普京祝妇女节快乐
1546658178# #【中国首次尝试在月球背面着陆，嫦娥四号主要是探索月球经历了哪些秘密？】，因片幅太长，只能分4段转发。珍贵资料，共欣赏2
1590960127# #棋牌文化博物馆
1533992168# #税务知识（0017）。中小企业以未分配利润、盈余公积、资本公积向个人股东转增股本时，个人股东是否要缴纳个人所得税？。根据《财政部国家税务总局关于将国家自主创新示范区有关税收试点政策推广到全国范围实施的通知》（财税〔2015〕116号）第三条有关规定，自2016年1月1日起，全国范围内的中小高新技术
1575355615# #稻香酒家
1661243226# #美豪酒店餐厅
1564873069# #不给女朋友买东西的下场笑cry
1560988185# #好玩又好看的卡通馒头
1534941111# #税务知识（0068）。自然灾害毁损如何进行会计处理。台风是每年夏季必来的自然现象，今年第8号台风“玛莉亚”为超强台风，中心附近最大风力有17级，威力相当可怕，那么问题来了，在自然灾害遭受的损失，该如何进行会计处理呢？。答：。1、货币资金损毁处理。在灾害来临时，灾区企业若不能将现金妥善存放于安
1545086193# #机器人拳击赛
1566773930# #智斗咋骗电话
1534318799# #税务知识（00035）。支付医疗费用和赔偿金，哪些税事需注意？。企业在日常生产经营活动中，有时会发生人身伤亡事故，为此应支付伤亡者的医疗费用甚至赔偿金。伤亡者的身份有两种：一是本企业员工；二是非本企业员工。在实务中，有很多企业当支付伤亡人员的医疗费用和赔偿金时，均在职工福利费中列支。其
1592605127# #以下是德國人出的數學题：。有點難，。但是可防老人痴呆，。您會幾題呢？。375=1。375=2。375=3。375=4。375=5。375=6。375=7。375＝8。375=9。
1603151441# #深圳特区建立40周年，2020架无人机灯光秀
1585174768# #喝牛尿能对抗新冠病毒？（印度）
1570836217# #松江仓城老宅—张氏米行旧址（松江中山西路71号）
1603933518# #脱口秀（思文）
1617576320# #现在世道已改变（歌曲）
1551655704# #一个人分饰两个角色（国外）
1612426149# #中东版的甄嬛（卡塔尔皇太后）
1547591885# #上海话怎么说？可爱。北京人问上海人，上海话螃蟹怎么说?疑问。上海人：哈。微笑。北京人重复：你们螃蟹怎么说?哼。上海人：哈。北京人有点无奈：那鱼怎么说?晕。上海人：嗯。北京人不甘心：那虾怎么说呢？吐。上海人：呼！挤眼。北京人又问：那鸭怎么说呢?。上海人：啊。。重复，鸭怎么
1617100716# #伟大的母爱
1573428421# #我做了一个红楼梦（剧幕式互动光影艺术展）
1622285581# #咖啡文化节
1572495023# #摩托飞人（崇明东平森林公园）
1547680343# #免费笑cry腊八粥（玉佛寺）
1533991798# #税务知识（0015）。生育津贴和生育医疗费是否享受个人所得税的优惠？。根据《国家税务总局关于生育津贴和生育医疗费有关个人所得税政策的通知》（财税〔2008〕8号）文件的规定，生育妇女按照县级以上人民政府根据国家有关规定制定的生育保险办法，取得的生育津贴、生育医疗费或其他属于生育保险性质的津
1534334439# #上海建筑。国际饭店。南京西路的国际饭店是锦江国际旗下一间声名显赫、蕴含文化底蕴的老饭店。其装饰艺术的建筑风格，是二十世纪20-30年代上海富丽堂皇的风貌缩影。也曾享誉远东第一高楼三十年之久。饭店建于1934年，由匈牙利籍建筑师拉斯洛•邬达克所设计。。楼高83.8米的大厦，共24层（地面22层、地下2
1537786450# #高油、高糖、高热量的月饼，怎么吃更健康？。中秋节吃月饼是传统习俗，月饼虽好吃，但高油、高糖、高热量的特征也让人不敢多吃。为此，一些月饼厂家和生产商在“保健”二字上下起了功夫，宣传起了无糖月饼、保健月饼。那么，这些月饼真的如宣传那般健康吗？到底怎么吃月饼才更健康呢？。月饼的成分有哪些
1611788634# #票证时代2
1589054131# #雨岔大峡谷（陕西延安）
1539037719# #这是李小龙双截棍打乒乓球的视频，让人目瞪口呆。如果不是留下视频让人亲眼目睹，谁能想象和相信?遗憾的是他的这一双截棍绝技没有能够传承下来，空前也绝后了。
1552689767# #埃塞俄比亚空难最后二分钟
1608245821# #我国著名表演艺术家、作家黄宗英
1608586326# #樊代明院士：有病就要治，病是治好的，这话只对一半！
1610581303# #这个冬天有一点冷
1579365141# #赵忠祥与倪萍
1667298010# #电竞中心
1580679126# #东风-17（宋忠平）
1626510532# #白马咖啡馆
1622718409# #我们都老了吗？（歌曲）
1536997878# #上海建筑。外滩老建筑①。有人说，外滩是上海的眼睛、上海的象征。因为世界上绝少有一个地方能像外滩一样，在江边短短千余米的堤岸上，浓缩着万国建筑的精粹，浓缩着民族和城市的兴衰与荣辱。。那一幢幢造型优美、风格迥异的建筑，沿着黄浦江岸蜿蜒伸展，鳞次栉比，宛若凝固的音符，钢筋水泥勾勒出它们刚
1533954964# #税务知识（0011）。台风过后，这些资产损失政策你可知晓？。问一。因台风等自然灾害造成的资产损失，如何申报扣除？。答：根据《关于企业所得税资产损失资料留存备查有关事项的公告。（国家税务总局2018年第15号公告），企业向税务机关申报扣除资产损失，仅需填报企业所得税年度纳税申报表《资产损失税前扣
1598418951# #故事这么说，。这张照片为慈禧年轻时的真人照，据说是故宫的镇舘之宝，一百多年前，一位法国人去花店买花，走时把他的相机忘在了花店，后花店老板通过各种方法把相机还给了这位法国人，法国人就用这张照片作礼物送给了花店老板，至此，这张照片就成了老板的传世之宝，八十年代，故宫博物院知道此事，与
1658710764# #外滩-苏州河
1558047696# #免疫力与排毒力
1625394316# #鲁迅公园
1536791591# #演讲：趣谈男女
1573271630# #中国乳业博物馆
1596491493# #延福公园
1605671126# #好可爱的狗狗🐶
1670077238# #阿金大白餐厅
1606513438# #抗美援朝保家卫国（上）
1534828173# #税务知识（0063）。代缴五险一金会计分录怎么写?。一、交纳时的会计分录:。代缴五险一金。借:应付职工薪酬--社会保险费。贷:银行存款。二、说明.一般个人所得税和应由个人负担的那部分社会保险费应从职工工资中扣回.发放工资时扣款的分录是:。借:应付职工薪酬--工资、奖金、津贴和补贴。贷:应交税费--应交个人
1600988567# #印度新兵训练
1554331435# #抓老鼠🐭
1537062287# #上海建筑。陆家嘴、曹家渡、徐家汇……上海地名百家姓②。曹：沪西歹土今如何。说起沪西，有人会说是不是青浦、松江？非也，沪西是个历史名称，能在沪后面加东南西北的，如今其实都在主城区内。从静安寺到中山公园之间有个大站叫曹家渡。。曹家渡这个渡口具体的位置已经没人弄得清楚，大约是在今曹杨路桥和
1606176098# #*老年痴呆測試：*。下列11個字，在每個字上只填上一筆，讓它變成另一個字：。曰、曰、曰、曰、曰、曰、曰、曰、曰、曰、曰。只答出五個字，你離老人痴呆不遠了！。只答出六個字，就食兩斤核桃補補腦吧！。答出七個字，你具有正常思維能力！。答出八個字，你有十分健康的大腦！。答出九個字，那你就是很厲害
1534659271# #税务知识（0052）。固定资产折旧成零的资产转让如何处理？。实际上固定资产折旧不会成零，只要是资产就有价值，没有价值的叫做废品，在公司的记账处理上很灵活，可能记账为零，在实际上经常有公司和企业拿折旧资产进行抵押和清偿债务，对债权人而言损失很难计算。。直接举个例子说明吧。。案例甲公司出售
1570056635# #阅兵车牌号是1949和2019。1949是空的，给英雄先烈们乘坐。“这盛世如你们所愿。”—又是一波泪...
1534297798# #奇葩的国界线。1、美国和墨西哥：国界两边打排球。美国亚利桑那州纳科的居民们和墨西哥纳科的居民们，每年都会在国界两边打一场排球赛。这里曾经是一个社区，人们可以自由通行，但是几年前，一个4米高的围栏彻底将纳科分成了两边。。2、美国和加拿大：一间房子，两个国家。有这么一家图书馆，把房子建在
1631321558# #上海国际会议中心屋顶花园
1554762670# #叫老公的代价笑cry
1533787445# #不倒翁（国外）
1583526554# #歌曲《春天来了》
1568007931# #点都德
1594767038# #桃浦公园
1584657453# #最胖的女人
1553641375# #伊中华的高难度杂技
1665310901# #北栈滨江绿地
1612136554# #宋氏三姐妹影像
1584054751# #真实穿越事件，外国男子从1958年穿越到2006年，之后又凭空消失！
1534227893# #税务知识（0033）。这些“工资”项目不计入社保缴费基数②。四、国家统计局规定，哪些项目不计入工资总额，在计算社会保险费缴费基数时应予剔除？。1.根据国务院发布的有关规定发放的创造发明奖、国家星火奖、自然科学奖、科学技术进步奖和支付的合理化建议和技术改进奖以及支付给运动员、教练员的奖金。。
1555628256# #豫园·城隍庙
1564010534# #黑龙江—哈尔滨—圣·索菲亚教堂—冰雕（中央大街）
1610935566# #芯片制造到底有多难？
1551220927# #故宫灯光秀
1586815881# #电影《夺宝奇兵2》片段
1534996106# #翡翠的种和色，基础知识纯图版②
1556234130# #仔细看看寻找骆驼🐫。注：这是德国阿尔茨海默症防治协会给出的权威测试题，只要你能找到骆驼，就不会得老年痴呆症！
1582561706# #食物的保鲜方法
1575420551# #同一战蚝
1608670815# #两只笑翠鸟夺食大战
1534599628# #税务知识（0046）。会计分录大全①。一、资金筹集业务。。接受现金投资。。借：银行存款。。贷：实收资本/股本。。资本公积——资本溢价/股本溢价。。接受非现金投资。。借：固定资产/无形资产。。贷：实收资本/股本。。资本公积——资本溢价。。实收资本增加。。借：银行存款。。贷：实收资本。。借：资本公积/盈余公积。。贷：实
1549756808# #无人机灯光秀表演
1589663291# #陕西榆林
1582931209# #家用小物品，让你的生活更加精彩！
1667968078# #天安千树
1596605863# #静安中环公园
1561761218# #从2019年7月1日起，新的《上海市生活垃圾管理条例》就要正式开始施行了，根据条例，个人将有害垃圾与可回收物、湿垃圾、干垃圾混合投放，或者将湿垃圾与可回收物、干垃圾混合投放的，由城管执法部门责令立即改正；拒不改正的，处50元以上200元以下罚款。以后垃圾扔不对，要罚钱了！你搞清家里的垃圾到
1556665343# #小孩和蟒蛇玩耍
1534506586# #上海建筑。汉口路。汉口路东起中山东一路即外滩，西至西藏中路。在英租界开辟之初，路名随意而取。1862年5月5日，英国领事麦华陀发布了《上海马路命名备忘录》，制定了凡南北走向的街道以各省的名称命名，东西走向的街道以城市名称命名的原则。当时上海人一度拒绝外国人定下的路名，把南京路叫大马路，而
1536213308# #税务知识（0077）。关于企业所得税，这三个常规扣除项您可知晓？。1、实习生工资能否税前扣除？。问：我公司与某高校签订实习协议，作为该校的实习基地，每年都会接收该校学生到公司实习，并支付一定的工资，这部分工资支出能否在企业所得税税前扣除？。答：根据《国家税务总局关于企业所得税应纳税所得额
1639184463# #乌镇路桥
1534689542# #见过宣纸是怎么样造的吗？。此视频拍的是：安徽泾县为国家画院制作三丈三宣纸的场面。。去年出厂价9800元，今年11000元。。3.3×11米，每张一万一千元。。一纸万金。第一次看到制作一张宣纸，场面宏大、操作默契、气势磅礴！
1563317779# #公园里的新疆舞
1552261234# #大爷玩高难度单杠旋转瞬间撞飞女孩
1537745864# #中秋、国庆寄语。相识，来自天意。一段友情，来自诚意。一份美丽，，来自惦记。一句祝福，来自心底。我在乎人生中随处可见的真诚和感动，我珍惜生命中每一位一起走过的亲人和朋友，我祝福我认识的和认识我的人都平安，健康、幸福、快乐一生，祝中秋、国庆节快乐，身体健康，节日快乐🎉🎉
1602111810# #上海南京东路，武警用身体组成“人墙红灯”
1669436383# #白鲸之恋
1591220512# #蔡元培故居陈列室
1566598174# #大鱼吃小鱼
1609019120# #圣诞老人🎅🏻来了
1534576583# #税务知识（0037）。财务部工作职责、财务经理岗位职责、税务会记岗位职责。。总则。1、财务部基本任务是：做好各项财务收支的计划、控制、核算、分析和考核工作；参与经营投资决策；有效利用公司各项资产；努力提高经济效益。。2、本制度适用于XX有限公司的全体财务部员工。。。财务部工作职责。1、负责公司资
1662967572# #分享视频
1581720591# #沪剧小段《关键期要沉住气》
1537602582# #税务知识（0083）。“免、抵、退”3种基本税的会计计算。购进货物的会计计算。1.采购国内原材料。价款和运杂费计入采购成本，增值税专用发票上注明的增值税额计入进项税额，根据供货方的有关票据，作如下会计分录：。借:材料采购。应交税费—应交增值税（进项税额）。贷:银行存款(应付账款等）。原材料入库时
1537662994# #税务知识（0084）。小公司薪酬制度②
1536068856# #税务知识（0073）。核定征收企业的做账技巧和经验。对于核定征收,企业所得税计算公式为：。应交所得税=收入总额*应税所得率*所得税税率。这里的应税所得率为税务局核定的税率。在我们国家,企业所得税税率分为以下三段：。一般企业所得税的税率为25%，符合条件的小型微利企业，减按20%的税率征收企业所得税
1534944847# #这是什么品种的鱼，几口就把龙虾、蟹给吃了
1626951894# #我要洗澡
1570551244# #松江仓城老宅—张氏宅（松江中山西路384号）
1563844662# #黑龙江—镜泊湖—太阳岛—五大连池
1534421623# #上海建筑。无人机镜头里的“魔都上海”，看看德国摄影师的佳作。20世纪初旅居上海的日本作家村松梢风写了一本畅销小说《魔都》，在这部作品中村松梢风发明了"魔都"一词来指代上海。此后，魔都一词被许多人用来形容上海那错综迷离的世相以及现代化的城市。。而今在“魔都”，德国摄影师、数字艺术家、设计
1539743887# #小时候，觉得重阳节是爷爷奶奶的节日；长大了，觉得重阳节是爸爸妈妈的节日；不经意间，重阳节成了我们自己的节日！光阴似箭，没有返程，珍惜时光，快乐度日！祝福我们自己快乐，幸福！🙏🙏🙏
1618788818# #早上好
1581809061# #世界上唯一打过仗的熊
1623762205# #油罐艺术中心
1567035492# #观点（香港）
1664445414# #大融城
1580167809# #大家一起动动瞧一瞧乐一乐
1618006461# #早安
1598827169# #秦岭的重要意义
1595195789# #白马咖啡馆绿地-童梦园街心花园
1596411732# #玉兰园
1546658233# #【中国首次尝试在月球背面着陆，嫦娥四号主要是探索月球经历了哪些秘密？】，因片幅太长，只能分4段转发。珍贵资料，共欣赏3
1556410979# #刚出生的不久的婴儿会叫妈妈
1611273792# #苏州河（西康路桥—镇坪路桥）
1621585941# #宠物
1556057568# #街头女孩的花式跳绳，多种姿势，实力秀，长见识了。
1534512408# #上海建筑。香港路。香港路是中国上海市黄浦区东北部的一条东西走向的街道。东起圆明园路，西到江西中路。中间与虎丘路、四川中路交汇。北侧的平行道路为南苏州路，而南侧的平行道路为北京东路。全长310米，宽度最窄处9.1米，最宽处为10米。。香港路右侧昔日为银行俱乐部，正面是虎丘公寓。香港路最初修筑与
1595626595# #台地花园绿地
1566956523# #蟑螂工厂
1605567382# #海洋馆里的精彩表演
1558150615# #税务知识（0150）。火车票、飞机票、汽车票如何进项抵扣？。2019年4月1日起，差旅费如火车票、飞机票、汽车票可以抵扣增值税了，那么具体要怎么进行抵扣呢？。根据财政部 税务总局 海关总署公告2019年第39号《关于深化增值税改革有关政策的公告》的相关政策规定：。六、纳税人购进国内旅客运输服务，其进项
1539471054# #最近开始大幅降温了，请大家把秋衣扎在秋裤里，秋裤扎在袜子里，这是对秋天以来的第一次降温最起码的尊重，不要傻不愣登的只要风度不要温度。再把自己弄感冒喽！身体健康最重要，真生病了，零件不好配，还贼贵，就算有货也不一定有钱！天气无情人有情！
1669855834# #机甲巡游
1569038983# #肥猫婺语
1550876979# #把衣服剪成艺术的设计师
1620255324# #三林塘
1561246069# #各科老师一回头笑cry
1584574149# #凯旋归来
1559598155# #自己对号入座👀。1240，近视加散光；。3240，散光不近视；。1246，近视不散光；。3246，眼睛很健康；。1244、1844老花了！
1562974441# #那是韩国一对父子，花了30年打造的一种特殊工艺。杯子和杯托只有合在一起才能产生效果，且不同角度的图案各不相同。
1627379782# #难得一见
1561326246# #把鱼🐠放到可乐里，一个月后取出，鱼🐠去了哪里?
1627987646# #印象城
1552175525# #韓國第一次公開的珍貴畫面，李小龍年輕時參加世界杯武術比賽的實況，與上屆冠軍韓國選手對打的真實武打。
1630370607# #世博附近滨江绿地
1609281781# #上海总商会
1559366790# #六一儿童节快乐！🎉🎉🎉。愿我们保持一颗童心、永远年轻！耶👻
1624183241# #阿拉城
1552606287# #诗朗诵:变老的时候
1586470856# #达人秀（国外）魔术-变香蕉
1593380683# #抢摊位
1543274484# #税务知识（0118）。超市会计分录。由于超市经营品种多，主营方式为零售，日常核算比较烦琐，因此，根据财务核算应执行售价核算。。1。主营业务核算。1、商品购进时，由采购人员根据购货发票填制商品验收单（入库单），商品验收单（入库单）要有超市负责人、商品验收人、采购人、微机录入人、主管会计签字，
1536708986# #上海建筑。南浦大桥。1991年12月1日，连接浦东和浦西的第一座上海市区内的越江大桥——南浦大桥正式通车，从此改变了上海城区人们只能依靠轮渡和隧道过江的历史，更是吹响了浦东开发的号角。。这座由我国著名桥梁设计大师林元培设计建造的双塔双索面叠合梁斜拉桥，造型刚劲挺拔、简洁轻盈，宛如一条昂首盘
1565300373# #由777架无人机组成演译的银河牛郎织女七夕节相会图案，大家共赏吧！
1668397711# #歌斐中心
1563926645# #黑龙江—扎龙自然保护区（丹顶鹤）
1605398427# #在嘴巴上画画，惟妙惟肖！
1568333831# #说一句祝福，道一声平安，愿你一切都安好。祝中秋节快乐！
1601768208# #未来汽车—汽车与飞机结合两用！
1566260565# #泰国清迈—邓丽君最后住的房间和她的下午茶
1602197011# #服务员轮滑传菜，各种走位都看傻了，万一滑倒咋办啊？
1614248707# #武康路旅游咨询中心
1568414588# #中秋节来历
1579798308# #胸罩秒变口罩😷
1534831550# #税务知识（0064）。餐费和业务招待费的关系。问题：出差途中的餐费是否要并入招待费？。答：《财政部关于印发<中央和国家机关差旅费管理办法>的通知》（财行〔2013〕531号）第三条规定，差旅费是指工作人员临时到常驻地以外地区公务出差所发生的城市间交通费、住宿费、伙食补助费和市内交通费。。《企业所
1579054747# #龙🐉风筝
1550961263# #拷贝不走样。一个非常古老的游戏。规则是先给第一个人看他要表演的话语或素材,，第二个表演给第三个看，依次下传。最后一人要把他理解的意思讲出来，猜中则胜利。
1534148276# #中国俗话（古人太有才华了）。1、俗话说：好马不吃回头草；可俗话又说：浪子回头金不换！。2、俗话说：兔子不吃窝边草；可俗话又说：近水楼台先得月！。3、俗话说：宰相肚里能撑船；可俗话又说：有仇不报非君子！。4、俗话说：男子汉大丈夫，宁死不屈；可俗话又说：男子汉大丈夫，能屈能伸！。5、俗话说：知
1574217507# #上海野生动物园
1534588090# #税务知识（0041）。公司保密制度（通用版）③。第六章违纪处理。第三十一条公司对违反本制度的员工，可视情节轻重，分别给予教育、经济处罚和纪律处分。情节特别严重的，公司将依法追究其刑事责任。对于泄露公司秘密，尚未造成严重后果者，公司将给予警告处分，处以元至元的罚款。。第三十二条利用职
1540593612# #税务知识（0104）。个人、企业出租房屋，增值税怎么交？。个人出租不动产（不含住房）按照5%的征收率计算增值税应纳税额，向不动产所在地主管税务机关申报纳税；个人出租住房，按照5%的征收率减按1.5%计算增值税应纳税额，也是向不动产所在地主管税务机关申报纳税。。个人出租住房的，应纳增值税税款=含税
1561157063# #神奇的人体数字。1、人的大脑记忆相当4G容量的电脑。。2、人脑在下午没有灵感、越到晚上越聪明、沐浴时更有创造性。。3、人的智力比身体衰老的慢。。4、下午六点人体分泌肾上腺素的高峰、此时应付困难最有能力。。5、人出生时有360块骨骼，成人后只有206块。。6、人类从30岁起便逐渐开始变矮。。7、两个拳头的
1591567182# #东方盐湖城②
1664770887# #云岭公园
1558952414# #纪念上海解放70周年。70年前的今天—1949年5月27日，中国人民解放军解放上海。而1949年5月27日夜里攻入上海的解放大军夜宿南京路街头的情景，这是大家所熟悉的，也是新中国著名的经典照片之一。
1534326906# #上海建筑。上海当代艺术博物馆。位于黄浦江畔的上海当代艺术博物馆是中国大陆第一家公立当代艺术博物馆，也是上海双年展主场馆。。它的建筑由南市发电厂改造而来，在2010年上海世博会期间，曾是“城市未来馆”。高达165米的烟囱是博物馆最醒目的标志，它的外观也是一支硕大的温度计，日日夜夜为上海“量体
1598569110# #万里长江第一阁（湖北鄂州观音阁）
1599950314# #厦门-鼓浪屿⑤
1667912456# #吴记麻辣火锅
1579296126# #刷手支付时代来了
1534039575# #税务知识（0023）。企业职工教育经费税前扣除标准调整到8%。财政部税务总局。关于企业职工教育经费税前扣除政策的通知。财税〔2018〕51号。各省、自治区、直辖市、计划单列市财政厅（局）、国家税务局、地方税务局，新疆生产建设兵团财政局：。　　为鼓励企业加大职工教育投入，现就企业职工教育经费税前扣
1606975397# #苏州天平山
1553423856# #大宁灵石公园—郁金香🌷花展
1581642960# #未戴口罩买菜15秒被感染
1643938728# #高桥公园
