1695250156# #均为利益
1698505429# #小米全新系统即将发布在生态上，小米其实做的很棒了，我家里的：音箱、扫地机器人、电视盒子……还有我的手机，都是小米。在“米家APP”上可以控制的设备非常多。澎湃OS将来一定是会融合这些，成为一款跨界系统。
1695410481# #“凡事有交代”这几个字，做到很难。
1687631359# #我也是。所以夏天开车的时候就比较纠结，开空调的时候往往会吹到肚子，吹到就难受。
1696312612# #微笑
1694866145# #小的时候虽然也玩游戏，但是我自己打游戏并不是很多。只是周末的时候偶尔玩一小会儿。后来对游戏也不是很感兴趣。到现在，我的电脑和手机里一个游戏都没有。有人和我一样吗？
1699674411# #对。新冠的药物，还是得多多少少有一点。
1696658402# #对，换一个思路，如果大家都这样，那些需要帮助的人就能及时得到帮助。社会就会越来越好。
1696339332# #越来越喜欢一个人。安安静静。喝茶，看书，思考。可能，无效社交依然太多。无效社交拒绝无效社交
1698145109# #北大团队识别血指纹破36年前命案主要是生物识别不太好上传，如果真的将来防护技术搞定了这一点（正儿八经的做好），对于破案这一块（甚至可能彻底解决拐卖人口的事情），会有很大的促进。
1696893757# #黄金时期（暴利阶段）可能已经过去了，但是相对于传统行业，依然是个不错的选择。大环境，确实，相对以前封闭一些……但其实只要想学（毕竟范围更广了），还是有挺多机会。
1696635189# #下了几天雨，古城西安的早晨有些清凉。来一碗热腾腾的逍遥镇胡辣汤，再来几个水煎包，吃完浑身都散发出战斗的激情。嘻嘻早安，各位！西安身边事早餐
1699704406# #刚才又吃了第2个。嘻嘻
1698931689# #国产新势力车企销量增幅大超国外品牌昨天看到新能源车的销量，当时发出了一句：我艹！我觉得中国造车新势力不能用“卷”来说，卷有点瞎忙的意思，但中国这些车企是给大家实实在在的带来了实惠。再不走出国门，国内的竞争就很激烈了。智驾时代已经来了么
1694969785# #允悲偷笑
1687117636# #怒怒怒
1687112867# #还小吧。或者，有的互联网巨头并不一定希望孩子做这个，毕竟，太卷了。
1698328111# #啦啦啦啦啦……冰峰汽水场嘻嘻干杯
1698442281# #微笑微笑微笑
1696952541# #我有好几次跌了很多又追回来的经历（追回70%、40%、30%都有，玩呗嘻嘻），所以也不觉得有啥压力……亏多了就晚上睡觉前看两眼，做个自动单……不能轻易交易。
1694626133# #大前天在榆林市吃了个“子午路肉夹馍”，前天在西安吃了个“渣渣辉肉夹馍”。都是那种传统的“手打腊汁肉夹馍”，配上一份凉皮，加上一罐（瓶）冰峰，就特别满足。
1687862403# #我觉得宁可玩股票，都不想碰基金。中间毕竟有人要赚钱的。
1700691627# #笑cry笑cry笑cry一定要看解放军报的原帖评论嘻嘻嘻嘻嘻嘻
1696771837# #【消息称数百个GitHub存储库被黑客注入恶意代码，网络安全公司呼吁用户使用新版令牌】GitHub上有数百个储存库遭到黑客注入恶意代码。据悉，除了公开储存库之外，这次攻击事件也影响一些私人储存库，因此研究人员推测攻击是黑客利用自动化脚本进行的。|
1697240940# #我国也需要改变，不能一昧做老好人，总吃亏。
1696159129# #华为还有好多贵的。嘻嘻还有防火墙、抗DDoD、IPS，也都挺贵的。
1697623215# #年轻人开始反向消费了网易严选刚开始推广的时候，主打概念就是：我这可是XX奢侈品牌的代工厂，打XX牌子就是30000，我自己的牌子就是500，品质是一模一样，动心不？还有，我认识一些真的很有钱的，并不太买奢侈品，用他们自己的话说：不用，别人都知道我挺有钱的。嘻嘻偷笑
1696155262# #青兰高速……好几个服务区都不能加油……奇了怪了。以前我觉得可能新修的，但是这都好几年了，还不行。一个服务区没有加油站我能理解，但是山西境内连续好几个都没有……有人知道为啥不？（直接造成出去后服务区加油站堵车严重）
1696686019# #对，个人计算机就算是中了病毒，大多数也会选择格式化、重做系统。真正能交钱的，都是政府或大企业。另外就是出于政治的目的……那个肯定不会说。比如美国人攻击我国西工大等目标。
1697112165# #嗯
1687113232# #羡慕
1696771826# #网络安全【6791人受影响，索尼确认5月数据泄露事件】索尼互动娱乐近日向现任、前任员工及其家人发送电子邮件，告知有关个人信息泄露的相关事宜。索尼表示已经向6791位美国人发出电子邮件，并邀请他们在2024年2月29日之前通过Equifax确认其身份并恢复服务。|
1698275921# #【可令AI模型“输入狗生成猫”，黑客展示为训练数据集“下毒”的Nightshade工具】测试显示，只需要少量“下毒样本”就扰乱AI模型的文生图模型。黑客使用不到100张经过修改的“狗的照片”，便污染了SDXL模型已经养成的“狗”概念，使其输入狗却生成了猫的图片。|
1698240167# #2024春节放8天假多放两天假，让那些在外面工作的人多陪一下家人，回来好好工作，多好？把年假也释放一下，提前两天、延后两天，就会让人觉得很暖。并且，那两天很多客户也无心工作了，送送人情，更好。
1696297249# #WINAMP啊，千千静听、豪杰之类的，在他面前都是弟弟。还有个，叫foobar2000的，之前很多年都是0.X的版本，后来我觉得有生之年见不到1.0……后来突然有了1.0，我还觉得特别惊讶
1700494205# #西安是一个限行城市，所以啊……没有办法买油车了。逼着买绿牌……
1697112175# #下手挺狠的。
1697378078# #有一种可能：美国现在实力也不行了，不能同时支持两个地方同时打。朝鲜和台海要是再搞点事情，他就更头大了。嘻嘻嘻嘻嘻嘻嘻嘻
1698149561# #买个无头的MacBookair，我觉得应该挺合适。但是没有新的吧，可能某一些市场上卖的，都有可能是经过拼装的。不过这个应用场景确实小。像我这种经常外出的，就希望电脑待机时间长一些。
1696354570# #跑步机的这个用途不错。嘻嘻嘻嘻嘻嘻
1699853849# #我家里六七年前买了一台奔图打印机，当时就是硒鼓特别贵，后来就有了第三方，成本一下子就是之前的1/3甚至1/4。嘻嘻但打印质量还蛮好的。
1687987327# #东方已泛起鱼肚白。耳畔传来麻雀的叫声
1697643245# #发现之前在微博上很多活跃的人，现在都不太更新了。我也是加了很多屏蔽的关键词之后，最近稍微活跃一点。按说微博官方应该对一些明显的行为进行有效管控。比如热搜下面那些诈骗的、搞黄色的、骗流量的，还有搞性别对立的。如果只是想搞点临时流量，无异于饮鸩止渴。微博
1688237438# #偷笑
1695907067# #邓布利多扮演者去世以前没了解，直到今天上了热搜……魔法师，在这个世界给我们带来了很多欢乐，希望也带给另一个世界欢乐。
1698930328# #专家称彩礼理念不改婚姻制度要崩溃很多地方的男人都是整个家庭出彩礼，结个婚。离婚了直接被干走一半。微博上还好多女拳天天逼逼叨叨……以后想结婚的就去登记，不想结婚的就谈谈恋爱……国家又不强迫你结婚。临近婚期被要求加3万彩礼男子退婚
1696292015# #未来的历史，目前看，很难“保真”了。
1694774038# #继续为网络安全宣传周助力。今天：。陕西省某集团公司专题培训。网络安全宣传周网络安全
1696418010# #是的。
1696160539# #握手
1695775352# #他不一定有机会。
1697724722# #看到北京又现绝美晚霞这个热搜，想到了以前拍的照片。还是在2018年8月7日，在新疆乌鲁木齐喀什西路拍的……第1张是以后上午拍的，第2张是傍晚拍的……其实，真正的景象，比我拍出来的还要美很多。北京晚霞
1687117907# #很难，这个太难了。允悲
1696254643# #机长也不敢惹XXN的……牛的很。
1699855898# #有这么急。软考高级教材，已经有鸿蒙系系统了。
1699885280# #55个品牌被移出中华老字号国家确实应该每隔一段时间就对这些中华老字号做一下审核。其实还有很多食品的品牌，在微博上几乎全部都是负面的评价，还是应该收拾一下。（比如一家人几百块钱吃不饱的包子）
1699854889# #我去，这么便宜了。
1687610747# #俄罗斯倒下之后，美国就可以专心致志的对付中国了。
1700693234# #去晚了，10年前还算可以，技术领先，福利多多，现在主要的皇冠上的明珠不多了，有的领先也不多了。汽车、核电、造船、环保、高铁、电力、电气、国防军工都已经被追上或者领先优势很小了。现在奢侈品牌、化妆品牌还是很厉害，也随着经济减速下滑很多。
1694871856# #允悲允悲虽然，但是……安全第一。
1687793388# #要对眼前的事有笃定的信念。才会觉得这一天没有白费
1700640957# #作者是我的好朋友，他持有多个网络安全相关的证书，也有超过15年的网络安全经验。强烈推荐。嘻嘻鲜花
1695300650# #【美国入侵华为总部服务器！2009年就已开始！国安部起底美国窃密卑劣手段……】美国情报机构研究的网络攻击武器，已经渗透到各个行业当中：CIA制造的一千多种黑客系统可覆盖绝大多数的电子设备系统；NSA下属的TAO研究如何远程入侵汽车计算机系统，以暗杀特定目标……
1700862915# #哈哈，图2方法好。
1697987868# #美在我重点国防军工单位安插眼线就目前这个形势来看，凡是出过国的，或是在某一些敏感区域呆过的，很可能政审的时候会出现问题。（我说的不是不能报考公务员，而是某一些更敏感的位置或者更敏感的事件。）国安公开一起美国间谍案
1688180447# #新修订的《中华人民共和国反间谍法》今日（2023年7月1日）正式施行。明确规定了和网络攻击相关的间谍行为，涉及范围是国家机关、涉密单位或者关键信息基础设施等。网络安全
1697989384# #一直觉得限号政策傻叉。
1697382747# #以方宣布断绝与联合国中东问题特使关系很明显的，以色列现在就是认为没人能管的到它。在中东，它就是准备为所欲为……反正有美国和走狗英国支持。在站队问题上，外交部说的已经很明白了，以色列已经超过了自卫范围。（以前中国很少这种口气说话的）
1698276022# #【安全公司：黑客正通过山寨软件包，对阿里云及亚马逊用户进行攻击】IT之家从报告中得知，例如PyPI官方仓库中一款名为Telethon2的恶意软件包，实际上是“正牌”Telethon的“山寨版”，后者已被下载超过&nbsp;6900&nbsp;万次。|
1701010666# #yes微笑
1697989172# #真正的朋友能好到什么程度比如对方坏了一个肾，会想着把自己的一个移植给对方。只不过，这辈子不会有这样的机会了。
1698932794# #最近，在生活中，有点不想说话。。可是在微博上，似乎我还比较活跃……。但，纯粹是浪费时间的文字罢了。。人生感悟超话
1697289856# #就是鼓励大家把时间都耗费在这里……高兴了就玩玩，不高兴了就闭关。我是有时候开心了看看，不开心了也看看。反正微博上没有什么，能影响我的情绪。（我只是情绪受到影响之后才上微博）
1699589863# #首次允悲允悲允悲
1696411552# #没必要的，对于AI而言，人类没有存在的必要。一天干活不行，不如设计一批智能机械，并且……人类还天天逼逼叨叨，情绪不稳定。一日三餐一顿不吃就不行……毁灭人类，是AI最好的选择。
1699188361# #都好古老的名字了……
1687404289# #关键是这个提前一个小时就发现了问题……当时如果立刻疏散人群的话，应该不会这么严重。
1696952035# #今晚和朋友聊了下投资，主要是股票。我去年国庆节后从亏了30%追平后稍有盈利，到今年后又跌下去了30%。但是这哥们就单吊一只股，每次就几个点盈利，坚持跌了5%就坚决出手，目前盈利15%。
1700932760# #嘻嘻嘻嘻嘻嘻嘻嘻
1687445630# #我对固态硬盘的印象还停留在2t固态要三四千块钱的阶段……没想到直接干掉了一个零，还又削去一截。也难怪美利坚把长江存储列上了名单。长江存储这一把干的是好几个国家。goodgoodgood
1696077125# #教练：我跟你说，对面那个驾校比咱学校好。二哈
1698466066# #充电费涨价电车真成电动爹了如果自己有停车位的话，弄个充电桩还是很爽的。另外有同事开蔚来，每个月4块电池也够用，偶尔出去长途的时候也有免费电池数量可以用。西北区域可能还是有点焦虑，但是沿海的话，如果没有高峰时段的长途需求，应该没啥问题了。
1697638005# #今天傍晚和一名合作伙伴聊天，也说到今年各个行业都不好做。其实能猜得到——即使是国内这几个头部的网络安全公司，今年其实销售压力也是巨大的，更何况中小规模的集成商。所以今年很多项目都在疯狂砸价，最后砸的厂家都亏。
1699205966# #你这个说法，让我怀疑你是国防部的人，觉得经费不够用，想让财政部多弄点。嘻嘻偷笑偷笑
1698440205# #那么多官媒，报道就这……再看看那些娱乐资讯……铺天盖地。无fa可说。。。。
1696246210# #感谢梁肇新good
1697726653# #给父母用的话，可能苹果确实几乎是最好的选择。没有那些乱七八糟的弹出，操作也相对简单。
1687796352# #内卷没有意义，。进化才有价值。
1698928772# #嗓门会被掐的越来越紧。送个图，给某些🐶
1697240524# #西方（在政府强压下的）新闻媒体的双标
1696771582# #网络安全【米高梅预计因黑客攻击导致数据泄露而损失1亿美元】米高梅国际酒店集团表示，上个月的一次网络攻击中断了该公司的运营，将对其第三季度业绩造成1亿美元的损失。|
1696737930# #Repost：我专门找了一下那篇文章，有兴趣的可以看看。这篇你可能上了一个假的苹果网站。goodgood
1695140526# #是的，现在商超里面的饭馆，相当一部分都是预制菜
1700563334# #涨价的特斯拉和降价的新势力你选谁我觉得这是特斯拉给造车新势力机会呀……别人涨价咱降价，配置还一直往上加，得到好处的，还是买车人。嘻嘻特斯拉1个月涨价4次
1697289441# #是的。就盟友关系来说，美国人更重视以色列超过乌克兰。泽连斯基这几天挺不开心吧……可是，你没事在俄罗斯门口放炮仗，人家能不干你啊？
1700823381# #吃火锅晒照误露点餐码被人点43万菜至少在前年就有类似的新闻……朋友圈的不一定是朋友（黑名单的一定是故人？），早就成为了一个社交圈子，里面的那些人也不一定是支持你、认可你的。凡事自己还是要注意，害人之心不可有，但防人之心不可无。
1697105946# #把体重减下来，然后稍微锻炼一下，是为了更好的去体验更多的美味。嘻嘻嘻嘻嘻嘻
1698146867# #利用公权力搞一个人是很容易的，你看这两天：又已经没什么消息了。消息的出口太窄……接下来应该就是各种打击了。
1697107573# #广州地铁称珠江新城站一切如常目前网络安全审计做的已经比较完善了，关于网传广州地铁遭恐怖袭击是谣言这个，我觉得快在今晚，慢也就明天，就能把造谣的始作俑者给挖出来。估计得进去减减肥。
1696410880# #微笑来自民间的声音、发自心底的热爱，很重要。
1699795062# #允悲允悲但是本质上安卓的系统也……所以下一步各家都搞自己的系统，在所难免。包括PC端的系统。
1687097290# #半年减重60斤网红猝死90天减过38斤的路过……我有朋友大半年减了80斤——从210斤直接干到了130斤……曾经晚上10点给我在微信上吐槽，说清水煮白菜实在是吃不下去了允悲可能这位网红体重还是高，压力再稍微大一点，就挺危险的。
1699742821# #这不很好么，假一赔三的例子挺多了，必须给SSSS上一课……70万退回来，再赔三……净赚210万，不好么？？？
1696518132# #李想的确更落地一些，着力于“活下去”。（一个好的产品经理）
1697191804# #允悲允悲允悲
1700475180# #大学生实习连续五晚通宵直播后猝死这个事，既然有回应，说没关系……引用一位网友说的：要是没签合同的话那就更有的讲的。可能这个学生自己有问题，但我还是觉得问题更大的在这家公司（毕竟白纸黑字写的每个月直播不低于260个小时）涉事公司回应大学生连续五晚通宵直播后猝死
1700006512# #有时候，只是为了一个名字或者花点钱。安全与否有的人并不关心。
1700318112# #以色列称将攻打加沙全境从以色列最近在联合国的一些表现来看，相当的狂妄，压根就没有把其他的国家当回事儿……现在感觉美国也压不住了。周边那些阿拉伯国家也真是怂，一盘散沙。以色列搞定了整个袈裟，阿拉伯那一块和他的对立会更厉害了。
1697910891# #熬夜容易不开心，。反过来似乎也对。
1699794553# #好像故障的分析报告还没有出来。
1695299441# #【特朗普长子发文称父亲过世顾问连忙澄清其账号被黑客入侵】美国前总统特朗普的长子小特朗普的社交媒体账户发帖称，他的父亲已经去世，将由他来竞选2024年美国总统。随后，顾问澄清，小特朗普账号遭到了黑客入侵，用其账号发布了这些煽动性的内容。详见：
1696160497# #万一有假钱或者对不上数，费力不讨好，甚至很麻烦。
1696091234# #这些年，确实，疯狂。goodgoodgood
1694618630# #想想，我在2002年考MCP/MCSE/MCDBA的时候，也是憋了一口气的。最努力的一段时间。
1696569133# #有几次，苹果电脑出现奇奇怪怪的问题，如原博说的触控板按压失败，重启一下就好了。所以，重启大法也不是网吧网管的专利，很可能很多电子设备都会遇到这种问题。苦涩
1688125980# #收到了“北舞渡流派”的壹碗胡辣汤”。最开始我是没抱特别大期待的。然而，打开袋子准备倒进锅的那一刻，飘出的香味瞬间激发了我的兴趣。一包、450克、三大碗，一家人都够了，牛肉是真的多。嘻嘻强烈推荐尝一下。
1694914068# #附近两三公里，我出去都打车过去，住的附近，现在不想开车。相对繁华点的区域，停车难还贵，算上停车费，还不如打车方便。
1696518324# #虽然微博也有很多人认识我，但我在微博上明显比在朋友圈要真实一些。
1698337303# #嘻嘻good
1700822336# #过境不超过15天可免办签证入境有没有一种可能：本次先放开6个国家是一个试水，下一步将会有更多的国家会列到这个清单里？这种方式可以快速的提高中国在很多老外心中的形象，让他们看看现代化的中国是什么样子……估计很多人心中的中国还在清朝呢。
1697287333# #所以现在，我高价值产品几乎只在京东了。
1695774477# #陕西超50个航班可赏月前几天从杭州回西安，收到航司信息，说是“赏月航班”。以前乘坐飞机少，喜欢挨着窗户，现在就想出入的时候方便点，就都喜欢坐在过道了。并且养成了上飞机就睡的习惯，等到飞机进入平流层，我也就醒了……然后看书。中秋期间坐着飞机可赏月
1700822536# #过境不超过15天可免办签证入境有没有一种可能：本次先放开6个国家是一个试水，下一步将会有更多的国家也会（先单方面）免签？这种方式可以快速的提高我国在很多老外心中的形象，让他们看看现代化的中国是什么样子……估计很多人心中的中国还停留在百年前呢。
1695649223# #给各位粉丝推荐一下：博主是一位资深网络安全从业人员，写的eCapture软件很棒的。（eCapture:一款无需CA证书，直接抓取HTTPS网络明文通讯的神器）网络安全
1700914818# #我也喜欢这样……喝一点点可以的。但是最近痛风了，不敢喝啤酒了。同样不喜欢浓妆艳抹，香水还凑合，那种粉……我觉得我过敏。有抹粉的从我面前走过去，我就会咳嗽。
1699741948# #偷笑偷笑偷笑
1700614744# #问一下各位MacBook用户：你们在macOS下的办公软件，用WPSOffice多还是MSOffice多？选择的原因是？我先说：我用WPS多，主要是MBP高分屏下显示效果更好一些，但是MS的资源占用确实更少点。
1697726863# #有的时候我觉得高质量的睡眠4个来小时甚至就够了，白天也不太累，但是如果睡眠质量不好，哪怕是睡七八个小时，就觉得白天状态不行。
1695737325# #西安例外。最好的初中和小学，全部是民办学校。今年，初中择校费已经40-50万了。
1687860179# #会装好，保存着。
1700911659# #中国此前也是怕了啊……。八国联军、抗日战争、抗美援朝。都是火力不足。所以提到加强火力，全民支持
1694971553# #居然……木有……
1698581570# #为民警们点赞。goodgoodgood
1687825688# #尽量别做底层，离钱越近越好。（尽量靠近核心层）
1699623267# #允悲焦虑
1696159452# #性价比超高。
1687627611# #嗯
1699591684# #双11数据显示：。男性消费力【首次】超过宠物狗。男人不如狗的历史要改写允悲嘻嘻。有一种可能：就是最近养狗的人少了……“自然提升了一个名次”（就是说实际上并没有进步，而是倒数第二退步太快抓狂）
1696577250# #允悲
1697113846# #嘻嘻
1696576557# #有时候我就和同事说，纯粹的文档工作（WPSoffice或微软office能胜任的）及常规剪辑类，用苹果的MacBookAIR就很爽，轻薄、性能好、待机长，还好看。
1698469195# #哈哈，我一口气900公里。只加一次油，只去一次洗手间。偷笑偷笑偷笑
1698486212# #嘻嘻有很多扫地机器人是可以接收语音指令的，所以也可以作为一个语音监听器来使用。至于那些带常规摄像头的，那就更好玩儿了。
1695186914# #对。动网、动易，当年可是流行。也是很多网络安全入行者的兴趣启蒙嘻嘻嘻嘻
1696157587# #今年下午我还说，这玩意儿扔歪了会出事……没想到，当天晚上就看到这新闻了。允悲
1696697497# #也不用那么长，有一篇《提问的智慧》可以参考一下。不是专门应对课堂提问，但是……改编下应该可以。优势是：文，而不是一本要读很久的书。
1697174941# #我老家山东淄博。小时候住的地方离淄河只有几百米，那时候没有水了……隔几年由于夏天雨水大，会水库放水，就淹死几个人……现在淄河已经常年流水了。我离开淄博22年，前几天国庆从西安回到临淄区转了转，已经发生了特别大的变化。
1700563212# #有些东西必须摧毁才能迎来新生比如，人心。
1699466808# #如何看待手机一抖跳广告国家网信办还是罚的太少了……建议以后这些APP不把消费者当人的行为，统一由国家网信办出头，罚他个年营收额的百分之几，这种行业乱象一下子就解决了。
1699885112# #毕业才发现跟大学老师不是一个阶层的上学的时候很多人不好好听，其实毕业之后很多时候你再去想找你的老师咨询个问题，很可能是按小时收费的，并且往往你想交钱还不一定能排得上队。酷酷酷
1696217299# #右上角还有一只……伤敌1000自损1800嘻嘻允悲但是开心嘻嘻鼓掌
1698379260# #印度军队向巴基斯坦开火周边可以稍微搞点事，别太大……美国人认为他们是国际警察，那就都去防护一下……打仗一定是不好的，但是某些国家把中国当做假想敌的时候，也没考虑过我们，对吧？
1697063127# #以前听创业者是“九死一生”，昨天听一个节目，说美国最近多少年车企有1600多家，目前活着的只有9家（不一定准），这个比例，九十九死一生吧。致敬每一位不同形式的创业者。
1699743083# #B站还好吧，D站才遥遥无期……
1696698266# #我有段时间吃了安神补脑液、百乐眠，还行。后来再吃，好像不明显了。你看我现在，晚上挺精神……白天依旧也还挺精神的。
1694707473# #且：短视频等（包括微博这种本来定义是“打发碎片时间的工具”），会让人越来越烦躁，越来越难以独立思考。所以，尽量的戒一下，尽量的。
1695317454# #任何事情，想要做好，总得去研究规则。比如网络安全攻防演习，你如果只研究主机权限，那就只能得一点分数。必须深挖：主机部署的应用是什么？有多少账号？数据库有多少条？是否有公民敏感数据？多少条？是否有业务敏感数据？多少GB？对着评分表去看，说不准能多拿好几倍的分数。
1695775994# #朋友圈看到一句：持续投入资源但不产生价值的竞争叫“内卷”，走出去不要在“小圈子”里转来转去，不断突破打开自己才是解决问题的关键。
1696573648# #的确，口味这个东西，特别具有个人属性。比如我，多年去贵阳出差，就喜欢上了牛肉粉、燃面。同一个食物，张三觉得优秀、李四觉得难以下咽的情况很多。所以我一般说：这个不合我口味，而不是说：这个不好吃。
1700937300# #嘻嘻嘻嘻嘻嘻需要一款这样的翻译软件。嘻嘻
1700565364# #笑cry就觉得累。经常有一种感觉：我怎么把车开回家啊……对，听慢摇，让自己嗨一下。
1695856960# #执法者犯法，才更没希望。
1699759259# #现在手里的是256的，已经用了200多了，马上就用210了，下一个肯定是512的。必须。
1699674008# #马斯克盛赞中国人聪明又勤奋去年和今年有一些跨国公司在中国的工厂迁往了印度等国，最近这段时间，觉得那边不行了吧？这几年中国的成本可能会高一些，但是员工的素质应该还是不错的。
1695253767# #大概率是吧……真正想学好的，自己会去努力。我的英语也不行，但是以前为了考MCP/MCSE/MCDBA，也是天不亮起来、宿舍最后一个睡觉……毕竟官方教材、考试，都是英文……反正是硬抗。这种场景下，提高特别快。
1699630022# #碎觉😴愿你遇到的人都是温暖的
1696410419# #支持右侧网友
1700609011# #笑cry还是要加强宣传力度。不过不得不说，现在有些骗子的骗术还是很高明的。
1696996869# #秋天有仪式感的9件小事赏秋色、饮秋茶、品秋果、望秋月、拍秋景、拾秋叶都行，但是贴秋膘就算了……可以说万万不行啊，我一直觉得：天冷了才好减肥；登求高也罢了，因为胖了之后稍微运动就累，慢跑就蛮合适的。
1698932905# #我觉得你说的挺对的。今天和个朋友说到关于小米的一些事情，那位直接说：某家技术能力上真的是很强，但是在宣传推广上的一些做派让人觉得很不爽。支持小米。666
1698440774# #很快就发展起来了，时间不会太长。goodgoodgood
1697107749# #月入5万舍不得打车节约、环保，都是有必要的，但是科技的发展是为了把时间节约下来，投入到更有价值的事情，可以是为了促进事业的发展，也可以是为了享受都行。看报道，他们两口子收入不低呀，没有必要这么抠抠嗦嗦。
1696932233# #【统信UOS通过国家级检测标准：率先获得安全操作系统第四级认证】统信软件近日宣布，统信UOS率先获得由国家网络与信息系统安全产品质量监督检测中心颁发的《网络安全专用产品安全检测证书（安全操作系统第四级）》。|
1696088744# #多的吓人
1696684758# #为什么电脑病毒逐渐消失了作为一名网络安全从业者，很明确的说：（至少）针对大众的、明显的网络攻击少了。但是，针对企业、政府等的攻击依然大量存在，比如勒索病毒是较为被大众所知的。还有很多，被广泛的用来攻击服务器，获取数据，为政治服务或谋取利益。
1695272039# #我不同意你的观点。注册商标也是有品类的，再说小米不像华为，小米本来是粮食。两回事。
1697307031# #微笑微笑微笑
1696606108# #旅行办公带平板还是笔记本家里3个人，有3部手机、3台笔记本电脑，还有一部平板电脑。反正我出去的时候，必须把自己的电脑带上，因为一些文档资料都在笔记本电脑里面，遇到需要应急处理的事情，就很方便。还有，自己的电脑，用的顺手，是生产力工具。
1696075010# #我是真的会谢二哈二哈
1700291826# #乐观本身就会感染人。嘻嘻
1698833094# #双11全网底价都在向拼多多看齐反正那些直播的我是不会去买的，或者说：我一直挺抵制直播卖货的。觉得会从心理上被控制，让你焦虑，然后下单。我就喜欢默默的看看介绍，找个合适的买下来。不同的平台买不同的东西，有没有和我一样的？嘻嘻
1695857461# #我的好多朋友都是一句：(⊙o⊙)哇！你比上次见面，又圆润了！嘻嘻挤眼
1695207726# #下午和同事从出差地回西安。有一趟动车比我们的那趟早走一会儿，虽然跑的慢点，但还能快7分钟到站。就改签了……刚刚，广播说，车晚点了。允悲关键改签的时候我还从2座靠窗变成了3座中间怒刚乘务员小姐姐说，“乐观”迟到22分……谁知道会不会有意外呢？允悲亏了……
1700138209# #我估计现在能做0.85个吧。笑cry晕
1695775071# #相对于“生肉”的人，熟食散发着迷人的香气……说不准，以后这只熊会经常来……吃熟食。就像远古时代的人一样……吃惯了生的，吃顿熟的，就觉得味道很棒。嘻嘻嘻嘻
1688236860# #允悲
1695136875# #对，如果员工明确的知道，我觉得问题不大，但实际上……
1696570019# #很多人今天的状态，哈哈哈哈。而我就不一样了，我热爱工作、我期待工作。偷笑工作的时候，生活更规律一些。
1695739530# #男子上班浏览色情网站被解雇索赔30万别的先撇开不说，就凭：工作时间、公司电脑、儿童图片这三点，开除了活该。他居然还有脸要公司赔偿。
1695789195# #有种拯救人类模范标兵的感觉good
1699207487# #Y
1699673773# #钟南山称近期将有新冠感染小高峰十一假期之前，同事跑到我办公室聊了会儿天，然后一个会议室开了会。过了一会儿和我说，他觉得不太对，测了一下阳了。允悲允悲然后我们还好，基本上没有人被感染。
1687445689# #虽然看不见，但是他们都在。偷笑
1697261441# #王毅指出，巴勒斯坦问题始终是中东问题的核心，是当今世界不断被撕开的伤口。这一问题的根源在于巴勒斯坦独立建国的夙愿迟迟未能实现，在于巴勒斯坦人民遭受的历史不公一直未能得到纠正。以色列有建国的权利，巴勒斯坦同样有建国的权利。以色列人已得到生存保障，巴勒斯坦人的生存谁来关心？
1698506412# #俄乌是正常打，巴以则完全没有规则和人性……
1696518244# #我觉得如果不是中国撑场子，应该发不了言。（制约一下小日本，挺好的）
1698570769# #你支持禁止老头乐吗讲真，老头乐有很大的安全隐患。无论是从驾驶员的年龄，从车的安全性等各方面来说，都是。但是他又帮助老年人，尤其是偏远区域的老年人，解决了出行难的问题。所以城区内可以禁止，但村镇上就算了吧。每一辆老头乐卖出去的时候都做好登记，确保可追溯，管理好就行。
1697107325# #外地朋友跟我说当地没有菠菜面，我点评上搜了下，居然真没，就西安多吗？嘻嘻
1698486006# #家里有装监控的要小心了不单是家里装摄像头的要小心，一定要让他只能拍到一部分区域，比如边上可以拿个盒子挡着。甚至有一些扫地机器人……也可以的。（带着摄像头、能听声音的，大概率都有可能。）网络安全
1696160840# #改变了很多人的思想。微博上上海的朋友，能不能出来说几句？
1687664654# #2003年左右更疯狂嘻嘻20年过去了，这个进步极为明显。
1698932512# #白蜡烛白蜡烛白蜡烛
1696851092# #这今年都不是第一起了吧？真的是。
1698175713# #所有能快速赚钱的办法，都被写进了刑法里。允悲以前遇到一个类似如此的，但是是帮客户发现的运维公司搞数据……后来这家公司就被另一个地方的医院直接告了，记得应该是判刑了。
1697385561# #总觉得我的神经比较钝。平常上班的时候，有的时候喝咖啡也好，喝茶也好（并且我特别喜欢喝浓茶），似乎也都不太影响。能影响我睡眠的只有情绪，从来不是其他的什么东西。
1700962730# #还有一些是属于品牌自身的问题，其中不少我都没有听说过。但确实竞争压力很大，海底捞现在排队都不像以前了……
1695743559# #几次出去的时候想买，但是一直都缺货。
1700330887# #的确。
1695251100# #眼看着“三一重工”跌成了“二一重工”，最后成为“一一重工”允悲中国的股市没有价值可言……关注的网络安全股多，很多都最近直接腰斩的。价值在哪里？老大还是组长呢，一样跌跌不休。
1696799256# #3纯粹是有人认为直发更快吧？
1696698998# #吃面不吃蒜，味道少一半。嘻嘻
1699014211# #哈哈，还是要尽量的远离那些只需要左右滑就能刷流量的APP。嘻嘻偷笑
1694826840# #假的。官方已经辟谣了，出现问题是真，但是人数这么多是假。大概一个月的活跃用户好像是4360万。差不多吧，记不清了。
1698441130# #微笑
