1647212856# #转就收，不转不主动要，对领导、同事、下属没有分别。
1681578968# #哈哈哈哈哈，去麦当劳打扫卫生允悲
1641089121# #强大的美国。。我们就没有条件做这种规模的对比统计doge
1671727042# #对了，要没那一脸大胡子，颜值最少能提升20%
1694702999# #命弯造逊滴破老来，命弯造逊枯杰雷剋，命弯造逊空哈杰内，做养木淬妹，币老泪桑熏，更巴应邪黑，哦运能呀僧噗不内。。
1661331803# #啥破车都能编出一套词儿。。
1695743389# #讲道理就叫战狼外交？那么你推崇无原则的舔狗外交？
1646868595# #今日自乳
1655547122# #透明的馋嘴
1683961257# #3D打印建筑啊，去月球造基地可能就是这种技术。
1639955414# #所以最艹蛋的还是力宏。。思考
1697617199# #说过多少次了，国航接阿萨德的航线并不是最安全的，为图安全肯定走北边伊朗→中亚五国航线，还最短，没有必要往南走伊拉克、沙特、阿联酋、巴基斯坦绕一下，航程远不说，下面有的是美军基地。这么走就是做给国际社会看的：中东大和解，逊什皆兄弟。
1677668760# #葫芦岛口音？
1631540470# #像我，就不喝酒，酒局、夜店根本不去。
1630398126# #大仁大义同样是战斗力！。中国人民解放军的战争哲学，。早已超越了这个世界上的文明程度。
1685678997# #梦让S也躺平的，也就只有thisf*ckinglife了
1654916450# #你说这俩，大概率会是被骚扰的事主吧？
1639478053# #who'sthebeast？
1687304845# #我看你还是不够憋，还有工夫拍照。。doge
1656257978# #哥大的。。我柬大的
1670685485# #进屋脱帽，这礼仪在哪儿其实都差不多，中国课堂上你戴帽子上课老师也得说，但是有些国人吧。。打小不听爹娘，长大不听师长，非得洋大人说一句，ta才能往心里去，而且特往心里去。。
1671504554# #西威锑
1696642352# #说就说，别比划。。doge
1645893230# #我是泽连，赶紧打钱，待等停战，共坐江山doge
1680017434# #这话反着听他就对了，所以我们的武备在目前基础上还应该扩充2倍才可能与美国重归于好，至少战略轰炸机、核潜艇、航母，以及战略导弹这些大杀器数量要翻两倍才勉强够用。
1691480721# #当然不关我事，日后她若真成了巨星，你看她后不后悔。。
1641792811# #这东西总是标榜卖技术，实际上是文化产品，运动装备，球星推广，核心都是文化传播，但当你能说出“拒绝新疆棉花”这种没文化的话，就注定了你卖不出去。
1669479074# #这恐怕连30米都没有吧？真是怼着脸来一炮啊。。
1636680149# #艹。。。直接剪了啊？天鹅当鸡养
1672832167# #干嘛还用她分？自信点，你也去打砸J车，分分钟流量满溢，我们都得蹭你的嘻嘻
1676860153# #KH31提供的思路好，射程远，威力大
1645142950# #有精神追求的作品，但同时也感受到了来自白话语区的某种文化傲慢。
1675218606# #关键是。。。他比吴京还小两岁二哈
1646455559# #杀死比尔
1666973764# #我小时候学的是“是人”
1650763071# #就是，谁也不欠谁的，讲道义的不该死。
1688306358# #好多军迷拿兔子的“火力不足恐惧症”当梗，这个问题我谈不上认真思考、研究，反正琢磨过。。。兔子的“火力不足恐惧症”怎么来的？是缺火力吗？不是，缺的其实是载具，是机动火力平台。因为有机动能力的重型装备少，所以对轻步兵的火力配置的追求，近乎变态。。。可喜的是在21世纪第一个10年末，兔子终于基
1654662879# #找不同吗？doge
1655979882# #你是一只什么龙？doge
1674305963# #很漂亮，唱得也好。。
1695475666# #百色名吃吧。。
1667372798# #如果是反物质，那么会更有“营养”且不必限定元素，只需考虑质量。。
1635995108# #从下面数，第二辆doge
1661235078# #是啊。。原住民的确不是白种人。
1640863802# #灭霸葛格，你看我们这些可爱的人类，你怎么忍心打响指嘛？害羞。灭霸：确实不错，那就毁灭所有男性！。二哈
1654390645# #要给你讲他和鱼的故事？doge
1654671059# #只要纹得足够多，拍全裸图也不会被夹doge
1662676986# #所以她到底为什么不开心？。是嫌口红太便宜了？。那也不用当时甩脸子吧？。摊手
1633055689# #个人审美，201的通机更好看。
1630773050# #大声喧哗就该被扒衣服吗？（话术：“该”，只谈最终起因和最终结果，抽象掉一切过程，强行因果，并无视观点中“保安的粗鲁行为确实不当”的表述）摊手doge
1694650787# #120毫米步兵炮doge
1633063725# #蛙：我们自愿性提供！美：f*ckyou，我们不要你自愿提供的“性”，我们要的是密电码！怒
1628688624# #他们向来把人民战争理解为“人海战术”
1641784656# #去年11月份我帮朋友推了一个按.摩枕，前几天那个朋友来电话反馈，卖得非常好，不用说又想要让我帮她推东西，我问是什么？她说是按摩椅，并且已经给我寄过来试用款。。我一懵，擦！一张按摩椅我搁哪啊？朋友说别着急，到了你就知道了。。。两天前东西到了，我发现是个不大的按摩仪，之前有用过类似的产品
1669819568# #你妹抢不回来了你害搭一个是哈。。
1651977483# #好家活，绣个团龙的补子。。
1668143317# #鳔嘎（表哥），卧又粗来了哇。。doge
1680261379# #这就属于跪而不得。。完了，我这一代恐怕看不见祖国统一了。
1627035816# #袭。。。
1674172367# #有，你doge
1698195707# #她正常说如果管用，就不用公开发视频了。这个破学校，配不上这个好老师。
1627657506# #我没说他歪能量，我是问马龙夺冠跟张艺兴有什么逻辑上的关系？
1662394080# #哈哈哈哈哈哈哈哈哈允悲
1643298220# #所以说新冠爆发可能是投毒，这个说法过份吗？
1632927693# #视觉冲击力是够了，只是这创意。。咋还碎了呢？思考
1680224568# #记者上网都能轻易挖出来的猫腻，这不是黑不黑的问题，这完全是土匪洗洗脸就想做老板。。你有那个脑子吗？
1684753086# #军事博主就不要想吃大流量。有流量就离死不远了。
1684759435# #嗯，洗个枣洗一分钟，你的视频按时长算钱么？
1675474868# #即便是卖淫嫖娼那也不是犯罪，而且不是男女朋友发生关系就是犯罪事实。。这什么逻辑？
1689116987# #之前舆情热点是女子辱华言论，之后舆情热点是办案单位明显不当的认定与处罚结果，堂堂一个直辖市公安机关，把一个不大且不复杂的案子办成这样，成功地把舆情引到自己身上。。也许真如博主所说“最会自我崇拜的直辖市，这是具有宗教意义的”
1639584577# #BBC：“中国恢复古代酷刑——团头护身枷，并用消防车装载游街”doge二哈二哈二哈
1656671371# #你把小仙女，改成小仙吧。。doge
1670918673# #一些武器，和装备像是AI作品
1626189639# #努力坚持吧孩子，早晚有一天你会坐上轮椅。。doge
1690893078# #虾米皮煎饼二哈
1684244072# #看上去很不错啊
1681289070# #该！
1633311658# #老美研制装备最首要一条就是保有“代际优势”，所以在选用成熟平台、成熟技术上反而非常谨慎、保守。
1695045873# #他演年轻时的教员是真像
1661125719# #你看这种对异性充满仇恨的人设有个共通点，就是都比较丑。。丑女gay尤甚
1697276380# #有暖气的地方doge
1679843367# #这字多少有点生僻了，要我起就是“魅龙”doge
1670399529# #下腹部还有个不明凸起物。。哆啦A梦吃惊
1681451957# #这个对标还差那么一点点，一个是“正常生理需求”，一个是“生育意愿”。如果男的勃起没问题，但是无精，那么法院会不会支持女方诉讼请求？解渴是够了，就是无法生育。
1679221103# #一小时前不知是从谁的转发打开的一条微博，这一小时期间有别的事忙来忙去，终于有时间坐定看这洋洋洒洒大几百字，三观之炸裂，屁股之歪斜，常识之匮乏，逻辑之荒谬。。。憋了一肚子吐槽话语，想看看别人转发说的什么，于是按了一个回退，踏马页面刷新了。。。抓狂裂开
1638665828# #估计最右没看过《TOPGUN》
1642781109# #我：白左都是大傻❌。我：红脖子都是大傻❌。我：泥哥都是大傻❌！我：黑蜀黍零元购乐色！我：白人种族歧视乐色！我：黑杀白开心！我：白杀黑开心！只要在西方混乱、野蛮的社会框架下，同时持有以上所有立场，我觉得一点都不矛盾。
1631538143# #别觉得酒后的姑娘容易得手，从刘强东到都美竹，再到阿里，里面都有酒，酒后的姑娘。。别碰！
1694442850# #晚上好，大白兔奶牛doge
1641664247# #2022阴险阴险阴险
1644903765# #不揭穿，微博上的文科大v们就一起背锅（幸好军事/lsp不算文科吧）doge
1655211084# #哈哈哈哈，屁股烂了吧？
1650033302# #请从孵蛋大学开始！属特么这反贼多。。
1629972356# #放人！
1677772583# #石油解绑美元，以RMB结算的。。。可能性微乎其微，就以中国央行主导的数字货币结算吧，不用担心超发水货币搞通胀割韭菜，完全公平。
1683805208# #
1668524542# #哈哈哈哈哈，也是绝！这都是彼得没招的办法，私人小企业真承受不起。
1630333904# #在中国开这种冷餐会式的自助，还这个价位。。可能只是为了赶走那些一杯咖啡坐一天的“白领”吧
1683357962# #艹。。。允悲
1670476449# #水平不低呢。。那摇闪、小跳步，有点阿里的意思
1658200561# #哎。。这是哪位？哆啦A梦吃惊
1685097248# #个人以为不会，应该再发展一款超轻型牵引122，随便拿什么车都能拉，直升机也可以吊那种，可以配给陆战队、山地师或者特战单位。
1634344667# #所以。。这是哪儿？
1697809751# #什么破学校，什么逼风气。。怒
1629071809# #直路改环岛啊？不能一个人瞎。。目测还可以加一把大锁，贞洁相关二哈
1693926061# #印支半岛呢？
1690355077# #对视。。doge
1635606181# #越土的领导，出身越苦，几乎是铁律。
1658928631# #油站顶棚的饰条是增添效果用的？
1667698184# #马住！
1656129319# #千年战祸始鞋叫，世界鞋叫出耶山doge
1650206800# #这就是防疫封控的恶果吧？二哈
1683089995# #JATM。。J=联合，ATM。。明白了，联合提款机。从哪儿提？国会。doge
1691659614# #刚看了，何这段太熟了，就算中规中矩，但是捧哏太弱，声音小，反应慢，垫得也不瓷实，俩人基本没合到一块去。
1675211095# #隔壁小日本，不过他们的F15J与F15C略有不同，它是右舵doge
1663591216# #斯内普教授对波特妈妈的爱。。
1679123605# #这什么玩法。。哆啦A梦吃惊
1678200921# #一大波（数量词）拳尸，正向你袭来。。颤抖吧，小鹅！二哈
1688974030# #亚信老师夺可耐呢。。doge
1694137675# #怎么像白百合？白百合与周冬雨的合体。。
1669742937# #他可能用了一个礼拜的时间谋划离职，而领导可能只需要30接受“人心已不再”的现实。
1667275442# #分享视频当然好，安全生产要记牢，操作不稳分心意，虽无伤残腋盛陶doge
1624633827# #视频你看了吗？
1659024510# #所以你们知道该租什么车去泡妞了吧。。
1678622745# #那这节目看点在哪儿呢？
1631086855# #确实骚啊。。
1688664236# #说话这么多零碎儿，听懂都费劲。。
1677851153# #这事最诡异，也是最好笑的地方，是居然发生在临沂允悲
1693711895# #她可以辩称“情趣内衣不是为他准备的，而是下一场。。”doge
1684468617# #西游记中，几个徒弟应该有“原神形象”、“战斗形象”、“日常形象”，和“成佛形象”
1670144584# #孙德龙：我那个金刚经念起来么完！
1660184769# #栏目组安排这么个“小鲜肉”对峙的“剧情”时，完全可以用不那么遭恨的对白。。
1695867029# #肚子为什么冒烟啊？
1644809751# #谁给你们的底气，驱赶吃盒饭的执勤民警？
1624790724# #我一直以来的观点，香港回归，并不能对台湾形成和平统一、一国两制的良好示范，相反，梧桐台湾，将对香港去殖民化（收心）起到很强的推动作用。
1668753816# #那个一维阻尼修正头真有意思，比普通炮弹引信大不了多少，却赋予炮弹精确打击能力，直接把普通炮弹变成了制导炮弹。。
1685329093# #说实话，我有点羡慕欧洲那种吨位巨大，武器却很稀松的所谓“护卫舰”，动辄5、6千，7、8千吨，上面作战武器一个主炮，十几个垂发，剩下都是各种自慰武器，德国的F126更是豪华游艇，过万的排水量，武器配备不及我们4000多吨的054A。。。。主打就是一个从容、优雅，有源阵面可以没有，spa池不可省略，远程
1626021836# #从南天门一直砍到蓬莱东路，就手起刀落，手起刀落，眼睛都不眨一下。。。。你眼睛不会干吗？
1688443648# #髮国，前几个世纪在非洲弄了一堆殖民地，今天还债了吧。。
1648309344# #骑墙头肯定容易两边挨骂啊。。
1690948194# #希望能如愿吧，晚上我再发发功。。困
1684680872# #什么时候加翼尖挂架啊。。
1680543122# #民营火箭首飞入轨成功，创造一项纪录。
1682160224# #嗐，原来萨克斯啊，我当救火用的铜喇叭呢。。二哈
1631084212# #摆势群演
1659416479# #前两天又看了一遍《叶问3》，才发现那个坏警察长官是博主演的。。
1651054729# #这穿越机要怼那个跑步者腰眼上。。二哈
1638630961# #她一蹲下，小盆友瞬间从长脸变圆脸了。。二哈
1680829807# #搁你的意思有人单身，我就不能睡自己老婆了？我在我的车道上加不加速关你屁事？
1637157368# #这要换在某些西方国家的所谓皇家礼兵，估计一肘子撞出多老远去，人民军队就是不一样。。
1636523798# #放续集的电影解说博主都很良心
1669691935# #早
1693616138# #“世界上最庞大的水面反潜力量(远远强于美国)”这话倒没什么错误，可是美帝已经基本不用水面舰艇反潜了啊，庞大的反潜机群和遍布西太平洋的声呐阵列，特别是还有日本这个反潜大队。。
1694095124# #新加坡sar
1650022413# #但是你就说你震撼不震撼吧。。
1668523840# #泰森拳风凶狠，但也是极为干净的，不屑于使用某些小伎俩、擦边球。。
1681738997# #1952年阿帕奇服役？？？F35还打过中途岛吧？
1657537956# #换新版还换号？哆啦A梦吃惊
1693362401# #奥运会那叫“飞饼”啊？那叫咖喱饭。
1658469687# #林志颖父子车祸先祝愿林先生和家人能平安吧🙏。其次这个通稿写的什么玩意儿？。“2名林姓伤者”，“林志颖跟他儿子和爸爸”这是几个人？或者其中谁不姓林？思考。。另外特斯拉这个车车真的是不太靠谱，以林先生赛车手的能力应该不至于出什么低级错误，所以猜测车的问题可能性大一点，
1633445605# #21岁就退圈了，太早了。。
1652072129# #北京警方可是累着了
1649003686# #党的领导、群众路线，到哪儿到什么时候都好用。
1655006866# #全球都保守主义盛行。。
1683450277# #秋月。。哆啦A梦吃惊
1669304686# #健康码。。二哈
1697550980# #俄乌是隔岸拱火，巴以是后院起火。
1629680029# #扒机思坦
1649335513# #连邮件包装、纸张都可以传播，四处乱跑的猫狗大概率也是可以传播的，然而对猫狗的管理比管理人类要难，人可以讲道理，可以限制行动范围，可以用行程、社交数据去溯源，猫狗不行。。所以宠物传播风险的研究，和更加合理的管理措施确实应该跟上。
1631265618# #有明白人。
1697279586# #这。。这念稿算是一个活吧？东北银的小品基因，好诙谐。。doge
1681473268# #改装车圈专门有一帮人叫玩儿姿态的，他们改出的车不为街斗，不为04，不为刷圈，甚至不为跑夜店，只为静态展示，所以他们出的作品一般叫做“盆景”。。骑摩托的如果也往这个方向发展我也是可以支持的doge
1650601236# #good
1675653564# #坚定不移地站某头萝莉！。我想说：美丽、爱美、爱展示并不是她的错，所谓的“三观不正”又侵犯了你什么？诬蔑她漏点擦边的人。。。敢不敢把证据甩我脸上？doge
1692364080# #腚无四两肉。。doge
1631410378# #外国人的警好报，女性的官司好打。。
1625904891# #嗯，ta们都好可怕，不像我，只会心疼gaygay~doge
1667834858# #把饼局捆起来！刚炸好的薯条往嘴里塞。。
1644472711# #尼介哪上海啊？尼介红桥区丁字沽迪士尼吧。。
1647140702# #我总担心棒球闷脸上。。
1661241217# #另外499人还在睡吗？（众人皆睡你独醒）doge
1628644581# #重新编辑一下吧，满篇的话题词。。除了真正的话题词二哈
1694079632# #抽！
1669374414# #嫂。。不对，晚上吃的饺子。
1654856405# #直接翻译成“美国佬”
1691408705# #牛肉看起来不错哦。。
1666682861# #这就是房地产坚挺时代的模式，开发商和银行不用承担任何风险，躺在那里张嘴就可以了。。
1661761578# #嗯，你可以一边批判一边看。。（呸！什么玩意儿。。色）
1686978570# #好女孩好女孩，天底下哪有坏女孩？除了好女孩就是仙女。。
1634703630# #右边两位一定是前文联主席和书记。。
1694854613# #这是后期滤镜没做好吧。。
1626362989# #快赶上C-17了，可以的。。
1633108618# #因为有学校帮他们把了第一道文化关，他们省了不少考核评价的事。。
1693399186# #嗯，猫妖不是拳师，我个人倾向于相信她。仨问题：1、是不是确实发生了这件事而不是纯编的小作文？（发生了）2、因为没有直接证据她有没有可能误会了那位男性？（不排除可能）3、她发文的动机是记录日常还是打拳带节奏？（前者）
1674205439# #带战斗部的穿越机
1634573007# #可以叫Ausjapia（澳加屁亚）doge
1685265820# #明确罪魁，就是狗主。
1674979850# #满江红片方为什么要起诉沈腾？思考
1647519078# #好呀！
1649241978# #现如今“物传人”后继发“人传人”对我国防疫工作尤其对动态清零政策形成新挑战，如何及时发现也是个新课题。。。以前我们发现传播链通常是“事件触发”，也就是说有人发病了→去检测→阳性（或确诊）→溯源，通过终点反向寻找源头和其他分支，这种做法效率不高，想要跑到传播链前头难点，但是也没办法，
1640651317# #烈害！
1628443986# #4+1=台、陆、港、蒙+俄罗斯
1644993715# #哈哈哈哈，大写的“惨”。。允悲
1636620145# #
1650668992# #蒋天养
1679228267# #那池子光感觉不错。。
1673666852# #教会教友、殡仪馆从业，要素过足了。。
1626789673# #对于强者来说，失败是宝贵的经验财富。
1655561387# #《治处法》第42条第2项、第5项、第6项，但你要提供证据，派出所不管就投诉派出所困
1651060647# #300斤的猪你抓后腿？恐怕失去平衡的是你吧二哈
1634701328# #英文小时候？思考
1667925550# #那郑屠在提辖胯下已吃两拳，呼一闪念：闻听说史家庄史太公之子人称九纹龙史进颇有几番勇战，待捱过此劫何不去史家庄教训一下那史进，杀一杀他的威风？二哈
1692106559# #小荷才露尖尖角，早有炸蛋立上头。。
1679930545# #就是又穷，又抠，又要面子，还又往西藏跑。。doge
1639007590# #把口罩摘了试试。。
1666370603# #这面相像棒子。。
1660270167# #穿得又少又严肃的最受不了。。开学季
1635219126# #粉丝投稿，某同学群聊天记录。。看头几条我看人家血压飙升。。。直到看到最后一条，。说的都是我的心里话。
1658333430# #唐山打人案你认为还有什么没查清楚？
1660786422# #好看
1628855918# #张国荣是真的强，完全是后天学的，林青霞和邓丽君还算有这个语言环境（家里）
1692928057# #学学罗辑，你得会威慑。
1694101522# #一定要把航母舰载预警机搞好、搞精，航母的强大战斗力和巨大威慑力，有一半来源于舰载预警机。
1685275342# #轰。。。轰鸟
1649782545# #那个全息镜没装反吧？
1693552059# #身材这么好还画。。画这么好还露。。
1694607544# #A1本儿啊。。
1685866912# #会不会有微量的无水肼？闻一闻神清气爽内种。。doge
1667647812# #辛圣·伯纳
1691381838# #警局陷落doge
1697373476# #骨科是什么意思。。思考
1686839307# #看评论，蛋和鸟不符，还有个问题，看这个鹦鹉的体型大小和残存那几根翎。。这特么根本就不是幼鸟吧？是被人拔光了毛吧？
1689474043# #艹。。允悲
1636385782# #竹笋型。。
1691247413# #这套好看馋嘴
1637637192# #听说你想买无人机。。doge
1689583208# #95％盐浓度是个什么概念？
1635504459# #所以瑞典能出“好歹油小公举”呢。。
1681815722# #翻译成英文：你丫先特么学会说人话、办人事儿。
1635007255# #最有趣的是月面舱外服，通过专用接口挂在车外面，宇航员从车内穿进去，月球漫步完了人再通过接口回到车内，舱外服始终在车外。
1682576700# #规则禁止不禁止，和有没有条件持械完全是两回事。
1670197531# #哈哈哈哈哈，拿着口罩在陈东旁边站半天，然后被一口回绝，当时我的想法就是这样允悲允悲允悲
1693016813# #许亚军真是少有的反派天才。。歪理在他嘴里都显得那么毋庸置疑。
1656144721# #有钢粉么？doge
1693307497# #这是几层？哆啦A梦吃惊
1658330804# #36-18=19？
1663076426# #亲孙子满面春风，野孙子哭得稀里哗啦的。。
1688977822# #汪伦你个汪八蛋。。
1632580997# #孟晚舟回到深圳。梦隔三秋祖国暖，。晚归更知他乡寒。。舟桥难渡情不断，。已见薄霜爬鬓边。。回程不把金樽满，。家中再将壮志添！。心
1647069788# #刨除吹牛逼、作秀的成份，马斯克研发的猛禽超高压大推力液氧甲烷发动机是挺香的。
1645967363# #高速上两种傻逼：1、压着最左侧车道长时间开慢车。2、超车不坚决，长时间和相邻车道并排。
1667374215# #E46吗？玩得不错。。
1661673805# #这鞋底有没有6斤重？doge
1662000518# #这俩女的一样是女装打扮，穿的也是“男凝服装”，完全可以穿7、8个口袋的户外/战术裤子。
1652169200# #戴的耳机吗？怎么卡的音乐节奏？
1698037798# #同样的事，爹做1000遍我就当没看见，但别人一遍没做完我已经高潮了，不得不喷。。。二哈
1685629380# #判他一个“试图拿玉米埋警车罪”
1637680925# #他妈的真•阴间新闻。。
1627567749# #也许真正的任务就是。。击落issdoge
1691730893# #谁先张嘴啊？张不开啊。。
1682939007# #看给这位大哥吓得。。doge
1692659265# #中央总台经典音乐广播频道，调频101.8MHz的整点报时曲
1642076660# #py圈看到对永恒族的评论：这个黑人活了几千年，冷眼旁观了黑人和华人被贩卖被奴役的过程，冷眼旁观了印第安人被残忍屠杀的历史，冷眼旁观了法西斯在全世界肆意侵略屠杀平民，然而到了法西斯被炸死的时候，他膝盖一软，噗通跪倒，痛哭流涕。。。
1636601489# #他说的应该是荣耀会变lowdoge
1688476892# #既然本地有这种谐音，为毛还要起这种名字？
1686050958# #全世界恐怕也就中国的人民警察能这么窝囊。。谁让他们是人民警察呢？
1693921062# #她家的。。doge
1640648262# #自己数学差还特愿意教别人。。
1651250854# #造谣的方方活的好好的，说真话的斯诺登跑路了，阿桑奇被抓了，这都还是活的。。
1686550971# #所以拍照焦点都在背景布上，主体是糊的。。doge
1661504176# #“京A”牌摩托就除了长安街哪儿都能跑。。
1625221476# #那道没有，只是上感症状，就厌水。
1628206950# #明明。。大保健
1676190532# #→→
1651982149# #卧草。。
1645103309# #这是谷爱凌？？？
1697167172# #水虿
1659061047# #铣削的机匣。。good
1676695745# #ai美女：笑不露手
1630285741# #看开点，早晚的事，这样的孩子，就算不在国内造干净，一放出去也会瞬间挥霍一空，更别提在国外还可能染上赌博、吸毒的恶习。
1655737710# #问题是。。。公开不公开审理，现在还远谈不到啊。。这刚过去几天？正式伤检怕都没出来呢。
1671678506# #羊。。太大了允悲
1665051715# #冲宝doge
1670216589# #现在的求职者啊。。哎困
1673605085# #基本相当于鬼子10式，替换96各型。。
1639873625# #生物治理流浪狗，有点意思。。doge
1625224298# #这一下摔的不轻，可能会有骨折。。所以今后。。。要跳楼，麻烦还是穿利索些吧，。嘎嘛还穿利索些，以后珍惜生命，。尽量别跳楼吧，活着不好吗？。（出处不详，网友投稿）
1645054591# #打滚
1646837209# #如果今天让你选，你还会想要加入北约吗？你还会相信美国吗？你还会相信欧盟吗？你还会去惹东边那头熊吗？
1686390650# #休想蒙着我的眼往我嘴里送任何东西哼
1644119652# #豪贾活啊。。麒派的杨四郎二哈
1644805762# #哪个傻逼把视频发朋友圈或者群的？
1669725640# #不祷白不祷
1690423239# #别光傻站着，帮我拿好这条鱼。。doge
1633047038# #这已经老了，炒牛肉得宽油大火，伸腰就起。
1677468672# #就像透支不需要还款一样。。
1633940741# #巨型贵宾么？
1633139333# #白大圆doge
1690091549# #123，223，跟随着师傅上茅山。。
1691809189# #贵豚还是蛮危险的。。
1687692470# #“上头电子烟”是毒品！🏴‍☠️
1634346478# #为什么亚平的女儿只想要一颗星星王亚平出现总是给人眼前一亮的感觉，不得不感叹，我们国家航天工程真的会选人！。今天早上在群里跟朋友聊，就说无论是相貌、气质、学识、才干，还是勇气，从各方面看王亚平都是近乎完美的一个人，十分典型，而且实至名归的一个中国美女，朋友总结更是精辟：一个“六边
1671507080# #都这么大了。。感觉秀秀没多久之前才怀孕生子
1680178003# #借钱咋嫩横呢？
1649147584# #一打一死确实不罕见，还有20人砍一个结果连重伤都没达到的。
1644889194# #视频作者显然智商也不怎么高。。
1695785562# #出来之前要先喊一嗓子：借光借光，给它们南朝鲜上了海军咧。。。航空母舰？冲锋舟咕嘟豆腐。。走！
1635053889# #史莱姆。。
1675360501# #舆论是谁带起来的？如果不是胡的父母不依不饶谁知道胡鑫宇是谁？
1697969348# #这特么是男子啊。。
1649495669# #绿灯路权是他的，他不走非要让这个横穿的行人，岂不知这时候行人如果过马路十分危险，因为他的车挡住了行人和右侧直行车的观察视线，非常容易发生鬼探头事故。
1683881974# #官八股不知怎么唱好了。。这个检查，是谁检查谁？如果是单位系统自查，那能查出隐患风险来才算怪，定立攻守同盟都来不及呢。。
1624637124# #我一个都不会有什么忍住忍不住的？
1645003274# #没有赵子龙
1665659758# #年纪第一，还是年级第一？
1659111587# #这个物种就得这么擒
1625673403# #航天员太不容易了，以前知道肌肉会萎缩，骨质会流失，没想到会这么严重，25周相当于驻留半年左右。人类在失重环境的空间站，单次驻留最长的纪录，应该是俄罗斯宇航员波利亚科夫，他在和平号空间站上连续工作了437天。
1662569224# #到时候就不止有“保供企业”了，还得有“保床医院”。。但具体保得了保不了，会开出什么样的价码，参考保供企业doge
1663948020# #换换武器挺好，37炮可以留着。。
1660295051# #“暴政”又赢了一次。。
1692504642# #法律应该提升纹身业的从业门槛，商业纹身对象不应低于21周岁，登记身份证。
1668394958# #警察真的在干涉她的衣着吗？反正我是听不清楚。。
1660444699# #邻家？我不配呀。。允悲
1676822804# #我猜在。。。东京？
1655648858# #仿拍的好几个了啊。。
1658312720# #有视频证据还敢抵赖？doge
1654387543# #大家早晨好啊，话唠回来了，想我了没有太开心
1685252985# #你乐意当奴隶啊？
1666306875# #不看评论不懂，看了评论还是不懂，但大受震撼。。
1632197447# #哪个Ben？阿弗莱克？
1671870859# #看定价了，15以里才会好卖。
1672880661# #这是新片《奥本海默》的拍摄现场吧？据说这次诺兰完全用实拍展现原子弹爆炸，而非（纯）CG。。
1670201779# #对，是推进舱
1659860518# #新加坡。。它敢要吗？
1695282773# #是不是你家隔壁有人装修，你听到了有节奏的“80！80！80。。”然后突然间墙上就破了个洞，于是你就钻过去了嘴里温柔地喊着“嘎嘛呐？嘎嘛呐？嘎嘛呐？！！”doge
1642574818# #C位，也不眯眯眼了。。
1628345370# #真像我家巴特小时候
1678016643# #轮胎接地面积，和自重。。
1651419356# #某天大j院到微博平台，是不是也可以公开布道了？doge
1671065245# #早
1660751523# #色？色特么更是身外之物，钱都舍得，色算个屁，准备好避孕套，保命要紧
1695179796# #屁股上还带着麻醉针。。
1652011361# #担心他把台钳子切一小块熔里头。。
1681027884# #国际知名度最高的中国乐队？压根儿就没听说过。。
1664625752# #土鸡骑番鸭
1632846452# #前天才吃的羊蝎子。。
1627014233# #涨奶了？傻眼
1669778861# #这条不夹，恐怕不足以平夹愤doge
1642474055# #台伪海巡署的恶行是不是想点辙啊？咱们的海上执法、护渔力量在保证钓鱼岛前沿存在的同时，是不是能稍微“管一管”这帮杂种？
1634747980# #博主那个倒霉鬼，不知触发了什么“发图50%被夹”的设定。。
1626608303# #我觉得她说的有道理，你们这些凡夫俗子，睡你们是给你们脸，是播撒雨露，要啥自行车啊？doge
1642497494# #1号，1号母亲为2号，1号同事为3号，朝阳还有一个，算4号吧。。
1667648257# #我希望3年后的今天，你站在同样的位置，你离轰20也只有几米，那将是你人生中最开心的第三天。
1640094152# #奔溃。。
1690686009# #祝你的XX如粉丝数一样大涨！挤眼
1656030921# #开车啊，这车还行，前置后驱的doge
1696838049# #awsl
1676223085# #被涂掉的名字。。指环王？哆啦A梦吃惊
1633539163# #《霓虹灯下的哨兵》吧？“你吃吃国际饭店，还而已？”
1636255649# #立冬大雪，就简简单单。。困
1674978596# #你以为好莱坞电影中突然出现角色说中文，那中文就很地道吗？跟你说的感觉一模一样。。
1684293645# #连周立波都不会再有了？卧槽，还有这种好事。。哆啦A梦吃惊
1689693133# #新疆。。不太李姐
1671377401# #5.57毫米是什么鬼？
1689126237# #看看，这又一个大明白。。留几手的徒弟吧？doge
1689064249# #吃包子呢，就不吐包。。doge
1646302188# #8万缅币还涨了垮了的。。不到300块人民币，开始也木西是抹上去的泥，不是真的也木西。
1642637632# #10吋管，6×35口径，短管速燃doge
1665075035# #这个动作我还是。。无法理解
1643373557# #首先你得有个流氓钩。。
1676774901# #转发微博
1696333565# #拍的武打片还带PPT讲解的。。
1680171896# #边玩手机doge
1678116353# #这点我有点感触，你们看这个某宝上可以挂单反的某疆手持云台，功能十分强大，它才卖不到3000块人民币。。如果我们没有能力自己研发自己生产，只能买美国、日本、德国货，它敢卖3万美刀。
1695479972# #“浓墨重笔的一彩”doge
1656455954# #这真不是和稀泥，是疑罪从无。
1683375104# #大小伙子，初几了？
1647334015# #还记得这句名言吗？。现在还有人持这种认知吗？。人的认识水平都是逐渐提高的，。经的多了见的广了认识水平就上去了，。但是也更容易犯经验主义、过度自信的错误。。如果你身边现在还有这种认识的人，。那么赶紧把ta拉黑。拜拜
