1612246621# #其实我想分享一款太赫兹理疗仪，但不擅长直播笑cry
1607424688# #英国人拿老人做试验。
1612846654# #小时候也喜欢仰望星空。
1614055073# #清宫更能斗春节追剧王
1585485531# #被砍眼科医生伤后首度面对公众。世界上只有一种真正的英雄主义，。那就是看清这个世界的真相后，依然爱他心。。相由心生！。陶勇先生依然是医生里最帅的。。加油！
1588805294# #都说这只可爱的小狗狗是全村唯一去过夜店的靓仔，又会跳舞，又会保护小主人。。快乐动物图鉴
1676602252# #生物战特征！。。从生物战的角度看：病毒源头在境外，投毒量增加，放开后必然造成人传人医疗资源紧张的严重局面。。。病毒在自然界存活时间很短，国门严格封控后，社会清零，出现了病毒神秘消失的现象。这与03年非典一样，都是生物战典型特征。
1589596149# #张文宏发微博了张医生辛苦了！网络环境错综复杂，希望您适当过滤某些故意博眼球揣着明白装糊涂的人，期待您给我们带来更多的科普！微博的正面作用越来越强大。
1629764640# #做人最掉价的四种行为。。生活中有很多人想要证明自己的价值，其实，你的价值，无需向别人证明，只需做好自己，坚守做人的原则，忠于自己的内心，你就很有价值。。。天不言自高，海不言自深，地不言自厚！。一个真正有价值的人，用不着言说。。。做人，最掉价的四种行为:  。。1、炫耀。。人都有虚荣心，都希望
1584496418# #勇士返程
1670504477# #元旦春节将使疫情形势达到高峰。听说我国养老金缺口达到了十万亿doge。。希望是我多心了。
1632378441# #单亲妈妈带女儿买游泳圈栓桥上。大爱无疆，孩子榜样。赞啊赞啊赞啊。行善积德，功德无量！。。一定要有称手工具才能水中救人。
1612438847# #马云这996把自己的福报都整没了。
1608546240# #基本骗的都是自家人，也没骗外人。
1607232591# #如果两年前卖房是正确的。现在不赚钱还不好卖。
1639307269# #承担风险，无可指责，但同时记住千万不能孤注一掷。——索罗斯学习打卡
1650266665# #新冠疫情加速美式民主崩塌！。。由于政府丑闻、经济混乱、不平等加剧和社交媒体广泛散播虚假信息，世界人民对美国制度信任度多年来一直在下降(洋舔苟例外)。越来越多的证据表明，新冠肺炎大流行正令这一现象变得更糟。。。米国右翼致力于把新冠肺炎的风险说得尽可能轻微，以至于把这种疾病变成了一种优先‘
1586166011# #大中小学将设劳动必修课这个做得好！很多学生只会“读书”，一点动手能力都没有，走上社会还得“从头学”，确实应该在学校里就培养必要的“劳动能力”。还要学会爬树
1600999933# #境外回国这一块应该隔离一个月以上。
1587776437# #川总说病毒会在四月的某一天神奇的消失这都25号了到底是哪一天好急哦可怜.对了，他没说是哪年的四月。
1578127621# #这劳动量比解放前上海黄埔江的码头工人劳动量还大，这帮臭不要脸的。没救了哈哈
1669781362# #为何中国古代有四大美女！。。爱美之心，人皆有之，。但大家都喜欢原生美，纯朴美，。讨厌那种妖艳美，甚至美颜美，微整美。。。古代女人没这么多化妆品，更不会动用手术刀美颜，所以看起来是那么的淳朴自然。。。现代人大山里也有这种纯朴自然美女，。好山好水好风光，还有她们好善良，。相由心生，自然就产生了
1656432562# #全红婵说下次要拿金牌妹妹加油！2022年布达佩斯游泳世锦赛结束女子10米台决赛争夺。16岁的陈芋汐凭借超稳定发挥以总分417.25分成功卫冕，15岁的奥运冠军全红婵最终是以416.95分获得亚军。赛后，全红婵表示和队友一起上领奖台很自豪，下次要拿金牌。
1656345616# #世锦赛跳水首个0分奥地利这倒霉孩子。不过真的好久没有见过0分了，希望不会打击他对跳水的心。希望他下一次崛起。
1614404526# #狗血剧来源于生活。春节追剧王
1638657855# #曾国藩曾经说：。。越是富家儿孙，越是官宦子弟，越要自律！。在物质生活上主动跟贫寒之士一样，。这样的孩子将来才有可能成大器。。创业日记内行才知道
1637056550# #珠峰著名遇难者：。绿靴子、睡美人、休息者，为何20年无人安葬。。位于中、尼交界喜马拉雅山上的珠穆朗玛峰是“世界第一高峰”，名字有“大地之母”之意，最新的测量高度为8848.86米。。。珠峰不是天堂，却透露着一股超凡脱俗的大气，虽然这里鸟飞绝、人踪灭，但让不少人为之着迷，穷尽一生也要在珠峰上留下
1659140443# #连猫咪的生活都过得比我好。有些人喜欢宠物到什么程度呢？。这么说吧，。她们努力工作是为了让猫猫狗狗过上更好生活
1609584127# #也许这种价值观也值得商量。
1578352811# #伊朗这点比民国强，就是没有汉奸。过去，五纵曾纵横民国高层。
1586852223# #文科和理科抄作业的区别。最佩服理科生，这玩意儿看不懂就算了，。动手能力还那么强doge。。。文科生抄完还得往差了改改，。太不真实了容易露馅儿。
1593740495# #山东最近靠实力占据了热搜榜！。。但山东人急啥？？出了这种事，查不就完了？查不清楚那才急呢。山东人当然希望早日发现问题，早日解决。而不象有的省，拼命捂着问题，施行鸵鸟政策。。。山东校长11岁儿子冒名顶替他人入公职这种现象，其他省多的是，吃空饷，小意思了！
1604136986# #🙏🙏希腊平安，爱琴海平安
1632367393# #彤云、晚霞，。宁静、致远，。淡泊、明志。。风景摄影
1634775816# #我国尝试在月球制氧未来将用于建立月球基地。。如果有一天人类真的能够在月球上生活，那么有一项科技将会起到决定性的作用，那就是利用月壤制备氧气。。。从土壤里搞出氧气来，这个想法听起来有点夸张，但很可能就要变成现实了。最近，我国科学家取得了这项举世瞩目的成就，为我国建立月球基地，打下了坚实
1583244229# #这个可不是滥竽充数。
1599034507# #不止日本实施过残酷的细菌战，。抗美援朝时美国也用日本的细菌战对付我们。。。如果为后代考虑，必须要把日本岛武力解决掉。历史上每百年中日必有一战！你想和平没戏。武力解决不了所有问题，但是能解决大部分纠纷不断，复杂困扰的问题，并且直接高效
1608546361# #新冠就闹腾的人们身心俱疲，再来一个各种诈骗，股市收割doge。祥子们的希望彻底破灭了二哈嘻嘻
1585994114# #春天很好只是很想你。春天依旧在，几度夕阳红。。山河应无恙，人间已无我。。。人民不会忘记，英雄永垂不朽！！
1607781317# #没错。而且上帝之手，新冠已向美帝出手。且看他能嘚瑟到几时。
1653447564# #陕甘宁反特第一案（连载三）。。军统“汉训班”的班主任名义上是戴笠，实际事务则由化名程益的副主任程慕颐负责，而程慕颐则将经常的事务交由政治指导室主任李国栋负责，李国栋就是沈之岳的化名。。。程慕颐和沈之岳都是王牌特务，尤其是沈之岳曾经在延安潜伏过，对中共非常了解，所以这个班的教学针对性特
1578444413# #大地舞！张飞长坂桥疑阵。。做自己的英雄
1583242242# #肖战情商管理。猜猜这是谁嘻嘻
1587626113# #你曾妄想改变一个人吗想改变一个人的想法本身就是妄想。江山易改，本性难移，做最好的自己。不要想去改变一个人，你不就喜欢他的个性吗，他什么样你都喜欢。等到哪天不喜欢了分手即可。阴阳相合必须得是彼此的那道菜才行。都是庆丰包子还怎么吃呀？
1608966674# #飞鸟相与还。
1607661194# #社会化大生产比封建社会强了一点点。
1601429133# #烂巴西稀巴烂
1644549181# #许家印恒大新年动员会全文:。。  藉此新春之际，祝大家虎年大吉、虎虎生威、万事如意。2021年是恒大集团极不平凡的一年，2022年是我们走出困境迈向未来的关键之年，今年我们必须全面开工保交楼，坚定不移完成全年保交楼的目标。同时还要千方百计恢复销售恢复经营，全方位积极推进合作，努力化解各种风
1636729227# #红衣大炮显神威，一炮轰死努尔赤！。。广宁一战，明军被打得丢盔弃甲只能退守关内等待机会。此时只有袁崇焕一人一马昂然出关，一路记下山川河流的分步走向，并将所有地势的防御要点一一铭记于心。。。回到京城以后，袁崇焕对默不吭声的满朝文武豪言道：“给我足够的人手和粮饷，我一个人就能带兵将后金拒于
1589424706# #当你遇到连线题时不想要分就这么玩呗，态度端正的学生没人会这样答吧，投机取巧当个笑话就算了。
1579073855# #那你师姐夫师妹夫该同哭同悲同恨自己了笑cry
1589551970# #这场疫情让很多民众的生活收入受到影响。大多数中小企业工作人员资金吃紧。很多人都在积极努力寻找兼职和第二职业。其实兼职没大家想的那么难找，你只要稍微努努力，脸皮再厚一点，就可以战胜自己，战胜生活。等大家都知道努力和厚脸的时候，你已经是他们领导了。居民收入
1604223523# #小鬼子日本史
1649219797# #上海儿童感染者监护人可申请陪护。浪奔浪流，。万里滔滔江水永不休！。淘尽了世间事，混作滔滔一片潮流。。。是喜，是愁，。浪里分不清欢笑悲忧，。成功失败，浪里看不出有未有！。。爱你恨你，问君知否，。似大江一发不收，。转千弯转千滩，。亦未平复此中争斗。。。又有喜又有愁，。就算分不清欢笑悲忧，。仍愿翻百
1598936735# #每年9月，玖月奇迹就会上热搜。。。这种视频不能少了何炅和马云笑cry！。但是双排键确实可以弹出这么多声音！。玖月奇迹连续上了两三年春晚，。就是直接表演双排键的，。王小苇是国内第一个双排键硕士！。喜欢玖月奇迹，尤其喜欢铁血丹心！。。同时也希望五月天能在明年五一上热搜。。玖月奇迹
1638969126# #为学莫重于尊师。——谭嗣同读书笔记
1608993681# #飞流直下六千尺doge
1609246134# #最和谐的组织形式
1601703090# #据说有骗去搞赌博的。
1592928159# #握手
1593661877# #幸亏老干妈也是个大型民营企业，。若是个小企业就被腾讯这胡一刀给搞死了。。。人家字节逃动意思不是公检法手段是错的，但是你企鹅作为一个号称有超强法务的大企业至少应该先调查一下才把公检法手段用在另一家企业身上吧？别人可能是完全无辜的，而且会因为你这个公检法手段遭受巨大的损失。另外这种饭桶
1590709640# #密苏里州欧扎克湖（LakeoftheOzarks）泳池派对后，人们感到“深深的不安”。。。目前，密苏里州有1.2万例新冠确诊患者。。。卫生专家批评，这些人的自私行为，会让卫生官两个月的努力付诸东流。美国经济
1589756998# #这次病毒疫情，对世界经济产生巨大冲击，未来这5大行业将被颠覆。。。“非接触型经济形态”颠覆“接触型经济形态”！什么叫“非接触型经济形态”呢？。。从本质上来说，非接触经济就是利用信息技术手段，通过互联网线上平台，让人与人、人与物之间不通过接触，就可以实现目的的经济活动或方式。国际经济
1636118519# #为什么流浪，灵魂无处安放！。。吾爱已逝，从此漂泊半生，。寄情于琴，天涯再无知音。。为你最爱的一首歌写下乐评
1603009864# #采茶归来马蹄香茶香时刻
1626939203# #河南挺住！暴雨自救指南！。。河南挺住，郑州挺住，你们一定要平平安安！。。整理了一份暴雨自助指南，无论你在哪个城市，希望你和家人孩子都平平安安的！。。遇到危险，如何寻求支援？。。河南暴雨救援电话列表，如果被困住或者身边有人需要紧急求助，请拨打图中救援电话。。。除此之外，可以在微博话题
1590534292# #香港在政治上有三大痼疾：。1、依靠大资本家治港；。2、非香港籍人士主导香港立法、司法和政府高层，外部势力容易干涉。。3、现立法议员非全民直选，无法代表香港大多数人意愿。亚洲经济
1608734663# #可以尝试。男人要负担七三开。当然看实际情况，如果你是唐僧找了张丽华，也可以女人多出点。
1634993330# #古代，女孩为何十三四岁就要嫁人？。。女子十三四岁还只是小姑娘，。古人为什么就会迫不及待娶为妻子？。。按女性正常发育来讲，十三四岁的小姑娘是不具备发育条件的，她们的生理还远远没有成熟，心理也更是没有成熟，不适合婚配。可是通过古籍记载我们可以发现，古代女子往往十三四岁就早已婚配，甚至还有
1584368469# #美股开盘熔断。落花流水春去也，。美利不坚！。。八十九岁巴菲特，。活见九矣！。。金发碧眼特朗普，。今夜无眠！。。历史见证伊万卡，。去以色列！
1618437936# #圣人求心不求佛
1648992654# #8省市已用上辉瑞新冠口服药。买办的生意就是做的好，超过晋商头脑。。。世卫组织推荐外国人用我们17元的中药，。我们却在推荐2300的西药，。并且还进了医保，。买办这么嚣张吗！。。被忽悠瘸了的中国人真是活该。。西毒若管用美国人用死五十万？。。中医黑们又该弹冠相庆了，。尽管美帝主子要完蛋，。但不妨碍中医
1636512286# #传奇歌后席琳迪翁瘫痪！盼早日再听我心永恒。。席琳·迪翁(CelineDion)的健康状况令人担忧。。CelineDion‘Heartbroken’DueToMuscleSpasms–Symptoms。日前，在Instagram上的一条消息中，席琳·迪翁(CelineDion)亲自宣布，由于健康问题，她原定于11月5日在拉斯维加斯新落成的名胜世界剧院举行
1607434555# #沧海月明珠有泪。
1657988344# #如何评价星汉灿烂豆瓣开分7.4。腾讯单日播放量2亿，弹幕量突破5000万，点赞80万，讨论留言30万，抖🎵剧集话题播放量破34亿，抖🎵剧集关注破74万！赵露思微博一周涨粉60万、超话日签到数破7万1千、抖🎵个人话题播放量突破402.7亿打call祝主演们未来部部星汉灿烂。
1608031052# #知己知彼，百战不殆
1608212151# #英美法同盟国，一个都不能少。
1608603081# #传说中的傻白甜
1616229416# #若长相不够俊美，。那就想办法让自己有才气。。若才气也不足，。那就让自己始终保持微笑！。文化
1590465592# #女孩玩高空项目坠落多处骨折危险游乐项目出安全问题的太多了，还不引起重视吗？安全带要过胯的才有用，这种背书包式的双手举起等于没背。还有底下不能放一个弹簧的安全网吗？
1584441851# #这个该死的外国人抺病毒的视频是真的吗？
1607660741# #家有母老虎嘻嘻/怕老婆是耻辱，站起来是尊严。
1608358981# #正因为前者是个人，不断的历史轮回改朝换代，主席才总结出原来决定历史的不是个人，是人民作揖
1582976581# #一介布衣书生硬生生的把跪了太久的中华民族拉站了起来并冲进世界民族之林之巅。他意气风发，指点江山，谈笑间，樯橹灰飞烟灭。他的一生是波澜壮阔的一生。他是劳苦大众的贴心人大救星；他是贪腐权贵恶霸地主的克星，我们永远记得他老人家的恩德。
1608185250# #其实养老机构将来还是大有可为的
1589671960# #美国疫情持续爆发，140多万人感染，8万多人死亡，感染人数还以2万多人每天的速度疯狂增长，“毒”冠全球。美国经济。。美国政府之前一直忽悠民众不要戴口罩，诋毁说口罩无法防病毒。失控的疫情，逐渐让美国人意识到口罩的用处，纷纷戴起了口罩。
1609422581# #起名字可得好好讲究。
1652482155# #袁心玥发博说再启程。果子，加油。果队羞嗒嗒你是最好的袁心玥哇！。期待你带领中国队巾帼英雄们再创佳绩。
1590454884# #很佩服美国人的淡定与潇洒，西部牛仔精神。
1599275016# #新冠病毒也正在加大打压美国的力度。看谁能坚持不倒吧。新冠加油！
1587013382# #川普说没有他，美国将死亡220万人！。真是低承诺，高满意度。。。特朗普终于害怕了，宣布将美国的社交隔离政策延长到四月底，而且预计直到6月美国的新冠肺炎疫情才迎来拐点，特朗普还说，如果不采取措施，美国将会死220万人，因为他的努力，美国将会控制死亡人数在10万人以内。。。言下之意，特朗普自吹自己
1656086690# #暴雨互助每年一度暴雨季，每年都要发洪水。希望经常发洪水的地方提前两个月做好安排。院里备一条小船吧以防不测，一条小船也就五六千块钱。否则还得把婴儿放在大脸盆里。感谢消防员，希望洪水尽早退，希望大家都平安。
1672672369# #专家称不至于三个月就经历一波疫情。不但很多老年人难以撑过第二波，好多年轻人都不见得能撑得过第二波第三波。医护本来就没恢复好，又辛苦这么长时间，后面再到高峰时倒下的更多，到时候更是病人多、医护少，产生ddang都不是没可能的事。
1596588453# #花木兰疫情期间营销太多了，导致热情不正点。虽然是美国人拿中国题材拍美国电影，披着中国的外衣，但看看也无妨。迪士尼不是rh吗。只是现在中美关系那么差刘亦菲本人也来不了中国吧。
1600741397# #谁知盘中餐，粒粒皆辛苦。。希望早日实现毛主席周总理规划的农业现代化。。农业兴百业兴，农业强则国家强。中国农民以朴素勤劳、善于创造的宝贵品质，托举起农业发展和农村改革的巨大成就。让我们以节日为契机，向伟大的中国农民致敬！。。去年这个时候我正在天津G县参加农民丰收节。中国农民丰收节
1608371966# #大中华正经起来做事还是非常棒。产品绝对靠谱。
1638938639# #贾南风巧妇有为，让太子顺利过了考试关！。。司马衷当太子时，晋武帝常怀疑太子不聪明难当大任，有朝臣也进言说“太子不慧”。于是晋武帝便召集东宫属员宴饮，并出了题目让司马衷作答。。。啥？要考试？太子妃贾南风得知消息后可是吓得不轻，她知道这傻太子肯定答不上来，所以急中生智：找人代答。
1657555966# #怎样预防霍乱。最主要是注意饮食卫生，不吃未煮熟的食物，不将生的食物和熟的食物放在一起，不喝卫生检测不达标的生水，定期消毒餐具。注意个人卫生，饭前便后勤洗手，对室内的苍蝇、蚊虫等传播媒介进行消杀，接触感染患者的东西后要及时对自身进行消毒。
1602047840# #最早知道加州，。是因为那首特别优美的《加州旅馆》。。。再次关注加州，。是因为这场持续了几个月之久的大火。。。感觉不是一个世界的人，。我家小山头着火我都急的不行，。是咱性子太急还是川总太淡定！。。有网友评论说，死都不怕，还怕个火？。美国网红不去那里玩儿直播就不错了。。加州仅54%的火情得到控制
1659575118# #如何看待00后入职宿管阿姨少走20年弯路允悲。。河南一“00后”网友在社交平台上发帖称自己应聘宿管阿姨面试成功。该网友介绍宿管工作内容是管理高中和大专的学生。月薪4000，包吃包住，国家法定节假日带薪休假，跟学生同步放假。招聘工作人员说，有好几个大专和本科毕业的小姑娘都来应聘了这个岗位。
1602491867# #七律·答友人。。毛泽东。。九嶷山上白云飞，。。帝子乘风下翠微。。。斑竹一枝千滴泪，。。红霞万朵百重衣。。。洞庭波涌连天雪，。。长岛人歌动地诗。。。我欲因之梦寥廓，。。芙蓉国里尽朝晖。。诗词
1639293928# #虽然尊严不是一种美德，却是许多美德之母。——柯林斯托姆学习日常
1587428368# #摘帽子就知道放了多久的假:女儿快过年剪的蘑菇头，想着等到上学的时候就不用扎头发了，然鹅头发都能扎起来了还没开学doge。。。你总说毕业遥遥无期，转眼就各奔东西。
1580465895# #终于把爸爸憋疯了。每天盯着窗外看日出日落！。想象着海鸥飞处彩云飞。。一句冷幽默
1584875299# #美国那5个在武漢军运会后专机接回的特殊士兵为何人间蒸发了！。。疟疾专家屠呦呦院士说，新冠很容易被误诊为疟疾。。。美国，你要交出5个在武汉军运会后专机接回的特殊士兵，让世卫组织验明真相！。。要查明病毒到底是不是源自美国，其实很简单，只需让世卫组织复检美国派专机从武汉接回的5位军人，是不是曾
1600053438# #很小的时候看过一部电影叫《刑场上的婚礼》。那是让我印象最深刻的婚礼现场。从此树立了对英雄的崇拜和对坏人的仇恨。
1668242441# #深圳大学回应。人性最大的恶，。就是在最小的权力范围内，。最大限度的为难别人。
1656230484# #高考成绩下来后，海南有人考了900分，小明说我要是高考900分把我爹打一顿他都能夸我文武双全清华北大已与高考900分男生联系
1683105002# #道商境界淄博人，延安精神放光明！。。一个城市最大的愚蠢是街道冷清，。人间烟火是一个城市最大的文明！。。淄博用实际行动阐释了政通人和，人间烟火！。。这个五一最热门的城市一定是淄博，人们为了去淄博一趟使出浑身解数，开车的，开飞机的，跑步的，骑摩托的，三轮车的，大家只有一个想法就是去淄博。淄
1609107143# #南美北美都不太平🙏🙏
1586055949# #华尔街下调苹果目标价你是洋奴的小呀小苹果，怎么摔你也摔不破。苹果一倒，美国必倒，洋奴们讣一刀。
1607009170# #君子动口不动手，先动手为兽运动好身材
1591491766# #美国四任前总统为弗洛伊德发声。就像老师能记住的只有差生和优生，为了让历史记住他，特朗普选择了当差生。就是这么任性。卡特总统是优生。
1672874203# #免疫力好就高烧？免疫力差就低烧吗？。。如何判断一个人的免疫力强弱？。免疫力是不是越强越好？。免疫力好的人一旦发烧就会是高烧，。有科学依据吗？。。有的人身边的家人和同事都阳了，唯独自己还阴着，能说明免疫力强吗？。。……。。北京交通广播《一路畅通》节目主持人顾峰、园园特别连线北京大学人民医院风
1607071564# #夏天夏天悄悄过去留下小秘密。动物也疯狂
1654012954# #乘风破浪二创大赛。桃挑好像被上天随机选中，她出现的每一秒都是欢乐氛围。和这个小姐姐交朋友一定很惬意。这么可爱的人却经受了那么多伤痛的折磨更可爱了。小姐姐们，尽情浪吧！。。长江后浪推前浪，把那英拍在沙滩上。
1581737227# #湖北一半以上确诊病例都用中医药治疗。欲灭中华先灭中医，欲覆中供先覆主席！。这是那帮人的一贯套路。同时知识分子也起了坏作用，学历越高的人越黑中医。主席的话没错，若心术不正认知极低，则知识越多越反动。我们祈祷不幸被疫情撞到的人们早日康复，但同时大家要意识到这也是一场大自然的淘汰赛，最
1591308607# #从零开始的美国黑人生活1969年距离现在也就51年时间，黑人已经买了车可是只敢给车里放帽子，别人问起他只敢说自己是司机。因为车是他的会被打死。2020你去美国问问黑人（不论他多有钱或者什么官职只要不是穿着正装）敢不敢一直盯着白人女人，敢不敢在商场把手放进口袋。包括乔丹科比这种。某一时期黑
1609148676# #可能是超出了底价。也可能是一个小伎俩。嘻嘻
1609304995# #和谐社会，心灵之美！喜上加喜！
1590534978# #看看在港外国人的自述！。。这是一个自称“香港人”的家伙，他在论坛发帖极力地证明和宣传，香港人不是中国人。他的配图文字已经说明，他图片上的这些人，都是英国国民。并且告诉大家英国国民举着英国旗是多么天经地义。。。由于这些人的国籍其实属于英国，那么笔者基本尊重他们的国籍和他们的选择，因此采
1604368501# #有心栽花花不开。
1688711500# #抑郁症多半会有这3句“口头禅”！。。现代生活节奏快，越来越多人长期处在高压下，烦闷情绪得不到释放很容易出现抑郁情况。如果不重视抑郁，症状就会不断加重。。。抑郁症患者常会说三句口头禅，。一定要想办法调整自己的心态。。。1。。“我真是一个没用的人”。。患有抑郁症的人会觉得自己没用，什么事情也做不
1659228402# #如何看待14岁男孩考上211和985。有个东东叫少年班，除了比较出名的，其实各地也有自己的少年班，只不过跳的没那么夸张，一般是不用中考，就变相跳了一级。
1608288618# #星爷在印度也是有影响力的嘻嘻，印度那神奇电影。/这是周星驰电影套路啊，被三哥学了允悲
1588061057# #支持方方的一般都是股民，他们几十年被坑苦了，后悔生在特色朝。抵制方方的都是远离股市过正常生活的人/汉奸顾名思义，是汉人中的奸徒。能当上汉奸，也有个演变过程。象方方，光写写那种日记是思想问题；允许国外出版，当作刺向中国的刀子，那就演变成汉奸！@张建中2061
1666232676# #俺国有两个体育项目大家根本不用看，。也不用担心。。。一个是乒乓球，一个是男足。。。前者是“谁也赢不了！”，。后者是“谁也赢不了！”。。一支是“谁也打不过”，。另一支是“谁也打不过”。
1608690996# #香港政府对港独暴徒太宽容了。不敢下猛药
1580797347# #正式开学前不要提前网上教学。这是最正确的一次！。。过去我们太急太浮噪，失了天道:。。唯利是图的金钱M论失却了治国之道；。撒泼无德的女拳主义失却了乾坤之道；。拔苗助长的应试教育失却了成长之道；。破坏生态的武汉馋猫失却了自然之道。……。。话虽重了点，但我们应该痛定思痛。。借此契机，全民族安静下来
1589256294# #天津天海解散记得球场上几万人同喊迪丽热巴，遗憾落幕。好像权健也赞助过这个足球队。地产商也赞助过。地产足球基本快完了，华夏幸福，广州富力，大连万达地产背景的都很悬。
1587099515# #美国新冠肺炎死亡病例超3万例起初，没有人在意这场灾难，这不过是一场山火，一次旱灾，一个物种的灭绝，一座城市的消失。直到这场灾难和每个人息息相关，直到美国新冠65万。🇺🇸：自由，民主，平等，人权，愚蠢、傲慢、谎言、甩锅，这次都体现出来了。
1608881299# #看来也是良莠不齐嘻嘻
1607658655# #笔落惊风雨，诗成泣鬼神。作揖
1677197430# #网传有银行每天交易限额5000元。不是有银行这么做，是大多银行有这样的不成文破规矩。整的老牛B了，和皇上一样。。想起那句老话，莫装逼，装逼被雷劈doge
1652682957# #2023年亚洲杯取消原因曝光！亚足联要求荒唐。。最近中国足坛最受关注的比赛可能就是2023年亚洲杯。原本这一比赛在中国境内举行。。。对中国队来说能够拥有主场优势，很多球迷期待中国国足能在主场取得好成绩。为了这一次比赛的举办，中国有十多个城市，像北京上海等纷纷出资改善他们的足球赛场。希望通过这
1616114920# #香椿炒鸡蛋，春来也
1655654423# #福建舰绕口令跟读挑战。史上最难绕口令，难倒许多福建人。。他日来比闽南语，客家客串侠客行。。渤海东海中南海，十艘航母来布局。。征途大海与星辰，看我中华多强盛。
1641019648# #衣不如新，人不如故。。老歌老朋友，新年新气向！全员任务
1591141084# #我们要有自知福德浅薄，无福消受的概念。。很多东西，别人给的起，但我们的福报不一定能用的起。所谓的厚德载物。德不配位，必有灾殃。。。明白了这个道理，。人生就会少很多痛苦和烦恼！
1607931077# #高科技企业有点不务正业了
1612845464# #PPT技术很重要。
1587689129# #我与成功人士看书的区别成功人士:看了很多世界名著之后写脆皮鸭我:看成功人士看了很多世界名著之后写的脆皮鸭。
1600045451# #这广告做的震天响，但一定要注意安全。
1596428831# #@中国刘杰
1610766301# #百福人生从心开始。。柔和的声音，令人心生欢喜；。正义的声音，使人荡气回肠；。慈悲的声音，让人终生难忘；。赞美的声音，给人如沐春风。。。一忍，可以挡百勇；。一静，可以制百动；。一勤，可以成百业；。一心，可以做百事；。一善，可以消百恶；。一念，可以超百劫；。一慈，可以进百福。。健康科普汇
1607008279# #网传北方某地房价又现白菜价爱上这座城
1586928801# #巴黎圣母院修复工程因疫情暂停。这是提前甩好锅了吗？。。不能停，请加快修复，。不然像方方这类公知圣母们都无家可归了！
1581408783# #全国疫情总体呈下降趋势。刚刚和一个移民欧洲的朋友视频聊天。。他说当前国内的情况，如果放在欧洲国家，早就崩溃了。国外是小政府，大社会，出了事，政府管不了那么多，全靠老百姓自己想办法应付。老百姓没办法了，只能去教堂祷告，求助上帝。像国内这样又是封城，又是全民居家隔离，在国外根本做不到
1634857318# #深夜突发！恒大不卖了：。终止200亿港元重磅交易！。。10月20日晚间，停牌多日的合生创展、恒大物业双双发布交易进展公告。。。此前市场传言合生创展将收购恒大物业一事在本次公告中落锤，但这笔交易目前处于未完成的状态，恒大方面与合生创展方面就该笔交易发布的公告也出现了不同表述。。。中国恒大于20日晚
1627379410# #从某种意义上说，。女排前期接广告太多，。整个团队不可避免地显得太浮躁。
1579951009# #钟南山院士呼吁📢：。。解决疫情最快，成本最低的方式就是全中国人民在家隔离两周，这样对全国经济影响最小，对生命健康最有利。。。强烈建议全中国人民都在家过春节，不要走亲访友。不是人情淡薄，是生命第一。待春暖花开之时，我们都可以走上街头，不用口罩，繁花与共！。。能让武汉封城、北京所有庙会取
1636469082# #被俞敏洪刷屏了！退租1500个教学点，。捐赠8万套桌椅...全网敬他是条汉子。。继本月初，俞敏洪在社交媒体上表示因业务调整为农村孩子捐献近八万套课桌椅后，11月7日晚间俞敏洪在直播时宣布新东方将成立一个大型农业平台，通过直播带货帮助农产品销售。。。别去嘲笑新东方的转型，中国的教育，需要有情怀的人
1599613455# #大韩民国、大日本都是重男轻女。
1609464405# #中国历史上最有担当、最霸气的九句话！。。1、为中华之崛起而读书。。。"为中华之崛起而读书"是周恩来总理在少年时代立下的宏伟志向，表现了为国家和民族而奋斗终生的责任感和使命感。文化。。人有大志，也有小志。。为中华之崛起而读书，是大志！。为做官，为挣钱，为吃饭而读书，是小志！。。而当今还有几人
1639094368# #你想成为幸福的人吗？但愿你首先学会吃得起苦。——屠格涅夫学习日常
1612916810# #华盛顿是中国人。。日语源于浙江宁台温一带。。天皇的祖先是商纣王。。。湖南大学教授杜钢建“英语起源于中国，只是汉语的一个分支”的考古发现震惊世界。。。杭州一位奇人目前已完成的研究成果有10余个，最夺人眼球的有3项：华盛顿是个中国人；日语源于浙江宁台温一带方言；日本天皇是商纣王的后代。。。这个
1586167018# #纽约向全体市民发放免费三餐不是应该分餐制隔绝么。不要聚集啊，，接触传播的话，风险更大。之前国内是小区门口设安检，外面送菜送物资的绝对不准进。
1639831022# #宋庚一，该说“奥斯维辛”！。。原创 武书剑 。。近两天，。上海震旦学院,。宋庚一事件，。引起关注。。。宋庚一，。是武汉大学新闻硕士，。上海震旦学院讲师。。在课堂上质疑，。南京大屠杀遇难人数的准确性。。其言论被学生拍摄，。并上传到互联网。。。目前，。校方已作出开除处分。。。对于宋庚一来说，。如果要讨论战
1638937711# #民国时期最尴尬的一场婚礼。。1926年徐志摩与陆小曼结婚，。证婚人是徐志摩的老师梁启超。。。徐志摩请梁启超是希望获得祝福，。但事实证明这是个馊主意。。。他没有想到，曾经的革新派随着年龄增长和时代发展会自然变成保守派。内行才知道。。婚礼上梁启超把两个人都骂了一顿，说徐志摩用情不专，说陆小曼不
1636522220# #我心依旧goodgood
1616388988# #养猪养牛不如养个退休老头文化
1589504470# #西方人看不懂这种金子般的国家情谊。西方人的关系都是纸做的。
1608473712# #难于上青天，提前放假吧！
