1700339648# #聪明的牛，跑得好！酷
1692603046# #夫妻参加朋友聚会，妻子一言不合就拿啤酒瓶作势要咂丈夫被阻止。随后拿起啤酒泼向丈夫，丈夫出手推搡一下妻子，妻子再次拿起啤酒瓶砸向丈夫…。摊手这娘们可不是个好人，不能要啊！怒
1687499896# #洪金宝这说的是啥啊？衰拜拜
1702056812# #在现代法治社会，竟然还有这样嚣张跋扈的人！摊手
1693204787# #一家三口搭乘电梯，不料途中开始坠落，男子第一时间护住妻儿，并按动每一层电梯，好在最后电梯门打开化险为夷。网友:他已经做好托举的准备！
1694789930# #广州地铁上，女生被男孩多次摸臀。向男孩父亲控诉却被反怼：“你的屁股太香了，我也想摸一下！”doge
1702214994# #朋友，你想在美女面前耍无影脚威风的话，建议换个地方。这样踹电梯门分分钟夹脚、断脚……！尴尬
1700299355# #开车也不老实。。。
1691764444# #一男生被两个同学欺负依然丝毫不怂，只有这样估计才不会被欺负doge
1686931280# #国内某地街头，三名黑人男子搀扶着一醉酒女子要搭出租车离开，可能怕女孩吃亏，多名男子拦住出租车不让女子跟三名黑人走。哪知道他们是自作多情，人家女孩自己愿意跟三个黑人走，最后女子如愿以偿和三个黑人搭车离开……！衰
1692447023# #女子结婚43天就闹离婚，结婚前就向丈夫借了33万多，现在离婚开始狮子大开口要价200万。丈夫质问“你值200万吗？”，女子答：“别人300万让我和他睡一个晚上我都不睡”。摊手
1689721225# #这个小女孩和四五个小男孩一起玩，逮到俩小男孩拳打脚踢，并说“你俩”就是我的玩具！摊手
1693550059# #巴西某商店，一黑哥持枪抢劫，被店员成功反击，打了一梭子子弹……！doge
1693319323# #说话这么温柔的小姑娘，男的怎么忍心…
1692515945# #女子因为让座问题在地铁上大呼小叫…
1691166005# #现在学校的军训直接变热舞表演了…
1699255710# #网友爆料，某地县城一主干道附近小区，多个门面出现衣着暴露女子，对附近多所学校学生产生不良影响。你怎么看这种现象呢？挖鼻
1701012983# #男子在景区看到NPC扮演的公公，笑的太大声被公公吐槽。网友:还是公公情商高！哈哈
1693902119# #小学生返校被保安强制翻包查扣零食，查扣的零食堆成了小山。学校：学校规定不准带！挖鼻这种规定合适吗？大家怎么看？摊手
1691569486# #老头公交车上将手伸向小女孩腿部猥亵，女子发现后大声呵斥…，给勇敢制止的女子点赞！
1687387308# #街头人体悬浮魔术表演，看了几遍也没有看出破绽，果然高手在民间！并不简单
1693154327# #教练被小仙女搞懵圈了…笑cry
1690900607# #即是史上最倒霉的业主，也是史上最幸运的业主！人家经营一个月的收入，他这一下子就靠赔偿赚回来了笑cry
1697565350# #接下来你会十分顺利，即便发生意外也会有人相助！🙏
1700822019# #这马站起来好长啊doge
1694085025# #实在是太直男…
1694682729# #两人忍耐能力都挺强的，都只当喷子不动手……
1690572722# #国外小伙做油锅起火实验失败，“成功”将自己的房子烧了允悲
1691761039# #江苏镇江的小黑孩思考
1689515161# #什么意思，警察同志倾情演出？doge
1693577103# #学生军训现场，女同学一个个雄赳赳气昂昂！doge
1691499021# #高速路上被要求检查，出车祸了谁负责…挖鼻
1692619167# #鬼火只能中午玩，因为早晚…！摊手
1693577794# #深圳台风台风来袭，深圳有关部门安置数千名农民工到体育馆躲避，现场工作人员还给每人免费发放席子和被子，非常的贴心和人性化。必须给大深圳点一个大大的赞赞
1690995850# #这个健身教练真牛，一眼就发现女子不对劲了…
1692628560# #一起看海鸥吧doge
1698507075# #可怜的孩子啊，有这样一个父亲倒了血霉了……怒
1692892716# #二十多岁女大学生放暑假期间，无微不至的照顾瘫痪在床的七十岁父亲。女儿：有时候很尴尬，但问心无愧！心赞
1696805481# #以色列正式向哈马斯宣战在哈马斯发动的袭击中，一群以色列女兵在军事基地小房间内哭泣，在哈马斯发动袭击时她们没能第一时间穿上军装或拿起武器，而是一窝蜂地逃出宿舍躲进掩体，身旁还有几个男兵在保护她们！汗
1689688379# #河南安阳街头，一外卖小哥因违反交通规则被交警拦阻，在处理过程中外卖小哥对交警拳打脚踢…！摊手
1694809448# #身材再好再美，也没有男人同意自己老婆穿这种婚纱出场吧摊手
1696260345# #小三不好当。。。挖鼻
1697026918# #陌生女子为溺水男子做心肺复苏和人工呼吸，她救的不仅仅是一个人，更是一个家庭！作揖
1694231216# #柳传志：我顶住压力，坚决没让联想发展技术。。网友：组装厂我一定要坚决办下去现在！摊手
1700229858# #湖北荆州一高校举行运动会，学生性感穿着引发网友争议…。大家怎么看？挖鼻
1698841682# #如果驾驶违章，千万不要暴力闯卡啊！警察叔叔是真不惯着你，是真开枪啊。酷
1695297315# #怕湿千万不要到桂林坐木筏…！笑cry
1703688407# #国外消防员展示被反绑的自救方式，关键时候可以救命…！
1702990417# #北京地铁4号线一男子和一对情侣因为拥挤吵了起来，随后男子将情侣推出车厢…！摊手
1700729304# #游泳馆老板娘穿旗袍直播，结果脚下踩空跌入泳池……！允悲
1699200194# #小伙子第一次救人，没什么经验，但能够挺身而出，见义勇为还是值得点赞。但也有网友质疑救人男子人工呼吸是借机揩油，占女子便宜。对此，大家怎么看？
1694527027# #高校军训现场，大学女生跳起性感舞蹈…费解
1688804314# #小车会逃停车费直接冲卡…，没想到下一秒直接撞上景观喷水池遭到重创。摊手活该，偷鸡不成反蚀把米！酷
1692887434# #妈妈的大宝贝真可爱！挤眼
1695040445# #大太阳的军训是真的热啊…二哈
1689799098# #一秒都等不了的样子啊…！doge
1692111591# #在高速公路发生车祸应该第一时间立警示三角牌，人员马上撤到隔离带报警求助，这样座在车道多危险啊…
1700929283# #此时此刻小女孩瑟瑟发抖啊！允悲
1688131435# #你的外卖总迟到的原因…！doge
1699831207# #纽约曼哈顿街头，一华裔女鱼贩街头摆摊，被美国警员当场抓住戴上手铐，鱼也全部被没收…！挖鼻
1697833951# #学生骑单车疑是逆行，被保安殴打…。于是愤怒质问学校保卫处：“凭什么不能打人”！挖鼻
1698680141# #今天的柏林再次燃起了屠杀犹太人的火焰！而这次和上次不同的是：参与者不仅有德国人，还有在德穆斯林！挖鼻
1694185628# #女子在商场偷化妆品被售货员抓主后欲挣脱逃跑，现场大妈叫喊：“小偷也是人”…。网友：大妈和小偷是一伙的吧？摊手
1691850178# #他为何如此优秀…doge
1687377240# #女子把姘头领回自己家里偷情，女子老公发现后直接报警！doge
1692087683# #遇到这种熊孩子家长又不管的情况该怎么办？摊手
1690926391# #剪不断，理还乱…
1693377793# #正骨手艺人doge
1702042518# #据说跨火盆是寓意红红火火，就是容易走光！doge
1700923198# #还是那句话，心脏看什么都脏。说这是故意揩油？真的服了！费解
1701765979# #在纽约讨生活真是太难了，一位和尚的为了生存在曼哈顿卖手串，还遇到不愿付钱的顾客！汗
1703417827# #印度一女子与男友分别，独自坐上火车远行，男友因不舍，在火车开动的最后一刻爬上女友所在车厢外……，女子被感动到蒙面哭泣！doge
1692902261# #你的媳妇别人抱，你拿手机拍照笑…！笑cry
1690221679# #齐齐哈尔坍塌事故原因初步查明这是体育馆坍塌之前队员训练视频，一个个青春活泼的孩子，顷刻间凋零…，我一个三十多岁的爷们看到这个视频都流泪，何况她们的父母！不该对齐齐哈尔事故保持沉默
1698917676# #婚礼现场有点玩过头了！汗
1689609527# #命不该绝！晚几秒钟也撑不住了，不想死都会掉下去…！汗
1699987135# #怎么瞬间就都被吓跑了…！允悲
1701703940# #奥迪A8L不论是空间，还是操控都非常优秀，是野外出行必备佳品！doge
1690273776# #齐齐哈尔罹难球员曾说以后当世界冠军齐齐哈尔34中体育馆没坍塌之前，施工单位在楼顶堆放珍珠岩…，一定要严惩这些个蠢货。
1700668642# #一蓝色衣服女孩忽悠两小女孩在楼顶做危险动作，幸好一男子发现及时制止并录像。在询问两小女孩时蓝色衣服女孩开始慌张，企图抢夺男子手机，这狰狞表情是有多心虚！挖鼻
1689951690# #大学生操场表白现场，女学生被亲的站都站不稳了。网友：这幸好在学校要不还不摩擦起火了笑cry
1698162012# #男子长期在外地打工，刚回来和妻子逛商场。突然看到老婆的电话响了，发现妻子表情很慌张。于是提出想看下她手机，不料妻子宁愿摔坏手机也给丈夫看…。摊手
1696931374# #这么多猪不要了，什么情况啊？挖鼻
1687155718# #美国一对黑人情侣加油站吵架，女子突然发飙狂砸正在加油的白色小车…，下一秒白色车主下车就给女子一梭子让她见了上帝！衰
1693312907# #女生玩水不小心踩空落水，旁边闺蜜迅速反应一把将其拉上浅滩。网友：临危不乱，必成大器！
1695826924# #广西扶绥县，男子因感情纠纷捅刺前妻及其同事…。被捅男子大喊“为什么”？捅人男子反问“你说为什么，你为什么要害得我妻离子散”！摊手
1701591574# #缅北网诈分子黑吃黑被抓，据说视频中俩人已被活埋...！衰
1698943911# #即使负重前行也要充满希望！悲伤深夜十一点半的街头，一对母子在街上捡瓶子，男孩身上背着大大的袋子向前奔跑着。加油
1689866809# #伴娘有点喧宾夺主了吧哈哈
1687459924# #寓意：只要你足够圆滑，环境再恶劣也可以逢凶化吉！酷
1694285606# #洋妹子泰国闹事练瑜伽…，街边男商贩一个个淡定自若！doge
1693061143# #看一下哦，螃蟹真的好大好饱满！doge
1694194266# #网友：早晨地铁里遇到的变态色狼，好奇的是前边女孩竟然一动不动…！挖鼻
1703585063# #厦门某公交车上发生的一幕……，如果你是红衣服女子，你会怎么做？摊手
1689180143# #这就是侵略者的下场！也是美国军人家属最不想见到的……！摊手
1692346023# #白裙大妈嚣张到极点，在派出所当着警察的面让人家给她嗑三个头…，这一巴掌挨的一点也不冤！doge
1691766597# #大师的推拿手法非同凡响doge
1694979238# #公司团建活动，女子被众同事上手摸扶…挖鼻
1695722089# #见到乐山大佛的你请不要无视，许愿超灵！！🙏🙏
1696438930# #健身房里的那些事…
1689253623# #这一棒子下去，人是出气了，但是一栋楼也没了！汗
1697266812# #乌克兰“文工团”慰问前线士兵，看看这群士兵的表情…，就知道乌克兰的前途命运了，战争已成定局！汗
1691684450# #一月288个钟！可以说是行业劳模啊……doge
1694349718# #学校冒雨开军训动员会，校领导讲话被学生怒吼：你下来！
1701694904# #黑衣小伙跳河轻生，好心男子下水救他反被其拖下水…。获救后一大叔给了他两巴掌！摊手
1690812193# #几个家庭农家乐玩泼水游戏…，整个过程实在无语！允悲
1698006612# #现在的宠物狗是真的太凶残了，可怜的猫咪！衰
1695464608# #石家庄动车车间，女子认为大妈聊天影响自己休息，于是女生拿手机拍照并扬言发到网上，此举激怒大妈，随后双方大打出手…。摊手
1691687067# #某商场内，两女子误会男子偷东西对其拉扯殴打，男子被惹怒奋起反击……摊手
1693031336# #这小孩谁教的他把人撞了，说声对不起就完事儿了？还在那振振有词，很有理的样子。费解。旁边的大妈也好烦，一直要老头算了，最讨厌这种自以为是的老好人，纯粹是事情没发生在自己身上站着说话不腰疼！摊手
1693144470# #人家问了要陪多少钱吗……，你让人家自己说，人家说少了你又开始阴阳怪气，直接说个价格很难吗？又不是所有人都懂行！摊手
1692774502# #饿了么小哥有护甲，这场拳赛不公平啊！允悲
1688466427# #外地游客上海打车，路程17公里，出租车司机要价400，讲价后降到200…！这报价也太随意了。摊手
1698878697# #这火焰也太大了，感觉不是真的！挖鼻
1688211386# #这种情况消防员尽力了，女子没有一点求生欲了，主动躲开了消防员抓她的手！摊手
1687276046# #吃瓜的妹子们会是什么心态呢？是羡慕嫉妒恨吗！doge
1701864576# #这么大个狗看不到？前后车轮颠簸的压过去也没感觉到异常？可怜的狗子睡梦中被瞬间压死，都来不及叫一声！摊手
1693748783# #开车就好好开车，这些没用的回家再整！酷
1702100525# #地铁上竟然有如此厚颜无耻之人。。。
1688383850# #男子骑共享电单车在马路上拦截接亲婚车，开价要100元才能让婚车过去…，这纯属敲诈吧！摊手
1699571870# #电影拍摄现场花絮男演员尹子维直接上手女主角薅头发女主角身材好到爆啊你认识她吗？
1695564367# #某地交警治理交通出奇招，没戴头盔的要举着牌子，直到传递给下一个没戴头盔的人…。你支持这种处罚方式吗？思考
1699954229# #好兄弟，一辈子！允悲
1701429270# #美国总统拜登在会见《绝望主妇》主演伊娃·朗格利亚时双手有条件反射的迷惑动作，伊娃提前预判破了拜登的全场紧逼！酷
1696176698# #我喜欢健身，没事就做几个俯卧撑！酷
1696086201# #高铁上，男子找列车长希望列车长帮自己解决行李无法上架的问题。结果列车长认为男子声音大是在骂她，随后报警…。警察到现场后，男子通过自己清晰的逻辑以及严谨的行为为自己洗刷列车长诬陷他骂人的事实！酷
1697629443# #“女人过了三十岁后，你想追她得排队”这说法你认同吗？并不简单
1703849221# #男子没有及时让座，老头直接动粗将男子赶开…！摊手
1688420898# #这是只不正经的猴哥！doge
1698258126# #一名年轻的巴勒斯坦人举起双手，按要求从他想要经过的扎伊姆检查站离开，突然间招盘查的以色列军警从背后开枪击倒。汗此事发生在2019年的耶路撒冷郊区，开枪军警事后表示，只是“为了好玩”！怒
1700640061# #小杨哥徒弟被消协列入低俗带货案例小杨哥的徒弟红绿灯直播带货视频，这种风格谈不上低俗吧。小杨哥最近怎么这么多负面舆情，是得罪了什么通天人物吗？摊手
1702268080# #老大爷怎么衣衫不整被帽子叔叔抓了，不能给穿好衣服吗？摊手
1700406937# #男子竟然在高铁上抽烟，被警察传唤还暴力抗法…。高铁上禁止吸烟都不知道吗？挖鼻
1689926824# #木牛流马?
1698184194# #大学女生在校内晚会走秀，这股范儿不输超模！挤眼
1693601839# #山东东营市爱心救助中心给女孩3.6万救助金引争议，从视频中可以看到女孩家装修豪华，知情人称女子平时用苹果手机、背名牌包、戴苹果手表。网友：不会是关系户吧！
1692355606# #小女孩患有先天性兽皮痣，单亲妈妈小心翼翼呵护其健康成长。。妈妈：为自己骄傲，独自把女儿抚养长大！
1693391968# #这种幼儿园活动值得推广……
1695402786# #刷到观音菩萨请不要无视真的很灵🙏🙏🙏
1695213215# #防火防盗防亲妹…摊手
1687203224# #通过这么多车，只有后面那个白色的面包车司机过得最好！酷
1691226269# #大妈拍照还是很大胆的允悲
1697363234# #还是那句话，心脏看什么都脏。说这是故意揩油？真的服了费解
1688310490# #可怕，这坑再深一点，怕是要交代在里面了。终于明白“城市套路深”的意思！挖鼻
1690321487# #身材再好再美，也没有男人同意自己老婆穿这种婚纱出场吧摊手
1693839668# #工厂里心酸的一幕，一小伙在没有任何保护措施的情况下作业，整个身体都布满了金属颗粒…。网友：老板把钱赚了，身体的债，工人自己去还！委屈
1690292856# #因为乘客的一个投诉，她可能再也飞不了汗
1688998965# #事实证明人生没有捷径可走…！笑cry
1697272890# #库里南出街，尊贵的感觉一下子就出来了笑cry
1691230616# #因为前面车急刹车，后面不注意就像这样摊手
1699039386# #发指令的小姐姐手上拿了遥控器吗，妹子完全被操控了！酷
1702938314# #缅北“白家”白应苍和给白应兰过生日的奢华场面，花的钱都是诈骗国人得来的不义之财。必须抓到他们公开审判，让这些人得到应得的惩罚！怒
1687724525# #好一只倔强的小猫咪，同一个地方同样的方式失误两次…，好丢喵啊！允悲
1691511795# #别人媳妇不在家的时候千万不要去找人家老公玩doge
1695051470# #身边的哥们儿没有一点眼力劲！doge
1690984126# #深圳宝能姚老板因为欠薪被员工围堵胖揍…，想当年脚踩万科拳打格力，如今是怎么了？挖鼻
1695138346# #一女子服装店试衣间换衣服，不料被店铺监控全程录下并上传网络…！挖鼻
1689608431# #一黑人男子为了拍视频在地铁站公然滋扰陌生女性！怒
1688917848# #2女子与蜜雪冰城员工起冲突据说是两名醉酒女子首先殴打女服务员，其男朋友正好在等其下班，于是出手反击……。doge大人喝醉酒了惹事，却让子女遭罪，一个个被吓到撕心裂肺的大哭！摊手
1692547132# #不要少管闲事！
1690644842# #男子喝酒过量，已经不行了，父亲抱着他，眼泪在眼眶里打转，网友：这个爸爸多无奈啊。
1694534020# #学到了学到了！哈哈哈哈哈哈
1699657712# #女子火车上与她人发生争执，于是报警，当，着乘警面说别人骂了自己，要让对方留案底，并且不听乘警的处理意见，一个劲的抢话，好像法律是为她立的！汗
1702563535# #哎…，死都不怕还有什么好怕的呢！摊手
1695838199# #一女子海边溺水失去意识，男子将起打捞上岸并加以抢救，危急时刻的见义勇为之举，竟被有心之人说成是趁机占女性便宜……。内心肮脏的人看什么都是脏的！摊手
1701493340# #是修电瓶的吗？反复看了十八次也没看明白！doge
1693929110# #相差一岁的姐弟俩暑假在家吵架，一个骂对方是猪生的，另一个骂对方是狗生的。妈妈：终究是我抗下了所有！笑cry
1701441471# #这场婚礼也许并不豪华，但却真心喜欢这种氛围，一对新人发自内心的从头笑到尾看着好甜蜜…！爱你
1703865785# #网友：早晨地铁里遇到的变态色狼，好奇的是前边女孩竟然一动不动…！挖鼻
1699283682# #不太聪明的样子允悲
1700242007# #上海某公交车上，一黑衣男子上车快速走到最后一排座位偷偷拉屎并快速下车。公交司机气的直：册那……！费解
1697405389# #不管什么心愿点赞都会显灵！🙏
1704085616# #这是因为禁止导致的压抑彻底放飞了！允悲
1689776926# #男孩妈妈出去打麻将去了，奶奶下地干活，两男孩去游泳，捞上来一个，还有一个正在打捞……
1690831659# #她会下腰她会下腰啊doge
1690103283# #【“虽然新郎不是我，但是新娘我爱过”】正在闹洞房的新郎看到新娘前任来挑衅气愤不已，从楼上飞奔而下讨说法，路虎车上挂的横幅更是让新郎火冒三丈！允悲
1697906306# #看这速度，小蜘蛛今天应该是睡过头了。笑cry长按屏幕为小蜘蛛加速！开学季
1698937427# #当卧龙遇到凤雏的时候，悲剧也就不可避免的发生了。。。摊手
1696775418# #男孩游泳池溺亡10分钟无人救援痛心！一男童在游泳池溺亡…，从出现挣扎到被扶上岸，一男子亲眼目睹整个过程，但是在长达10分钟时间没有救援！摊手
1698532054# #这样滑下去还不得脱层皮啊？允悲
1687358331# #好有诚意的感觉，看来她是真的认错了…，她的老公应该会原谅她吧！doge
1687533151# #一对男女不知何故在地铁车厢起冲突，男子最后被打得落荒而逃……！挖鼻
1697522317# #鹿：我不是“好人”，你才是好人！。小女孩：你做个人吧！
1693862666# #环卫工人解救被护栏卡住小女孩，因手疑是碰到隐私处惹争议…。小女孩家属：不能冤枉他，要感谢他！还是那句话：心脏的人看什么都脏！摊手
1696679531# #男子生病住院，前妻过来看望…。网友：妻子还是原配好！doge
1688537243# #福建三明市，一辆理想汽车开启辅助驾驶功能后失控冲进一家餐厅撞飞多人，并造成人员死亡的严重后果！生病
1703603362# #4岁的大宝欺负2岁的二宝…！没有人为的干预，这就是自然界的正常现象！衰
1697382277# #高端的享受不是摸大腿，是真真切切感受轻松惬意，身心愉悦。。。
1693171761# #大型捉奸现场，出轨男女还挺理直气壮的…挖鼻
1703759409# #熊：把“枪”放下再说话doge
1690041137# #这帮“好心人”真热情，带子都给人家拽断了doge
1692484454# #这小混混是故意来找茬的吧摊手
1688331642# #湖北宜昌江边，几位好心大爷救起一位遭遇感情问题轻生女子……，居然有网友称：大爷们上下其手，真是“人老心不老”！摊手
1693419390# #终于知道有些男人那么喜欢逛夜店doge
1699192448# #某电影拍摄现场！“大嫂”徐冬冬男友尹子维直接上手女主角薅头发，女主角身材好到爆啊，你认识她吗？
1687511957# #印度一名17岁的女孩在路边准备搭车回家，突然遭到四名陌生男子粗言秽语调戏，随后女孩被抱起来带到甘蔗地里，先进行殴打，然后进行轮奸……！衰
1696257314# #怀疑他们三个当年中学毕业的时候就跳的这个舞？笑cry笑cry
1690966356# #坐高铁担心的事终于发生了…
1692371065# #一副颐指气使的模样就不让，拒绝道德绑架…
1698595932# #佛光普照刷到不要无视评论很灵🙏
1699738214# #啥情况啊，一男一女半夜三更大打出手…！汗
1695397173# #俄罗斯女孩的结婚风俗，结婚进门前要把盘子踩碎…。还是俄罗斯大妈给力，一脚干碎！笑cry
1698071849# #此处禁止摩托车自行车上桥，男子却艰难地推着电动车想推上去。黑线知情人：没办法，绕路多走10多公里！摊手
1691911001# #大爷这算超载了吧doge
1688821104# #香港街头一对情侣吵架，男子为了哄女友上演公主抱，不料被真在气头上的女友剪刀脚撂倒！笑cry
1697735208# #象棋大师柳大华实名举报女领导…挖鼻
1690190809# #地铁上一男子提醒女子刷短视频频声音放小点，然后女子就不爽了，暴怒打人…
1695154390# #好险！女子在网红电梯上拍照时摔倒并翻滚…
1700491053# #女子高速公路骑摩托车飙车追尾正常行驶小车后坠桥，女子直接仰浮在水面当场去世！衰
1699960934# #丈夫陪情人逛街被妻子抓到，两个人不打不闹竟双双在一起抱头痛哭。。。
1694705626# #外国妹子中文不错，就是不太懂中国的交通规则…笑cry
1689457557# #河中老头自称“游泳教练”，在河中专挑小女孩下手，见到女孩下水玩就不断靠近。还借教小女孩游泳为名把女生往水里拉，用手触碰女生敏感部位。猥琐老头太下作，而且方法很狡诈隐蔽，身体这些小女孩捏一把汗！生病
1690552073# #偷拍别人表现的还挺淡定，还发到群里讨论起来了，殊不知螳螂捕蝉，黄雀在后，从玻璃倒影看到了…。网友：人人都能看见的东西，为什么怕偷拍？
1693495784# #公交车上一女子身上掉下一个山竹，参加过抗美援朝的老老爷子条件反射之下误以为是手雷，于是迅速趴下用身体将山竹挡在身下…
1694008972# #舞蹈老师怀孕5个月，在朋友聚会大方展示肚皮舞。网友：看得我大气不敢喘！
1699539105# #25岁女子色情直播，两年谋利150万…！汗
1694359551# #男子在外出差，想老婆了于是查看家里监控。本来家里老婆孩子其乐融融，没想到下一秒隔壁男邻居进来了…！汗
1703942807# #电梯内猥亵小女孩男子已被警方抓获对待这样的性BT，建议引入国外的化学阉割！怒
1695027097# #结过婚的不能当伴娘吧，那这个伴娘肯定很爽吧！二哈
1692004425# #不得不服这大妈的战斗力666两毛九的茄子🍆三秒钟抢完允悲允悲允悲大妈这是对茄子的真爱啊嘻嘻嘻嘻嘻嘻
1690006304# #此人是缅甸北部果敢军阀头子白所成的儿子白应苍，果敢四少之一，苍胜电诈园区的老板，果敢民兵队大队长，单是他手下的民兵就有上千人。用诈骗中国人民的血汗钱，过着纸醉金迷的生活！怒
1693057659# #现在娱乐市场行情很不好，一线女星没戏拍只能接县城商演，15分钟出场费仅30万！
1688109178# #这位大妈为了多卖点钱也是太缺德了！摊手
1703778762# #这是一份你看了想干的工作！酷
1693220242# #大哥这黑眼圈好严重，娇妻虽好也要注意身体啊，要懂得细水长流酷
1697625029# #总能看到一些人，对大自然没一点敬畏之心。。。摊手
1691082339# #两个大男人太欺负人了吧，直接把一个弱女子扔到水里doge
1694766783# #两岁萌娃解锁看电视新姿势。网友：谁屁股坐饭碗上啊！笑cry
1692032708# #这不得闯红绿灯快点回家啊嘻嘻
1695897479# #“天蓬元帅”和“牛魔王”山上大战，过程中双双掉下山崖损命…！挖鼻
1690670238# #一对夫妻在家中打闹，妻子被丈夫制服在地。网友：既分高下也決生死
1696182111# #女子插队还对他人指指点点骂骂咧咧，气焰太嚣张了……黑线
1696968636# #佛教四大菩萨，愿见者皆如愿！！！！🙏🙏🙏🙏
1691947437# #女性生孩子真遭罪啊，所以男人一定要懂得珍惜doge
1701548250# #科技含量很高啊doge
1695115661# #好淳朴的农家生活doge
1701450338# #深圳街头，一女子因为生活压力崩溃大哭…！汗
1692864651# #初学游泳的男孩恐惧下水，妈妈强行将孩子扔下泳池让孩子呛了不少水…！汗
1691389536# #现在的女大学生真不简单…
1687269942# #透明男厕外，几位小姐姐对着小便池开心围观，如果是你你敢方便吗？笑cry
1688937229# #一女子贪小便宜，把“爱心冰柜”的纯净水全部拿走。网友：这种人一辈子吃不上四个菜！摊手
1704004460# #深圳一年要办多少个马拉松赛事呢？这种不是体育精神的普及，而是有些人敛财的饕餮盛宴！摊手
1688483919# #女孩子要懂得自尊自爱啊…，不然自己都不爱惜自己谁会爱你！摊手
1702902497# #有钱人的生活就是这么朴实无华！doge
1689836128# #这么危险的行为带着孩子，这些人是猪吗？摊手
1687549603# #一个偷拍的人阻止了一场血雨腥风的战斗！doge
1693678966# #湖北宜昌，一女子因感情问题跳水轻生，几位大爷合力将女子救起…。居然有网友称：大爷们上下其手，真是“人老心不老”！摊手
1696401861# #不羡鸳鸯不羡仙，只羡军训每一天。。。
1690729631# #广西一女子跑外地偷人，被老公抓现场竟然扬言“你不要把事情搞难堪呢”…
1687020573# #看到了没，有钱你就是打也打不走…。所以努力赚钱吧！作揖
1694878007# #香港地铁站内，一韩国女主播在直播时被印度裔男子骚扰…！摊手
1687030439# #两个大男人被一个女生这么揍也不还手，是周围有很多人给女生撑腰吗？单方面的施暴，这属于违法行为了，视频放上网正好作为犯罪证据！汗
1687295105# #细节决定一个人的素质，这个公交车司机太不称职了！摊手
1700933702# #舞狮子过时了，现在开始舞老虎了！这个舞虎由三人操作，配合默契效果惟妙惟肖！赞
1695275767# #正骨中的迷惑操作…，谁懂啊！笑cry
1687937025# #妹子街头情不自禁，黑哥男友都有点不好意思了…！doge
1690540923# #小男孩在列车上踢球，高铁工作人员多次提醒，家长直接无视。结果熊孩子两个半小时基本没停过……
1692275408# #家有这么一宝，吃菜都不用花一分钱doge
1691684993# #野猪被掏空居然还可以跑，巨蜥一脸不可思议…衰
1689087521# #偷人还要带到家里来！被老公抓包报警怪谁？摊手
1697458239# #遇事不要慌，不要急，慢慢来。不管干什么千万别慌，滴沉住气，我为消防站点赞作揖
1694109023# #深圳泄洪大湾区正在经历前所未有的暴雨，罪魁祸首就是台风“海葵”的残余环流，它已经在粤东停留很久，而且解体了，但是残余影响缺如此巨大！生病
1686947130# #一位有“理想”的车主，开车没什么教养！怒
1687343280# #黑熊被卡在路边排水沟迟迟无法脱身，于是直接往后一仰摆烂躺平！允悲
1699186173# #据说东北小孩从小就会扭秧歌。。。
1702727082# #乌克兰一议员闯入会场引爆三颗手榴弹，场内众人尖叫不止…！衰
1701631178# #大爷这操作有点过粪了笑cry
1691774114# #一外地游客与本地人发生争执，随即大打出手……汗出门在外低调一点，不要惹是生非！摊手
1695548306# #？？？
1691410922# #坏人好事，活该被打……
1688058933# #美利坚的地铁上，一黑人男子肆意攻击一女子，周围众人纷纷起身躲开，女子看着非常无助与绝望…！摊手
1696001788# #赢在气场，堪当大任。。。赞笑cry
1691785310# #老头在列车上用手机偷拍后座女子，被发现后又利用黑屏反光继续偷窥…。汗最后女子一个绝杀，直接用背包将视角堵住！哈哈
1691509618# #太可惜了！几分钟的事，就这么没了生命……
1692201172# #陌生的城市啊，熟悉的角落里doge
1693996045# #母爱真伟大！三胞胎准妈妈晒自己的孕肚，躺在床上休息时也不忘给肚中宝宝们播放音乐！心
1694244374# #两个小孩差点因为司机的操作命丧当场，活该被打一巴掌，得让司机记着一辈子…
1698762738# #承重墙都砸了，很刑啊。。。
1700132285# #明学昌已经死亡，有消息说是被同盟军击毙，还有说是在老缅米线沟司令部自杀了，反正尸体摆在口岸门口让中国验明正身了。明国平和明珍珍也在下午由南伞口岸移交北方，明菊兰在同盟军手里，正在办理移交手续。犯我中国者，虽远必诛！怒明学昌明珍珍明国平被逮捕
1691575430# #龙鱼突然跳缸，下一秒男子一番操作…，网友：原谅我不厚道的笑了笑cry
1696539851# #直接报“大朗”的身份证好了怒
1699119889# #许个愿吧，很灵的🙏
1697369533# #如果做错事了，就应该道歉。明明做错事了，还态度极度不好，这样会导致家长非常生气，你遇到这种情况会怎么做？摊手
1696781247# #大自然的馈赠。。。🙏
1687962537# #地铁站内，两女子因琐事发生口角并引发肢体冲突…，黑衣女子打架好有经验，直接扣眼睛抓头发，打得对方毫无招架之力！允悲
1703345253# #现在到银行取点钱，还要被柜员像审犯人一样…
1691674064# #女友在路上撒泼坐地不起，男友忍不住一耳光将女友扇倒在地…
1696588610# #牛人徒步下山速降！刚开始以为是摩托车下坡，原来是靠两条腿在跑…笑cry
1691734535# #3名女孩正在餐馆吃饭，餐馆老板老板冷不丁在背后一个操作让她们大喊…笑cry
1697792357# #现在的人出去一趟怎么一个个都像刺猬呢。。。
