1702177068# #外籍旅客优先登机致一女子滞留机场蜡烛蜡烛蜡烛阿弥陀佛！
1701287093# #11月30日早报。1.雷军向母校武汉大学捐赠13亿元，创全国高校单笔个人现金捐赠纪录。2.一艘疑似中国籍货轮在韩国西南部海上沉没，韩国海警赶往事发海域展开救援。3.国台办：民进党推危险的“独独配”只会毒害台湾前途命运。4.陕西高校发生持刀伤人事件，因琐事产生矛盾，致1死1伤。5.秦岭划入生态保护红
1699858833# #上官正义追问12年前4885份出生证被盗案蜡烛蜡烛蜡烛阿弥陀佛！苍天有眼保佑上官正义平安。
1691550707# #男子强奸13岁女孩致死案二审维持死刑这样的恶徒不应该来到人世间。
1697009834# #碧桂园碧桂园宣告将对境外债进行重组🙏🙏🙏阿弥陀佛！
1699525948# #田惠宇被控受贿2.1亿余元🙏🙏🙏阿弥陀佛！
1700716164# #四川两县回应禁止私熏腊肉原因蜡烛蜡烛蜡烛阿弥陀佛！
1689468753# #要在东北冻发烧了外面小雨，气温18度，有些凉。
1691646001# #孟婕孟婕“放任”其无手术操作资质的学生邹某单独进行支气管镜检查，导致三个月内发生2例患者死亡事件，事发后孟婕伪造医疗文书，要求其他医生签字担责。？？？？？？？？？？？？？？？？？？？？？？？？？？？
1695067021# #9月19日早报。。1.数十架解放军飞机越过“海峡中线”，外交部：不存在所谓“海峡中线”。。2.中国首次报告5例女性猴痘病例，“未来甚至可能出现家庭内传播”。。3.网传国产光刻机工厂落地雄安，中国电子院澄清：这是北京高能同步辐射光源。。4.越野车在陕西乾陵景区内开下台阶：警方已找到司机，景区处理相
1691012242# #涿州书厂老板称未收到泄洪通知未收到泄洪通知…………
1691698589# #湘雅三医院9名医务人员联名举报科主任就凭湘雅医院的上热搜的次数，如果不是遇上医疗界反腐，这9个人的举报只能呵呵了……
1698035567# #太原发生多人伤亡交通事故蜡烛蜡烛蜡烛阿弥陀佛！
1695936702# #中山大学通报李某某出轨女博后李某某被曝光后学校及时处理。
1693182647# #中学小卖部5年租金超900万元学生是人质，学生家长是提款机。
1693647603# #官方通报女子被举报多次陪领导喝酒醉卧街头🙏🙏🙏阿弥陀佛！
1698540642# #河南一小区为防高空坠物布满钢丝网🙏🙏🙏阿弥陀佛！
1694586061# #男子为炫富烧100元点烟被罚1万他的父母是做什么工作的？
1701764518# #沪指再度跌破3000蜡烛蜡烛蜡烛阿弥陀佛！
1694571121# #广州城中村＂电费＂凶猛:一盏灯一个冰箱一月电费1085元
1700896861# #成都一楼盘降价40%🙏🙏🙏阿弥陀佛！
1696048445# #大学生付餐具费吃完饭将餐具全带走商家赚钱不择手段，为什么会这样？？
1691625946# #43岁女子当榜一大哥骗女主播66万是哪块土地孶生了这么多的骗子？
1703039262# #俞敏洪曾表示接班人考虑董宇辉蜡烛蜡烛蜡烛阿弥陀佛！
1703299840# #朱令去世蜡烛蜡烛蜡烛阿弥陀佛！
1698887019# #离世女教师加班数石榴系谣言🙏🙏🙏阿弥陀佛！不信谣，不传谣。
1697961062# #女生被男同学抱摔致门牙断裂这不是校园暴力吗？
1696722472# #上海海滩走失女童母亲疑晒娃后删号4岁的孩子在海滩上，孩子身边能离开人吗？？
1697029673# #北京政法职业学院霸凌女生疑亮相宣传片政法学校的形象代表，真硬实。
1691609705# #原配街头打小三扒其胸衣小三被打过以后渣男出点钱说点谎话摆平，做小三的日子还得继续……
1695856159# #多家医院关闭产科🙏🙏🙏阿弥陀佛！
1700264377# #男子被撞倒后遭多次碾压身亡用车杀人？
1702804302# #男班主任酒后查寝猥亵女学生被行拘酒后耍流氓是酒的责任？
1692396365# #打响取消公摊第一枪的为什么是合肥房产证上房屋面积是包括公摊面积的数字，物业费和供热费都是按照房产证上的面积收费。
1700284658# #杜旭东道歉能让杜旭东碍于情面的人是什么级别？
1698449709# #村支书被曝强迫留守妇女发生关系村里的妇女成了村支书的后宫，这种事多长时间了？
1689113526# #缅甸缅甸的骗子团伙来自哪里？
1695820999# #女子称质疑公司发假月饼后被解雇🙏🙏🙏阿弥陀佛！说实话有罪。
1700494834# #教育局回应中学因财政困难向学生收200元有些话不能说，说出来太尴尬。
1690356849# #手机被没收15岁男生踢打母亲这个男生也许会变好……
1690622110# #市监局回应水煮花生中疑吃出鼠头今年鼠头有些多，还好这里的头目不姓江。
1696143958# #韩国女队员侮辱性模仿何冰娇含泪一些米国大兵改良过的棒子而已。
1688247694# #记者采访“大桥上建围挡”，被官员反问：多宣传好的不行吗？音乐节龙湖蚌埠
1693943857# #缅北诈骗窝点金主头目和骨干21人被抓缅北的电信网络诈骗窝点11个，抓获电信网络诈骗犯罪嫌疑人269名。其中，中国籍186名、缅甸籍66名、越南籍15名、马来西亚籍2名。
1701085428# #调查称28.5%青年过着45度人生28.5%的青年过着卷又卷不动，躺又躺不平的45度人生。
1703924548# #女子实名举报遭国企董事长性侵未遂董事长，还是国企的……。
1695589750# #网传大同小学生遭霸凌教育局连夜调查这个连夜调查从谁开始？
1701043997# #今年国考约57人录取1人1/57只是平均值。
1690356663# #官方通报男子光屁股大街上被拖行🙏🙏🙏阿弥陀佛！
1699159197# #种植户高喊谁敢进来照死里打依然没能挡住哄抢大军网易视频种植户高喊谁敢进来照死里打依然没能挡住哄抢大军（分享自
1699055412# #被举报与女同事暧昧副市长被免职免职，需要多长时间才能东山再起？
1697015106# #北极鲶鱼哪来的安全感哪里来的安全感，不予公开……
1699927805# #室友遭追砍女子帮呼救也被砍20多刀🙏🙏🙏阿弥陀佛！
1694991539# #哈工大回应禁止导盲犬入内哈工大回应男子带导盲犬进校被拦拍这个视频的人应该是提前准备好的。
1700443498# #河南联通被曝强迫用户更换光猫店大欺客，就这么豪横。
1701785097# #银行通报员工举报遭领导施压发生关系这个环境有些乱。
1696620275# #大妈偷走榴莲嫌是生的找店家退钱偷的东西还可以找主人退钱？真是贼胆大。
1701035082# #11月27日早报。1.滇藏铁路丽香段正式开通运营，云南丽江至香格里拉间最快1小时18分可达。2.2024国考公共科目笔试开考，报名人数首破300万。3.武汉一鉴定所被举报伪造亲子鉴定，广深汉三市警方介入调查。4.国家卫健委：近期我国急性呼吸道疾病持续上升与多种呼吸道病原体叠加有关。5.云南旅游再现不便接
1701475206# #村民称全村土地费存银行后不翼而飞钱存在银行里不翼而飞，还有哪里是安全的？？？
1694490829# #大爷商场内疑用下体顶女子臀部老流氓的家人看到这个视频时是什么表情？
1695221254# #新华社评预制菜进校园是谁【把家长和孩子的知情权给“预制”了】？？
1697313101# #10月15日早报。1.王毅：在巴勒斯坦问题上，中方站在和平一边、站在人类良知一边。2.袁隆平“超级稻”创世界新纪录，亩产1251.5公斤。3.高校女教师在广东美术馆展厅坠亡，初步判断在找寻拍摄角度中发生意外。4.河南驻马店一60岁男子劳作后误喝汽车防冻液，血液成胶冻状去世。5.中菲合作再遣返36名在菲从
1696619922# #官方通报已婚女子陪领导喝酒醉卧街头喝了几个酒？
1690959350# #佳木斯一小区公示盖方舱医院遭居民质疑这是为春晚小品提供素材？？
1692732515# #供电局回应员工家属疑炫富事件🙏🙏🙏阿弥陀佛！
1702603002# #专家称3000点之下可能一去不复返大雪后拍照留念。
1703027372# #董宇辉孟羽童能撼动老板吗昨天看到网友说的一句话→→真是皮鞭沾碘伏，边抽边消毒！
1696535752# #南阳官方通报音乐节盗窃事件🙏🙏🙏阿弥陀佛！
1691212077# #吉林舒兰汛情吉林舒兰强降雨已造成1死4失联🙏🙏🙏阿弥陀佛！
1694461219# #副院长猥亵女学生获刑🙏🙏🙏阿弥陀佛！这是近些年来最好的新闻。
1697162314# #官方通报成都中学生校内自缢事件🙏🙏🙏阿弥陀佛！
1696217885# #你现在是穿短袖还是长袖外面即时温度17度，室内温度接近18度，还有两周供热。
1692145601# #广东一医院设备未发货先支付货款1.2亿水太深，看清楚了也不要说。
1699243602# #幼教老师抱起孩子猛摔在地孩子家长会不会报复这个老师？
1691128122# #公安检举物业违法的公告被物业撕了物业可以随意欺负业主，这次撕官方的公告可能不太好办……
1701815697# #厦门警方通报2名老师涉嫌性侵大四女生这种人渣是怎么混进教师队伍？？
1693210329# #董明珠怒斥员工吃着碗里看着锅里🙏🙏🙏阿弥陀佛！
1702247905# #河南媒体评杨丞琳道歉🙏🙏🙏阿弥陀佛！
1703541008# #本溪花28亿外包环卫却除不干净雪蜡烛蜡烛蜡烛阿弥陀佛！钱呀……
1691982367# #有医院院长收受100套房这一百套房子是一天收的吗？医院的上级监管部门是否有腐败存在？
1695767408# #680元民宿被平台悄悄调成国庆2780平台宰客怎么处理？？罚点钱？道个歉？
1690617603# #齐齐哈尔市第三十四中发布悼文蜡烛蜡烛蜡烛阿弥陀佛！这不是天灾，本不应该发生。
1688635351# #宝马女司机撞人拖行案将宣判这个季节随时都会打雷的。
1695116579# #央广网评预制菜进校园🙏🙏🙏阿弥陀佛！
1697177530# #官员辟谣武大图书馆骚扰事件男生系其儿子🙏🙏🙏阿弥陀佛！
1691190602# #大连一男子自称公务员扬言要砍交警铁饭碗很硬，铁饭碗能砸死人，交警不是个体，交警代表的是政府，铁饭碗砸到这上面……，饭碗碎了。
1690604226# #吉林白山一处公园内一男一女上吊身亡🙏🙏🙏阿弥陀佛！
1694245228# #已婚男嫖娼法院以珍惜亲情为由不准离婚法律无法保护弱者。
1698006513# #男子遭楼下老人砸门咒骂1年暴瘦20斤这种事情能持续一年时间？相关部门都在忙着卖红薯？？
1692235716# #视觉中国这个雷⚡不是一般的大。
1690964247# #男子讲述被骗到缅甸非人遭遇视频分享。
1691529978# #云南罗平有人当街行凶砍伤多人🙏🙏🙏阿弥陀佛！这么多无辜的人……
1697747885# #10月20日早报。1.上海4岁走失女童遗体在宁波市某滩涂被发现，排除刑事案件。2.广州一宝马车与出租车相撞后撞上桥墩侧翻起火，宝马司机身亡，未发现斗气行为，两车均超速。3.网红罗大美被绑架撕票，三嫌犯从其卡上转走200万，已落网。4.中国多个实体和个人被指涉伊朗军工制造将遭美国非法单边制裁，外交
1700842235# #11月25日。1.外交部：中方将对法国、德国、意大利、荷兰、西班牙、马来西亚六国试行单方免签。2.国台办：希望明年初台湾地区选举结果能推动两岸关系重回和平发展正轨。3.国家医保局：推动医保码实现“全场景通”“全流程通”“全国通”。4.家长称孩子游戏充值近八千申请退款被扣四千多，华为回应扣费系
1696637719# #老师订10余套演出服用完立马退货搜了一下，这样的事情以前就发生过，从幼儿园到大学校园，现在小学，逐渐普及……
1690174056# #女子买糕点付钱后发现被调包成临期17岁的暑期工就会这么做？应该是老板提前教会的吧？
1694769062# #男子称麻醉后被忘手术台医生下班🙏🙏🙏阿弥陀佛！
1703652337# #郭刚堂称对死缓判决不满意蜡烛蜡烛蜡烛阿弥陀佛！
1698574474# #男子砍人未被罚数月后驾车撞死母子2人蜡烛蜡烛蜡烛阿弥陀佛！
1700255443# #11月18日早报。1.日首相在中日首脑会见中提台湾问题，外交部回应维护台海和平稳定最关键是坚持一个中国原则。2.海底管道铺了5.5公里，温州市区唯一离岛乡镇通自来水。3.大理一网约车出事故3人死亡，调查称当地约1386辆滴滴车无证运营。4.台北故宫博物院多件文物损毁，官方承认长期处于高度风险。5.微信
1700098622# #205国道江苏宿淮站获批收费🙏🙏🙏阿弥陀佛！
1698097537# #700万动迁款分给4名子女后无人赡养🙏🙏🙏阿弥陀佛！做父母的不能一碗水端平……
1691957650# #8月14日早报。。1.江苏盐城大丰局地发生中等强度龙卷风，造成2人死亡，15人受伤。。2.宁夏18岁女子酒后被性侵长裙检出精斑，网约车司机被取保。。3.西安山洪泥石流灾害已造成21人遇难，仍有6人失联。。4.杭州新东方被举报停课后，多地新东方均称“没有学科类培训”。。5.长沙一小区业主称多户居民家墙体开裂
1688933525# #7月10日早报。。1.我国成功发射卫星互联网技术试验卫星，知名的有美国SpaceX公司的星链星座。。2.女子网上发文寻找海滩失踪男友，海南警方证实其男友溺亡。。3.甘肃庆阳两落马县委书记均获刑：互相照顾对方弟弟，贪腐总金额过亿。。4.上半年全国铁路客流呈恢复性增长态势，共发送17.7亿人次。。5.我国登记在
1703117342# #女网红就涉甘肃地震言论道歉并捐款道个歉，捐点钱，然后……
1694824157# #过敏是因为免疫力差吗🙏🙏🙏阿弥陀佛！
1703907779# #派出所回应男子在电梯内猥亵小女孩蜡烛蜡烛蜡烛祈愿这个人渣四肢瘫痪生活不能自理。
1691103756# #男子在泄洪区大堤观望不听劝离被拘任性的代价……不是挨打就是挨罚。
1698236394# #12岁男孩的厨艺可以有多精湛兴趣决定方向，行行出状元。
1703215564# #电商收到退货穿黑磨损的雪地靴蜡烛蜡烛蜡烛阿弥陀佛！有些人的贪婪隐藏在骨子里，这种人不会放过任何占便宜的机会，直到它们离开这个世界。
1693460121# #男子1人同时操控千台手机刷量控评被抓这种人最擅长的就是颠倒黑白搬弄是非。
1696922871# #深圳市原交通局货运管理分局局长钟庚赐被开除党籍|纪委|副局长网易新闻深圳市原交通局货运管理分局局长钟庚赐被开除党籍,钟庚,交通局,深圳市,纪委,党籍,副局长（分享自
1694030587# #9月7日早报。。1.台风“海葵”造成福建省159.16万人受灾，多地出现强降水，多个城乡积涝严重。。2.党校培训期间连曝两场违规酒局：湘西11名领导干部受处、4人被免。。3.夫妻俩偷遍上海无印良品所有店铺，开网店半年多赚26万元被刑拘。。4.江西破获特大假冒名表案：2年销售超1亿元，涉及20余省份。。5.湖北咸
1693691849# #中国男篮或将连续缺席两届奥运会解说怒吼质问中国男篮解说的怒吼能有多少作用？？
1699681275# #佛山一医院负责人涉嫌贩卖出生证被控制是什么原因让医院负责人成为人贩子的帮凶？
1689840391# #中建八局被实名举报🙏🙏🙏阿弥陀佛！！
1703315232# #父亲称朱令2次铊中毒活到现在是奇迹投毒者的现状也是一个奇迹。
1700267534# #救活烂尾楼的人被抓了走进新时代……
1701174760# #男子多次高空抛物致28岁女子身亡送他下地狱吧。
1694226723# #公职人员理发不满意举报店家偷税漏税真的官威无限，她有什么仰仗的吗？？
1697438033# #体育总局副局长点名足协塌方式腐败什么原因导致的塌方式腐败？
1691110906# #官方确认重庆事业单位考试有人作弊还没有迈入事业单位的门槛就开始作弊？
1688761142# #，7月8日早报。。1.金融管理部门公布重磅“罚单”：蚂蚁集团及旗下机构被罚没超71亿，财付通被罚没近30亿，平台企业金融业务转入常态化监管。。2.天问一号最新发现：火星或曾发生全球性气候转变。。3.湖南长沙发现3例猴痘病例，均在定点医院隔离治疗，病情稳定。。4.湖南娄底：醉驾撞人逃逸拖行受害人2.1公
1695319339# #模特踩潮汕祠堂八仙桌拍照引争议胆子真大，敢站在祠堂八仙桌上，把自己当成祭品了？？
1700013838# #大学教授说i人遇到困难别自己扛有些人遇到麻烦事可以找个临时工帮忙，打工人遇到麻烦事能找谁？
1695106742# #被打破头骨女孩称老师故意击打2次不但暴力还说谎，这种人渣是怎么混进教师队伍的？？
1692587768# #药代举报两所省级三甲医院医生受贿前些天抓的都是院长，现在有医生被举报，等官方消息吧。
1693712939# #呼市现大量哮喘患者急诊排长队🙏🙏🙏阿弥陀佛！口罩😷的作用有多大？
1691816393# #雅安有警示牌提示，有人呐喊劝阻，这些都无法阻挡这些人拍视频的渴望。
1698381653# #印度军队向巴基斯坦开火🙏🙏🙏阿弥陀佛！
1692674963# #医院擅自微创转开胸手术致女童脑死亡🙏🙏🙏阿弥陀佛！脑死亡……
1703918657# #央视前名嘴段暄行贿逾950万元钱是个好东西，既能救苦救难，也能让人为所欲为。
1693458719# #天价雕塑中标公司在平顶山项目总额1482万这么牛的公司……，平安无事……
1699781814# #官方通报南宁一医院涉嫌贩卖出生证蜡烛蜡烛蜡烛阿弥陀佛！
1699311917# #东北局地特大暴雪路上积雪厚度超过20公分，天气预报明天还有雪🌨️
1700812438# #朱令父亲坦言已经放下朱令案无可奈何……
1699047315# #11月4日早报。1.国家广电总局：年底前实现全国范围开机看直播、收费包压减50%等目标。2.河南周口种植户药材遭哄抢，损失约3万，被抢药材已基本追回。3.外卖店铺深夜营业售1400元牛杂汤粉引质疑，当地警方介入。4.吉林延吉一警员枪支被盗，黑龙江巴彦警方24小时内抓获嫌犯。5.重庆两江新区一雨水管道整
1691190782# #女孩租房开2小时空调用完100元电费电表坏了可以修理或更换，良心坏了怎么办？？
1701950920# #遭班内霸凌濒临死亡男孩亲属发声什么时候恢复少管所？
1691626490# #郑州回应一名打击老赖的民警也是老赖制服老赖，比村镇银行厉害👍🏻
1697748349# #张小泉菜刀又现拍蒜断刀把心思都用在公关上面了。
1688853256# #济南大学回应留学生每月补助3万元🙏🙏🙏阿弥陀佛！
1696549183# #南阳通报称批评是最大的爱陈某煽动误导村民拿东西被刑拘淳朴的村民被一条视频误导了……
1694700504# #官方回应北极鲶鱼事件调查结果不公开不予公开……
1693657516# #西安市第一医院两名医生被停职调查为什么会这样？是什么原因造成的？
1699847503# #上官正义称受到国家卫健委邀见🙏🙏🙏阿弥陀佛！平安就好。
1696619809# #10月7日早报。1.中秋国庆假期国内旅游8.26亿人次，旅游收入7534.3亿，全国跨区域人员流动超21亿人次。2.中国女足7-0乌兹别克斯坦摘铜，本月还将参加奥运预选赛；中国男篮逆转击败中国台北队，拿下亚运铜牌。3.广西钟山通报“幼儿园园长与男子开房视频”：系民办园，将加强监管。4.景区回应游客在张掖七
1691298269# #陕西一公职人员醉驾致2死2伤已被刑拘8月3日20时许，张某驾驶机动车行至南郑汉山街道幸福路中段时将4名行人撞倒，现场1人死亡，警方赶到现场后立即组织另外3人送医，1人经医院抢救无效死亡，2名伤者正在就医，目前无生命危险。
1697613035# #南京警方称酒吧街醉酒事件2人认识两人认识，并非强奸……
1699931956# #商丘妇幼保健院保健科原科长被判8年8年……
1692523660# #李玟生前录音叫不醒装睡的娱乐圈孔方兄威力无边……
1697057735# #10月12日早报。1.财政部：停止销售“六六顺”等41款即开型福利彩票游戏。2.网传上海要申办奥运会，市体育局回应目前尚无计划。3.中方协助菲方取缔3个非法离岸博彩园区，遣返近400中国公民。4.国台办：赞赏马英九先生等岛内人士反对“台独”的明确态度。5.马术运动员华天马匹兴奋剂检测呈阳性，巴黎奥运
1702889908# #醉驾→→醉驾情节轻微的，可以不起诉或者定罪免刑；情节显著轻微、危害不大的，可以不作为犯罪处理。
1701573215# #我是怎样查出医院超收10万医疗费这种事发生在医院里叫做超收，发生在路边摊就属于欺诈。
1692955781# #茶卡盐湖现有盐够全国吃70年今天早晨去早市买菜的时候看到一白色厢式货车装了一车盐，没看到有人买。一个女人在吆喝2元钱一包。
1693406222# #鲁山县回应715万元建牛郎织女雕塑🙏🙏🙏阿弥陀佛！调查如同挤牙膏一样。
1695507768# #学校通报学生与教官发生冲突后被打教官的战斗力很强。
1694569111# #法院回应鹤岗女子还贷10年房子被占开发商一个女儿找了两个婆家。
1699316059# #恒大地产再被强制执行4亿真不容易恒大再被强制执行4亿，恒大的律师很厉害的。
1694030811# #男子驾车撞丈母娘店铺致1岁儿子死亡用车杀人会判死刑吧？
1698900416# #被解聘医院员工发声还是等官方通告吧。
1691111113# #90后男子强奸13岁少女被判5年9个月这个判决的法律依据是什么？
1692145034# #保姆9个月偷走雇主163瓶茅台无尽的欲望把这个保姆送进监狱。
1695680742# #4人操纵股票买入14亿竟亏149万投入这么多钱还不如人均，人均是谁？？
1701985033# #12月8日早报。1.中新两国将互免签证，新加坡相关搜索量瞬间增八成，有望成春节热门目的地。2.四川昭觉县辅警吉巴你哈疏导交通时卷入挂车殉职，年仅38岁。3.湖南汝城一个月内县长任上落马、书记在下乡调研返回途中突发事故逝世。4.济郑高铁12月8日全线贯通运营，济南至郑州最快103分钟可达。5.山西女子
1694823461# #7岁女童骑车从路口窜出不幸被撞身亡小女孩的家长在忙什么？？？
1699288367# #佳木斯一体育馆发生坍塌🙏🙏🙏祈愿平安！阿弥陀佛！
1700175010# #被骗到缅甸的人都遭遇了什么蜡烛蜡烛蜡烛阿弥陀佛！！
1702518421# #1人泄露周海媚病历被行拘为了炫耀……？
1704060694# #丈夫喝酒电话不通孕妻腹痛求助110蜡烛蜡烛蜡烛阿弥陀佛！
1694895185# #女孩乘电梯多次被陌生女子取消楼层谁相信→→老奶奶把女儿认成亲戚家小孩？
1689479805# #退休大妈偷车一辆只卖20元拘留了，能彻底改变吗？
1691652887# #湘雅三院孟婕已停诊这个孟婕天时不利，正遇到医疗系统反腐。
1693616145# #相声演员玉浩买房遭遇维权难业主和开发商打官司……，太难了。
1689476173# #曾举报拍黄瓜父子买人民币花束后投诉这个时代的产物，真小人。
1695255515# #高校回应学院党委书记被曝不雅聊天换个岗位继续……
1699927652# #亨利集团这些话能信吗？？？
1701896613# #12月7日早报。1.捷龙三号运载火箭在广东阳江附近海域点火升空，顺利将卫星互联网技术试验卫星送入预定轨道。2.美P-8A反潜巡逻机过航台湾海峡，东部战区组织战机跟监警戒。3.2024年总台春晚吉祥物正式亮相，“龙辰辰”迎新春。4.对六国免签实施前3天近7000人通过免签入境，搜索中国航班游客数大幅增长。5
1700349018# #女子花1.8万买衣服一年不发货不退款这样的商家真的太厉害了，监管部门的人都去卖红薯了？
1694289693# #官方通报外卖员被别车上前理论遭喷辣椒水可以随意的对别人使用辣椒水？这人是什么身份？？
1696496443# #菲律宾男篮赛前只准备12天蜡烛蜡烛蜡烛阿弥陀佛！
1694605929# #北极鲶鱼核查不予公开是否为权力的傲慢九位数的傲慢不是谁都有的……
1698942611# #官方回应副市长与女同事暧昧民不举官不究。
1694116402# #脱口秀演员称城市越穷事越多防民之口，甚于防川。
1698698981# #被孙子污蔑弄湿床垫老人遭儿子殴打孙子很坏，儿子没人性，爷爷很痛苦。
1695202836# #凉山多名百万级网红被捕视频平台被茫茫大士，渺渺真人，甄士隐，贾雨村四位大神占领。
1695250716# #国内成品油价年内第十涨年内第十次涨价，还会涨几次？？
1697537830# #四川又一恶犬追咬2名幼童又一恶犬，如何杜绝这种事情的连续发生？？
1693006648# #住建局回应715万建牛郎织女雕塑从流程上挑不出任何问题，其他……
1698292237# #社保局员工上班闲聊一两个小时不叫号聊的什么内容？？
1691704314# #19岁男生送外卖撞车被家人骂去死二十年后他的家人躺在病床上的时候还会记得今天说过的（去死吧，不管你的事）。
1700444091# #网友实名举报安徽云梦泽公司非法捕捞不了了之……
1689284612# #郑州一小学强制家长轮流站岗家长无条件的配合，因为自己的孩子在学校手里。
1702364909# #教科局局长辱骂学生家长，还称“啥也不怕”！当地通报郭某某教育孝义市
1699680870# #院长之子中学就参与发表高水平论文蜡烛蜡烛蜡烛阿弥陀佛！
1691189577# #河南近百亿灾后重建资金出问题一部分人先富起来了。
1700554724# #天价白酒董事长称再贵5倍也值具体值多少钱要看市场。
1690237616# #齐齐哈尔体育馆坍塌事故遇难者身份公布蜡烛蜡烛蜡烛阿弥陀佛！
1697248369# #孙海洋向寻亲家长道歉是什么人不想重判人贩子？为什么？？
1691530362# #罗平警方通报持刀伤人案件又是精神病，监管人是否有责任？
1694729414# #抗日小饼干🙏🙏🙏阿弥陀佛！
1696469948# #迷笛盗窃事件或受短视频误导🙏🙏🙏阿弥陀佛！肚子疼怨灶王爷。
1701136241# #北京现有艾滋病感染者及患者27285人如何从源头上控制艾滋病的扩散？？
1690237788# #不该对齐齐哈尔事故保持沉默齐齐哈尔坍塌事故学生家长发声🙏🙏🙏阿弥陀佛！
1697776472# #警方回应女子产后疑被婆家逼死这种家庭暴力更可怕。
1702362374# #网红恶意营销打造低俗人设将被整治蜡烛蜡烛蜡烛阿弥陀佛！
1702160075# #拖拽妻儿男子回应称非常后悔用非常后悔来平息舆论……
1696232107# #人死后体内重要部分还能继续活多年蜡烛蜡烛蜡烛阿弥陀佛！
1690026313# #外卖员自拍2次裤裆拔毛放入餐食客服：如核实属实，会严厉警告并罚款。这样的处理方式谁能接受？？？
1688710888# #7旬老人为救17岁女孩当场遇害🙏🙏🙏阿弥陀佛！
1694384409# #男子抢劫156元分赃30元躲进山洞14年抢劫是重罪，不值得同情。
1695780597# #警方通报女子被住建局保安踩脚下这事如果不被曝光……，住建局能保下来这几个保安吗？
1688595885# #2年被家暴16次女子希望判丈夫死刑🙏🙏🙏阿弥陀佛！
1692071618# #取已故丈夫190万银行存款遭拒🙏🙏🙏阿弥陀佛！
1703776800# #月嫂虐待新生儿掐脖子打耳光蜡烛蜡烛蜡烛阿弥陀佛！
1694117164# #教育局回应小学教师打伤学生头骨监控去了哪里？？怎么一到关键的时候监控就出问题？
1699134295# #超市老板猥亵14岁小女孩被行拘9日猥亵小女孩……行拘9天，是超市老板手眼通天？还是法律……
1700621547# #曼谷街头现多名中国籍毁容乞讨者蜡烛蜡烛蜡烛阿弥陀佛！
1698319502# #警方调查长江大学讲座播放不雅视频长江大学回应主题讲座播放不雅视频是病毒？还是病毒？
1691645753# #网红称要让补课行为在浙江断根学校老师负责卖锁头，补课班负责卖钥匙🔑。
1692908595# #女子晒单位处长送情趣内衣做礼物“谢谢高副处长的礼物，我会好好努力为人民服务的”“景科长知道我心情不好送的礼物超好看的小香蕉……
1696124063# #女孩租房一年反复过敏发现床垫发霉过敏的人越来越多，各种各样的过敏，抗过敏药又比较贵……
1700864687# #更适合脆皮年轻人的八段锦教程练习八段锦的关键是坚持。
1692108784# #视觉中国称涉事图片的销售授权链条清晰完整🙏🙏🙏阿弥陀佛！
1701588034# #官方通报三甲医院超收22万医疗费经查，该院存在过度诊疗、过度检查、超量开药、重复收费、套用收费、超标准收费等问题，涉及违规医疗总费用21.82万元，其中违规使用医保基金18.70万元。
1699526295# #湖南一小学食堂疑吃出白毛鼠头是否找江局长鉴定过？？
1703635236# #卫健委否认医护集体跳楼卫健委介入医护疑为讨薪蹲坐窗边卫健委否认医护集体跳楼四川多名医护人员集体爬窗讨薪蜡烛蜡烛蜡烛阿弥陀佛！没欠工资，没人跳楼，平安无事，都是闹着玩。
1698813059# #专家称房价大幅下跌老百姓最吃亏蜡烛蜡烛蜡烛阿弥陀佛！
1702855396# #老人住院因子女不看望伤心过度自杀蜡烛蜡烛蜡烛阿弥陀佛！别忘了还有因果轮回。
1695675523# #济南国资平台甩卖1341套现房甩卖？应该是高位变现吧。
1698528870# #男子为满足特殊癖好开发换妻APP该男子的第一批用户里面有他的父母吗？
1692343411# #视觉中国称支持戴建峰报警🙏🙏🙏阿弥陀佛！
1692661106# #多个孩子被中介2万一个带到缅甸有些中介为了钱什么活都敢接。
1697928613# #青岛啤酒风波知情人发声🙏🙏🙏阿弥陀佛！
1690621587# #警方通报主持人涂磊被指性侵初步诊断为幻觉妄想状态。
1694075918# #被男老师打破头骨女生父亲发声这个老师不是一般的狠，等官方调查结果。
1703296811# #老人去世后房子被物业改成宿舍蜡烛蜡烛蜡烛阿弥陀佛！
1694115897# #9月8日早报。。1.长沙一9岁女生被老师击打致头骨破碎，校党总支书记停职，涉事教师涉嫌故意伤害罪被刑拘。。2.内蒙古杭锦旗一企业发生高压气体喷出事故，目前致9死3伤。。3.警方通报洛阳理工学院刑案：受害人死亡，嫌犯作案后跳楼自杀。。4.河南林州拿快递失联女孩遗体被找到：排除他杀，符合坠亡。。5.迎新
1700095218# #女儿追星被骗12万环卫工妈妈抹泪为什么要追星？是什么原因导致的追星？
1690128908# #7月24日早报。1.黑龙江齐齐齐哈尔三十四中体育馆楼顶坍塌，第11人被救出。2.杭州富阳降暴雨引发洪水，村委会工作人员称5死2失联。3.安徽蚌埠警方：女子造谣“奥园三具无头女尸”被行政处罚。4.辽宁警方田间地头偏僻荒野查毒品原植物：铲除罂粟264株处罚2人。5.青海民和警方缉枪治爆添战果：群众上缴手
1701834798# #河北一镇政府到老人家没收过冬煤球蜡烛蜡烛蜡烛阿弥陀佛！
1702764566# #罗永浩炮轰东方甄选🙏🙏🙏阿弥陀佛！
1698611766# #男子砍人未被罚数月后驾车撞死母子2人最害人的是那几个保护伞。
