1679806719# #人口下降雪崩，没有人，谁来买房子？现在已经够几十亿人住的房子，没有人来接盘。
1696143352# #因押注地产股，所有基金遭到清盘，善祥基金董事长关善祥去世，才38岁。
1699476417# #大饼比秃中期续涨，短期高台“旗型”整理。
1669332003# #11月24日上证指数报3089.31点，下跌0.25%，成交额3081.90亿。深证成指报10956.68点，下跌0.15%，成交额4398.69亿。创业板指报2335.52点，下跌0.21%，成交额1426.02亿。总体上个股涨多跌少，两市超2600只个股上涨。两市成交额7481亿，较上个交易日缩量824亿。盘面上，钠离子、医药商业、贵金属、房地产
1671796078# #今天股市收盘，上证指数微跌，收了个假阳线，目前已经破位所有短、中、长期均线。
1681415818# #允悲
1668818553# #泾川文汇加油北京国安
1677291028# #早晨，日头慢慢被咬去半边
1689972018# #大饼比秃5日20日均线、MACD、kDJ.处于三死叉状态，调整继续。
1659667440# #在当地时间8月4日举行的特斯拉股东大会上，CEO埃隆·马斯克介绍说，长期来看，擎天柱(Optimus)机器人将比汽车更有价值，将会彻底改变经济。。擎天柱是特斯拉此前发布的人形机器人，按照计划将在今年特斯拉的AI日上。
1670366514# #隔夜美股三大指数集体收跌，继破位5、10日均线后，破位20日均线。
1688244255# #国家大剧院造型有点象“水煮蛋”
1679782691# #美国硅谷银行、签名银行、第一国民银行的危机暂时消停，那边厢德意志银行的雷初露端倪，真可谓出现一只蟑螂，周围的暗处肯定有很多蟑螂。
1682367310# #比秃绿色能量柱如水中倒影，团团簇簇，显示做空能量在短期内有扩大的迹象，虽说下插到26900又迅即拉回27000上方，大抵是为了爆多再爆空高杠杆，继续向下测试26500寻求支撑是大概率事情。
1682070704# #孙割
1685490924# #大饼比秃反弹冲高受阻于60日均线，下面的支撑5日均线。5日均线依次和10日、20日均线发生金叉，后续动力犹在。
1669940932# #12月1日，上证指数报3165.47点，上涨0.45%，成交额4621.85亿。深证成指报11264.16点，上涨1.40%，成交额5961.66亿。创业板指报2381.18点，上涨1.53%，成交额1895.97亿。两市合计成交10583.51亿，重回万亿。总体上个股涨多跌少，两市超3200只个股上涨。盘面上，乳业、食品加工、信创、饮料制造等板块涨
1702079257# #赞
1692072076# #金融监管总局表示正在与相关部门密切协作，研究制定个人税收递延型商业养老保险试点与个人养老金衔接的政策文件。。根据试点政策，税延养老险的投保缴费税前扣除限额按月收入的6%和1000元（或年收入的6%和1.2万元）孰低确定。
1663713051# #比秃鼻受压于5日均线，跌落在17000～22000箱体中轨19500之下，在下轨和中轨之间徘徊。
1667946219# #源于FTT的崩盘，加密货币市场暴跌，比特币也未能幸免，从21000附近开跌，最低下探至17166附近，差点击破17000～22000箱体下轨，所幸有惊无险，在抄底盘的介入下，拉回到18000上方盘整。
1657051983# #美国三大股指均低开高走，但收盘姿态有所不同，呈现一跌两涨局面。。道琼斯低开下探再高走“锤头线”，跌0.42%，收在在5日均线下；。纳斯达克涨1.75%，低开高走，收复5日20日均线，成交量却有所萎缩；。标普涨0.16%，收复5日均线，仍然受到20日均线压制。。三大股指均处于下跌
1658356719# #7月20日，上证指数报3304.72点，上涨0.77%，成交额3834.23亿。。深证成指报12573.12点，上涨0.63%，成交额5690.50亿。。创业板报2765.16点，上涨0.52%，成交额1968.80亿。。总体上个股涨多跌少，两市超3100只个股上涨，近百股涨超9%。两市成交额9525亿，较上个交易日缩量442亿。。
1660216466# #木有长相、学历、背景优势的凤姐，还是有点个人英雄主义的奋斗精神。
1687981495# #人民币贬值ing
1656109214# #自然品质人性。男性更喜欢善良、智慧、美丽和年轻；。女性更喜欢善良、智慧、财富和地位。
1693008822# #2023年中国注册会计师开考第二天。昨天考会计、税务、经济法，。今天考审计、财务成本管理、公司战略与风险。今天还有综合阶段的测试。。秋老虎南方高温难耐，顶住，加油！。注册会计师考试注册会计师
1698173564# #北宋奸臣蔡京给小儿子蔡九谋了个杭州知府的位子，蔡京的夫人有点儿担心，认为蔡九丛小读书习武样样不行，还是让他从基层做起，先历练历练。。蔡京说:“他没那本事，我才不敢让他从下面做起。下面办事都是真刀真枪，做不好连个背锅的都没有。做了官，有了权，就不一样了，下属会帮你出主意，真把
1676287970# #炕饼
1668754093# #FTX新任CEO向破产法院披露，公司内部管理失控并滥用资金，如挪用资金，为员工个人购买住房等。
1663888723# #早ﾉ☀
1674277439# #晚上少吃。第一个是不变胖。因为你晚上吃东西，就全部变成垃圾，变成脂肪留在身体里面了。。第二个是不会让我们的心、肺和肾缺血。你晚上吃得多，这个血都跑到胃里面去帮助消化去了，那么心脏缺血，如果本身有心肌梗塞，就容易发生突然死亡。。第三个是我们人体在饥饿状态下，体内
1666580502# #贵州茅台跳空低开大跌
1669421092# #隔夜美股三大指数一涨两跌，道琼斯涨，纳指、标普跌。
1703493229# #北半球的中国在寒冷的冬天，南半球的澳大利亚正处于“高温酷暑”，遭遇45⁰C热浪袭击
1662898334# #吴亦凡、李易峰，原来都是演老炮儿的。
1697269188# #现代版的农夫与蛇的故事？
1694035498# #大饼比秃进入寂静，在25700附近徘徊，从月线来看，似乎是在进行二波调整。近期现货ETF申请、老美加息减息政策、老美SEC与瑞波的缠斗等消息，时不时拿出来，趁机画门或挖坑。支撑价格的是四年一度的减半周期。
1690283665# #普京认怂，不敢肉身出席今年9月份在南非举行的金砖峰会，普京害怕会被作为战犯被逮捕归案。
1664395576# #美元离岸人民币大跌，“空中流星”，从7.2回到回到7.1范围。
1666164386# #10月19日股市收盘，上证、深指、创业板、科创50集体收跌，分别跌1.19%、1.43%、0.86%、1.09%，成交金额缩小共516亿元，分别萎缩129亿元、225亿元、105亿元、57亿元，市场上涨家数：下跌家数为1402：5066，涨停：跌停为56：8。。5G有12家涨停连板4家，华为涨停10连板4，军工涨停9连板3，数字经
1677131981# #“FOMO”，即“Fearofmissingout”，“害怕错过”，患得患失的焦虑情绪。
1689973438# #东方既白，如橘，如青衣。
1670881344# #早ﾉ☀。管控放开了，病毒也放开了，看自身的免疫力+药物加持，度过阴云笼罩的困难时期。
1692037522# #蜕变中的崔永元：长舌如剑到温润如玉。时光老人善于改造一切，即便坚如磐石，也会“铁杵磨成针”，“化精钢成绕指柔”，何况是肉身崔永元。。▲慧极必伤。崔永元主持的央视《实话实说》风靡一时，风头无两，后各大电视台纷纷效仿，造成小崔的收视率下降，彻夜难眠，情绪焦虑难以自抑，不得不辞职
1693684201# #只要不关注任何人的动态，。不揣测任何人的想法，。不去设想一些没发生的事情，。简单点，钝一点，慢一点，。你会发现，你将过得很自在。（罗翔）
1690226563# #快六十岁的巩俐膀大腰圆，适合演金甲武士。
1661411235# #普京叹气。原本想很快拿下，结果打了半年也搞不定乌克兰，反而损失惨重，进退失据。
1682537940# #美股三大指数破位，终于引发比秃币暴跌，只不过这个暴跌是先涨后跌，就像画门诱多，昨天的上涨就像暮春时节的春梦，今早凌晨醒了。
1656759296# #催情神药？。
1656976980# #之江生物好像是做“猴痘”药品的。
1696453722# #大饼比秃20、200周微重合，就在此处纠缠，周kDJ金叉是支持向上的。姨太跟风比秃，较弱。
1669340753# #段永平：“任何时候都不应该用杠杆，杠杆是用股票抵押的，而且券商可以随时改变允许你借钱的比例，时间长了碰到一次爆仓可能就回到解放前了”。
1668327848# #美国证券交易委员会（SEC）主席GaryGensler在接受采访时谈到加密货币监管和加密货币交易所FTX的问题。。GaryGensler表示，当加密货币交易所在没有披露信息的情况下，将一堆客户资金混合在一起并进行抵押借贷时，投资者会受到伤害。。“我认为投资者在这个领域需要更好的保护。但我想说
1691573549# #王健林的对赌协议。万达商管是大连万达集团旗下最核心的资产之一，负责万达旗下470多座万达广场和130余家酒店的运营和管理。将这块核心资产运作上市，并使其价值在资本市场充分体现，是万达集团董事长王健林的夙愿。更重要的是，该动作还关乎万达的资金链安全乃至公司存亡。。为筹备重
1697902047# #“方丈”称谓最早起源于道教。在道教中，讲“人心方寸，天心方丈”，“方丈”是对道教十方丛林最高领导者的称谓，亦可称“住持”。
1656014248# #美三大股指日kDJ低位金叉，造就小反弹上涨。
1701990999# #回归5日均线调整比秃技术指标
1668194576# #早ﾉ☀。深秋初冬，早晚寒凉，中午酷热
1671161611# #欧洲央行行长拉加德表示，必须要有监管，以保护消费者免受加密货币风险的影响。
1660909897# #俄乌战场，多数人只记住海马斯，忘记了哈姆，俄最先进的防空武器被摧毀后，才发现乌军竟装备哈姆，一旦被哈姆锁定，雷达关机都无法躲避，3.5倍音速，很难有武器能干掉它，沒人注意到哈姆也是情理之中，来到战场后，哈姆很快就清掉对手，基本沒机会亮相。
1666914764# #10月27日，上证指数报2982.90点，下跌0.55%，成交额3813.30亿。。深证成指报10750.14点，下跌0.63%，成交额5425.79亿。。创业板指报2337.25点，下跌1.5%，成交额2050.45亿。。总体上个股跌多涨少，两市超2500只个股下跌。两市成交额9239亿，较上个交易日放量97亿。。盘面上
1659394559# #继续看多。比秃鼻在日布林上轨和中轨之间震荡，周K线已经连续三周在5周均线之上，进场累积的成交量的能量没有释放，继续看反弹做多。
1676024957# #以太坊上海升级就是允许用户取出质押中的以太坊和相关的奖励，2023年3月将是以太坊网络上海永久分叉的启动日期，通过此次上海升级，以太坊网络将完全过渡到股权证明（PoS）。
1656568775# #老百姓，活在社会的最底层，却永远是风险的最顶端。
1688574102# #大饼比秃日线指标趋弱，产生短期调整，在30000上方震荡。
1683260452# #势不可挡：趋势不是一天才形成的，且趋势一旦形成了，更不可能短期就结束的。
1668469678# #隔夜美股三大指数冲高回落收倒锤头阴线，偏离5日均线过远，有调整要求。
1697068574# #微风
1699191793# #方舟投资管理公司创始人凯茜·伍德在一次最新访谈中表示，她将毫不含糊地押注比特币，而不是黄金或现金，以防范未来10年可能出现的通缩。伍德重申了她的观点，即在人工智能、电动汽车、机器人、基因组测序和区块链等新技术的支持下，她预计将迎来一个价格下跌的时代。伍德说:“比特币可以对冲通胀和通缩
1669760025# #早ﾉ☀。降温10⁰C，微风轻雨亦是寒。
1669846331# #早ﾉ☀。十二月，你好，2022年尚余一个月时间。
1668601084# #Coinbase称由于FTX的崩盘，加密市场的寒冬将延长到2023年年底。
1678190875# #美SEC主席认为除比特币外，几乎所有类型的加密交易都已属SEC管辖范围，即属于证券监管范围。
1674953532# #比秃币在5日均线附近徘徊，等待一波拉升。
1676419266# #阴苦一周，今天放晴。
1697922502# #一觉醒来，大饼比秃已然窜到30000，日kDJ金叉多日，MACD“空中加油”，做多气氛弥漫。就这样，还是处于机构的平均成本附近，特别是币价穿越日200ma，这是长期成本线，”雄关漫道真如铁，而今迈步从头越”。
1686057024# #允悲
1668766931# #瓦罐不离井上破
1682170758# #狗狗币基金会董事MarshallHayner在接受FoxBusiness最新采访中驳斥了Dogecoin（DOGE）属于证券的观点，他表示证券通常是一种金融资产，具有未来收益预期和其背后的中心化实体，这些特征都不适用于Dogecoin。此外，与其他加密项目不同，Dogecoin创始人JacksonPalmer和BillyMarkus并没有利用该项目积
1691872937# #拜腾汽车曾跟蔚来、小鹏、威马并列称为造车新势力“四小龙”，如今却落得被申请破产。
1668560171# #《全球黄金需求趋势报告》显示，各国央行正在以55年来最快的速度抢购黄金
1670802612# #比秃鼻骑上20日均线，17000附近盘整。
1693744126# #赞
1700946522# #日K线三角形整理，有收敛向上的架势，那边厢MACD仍然处于顶背离状态，这个局怎么破？。比秃技术指标
1668808410# #早ﾉ☀。阳，代表温暖，热烈，生机勃勃，可是在医学上不太友好，一旦检测为阳，意味不正常。
1665044104# #罗刹国人贪婪土地+嗜血凶残+毫无诚信
1691456228# #赞
1680215026# #隔夜美股三大指数继续反弹，涨势收盘。
1700008224# #哈马斯的“地道战”
1668559925# #伯克希尔三季度建仓台积电，共买入6006万股，持仓市值达41亿美元，占总仓位比例为1.39%，居其十大重仓股之列。
1670618900# #上证指数收复3200整数关，站上5日均线，短期均线悉数踩于脚下，现在强势调整，蓄势挑战上方的年线。这个年线大概率在不远的将来攻占，因为必须攻占，才能提升市场信心，营造牛市气氛。国有股权必须在高溢价下抛给市场接盘，获得财政收入，才能弥补疫情影响部分财力的不足。
1660084364# #8月9日，上证指数报3247.43点，上涨0.32%，成交额3914.16亿。。深证成指报12331.09点，上涨0.24%，成交额5615.87亿。。创业板指报2694.80点，上涨0.71%，成交额2116.87亿。。总体上个股跌多涨少，两市超2400只个股下跌。两市成交额9530亿，较上个交易日放量4亿。盘面上，Chiplet
1671927328# #你爷爷工作一失误，我爷爷就得“要命”
1687602793# #祸起萧墙，俄罗斯内战正式开打了。。无论怎样，普京、绍伊古、普里津戈下场都不会好，堡垒是从内部攻破的。。记得三国时代，袁绍在官渡被曹操战败而病死，但是袁氏还是存在一定的军事势力。如果袁绍的三个儿子一条心，联合起来群殴曹操，还能苟延残喘一段时间，结果袁氏兄弟争权夺利自相残杀，很快
1677399898# #普通老百姓莫得选择。上半辈子拼命挣钱谋生存，。下半辈子耗尽钱财保命求活路。
1664918608# #早ﾉ☀。“昨夜秋风凋碧树”，国庆的气温从“夏天”回到了秋天。
1664485053# #放屁的人，往往感觉不到自己的“臭”，而近处身边的人感觉有时恍如身处桑拿熏蒸，比如“二手烟”。
1675371587# #美股指数两涨一跌，纳指、标普涨，道琼斯跌。。比秃币在平台震荡，平台的高点有所上移，一度突破24000上方，现回落至24000下方盘整。。比秃币月kDJ低位金叉，周技术指标5周20周均线、MACD、kDJ都处于金叉状态，因此中长期多方态势明显，因此可以不理会比秃币短期涨涨跌跌，不追涨，在小周
1694220304# #这块土地，这些人，终其一生，大多所行，不过苟且二字。。所谓风光，不过苟且有术;。行路坎坷，不过苟且无门，基本不过如此而已。（陈寅恪）
1673991461# #比秃币日K线多头排列，反弹行情未了。
1669422211# #孙宇晨正将交易所Poloniex与Huobi合并
1697314730# #“汪星人”是老人的小宝宝
1670768812# #周围到处都是囤药的，感冒类药品抢光了，就象物价上涨时抢盐、抢酱油等生活用品。
1669033498# #CPA考试，如果一年过2，3年可以过六门，关键是中间不能掉链子，不然计划打乱了。
1697661143# #中国足球为什么这么菜？古人可以给出答案。。近日，越南青训教练谈到了中国男足的实力，他表示很不可思议，他认为中国是拥有14亿人口的大国，按理说中国男足应该是亚洲顶级强队。。事实上，大家非常清楚，中国足球非常菜，菜得不能再菜了。。中国足球为什么会沦落至此，《晏子使楚
1692421982# #全球女性最想睡的男人是谁？。是布拉德·皮特！。曾经长期霸占全球女性最想睡的男人榜单第一名！。他曾被美国《人物》杂志两度评为“全世界最性感的男人”，又被英国《帝国》杂志列入到“有史以来最伟大的电影明星”榜单。。皮特非电影专业，而是半路出家，坚
1679469343# #允悲
1662502932# #9月6日，上证指数报3243.45点，上涨1.36%，成交额3786.36亿。。深证成指报11799.81点，上涨1.04%，成交额4905.21亿。。创业板指报2540.64点，上涨0.10%，成交额1554.85亿。。总体上个股涨多跌少，超3600只个股上涨。两市成交额8691亿，较上个交易日放量994亿。板块方面，环氧丙烷、TO
1698376363# #统计局：1—9月份全国规模以上工业企业利润下降9.0%
1671706207# #科创50指数已经失守所有短、中、长期均线，日kDJ快线持续走平处于钝化中，指数下跌尚没有止境。
1663195740# #国务院常务会议：决定进一步延长制造业缓税补缴期限，加力助企纾困；确定专项再贷款与财政贴息配套支持部分领域设备更新改造，扩市场需求、增发展后劲；部署进一步稳外贸稳外资举措，助力经济巩固恢复基础；确定优化电子电器行业管理措施，降低制度性交易成本，更大激发市场活力；决定核准福建漳州二期
1672959899# #公元新年以来，上证指数收复5、10、20、30、60日均线，并且挑战半年线成功，成交量温和放大，巩固半年线，挑战年线，发动春季攻势。
1696463394# #基金经理葛兰巨亏234亿元跑路了
1692406130# #从无漏算的老李释放了什么信号？。近日，香港首富李嘉诚的长实集团在内地和香港都采取了降价策略来推销楼盘项目。老李纵横江湖九十余载从无漏算，这个房事估计拔凉拔凉的。
1672204645# #知名加密交易员BenArmstrong在26日分享了他对于比特币未来几年的看法。在社交媒体上，他表示，到2023年底，比特币可能回升至3万美元左右。同时，他预测，到了2024年，比特币价格可能会再创历史新高。他强调，2024年比特币价格会上涨的原因在于他相信比特币在减半后会上涨。不过，他也预测，到了2025年
1658221566# #今天股市收盘，上证指数一枝独秀，以微弱红盘报收0.04%，收回5日均线和半年线，深指、创业板、科创皆以绿盘收跌。。与华为有关的概念涨幅居前，与电有关的概念跌幅居前。
1689889278# #医德如此，这是真得吗？
1660082096# #“有钱就变坏”的基金网红
1688413891# #大饼比秃月、周、日三个周期的kDJ都处于金叉状态，看多。
1677821480# #美股silvergate加密货币银行暴跌50%引发币圈突然大瀑布，比秃币、二姨均破位下行，大跌5%左右
1661989685# #早ﾉ☀。秋风正起，凉意习习。
1690201667# #拆东墙补西墙：加快地方政府专项债券发行和使用。要有效防范化解地方债务风险，制定实施一揽子化债方案。
1703120639# #赞
1656200842# #箱体上轨处徘徊。比秃鼻目前运行在17000～22000箱体上轨处，日kDJ金叉+日MACD开始出现红色能量，支持反弹继续，但力度不大，因为成交量阶梯型缩减。需要警觉的是，一旦放量价涨，当心假突破诱多，因为是反弹而非反转，调整的时间和空间还不够。
1673874798# #韩国金融监督院院长LeeBok-hyeon表示，韩国金融监督院正在计划通过各种方式来管理虚拟资产市场的风险，将通过制定与虚拟资产相关的会计准则来引导信息披露。
1676705756# #现在部分地区的财政穷得叮当响，有点慌不择路了。以前房屋贷款人是需要提供收入证明的，比如单位盖章的工资单，这个拿工资的人当然有年限限制，现在管不了这些，有点“穷不择妻”，可以把贷款人的年龄放宽到八九十岁，甚至百岁，控制风险的方法就是让子女后代担保，“父债子还”的连坐制，“贷贷相传”
1663942690# #全球指数皆跌，除了美元。
1698723615# #造成中国落后的原因是中国人内在精神的黑暗（黑格尔）
1692908520# #美股三大指数阴包阳暴跌，被带节奏，昨天跳起来的大饼比秃回到了26000附近，继续震荡。
1697368623# #人性的丑陋就是在无权、无势，善良的人身上挑毛病，在有权，有势，缺德的人身上找优点。（莫言）
1691439310# #大饼比秃昨晚挤破29000，最低下探至28701，今天凌晨又拉回29000上方。短期走势扑朔迷离，长期比拼的是耐心。
1656372919# #大周期仍然处空头。比秃鼻5月20月、月MACD、月kDJ都处于死叉下行状态，周线的三指标复刻月周期指标状态，所不同的是周kDJ快线J值因反弹由下行转为走平；日kDJ由金叉促成日K线反弹，但现在日kDJ已经勾头下行，反弹似有结束迹象。月、周技术指标仍然处于空头控制状态，并不因日周期的反弹而改善，
1690601166# #哈哈😃
1700132550# #有人说，很多时候，你看到的那点东西其实不叫信息，那是定向投喂的饲料。
1703298560# #穿红衣的金毛
1664634080# #少年村的老水车
1660778397# #比特币步入短期调整，在5周均线附近徘徊，从月周期来看，在双头的右下侧明显放量，显示有资金进场接盘，月kDJ快线已经向上勾头，显示多头能量的积聚。调整完毕，将大概率向上触碰双头颈线28000附近的区域。
1664059910# #比秃鼻重心转移至19000附近。
1679693417# #隔夜美股三大指数低开高走，站在5日均线上。
1657838799# #7月14日，上证指数报3281.74点，下跌0.08%，成交额4319.69亿。。深证成指报12602.78点，上涨0.75%，成交额5958.52亿。。创业板指报2819.13点，上涨2.63%，成交额1967.42亿。。总体上个股涨多跌少，两市超2600只个股上涨。两市成交额10279亿，较上个交易日放量856亿。两市成交金额重
1688762706# #影响大饼比秃短期走势因素主要有三类，一是监管，如美国SEC颠三倒四一会这，一会那的反复无常；二是流动性，如老美加息降息，ETF指数审批；三是个别项目的爆雷。这三个事件在短期走势中颠过来倒过去地用，多空双爆高杠杆。。大饼比秃有其自身的运行规律，那就是四年减半周期。以微策略为代表的
1701121249# #今年7～8月份也出现了顶背离，随着布林中轨的向下拐头，终以MACD调整到零轴附近+暴跌，当时最高31800。现在又出现了顶背离，但是已经上了台阶，在37000附近震荡，布林中轨还是向上的。。历史是简单重复，还是别开生面另起炉灶？只有时间知道。。比秃技术指标
1696741441# #世事无常
1665704196# #上证科创板成长指数将于2022年11月4日正式发布
1687792294# #越南将增值税税率由10%降为8%。中国一般纳税人有13%、9％、6%和零税率，还有特殊项目的简易征收率5%，小规模纳税人简易征收率3%
1669675435# #比秃鼻下跌，日布林带下轨附受到暂时支撑，但仍在16000上方。
1674974198# #南京发放房票去库存，有三个问题。1.这个房票票面价是否符合拆迁房的价值。。2.待价而沽的新房是怎样定价的。。3.不知道拆迁房和新房价抵消后，要不要买房人从口袋里掏钱出来。
1655941797# #因美联储加息预期加密货币将继续寻底。美联储埃文斯发言表示，下行风险很多，要保持警惕，准备调整政策立场，目前的通货膨胀显然太高了。通胀相关的坏消息是6月份支持75个基点加息的一个重要因素。我自己的观点与预期大致一致，2022年年底政策利率为3.25%-3.5%，2023年底前达到3.8%。
1693579816# #癌股背后的深渊
1668035237# #11月10日，上证指数报3048.17点，下跌0.53%，成交额3068.61亿。。深证成指报11055.29点，下跌0.79%，成交额4718.20亿。。创业板指报2399.34点，下跌1.36%，成交额1541.14亿。。总体上个股跌多涨少，两市超2600只个股下跌。两市成交额7787亿，较上个交易日缩量571亿。盘面上，供销社
1690249988# #中国注册会计师协会公布CPA人数。截止2022年底，共334898人，其中执业会员98099人，非执业会员236799人。。注册会计师中国注册会计师注册会计师超话
1669066477# #一觉醒来，比秃鼻已经滑落16000，似乎要再次测试12天前的低点15574的支撑力度。。什么是底？各有各的圭臬，需要从时间和空间来考虑。就时间而言，减半周期的来临是2024年，现在到减半周期之间的时间都是折腾，或借助加息、美股联动、交易平台或空气币的破产完成多空双爆的打压，或机构囤积资金
1693086088# #一大堆内外烦心事：。房事、股市、汇率、就业、经济……。美日韩同盟、北约驻倭办事处……。小鬼子居然得寸进尺，不经我们同意，胆大包天排核污水，叔可忍婶不能忍！。日本为排核污水斥巨资公关日本核污水排海公关预算700亿日本核污水排海公关预算700亿
1697046525# #军事人员与军事人员互相攻击，中间误伤平民，也该受谴责。。如果直接对对方平民进行攻击，这就是恐怖组织了，因为有违人性。
1683575208# #经济不乐观，股市居然大涨，原来是为了“发现央企价值投资价值”。。房子、车子……熄火，那么多人要发工资，还有林林总总的开支，没钱怎么办？启动股市，拉升股市，再高位减持，钱不就来了吗？
1672489031# #今年行情不好，方丈，但斌，李杰，冯柳，林园，张坤，朱少醒，付鹏博等基金经理，有真实的净值，几乎毫无例外的被群嘲了。但是大量的大V，实力远不如上述几位，但是由于没有实盘，还在进行年末复盘，收益率高的一批。作为雪球第一网络批评家，不得不继续进行我的打假...。来自宁守拙毋用巧的讨论
1692129513# #多年前杨澜访谈王健林就房价问题的对话。房价的一半被政府拿走了，还有一半是房产商的建设成本和管理费用。。房产商的毛利率大约是20%~25%。房价会下降一半是太美好的想象。
1676580106# #隔夜美股三大指数皆跌。比秃昨日涨势如虹，一举突破本次春节反弹新高，涨势太猛，有小时周期级别的调整要求。
1693763300# #延迟退休暂停，养老金双轨可能废除。
1679534285# #孙割被起诉了。美国证券交易委员会宣布对孙宇晨和他的三家全资公司TronFoundationLimited、BitTorrentFoundationLtd.和RainberryInc.（前身为BitTorrent）提出指控，指控他们未经注册提供和销售加密资产证券Tronix（TRX）和BitTorrent（BTT）。。美国证券交易委员会指控孙宇晨和
1694815901# #比秃在周布林下轨附近获得支撑，MACD、kDJ都处于空头状态，kDJ快线向上勾头显示中期空头在悄悄弱化。
1665216448# #好像是跑28公里，强度太大了
1684741117# #钟南山：6月底或是今年新冠第二波高峰，基础病人群要预防感染。
1681934138# #比秃、姨太“断头铡刀”式暴跌，破坏了日线上升趋势，30000和2000分别成为两币的关口，短期震荡不可避免。此番调整，修复偏离5周均线过远所致，中长期仍然是多头。
1669012183# #有一次性过CPA专业阶段六门全科考试的赞加油👏
1690051380# #看了一下，大饼比秃还是存在周K线级别的顶背离，日线级别死叉，需要一段时间消磨空头的能量。
1670155663# #暖和
1681415311# #比秃币顶背离，30000上方震荡，姨太不跌反涨，其他部分小币陷入疯狂上涨。
1699962451# #投资恒大股票亏损超百亿，华人置业刘銮雄：不怪许家印。。怪也不管用，光脚的不怕穿鞋的，虱子多了不痒，债多了不愁。
1670841289# #不检测不放心
1662590048# #9月7日，上证涨0.09，深指涨0.42%，创业板涨1.19%，科创50涨1.33％，市场成交量增加135元，上涨家数：下跌家数为2304：2435，涨停：跌停为67：12。。上证已经收复5日线和半年线，在20日均线处徘徊。深指、创业板、科创板仍受阻于半年线。
1681301473# #搜了一下，世界上平均每秒有4.2人出生、1.8人死亡。
1687063655# #全球房产有公摊面积的国家只有一个，这是真得吗？会不会是美帝的阴谋？
1666141139# #人难做，屎难吃，哪一行的饭碗都不好端。因在对永煤控股2017到2019年度审计执业中未勤勉尽责，出具虚假的审计报告，希格玛会计所被证监会没收审计业务收入343.87万元，并处以343.87万元罚款；。3名签字注会陈政、杨培华、于浩被警告，并分别处以5-25万元罚款，质量控制复核人赵琰被处以2
1663627671# #9月19日，上证指数报3115.60点，下跌0.35%，成交额2899.19亿。。深证成指报11207.04点，下跌0.48%，成交额3754.31亿。。创业板指报2350.38点，下跌0.72%，成交额1254.69亿。。总体上个股跌多涨少，两市超3600只个股下跌。两市成交额6653亿，较上个交易日缩量1341亿。盘面上，旅游酒店
1675976369# #各种鼓励生育的政策，就像隔靴骚扰，不得要领，因为最大的因素是经济上的，即巨额的养育成本，其次才是观念。
1656813841# #赵长鹏：正在与50多家加密公司进行收购对话。币安首席执行官赵长鹏在接受采访时表示，目前持有大量现金储备，正在积极寻求支持陷入困境的加密公司。赵长鹏强调并非所有项目都值得拯救，不想救助管理不善的公司，希望帮助大多数有一些流动性紧缩的公司度过这个周期，目前正在与50多家加密公司进行
1672405295# #“阳康”来也允悲
1679431618# #四小时顶背离明显，日技术指标多头排列完好，比秃币在28000附近，姨太在1800附近震荡调整，消化四小时顶背离，蓄势待发，调整完毕，大概率继续春季攻势。
1687721193# #大饼比秃月线显示在底部，周线显示调整过后正在转强。
1697493067# #夜间大饼比秃突然雄起，并“倚天一剑”上插针至30000，回落后仍然在28000上方。这个放量上插针可以说是试盘，看上方的抛压怎样，其次是爆掉高杠杆空单。周kDJ一直处于金叉状态，而日kDJ刚刚金叉，显示大饼比秃要保持强势一段时间。以微策略为代表的投资机构，大部分重仓的平均成本在29800附近。。大饼
1680927836# #允悲
1668472470# #11月13日，香港特区政府财政司司长陈茂波发文《稳慎推进虚拟资产业在港发展》，提到代币化的绿色债券预计年底前推出，这将成为全球首批代币化的政府绿色债券，金管局亦正研究数码港元，可作为衔接法定货币与虚拟资产之间的「骨干」和支柱，为推动更多创新提供所需的配套。此外金管局已于较早前进行
1657697642# #今天股市收盘，上证涨0.09%，收于3284.29，成交3941亿元；。深指涨0.56%，收于12508.89，成交5482亿元；。创业板涨1.63%，收于2746.89，成交1710亿元；。科创50指数涨0.34%，收于1052.79，成交金额463.1亿元。。上证、深指、创业板依托120日均线半年线支撑，消化均线、MACD
1701836440# #财政部：社保基金对股票类、股权类资产最大投资比例分别可达40%和30%
1664774776# #刘强东“破财消灾”，明州案终以和解告终，双方声明：误会一场。。章泽天回应刘强东致歉：人生总有风雨，但时间永远向前。
1697148863# #学术期刊《财会通讯》称“将免收养育三孩家庭作者的版面费”。
1700683650# #大饼日线略显颓势，但基本只在37000附近转悠，震荡消化浮动筹码，月、周技术指标多头气氛浓郁。比秃技术指标
1702122966# #秦岭带回的兰花草
1692297135# #大饼比秃周线级别的顶背离终以连续破位29000、28000，即便这样，周上行趋势仍在，但kDJ、MACD均出现死叉，空头占据了主动。
1656062381# #上交所原会计监管部总监林勇峰被双开：多次接受监管对象宴请
1662074358# #隔夜美股三大指数均跳空低开高，日kDJ快线走平且向上，酝酿一波暴跌后的反抽。
1670806736# #平凡日子里的挣扎平凡岁月岁月神偷平凡的荣耀
