1691455439# #涨知识good
1697941801# #骑车人：做梦都没想到还能这样被撞！允悲蜀黍说安全
1698626270# #割肾救子，母爱如海good
1697886002# #事故现场看热闹，结果自己也变成了当事人……哆啦A梦害怕蜀黍说安全
1699441200# #成都警方通报地铁3号线打人事件成都地铁情侣辱骂殴打同座女生，因座位纠纷发生口角，后引发肢体冲突。目前公安机关已依法对李某处以行政拘留13日并处罚金800元的处罚。衰景甜情绪稳定的人简直就是人间宝藏立冬蜀黍说安全
1692759601# #网友投稿：经过路口不减速不礼让，这是瞎子开车吗？费解蜀黍说安全
1688805840# #网友投稿：大爷上演"神预判"，往后一看扭头就跑，下一秒女子驾车撞墙允悲蜀黍说安全
1689597002# #网友投稿：危险nm………结局舒适吗？衰蜀黍说安全
1699930801# #监控记录下的惊险一幕！2岁女童不慎从6楼坠落，银行职员扔掉手机一把接住，网友：这一接，挽救了一个家庭good正能量蜀黍说安全
1698318001# #小车司机命大，还救了货车司机。good正能量蜀黍说安全调休
1692802800# #网友投稿：座椅调整角度引起后座不满，女子大声呵斥：谁告诉我必须立着坐。我的座位，我是不是应该可以这样子？费解蜀黍说安全
1700541000# #看似随手一丢，实则千锤百炼。太厉害了，点赞！赞赞赞中国正能量蜀黍说安全
1701092673# #宝马司机疑似操作失误，一脚油门冲进酒店大堂，幸好吧台没人。衰蜀黍说安全超话
1697462594# #警方已发现咬人黑狗行踪真是触目惊心，这看着都难受啊……哆啦A梦害怕母亲讲述女童被大型犬撕咬致肾破裂两大型犬撕咬2岁半女童致严重受伤
1702468801# #近日，江苏苏州，女子失足落水，河南周口籍“00后”外卖小哥跳下20米高桥救人。桥梁如此之高，天气如此寒冷，这是真英雄。赞赞赞救人瞬间正能量蜀黍说安全
1699398000# #近期的几起车祸！说安全千遍，不如看动图一遍！吃惊蜀黍说安全安全出行
1689939001# #7月20日，视频车司机发布一段行车记录仪视频叫网友评理，结果反遭到网暴！你们觉得他冤吗？费解蜀黍说安全
1700137178# #网友：抢来抢去，伤的可是自己，报应来的这么快吗？费解蜀黍说安全
1690027201# #网友投稿：列车上的一幕，这哥们好像摊上大事了！忍一时风平浪静退一步海阔天空……费解蜀黍说安全
1689843601# #有网友质疑，右侧白车变道时视频车故意加速。你认为这事故视频车有责任吗？衰蜀黍说安全
1695880801# #如果吸取此次教训，大爷应该以后再也不会闯红灯了。话说汽车会有责任吗？费解蜀黍说安全
1688828402# #网友投稿：太嚣张了！大众车强行插队，视频车没让，大众车强行别停视频车。汗蜀黍说安全
1697185801# #好悬，幸好没撞着人家小孩。衰周五蜀黍说安全
1696748400# #自助洗车插队，然后悲剧了裂开蜀黍说安全
1702096201# #网友投稿：太疯狂了，白色小车撞倒外卖小哥，司机下车扭头就走，看都不看一眼伤者！这司机绝对有问题，蹲个后续怒蜀黍说安全
1690844400# #近期的几起车祸！说安全千遍，不如看动图一遍！吃惊蜀黍说安全安全出行
1694149200# #电动车未戴头盔被小车撞飞，司机负全责。你认为司机全责冤吗？费解蜀黍说安全
1692665833# #十年绣一图good
1699266601# #网友投稿：“大家要原谅她，毕竟她小小年纪上半身就不好用了。”汗蜀黍说安全
1688260545# #驾照考试科目一考考你：下图哪个交通标志表示单行道？费解蜀黍说安全
1697761801# #女子将狗当儿子养，婚后拒绝生孩子！女子：我委屈了狗儿子。允悲全网的拉布拉多都在接受安全教育疯狗咬人不松口怎么办
1689811260# #网友投稿：理想的牛人不少，辅助驾驶不是自动驾驶，你可别把人家给害了……黑线黑线黑线蜀黍说安全
1697457600# #女子开车接父亲回家，被父亲“夸奖”开车技术好……允悲蜀黍说安全
1696555980# #路上常见这种与泥头车抢道的，太佩服他们了允悲允悲。午睡的时间不能太久了蜀黍说安全提前返程结果1小时开了10公里
1698325202# #网友投稿：男子疑因拦车致身亡。衰成都一男子马路中间拦车被带倒致死成都交警辟谣街头发生枪击蜀黍说安全
1688084640# #网友投稿：这么宽的路越线逆行，小车司机下车第一句就是：你慢一点啊！！衰蜀黍说安全人性最大的恶
1694750403# #真是一语成谶，下次还敢闯红灯吗？衰蜀黍说安全
1688616002# #男子逆行不戴头盔，被查后拒绝执法还殴打交警，结局很舒适！汗蜀黍说安全
1699850700# #幼童被海浪卷走好心大哥飞奔捞起幼童被海浪卷走瞬间，好心大哥飞奔将小孩迅速捞起。必须赞good救人瞬间正能量
1694152801# #网友投稿：可怜了小车司机，又得花时间去修车。这事故电动车应该全责吗？费解蜀黍说安全
1700980200# #充电器突然起火，哥哥上演教科书式灭火good正能量蜀黍说安全
1687907700# #江西航空【飞机换座不成，老太辱骂女子后反被升舱？江西航空回应】近日，“老太太坐飞机强行换座被拒，疯狂辱骂年轻女子，反被升为商务舱”事件在网络上持续发酵，引起网友纷纷吐槽。6月26日晚，央广网记者独家采访涉事航空公司江西航空，了解相关情况，江西航空回应网友质疑：并不存在升舱行为。。。6
1688879101# #网友投稿：这是昨天本人遇到的事，平时常在广州交警公众号举报违章，没想到昨晚会被被举报者找上来，不知道我的个人信息是从哪泄露的……哆啦A梦害怕蜀黍说安全
1698409802# #网友投稿：这是装货师傅的责任，还是货车司机的责任……费解蜀黍说安全
1688914801# #网友投稿：疑似司机错把油门当刹车，小车撞开道闸，直接冲入门口水池。衰蜀黍说安全
1687820400# #近期的几起车祸！说安全千遍，不如看动图一遍！吃惊蜀黍说安全安全出行
1694214001# #今日份生死有命、富贵在天。允悲（网友投稿）蜀黍说安全安全出行
1703662200# #江苏一女子遭遇街头抢劫，两位路人大哥见义勇为奋起直追，最终用漂亮的一脚飞踹擒住劫匪。这一踢踢得如此完美，视频下面日本网友们也纷纷给出了花式夸赞评论。good
1695601791# #患难之中显真情，不离不弃是真夫妻good
1697239801# #视频车看都不看就拐弯，两辆摩托被撞惨了。。。衰蜀黍说安全
1701523800# #对面司机乱用远光灯，视频车司机反复提醒无果开过去直接就撞。这样做合适吗？黑线蜀黍说安全
1698129000# #网友投稿：这么挤还变来变去？！我按喇叭提醒被别停谩骂……黑线蜀黍说安全
1698190201# #司机走神，撞到电车的动力电池了？衰蜀黍说安全
1689672601# #网友投稿：这都是啥人呀。。。费解蜀黍说安全
1696415401# #网友：自以为聪明，天降正义啊这也太快了鼓掌蜀黍说安全高速
1692430510# #人美心善，你是女孩的天使good
1704014236# #允悲
1702818001# #12月15日，内蒙古呼伦贝尔。货车司机大雪天淋成雪人流泪感慨：下辈子要好好上学。愿开大车的所有司机师傅都平平安安，健健康康的到家。good蜀黍说安全
1696910401# #两个睁眼瞎？大姐横穿马路不看后方来车，男子骑车直接将其撞倒。衰蜀黍说安全
1690244588# #涨知识good
1704191089# #允悲
1701390000# #男子落水危在旦夕，外卖小哥不畏严寒跳桥救人！好样的good救人瞬间正能量蜀黍说安全
1697544001# #小车把人行道堵上了，小姐姐挺身而出。遇到这种情况你会管吗？费解蜀黍说安全
1693828039# #驾照考试科目一考考你：上路行驶的机动车未放置检验合格标志的，交通警察可依法扣留机动车。这种说法是否正确？费解蜀黍说安全
1690938001# #网友投稿：你不让我我不让你，不怕外卖超时吗？费解蜀黍说安全
1702130403# #开车上下马路牙子也有正确步骤，学会后，安全上下路牙子还不伤车！good蜀黍说安全
1694649600# #请你停留一秒钟，为英雄点赞赞赞赞。他用身体挡住了歹徒煤气罐，为阻止嫌疑人炸楼，他用自己的身体挡住烈焰，救下了200余人，自己却被烧伤，先后经历了14次大型手术，40余次植皮。为我们的英雄张劼点赞致敬！中国正能量
1702198452# #这属于老天爷赏饭吃good
1701482401# #所有乘客冲出公交那一刻真的感动了！good正能量救人瞬间蜀黍说安全
1695537894# #真正的儒雅学者，也有文科男的通病允悲
1700875800# #网友投稿：最讨厌的就是“法不责众”，这次终于集体罚了一次，能说活该吗？只能说罚得好！good蜀黍说安全
1697281201# #母亲骑电动车搭载女儿，本以为躲过不料接下来，被撞后还骂骂咧咧。费解蜀黍说安全
1704238200# #大妈骑电动车追尾小车摔倒，家属以弱势群体为由索赔两千元，司机：我都没动你怎么就倒下了。交警认定：电动车负全责，大妈医药费自费，同时赔偿小车的维修费用。你支持交警的判罚吗？衰蜀黍说安全
1689337802# #网友投稿：斗气车路怒症不可取！这把大哥气得够呛，虽然上次的伤还没养好又开始了新的战斗……允悲蜀黍说安全
1689595201# #网友投稿：小孩把健身房当游乐场了……费解蜀黍说安全
1690369201# #小偷偷铜被抓遭鞭打，引发热议！公司负责人：小偷是惯犯，员工被网暴很诧异。费解企业负责人回应职工鞭打小偷被网暴
1701057602# #网友投稿：老小区本来车位就紧张，这银色小车还一车停两位，然后被小区居民教育了。。。黑线蜀黍说安全
1693056476# #【投票：你还会选择日货吗？费解】8月24日，日本核污染水排海正式开始。日本的海产品、日用品还能买吗？日料你还会去吃吗？日本国内超市停买水产品让日企心态崩了泰国将严查日本进口海产品日本排核污染水后的济南海鲜市场
1699588801# #红车错过出口后急刹变道，被撞“飞了还要负全责！你支持交警的责任认定吗？衰蜀黍说安全
1701741539# #老板免费送出的每一份盒饭，都是一份关爱与温暖，为他的善举点赞，祝老板生意兴隆good
1698645600# #网友：大难临头各自飞笑而不语蜀黍说安全
1690351201# #隧道里前车突然减速，导致后边连环追尾。你觉得这事故谁的责任？费解蜀黍说安全
1694170801# #网友投稿：老人想跟年轻人换卧铺，被拒绝后大放厥词：你妈白养你了。。。费解蜀黍说安全
1696393801# #好家伙！江西一街头上演追击式碰瓷：老人死拽车头狂跑硬贴碰瓷。费解蜀黍说安全
1703930401# #网友投稿：十字路口遇到红灯，车辆先右拐再左拐，这算闯红灯吗？费解蜀黍说安全
1692711001# #摩托车路口任性掉头，引发事故后选择逃逸，交警认定骑车人承担全责good蜀黍说安全七夕快乐七夕
1696217401# #国庆假期到了，一年两箱油的司机们开始上路了。衰蜀黍说安全国庆节高速
1702365616# #汗
1700917201# #女子乱停车还不留挪车电话，导致三辆车被堵一天一夜，结果车辆被砸。这样做合适吗？黑线蜀黍说安全
1698793200# #近期的几起车祸！说安全千遍，不如看动图一遍！吃惊蜀黍说安全退款11月你好
1697588842# #这些紫砂壶真美，绝绝子good
1701784027# #果断出手就对了good
1690586741# #good
1692063000# #网友投稿：能翻成这样了，这大货速度慢不了，真的害人害己！费解蜀黍说安全
1703985900# #网友投稿：前面白车大哥对不起，我不应该按喇叭催你，我真没看见“实习，新手”，多有冒犯允悲蜀黍说安全
1695186194# #4岁孩子坠楼邻居们秒变超级英雄“超级英雄”就在我们身边！小孩4楼坠落被邻居们合力用被单接住，点赞，祝好人一生平安！good
1701339040# #真的不能再跳了，考科目三的都搜不到科目三的教程了允悲
1702683001# #网友投稿：鞋掉了，这下撞的不轻。衰蜀黍说安全
1696149001# #这几天中国街头的一个视频，在外网火了，甚至有一点恐怖吃惊吃惊允悲允悲堵车国庆节快乐国庆节
1701349201# #老人醉酒深夜横穿高速被撞，家属索赔115万，司机：我都没看到人。费解文明交通你我同行蜀黍说安全
1703317467# #汗
1689901202# #网友投稿：男子躺在车底下睡觉，幸亏司机没有直接倒车。如果发生事故，你认为司机有责任吗？费解蜀黍说安全
1692356401# #网友投稿：小车司机在高速上与大客车别车斗气，这种人会不会被大客车上乘客揍一顿？费解蜀黍说安全
1692707402# #“我以为一点点距离，没关系！”女司机错过出口，竟然在高速上直接倒车，幸好交警及时发现，最终女司机被罚200元记12分，你觉得这处罚能让她长记性吗？费解蜀黍说安全七夕七夕快乐
1696840200# #被夹在两辆大车中间，凶多吉少了。汗原来不上班烦恼也挺多八天假期很短七天连班很长蜀黍说安全
1701694802# #红色小车错过出口随意急刹停车，造成后车发生追尾事故。交警：无接触也要负事故全责！good蜀黍说安全
1695727800# #插队还这么嘚瑟，终于不出意外出意外了。允悲允悲允悲蜀黍说安全
1694703601# #看着都软腿！肇庆奶奶从22楼爬到11楼救反锁的孙子！报警后被强行救下。真是本末倒置，开个锁几个钱？舍命不舍财。费解费解费解蜀黍说安全
1701091336# #太牛了good
1690326000# #近期的几起车祸！说安全千遍，不如看动图一遍！吃惊蜀黍说安全安全出行
1699110002# #网友投稿：路怒斗气要不得，骑电动车小伙和视频车怼上了费解蜀黍说安全
1701136802# #车辆违停，辅警叫来拖车将车准备拖走，车主与辅警发生争执，质疑辅警是否有拖车的权利？费解蜀黍说安全
1701397917# #遇到猛跑出来的鬼探头，是真的防不住允悲允悲允悲
1698894000# #女子被撞之际轿车紧急刹停，没想到后车跟上补刀。网友：不懂就问，这责任咋划分？费解退款11月你好蜀黍说安全
1695648600# #小孩被大意父亲碾压，起来后急忙说：爸爸不要怪我~~~挤眼蜀黍说安全
1702038601# #网友投稿：前面这白色本田思域跟对面的自行车是合伙碰瓷的吧……黑线蜀黍说安全
1689582596# #相互尊重good
1700919001# #不敢想他坠落的那一刻得有多害怕，公交女司机好样的good正能量救人瞬间蜀黍说安全
1698204602# #网友投稿：10月23日，辽宁，黑色轿车疑似油门当刹车，将一名老人顶着撞向围墙，女司机下车后惊慌失措大喊：哎呀妈呀……黑线蜀黍说安全
1697180400# #女子在动车车厢公然吸烟，潇洒欣赏沿途风景，乘警：下车去派出所。good周五蜀黍说安全
1697202000# #女子带二个小孩竟然在高速公路逆行掉头，交警蜀黍都怒了费解蜀黍说安全周五
1690891202# #陕西西安，男子不顾劝阻在河道中玩耍，险被被冲走。事发前曾有好心人大喊：赶紧上来，涨水了。可有些人就是不听。这叫好言相劝什么来着？费解蜀黍说安全
1688254201# #真坦克都不敢这么开。衰蜀黍说安全
1692966875# #网友投稿：这骑车的人情况还好吗？费解蜀黍说安全
1693651080# #【车祸后18个人54秒救了2条命】近日，浙江湖州街头突发车祸，一男一女被卷入轿车车底，危急时刻，18人瞬间集结，54秒成功将伤者救出。社会需要这样的正能量good蜀黍说安全
1687759200# #网友投稿：老人的座椅可以斜着，年轻人不行。汗蜀黍说安全你是为了自己的面子
1687867201# #网友投稿：太危险了，驾车经过落石路段应该尽快驶离。汗蜀黍说安全
1698138000# #三轮车为了躲避右转的小车侧翻，视频车招谁惹谁了。。。衰蜀黍说安全
1692624601# #开门杀，到底谁的责任？码住学起来good蜀黍说安全周一
1691989202# #网友投稿：318国道上堵车，谁都着急，越是插队越是堵的严重！费解蜀黍说安全曝光不文明
1700548201# #接这条：据悉骑手已经身亡！摩托车骑这么快飙车，赖谁呢…费解蜀黍说安全
1694527202# #出租车拒绝避让消防车，僵持一分钟后，消防车直接开过。消防回应：非故意剐蹭，交警认定：出租车全责，网友：结局引起舒适。good蜀黍说安全
1687959001# #网友投稿：后座载了小姐姐还压弯不知道是咋想的...？费解蜀黍说安全
1700571601# #女司机高速错过出口突然变道停车，导致后方货车侧翻，女司机说这与己无关。交警认定：女司机负全责！good蜀黍说安全
1692597601# #网友投稿：这种司机直接终身禁驾吧，你支持吗？微笑蜀黍说安全周一
1687740142# #高速发生事故后请牢记“九字警句”：车靠边、人撤离、即报警。ok
1692884269# #【受日本核污水影响最大的省份费解】日本核污染水排海正式开始，据分析，日本核污水240天就会到达中国沿海，1200天后覆盖北太平洋，对我国沿海的省份影响最大！。。韩国多个海鲜市场几乎空无一人日本核污染水排海正式开始
1703512800# #两小孩吵闹不止，被前方女子提醒后引发的事件！这事儿你觉得谁占理？费解蜀黍说安全厌蠢症一个好消息和一个坏消息
1698678002# #司机等红灯的时候看了一下手机。衰蜀黍说安全
1693528650# #铁观音不仅仅是茶，更是一份传统文化的薪火传承good
1701828002# #家长真失职，不过这孩子真棒赞赞赞蜀黍说安全
1690961763# #有些人真不适合开车费解蜀黍说安全
1695432602# #汽车违停挡路，老人为了自己走路方便，把电瓶车推倒了。。。费解蜀黍说安全
1704119914# #太可怕了🙏日本地震
1697970601# #网友投稿：高速路上倒车固然不允许，但后面的白车司机明显经验不足。你认为停下来的白车有责任吗？费解蜀黍说安全
1701844283# #真的很佩服这种无私付出的人good
1689840002# #小车逆行超车失败紧急躲避，刚出门口的老太太惨遭挤压…真的是飞来横祸啊衰蜀黍说安全
1689332469# #网友投稿：这种情况，你觉得大货车有没有责任？衰蜀黍说安全超话
1688801164# #网友投稿：摩托车强行闯卡上高速，多名收费员仍未截住。。。费解蜀黍说安全
1701507601# #网友投稿：这卫生打扫的可太敬业了！万一出事儿房东有责任吗？哆啦A梦害怕
1690333202# #两边都不减速，结果。。。你觉得这事故谁的责任？衰蜀黍说安全
1695780001# #三轮车乱停车，凯迪拉克司机也够执着，还不如下来推一把三轮车呢。允悲蜀黍说安全
1688716802# #网友投稿：老年代步车酒后撞车还想跑，真是无法无天了！哆啦A梦害怕蜀黍说安全挥刀自宫有多痛
1689667201# #网友投稿：自家客厅咋会有车？吓出一身冷汗，你猜她下次还敢吗？费解蜀黍说安全
1690586781# #允悲
1700908201# #网友：小小年纪咋这么坏？被推下楼的孩子情况还好吗……哆啦A梦害怕蜀黍说安全
1692594000# #网友投稿：4个卧龙凤雏凑一起了挖鼻蜀黍说安全
1687960801# #网友投稿：小车雨天打滑失控撞上护栏，车上有人被困。路过的黑色小车发现后，司机迅速下车查看伤者情况，将车上伤者抱到路边安全区域，之后他还想把发动机搬到路边，但由于太重实在没挪动。good蜀黍说安全
1701261001# #猝不及防”鬼探头“，女子跑步过马路被车辆撞飞！你认为谁的责任更大？费解蜀黍说安全
1691645401# #机动车行经人行横道时，应当减速行驶，遇行人正在通过人行横道，应当停车让行，客车驾驶员梁某全部责任，行人张某无责任。费解蜀黍说安全
1699417800# #网友投稿：咋就这么牛呢？挡着别人不觉得尴尬吗？黑线蜀黍说安全
1700749800# #言传身教，孩子啊，你有个有好爸爸good正能量蜀黍说安全
1693208694# #驾照考试科目一考考你：这个标志是何含义？费解蜀黍说安全超话
1691664329# #怎么不抓着自己老公游街啊允悲
1690628400# #抱孩子女子意外摔倒不省人事，路过的王晓梅及时伸出援手，获见义勇为奖励！向你学习，致敬！good蜀黍说安全
1694606401# #小伙被自己的拖拉机碾过，这都没事儿？就怕内伤。费解蜀黍说安全
1688824469# #【小调查：迪士尼禁止游客带凳子入园合理吗？费解】上海迪士尼禁止游客带凳子入园7月8日，上海。一女子在迪士尼乐园和工作人员争执的视频引发网友关注。视频中女子因工作人员不让其携带折叠凳子而情绪激动，与工作人员发生争执。迪士尼客服表示，园区规定折叠椅，凳子不能带入，至于为什么不
1692318747# #未接触也是前车全责黑线蜀黍说安全
1690864200# #网友：救狗一命胜造3.5级浮屠doge赞北京暴雨
1698157800# #货车行驶中大放浓烟，整条道路被笼罩，后车看不清径直撞上致报废！你认为这事故后车有责任吗？费解蜀黍说安全
1693714563# #驾照考试科目一考考你：图中驾驶人的这种违法行为会被记多少分？费解蜀黍说安全
1694666762# #投票：5999元你会买华为还是苹果？吃瓜
1694570400# #湖南一地未按箭头方向停车将被拖车、锁车处罚，你觉得这种规定合理吗？费解蜀黍说安全
1698796801# #请你停留一秒钟，向英雄致敬good。梁强在回家探亲途中突遇车祸，现场救出24名乘客，他自己却付出了全身烧伤85%的代价，靠6000多块植皮、40多次手术和两年多治疗才保住了性命！致敬英雄！这才是我们真正的英雄，才是我们新时代该追的星！11月你好正能量人民英雄永在心间
1687842001# #网友投稿：还是那句话，高速违规占用应急车道的处罚还是太轻了！能不能学学人家深圳？黑线黑线黑线蜀黍说安全
1689778802# #早一分种到就多一分希望，盘点交警那些开道的暖心瞬间！加油加油加油蜀黍说安全
1692255602# #网友投稿：这个交警很有耐心，听这口音就想吃羊肉串。馋嘴馋嘴馋嘴蜀黍说安全
1690034401# #网友投稿：还欺负人不？结局舒适吗？费解蜀黍说安全
1691028001# #网友投稿：坐在店里吃火锅，没想到也会有危险衰蜀黍说安全
1701759602# #铁道上这惊险一幕，你愿意为素不相识，却冒着生命危险救下拾荒者的平凡英雄点赞吗？！good救人瞬间救人瞬间蜀黍说安全
1702125001# #上海高架又现斗气车！出租车被网约车别车7分钟全程9公里，网约车司机因涉嫌危险驾驶被警方刑事拘留。这样的结局舒适吗？黑线蜀黍说安全
1689600601# #网友投稿：女子横穿马路差点被电动车撞上，因为骂了对方一句有病，男子骑车返回一巴掌将女子打倒，造成女子耳膜穿孔。费解蜀黍说安全
1691912700# #接这条：现场监控视频，这爆炸力太吓人了。费解山东一大街发生爆炸有人受伤
1702341634# #涨姿势good
1701088200# #真英雄！孩子掉进冰窟窿，热心大哥果断跳下去救起孩子，之后转身离开。为大哥的勇敢和善良点赞！good救人瞬间正能量蜀黍说安全
1701318600# #网友投稿：据说是因为楼上声音太大，楼下住户不堪其扰，沟通无果后楼下使用了震楼器，于是楼上的住户气呼呼赶来砸门了。汗蜀黍说安全
1702356157# #允悲允悲goodgood
1696854138# #官方通报男童游泳馆溺亡已关停涉事游泳馆，并成立事件调查组开展相关核查调查工作，下一步将根据调查情况依法依规严肃追责问责。
1702371600# #网友投稿：这司机真是艺高人胆大，看的我大气都不敢喘！允悲蜀黍说安全
1688628310# #【网传河南平顶山一司机疑似酒驾后排男子掏出警官证“我就问这能走不能”费解】7月5日，河南平顶山。有网友发布视频称，当地交警执勤中发现一车辆的司机疑似酒驾，后排男子掏出警官证说：“我就问这能走不能？”最终，司机不顾交警阻拦驾车离开。7月6日上午，河北广播电视台记者致电平顶山郏县交警
1694056575# #驾照考试科目一考考你：受伤者在车内无法自行下车时，可设法将其从车内移出，尽量避免二次受伤。这种说法是否正确？费解蜀黍说安全
1699885801# #网友投稿：据说是因为楼上声音太大，楼下住户不堪其扰，沟通无果后楼下使用了震楼器，于是楼上的住户气呼呼赶来砸门了。汗蜀黍说安全
1692842403# #网友投稿：违停堵了商家大门，打电话不接！这下爽了吧～费解蜀黍说安全
1701558000# #近期的几起车祸！说安全千遍，不如看动图一遍！吃惊蜀黍说安全安全出行
1700798401# #女子牵多条大型犬吓到小孩，家长愤怒欲用自行车砸狗，你觉得家长的行为可以理解吗？挖鼻遛狗请拴绳
1692248403# #网友投稿：这种情况可以找停车场赔偿车辆损失吗？费解蜀黍说安全
1689377847# #网友投稿：骂得好，最讨厌这些堵车时插队的大聪明～黑线一起来投票蜀黍说安全超话
1688709600# #网友投稿：为了自己不被晒，躲在树下等红灯。这种司机你见过吗？允悲蜀黍说安全小暑人还是要适当的世俗
1693580400# #路口突遇横穿电动车，如果你是司机，你能防得住吗？费解蜀黍说安全
1689308087# #民警和城管因摆摊问题发生争吵，最后城管默默离开……允悲蜀黍说安全
1688724001# #网友投稿：江苏连云港，女子打扮漂亮，被小屁孩尾随性骚扰……男孩：我现在就想摸你一下屁股！。。最后，男孩看女子拿手机拍摄才转身离开，嘴里还骂着傻X。。。哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕挥刀自宫有多痛
1699529400# #网友：这真是塑料闺蜜没脑子，正常人哪会抽人家屁股下的凳子啊汗蜀黍说安全
1697248801# #姑娘抡大锤疯狂砸车，这也太冲动了。费解蜀黍说安全
1691128802# #马路是我家？俩人一前一后翻越中间隔离带横穿机动车道，前者过去了，后者不幸被撞身亡。衰蜀黍说安全
1694329200# #暴雨天，没想到几个板凳立功了允悲允悲允悲深圳暴雨深圳泄洪香港的雨有多大蜀黍说安全
1692835202# #关键时刻，他们挺身而出！浙B61799、浙B5E176、浙FFN7898，为你们点赞！good蜀黍说安全
1688457600# #网友投稿：这个评论深得套路精髓。汗蜀黍说安全
1692801001# #网友投稿：骑士精神大战四轮精神，这事儿你觉得谁占理？费解蜀黍说安全
1704171601# #网友投稿：这么宽的路，黑色小车强行插到视频车前，结果被撞。不管两位司机之前是不是有事，也不能这样强行变道啊？费解蜀黍说安全
1688785201# #网友投稿：过路口不减速，这SUV车上的人还好吗？衰蜀黍说安全
1693821946# #【投票：你认为喝了茅台联名咖啡还能开车吗？馋嘴】一杯酱香拿铁含约2毫升茅台酒瑞幸回应喝茅台联名咖啡能否开车
1700625600# #太嚣张了！视频车排队停车缴费时被白车人肉插队，女子逼停视频车还挑衅车主，下一秒白车撞上右侧栏杆。允悲蜀黍说安全一起来投票
1697110201# #行人过斑马线时发生的事故，大家认为这起车祸的根源在哪？衰蜀黍说安全
1701174600# #论安全带的作用，车辆翻滚人在驾驶室里居然没掉出来。黑线蜀黍说安全
1689636600# #网友投稿：整条马路都不够他骑的，看到最后舒服了。。。衰蜀黍说安全
1690974001# #妹子下地铁时手机被大哥碰了一下，掉进地铁缝里了。妹子让男子把手机捡上来，遭到男子拒绝。这事儿赖谁呢？费解蜀黍说安全
1696339801# #地铁上男子用各种办法，赶走邻座的乘客，随后将脚放在座位上占座~~~费解蜀黍说安全
1703469600# #地铁上一学生和一老人因坐爱心座位起争执，“年轻人坐着爱心座位不感到羞耻吗？”这事儿你觉得谁占理？汗厌蠢症蜀黍说安全
1695870001# #收费站遇前车插队“蹭ETC”，后车提前预判果断刹车教科书式应对。你觉得前车是加塞是蹭ETC？费解蜀黍说安全
1693956601# #网友投稿：一人占了俩车位，这里的物业真给力。赞蜀黍说安全
1692079201# #网友投稿：高铁上，小孩弹后排乘客脑袋和揪头发，乘客说了几句，孩子家长还不乐意了。费解蜀黍说安全
1692870116# #开始前与开始后……🦐🦐🦐你还会去日料店消费吗受日本核污水影响最大的省份日本核污染水排海正式开始
1699077602# #这风骚的走位，最后竟然给逃走了～费解蜀黍说安全
1690612200# #厢式货车突然失控，小货车遭遇飞来横祸。衰蜀黍说安全
1699097401# #雪后路面变“镜面”，女司机开车刹不住车，直呼“快躲喽！”费解费解费解蜀黍说安全
1700038802# #大货司机疲劳驾驶，小轿车惨遭冲撞挤压。衰蜀黍说安全
1693904401# #大货车陷入泥坑里即将翻车，关键时刻一只“有力的大手”牢牢抓住！！！good蜀黍说安全
1690366180# #码了慢慢看
1703838782# #这位牛奶店老板娘好有爱good
1698363000# #如果你是视频车司机，你会减速让行吗？黑线蜀黍说安全
1701524880# #12月1日，浙江宁波。车主忘锁门车里钱物被盗，行车记录仪记录下被盗全过程，盗贼情侣得手后兴奋拍照留念，男方还向女方大喊“我爱你”。网友：三观契合的情侣关系真的挺难得。允悲蜀黍说安全
1701611260# #允悲
1687235400# #网友投稿：小车和电瓶车发生碰撞，司机下来看了看孩子和车，居然直接开走了。摊手蜀黍说安全
1692090002# #网友投稿：电动自行车撞上劳斯莱斯幻影，不赔不长记性。费解蜀黍说安全
1698733801# #女子低头骑车撞上汽车，交警认定：骑车人负主责，驾驶人负次责。汗蜀黍说安全
1691049601# #网友投稿：这类马路杀手最好不要开车，免得害人。衰蜀黍说安全
1694426400# #9月11日，广东清远，小女孩上学途中不慎跌落河中，男子从数米高岸边跳下救人。点赞平民英雄good暖心正能量蜀黍说安全
1703741400# #男子不走人行横道横穿马路，恰巧司机开车也不看路。你认为这事故谁的责任更大？汗蜀黍说安全间歇性冷漠
1689762106# #网友投稿：男女街头殴打一名年轻男子，专攻要害。女的踢男子下身，男的猛跺其头部。。事发7月18日，陕西西安。据目击者称，被打小伙是出租车司机，打人者疑似醉酒，送到地方后说司机小伙绕路。从车上开始殴打，打完拖下车再打，警察来了还继续动手……怒蜀黍说安全
1697373001# #卧龙遇到凤雏，一时间分不清谁是主角衰蜀黍说安全
1700095111# #贵州村超火了good
1701138601# #这骑手情况还好吗？黑线蜀黍说安全
1701745201# #骑士过弯撞上婚车，谁的责任？🙏蜀黍说安全
1693400400# #深圳网红交警“熊警官”查酒驾查到区长被调岗？当事人辟谣：太扯了！是自愿转岗。允悲
1699416001# #女子花3000万买下小区300个车位，3年后价格翻倍出售引发小区其他业主众怒……小区业主：真是太无耻了！这事儿你觉得谁占理？费解蜀黍说安全
1696167062# #卧槽高端局，运镜也专业啊哈哈
1693386001# #网友投稿：在车隙处横穿，最怕鬼探头事故。这种鬼探头事故，你能防得了吗？衰蜀黍说安全
1703939401# #不练车技练路怒，这样做合适吗？允悲蜀黍说安全
1695558600# #大爷认错自家车，把邻居车给洗了。。。大爷：麻烦把洗车费付一下允悲蜀黍说安全
