1697003519# #在建工地吊车倾倒，现场一路人被压身亡！衰
1690900947# #广州地铁，女子因座位问题与老年人发生冲突，拉架的哥们也是倒霉。。。
1702911485# #养狗的为何都如此嚣张？？。17日晚上，湖北武汉，大狗不栓绳冲向宝宝，险些造成伤害。家长后怕不已，质问狗主为什么不牵绳，反被狗主人怼：你为什么不把小孩抱起来呢？？怒怒
1702965178# #发生地震预警，宿管阿姨不给学生开宿舍门，声称没有接到学校通知。。学生合力砸开玻璃撞开大门冲出宿舍避险！
1694684139# #见缝插针，真的飞起来了……
1688089966# #老父亲还在拿手机拍拍拍…
1691217922# #超市搞促销，大爷大妈们为了鸭腿差点打起来～
1692004180# #咱就说这位理想车主是什么意思吗？？
1699183227# #怪不得坐地铁坐公交需要让座，原来体力都留着抢葱了！允悲
1701676991# #无法无天！骑士车队硬闯高速收费站～
1695089523# #开车技术菜如狗还不会道歉！。山东滨州，女司机溜车发生碰撞，下车倒打一耙：就算我溜车，你跟这么近干嘛？？怒
1688278380# #网友投稿，女网红在广场直播，男子在广场上抽烟，女的觉得男子抽烟影响到她，就用水瓶砸向抽烟男子，随后发生争执……这事大家怎么看？？
1691657488# #这也能被追尾，后车司机故意的吗？？衰
1691909301# #惊险的救援！这摩托艇驾驶技术真牛～
1695359454# #发生事故等交警就完了，非要骂人干嘛呢。。
1692777149# #七夕表白现场，女孩真是好脾气，居然抱着花看他表演完毕…七夕的新型表白方式
1696745509# #没点才艺都不好意思结婚！
1688699436# #乘车价钱没谈拢，乘客拳打出租车司机……
1700615764# #昨晚7号热刺球衣事件，一时嚣张事后悲伤！。作为中国人你可以穿你喜欢的队服，你也可以喜欢你的球星，但不能鄙视且挑衅自己家的同胞！
1703302480# #科目三走进加拿大初中校园！二哈
1700717623# #领导讲话就是不一样！
1689415058# #看的头皮发麻，慎点！！
1692838401# #以为是路人，其实是前辈。
1697005584# #家长心真大。衰
1689303758# #7.13日下午，湖南长沙地质博物馆，这熊孩子要玩手机，妈妈不给，在被拒绝后，把他妈妈打到墙角，还扯他妈妈头发，妈妈当时哭的好大声。。安保小哥当场进行教育，变老实了这时候想求助他妈妈了。
1697516187# #白天不叫偷，被抓了还能一堆道理！从未见过如此厚颜无耻之人…
1687013687# #来青岛第一天遇到路怒症！
1703409908# #就这两下才艺，又多了一个千万富翁！这钱挣得太简单了……
1700008616# #喝完酒就掀桌子，少和这种人交朋友！
1701095937# #女的把男的掐的满身血痕，还问舒不舒服！好像是男的拿女的钱，给另一个女的花了！晕
1686979978# #鸭脖沉冤得雪，这位市场监管局局长业务水平真差劲！！。联合调查组认定饭菜中异物是鼠头
1702796289# #摊子都给砸了，这伙人有点嚣张呀衰衰（事发台湾）
1696952743# #中国籍女子在新加坡对着护士爆粗口，护士报警后，导致女子被新加坡警察进行了一系列调查。。（另外一段交涉）在新加坡对护士爆粗口被调查
1699518532# #拒绝和稀泥！这种典型的案例建议全国推广～
1690705115# #网友投稿：7月28日，浙江嘉兴。物业乱收费，每个进小区的人都要办什么所谓的出入证，每个人都要收十块钱……这种收费合理吗？疑问
1691379789# #一起聚餐感觉还是要注意，你不嫌脏，不代表其他人也能接受～
1697550869# #道路千万条安全第一条！
1691718305# #汽车在哀嚎中结束了自己的一生。
1690869851# #网友称涿州一小区地库塌方涿州水尚仁佳小区地库塌方，整栋楼都存在危险，目前这个小区已经沦陷。。裂开
1696475282# #常在河边走，早晚得撞死！
1696729123# #还有这种人，大保健也逃单！
1695960813# #让人充满遐想的电影名字。
1696305818# #女子插队被制止，双方发生争吵……允悲允悲
1701855388# #吃火锅都挡不住吹牛的嘴！！
1691797547# #8月11日，湖南衡阳，拿起石头砸老婆，然后又打儿媳，这老头什么情况？晕
1695611673# #四川攀枝花，机车俱乐部，摩托车飞坡摔车，希望车手平安。。
1702647286# #此条视频应该给董宇辉的老板看一看！允悲
1701840676# #上海黄金城道步行街！说着英语，做着瑜伽，听着萨克斯，早安巴黎！
1700266091# #外卖小哥撞上保时捷磕破下巴，担心赔不起不肯去医院：毕竟我有错在先！。女车主，不用你赔，先去医院，会出医药费～
1688624244# #龙之梦国际大马戏，母女提前入场40分钟，霸占八九个座位…这种人肉占座合理吗？？疑问
1702200956# #网友投稿：女子离婚前把前夫家的亲戚和街坊邻居的钱都借了一遍，玩消失不还钱，女子再婚当天，被债主堵住婚车要账……晕
1697552927# #乐山又现恶犬伤人事件。10月17日，四川乐山，又一未栓绳大狗在大街上追着扑咬2名幼童。视频发布者称，有幼童受伤，咬人恶犬被围观群众和物业人员赶跑。。
1694994887# #用的是串烤肠的签字吧。。苦涩
1687015976# #浪胃仙怎么越变越女人了，不会真把自己阉割了吧。衰
1699056657# #优秀的猎人往往以猎物的方式出现！
1688795979# #低俗婚闹！在这个地方结婚挺吓人的吧…
1687516725# #洋葱也抢的热火朝天，这身体素质可还行。。
1703664942# #两个法外狂徒。。。费解
1688783434# #男方患绝症，女子异地起诉离婚！男：反正活不久了，离就离吧。。
1693181477# #花二十年跟踪小人物的纪录片，平凡但伟大！却不知道这一切对阿珍是好是坏。
1700205646# #遇到这样的小朋友，千万不要放过他！
1689749163# #十分钟前还在高高兴兴的拍照，一言不合就这样，幸好树多挡住，男朋友将其救上来...
1694680491# #以现在国足的实力，直接解散的了～
1696116938# #这音乐节！不知道的还以为在打架…
1699591085# #但凡有几颗花生米也不至于喝成这样！
1694233637# #不知道哪位大哥有如此的勇气～
1687841571# #自己过马路闯红灯，机动车没主动礼让，然后开始疯狂输出……
1693707122# #正经的粉丝没几个！何必搞这么大阵势。。摊手
1695786003# #扯东扯西的，不都都为了赚钱嘛。。晕
1694148066# #能力这么强，跑到美国干后厨～晕晕
1693812799# #商场里小朋友和一名女子走路时相撞，女子倒地后起身困难。孩子的家长上前查看，疑似询问了几句后，就带着孩子匆匆离开。。摔倒女子的家属称，女子脚腕、脚踝部骨折…
1702959450# #来去之间！12分不知道够不够扣……二哈
1699148429# #网友投稿：十几年前买的夫妻俩的回迁房涨价，几十万买的涨到百万以上！夫妻俩现在隔三差五上门要钱……。是不是有其他原因不得而知，真的这么离谱的吗？？疑问疑问
1695288260# #大学生军训社死现场。。。费解费解军训女孩跳舞
1700983512# #女生的化妆堪比电信诈骗！费解
1696149939# #军训时，谁还没有两把刷子！！
1698727913# #从来不用手按电梯，这位美女咋这么讲究呢！
1699178438# #这可真是个送命题。。
1692775005# #网友：女子停车场占用别人车位，被堵后，发视频声称准备大吵一架！现在流行自己网暴自己吗？？费解
1701060551# #山姆超市内，试吃不排队，工作人员不给惹老人发火！
1701507606# #国外电梯之你瞅啥？？晕晕
1687690042# #6月24日，上海女子称孩子感冒，药店给开了800多元的药！药店回应：每盒剂量少价钱高，统一价，不想要可以退！。女子称孩子感冒被药店开800多元的药
1693894716# #饭馆阿姨拼桌急哭女儿，被网友调取监控曝光！大家怎么看待这件事呢？？晕
1697414308# #还没吃饭就开始收！吃席还能碰到这种事……
1690963089# #7月31日，大连。女子遛狗在商店门口拉屎，店主出来让她擦了就行！谁知女子激动大喊：别人吐唾沫可以，我家狗拉屎怎么了，谁家狗不拉屎…
1702686358# #不同国家的家庭就餐！哪些让你看起来更有食欲？
1691049916# #这一桌热粥，可不是脱层皮这么简单了。
1702949307# #结婚放鞭炮损失奥迪Q5一台！
1696291475# #孩子吵闹，遇到高铁审判官……
1702170024# #朝阳，开始清理电动三轮四轮车，针对老年代步车终于有所行动了！
1702256331# #这么漂亮的小姐姐送上门居然跑掉了！回去看看男科吧……
1687752254# #高铁座椅放倒惹怒后排大爷，另外一段视频！这大爷可真能闹腾…
1692455105# #孩子和家带来的幸福感无可替代～围观围观
1689406968# #上车不买票，让她补票还嫌别人态度不好，全世界都惯着你吧…
1687599585# #核酸检测后遗症。。
1701332488# #碰到泼妇，挺支持暴力执法的！
1691073836# #这种开车的方式，大家怎么看呢？晕
1699401024# #也不知道广州交警对于这种开车方式怎么看？？
1697428053# #明显不是一个重量级，偏要主动出击！结果……费解
1686986042# #变态主播为了原味袜子新套路！各位美女切勿上当～
1690941033# #女生为了变美真舍得下手。。衰
1700964390# #江苏，穿联通工作服的人员上门推销，用户说了不需要，拿脚挡门不让关门是几个意思？？费解
1693272178# #超市面粉打折扣，大爷大妈抢做一团！
1692409657# #近日，山东泰安火车站遭大量网友吐槽，称9成都是按摩椅，不少乘客席地而坐。。17日，泰安火车站被中国铁路通报批评后连夜更换座椅：只保留了18%……哆啦A梦害怕哆啦A梦害怕。网传泰安高铁站近9成是按摩椅工作人员回应泰安高铁站9成是按摩椅
1701658141# #顾客接二连三的撞玻璃！这家店主没想点措施吗？费解
1689848638# #世卫组织将阿斯巴甜列为致癌物质后，有人带着孩子到超市，把含有阿斯巴甜的食品、饮料一一翻出来警告，末了表示自己很想念辛吉飞…
1696651345# #把车停在路边玩航拍，导致后面大堵车！真是什么人都有…晕
1699872936# #真的佩服她的勇气！唱的不错，下面的观众很开心～
1699971249# #浙江杭州，女子没钱买票回家求路人帮忙，帮买票还不行，就是要钱…晕
1702909110# #孩子遇到危险的时候，你都不知道你的反应有多快！为母则刚
1693807976# #演唱会现场疯狂的粉丝。。允悲
1701590859# #骑摩托最好骑能够到地的，不然太危险了～
1701330445# #男子走路被流浪狗袭击，为了其他人再被咬，男子提棍追上去把狗打死了…衰
1690851175# #台湾马路纠纷，小货车被大货车揍惨了……
1692711210# #情人节羡慕一下别人的爱情吧。
1691744871# #男女吵架，一条内裤都不给男的留，这是什么操作？晕
1704002639# #网友：12月28日，江苏南京，多人聚集在江边，将盒装牛奶挤到桶里，然后再倒入江里放生。。公园管理处：不允许这种行为，对环境有影响。。
1702128821# #这种情况下还敢超车，万幸捡了条命！衰
1694917687# #网友：上海到合肥G7244高铁上，一个老头独自饮酒醉，吐到小桌板和地上，还骚扰旁边女乘客……费解
1691465371# #老人撞车后怒斥年轻人8月6日，河北某地，自己停在路边的车辆，被这两位给剐蹭了。两位老人下来先介绍自己是北京的，问我们是哪的人。。当网友要求赔偿并道歉时，大妈说我这么大岁数凭什么道歉，还说我们这新时代年轻人没教养…晕
1687621577# #足协杯重庆铜梁对阵成都蓉城赛前爆发球迷冲突…衰。成渝德比之战球迷打架
1691297277# #山东地震地震来临的瞬间，什么词汇都忘了，就记住了两个字！允悲
1692408630# #三辆车占满三条车道龟速行驶，这是故意的吧！晕
1687578519# #公共水域，带孩子洗澡的家长和带狗狗洗澡的游客吵了起来…晕
1702279751# #符合她要求的男人都喜欢18岁的！按她的标准这个年纪真的不好嫁了……
1697761696# #网友投稿：自己有车位不停，非要停在路中间，让她挪车还怪我说她了……
1698904339# #你永远不理解这些大妈对于农作物的热情！吃瓜
1701057296# #网友吐槽网约车司机态度问题，网约车司机认为自己属于运输业，乘客认为网约车属于服务行业…
1686909487# #居然还是个男的。。费解
1694508788# #网友爆料：上海某地铁，三个连排座位，这位妇女带着孩子跟这位女生一同坐下，妇女说我们三个人表示让女生起来，女生说我坐下来了，妇女不依不饶说你坐到我女儿腿上了，那仗势把自己女儿吓哭，对着女生不依不饶。。最后最过分的是结束了之后，这妇女对着自己孩子说：因为阿姨生不了孩子，所以才不懂小孩
1690211021# #服务区内人肉抢站充电枪。网友投稿：7月23日，某高速服务区大家都在排队等充电枪，前面一辆特斯拉刚充完，轮到我的时候，两位老头老太一把冲向前把充电枪抱手里…
1694790077# #还是喜欢周淑怡桀骜不驯的样子！
1691216734# #物业公司强行把业主房子改成员工宿舍侵占多年，业主让搬离，物业经理一番为难后仍拒绝:我错了，你去告我呀！
1689840733# #最近理想车主的骚操作有点多……
1697249782# #活得久感觉也不是一件好事。
1693469930# #网友：妈妈把孩子豆浆泼在后桌，临走把碟子打翻，同行的女孩直接把盘子和垃圾推到地上！这一家都是什么人呀～
1693490486# #两个孩子水边玩耍，年幼的男孩不慎落水！最后还好孩子被及时就出～衰衰
1690852562# #7月31日，湖南岳阳屈原青云驾校，女学员练车误操作直接撞墙。。。
1695268223# #卧推看来还挺危险的～衰
1697625132# #只要你不尴尬，尴尬的就是亲朋好友！
1694521485# #师傅开车拿开车的钱！导游态度不好就算了，还搞道德绑架。。怒
1702191698# #领着孩子过马路一定要注意！家长太不小心了…衰
1702444551# #抽烟也注意场合，烟瘾也太大了～
1696426657# #这个年龄段的夫妻，还能有这么高的激情真是罕见！允悲
1693962791# #可能她是一个舞蹈高手，但我外行看来这动作设计的有点奇葩！
1702107917# #新郎来接亲，两个堵门的大姨讨红包，给了红包拆开一看5块钱，直接急了，扔地上了，你怎么看？？费解
1700006692# #这些玩意跟缅北诈骗那些有什么区别？？摊手
1687394602# #河北青县火车站中午休息不营业，40度高温旅客在外面晒着，员工在里面休息。。12306回应：有的火车站不是24小时营业，不营业的时间用不了。。曝火车站中午关门让旅客高温下等待
1693062927# #网友：顾客加个水蒸蛋问出餐时间，老板娘说8分钟，结果顾客等了快半个小时都没上，顾客就说不要了，老板娘说必须给2元餐位费，给完餐位费以后，顾客要走的时候老板娘说一句吃不起就不要吃…晕
1703160881# #好狗不挡道！这人什么心态呢？？晕
1696942118# #电车痴汉！男子往女士裙子上喷射被抓！怒怒
1691495419# #8月7日，湖南长沙。游客发视频称，进商店不买东西，导游也不生气，就是让你大热天在外面等几个小时再给房卡办入住…裂开
1687837433# #能和院士合影心情激动可以理解，但是亲一口是有点不合适吧。。哆啦A梦吃惊哆啦A梦吃惊
1689310433# #后方货车失控，等红灯的小车被推行挤压！小车内的乘客怕是凶多吉少…衰
1688519037# #刚买的新宝马回不去家了……费解
1702781972# #网友投稿：你孩子不舒服让我让座，碰到这种道德绑架你们会让吗？
1696476332# #给大家看看堵车源头！
1694053305# #当听到自主招生已经被录取了……
1688562294# #养烈性犬还不牵绳子就该判刑…衰动物凶猛
1695566858# #大连不赢下比赛，有点说不过去！
1699964764# #这个装扮在当地也算是个知名人物！
1698890313# #拉衣服那一下着实有点不礼貌了！
1695710275# #吸螺从来不去韩国是有原因的！费解费解
1688040812# #网友投稿：我和视频中女主是2022年9月21号拿的结婚证，2023年6月27号中午11点左右，通过iPhone查找发现她在雷峰塔，我本以为她和她父母在游玩，我过去一看并不是，一顶绿帽子直接扣头上了……费解。男子通过手机定位发现老婆出轨
1689665960# #把高铁当自己家客厅了吧…
1702812133# #男：这都是我的词儿啊！二哈
1687533710# #开始还玩得挺嗨，下一秒舒服了……
1693734730# #忽然感觉，不吸烟有种负罪感！哈哈
1699165844# #把我关进去，把门锁起来！
1702372843# #长见识了！开始还以为视频逆行，这么混乱的交通就没管吗？晕
1700400532# #看饿了……
1694520310# #这西瓜也太西瓜了……
1701593404# #这么暴露的衣服穿上居然不违规！
1693970891# #当第一个人在角落扔了垃圾后，逐渐形成垃圾堆！这叫什么效应？？
1688534317# #不是座椅靠背就是窗帘！出门在外这么较真干嘛呢…
1700531121# #服务员科目三表演，后面两位美女挺无语的吧……
1691672709# #可能这就是：宁座宝马里哭也不愿座在自行车上笑～
1699931913# #寻思这不是变道全责嘛～傻眼
1695805398# #网友：点的牛肉汤，居然吃出钢钉！好奇这钢钉是用来干嘛的？
1701860402# #毫无安全意识，径直走进了卡车视野盲区！衰
1687425953# #被套圈的选手故意阻挡第一名，这是战术，还是下三滥的手段呢？
1696046630# #这个年纪还有这样的一群朋友，真羡慕～
1691326145# #直接全身纹成黑色得了……
1693873932# #网友投稿：地铁上，两位老人不知道什么原因发生争执，没想到素不相识的小伙，对着老人就是一个巴掌。这是啥意思吗？？晕
1687268938# #就这胆量还敢出去吃鸡？？？doge
1691628621# #忽悠大爷大妈来买墓地，这位女销售有点东西～
1698894547# #这几块托架和钢板大约需要多少钱？允悲
1687395626# #前几天河南驻马店，被家暴的男子发声：老婆三婚带着三个孩子，结婚时候要了10万的彩礼。目前正在协商离婚事宜……。三婚带三娃还能结婚，当初也是真爱了吧。。衰。男子发视频曝光老婆家暴河南一男子称自己被老婆家暴
1702119651# #如今拿奖拿到手软！果然长得帅也能当饭吃……
1693717352# #厕所跑来眼镜蛇，正在拉屎的大哥还好吗？？？衰
1695122763# #9月18日，青海西宁，优衣库店员质疑顾客未买单，被两名工作人员掐着脖子拖到了收银台。。经过查询，发现商品已经买过单，顾客也有购物小票，事后两人未向顾客赔礼道歉，气的女顾客在店内掩面哭泣。。。衰女顾客被优衣库工作人员掐脖子拖回收银台
1699572953# #开车看技术，停车看人品！
1702084237# #司机下车扭头就走，看都不看伤者！这白车司机干啥呢？？
1698546990# #男子与大姨在地铁上因座位发生争执，大姨理论不过给了小伙子一巴掌！。男子执意要报警，大姨反而装起了身体不舒服！
1702130180# #沈阳地铁站2号线，老人莫名其妙去撕通道里的国旗，被白衣男子制止。。
1687177057# #就算是漂亮的人妻，这些要求也很难有公司会招聘吧！
1691327343# #看来这个小阿姨很想去健身房……嘘
1694059227# #喝点酒撒酒疯，直接被大姐收拾了。笑cry
1687864492# #妈妈私自拆开女儿的档案袋，女儿回家后崩溃大叫！档案袋被打开还有什么补救措施吗？？费解。因妈妈私拆档案袋女儿崩溃大吼档案袋被私自拆开如何补救
1696860045# #美国街头，巴勒斯坦支持者与以色列支持者爆发冲突……
1690250194# #为逆行的女司机让路被竖中指。网友投稿：本来就是她逆行，面对工作人员调节选择去退一步让行，没想到这个臭女人给我竖中指…
1688641819# #她弟弟住着姐姐买的房，开着姐姐买的车！应该很幸福吧……
1692258970# #脸上也没有出来游玩的喜悦，不知道还以为在迁徙！晕
1691302092# #碰我干啥，碰你咋滴！然后就吵起来了……费解
1693712640# #用完的充电枪直接扔在地上！这位理想车主素质堪忧…
1702858378# #已经给开门了，非要下车跟门卫理论理论！大爷这操作算了吧……
1695271813# #女：我老公让我今晚回去。。男：你老公打的过我吗？？？？费解费解
1695775102# #不羡鸳鸯不羡仙，只羡军训每一天！春游家族春游家族
1703319540# #连环事故！！如果摩托家驾驶员死亡，哪辆车的责任最大？？
1702019218# #网友：穿过的内衣还想退货，被老板娘拒绝后愤然离去……
1687313743# #车主开心，代驾开心！两全其美……
1694330366# #地铁上，坐轮椅的大爷与爱心座椅的小伙子发生争执！大家感觉小伙子该不该让座呢？
1691027793# #河南商丘楼下暴走团扰民，每天早上5点多在楼下放音乐暴走扰民，机动车不让他们就会被骂。这种行为已持续多年，多次投诉无果……。老年团每天清晨放音乐暴走扰民
1699952262# #这小车司机什么情况？？
1694071188# #摩托车有没有气囊，摔倒肯定痛呀！
1699500524# #网友：护栏这么高挡住我了，对方一点减速的意识都没有，冤啊！
1691468783# #山东青岛，三个傻子非要把车往沙滩上开，这结局舒服了…
1700879597# #再坚持几个回合，大爷都能累瘫！
1689916372# #左边比右边多六下，强迫症看了直呼难受😣
1697034208# #房东：你们谁敢相信这就是十八九岁女孩住的地方！居住环境超乎你的想象！到底是什么样的家庭，才能教育出这样的人！简直是脏乱差的天花板！服了她们了！
1694054471# #瑞幸咖啡现场不能直接买，必须app和小程序下单自提和外卖，为此发生争吵！感觉售货员也很无奈呀…晕
1695860604# #对话那些纹了身，然后高呼社会歧视他的人！
1688225725# #没事你砸它干嘛。。衰
1689495397# #玩越野也太烧钱了……
1690601255# #高铁上抽烟，没触发烟雾报警算他运气好…
1690120487# #女孩八重神子cos穿搭乘坐公交，被大爷疯狂辱骂没素质，没教养……大家怎么看？？费解。。网友：大爷要是去参加漫展还不气死！。女孩八重神子cos穿搭被大爷怒斥
1697069916# #民风彪悍！不给就直接抢…
1687003075# #毕业前和暗恋三年的人表白失败！男同学太挑剔了呀…
1702277678# #大多数保安就是一个坐吃等死，拿着鸡毛当令箭的活！这个大概率死刑了吧～
1697617274# #大家在痘印直播带货买东西被坑过吗？？
1695108780# #粗心的家长，可怜的孩子…衰
1702098511# #这是在治疗什么病情？？？费解
1687949941# #6月28日凌晨，成都金牛光荣西路西门车站附近，有人在大街上撒尿，还要打拍摄者！
1697525028# #孩子家长：孩子下车自己碰到头，这种该不该打呢？？
1688958044# #湍急的水流，这位大家还好吗？
1701653329# #两人抓小偷！老阿姨：小偷也是人……微笑
1690639675# #7月28日，长春市桂林路市场，黑衣男子拦着两名女子强行推广扫码而引发冲突！这种人是真烦……
1702042651# #买表还是要找专业的@表大爷阿俊
1695785003# #小日子的时尚，我们真的不懂。
1701520424# #婚车四个轮子被上几十把锁，开一把锁要一条烟！！。镇政府：属于当地风俗，需要去慢慢引导！
1695567057# #网友投稿：大家都是在公共区域放鞋，不明白邻居大姐是要干什么？费解
1702979975# #带着不牵绳子的四条细狗到处串，这是在猎杀别人家的狗吗？？疑问
1697104986# #很自信，跳的也很棒！比跳舞故意漏奶子强多了…
1702184348# #男人赌博成瘾妻子街头崩溃到要离婚，一群清澈到愚蠢的大学生在旁看热闹起哄！最后居然唱起歌，弄的男子哭笑不得……晕
1692794597# #江苏徐州，大爷在小路上超慢走路引起堵车，后面车辆不停鸣笛催促，大爷无动于衷继续保持慢走…
1696507336# #一点简单的采访，大家感觉她的那句话是真的？
1690642056# #不得不说大哥真讲究，都这样了也不打女人！👍
1695720506# #9月25日牡丹江，女子在步行街上遛狗逛街，狗在路中间拉屎，大爷看到后劝说发生争执！。目击者：大爷薅着女子衣服不让走，女子就用包打了大爷。。
1693362136# #吃饭都是小事，主要突出一个热闹！
1691041205# #被冲垮的断头路！！视频车运气不是一般的好～
1687962550# #这种没素质的游客，丢人现眼！怒
1701240713# #网友：江苏某地，家人带着孩子到海底捞过生日，点了个科目三舞蹈，隔壁桌客人觉得太吵引发口角。。。费解
1690971162# #原本就是直行车道，这辆黑色丰田太欺负人了吧～
1702541295# #大喜的日子真让人讨厌，希望过个20年这种情况有所改善！
1702338010# #严禁随地大小便！
1689683132# #新宿街头，日本警察毫无还手之力…
1691107305# #面对无脑变道的女司机，视频车的做法怎么看？？衰
1702106869# #网友投稿：昨天过安检让我从包里拿出来验，今天直接拿手上验，只要我不尴尬，你就更尴尬，哈哈哈。
1693013408# #显眼包………
1693290986# #新娘在自己的婚礼上跳舞，美丽大方，嗨翻全场。
1696592979# #到底是告知外公，还是剑指巴黎？？
1692868021# #民政局大厅，身材壮硕的女子办完离婚手续后，挥舞着手中的离婚证，并大声欢呼：“离婚了，离婚快乐”
1695128616# #全场感觉只有保安正常一点……晕
1689487147# #新奇的护肤美容方式。。。晕
1697618284# #这又是何苦呢！过不下去就分开，大家都解脱了！
1692273176# #网友：湖北武汉，公交车上因人多男孩未能和爷爷坐在一起，后他让旁边的奶奶和爷爷换座位，遭到拒绝后情绪崩溃，开始顺口溜式哭骂。。。允悲
1694009253# #00后最喜欢的中年穿搭……？
1687741868# #高铁座椅放倒惹怒后排大爷！寻思大爷的座椅不也是放倒的嘛？
1696049513# #再不加以管制，老年代步车就要出半挂了…
1695774522# #宾馆前台告知顾客没房间了，却遭顾客骚扰辱骂！最后男子忍无可忍一顿输出…摊手
1688782535# #又见奇葩女司机！自己驾驶特斯拉急刹车产生顿挫，怪后车追尾……下车后对着后车一顿埋怨！！费解。女子急刹车反而责怪后车追尾
1697602952# #转弯不注意观察！直接被撞翻，记得全责还要赔偿货车损失哦～
1696473021# #网友：大姐带着儿子开车见网友，约好一起吃饭，网友没相中大姐跑了！结果大妈也不买单开始耍赖，店家最后无奈选择报警处理。大姐意思是让联系网恋对象付钱，最后协商商家给其进行免单。。费解费解
1690084009# #事情经过：女网红生理期并未参加泼水节，男子性骚扰撕扯衣服，女子忍无可忍发火。
1694562758# #除了李柯威，不知道还有没有人愿意娶她。。
1691554742# #寺庙里供奉着日本神像，被游客发现后当场销毁……。。游客发现重庆一寺庙供奉日本邪神重庆一寺庙供奉日本邪神
1692335788# #8月16日，浙江杭州，地铁上男子的背包不小心碰到女生，女生抱怨：能不能看着后面的人！。没想到这个男生在车厢内对着女生说了十几分钟对不起……这位男生的做法怎么看？。男子背包碰人连说十多分钟对不起
1694690148# #觉得还是以前好看，为什么非要折腾呢？
1690723918# #网友投稿：大连某海边，男子经常往海里倒垃圾，称其大舅在海里去世，倒垃圾是在为其大舅上供！。男子疑为纪念去世亲人往海里倒垃圾
1696144429# #这样的明星有撒值得追的地方？？晕
1688522363# #一群微商大姐为了事业剃光头发，祝她们早日发大财…
1700132293# #死神来了…
1687776814# #这不是赤裸裸的欺骗嘛。
1693812512# #服务区里修车搞垄断，这种操作合理吗？
1704010819# #第一眼还以为男人怀孕了！费解费解
1702168599# #这老黑就是暴躁，女性也这样！
1703337498# #12月23日，河南商丘永城妫汭市集三楼，孩子之间挣玩具，家长介入后游乐园变成格斗场！
1703566863# #恐怖的恶犬对着孩子发起攻击，家长要是不在不堪设想。。。衰衰
1691070888# #别看现代人火气大，但是都不敢直接动手。。
1691208375# #“爸爸，摊上事儿了”允悲允悲
1688706573# #网友：列车员说了几次都不好使，我一发疯都安静了！奥特曼
1701700592# #网暴自己？？
1695522557# #人长得挺漂亮，怎么看起来又不漂亮呢。。。
1697101240# #寻思这也不要钱，多抽点没问题吧。
1695025060# #网友：女子在高铁上打了半个小时的电话，全车厢的人都很无奈…你怎么看这种行为？
1691206748# #女子坐按摩椅休息，没想到发生意外，头发被缠绕进电机～
1688809527# #佳木斯某体彩售卖点，两男子发生争吵！一个耳光后发生戏剧性一幕…笑cry
1702358636# #网友：男子便利店买零食，开始没有付钱，打开一包发现中奖了，奖品是再来一包！然后男子想把作为奖品的那一包还给老板，自己吃打开的那一包，就不用付钱了。。。老板觉得这样不合理，顾客觉得这样做没问题，然后双方僵持不下报了警……允悲
1692751108# #每个前任都说你好，但是都变成了前任。。允悲
1699264182# #这车怎么开的！！旁边大妈差点一命呜呼…
1696740070# #如何避免自己出现在成人网站上？？？费解费解
1691973195# #奶茶店门口，服务员问要几分糖，小仙男莫名其妙突然就炸了。费解
1692716556# #达州，老人去世留下存款还有遗嘱，亲人拿所有的证明去银行取钱，银行工作人员答复必须本人办理或者去公证处公正以后才能取钱。银行这么做有问题吗？
1693963719# #开车把人撞倒，也不下车看看，直接就走了？？
1697707909# #因为一条狗，穿着离婚快乐的T恤大闹别人婚礼！这是准备让别人铭记一辈子啊🤔
1700211496# #上海地铁，学生和老人因坐爱心座位发生争执！大家觉得该不该让座呢？
1700460381# #露营离开城市喧嚣，离不开女人的聒噪！允悲
1691464118# #就不能忍忍，回家再亲亲嘛……
1699258106# #众所周知篮球是一项肘击运动！doge
1702042888# #哪位小阿姨是你喜欢的类型？？
1695018626# #旁边坐着的男子太淡定…晕晕
1698452280# #学校里的这种社团也太哇塞了……春游家族春游家族
1698576806# #又菜又爱玩！
1689253133# #就不能忍一下，回家再亲吗？？奥特曼
1696168843# #老人在高铁上抽烟将要面临处罚，老人求情被拒！大家觉得高铁应该设置吸烟区吗？费解
1695538267# #地铁上，男子拍摄女子被拦住要求删除照片。。男子解释：没有别的意思，就是很喜欢女子身上的首饰，想拍下来给女朋友买一个。。但是女子对他的说法表示怀疑，最后删除照片后双方自行离开……对此大家怎么看？
1691459669# #他现在每一份尴尬，都将转化为将来库里南的碎片！
1697027773# #几小伙凌晨三点砸开苹果店玻璃！在国内搞零元购，这不是送业绩嘛！
1691455816# #TFboys的粉丝走火入魔了吧～衰
1691936223# #一口气吃50个大肉包，卖瓜大爷都看懵逼了。流量是有了，也要注意身体呀～
1698655431# #余姚高铁站，具体情况等待官方通报。
1700019762# #碰到这种男人，早点离婚的好！
1703934088# #女子实名举报广西一国企董事长强奸未遂，称身心造成巨大伤害，已患上重度抑郁症。。网络实名举报的太多了，这种事还是等官方调查通报吧。。。费解费解
1702859981# #都是名牌大学毕业的高材生呢？？晕晕
1702355477# #火车拥挤就算了，轮渡客流量也这么夸张吗！
1699244535# #应该是摔倒脑子了！！
1695544365# #网友：女子坐在便利店里抽电子烟，变得神智不清！售货员让她清理干净别影响做生意。。
1695824426# #刚说到去社区干部办公室谈就突然搞偷袭！晕
