1693727018# #洗完澡后不要马上穿内裤湿裆
1696153574# #应急管理部7月17日审议通过《安全生产严重失信主体名单管理办法》，自2023年10月1日起施行。《办法》明确生产经营单位及其有关人员应当列入严重失信主体名单的情形，其中包括，发生特别重大、重大生产安全事故的生产经营单位及其主要负责人，以及经调查认定对该事故发生负有责任，应当列入名单的其他单
1692771768# #江苏省常州市委原常委、市纪委原书记沈斌被查。。江苏省常州市委原常委、市纪委原书记沈斌涉嫌严重违纪违法，目前正接受江苏省纪委监委纪律审查和监察调查。。。沈斌简历。。沈斌，男，汉族，1964年3月出生，江苏海门人，1985年8月参加工作，1990年6月加入中国共产党，大学学历。。。曾任江苏省纪委教育室科员
1695267971# #世界上有两种斗争是不可取得胜利的……
1703686862# #交警把醉驾人员的血液检测样本给调换，因为拿了人家的钱，胆大妄为……
1701656297# #
1703515042# #民警告法官，有意思
1692083290# #中国总和生育率已跌至1.09警钟长鸣，该想办法了，奖励多生！
1700115196# #
1698911982# #女子在美国酒驾致男伴死亡后逃回中国如何追责？
1699058025# #著作权权利人的实际损失、侵权人的违法所得、权利使用费难以计算的，由人民法院根据侵权行为的情节，判决给予五百元以上五百万元以下的赔偿。
1688348294# #中央司法警官学院政治部主任何国亮被查。曾任国家司法考试中心命题处处长。
1691657777# #网传乳腺外科医生家中搜出一点五亿医疗腐败已经到非抓不行时候！
1696752943# #谁这么缺德？这话怎么能这么讲？难道你沒有属相？我知道了，你是属秦桧的，你是人但可能是坏人允悲
1701937503# #贪官被举报后求菩萨却求来纪委调查
1699158738# #古玩又是一门学问，深不可测，妙不可言，但要把握古玩与文物的界限，也就是法与非法的界限。
1701498372# #
1693993459# #
1703811573# #所以，立法审查很重要！
1695259714# #信访办主任上网实名举报，何以“信网不信访”？。。日前，一名网友自称是陕西省商洛市洛南县住建局信访办主任阮某，其在网络上多次实名举报洛南县住建局副局长石某某存在利益输送，巨额财产来源不明等违法违纪问题。。。9月19日，洛南县住建局向纵览新闻（报料微信：ZLXWBL2023）证实，阮某的确是该局信访
1692071710# #北京市气象台今天11时发布：今天下午晴转多云，傍晚山区有雷阵雨，北转南风二三级，最高气温34℃；夜间多云转晴，南转北风一二级，最低气温24℃。今明两天以晴为主，气温较高，湿度大，体感闷热，外出注意防暑防晒勤补水；傍晚山区有雷阵雨，请注意防范。
1690447381# #
1703150536# #执纪违纪，执法违法，严惩不贷。
1703734656# #小白80万上海开面馆6天濒临倒闭这学费交的允悲
1701851641# #@新浪新闻
1703813975# #上海宝格丽酒店跨年夜房费高达30余万梦幻
1695560697# #贵州一煤矿发生事故，致16人遇难。9月24日上午8时10分左右，盘州市盘关镇山脚树煤矿发生一起事故，初步判断为运输胶带着火，造成16人被困。经矿山救护队施救，目前火已扑灭，出事工作面温度和气体恢复正常。经初步核实，16人已无生命体征，其他各项工作正积极开展。
1688272912# #歌手胡海泉名下私募被警示无论是谁发起的私募基金，都要认真查阅他的法定公示资料，研究可行性，防止上当受骗。
1703235604# #面对纪委领导声称自己从不插手工程的发改委主任受审
1691910406# #
1692001478# #
1690879855# #
1689474318# #
1703461690# #上海迪士尼乐园突发事件…．
1703662974# #贵州两退休厅官退而不休收受礼品礼金被开除党籍
1701834123# #@新浪新闻
1697871940# #踩着业主肩膀上位，亏着银行过日子，再有多少勋章都是负累。
1689948547# #山西省应急管理厅二级巡视员石秋明接受纪律审查和监察调查。。石秋明，男，汉族，1963年12月出生，山西陵川人，大学学历，1985年5月加入中国共产党，1982年10月参加工作。曾任山西省安全生产监督管理局人事培训处副处长；山西省安监局安全监督管理一处处长；山西省应急管理厅非煤矿山安全监督管理处处长
1698718313# #李克强同志遗体11月2日火化天安门等地将下半旗志哀。。中国共产党的优秀党员，久经考验的忠诚的共产主义战士，杰出的无产阶级革命家、政治家，党和国家的卓越领导人，中国共产党第十七届、十八届、十九届中央政治局常委，国务院原总理李克强同志的遗体，将于11月2日在北京火化。李克强同志遗体于10月27
1693961786# #
1703153881# #从严治党绝不能松懈
1703431095# #阿弥陀佛🙏
1691633673# #
1703150497# #中央纪委国家监委宣传部副部长、一级巡视员郝宗强严重违纪违法被开除党籍和公职。
1699953860# #
1691139088# #
1701830863# #@新浪新闻
1696549059# #承租人与被执行人恶意串通，以明显不合理的低价承租被执行的不动产或者伪造交付租金证据的，对其提出的阻止移交占有的请求，人民法院不予支持。
1697023444# #上任仅6个月，晋控煤业董事长李学慧辞职。。10月12日，晋控煤业（SH：601001）发布公告称，李学慧因工作变动申请辞去公司董事长、董事职务，以及董事会战略委员会主任、提名委员会委员职务。。。辞去以上职务后，李学慧先生不再担任公司任何职务。李学慧，出生于1965年4月，中共党员，毕业于中国矿业大学，
1691140448# #河北涿州失联村全部复联！。。河北省应急通信保障中心8月4日消息，目前28个存在失联隐患的村落已全部排查完毕，通信行业员工正全力组织抢修，涿州共计402个村落已全部取得联系。据了解，过去24小时内，河北涿州已恢复通信基站150个，当前还剩余211个基站退服，占全部基站数的21%。尚未完全恢复通信的地区
1703912202# #笑一笑十年少！
1694135858# #晋能控股腐败窝案23人已移送司法违纪违法超1亿的5人。。截止2023年7月份数据：自张有喜2022年1月6日被省纪委留置以来，晋能控股集团数十名领导干部被立案审查调查。。。整合重组以来，34名党员领导干部被省纪委监委立案审查调查并采取留置措施，其中正厅级2人、副厅级5人、处级干部27人，涉案金额13.3亿
1698055372# #
1696894698# #“内鬼”厅官被通报享受“管家式”服务。。9日，官方发布宁夏回族自治区纪委原副书记、自治区监委原副主任殷学儒被“双开”的消息，其中，殷学儒被指“将监督执纪执法权变为谋取私利的工具”“贪图享乐，享受‘管家式’服务”等。。。在殷学儒的“双开”通报中，他的问题还包括“对抗组织审查”“违规干预
1700578887# #泛滥成灾
1689069447# #中国政法大学与重庆检察院签署战略合作协议。。7月7日下午，我校与重庆市人民检察院战略合作协议签约仪式在重庆市江北区人民检察院举行。我校党委书记胡明，校长马怀德，重庆市人民检察院党组书记、检察长时侠联，党组副书记、副检察长高松林出席本次仪式，我校和省检察院相关部门的负责人参加仪式。仪式
1692246684# #最高人民法院院长张军:老百姓到法院是为了解决问题的，绝不是来走程序的，案结事了才是诉价值！
1696391008# #
1701782390# #
1699151655# #你买16只老板送一电兹灶
1697887863# #
1693534474# #88名跨境裸聊电诈嫌疑人被抓。。中国警方与印度尼西亚警方积极开展警务执法合作，于近日在印尼巴淡岛成功打掉一个从事跨境裸聊敲诈的特大犯罪团伙，成功抓获88名电信网络诈骗犯罪嫌疑人。
1692542801# #
1698142124# #李春生被公诉，曾指挥剿灭广东“冰毒教父”制贩毒团伙
1688111336# #
1696894714# #
1703229661# #明星捐款为什么不捐给红十字会了?据一份资料显示，他们都捐给韩红基金会了，韩红人已到灾区。易烊千玺捐款驰援甘肃迪丽热巴捐款驰援甘肃。。薛之谦:我已通过韩红基金会向甘肃捐款。任贤齐:我已通过韩红基金会向甘肃捐款。陈楚生:我已通过韩红基金会向甘肃捐款。王一博:我已通过韩红基金会向甘肃捐款。
1703948156# #人鬼不分？允悲
1694135875# #
1697866542# #老师上课没收学生手机被2次锁喉有＂剥削＂就有＂反抗＂，手机还给学生允悲
1693782827# #非常欣赏这么一句话：真的很累吗？累就对了，舒服是留给死人的！苦，才是人生，累，才是工作，变，才是命运，忍，才是历练，容，才是智慧，舍，才是得到，做，才是拥有。当你辛苦时告诫自己：容易走的都是下坡路；坚持住，因为你在走上坡路！
1691574833# #
1704082668# #精彩纷呈允悲
1703808967# #杀妻欲藏尸冰柜案二审维持死刑&nbsp;2022年，上海男子高某沉迷炒股欠债后在家中残忍杀害了结婚7年的妻子，并买来冰柜欲藏匿尸体。27日，法院二审宣判：裁定驳回高某上诉，维持一审对于高某的死刑判决。（
1703379278# #电表转速快？多收电费？这不可能吧？难道是科技不靠谱？求证！
1693107945# #
1694076428# #《治安管理处罚法》修订草案征求意见一石激起千层浪，穿衣服不着调要罚，影响民族感情也叫违法……包括法学教授在内的广大网民议论纷纷，有人甚至大喊立法倒退，有些规定不接地气。也有人戏言起草文件的人可能是学戏剧文学的高材生……允悲
1690456297# #民政部门也是为女性权益着想嘛
1691054793# #最高院判例：购房人全额付款但未办理过户登记的，不享有房屋所有权，只能向开发商主张合同请求权。
1701737130# #
1690413711# #
1703726134# #借款合同对支付利息约定不明确，当事人不能达成补充协议的，按照当地或者当事人的交易方式、交易习惯、市场利率等因素确定利息；自然人之间借款的，视为没有利息。
1687040565# #
1692957335# #
1696031280# #意见箱秒变碎纸机严重形式主义
1703118108# #雄安打造未来之城场景汇，增强对非首都功能疏解吸引力12月20日，雄安未来之城场景汇暨系列场景大赛发布会在雄安会展中心召开，会上发布了“雄安未来之城场景汇”情况，同时公布举行雄安国际服务机器人、雄安智能网联充电技术应用以及雄安地下空间安全应急技术应用三项场景大赛。三项大赛已开通网上报名
1700176480# #
1693752647# #涉嫌“不报、谎报安全事故罪”，四川路桥2名高管被采取强制措施
1701233309# #笑死人不偿命！
1695395184# #这美国人虽然不是个东西，但他有时候非常讲究！
1699019387# #一纪检干部被妻子举报婚内出轨生子，4年内1012万入账。。11月3日，据时间视频报道，近日，女子宋某实名举报丈夫，河北沧州市纪委渤海新区工委纪检监察专员办公室副主任王某婚内出轨。举报称，王某与第三者高某以夫妻互称，多次开房，在一小区长期同居且育有一子。。。2015年至2019年，王某银行卡中多次有大
1701498359# #高管被举报婚内出轨？中石化回应
1692254966# #海南首条双向八车道高速公路，开工！8月17日上午洋浦疏港高速公路正式开工项目系海南首条双向八车道高速公路。
1691633009# #女子给婴儿哺乳被阻空乘称起飞时不可进食是怕呛着孩子吗？允悲
1701168518# #
1701829846# #【求饶警惕这5种涉及公务员考试骗局】开考在即，不法分子也动起了歪心思，他们利用一些家长和考生急于求成的心理，以“一劳永逸”“七天搞定公务员”等谎言骗取钱财。
1691304839# #
1692938285# #《中国好声音》，暂停播出。。。8月25日，浙江卫视微博发布最新消息：。。鉴于对观众和网友反映的《中国好声音》节目的问题正在调查之中，该节目暂停播出。。。来源：
1691450999# #红十字会：只捐一分是恶意捐款。。突如其来的暴雨，让我们目睹了人与人互帮互助的美好景象，同时也揭示了一些平时看不到的社会问题。在这场灾区救助中，北京红十字会作为一个看似充满正能量的组织，再次陷入了公信力下降的旋涡。北京红十字会发起了一次捐助活动，然而，不少网友开始对该组织的资金周转问
1693611004# #不以营利为目的，进行带有少量财物输赢的娱乐活动，以及提供棋牌室等娱乐场所只收取正常的场所和服务费用的经营行为等，不以赌博论处。
1695267999# #
1689933859# #
1703281339# #我刚刚在“会员抽抽乐”活动中抽中了【蜻蜓FM季卡】！官方福利，100%中奖，快来试手气！！&gt;&gt;
1702041551# #
1702175975# #辽宁向不担当不作为乱作为问题亮剑纠庸治懒促履职，东北经济振兴，改善营商环境是抓手。
1694068571# #
1703470691# #锦州法院审理查明，娄河以金钱开路，围猎腐蚀十余名公职人员充当犯罪团伙保护伞，近年来支出贿金达1.22亿元。落马“大老虎”江苏省委原常委、政法委原书记王立科，在任北镇市公安局副局长时，就成为娄河涉黑团伙“保护伞”。
1701849454# #@新浪新闻
1692678102# #
1688941027# #
1700798444# #吴亦凡强奸、聚众淫乱案二审判决有了结果
1690793419# #开设赌场罪定罪量刑标准一览表（2023）。。刑法第三百零三条第二款【开设赌场罪】开设赌场的，处五年以下有期徒刑、拘役或者管制，并处罚金；情节严重的，处五年以上十年以下有期徒刑，并处罚金。
1686980178# #最近出了三件事，前两件事引发了网络狂欢，狂欢的形式就是各种视频图片恶搞。先是鼠头鸭脖刷屏，随后是花裙子、粉T恤霸屏，现在是考试专用笔。三件事看似各不相关，其实却是一回事儿，那就是权力的任性，和对权力任性的愤怒与不满，而这种愤怒的表达形式就是恶搞。
1693355826# #
1693961977# #
1701784743# #行政执法面对的都是老百姓，干嘛搞得如此装甲？
1691909057# #黄帝内经揭秘“女七男八”的生命规律。“女七男八”，是中医学界关于男女生长周期的一种说法，源于《黄帝内经》，即女性的生命周期数是7，每7年体现一次大变化；男性的成长周期是8，也就是每8年有一次生长变化。
1698971474# #实际施工人以转包人、违法分包人为被告起诉的，人民法院应当依法受理。
1692178393# #一位公安副局长从警察到囚徒的颠倒人生
1698794065# #
1691305448# #地震时夫妻同时惊醒护住宝宝使命、责任、担当！
1690385195# #晋能控股煤业集团有限公司原调研员胡守平严重违纪违法被开除党籍。
1703508613# #公立医院重磅新规发布，公立医院不可举债装修…。。据财政部网站消息，为贯彻落实中央办公厅、国务院办公厅印发的《关于进一步加强财会监督工作的意见》有关要求，推动公立医院进一步加强内部控制建设，财政部等四部门制定了《关于进一步加强公立医院内部控制建设的指导意见》。《指导意见》提出，到2025
1691105588# #子在泄洪区大堤上观望还劝不走被拘2日，河北霸州男子程某违反当地相关规定，擅自在霸州镇武将台泄洪区大堤上停留观望，且不听劝离，态度恶劣，行为蛮横，被当场控制。3日，当地警方发布通报，程某已被依法行拘。（平安霸州微信公众号）
1690793218# #纪委书记陈娟，被查。。。7月30日，据南粤清风网消息，广州市海珠区委常委、区纪委书记陈娟涉嫌严重违纪违法，目前正接受广东省纪委监委纪律审查和监察调查。。。值得注意的是，陈娟1995年7月大学毕业后，就进入了广州的纪检监察系统工作，至今已经有28年。
1701851807# #【男子铲毁自家林地建猪场获刑，法院：非法占用林地，改变林地用途】12月5日据会昌县人民法院：2020年11月至2021年2月期间，朱某为在自家屋背的山场上建养猪场，在未办理任何手续的情况下，雇请铲车将林地推毁。经鉴定，朱某非法占用林地面积18.9亩，另采伐山上林木立木蓄积59.208立方米，后该案移送
1703685401# #说是笑话吧，它是真实发生的事情，权力任性乱作为，这种笑话为什么屡禁不止？权力装进笼子这事还是要认真啊……
1703808995# #日本北海道地区发生6.4级地震&nbsp;28日17时15分在千岛群岛发生6.5级地震，震源深度30公里，根据初步地震参数判断，地震可能会在震源周围引发局地海啸，但不会对我国沿岸造成影响。（
1691162108# #泽连斯基誓言要把战火烧回俄罗斯本土，底气从何而来？
1697506002# #侵犯公民个人信息不仅要判刑还要被提起民事公益诉讼！
1694935802# #
1694043157# #法定代表人因执行职务造成他人损害的，由法人承担民事责任。法人承担民事责任后，依照法律或者法人章程的规定，可以向有过错的法定代表人追偿。
1703749505# #差一天出勤没能领到年终奖，这样的规定不合理，用人单位年终奖不能以全勤为标准，否则那叫全勤奖，用人单位在安排劳动者参加工作、服从管理的同时，应重视员工的身体和心理健康，尊重员工劳动过程中依法享有的休息休假权，不能机械生硬不加变通地执行规章制度，若缺乏对劳动者权益最基础的保障，将承担
1691483980# #猪肉鸭肉冒充羊肉？张亮麻辣烫紧急道歉：全部下架！。。店里宣传100%的真羊肉，消费者购买后拿去送检竟发现有“猪肉和鸭肉”？。。近日，有网友反映，在知名连锁麻辣烫品牌张亮麻辣烫一门店以每盒18元的价格购买了3盒羊肉，专业机构检测结果显示含有“猪肉和鸭肉”，引发广泛关注。。。8月7日，张亮麻辣烫官
1700470234# #官方网民投诉一医院外挂数十辆救护车异地运营
1699794508# #未按期进行防爆性能检查！山西凌志达煤业被处罚。2023年11月6日，长子县应急管理局下达晋（长子）煤安罚〔2023〕016号处罚决定，对山西凌志达煤业有限公司做出处5万元罚款的行政处理，原因是该公司15503辅助运输掘进面移变、监测综保、自移机尾照明灯未按期进行防爆性能检查，长子县应急管理局依据《中
1702042609# #
1703691264# #把喜欢的人删了再加回来会发生什么会发出呵呵二字
1702043506# #对合同条款有两种以上解释，可能影响该条款效力的，人民法院应当选择有利于该条款有效的解释；属于无偿合同的，应当选择对债务人负担较轻的解释。
1701057007# #居住权无偿设立，但是当事人另有约定的除外。设立居住权的，应当向登记机构申请居住权登记。居住权自登记时设立。
1690512599# #
1700813021# #祸从口出
1690414390# #
1699057627# #违法转运火化遗体，蓄意瞒报4死4伤事故，36人被问责！。。2023年4月2日13时29分，吉林省白山市江源区吉坤矿业有限公司（以下简称吉坤煤矿）+290m东一石门南翼二层四上山采煤工作面发生一起较大瓦斯爆燃事故，造成4人死亡、4人受伤（另有4人身体不适，经吸氧后痊愈），直接经济损失1016万元。事故发生后，
1704091711# #据可靠消息，今起，清华北大两校师生实现畅行互通，这就对了，连老师、学生都通行不畅，还叫校园吗？
1694153658# #1207名缅北涉我国电诈犯罪嫌疑人移交我方。。据公安部网站消息，针对当前缅北涉我电信网络诈骗犯罪严峻复杂形势，公安部部署云南等地公安机关持续推进打击行动，切实维护人民群众生命财产安全。近日，云南普洱公安机关积极与缅甸相关地方执法部门开展边境警务合作，1207名缅北涉诈犯罪嫌疑人成功移交我方
1687040850# #
1690700908# #笑一笑十年少！。。北京睡觉三日游，昨天来北京旅游的团，在北京呆三天，今天和明天在宾馆睡觉，后天可直接返程。
1688282558# #
1690368698# #新增下达以工代赈中央投资31亿元！将带动10万农村低收入群体在家门口务工就业。
1702290332# #支付百余万彩礼结婚不到三个月闪离彩礼是否应返还？
1699522021# #
1694649002# #违反治安管理行为在六个月内没有被公安机关发现的，不再处罚。
1693381491# #“走着走着，秋天就到了，人生总有太多的来不及。时间走的太快了，一眨眼就是一天，一回头就是一年，一转身就是一辈子。那些曾经的日子，委屈也好，开心也罢，都成为过去。往前走，别回头，一叶落，天下秋。一个转身，夏天就成了故事；一次回眸，秋天便成了风景。
1703681993# #吴燕生、刘石泉、王长青，被撤销全国政协委员资格。据央视《新闻联播》报道，12月27日，政协第十四届全国委员会第十二次主席会议在北京召开。会议审议通过了关于撤销吴燕生、刘石泉、王长青政协第十四届全国委员会委员资格的决定，提请第五次常委会会议追认。
1693364496# #
1691908857# #
1701478522# #
1693547436# #劳动争议申请仲裁的时效期间为一年。仲裁时效期间从当事人知道或者应当知道其权利被侵害之日起计算。
1697266426# #
1688824997# #
1688088230# #
1690424884# #2023年6月全国查处违反中央八项规定精神问题10111起。7月26日，中央纪委国家监委公布了2023年6月全国查处违反中央八项规定精神问题汇总情况。今年6月，全国共查处违反中央八项规定精神问题10111起，批评教育帮助和处理14191人，其中，党纪政务处分10445人，这是连续第118个月公布月报数据。从查处问题
1691189197# #财政部、水利部紧急下达4.5亿元中央财政水利救灾资金，支持京津冀地区做好水毁水利工程设施修复等防汛救灾工作。
1696643685# #
1692570963# #广西一44岁市委原书记严重违纪违法被“双开”。。日前，经自治区党委批准，自治区纪委监委对平果市委原书记罗成涉嫌严重违纪违法问题进行立案审查调查，并对其采取留置措施。。。经查，罗成身为党员领导干部，严重背弃初心使命，对党不忠诚不敬畏，私欲膨胀、亲清不分，甘于被围猎，大搞权钱交易。与他人串
1698654304# #
1701524899# #
1700289096# #钢筋混凝土中的钢筋着🔥了允悲
1701108429# #能上能下，能进能出，才使促进社会不断发展的动力！铁饭碗绝大多数人群没给社会带来善果！
1689157552# #
1693307107# #
1691105602# #
1690586634# #
1693139361# #居民血检异常！超标36倍！或致乳腺癌、前列腺癌！日本启动调查。。近年来，多个驻日美军基地周围的水源频频被曝出有机氟化物超标、附近居民发生血检异常的情况。据日本媒体25日报道，继驻日美军设在冲绳的基地周边多处水体被检测出有机氟化物超标后，冲绳县在全县范围内启动了土壤和水体调查，以确定污染
1698654538# #
1691574819# #连云港市公安局港口分局原党委书记、局长魏学林涉嫌严重违纪违法，目前正接受连云港市纪委监委纪律审查和监察调查。
1701057298# #马航MH370乘客家属索赔案今天开庭希望马航积极赔偿乘客家属，竖立良好形象！
1688092296# #
1698412901# #潞安化工集团旗下多处煤矿被处罚！司马、华润、瑞龙、麦捷等，涉及安全、消防、环保……
1691989037# #凉菜摊主女儿考上清华！高考705分。。。“为庆祝女儿考上理想的大学。凡购买小菜者8.8折。仅限三天”。。今年6月。浙江金华市区曙光菜场。一家凉菜摊挂出的。打折通知热传。受到不少网友关注
1694675546# #被骗去缅甸的中科院博士回国后讲述自己被设局入套
1695104039# #
1698413189# #可爱
1699628717# #质权人在债务履行期限届满前，与出质人约定债务人不履行到期债务时质押财产归债权人所有的，只能依法就质押财产优先受偿。
1693812935# #中央统战部原副部长、国家宗教事务局原局长崔茂虎被开除党籍和公职。。宁夏回族自治区党委原副书记、银川市委原书记姜志刚被开除党籍和公职。。重庆市人大常委会原党组副书记、副主任，市总工会原主席郑洪被开除党籍。。江西省建工集团原党委委员、副总经理陈仁华被开除党籍和公职。。湖南省郴州市政协原副主席
1702012642# #
1703431664# #愿大家平安健康快乐幸福！
1699606052# #
1703087629# #法人、非法人组织承担民事责任后，向故意或者有重大过失的工作人员追偿的，人民法院依法予以支持。
1691719763# #
1692180417# #东航MU6958紧急备降武汉。。8月13日，湖北武汉。东方航空MU6958。拉萨飞往上海的航班上。一乘客的充电宝掉进头等舱座椅缝隙。被挤压冒烟
1691655888# #“内鬼”出售转卖明星行程信息，多人获刑
1688088972# #卖菜大爷挣21元被罚款11万元故事奇葩，无法评论！
1690514094# #形成亲清统一的新型政商关系。经济社会的持续健康发展，离不开良好的政治生态作保障，而亲清政商关系，是清朗政治生态的题中应有之义。
1687131490# #男子一边开车一边喝酒被查近日，湖北襄阳一民警巡逻时发现，对向驶来的三轮货运摩托驾驶员一边开车一边拿着啤酒，还不时喝一口，民警立即拦停。经检测显示，酒精含量为28mg/100ml，已达到酒驾标准。在进一步核实身份时民警发现，驾驶员属无证酒驾。目前，案件正在进一步办理中。
1703921522# #当寺庙的大门需要门票才能进入的时候，我便开始不相信佛了。当名山古寺的房顶都安装了避雷针，我便知道佛也渡不了人。当肥头大耳的和尚不专心念经却喜欢挣钱，我便知道佛也无可奈何。到后来我终于明白，人人都是佛，人人也都是魔。佛能渡己却不能渡人，魔连自己都渡不了却还妄想着渡人。。。用别人的信仰
1695282606# #153名实施跨境裸聊敲诈的电信网络诈骗犯罪嫌疑人从印尼押能回国。。9月20日晚，随着三架中国民航包机分别降落在北京大兴国际机场和济南遥墙国际机场，前期中国警方和印度尼西亚警方通过警务执法合作抓获的153名实施跨境裸聊敲诈的电信网络诈骗犯罪嫌疑人，被北京、山东公安机关从印尼押解回国，涉及全国
1701497396# #
1700392632# #一栋7层危房突然倒塌。11月19日上午，江西抚州南丰县新建路一栋房屋发生垮塌。。。据南丰县住房和城乡建设局通报：南丰县琴城镇一居民危房在2023年11月19日11时左右出现倒塌。该房屋位于琴城镇新建路100号，共七层，该楼始建于1993年，为砖混结构。在2022年5月，我县相关部门排查发现该栋房屋存在安全隐
1692073832# #
1693206621# #
1703076360# #导演彭发宣布破产，为爱妻治病花光积蓄！12月20日，香港导演彭发在接受采访时对外宣布自己破产。彭发透露，近年来，因为妻子治疗癌症而花光了积蓄，最近一年时间里更是四处借钱筹款，但是又因为接不到拍摄项目，已经累计拖欠近200万港币无力偿还。
1702371522# #北京明后两天还有大雪。根据气象部门预报，明后两天（13日至14日）本市将迎来明显降雪过程，本轮降雪较周一的降雪更加明显，具有持续时间长、累积降雪量大的特点，累积降雪量将达到大雪及以上。期间气温持续走低，最高气温处于0℃冰点以下，降雪造成道路湿滑，部分道路将出现积雪或结冰情况。
1687048543# #
1698132958# #应美国国务卿布林肯邀请，中共中央政治局委员、外交部长王毅将于10月26日至28日访问美国。
1694736507# #
1688915621# #美一架公务机坠毁，机上6人全部遇难，地面约4047平方米植被被烧毁。。据外媒报道，当地时间8日，美国加利福尼亚州里弗赛德县发生一起飞机失事事故，机上6名乘客遇难。。。据里弗赛德县治安官办公室发布的声明，警方于8日凌晨4时15分接到飞机失事报告，随后作出回应。救援人员赶往现场时发现失事飞机已“完
1692690382# #
1701333781# #韩国公务员想升职得先生娃看来思米达人口问题也比较严重
1703584325# #我刚刚在“会员抽抽乐”活动中抽中了【3个月微博会员,蜻蜓FM季卡,2个月微博会员】！官方福利，100%中奖，快来试手气！！&gt;&gt;
1691737972# #最高人民检察院依法对易鹏飞决定逮捕。。湖南省政协原党组成员、副主席易鹏飞涉嫌受贿、滥用职权一案，由国家监察委员会调查终结，移送检察机关审查起诉。日前，最高人民检察院依法以涉嫌受贿罪、滥用职权罪对易鹏飞作出逮捕决定。该案正在进一步办理中。
1703087272# #广东省监狱局原局长李景言被公诉。最高人民检察院20日发布消息，日前，广东省司法厅原党委委员，省监狱管理局原党委书记、局长李景言涉嫌受贿罪一案，经广东省人民检察院指定管辖，由惠州市人民检察院依法向惠州市中级人民法院提起公诉。
1697534718# #二十届中央第二轮巡视开始进驻。。经党中央批准，二十届中央第二轮巡视将对科学技术部、工业和信息化部、国务院国有资产监督管理委员会、国家国防科技工业局、国家烟草专卖局和中国第一汽车集团有限公司、东风汽车集团有限公司等31家单位党委（党组）开展常规巡视；对国家铁路局党组、中国国家铁路集团有
1694501755# #南京市江宁区委原常委、区纪委原书记杨彬涉嫌严重违纪违法，目前正接受江苏省纪委监委纪律审查和监察调查。
1697856671# #【打击报复证人罪】对证人进行打击报复的，处三年以下有期徒刑或者拘役；情节严重的，处三年以上七年以下有期徒刑。
1691738653# #
1692354956# #连云港市人大常委会党组成员、副主任左军涉嫌严重违纪违法，目前正接受江苏省纪委监委纪律审查和监察调查。
1700894604# #心里强大，说什么都不怕，胆大
1700908734# #拉动内需扩大内需内循环展现的淋漓尽致允悲
1702430276# #北京邮政快递把客户的邮件弄丢了二天了找不回来。宁波慈溪的快递邮件12月5日寄出到北京丰台，查询结果为12月7日就签收了，但收件人从未见到过邮递员，但网查说是已签收，左女士向中国邮政投诉，邮政公司说正在查找，时至今日仍无音讯。
1693611019# #
1702178379# #醉驾追尾，竟加速逃离现场！朝阳警方：徐某某（女，30岁）被刑拘。。今天10时许，12月8日23时33分，在朝阳区建外大街西向东方向国贸桥西侧，徐某某（女，30岁）驾驶小客车与前方一车辆发生追尾事故。交警到达现场后，徐某某突然驾车驶离，至大望桥路口被交警拦截。交警多次要求
1698483531# #&nbsp;做人，不一定要风风光光，但一定要堂堂正正。处事，不一定要尽善尽美，但一定要问心无愧。以真诚的心，对待身边的每一个人。以感恩的心，感谢拥有的一切。未来，不是穷人的天下，也不是富人的天下，而是一群志同道合，敢为人先，正直，正念，正能量人的天下。真正的危机，不是金融危机，而是道德与信
1698401408# #中国疾控中心流行病学首席专家吴尊友10月27日逝世，享年60岁。🙏
1701109848# #
1701306958# #死鸭子嘴硬可爱
1686957527# #民警办案时多次强奸被盘问女性：安排辅警将女子朋友带离后施暴，获刑4年半！。。2019年10月17日凌晨1时许，被害人李某1在合肥市庐阳区伯爵假日酒店（双岗店）2301房间内与朋友李某2、杨某一起吃饭。被告人张某龙系合肥市公安局庐阳分局双岗派出所民警，因核查相关违法犯罪线索，通过指示该宾馆工作人员刷
1695350513# #
1703811510# #管理混乱应该整顿
1696591245# #
1699940255# #
1695599568# #债权人领取提存物的权利，自提存之日起五年内不行使而消灭，提存物扣除提存费用后归国家所有。但是，债权人未履行对债务人的到期债务，或者债权人向提存部门书面表示放弃领取提存物权利的，债务人负担提存费用后有权取回提存物。
1692460223# #市委秘书长干脆把车管所也管起来，这能行吗？党政分工不同，党的组织管理的是党务，市委秘书长为表现自己，楞把政府机关事务局的工作也抢了，形式主义官僚主义，有违＂四风＂规定！
1691450115# #&nbsp;新建贵阳至南宁高速铁路贵阳至荔波段将于8月8日开通运营，贵阳至荔波最快57分钟可达。贵南高铁荔波至南宁东段正在组织满图运行试验。
1701095181# #
1695207771# #
1689341927# #人世间的一切不平凡，最后都要回归平凡；只有把平凡生活真正过好，人生才是圆满。
1700559390# #
1699070717# #吃好喝好再革命允悲
1690879833# #大老虎赵正永落马，贪污7.17亿，拜佛求神，最终被判终身监禁！
1686957236# #
1699915686# #南航白菜价机票尴尬了谁其实尴尬了男含！
1697765120# #
1703082819# #“殡仪馆分高档炉和低档炉”？最新回应。。据多家媒体报道，近日，有网友拍到唐山一家殡仪馆墙上挂有“高档炉取灰处”“低档炉取灰处”的牌子，质疑遗体火化还分高低档。12月20日，唐山市民政局工作人员告诉极目新闻记者，系多年前挂的老牌子，现在不分高低档炉了，视频传出后，牌子已经撤下。
